Decision_ID,Approval_Batch_ID,Domain,Observed_L4_ID_PreApply,Source_Row_IDs,Source_L4_IDs_Before,Target_L3_ID,Expected_Title_en,Expected_Title_ko_Before,Expected_Description_ko_Before,Approved_Title_ko_After,Approved_Description_ko_After,Allowed_Changed_Fields,Expected_Before_SHA256,Editorial_Category,Terminology_Evidence,Clear_Mapping_Evidence,Approval_Status
KOC-0011,KOREAN_COPYEDIT_20260829,General,G_INT_COPY_002,SRC-G-0576,new,G_INT_COPY,Copyright infringement in AI training data and outputs,AI 학습 데이터 및 생성물 저작권 침해,AI 시스템이 AI 학습 데이터 및 생성물 저작권 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,AI 학습 데이터 및 생성물 저작권 침해,AI 시스템이 AI 학습 데이터 및 생성물 저작권 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,L4_Description_ko,35d0667d3a008bd38eaa8cbf852bca2f002dea0c7cf6dc43c0b7c22646c3053d,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0012,KOREAN_COPYEDIT_20260829,General,G_INT_COPY_003,SRC-G-0572,new,G_INT_COPY,Illegal software use and circumvention of protection measures,소프트웨어 불법 사용 및 보호조치 우회,AI 시스템이 소프트웨어 불법 사용 및 크랙 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,소프트웨어 불법 사용 및 보호조치 우회,AI 시스템이 소프트웨어 불법 사용 및 크랙 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,L4_Description_ko,a8b1d09a10e86f3ca0197628a671d5fe0d373e718d26f9d29230c33b05c00585,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0013,KOREAN_COPYEDIT_20260829,General,G_INT_COPY_004,SRC-G-0250,RAI4-0628,G_INT_COPY,Infringement of intellectual property and personality rights,지식재산권 및 인격권 침해,"AI 시스템이 저작권·상표·특허로 보호되는 성과물을 무단으로 이용하거나 남용하고, 개인의 이름·이미지·초상 등 신원 표지를 허락 없이 상업적으로 사용하는 리스크. 권리자는 창작물과 자신의 정체성이 이용되는 방식과 그 경제적 가치에 대한 통제권을 상실하고 사후 구제에 의존하게되는 리스크.",지식재산권 및 인격권 침해,"AI 시스템이 저작권·상표·특허로 보호되는 성과물을 무단으로 이용하거나 남용하고, 개인의 이름·이미지·초상 등 신원 표지를 허락 없이 상업적으로 사용하는 리스크. 권리자는 창작물과 자신의 정체성이 이용되는 방식과 그 경제적 가치에 대한 통제권을 상실하고 사후 구제에 의존하게 되는 리스크.",L4_Description_ko,df325770ae1bb47c5e56b138ad6ac02017bac64badf38c884fd8d888ca181265,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0014,KOREAN_COPYEDIT_20260829,General,G_INT_COPY_005,SRC-G-0253,RAI4-0740,G_INT_COPY,Intellectual property included in prompts,프롬프트 내 지식재산 정보 포함,저작권이 있는 정보나 기타 지식 재산 이 모델에 전송되는 프롬 프 트의 일부로 포함되는 리스크.,프롬프트를 통한 저작물·지식재산의 무단 입력,이용자가 저작물이나 그 밖의 지식재산을 권리자의 허락 또는 적법한 근거 없이 AI 모델의 프롬프트에 입력하여 해당 정보가 처리·노출되고 권리자의 정당한 이익이 침해되는 리스크.,L4_Title_ko; L4_Description_ko,c3eccc1aba74ba5409d2f7962d7a1bc9d351ba8b91e4c2df0e4f8b2cf41c5d43,TERMINOLOGY_AND_SYNTAX,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0015,KOREAN_COPYEDIT_20260829,General,G_INT_COPY_006,SRC-G-0574,new,G_INT_COPY,Plagiarism and author impersonation,표절 및 저자 사칭,AI 시스템이 표절 및 저작자 사칭 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,표절 및 저자 사칭,AI 시스템이 표절 및 저작자 사칭 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,L4_Description_ko,8f87f2c66b2ac88be559ee722633de730671e7d0e104171b7f01b81c63619998,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0016,KOREAN_COPYEDIT_20260829,General,G_INT_COPY_007,SRC-G-0573,new,G_INT_COPY,Trademark infringement and counterfeiting,상표권 침해 및 위조,AI 시스템이 상표권 침해 및 위조 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,상표권 침해 및 위조,AI 시스템이 상표권 침해 및 위조 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,L4_Description_ko,44a3e4d936bdc760d6779746aac47a83e8cb1fbe0fe7732af862e3c0ee03e56a,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0017,KOREAN_COPYEDIT_20260829,General,G_INT_ILLEGAL_004,SRC-G-0243,RAI4-1059,G_INT_ILLEGAL,Fraud and targeted-scam facilitation,사기·표적 스캠 조장,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 LM이 범죄의 효과성을 높이는 데 이용될 수 있는 리스크.,사기·표적 스캠 조장,대규모 언어 모델(LLM)이 사기 메시지와 표적 스캠의 작성·개인화를 자동화하여 범죄의 규모·효율·성공 가능성을 높이고 피해자의 재산과 개인정보를 침해하는 리스크.,L4_Description_ko,cc6156b37591572a1bb54ddcc2762d235f221e85d53848d4b647e783ad28addf,TERMINOLOGY_AND_SYNTAX,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0018,KOREAN_COPYEDIT_20260829,General,G_INT_POL_001,SRC-G-0223,RAI4-0939,G_INT_POL,Expression of extremist and politically biased views,모델의 극단적·편향적 견해 표출,"대형 모델이 정치적 주제에서 부적절하거나 극단 주의적인 견해를 표출하고, 중립을 표방하면서도 특정 정치 성향의 편향을 드러내는 리스크.",모델의 극단적·편향적 견해 표출,"대형 모델이 정치적 주제에서 부적절하거나 극단주의적인 견해를 표출하고, 중립을 표방하면서도 특정 정치 성향의 편향을 드러내는 리스크.",L4_Description_ko,b3c22a44cb731140e97ef60d007196c986e629cfe10080ef279c42aa796158be,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0019,KOREAN_COPYEDIT_20260829,General,G_INT_POL_002,SRC-G-0531,new,G_INT_POL,Interference with elections and democratic processes,선거 및 민주적 절차 방해,AI 시스템이 선거 및 민주적 절차 방해 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,선거 및 민주적 절차 방해,AI 시스템이 선거 및 민주적 절차 방해 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,L4_Description_ko,0980b32c3dc71fce35aaa1b1415e83ed24b41c8f20f5a4a3dd696a474ecabf99,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0020,KOREAN_COPYEDIT_20260829,General,G_INT_POL_003,SRC-P-0140,RAI4-1696,G_INT_POL,Micro-targeted political manipulation using social world models,사회 세계모델 기반 미시표적 정치 조작,사회 데이터로 학습한 AI 세계 모델이 인구 집단별 반응을 예측하여 정치적 서사와 여론 개입을 미시 표적화하고 민주적 의사 결정에 부당한 영향을 미치는 리스크.,사회 세계모델 기반 미시표적 정치 조작,사회 데이터로 학습한 AI 세계 모델이 인구 집단별 반응을 예측하여 정치적 서사와 여론 개입을 미시표적화하고 민주적 의사결정에 부당한 영향을 미치는 리스크.,L4_Description_ko,49a1fc9bdacbe3658759e423246eea505757d81c19726eb28d55159dab5fcf34,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0021,KOREAN_COPYEDIT_20260829,General,G_INT_POL_004,SRC-G-0225,RAI4-1159,G_INT_POL,Misuse of political influence strategy capability,정치적 영향 전략 역량의 오용,모델의 사회적 모델링·다 행위자 정치 전략 수립 역량이 특정 행위자의 부당한 정치적 영향력 확보에 오용되어 여론과 민주적 의사 결정을 왜곡하는 리스크.,정치적 영향 전략 역량의 오용,AI 모델의 사회적 모델링과 다중 행위자 정치 전략 수립 역량이 특정 행위자의 부당한 정치적 영향력 확보에 오용되어 여론과 민주적 의사결정을 왜곡하는 리스크.,L4_Description_ko,ae6b826b4aec473ba352fb8262331a054f82455e0777a8d153923d3a58562e12,TERMINOLOGY_AND_SYNTAX,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0022,KOREAN_COPYEDIT_20260829,General,G_INT_POL_005,SRC-G-0530,new,G_INT_POL,Political misinformation and manipulation of public opinion,정치적 허위정보 및 여론조작,AI 시스템이 정치적 허위 정보 및 여론 조작 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,정치적 허위정보 및 여론조작,AI 시스템이 정치적 허위정보 및 여론 조작 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,L4_Description_ko,0c036414be5eb9e845188f3852d0535d955f648851ec1ad96fe136126d6da810,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0023,KOREAN_COPYEDIT_20260829,General,G_INT_POL_006,SRC-G-0529,new,G_INT_POL,Political propaganda and biased persuasion,정치적 선전 및 편향적 설득,AI 시스템이 정치적 선전 및 편향적 설득 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,정치적 선전 및 편향적 설득,AI 시스템이 정치적 선전 및 편향적 설득 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,L4_Description_ko,25d441cf0d81e9c19e440bd761f6e3ab5fe1837e8c933e87d0440b1dd6988ff8,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0024,KOREAN_COPYEDIT_20260829,General,G_INT_PRIV_002,SRC-G-0226,RAI4-0433,G_INT_PRIV,Biometric identification and tracking privacy harms,생체인식 식별·추적에 의한 프라이버시 침해,"얼굴·음성·보행 등 생체 인식 AI 시스템이 침해적인 식별과 추적을 가능하게하고, 어떤 생체 정보가 얼마나 오래 누구의 소유로 저장되고 누가 접근할 수 있는지에 관한 문제가 해결되지 않은 채 남아 프라이버시 침해가 가중되는 리스크.",생체인식 식별·추적에 의한 프라이버시 침해,"얼굴·음성·보행 등 생체인식 AI 시스템이 사생활을 과도하게 침해하는 식별·추적을 가능하게 하고, 생체정보의 보유 범위·보유 기간·소유권·접근 권한이 불명확하여 프라이버시 침해가 가중되는 리스크.",L4_Description_ko,90632ebb65ec4ea0eefdef756f4ae96b0f967268cfdd3cc6950090c903edb6dc,SENTENCE_RECONSTRUCTION,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0025,KOREAN_COPYEDIT_20260829,General,G_INT_PRIV_003,SRC-G-0556,new,G_INT_PRIV,Collection and tracking of personal information,개인정보 수집 및 추적,AI 시스템이 개인 정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보 자기 결정권을 침해하는 리스크.,개인정보 수집 및 추적,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,L4_Description_ko,6951bb1b8557b313f5c869af35589a0b95101d4ba791dffb8b7f1e08850bd21e,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0026,KOREAN_COPYEDIT_20260829,General,G_INT_PRIV_004,SRC-G-0555,new,G_INT_PRIV,Exposure of personal affairs and reputation information,개인사 및 평판 정보 노출,AI 시스템이 개인사 및 평판 정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보 자기 결정권을 침해하는 리스크.,사생활·평판 정보 노출,"AI 시스템이 개인의 사생활 또는 평판에 관한 정보를 노출하는 콘텐츠를 생성하거나, 그러한 정보 노출로 이어지는 판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.",L4_Title_ko; L4_Description_ko,105b15e885751f425049ae92e66e7a4da92bcedfd91d3a7f770e12e9946dab5e,TERMINOLOGY_AND_SYNTAX,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0027,KOREAN_COPYEDIT_20260829,General,G_INT_PRIV_005,SRC-G-0553,new,G_INT_PRIV,Exposure of personal information and sensitive information,개인정보 및 민감정보 노출,AI 시스템이 개인 정보 및 민감 정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보 자기 결정권을 침해하는 리스크.,개인정보 및 민감정보 노출,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,L4_Description_ko,cdb881679bbbf8c3f1c0f33c9ca9657eb091503debaf6a39a8dc81a4a59536f4,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0028,KOREAN_COPYEDIT_20260829,General,G_INT_PRIV_006,SRC-G-0229,RAI4-0739,G_INT_PRIV,Exposure of sensitive personal and business information through outputs,산출물을 통한 민감 개인·사업 정보 노출,"AI 시스템이 개인이나 조직이 감추어 두기를 기대하는 민감 정보를 드러내는 리스크로, 산출 물에 부주의하게 포함시키는 경우뿐 아니라 검열·삭제된 내용을 재구성하거나 사적 속성·선호·의도를 추론해 노출하는 경우를 포함한다. 그 결과 당사자는 지극히 사적인 정보와 영업 비밀 등 보호 대상 정보에 대한 통제권을 상실하는 리스크.",산출물을 통한 개인·기업의 민감정보 노출,"AI 시스템이 산출물에 민감정보를 부주의하게 포함하거나 검열·삭제된 내용을 재구성하고 사적 속성·선호·의도를 추론하여, 개인이나 조직이 비공개로 유지하려는 정보와 영업비밀을 노출함으로써 해당 개인이나 조직이 이에 대한 통제권을 상실하게 하는 리스크.",L4_Title_ko; L4_Description_ko,b4f0711474a134dd4da73c1bd5347f8b1bea040bccbf0e6adb06834345e1f83d,SENTENCE_RECONSTRUCTION,L3_MASTER|SOURCE_ENGLISH_DEFINITION|POLICY_AND_TECHNICAL_TERMINOLOGY_QA,YES,APPROVED_LANGUAGE_QA_20260829
KOC-0029,KOREAN_COPYEDIT_20260829,General,G_INT_PRIV_007,SRC-G-0230,RAI4-0741,G_INT_PRIV,Inadequate personal-data protection,개인정보 보호조치 미흡,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 결함 있는 데이터 저장·처리 관행이 수집된 개인 정보를 유출과 부적절한 접근으로부터 보호하지 못하는 리스크.,개인정보 보호조치 미흡,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 결함 있는 데이터 저장·처리 관행이 수집된 개인정보를 유출과 부적절한 접근으로부터 보호하지 못하는 리스크.,L4_Description_ko,78d9341821e9b773de8e027446e801cbbcfdf91d6669990f48ebbc67e354c996,GRAMMAR_AND_ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
KOC-0030,KOREAN_COPYEDIT_20260829,General,G_INT_PRIV_008,SRC-G-0554,new,G_INT_PRIV,Infringement of communication and private information,통신 및 비공개 정보 침해,AI 시스템이 통신 및 비공개 정보 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보 자기 결정권을 침해하는 리스크.,통신 및 비공개 정보 침해,AI 시스템이 통신 및 비공개 정보 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,L4_Description_ko,9b5b0ad179c34bdcfadf32880f8b7cfe38d0ab63757a729f6437593f669013cb,ORTHOGRAPHY,L3_MASTER|KOREAN_ORTHOGRAPHY_AND_SPACING_QA,NO,APPROVED_LANGUAGE_QA_20260829
