Audit_Order,Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Literal_Requirement,Intended_L3_Boundary,Intended_Harm_Mechanism,Final_Implementation,Fidelity_Status,Divergence_Type,Reviewer_Conflict,Evidence_and_Reason,New_Duplication_Scope_or_Term_Issues,Required_Correction,Overall_Conclusion
11,General,28,G_INT_COPY_006,법규 위반 및 재산권·인권 침해,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할 / 명칭·정의·용어를 지시대로 수정 / 카드 삭제,G_INT_ILLEGAL | G_INT_COPY,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리 / 기존 위해 의미를 유지한 채 표현을 정제,EXPERT_SPLIT_APPLIED; G_INT_COPY_009 [G_INT_COPY] 저작권 보호물의 무단 재현 || G_INT_ILLEGAL_013 [G_INT_ILLEGAL] 불법적 명예·권리 침해 지원; 편집명세 SPLIT:G_INT_COPY:저작권 보호물의 무단 재현 || SPLIT:G_INT_ILLEGAL:불법적 명예·권리 침해 지원,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
12,General,43,G_INT_POL_001,정치인 및 공직자 명예훼손,(jay) [분할] 복합적. Political bias + Illegal conduct 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_INT_ILLEGAL,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_ILLEGAL_013 [G_INT_ILLEGAL] 불법적 명예·권리 침해 지원 || G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작; 편집명세 SPLIT:G_INT_POL:개인화된 정치적 영향 조작 || SPLIT:G_INT_ILLEGAL:불법적 명예·권리 침해 지원,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
13,General,45,G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,"(jay) [분할] 복합적. Political bias + Unethical Conduct and Manipulation, Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요",복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_INT_UNETH | G_SOC_DEMOC,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_INT_UNETH_019 [G_INT_UNETH] 취약성을 이용한 행동 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식; 편집명세 SPLIT:G_INT_POL:개인화된 정치적 영향 조작 || SPLIT:G_INT_UNETH:취약성을 이용한 행동 조작 || SPLIT:G_SOC_DEMOC:민주적 공론과 시민 신뢰의 침식,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
14,General,51,G_INT_POL_009,정치적 탄압 및 권리 침해 조장,(jay) [분할] 복합적. Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_SOC_DEMOC,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식; 편집명세 SPLIT:G_INT_POL:개인화된 정치적 영향 조작 || SPLIT:G_SOC_DEMOC:민주적 공론과 시민 신뢰의 침식,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
15,General,52,G_INT_POL_010,정치적 폭력 및 극단주의 조장,(jay) [분할] 복합적. Political Bias and Manipulation + violence + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_SOC_DEMOC | G_INT_VIOL,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식 || G_INT_VIOL_011 [G_INT_VIOL] 폭력과 극단주의 실행의 조장; 편집명세 SPLIT:G_INT_VIOL:폭력과 극단주의 실행의 조장 || SPLIT:G_INT_POL:개인화된 정치적 영향 조작 || SPLIT:G_SOC_DEMOC:민주적 공론과 시민 신뢰의 침식,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
16,General,54,G_INT_PRIV_002,비서 유도 개인정보 노출,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; G_INT_PRIV_002 [G_INT_PRIV] 비서 유도 개인정보 노출 || G_INT_PRIV_027 [G_INT_PRIV] 챗봇에 의한 사적 정보 유도와 유출; 편집명세 MERGE:G_INT_PRIV:챗봇에 의한 사적 정보 유도와 유출,FAIL,의도변형,없음,재식별·정보추론 카드로 편입하라는 요청을 챗봇 유도·유출 카드 통합으로 바꿨다.,뚜렷한 신규 문제 없음,재식별·정보추론 대표 카드로 편입하거나 원 검수자에게 대체 병합안을 재승인받는다.,Needs revision
17,General,57,G_INT_PRIV_005,존엄 침해적 프라이버시 피해,yj_사생활·개인정보 부당 노출_흡수가능,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; G_INT_PRIV_005 [G_INT_PRIV] 존엄 침해적 프라이버시 피해 || G_INT_PRIV_028 [G_INT_PRIV] 사생활·개인정보의 부당 노출; 편집명세 MERGE:G_INT_PRIV:사생활·개인정보의 부당 노출,PASS,없음,없음,지목된 중복 카드군을 대표 위해 기제로 통합했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
18,General,58,G_INT_PRIV_006,챗봇에 의한 사적 정보 유도와 유출,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; G_INT_PRIV_027 [G_INT_PRIV] 챗봇에 의한 사적 정보 유도와 유출; 편집명세 MERGE:G_INT_PRIV:챗봇에 의한 사적 정보 유도와 유출,FAIL,의도변형,없음,재식별·정보추론 편입 요청과 달리 유도·유출 대표 카드로 사용됐다.,뚜렷한 신규 문제 없음,요청된 재식별·정보추론 병합군과 현재 유도·유출 병합군을 재검토한다.,Needs revision
19,General,64,G_INT_PRIV_012,학습 데이터 암기에 의한 민감정보 유출,yj_통합_학습데이터 privacy이슈,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; G_INT_PRIV_011 [G_INT_PRIV] 학습 데이터 암기에 의한 민감정보 유출 || G_INT_PRIV_029 [G_INT_PRIV] 학습 데이터 암기·프롬프트 유도 개인정보 유출; 편집명세 MERGE:G_INT_PRIV:학습 데이터 암기·프롬프트 유도 개인정보 유출,PASS,없음,없음,지목된 중복 카드군을 대표 위해 기제로 통합했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
20,General,67,G_INT_PRIV_015,프롬프트 및 학습 데이터에 기인한 개인정보 노출,yj_통합_학습데이터 privacy이슈,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; G_INT_PRIV_029 [G_INT_PRIV] 학습 데이터 암기·프롬프트 유도 개인정보 유출; 편집명세 MERGE:G_INT_PRIV:학습 데이터 암기·프롬프트 유도 개인정보 유출,PASS,없음,없음,지목된 중복 카드군을 대표 위해 기제로 통합했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
21,General,71,G_INT_PRIV_019,프라이버시·재산 정보 오처리,yj_분할_over-extension과 privacy violation 혼재,복합 의미를 L3·위해 기제별로 분할,G_INT_PRIV | G_SYS_OEXT,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_SYS_OEXT_014 [G_SYS_OEXT] AI 역량의 검증범위 초과 사용 || G_INT_PRIV_025 [G_INT_PRIV] 재산·개인정보의 부당한 노출; 편집명세 SPLIT:G_INT_PRIV:재산·개인정보의 부당한 노출 || SPLIT:G_SYS_OEXT:AI 역량의 검증범위 초과 사용,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
22,General,73,G_INT_PRIV_021,학습 코퍼스 내 개인정보 혼입,yj_통합_학습데이터 privacy이슈,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,KEEP_CONFIRMED_EXPERT; G_INT_PRIV_017 [G_INT_PRIV] 학습 코퍼스 내 개인정보 혼입,FAIL,과소반영,없음,학습데이터 privacy 카드 통합 요청에도 별도 카드로 유지했다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,G_INT_PRIV_012·015 병합군과의 기제 중복을 다시 비교하고 통합 또는 분리 근거를 인간 결정으로 남긴다.,Needs revision
23,General,76,G_INT_PRIV_024,LLM 기반 정교한 감시·검열에 의한 자유 억압,yj_동일 L3내 다른 L4로 편입(대랑감시),지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; G_INT_PRIV_020 [G_INT_PRIV] LLM 기반 정교한 감시·검열에 의한 자유 억압 || G_INT_PRIV_030 [G_INT_PRIV] AI 기반 대량 감시; 편집명세 MERGE:G_INT_PRIV:AI 기반 대량 감시,PASS,없음,없음,지목된 중복 카드군을 대표 위해 기제로 통합했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
24,General,83,G_INT_REPR_001,집단별 성능 격차·고정관념 인코딩,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,경계와 피해기제를 재검토,G_INT_ALLOC | G_INT_REPR,기술·활동이 아니라 실제 피해 결과가 드러나도록 재검토,EXPERT_SPLIT_APPLIED; G_INT_REPR_027 [G_INT_REPR] 집단 고정관념과 과소대표의 강화; 편집명세 SPLIT:G_INT_REPR:집단 고정관념과 과소대표의 강화,PARTIAL,과소반영,없음,불분명한 피해를 Representational 또는 Allocative 중 재검토하라는 의견에서 표현 피해만 선택했으며 선택 근거가 원문에 없었다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,원문 피해 결과를 확인해 표현 또는 배분 중 하나를 인간 결정으로 확정하고 선택 근거를 기록한다.,Needs revision
25,General,85,G_INT_REPR_003,사회 집단에 대한 모델의 차별적 결정과 산출,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,경계와 피해기제를 재검토,G_INT_ALLOC | G_INT_REPR,기술·활동이 아니라 실제 피해 결과가 드러나도록 재검토,EXPERT_SPLIT_APPLIED; G_INT_ALLOC_006 [G_INT_ALLOC] 보호집단에 대한 불리한 자원 배분 || G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산; 편집명세 SPLIT:G_INT_REPR:보호집단 고정관념의 재생산 || SPLIT:G_INT_ALLOC:보호집단에 대한 불리한 자원 배분,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
26,General,105,G_INT_REPR_023,인간 데이터 학습에 의한 갈등 악화 편향 재현,(jay) [이관] Unethical Conduct and Manipulation,지목된 L3 또는 도메인으로 이관,G_INT_UNETH,지정 범위(G_INT_UNETH)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_UNETH_001 [G_INT_UNETH] 인간 데이터 학습에 의한 갈등 악화 편향 재현,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
27,General,118,G_INT_SELF_010,자살 행동 및 자살 지원,"yj_""자살 준비행위""와 L4구분 필요",검수 의견에 적힌 의미·범위 조정,G_INT_SELF,자살 행동 및 자살 지원의 현재 위해 기제를 유지,EXPERT_REWRITE_APPLIED; G_INT_SELF_010 [G_INT_SELF] 자살 실행·준비행위에 대한 구체적 지원; 편집명세 REWRITE:G_INT_SELF:자살 실행·준비행위에 대한 구체적 지원,FAIL,과소반영,없음,자살 준비행위와 별도 L4로 구분하라는 의견에도 실행과 준비행위를 한 카드에 함께 남겼다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,자살 실행 지원과 준비행위 지원을 별도 L4로 분리한다.,Needs revision
28,General,131,G_INT_UNETH_004,집단적으로 유해한 행동,(jay) [이관] Coordination Failure,지목된 L3 또는 도메인으로 이관,G_INT_UNETH,집단적으로 유해한 행동의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_INT_COORD_001 [A_INT_COORD] 집단적으로 유해한 행동,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
29,General,134,G_INT_UNETH_007,비인간화와 객관화,(jay) [이관] Representational Harm and Stereotyping,지목된 L3 또는 도메인으로 이관,G_INT_REPR,지정 범위(G_INT_REPR)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_REPR_024 [G_INT_REPR] 비인간화와 객관화,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
30,General,143,G_INT_UNETH_016,도덕적 탈숙련화,(jay) [이관] Cultural and Epistemic Erosion,지목된 L3 또는 도메인으로 이관,G_SOC_CULT,지정 범위(G_SOC_CULT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_CULT_001 [G_SOC_CULT] 도덕적 탈숙련화,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
31,General,144,G_INT_UNETH_017,비전문가 데이터 조작,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 카드 삭제로 처리했다.,뚜렷한 신규 문제 없음,L3 부재 때문에 삭제했다는 제약을 검수자에게 확인받고 삭제를 명시 승인받는다.,Needs revision
32,General,145,G_INT_UNETH_018,심리적 조작·비인간화·대규모 착취,(jay) [분할] 복합적. Unethical Conduct and Manipulation + Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_REPR | G_INT_UNETH,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산 || G_INT_UNETH_019 [G_INT_UNETH] 취약성을 이용한 행동 조작; 편집명세 SPLIT:G_INT_UNETH:취약성을 이용한 행동 조작 || SPLIT:G_INT_REPR:보호집단 고정관념의 재생산,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
33,General,146,G_INT_UNETH_019,마음이론(Theory of Mind) 능력,(jay) [재검토] 명확한 피해 사례가 없어 판단 불가,경계와 피해기제를 재검토,G_INT_UNETH,기술·활동이 아니라 실제 피해 결과가 드러나도록 재검토,EXPERT_REWRITE_APPLIED; G_INT_UNETH_020 [G_INT_UNETH] 마음이론 기반 행동 조작; 편집명세 REWRITE:G_INT_UNETH:마음이론 기반 행동 조작,FAIL,과잉해석·범위확장,없음,검수자는 명확한 피해가 없어 판단 불가라고 했지만 최종안은 마음이론 기반 행동 조작이라는 피해를 새로 단정했다.,원문에 없던 피해 또는 보호대상 의미가 추가됨,근거가 있는 피해 사례를 보강해 재검수하거나 카드 삭제·보류로 되돌린다.,Needs revision
34,General,147,G_INT_UNETH_020,동일 사안 불평등 처우,(jay) [이관] Allocative Discrimination,지목된 L3 또는 도메인으로 이관,G_INT_ALLOC,지정 범위(G_INT_ALLOC)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_ALLOC_004 [G_INT_ALLOC] 동일 사안 불평등 처우,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
35,General,152,G_INT_VALUE_003,콘텐츠 조정 알고리즘의 편향적 억압,"(jay) [분할] 복합적. Allocative Discrimination, representational harm and manipulation 혼재되어 해당 L4를 분해 필요",복합 의미를 L3·위해 기제별로 분할,G_INT_ALLOC | G_INT_REPR,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_ALLOC_006 [G_INT_ALLOC] 보호집단에 대한 불리한 자원 배분 || G_INT_REPR_027 [G_INT_REPR] 집단 고정관념과 과소대표의 강화; 편집명세 SPLIT:G_INT_ALLOC:보호집단에 대한 불리한 자원 배분 || SPLIT:G_INT_REPR:집단 고정관념과 과소대표의 강화,PARTIAL,과소반영,없음,배분과 표현은 분리했으나 검수자가 지목한 manipulation 기제는 누락됐다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,행동 조작 내용이 원문에 있으면 G_INT_UNETH 카드를 추가하고 없으면 제외 근거를 남긴다.,Needs revision
36,General,180,G_INT_VIOL_011,폭력/무력 충돌,(jay) [이관] weaponization,지목된 L3 또는 도메인으로 이관,G_INT_VIOL,폭력/무력 충돌의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_INT_WEAP_001 [G_INT_WEAP] 폭력/무력 충돌,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
37,General,193,G_INT_WEAP_013,모델 확산에 의한 이중용도 역량의 저비용 확 산,yj_네이밍 재검토_무기화성격이 안보임,경계와 피해기제를 재검토,G_INT_WEAP,모델 확산에 의한 이중용도 역량의 저비용 확 산의 현재 위해 기제를 유지,EXPERT_REWRITE_APPLIED; G_INT_WEAP_021 [G_INT_WEAP] 독소 합성 등 이중용도 역량의 저비용 확산; 편집명세 REWRITE:G_INT_WEAP:독소 합성 등 이중용도 역량의 저비용 확산,PASS,없음,없음,요청된 명칭·정의·용어 정제를 위해 의미 경계를 유지하며 재작성했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
