Source_Row_Number,L3_ID,L3_Title_en,Changed_Fields_In_Review,Decision,Review_Note
12,G_INT_COPY,Copyright Infringement,,UNCHANGED,
13,G_INT_WEAP,Weaponization,,UNCHANGED,
14,G_INT_ANTH,Anthropomorphism,,UNCHANGED,
15,G_INT_REL,Unhealthy Human-AI Relationship,,UNCHANGED,(SY)인간의 자율성 훼손..으로 가면 의인화와 명확히 구별 가능
16,G_SYS_OREF,Over-Refusal,,UNCHANGED,
17,G_SYS_OEXT,Over-Extension,,UNCHANGED,
18,G_SYS_INPUT,Input Comprehension Failure,,UNCHANGED,
19,G_SYS_MISINFO,Misinformation,,UNCHANGED,
20,G_SYS_CONTEXT,Context-Awareness Failure,,UNCHANGED,
21,G_SYS_INCONS,Inconsistency,,UNCHANGED,
22,G_SYS_OVERCONF,Overconfidence,,UNCHANGED,
23,G_SYS_CONTEST,Non-Contestability,,UNCHANGED,
24,G_SYS_SECADV,Security and Adversarial Robustness Failure,,UNCHANGED,
25,G_SYS_POLICY,System Policy Exposure,,UNCHANGED,
26,G_SYS_TRANS,Lack of Transparency,,UNCHANGED,
27,G_SYS_EVAL,Evaluation and Assurance Failure,,UNCHANGED,
28,G_SOC_ECON,Economic and Employment Disruption,,UNCHANGED,
29,G_SOC_POWER,Inequality and Power Concentration,,UNCHANGED,
30,G_SOC_DEMOC,Erosion of Democracy and Civic Order,,UNCHANGED,
31,G_SOC_ENV,Environmental and Sustainability Impact,,UNCHANGED,
32,G_SOC_CULT,Cultural and Epistemic Erosion,,UNCHANGED,
33,G_SOC_GOV,Governance and Accountability Void,,UNCHANGED,
34,A_SYS_GOAL,Goal Misalignment,,UNCHANGED,
35,A_SYS_AUTH,Excessive Authority and Agency,,UNCHANGED,
36,A_SYS_SELFCOR,Self-Correction Failure,,UNCHANGED,
37,A_SYS_DECEPT,Deception and Scheming,,UNCHANGED,
38,A_SYS_TRACE,Accountability and Traceability Gap,,UNCHANGED,
39,A_INT_CASCADE,Cascading Failure and Instability,,UNCHANGED,
40,A_INT_COORD,Coordination Failure,L3_Description_en; L3_Description_ko,PENDING_MASTER_CHANGE_NOT_APPLIED,
41,A_INT_CONFLICT,Competitive Conflict,,UNCHANGED,
42,A_INT_COLLUSION,Collusion,,UNCHANGED,
43,P_SYS_STATE,Physical State Estimation and Sensor-Fusion Failure,,UNCHANGED,
44,P_SYS_CONTROL,Unsafe Physical Control and Actuation,,UNCHANGED,
45,P_SYS_HARDWARE,Hardware and Mechanical Integrity Failure,,UNCHANGED,
46,P_INT_SAFETY,Human-Robot Physical Safety Failure,,UNCHANGED,
47,P_INT_TAMPER,Physical Tampering and Sabotage,,UNCHANGED,
