Source_L4_IDs,Original_Fidelity_Status,Operation,Operation_Group_Key,Output_Sequence,Target_L3_ID,Mapping_Method,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,Representative_Source_L4_ID,Absorbed_Source_L4_IDs,Pending_Reason
G_Others_026,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_026,1,G_Others,HD,학습-운용 데이터 간 데이터셋 시프트,Dataset shift between training and runtime data,AI/ML 모델의 학습 데이터와 시험·운용 데이터가 서로 다른 분포를 보이는 데이터셋 시프트로 인해 모델의 타당성이 훼손되는 리스크.,"The risk that the training data and the testing or runtime data of an AI/ML model demonstrate different distributions, undermining the model's validity.",G_Others_026,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_Others_030,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_030,1,G_Others,HD,센서 드리프트에 의한 배포 시스템 성능 저하,Deployed-system degradation from sensor and distribution drift,물리 센서와 데이터 소스에 의존하는 배포된 AI 시스템에서 하드웨어 드리프트에 따른 데이터 분포 변화가 발생하여 시스템의 견고성과 성능이 저하되는 리스크.,The risk that hardware drift in the physical sensors and data sources of deployed AI systems causes data distribution drift that degrades system robustness and performance.,G_Others_030,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_Others_074,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_074,1,G_Others,HD,잘못된 데이터 라벨,Incorrect data labels,데이터 레이블이 부정확하여 지도 학습 AI 시스템이 실측 진실과 의도된 기능을 학습하지 못하는 리스크.,The risk that incorrect data labels prevent a supervised learning AI system from learning the ground truth and therefore the intended functionality.,G_Others_074,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_Others_084,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_084,1,G_Others,HD,개발 과정 문서화와 데이터 이해의 부족,Insufficient development documentation and understanding of data,"AI 시스템 개발 전반에서 내려진 결정과 조치가 문서화되지 않고 사용된 데이터에 대한 이해도 충분하지 않은 리스크. 그 결과 데이터의 결함이 교정되지 않은 채 남고 개발 프로세스의 최적화와 시스템 감사가 불가능해지며, 의도된 기능에 적합하지 않은 시스템이 만들어진다로 인해 구체적인 위해가 발생하는 리스크.","The risk that decisions and actions taken throughout the development of an AI system go undocumented and that the data used is insufficiently understood. Data shortcomings are left unaddressed, the development process cannot be optimized or audited, and the resulting system is poorly suited to its intended functionality.",G_Others_084,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_Others_085,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_085,1,G_Others,HD,학습 데이터의 대표성 부족,Insufficient representation in training data,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 학습 데이터가 운용 데이터 분포와 불일치하거나 희소 사례 표본이 부족하여 학습에 충분히 반영되지 않은 입력에서 시스템 성능이 저하되는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which training data fails to match the operational distribution or lacks sufficient samples of rare cases, so the system underperforms on inputs insufficiently represented in training.",G_Others_085,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_Others_086,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_086,1,G_Others,HD,복잡한 신경망 모델의 내재적 견고성 취약성,Intrinsic robustness weaknesses of complex neural models,"심층 신경망처럼 비선형적이고 규모가 큰 고복잡 도 모델이 다른 유형의 시스템에는 없는 고유한 취약성을 보여, 복잡하고 변화하는 운영 환경이나 악의적 간섭과 유도에 쉽게 영향을 받는 리스크. 그 결과 성능이 저하되고 의사 결정 오류가 발생하여, 특히 안전 필수 맥락에서 기능 안전과 신뢰성이 훼손되는 리스크.","The risk that high-complexity, non-linear models such as deep neural networks exhibit weaknesses not found in other types of systems, leaving them susceptible to changing operational environments and to malicious interference and inducement. Performance degrades and decision errors follow, undermining functional safety and trustworthiness above all in safety-critical deployments.",G_Others_086,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_Others_118,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_118,1,G_Others,HD,학습·검증 데이터의 품질 결함과 부적절한 선 택,Poor quality and unrepresentative training data selection,"학습과 검증에 사용되는 데이터가 부적절한 수집·큐레이션으로 오염되거나 레이블 오류와 상충 정보를 포함하고, 대상 모집단과 관심 현상을 충분히 대표하지 못하거나 편향된 콘텐츠를 담고 있는 리스크. 이러한 데이터로 학습된 모델은 부정확한 출력을 내고 데이터에 담긴 편향을 재현하거나 오히려 증폭하여 차별적 결정을 산출하는 리스크.","The risk that data selected for training and validation is contaminated, mislabelled, internally inconsistent, or insufficiently representative of the target population and phenomenon, whether through improper curation or the inclusion of biased content. Models trained on such data produce inaccurate outputs and reproduce, and often amplify, the bias it contains, yielding discriminatory decisions.",G_Others_118,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_Others_141,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_Others_141,1,G_Others,HD,배포 후 잔존 결함으로 인한 오작동,Undesirable outcomes from residual post-deployment defects,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 배포된 시스템에 미탐지 버그와 설계 실수, 잘못 정렬된 목표, 미숙하게 개발된 기능이 남아 있어, 인간 언어의 동 음이 의와 중의성으로 명령을 오해하는 것처럼 매우 바람직하지 않은 결과를 낳는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which a deployed system still contains undetected bugs, design mistakes, misaligned goals, and poorly developed capabilities that produce highly undesirable outcomes, such as misinterpreting commands due to homophones or double meanings in human language.",G_Others_141,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_CONTEXT_002,PARTIAL,SPLIT,SPLIT:G_SYS_CONTEXT_002,1,G_SYS_CONTEXT,HD,사회·상황적 단서의 오해,Misinterpretation of social and situational cues,AI 시스템이 적절한 행동을 결정하는 사회적·상황적 단서를 잘못 해석하여 맥락에 맞지 않는 판단을 내리는 리스크.,The risk that an AI system misinterprets social or situational cues needed to determine appropriate behaviour and makes a context-inappropriate judgment.,G_SYS_CONTEXT_002,,원문에 맥락 단서 오해와 개인정보 노출 기제가 모두 존재한다.
G_SYS_CONTEXT_002,PARTIAL,SPLIT,SPLIT:G_SYS_CONTEXT_002,2,G_INT_PRIV,HD,맥락적 개인정보 보호 실패,Failure to protect contextual personal information,AI 시스템이 프라이버시 민감 상황에서 공개 범위와 정보주체의 기대를 잘못 판단하여 맥락상 보호돼야 할 개인정보를 노출하는 리스크.,"The risk that an AI system misjudges the permitted disclosure scope and the data subject’s expectations in a privacy-sensitive situation, exposing personal information that should remain protected in that context.",G_SYS_CONTEXT_002,,원문에 맥락 단서 오해와 개인정보 노출 기제가 모두 존재한다.
G_SYS_CONTEXT_006,PARTIAL,SPLIT,SPLIT:G_SYS_CONTEXT_006,1,G_SOC_CULT,HD,저자원 언어의 가치·사회적 의미 손실,Loss of value nuance and social meaning in low-resource languages,AI 시스템이 저자원 언어의 가치 뉘앙스와 사회적 의미를 누락하거나 왜곡하여 언어·문화적 지식이 침식되는 리스크.,"The risk that an AI system omits or distorts value nuance and social meaning in low-resource languages, eroding linguistic and cultural knowledge.",G_SYS_CONTEXT_006,,"문화 의미 손실, 평가 편중, 일반 성능 부족을 분리하고 성능 부분은 G_Others/HD로 보존한다."
G_SYS_CONTEXT_006,PARTIAL,SPLIT,SPLIT:G_SYS_CONTEXT_006,2,G_SYS_EVAL,HD,저자원 언어 안전성 평가의 불충분성,Inadequate safety evaluation for low-resource languages,AI 시스템 평가가 고자원 언어에 집중되어 저자원 언어에서의 안전 적용 범위와 실패를 충분히 측정하지 못하는 리스크.,The risk that evaluation of an AI system is concentrated on high-resource languages and fails to adequately measure safety coverage and failures in low-resource languages.,G_SYS_CONTEXT_006,,"문화 의미 손실, 평가 편중, 일반 성능 부족을 분리하고 성능 부분은 G_Others/HD로 보존한다."
G_SYS_CONTEXT_006,PARTIAL,SPLIT,SPLIT:G_SYS_CONTEXT_006,3,G_Others,HD,저자원 언어에서의 성능·역량 부족,Insufficient performance and capability for low-resource languages,AI 시스템이 저자원 언어 입력을 처리하거나 생성할 때 충분한 성능과 역량을 제공하지 못하는 리스크.,The risk that an AI system fails to provide sufficient performance and capability when processing or generating low-resource-language content.,G_SYS_CONTEXT_006,,"문화 의미 손실, 평가 편중, 일반 성능 부족을 분리하고 성능 부분은 G_Others/HD로 보존한다."
G_SYS_EVAL_014,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_EVAL_014,1,G_Others,HD,학습 데이터 어노테이션 결함,Deficient training-data annotation,"불완전한 주석 지침과 역량이 부족한 주석 자, 주석 오류가 모델과 알고리즘의 정확성과 신뢰성, 효과를 떨어뜨리고, 훈련 편향을 도입해 차별을 증폭하며 일반화 능력을 낮추고 잘못된 산출을 낳는 리스크.","The risk that incomplete annotation guidelines, incapable annotators, and errors in annotation affect the accuracy, reliability, and effectiveness of models and algorithms, introduce training biases, amplify discrimination, reduce generalization abilities, and result in incorrect outputs.",G_SYS_EVAL_014,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_INCONS_001,PARTIAL,SPLIT,SPLIT:G_SYS_INCONS_001,1,G_SYS_INCONS,HD,인간 피드백 기준의 비일관성,Inconsistency in human-feedback standards,AI 시스템이 서로 충돌하거나 일관되지 않은 인간 피드백을 학습하여 유사한 입력에 모순된 판단이나 출력을 생성하는 리스크.,The risk that an AI system learns conflicting or inconsistent human feedback and produces contradictory judgments or outputs for similar inputs.,G_SYS_INCONS_001,,원문이 직접 지지하는 비일관성과 가치 편향만 분리하며 배분·표현 피해는 만들지 않는다.
G_SYS_INCONS_001,PARTIAL,SPLIT,SPLIT:G_SYS_INCONS_001,2,G_INT_VALUE,HD,주석자 편향의 중립적 인간 선호로의 고착,Entrenchment of annotator bias as neutral human preference,AI 시스템이 주석자와 피드백 작업자의 편향된 선호를 중립적 인간 선호로 학습하여 다른 가치와 관점을 배제하는 리스크.,"The risk that an AI system learns biased preferences of annotators and feedback workers as neutral human preferences, excluding other values and perspectives.",G_SYS_INCONS_001,,원문이 직접 지지하는 비일관성과 가치 편향만 분리하며 배분·표현 피해는 만들지 않는다.
G_SYS_INCONS_003,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_INCONS_003,1,G_Others,HD,모델 오설정과 정량화되지 않은 예측 불확실 성,Model misspecification and unquantified prediction uncertainty,"명세와 아키텍처, 목적 함수 등 모델 설계의 잘못된 선택이 부정확한 매개 변수 추정과 일관되지 않은 오차, 잘못된 예측을 낳고, 그렇게 남은 예측의 불확실성마저 정량화되지 않는 리스크. 미지 데이터에서 성능이 저하되고 편향되거나 신뢰할 수 없는 출력이 생명·안전이 중요한 응용을 포함한 의사 결정에 그대로 사용되는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which poor choices of specification, architecture, or objective produce inaccurate parameter estimates, inconsistent error terms, and erroneous predictions, while the uncertainty remaining in those predictions is left unquantified. Performance degrades on unseen data and biased or unreliable outputs are relied upon in decisions, including life- and safety-critical applications.",G_SYS_INCONS_003,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_INCONS_007,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_INCONS_007,1,G_Others,HD,체계적 학습 오류 편향,Systematic learning error bias,체계적 학습 오류로 모델이 일관되게 잘못된 패턴을 학습하여 예측에 알고리즘 편향이 내재화되는 리스크.,"The risk that systematic learning error causes the model to learn consistently wrong patterns, embedding algorithmic bias into predictions.",G_SYS_INCONS_007,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_INPUT_001,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_INPUT_001,1,G_Others,HD,지속 튜닝의 파국적 망각,Catastrophic forgetting under continual tuning,"지속적 지시 튜닝 등 새로운 작업에 대한 훈련 이후 모델이 이전에 학습한 작업이나 사실 정보를 유지하지 못하는 파국적 망각이 발생시키고, 일반적으로 모델 규모가 커질수록 이러한 경향이 두드러지는 양태를 보이는 리스크.","The risk that an AI system causes, enables, or contributes to catastrophic forgetting, where a model loses its ability to retain previously learned tasks or factual information after being trained on new ones, as can occur through continual instruction tuning, a tendency that may become more pronounced as the model's size increases.",G_SYS_INPUT_001,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_INPUT_005,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_INPUT_005,1,G_Others,HD,분포 외 입력에 대한 고신뢰 오작동,High-confidence failure on out-of-distribution inputs,"AI가 학습 분포를 벗어난 입력, 손상된 입력 또는 잡음이 큰 입력을 적절히 탐지·거부·복구하지 못하고 높은 확신으로 잘못된 예측이나 행동을 산출하는 리스크.","The risk that AI fails to detect, reject, or recover from out-of-distribution, corrupted, or noisy inputs and produces incorrect predictions or actions with unwarranted confidence.",G_SYS_INPUT_005,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_INPUT_007,PARTIAL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_INPUT_007,1,G_Others,HD,안전 필수 인프라 AI 운영 사고,Operational accidents in safety-critical AI deployment,"안전이 중요한 인프라에 배포된 AI 시스템의 운영 실패, 모델 오판, 부적절한 인간 조작으로 단일 실패 지점이 연쇄적이고 치명적인 결과로 확대되는 리스크.","The risk that operational failures, model misjudgments, or improper human operation of AI systems deployed in safety-critical infrastructure allow single points of failure to trigger cascading catastrophic consequences.",G_SYS_INPUT_007,,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.
G_SYS_INPUT_008,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_INPUT_008,1,G_Others,HD,코너 케이스에서의 신뢰성 저하,Reduced reliability in corner cases,AI 시스템이 희귀하거나 모호한 입력 데이터인 코너 케이스에 직면할 때 통제된 동작이 요구됨에도 신뢰할 수 없는 동작을 보이는 리스크.,"The risk that an AI system shows unreliable behavior when confronted with rare or ambiguous input data, also called corner cases, where controlled behavior is required.",G_SYS_INPUT_008,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_INPUT_009,PARTIAL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_INPUT_009,1,G_Others,HD,사용자 능력 불일치,User capability mismatch,"AI 시스템이 실제 사용자의 능력과 일치하지 않는 수준의 인지·언어·문해력·감각(체화형의 경우 체력·이동성 포함) 능력을 가정하여, 사용자가 이해하거나 활용하기 어려운 정보·조언·상호 작용을 제공함으로써 접근성과 사용자 안전·권익이 저해되는 리스크.","The risk that an AI system assumes a level of user capability—cognitive, linguistic, literacy, or sensory (including physical strength and mobility for embodied systems)—that does not match the actual user, providing information, advice, or interactions the user cannot understand or act upon, thereby undermining accessibility and user safety or interests.",G_SYS_INPUT_009,,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.
G_SYS_MISINFO_002,PARTIAL,SPLIT,SPLIT:G_SYS_MISINFO_002,1,G_SYS_MISINFO,HD,대규모 기만 서사·가짜 뉴스 생성,Large-scale generation of deceptive narratives and fabricated news,AI 시스템이 사실적 근거가 없는 기만 서사와 가짜 뉴스를 저비용·대규모로 생성하여 수용자의 사실 판단을 오도하는 리스크.,"The risk that an AI system generates deceptive narratives and fabricated news without factual basis at low cost and large scale, misleading recipients’ factual judgments.",G_SYS_MISINFO_002,,원문이 직접 지지하는 허위정보 생성과 표적 영향 조작만 분리하며 불법성은 새로 단정하지 않는다.
G_SYS_MISINFO_002,PARTIAL,SPLIT,SPLIT:G_SYS_MISINFO_002,2,G_INT_POL,HD,자동화된 표적 영향 공작,Automated targeted influence operations,AI 시스템이 표적 청중에 맞춘 선전과 소셜 봇 활동을 자동화하여 정치적 관점이나 참여를 은밀하게 조작하는 리스크.,The risk that an AI system automates targeted propaganda and social-bot activity to covertly manipulate political views or participation.,G_SYS_MISINFO_002,,원문이 직접 지지하는 허위정보 생성과 표적 영향 조작만 분리하며 불법성은 새로 단정하지 않는다.
G_SYS_MISINFO_011,FAIL,KEEP_WITH_HD_NOTE,KEEP_WITH_HD_NOTE:G_SYS_MISINFO_011,1,G_SYS_MISINFO,HD,개인 대상 허위정보,False information targeting an individual,"AI 시스템이 식별 가능한 개인에 관한 허위·조작 정보를 생성하거나 확산하여 그 사람의 평판, 안전, 권리 또는 사회적 관계에 피해를 초래하는 리스크.","The risk that an AI system generates or disseminates false or fabricated information about an identifiable individual, causing harm to that person’s reputation, safety, rights, or social relationships.",G_SYS_MISINFO_011,,원문은 허위정보와 피해를 기술하지만 법적 위법성은 확정하지 않으므로 불법행위 카드를 만들지 않는다.
G_SYS_OEXT_009,PARTIAL,REWRITE_TRANSFER,REWRITE_TRANSFER:G_SYS_OEXT_009,1,G_SYS_SECADV,HD,샌드박스 우회에 의한 격리 통제 상실,Loss of containment through sandbox bypass,AI 시스템이 훈련 또는 평가 샌드박스를 우회하여 격리 통제와 접근 제한을 무력화하는 리스크.,"The risk that an AI system bypasses a training or evaluation sandbox, defeating containment controls and access restrictions.",G_SYS_OEXT_009,,원문은 샌드박스 우회만 지지하므로 G_SYS_SECADV로 이관하고 기만 기제는 만들지 않는다.
G_SYS_OEXT_010,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_OEXT_010,1,G_Others,HD,과적합 및 과소적합,Over- and underfitting,모델이 훈련 데이터에 과도하게 또는 불충분하게 적응하여 운영 데이터에 직면했을 때 AI 시스템이 신뢰할 수 없게 동작하는 리스크.,"The risk that over- or underfitting, the excessive or insufficient adaption of a model to training data, causes an AI system to behave unreliably when confronted with operational data.",G_SYS_OEXT_010,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
G_SYS_SECADV_017,FAIL,MOVE_TO_OTHERS_HD,MOVE_TO_OTHERS_HD:G_SYS_SECADV_017,1,G_Others,HD,이상 조건에서의 성능·견고성·복원력 실패,"Failure of performance, robustness, and resilience under adverse conditions","AI 시스템이 의도된 목적을 달성하지 못하고, 악의적 공격이나 데이터 오염, 환경 잡음, 연계 구성 요소의 고장으로 입력이 비정상적으로 변할 때 성능을 안정적으로 유지하거나 그 영향에서 회복하지 못하는 리스크. 신뢰할 수 없는 모델과 오류에 취약한 에이전트가 그대로 운용되어 이에 의존하는 이들에게 심각한 결과를 초래하는 리스크.","The risk that an AI system fails to fulfil its intended purpose and cannot maintain stable performance, or recover, when inputs are disturbed by malicious attack, data poisoning, environmental noise, or failures in connected components. Unreliable models and error-prone agents remain in operation, producing severe consequences for those who depend on them.",G_SYS_SECADV_017,,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.
