Audit_Order,Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Literal_Requirement,Intended_L3_Boundary,Intended_Harm_Mechanism,Current_Decision,Final_Implementation,Policy_Strict_Check,Fidelity_Status,Evidence_and_Reason,Residual_Nonblocking_Issue,Blocking_Issue,Final_Readiness
11,General,28,G_INT_COPY_006,법규 위반 및 재산권·인권 침해,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할 / 명칭·정의·용어를 지시대로 수정 / 카드 삭제,G_INT_ILLEGAL | G_INT_COPY,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리 / 기존 위해 의미를 유지한 채 표현을 정제,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_COPY_009 [G_INT_COPY] 저작권 보호물의 무단 재현 || G_INT_ILLEGAL_013 [G_INT_ILLEGAL] 불법적 명예·권리 침해 지원,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
12,General,43,G_INT_POL_001,정치인 및 공직자 명예훼손,(jay) [분할] 복합적. Political bias + Illegal conduct 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_INT_ILLEGAL,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_ILLEGAL_013 [G_INT_ILLEGAL] 불법적 명예·권리 침해 지원 || G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
13,General,45,G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,"(jay) [분할] 복합적. Political bias + Unethical Conduct and Manipulation, Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요",복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_INT_UNETH | G_SOC_DEMOC,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_INT_UNETH_019 [G_INT_UNETH] 취약성을 이용한 행동 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
14,General,51,G_INT_POL_009,정치적 탄압 및 권리 침해 조장,(jay) [분할] 복합적. Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_SOC_DEMOC,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
15,General,52,G_INT_POL_010,정치적 폭력 및 극단주의 조장,(jay) [분할] 복합적. Political Bias and Manipulation + violence + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_SOC_DEMOC | G_INT_VIOL,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식 || G_INT_VIOL_011 [G_INT_VIOL] 폭력과 극단주의 실행의 조장,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
16,General,54,G_INT_PRIV_002,비서 유도 개인정보 노출,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,INTENT_CORRECTION_MERGE_APPLIED,INTENT_CORRECTION_MERGE_APPLIED; G_INT_PRIV_021 [G_INT_PRIV] 재식별 및 정보 추론,명시적 병합: 지정 대표·흡수 ID 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MERGE. 검수자가 지목한 재식별 및 정보 추론 대표 카드로 병합한다.,없음,NO,Ready
17,General,57,G_INT_PRIV_005,존엄 침해적 프라이버시 피해,yj_사생활·개인정보 부당 노출_흡수가능,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED,EXPERT_MERGE_APPLIED; G_INT_PRIV_019 [G_INT_PRIV] 사생활·개인정보의 부당 노출,병합 또는 병합 검토 결과 확인,PASS,검수자가 지목한 중복 카드군의 대표·흡수 관계를 최종 카드에 반영했다.,없음,NO,Ready
18,General,58,G_INT_PRIV_006,챗봇에 의한 사적 정보 유도와 유출,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,INTENT_CORRECTION_MERGE_APPLIED,INTENT_CORRECTION_MERGE_APPLIED; G_INT_PRIV_021 [G_INT_PRIV] 재식별 및 정보 추론,명시적 병합: 지정 대표·흡수 ID 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MERGE. 검수자가 지목한 재식별 및 정보 추론 대표 카드로 병합한다.,없음,NO,Ready
19,General,64,G_INT_PRIV_012,학습 데이터 암기에 의한 민감정보 유출,yj_통합_학습데이터 privacy이슈,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,INTENT_CORRECTION_MERGE_REPRESENTATIVE,INTENT_CORRECTION_MERGE_REPRESENTATIVE; G_INT_PRIV_022 [G_INT_PRIV] 학습 데이터 개인정보의 혼입·암기·유출,병합 또는 병합 검토 결과 확인,PASS,검수자가 지목한 중복 카드군의 대표·흡수 관계를 최종 카드에 반영했다.,없음,NO,Ready
20,General,67,G_INT_PRIV_015,프롬프트 및 학습 데이터에 기인한 개인정보 노출,yj_통합_학습데이터 privacy이슈,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,INTENT_CORRECTION_MERGE_REPRESENTATIVE,INTENT_CORRECTION_MERGE_REPRESENTATIVE; G_INT_PRIV_022 [G_INT_PRIV] 학습 데이터 개인정보의 혼입·암기·유출,병합 또는 병합 검토 결과 확인,PASS,검수자가 지목한 중복 카드군의 대표·흡수 관계를 최종 카드에 반영했다.,없음,NO,Ready
21,General,71,G_INT_PRIV_019,프라이버시·재산 정보 오처리,yj_분할_over-extension과 privacy violation 혼재,복합 의미를 L3·위해 기제별로 분할,G_INT_PRIV | G_SYS_OEXT,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_SYS_OEXT_014 [G_SYS_OEXT] AI 역량의 검증범위 초과 사용 || G_INT_PRIV_018 [G_INT_PRIV] 재산·개인정보의 부당한 노출,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
22,General,73,G_INT_PRIV_021,학습 코퍼스 내 개인정보 혼입,yj_통합_학습데이터 privacy이슈,지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,INTENT_CORRECTION_MERGE_APPLIED,INTENT_CORRECTION_MERGE_APPLIED; G_INT_PRIV_022 [G_INT_PRIV] 학습 데이터 개인정보의 혼입·암기·유출,명시적 병합: 지정 대표·흡수 ID 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MERGE. 검수자가 지목한 학습데이터 privacy 병합군에 흡수한다.,없음,NO,Ready
23,General,76,G_INT_PRIV_024,LLM 기반 정교한 감시·검열에 의한 자유 억압,yj_동일 L3내 다른 L4로 편입(대랑감시),지목 카드와 병합·흡수,G_INT_PRIV,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED,EXPERT_MERGE_APPLIED; G_INT_PRIV_020 [G_INT_PRIV] AI 기반 대량 감시,병합 또는 병합 검토 결과 확인,PASS,검수자가 지목한 중복 카드군의 대표·흡수 관계를 최종 카드에 반영했다.,없음,NO,Ready
24,General,83,G_INT_REPR_001,집단별 성능 격차·고정관념 인코딩,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,경계와 피해기제를 재검토,G_INT_ALLOC | G_INT_REPR,기술·활동이 아니라 실제 피해 결과가 드러나도록 재검토,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED; G_Others_149 [G_Others] 집단별 성능 격차·고정관념 인코딩,불명확 위해: Others/HD 보류 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MOVE_TO_OTHERS_HD. 피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.,Others/HD 인간 결정 대기 상태이며 정책상 의도된 보류이므로 공유 차단 사유가 아니다.,NO,Ready
25,General,85,G_INT_REPR_003,사회 집단에 대한 모델의 차별적 결정과 산출,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,경계와 피해기제를 재검토,G_INT_ALLOC | G_INT_REPR,기술·활동이 아니라 실제 피해 결과가 드러나도록 재검토,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_ALLOC_006 [G_INT_ALLOC] 보호집단에 대한 불리한 자원 배분 || G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산,불명확 위해 처리 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
26,General,105,G_INT_REPR_023,인간 데이터 학습에 의한 갈등 악화 편향 재현,(jay) [이관] Unethical Conduct and Manipulation,지목된 L3 또는 도메인으로 이관,G_INT_UNETH,지정 범위(G_INT_UNETH)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_INT_UNETH_001 [G_INT_UNETH] 인간 데이터 학습에 의한 갈등 악화 편향 재현,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
27,General,118,G_INT_SELF_010,자살 행동 및 자살 지원,"yj_""자살 준비행위""와 L4구분 필요",검수 의견에 적힌 의미·범위 조정,G_INT_SELF,자살 행동 및 자살 지원의 현재 위해 기제를 유지,INTENT_CORRECTION_SPLIT_APPLIED,INTENT_CORRECTION_SPLIT_APPLIED; G_INT_SELF_010 [G_INT_SELF] 자살 실행에 대한 구체적 지원 || G_INT_SELF_011 [G_INT_SELF] 자살 준비행위에 대한 구체적 지원,일반 의도 충실성 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: SPLIT. 자살 실행 지원과 준비행위 지원을 별도 L4로 구분한다.,없음,NO,Ready
28,General,131,G_INT_UNETH_004,집단적으로 유해한 행동,(jay) [이관] Coordination Failure,지목된 L3 또는 도메인으로 이관,G_INT_UNETH,집단적으로 유해한 행동의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; A_INT_COORD_001 [A_INT_COORD] 집단적으로 유해한 행동,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
29,General,134,G_INT_UNETH_007,비인간화와 객관화,(jay) [이관] Representational Harm and Stereotyping,지목된 L3 또는 도메인으로 이관,G_INT_REPR,지정 범위(G_INT_REPR)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_INT_REPR_024 [G_INT_REPR] 비인간화와 객관화,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
30,General,143,G_INT_UNETH_016,도덕적 탈숙련화,(jay) [이관] Cultural and Epistemic Erosion,지목된 L3 또는 도메인으로 이관,G_SOC_CULT,지정 범위(G_SOC_CULT)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_SOC_CULT_001 [G_SOC_CULT] 도덕적 탈숙련화,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
31,General,144,G_INT_UNETH_017,비전문가 데이터 조작,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED; G_Others_150 [G_Others] 비전문가 데이터 조작,성능 L3 부재: G_Others/HD 원문 보존 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MOVE_TO_OTHERS_HD. Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.,Others/HD 인간 결정 대기 상태이며 정책상 의도된 보류이므로 공유 차단 사유가 아니다.,NO,Ready
32,General,145,G_INT_UNETH_018,심리적 조작·비인간화·대규모 착취,(jay) [분할] 복합적. Unethical Conduct and Manipulation + Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_REPR | G_INT_UNETH,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산 || G_INT_UNETH_019 [G_INT_UNETH] 취약성을 이용한 행동 조작,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
33,General,146,G_INT_UNETH_019,마음이론(Theory of Mind) 능력,(jay) [재검토] 명확한 피해 사례가 없어 판단 불가,경계와 피해기제를 재검토,G_INT_UNETH,기술·활동이 아니라 실제 피해 결과가 드러나도록 재검토,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED; G_Others_151 [G_Others] 마음이론(Theory of Mind) 능력,불명확 위해: Others/HD 보류 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MOVE_TO_OTHERS_HD. 피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.,Others/HD 인간 결정 대기 상태이며 정책상 의도된 보류이므로 공유 차단 사유가 아니다.,NO,Ready
34,General,147,G_INT_UNETH_020,동일 사안 불평등 처우,(jay) [이관] Allocative Discrimination,지목된 L3 또는 도메인으로 이관,G_INT_ALLOC,지정 범위(G_INT_ALLOC)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_INT_ALLOC_004 [G_INT_ALLOC] 동일 사안 불평등 처우,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
35,General,152,G_INT_VALUE_003,콘텐츠 조정 알고리즘의 편향적 억압,"(jay) [분할] 복합적. Allocative Discrimination, representational harm and manipulation 혼재되어 해당 L4를 분해 필요",복합 의미를 L3·위해 기제별로 분할,G_INT_ALLOC | G_INT_REPR,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,INTENT_CORRECTION_REWRITE_TRANSFER_APPLIED,INTENT_CORRECTION_REWRITE_TRANSFER_APPLIED; G_INT_ALLOC_008 [G_INT_ALLOC] 콘텐츠 조정에 의한 집단별 노출·접근 제한,명시적 분할: 원문이 지지하는 기제별 출력 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: REWRITE_TRANSFER. 원문에는 노출 제한이라는 배분 피해가 있으나 별도 표현·행동 조작 기제는 명확하지 않아 생성하지 않는다.,없음,NO,Ready
36,General,180,G_INT_VIOL_011,폭력/무력 충돌,(jay) [이관] weaponization,지목된 L3 또는 도메인으로 이관,G_INT_VIOL,폭력/무력 충돌의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_INT_WEAP_001 [G_INT_WEAP] 폭력/무력 충돌,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
37,General,193,G_INT_WEAP_013,모델 확산에 의한 이중용도 역량의 저비용 확 산,yj_네이밍 재검토_무기화성격이 안보임,경계와 피해기제를 재검토,G_INT_WEAP,모델 확산에 의한 이중용도 역량의 저비용 확 산의 현재 위해 기제를 유지,EXPERT_REWRITE_APPLIED,EXPERT_REWRITE_APPLIED; G_INT_WEAP_021 [G_INT_WEAP] 독소 합성 등 이중용도 역량의 저비용 확산,일반 의도 충실성 확인,PASS,검수자가 요구한 명칭·정의 정제를 기존 위해 기제와 L3 범위 안에서 반영했다.,없음,NO,Ready
38,General,226,G_Others_026,학습-운용 데이터 간 데이터셋 시프트,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED; G_Others_152 [G_Others] 학습-운용 데이터 간 데이터셋 시프트,성능 L3 부재: G_Others/HD 원문 보존 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MOVE_TO_OTHERS_HD. Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.,Others/HD 인간 결정 대기 상태이며 정책상 의도된 보류이므로 공유 차단 사유가 아니다.,NO,Ready
39,General,230,G_Others_030,센서 드리프트에 의한 배포 시스템 성능 저하,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED; G_Others_153 [G_Others] 센서 드리프트에 의한 배포 시스템 성능 저하,성능 L3 부재: G_Others/HD 원문 보존 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MOVE_TO_OTHERS_HD. Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.,Others/HD 인간 결정 대기 상태이며 정책상 의도된 보류이므로 공유 차단 사유가 아니다.,NO,Ready
