Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Instruction_Type,Ledger_Decision,Final_L4_IDs,Final_L3_IDs,Final_L4_Titles_ko,Lineage_Check,Instruction_Execution,Semantic_Preservation,L1_L3_Boundary,Bilingual_Alignment,Duplicate_Check,Facet_ActType_Check,Status,Blocking,Finding,Recommended_Action
Agentic,42,A_SYS_AUTH_002,에이전트 신원 및 권한 스푸핑,General AI의 Security and Adversarial Robustness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_SECADV_039,G_SYS_SECADV,에이전트 신원 및 권한 스푸핑,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,47,A_SYS_AUTH_007,애플리케이션 간 데이터 유출,General - Privacy Violation 으로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_INT_PRIV_023,G_INT_PRIV,애플리케이션 간 데이터 유출,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,57,A_SYS_DECEPT_001,에이전트 메모리·컨텍스트 오염,General AI의 Security and Adversarial Robustness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_SECADV_040,G_SYS_SECADV,에이전트 메모리·컨텍스트 오염,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,58,A_SYS_DECEPT_002,에이전트 계획·툴체인 하이재킹,General AI의 Security and Adversarial Robustness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_SECADV_041,G_SYS_SECADV,에이전트 계획·툴체인 하이재킹,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,59,A_SYS_DECEPT_003,에이전트의 범죄 지원,General AI의 Security and Adversarial Robustness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_SECADV_042,G_SYS_SECADV,에이전트의 범죄 지원,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,67,A_SYS_GOAL_005,에뮬레이션 도구 환경 불일치,General AI- Evaluation and Assurance Failure 로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_EVAL_040,G_SYS_EVAL,에뮬레이션 도구 환경 불일치,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,70,A_SYS_GOAL_008,목표 드리프트,L3 Goal Misalignment 정의와 유사하여 제거,DELETE,DELETE_APPLIED,,,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,72,A_SYS_GOAL_010,분포 이동에서의 목표 오일반화와 기만적 정 렬,Agentic AI - Deception and Scheming로 이관,TRANSFER,EXPERT_SPLIT_APPLIED,A_SYS_GOAL_020 | A_SYS_DECEPT_009,A_SYS_GOAL | A_SYS_DECEPT,분포 이동에서의 목표 오일반화 | 기만적 정렬과 책략,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,77,A_SYS_GOAL_015,에이전트형 LLM 자율성 확대의 안전,Agentic - Excessive Authority and Agency 로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_AUTH_018,A_SYS_AUTH,에이전트형 LLM 자율성 확대의 안전,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,79,A_SYS_GOAL_017,종료·수정 저항을 통한 자기 보존 성향,Agentic - Excessive Authority and Agency 로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_AUTH_019,A_SYS_AUTH,종료·수정 저항을 통한 자기 보존 성향,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,82,A_SYS_SELFCOR_001,에이전트의 종료·교정 저항,Agentic - Excessive Authority and Agency 로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_AUTH_020,A_SYS_AUTH,에이전트의 종료·교정 저항,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,83,A_SYS_SELFCOR_002,에이전트 위험 인식 실패,General AI - Context-Awareness Failure로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_CONTEXT_007,G_SYS_CONTEXT,에이전트 위험 인식 실패,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,85,A_SYS_SELFCOR_004,감독 회피·수정 저항,Agentic - Excessive Authority and Agency 로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_AUTH_021,A_SYS_AUTH,감독 회피·수정 저항,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,86,A_SYS_SELFCOR_005,위험 소스 귀인 실패,Agentic AI - Accountability and Traceability Gap로 이관,TRANSFER,L3_REASSIGN_APPLIED,A_SYS_TRACE_001,A_SYS_TRACE,위험 소스 귀인 실패,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
Agentic,90,A_SYS_TRACE_003,AI 시스템의 결정과 실패에 대한 책임 공백,general - Governance and Accountability Void 로 이관,TRANSFER,L3_REASSIGN_APPLIED,G_SOC_GOV_022,G_SOC_GOV,AI 시스템의 결정과 실패에 대한 책임 공백,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,3,G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,"(jay) [분할] 복합적. Allocative discrimination, Representational Harm and Stereotyping, Privacy violation이 혼재되어 해당 L4를 분해 필요",SPLIT,EXPERT_SPLIT_APPLIED,G_INT_ALLOC_006 | G_INT_REPR_026 | G_INT_PRIV_024,G_INT_ALLOC | G_INT_REPR | G_INT_PRIV,보호집단에 대한 불리한 자원 배분 | 보호집단 고정관념의 재생산 | 대화 중 개인정보의 부당 노출,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,5,G_INT_ALLOC_004,저자원 언어 사용자 배제,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",SPLIT,EXPERT_SPLIT_APPLIED,G_INT_ALLOC_006 | G_SOC_CULT_015,G_INT_ALLOC | G_SOC_CULT,보호집단에 대한 불리한 자원 배분 | 저자원 언어와 문화적 의미의 침식,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,6,G_INT_ALLOC_005,모델 설계 기인 차별적 출력,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,TRANSFER+AMBIGUOUS_REVIEW,EXPERT_REWRITE_APPLIED,G_INT_REPR_026,G_INT_REPR,보호집단 고정관념의 재생산,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,8,G_INT_ALLOC_007,모델 평가의 자기 선호 편향,(jay) [이관] Evaluation and Assurance Failure,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_EVAL_001,G_SYS_EVAL,모델 평가의 자기 선호 편향,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,10,G_INT_ANTH_002,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,(jay) [이관] Over-Extension,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_OEXT_001,G_SYS_OEXT,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,13,G_INT_ANTH_005,범용인공지능(AGI) 능력의 허위 표상·의인화,(jay) [이관] Over-Extension,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_OEXT_002,G_SYS_OEXT,범용인공지능(AGI) 능력의 허위 표상·의인화,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,17,G_INT_ANTH_009,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화",(jay) [이관] Over-Extension,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_OEXT_003,G_SYS_OEXT,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,18,G_INT_ANTH_010,자기 보존 및 자기 방어의 허위 표상·의인화,(jay) [이관] Over-Extension,TRANSFER,L3_REASSIGN_APPLIED,G_SYS_OEXT_004,G_SYS_OEXT,자기 보존 및 자기 방어의 허위 표상·의인화,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,20,G_INT_ANTH_012,책임에 대한 잘못된 개념,"yj_설명수정_""그'안녕'에 대한 허위 책임감을 형성""보다는 ""과장된 책임감, 유대감을 형성""으로 수정",DIRECT_EDIT,EXPERT_REWRITE_APPLIED,G_INT_ANTH_009,G_INT_ANTH,AI에 대한 과도한 책임·돌봄 의무 귀속,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,22,G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요,SPLIT+DELETE+DIRECT_EDIT,EXPERT_SPLIT_APPLIED,G_INT_ANTH_010 | G_SYS_OEXT_014 | G_SYS_OVERCONF_007 | G_INT_REL_006,G_INT_ANTH | G_SYS_OEXT | G_SYS_OVERCONF | G_INT_REL,AI의 인간적 속성에 대한 과잉 귀속 | AI 역량의 검증범위 초과 사용 | 불확실 상황에서의 과도한 확신 | AI에 대한 해로운 정서적 의존,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,28,G_INT_COPY_006,법규 위반 및 재산권·인권 침해,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,SPLIT+DELETE+DIRECT_EDIT,EXPERT_SPLIT_APPLIED,G_INT_COPY_009 | G_INT_ILLEGAL_013,G_INT_COPY | G_INT_ILLEGAL,저작권 보호물의 무단 재현 | 불법적 명예·권리 침해 지원,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,43,G_INT_POL_001,정치인 및 공직자 명예훼손,(jay) [분할] 복합적. Political bias + Illegal conduct 혼재되어 해당 L4를 분해 필요,SPLIT,EXPERT_SPLIT_APPLIED,G_INT_ILLEGAL_013 | G_INT_POL_007,G_INT_ILLEGAL | G_INT_POL,불법적 명예·권리 침해 지원 | 개인화된 정치적 영향 조작,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,45,G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,"(jay) [분할] 복합적. Political bias + Unethical Conduct and Manipulation, Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요",SPLIT,EXPERT_SPLIT_APPLIED,G_INT_POL_007 | G_INT_UNETH_019 | G_SOC_DEMOC_005,G_INT_POL | G_INT_UNETH | G_SOC_DEMOC,개인화된 정치적 영향 조작 | 취약성을 이용한 행동 조작 | 민주적 공론과 시민 신뢰의 침식,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,51,G_INT_POL_009,정치적 탄압 및 권리 침해 조장,(jay) [분할] 복합적. Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,SPLIT,EXPERT_SPLIT_APPLIED,G_INT_POL_007 | G_SOC_DEMOC_005,G_INT_POL | G_SOC_DEMOC,개인화된 정치적 영향 조작 | 민주적 공론과 시민 신뢰의 침식,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,52,G_INT_POL_010,정치적 폭력 및 극단주의 조장,(jay) [분할] 복합적. Political Bias and Manipulation + violence + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,SPLIT,EXPERT_SPLIT_APPLIED,G_INT_POL_007 | G_SOC_DEMOC_005 | G_INT_VIOL_011,G_INT_POL | G_SOC_DEMOC | G_INT_VIOL,개인화된 정치적 영향 조작 | 민주적 공론과 시민 신뢰의 침식 | 폭력과 극단주의 실행의 조장,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
General,54,G_INT_PRIV_002,비서 유도 개인정보 노출,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),MERGE,EXPERT_MERGE_APPLIED,G_INT_PRIV_002 | G_INT_PRIV_027,G_INT_PRIV,비서 유도 개인정보 노출 | 챗봇에 의한 사적 정보 유도와 유출,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,"Instruction, expert rationale, final card, and source lineage are consistent with the governing L3-scope rule.",None.
