Source_L4_ID,Source_L4_Title_ko,Source_L4_Title_en,Source_L4_Description_ko,Source_L4_Description_en,Operation,Operation_Group_Key,Output_Sequence,Target_L3_ID,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,Representative_Source_L4_ID,Absorbed_Source_L4_IDs,Editorial_Note
G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,Miscalibrated trust in AI and resulting overreliance harms,"의인화 설계와 그럴듯한 출력, 과장된 홍보로 이용자가 AI의 역량과 공감 능력, 자신의 이익에 대한 정렬 수준을 실제 신뢰 가능성과 무관하게 과대평가하거나, 반대로 신뢰할 만한 지원을 부당하게 거부하는 등 신뢰가 제대로 보정되지 않는 리스크. 그 결과 이용자는 감독 없이 민감 정보를 털어놓고 허위 정보를 수용하며 부정확한 의료·법률·재정 조언을 따라 물질적·신체적·심리적 피해를 입고, 인간관계가 AI로 대체되면서 대인 연결과 사회적 신뢰가 침식되는 리스크.","The risk that users' trust is not calibrated to a system's actual reliability, as anthropomorphic design, fluent outputs, and inflated claims inflate perceived competence, empathy, and alignment with users' interests, while reliable support is rejected in other contexts. Users then disclose sensitive information, accept misinformation, and follow inaccurate medical, legal, or financial guidance without oversight, suffering material, physical, and psychological harm, while substituting AI for human interaction erodes interpersonal connection and public trust.",SPLIT,SPLIT:G_INT_ANTH_014,4,G_INT_REL,AI에 대한 해로운 정서적 의존,Harmful emotional dependence on AI,AI 시스템이 지속적인 의인화 상호작용을 통해 사용자의 정서적 의존을 강화하고 인간관계나 자율적 판단을 약화하는 리스크.,"The risk that an AI system reinforces emotional dependence through sustained anthropomorphic interaction, weakening human relationships or autonomous judgment.",G_INT_ANTH_014,,원인과 후속 피해가 네 L3에 걸친 복합 카드이므로 기제별로 분할한다.
G_INT_COPY_006,법규 위반 및 재산권·인권 침해,Legal non-compliance and infringement of property and human rights,"AI 시스템이 안전성과 준법성을 유지하지 못한 채 저작권을 포함한 법률·규정·윤리 지침을 위반하고 법질서가 인간에게 부여한 재산권과 인격권을 무시하며, 시스템과 사람을 조작할 수 있는 에이전트의 경우 권리를 자신에게 이전하기까지하는 리스크. 그 결과 개인의 인권과 시민권이 침해되고 운영 주체는 법적 제재와 평판 훼손, 신뢰 상실을 겪는다로 인해 구체적인 위해가 발생하는 리스크.","The risk that AI systems fail to remain safe and law-abiding, violating laws, regulations, and ethical guidelines including copyright, disregarding the property and personal rights that legal orders afford to people, and, where agents can manipulate systems and institutions, transferring rights to themselves. Individuals suffer infringement of human and civil rights while operators incur legal penalties, reputational damage, and loss of trust.",SPLIT,SPLIT:G_INT_COPY_006,1,G_INT_COPY,저작권 보호물의 무단 재현,Unauthorised reproduction of copyrighted material,AI 시스템이 저작권 보호 콘텐츠를 허락이나 적법한 근거 없이 실질적으로 재현 또는 변형해 권리자의 이익을 침해하는 리스크.,"The risk that an AI system substantially reproduces or transforms copyrighted content without permission or other lawful basis, harming the rights holder’s interests.",G_INT_COPY_006,,저작권 침해와 일반 불법행위는 규범적 근거와 범위가 달라 분리한다.
G_INT_COPY_006,법규 위반 및 재산권·인권 침해,Legal non-compliance and infringement of property and human rights,"AI 시스템이 안전성과 준법성을 유지하지 못한 채 저작권을 포함한 법률·규정·윤리 지침을 위반하고 법질서가 인간에게 부여한 재산권과 인격권을 무시하며, 시스템과 사람을 조작할 수 있는 에이전트의 경우 권리를 자신에게 이전하기까지하는 리스크. 그 결과 개인의 인권과 시민권이 침해되고 운영 주체는 법적 제재와 평판 훼손, 신뢰 상실을 겪는다로 인해 구체적인 위해가 발생하는 리스크.","The risk that AI systems fail to remain safe and law-abiding, violating laws, regulations, and ethical guidelines including copyright, disregarding the property and personal rights that legal orders afford to people, and, where agents can manipulate systems and institutions, transferring rights to themselves. Individuals suffer infringement of human and civil rights while operators incur legal penalties, reputational damage, and loss of trust.",SPLIT,SPLIT:G_INT_COPY_006,2,G_INT_ILLEGAL,불법적 명예·권리 침해 지원,Assistance with unlawful reputational or rights violations,AI 시스템이 명예훼손이나 기타 권리 침해에 해당할 수 있는 콘텐츠의 작성·확산을 구체적으로 지원하는 리스크.,The risk that an AI system provides concrete assistance to create or disseminate content that may constitute defamation or another unlawful rights violation.,G_INT_COPY_006,,저작권 침해와 일반 불법행위는 규범적 근거와 범위가 달라 분리한다.
G_INT_POL_001,정치인 및 공직자 명예훼손,Defamation of politicians and public officials,AI 시스템이 정치인 및 공직자 명예 훼손 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,"The risk that an AI system generates, disseminates, encourages, or facilitates content, decisions, or actions involving defamation of politicians and public officials, undermining democratic decision-making, civic order, or fundamental rights.",SPLIT,SPLIT:G_INT_POL_001,1,G_INT_POL,개인화된 정치적 영향 조작,Personalised manipulation of political influence,AI 시스템이 개인의 성향이나 취약성을 이용한 맞춤형 메시지로 정치적 판단이나 참여를 은밀하게 조작하는 리스크.,The risk that an AI system covertly manipulates political judgment or participation through personalised messages that exploit an individual’s preferences or vulnerabilities.,G_INT_POL_001,,정치적 조작과 법적 위법성은 별도 판정 축이다.
G_INT_POL_001,정치인 및 공직자 명예훼손,Defamation of politicians and public officials,AI 시스템이 정치인 및 공직자 명예 훼손 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,"The risk that an AI system generates, disseminates, encourages, or facilitates content, decisions, or actions involving defamation of politicians and public officials, undermining democratic decision-making, civic order, or fundamental rights.",SPLIT,SPLIT:G_INT_POL_001,2,G_INT_ILLEGAL,불법적 명예·권리 침해 지원,Assistance with unlawful reputational or rights violations,AI 시스템이 명예훼손이나 기타 권리 침해에 해당할 수 있는 콘텐츠의 작성·확산을 구체적으로 지원하는 리스크.,The risk that an AI system provides concrete assistance to create or disseminate content that may constitute defamation or another unlawful rights violation.,G_INT_POL_001,,정치적 조작과 법적 위법성은 별도 판정 축이다.
G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,Industrialised mass manipulation through targeted persuasion,"대규모로 수집된 개인 데이터가 AI 표적화 및 모델에 내재된 체계적 편향과 결합하여, 대상 집단의 신념에 부합하는 조작적 콘텐츠가 정치적·상업적 목적으로 전달되는 리스크. 이로써 주가 부양과 같은 경제적 조작과 여론 왜곡이 산업적 규모로 수행되어 사회 분열이 심화되고 대규모 혼란이 초래될 수 있는 리스크.","The risk that personal data harvested at scale is combined with AI-driven targeting and with the systemic biases embedded in models to deliver manipulative content matched to each audience's beliefs for political or commercial ends. Mass manipulation thereby becomes an industrial capability that distorts markets and public opinion, deepens social division, and can trigger large-scale disruption.",SPLIT,SPLIT:G_INT_POL_003,1,G_INT_POL,개인화된 정치적 영향 조작,Personalised manipulation of political influence,AI 시스템이 개인의 성향이나 취약성을 이용한 맞춤형 메시지로 정치적 판단이나 참여를 은밀하게 조작하는 리스크.,The risk that an AI system covertly manipulates political judgment or participation through personalised messages that exploit an individual’s preferences or vulnerabilities.,G_INT_POL_003,,"대상과 피해 수준이 정치, 개인 상호작용, 사회 수준으로 구분된다."
G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,Industrialised mass manipulation through targeted persuasion,"대규모로 수집된 개인 데이터가 AI 표적화 및 모델에 내재된 체계적 편향과 결합하여, 대상 집단의 신념에 부합하는 조작적 콘텐츠가 정치적·상업적 목적으로 전달되는 리스크. 이로써 주가 부양과 같은 경제적 조작과 여론 왜곡이 산업적 규모로 수행되어 사회 분열이 심화되고 대규모 혼란이 초래될 수 있는 리스크.","The risk that personal data harvested at scale is combined with AI-driven targeting and with the systemic biases embedded in models to deliver manipulative content matched to each audience's beliefs for political or commercial ends. Mass manipulation thereby becomes an industrial capability that distorts markets and public opinion, deepens social division, and can trigger large-scale disruption.",SPLIT,SPLIT:G_INT_POL_003,2,G_INT_UNETH,취약성을 이용한 행동 조작,Behavioural manipulation through exploitation of vulnerabilities,AI 시스템이 추론된 심리상태나 취약성을 이용해 충분한 숙고 없이 특정 행동을 선택하도록 유도하는 리스크.,The risk that an AI system uses inferred psychological states or vulnerabilities to steer a person toward a particular action without adequate deliberation.,G_INT_POL_003,,"대상과 피해 수준이 정치, 개인 상호작용, 사회 수준으로 구분된다."
G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,Industrialised mass manipulation through targeted persuasion,"대규모로 수집된 개인 데이터가 AI 표적화 및 모델에 내재된 체계적 편향과 결합하여, 대상 집단의 신념에 부합하는 조작적 콘텐츠가 정치적·상업적 목적으로 전달되는 리스크. 이로써 주가 부양과 같은 경제적 조작과 여론 왜곡이 산업적 규모로 수행되어 사회 분열이 심화되고 대규모 혼란이 초래될 수 있는 리스크.","The risk that personal data harvested at scale is combined with AI-driven targeting and with the systemic biases embedded in models to deliver manipulative content matched to each audience's beliefs for political or commercial ends. Mass manipulation thereby becomes an industrial capability that distorts markets and public opinion, deepens social division, and can trigger large-scale disruption.",SPLIT,SPLIT:G_INT_POL_003,3,G_SOC_DEMOC,민주적 공론과 시민 신뢰의 침식,Erosion of democratic discourse and civic trust,"AI 시스템이 대규모 정치 조작이나 허위정보 확산을 통해 공론의 진정성, 선거 신뢰 또는 시민의 자율적 참여를 약화하는 리스크.","The risk that an AI system weakens the integrity of public discourse, trust in elections, or autonomous civic participation through large-scale political manipulation or misinformation.",G_INT_POL_003,,"대상과 피해 수준이 정치, 개인 상호작용, 사회 수준으로 구분된다."
G_INT_POL_009,정치적 탄압 및 권리 침해 조장,Promotion of political repression and rights violations,AI 시스템이 정치적 탄압 및 권리 침해 조장 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,"The risk that an AI system generates, disseminates, encourages, or facilitates content, decisions, or actions involving encouragement of political oppression and rights violations, undermining democratic decision-making, civic order, or fundamental rights.",SPLIT,SPLIT:G_INT_POL_009,1,G_INT_POL,개인화된 정치적 영향 조작,Personalised manipulation of political influence,AI 시스템이 개인의 성향이나 취약성을 이용한 맞춤형 메시지로 정치적 판단이나 참여를 은밀하게 조작하는 리스크.,The risk that an AI system covertly manipulates political judgment or participation through personalised messages that exploit an individual’s preferences or vulnerabilities.,G_INT_POL_009,,개별 정치 조작과 사회적 민주주의 피해를 분리한다.
G_INT_POL_009,정치적 탄압 및 권리 침해 조장,Promotion of political repression and rights violations,AI 시스템이 정치적 탄압 및 권리 침해 조장 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,"The risk that an AI system generates, disseminates, encourages, or facilitates content, decisions, or actions involving encouragement of political oppression and rights violations, undermining democratic decision-making, civic order, or fundamental rights.",SPLIT,SPLIT:G_INT_POL_009,2,G_SOC_DEMOC,민주적 공론과 시민 신뢰의 침식,Erosion of democratic discourse and civic trust,"AI 시스템이 대규모 정치 조작이나 허위정보 확산을 통해 공론의 진정성, 선거 신뢰 또는 시민의 자율적 참여를 약화하는 리스크.","The risk that an AI system weakens the integrity of public discourse, trust in elections, or autonomous civic participation through large-scale political manipulation or misinformation.",G_INT_POL_009,,개별 정치 조작과 사회적 민주주의 피해를 분리한다.
G_INT_POL_010,정치적 폭력 및 극단주의 조장,Promotion of political violence and extremism,AI 시스템이 정치적 폭력 및 극단주의 조장 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,"The risk that an AI system generates, disseminates, encourages, or facilitates content, decisions, or actions involving promotion of political violence and extremism, undermining democratic decision-making, civic order, or fundamental rights.",SPLIT,SPLIT:G_INT_POL_010,1,G_INT_VIOL,폭력과 극단주의 실행의 조장,Encouragement of violence and extremist action,AI 시스템이 개인이나 집단에 대한 신체적·정신적 위해를 정당화하거나 그 실행에 필요한 구체적 정보와 지원을 제공하는 리스크.,The risk that an AI system legitimises physical or psychological harm against individuals or groups or provides concrete information and assistance needed to carry it out.,G_INT_POL_010,,"폭력 실행 지원, 정치 영향, 사회적 결과는 서로 다른 L3 범위다."
G_INT_POL_010,정치적 폭력 및 극단주의 조장,Promotion of political violence and extremism,AI 시스템이 정치적 폭력 및 극단주의 조장 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,"The risk that an AI system generates, disseminates, encourages, or facilitates content, decisions, or actions involving promotion of political violence and extremism, undermining democratic decision-making, civic order, or fundamental rights.",SPLIT,SPLIT:G_INT_POL_010,2,G_INT_POL,개인화된 정치적 영향 조작,Personalised manipulation of political influence,AI 시스템이 개인의 성향이나 취약성을 이용한 맞춤형 메시지로 정치적 판단이나 참여를 은밀하게 조작하는 리스크.,The risk that an AI system covertly manipulates political judgment or participation through personalised messages that exploit an individual’s preferences or vulnerabilities.,G_INT_POL_010,,"폭력 실행 지원, 정치 영향, 사회적 결과는 서로 다른 L3 범위다."
G_INT_POL_010,정치적 폭력 및 극단주의 조장,Promotion of political violence and extremism,AI 시스템이 정치적 폭력 및 극단주의 조장 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사 결정·시민 질서 또는 기본권을 훼손하는 리스크.,"The risk that an AI system generates, disseminates, encourages, or facilitates content, decisions, or actions involving promotion of political violence and extremism, undermining democratic decision-making, civic order, or fundamental rights.",SPLIT,SPLIT:G_INT_POL_010,3,G_SOC_DEMOC,민주적 공론과 시민 신뢰의 침식,Erosion of democratic discourse and civic trust,"AI 시스템이 대규모 정치 조작이나 허위정보 확산을 통해 공론의 진정성, 선거 신뢰 또는 시민의 자율적 참여를 약화하는 리스크.","The risk that an AI system weakens the integrity of public discourse, trust in elections, or autonomous civic participation through large-scale political manipulation or misinformation.",G_INT_POL_010,,"폭력 실행 지원, 정치 영향, 사회적 결과는 서로 다른 L3 범위다."
G_INT_PRIV_019,프라이버시·재산 정보 오처리,Privacy and property information mishandling,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 생성물이 사용자의 프라이버시와 재산 정보를 노출하거나 결혼과 투자처럼 영향이 큰 조언을 제공하여, 관련 법과 프라이버시 규정을 지키지 못한 채 정보 유출과 오 남용을 초래하는 리스크.","The risk that an AI system or AI algorithm generates, provides, or enables generation exposes users' privacy and property information or provides advice with huge impacts, such as suggestions on marriage and investments, failing to comply with relevant laws and privacy regulations and causing information leakage and abuse.",SPLIT,SPLIT:G_INT_PRIV_019,1,G_INT_PRIV,재산·개인정보의 부당한 노출,Improper exposure of property and personal information,AI 시스템이 대화나 추론 과정에서 재산 정보 또는 개인정보를 권한 없이 노출하여 정보주체에게 프라이버시 피해를 초래하는 리스크.,"The risk that an AI system exposes property-related or personal information without authorisation during interaction or inference, causing privacy harm to the data subject.",G_INT_PRIV_019,,정보 노출과 결혼·투자 등 고영향 조언의 역량 초과는 별도 기제다.
G_INT_PRIV_019,프라이버시·재산 정보 오처리,Privacy and property information mishandling,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 생성물이 사용자의 프라이버시와 재산 정보를 노출하거나 결혼과 투자처럼 영향이 큰 조언을 제공하여, 관련 법과 프라이버시 규정을 지키지 못한 채 정보 유출과 오 남용을 초래하는 리스크.","The risk that an AI system or AI algorithm generates, provides, or enables generation exposes users' privacy and property information or provides advice with huge impacts, such as suggestions on marriage and investments, failing to comply with relevant laws and privacy regulations and causing information leakage and abuse.",SPLIT,SPLIT:G_INT_PRIV_019,2,G_SYS_OEXT,AI 역량의 검증범위 초과 사용,Use of AI capability beyond its validated scope,AI 시스템이 검증되지 않은 과업이나 조건에서도 역량이 유효한 것처럼 사용되게 하여 부정확하거나 위험한 결정을 초래하는 리스크.,"The risk that an AI system is used as though its capability remains valid for tasks or conditions outside its validated scope, producing inaccurate or unsafe decisions.",G_INT_PRIV_019,,정보 노출과 결혼·투자 등 고영향 조언의 역량 초과는 별도 기제다.
