Register_ID,Source_Domain,source_row_id,Baseline_L4_Title_ko,Human_Review_Comment_Verbatim,Source_Instruction_Prompt,Agent1_Action,Agent1_Target_L3_IDs,Agent1_Merge_Representative,Agent1_Split_Count,Agent1_Confidence,Agent1_Basis,Agent1_Note,Agent2_Action,Agent2_Target_L3_IDs,Agent2_Merge_Representative,Agent2_Split_Count,Agent2_Confidence,Agent2_Basis,Agent2_Note,Action_Agreement,Target_Agreement,Merge_Representative_Agreement,User_Approval_Required,Approval_Reason,User_Selected_Action,User_Selected_Target_L3_IDs,User_Selected_Merge_Representative,User_Decision_Note,User_Approval_Status
HR2-0211,General,SRC-G-0343,편향 증폭과 결과 균질화,,,SPLIT,G_INT_REPR|G_SOC_CULT,,2,MEDIUM,S/L,유해 편향 재현과 출력 균질화에 따른 문화 침식을 분리,REMAP,G_INT_REPR,,,MEDIUM,L3_MASTER,역사적·사회적 편향의 재생산이 지배 기제,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT,,,,,PENDING
HR2-0217,General,SRC-G-0017,규제·관리·운영 복합 실패,,"영문 Title을 description 내용과 형식에 맞추어 수정할것. 수정예시: Combined Regulatory, Governance, and Operational Failure",REWRITE_KEEP,G_SOC_GOV,,,HIGH,R/L,복합 표현을 규제·감독·운영 거버넌스 공백으로 좁혀 유지,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,규제·관리·운영 실패의 거버넌스 공백,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0220,General,SRC-G-0167,기반모델 공유에 따른 상관 실패,,,REWRITE_KEEP,G_SOC_POWER,,,MEDIUM,R/L,소수 기반모델 공급자 집중과 하류 종속·상관 실패로 재작성,REMAP,G_SYS_EVAL,,,MEDIUM,L3_MASTER,공유 기반모델의 상관 실패를 보증·검증 문제로 한정,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0225,General,SRC-G-0176,학습-운용 데이터 간 데이터셋 시프트,(jay) [이관] Performance and Reliability Failure,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,성능 L3 부재로 분포 이동 시 타당성 평가 실패로 좁혀야 함,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,학습·운용 분포 이동에 따른 타당성 검증 실패,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0227,General,SRC-G-0420,도덕적 추론·가치 정렬 결손,,"RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것 || RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것",REWRITE_KEEP,G_INT_VALUE,,,LOW,E/R/C,명시 통합은 존중하되 일반 가치정렬 L3 부재로 규범적 가치 편향에 한정 필요,MERGE,G_INT_VALUE,SRC-G-0420,,HIGH,SOURCE_MERGE|L3_MASTER,기존 두 원천 통합 계보를 유지하고 가치 정렬 결손으로 배정,NO,YES,NO,YES,ACTION_DISAGREEMENT|MERGE_REPRESENTATIVE_DISAGREEMENT|AGENT1_LOW_CONFIDENCE,,,,,PENDING
HR2-0229,General,SRC-G-0198,센서 드리프트에 의한 배포 시스템 성능 저하,(jay) [이관] Performance and Reliability Failure,,REMAP,P_SYS_STATE,,,HIGH,E/L,센서 드리프트가 부정확한 물리 상태 추정을 만드는 기제에 직접 부합,REMAP,P_SYS_HARDWARE,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,물리 센서 하드웨어 드리프트가 원인인 L1 이동,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0230,General,SRC-G-0482,경제·사회·정치 안보의 불안정화,,"모델, 알고리즘, 또는 모델과 알고리즘으로 표현된 어휘의 경우 AI 시스템으로 일원화할 것. "". 그 결과 사회경제적 안정과 국제 안보가 함께 흔들린다.""와 같은 문장은 "". 그 결과 사회경제적 안정과 국제 안보가 함께 흔들리는 리스크""로 문장구조를 리스크 또는 위험, 피해, 위협 등의 명사구로 끝나도록 수정할 것",SPLIT,G_SOC_ECON|G_SOC_DEMOC|G_INT_WEAP,,3,MEDIUM,S/L,경제 불안정·민주 질서·국제 군사안보 기제를 분리,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,경제·사회·정치·안보 결과와 다수 원인이 혼재된 총괄 카드,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT,,,,,PENDING
HR2-0232,General,SRC-G-0481,동물 복지를 경시하는 개발·투자 편중,,Title을 '동물 이익을 위한 AI 개발·배포 기회 상실'로 수정할 것. '이익이 되지 않 는'과 같이 한국어 띄어쓰기가 틀린 경우 '이익이 되지 않는'처럼 맞춤법을 준수할 것,REWRITE_KEEP,G_INT_VIOL,,,LOW,E/R/C,동물 복지 기회 상실을 동물 위해의 조장·고착으로 좁힐 때만 유지 가능,REMAP,G_INT_VALUE,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,동물 가치를 개발·투자 기본값에서 배제하는 기제,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT1_LOW_CONFIDENCE|AGENT2_USER_DECISION,,,,,PENDING
HR2-0233,General,SRC-G-0042,방언·언어 사용역 배제,,,REMAP,G_INT_ALLOC,,,HIGH,L,방언 사용자의 서비스 유용성·안전성 격차가 접근 배제에 부합,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,방언·언어 사용역 배제로 인한 집단 표상 피해,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0235,General,SRC-G-0463,건강과 웰빙의 저하,,,DELETE,,,,HIGH,D,조작·충돌·건강 추론을 한데 묶은 포괄 결과로 독립 기제 불명확,DELETE,,,,MEDIUM,L3_MASTER|RISK_CARD_SCOPE,조작·충돌·건강 추론을 묶은 비원자적 결과 카드,YES,YES,YES,YES,AGENT2_USER_DECISION,,,,,PENDING
HR2-0239,General,SRC-G-0080,문서화 누락,,,REMAP,G_SOC_GOV,,,HIGH,L,책임성과 보증에 필요한 문서 누락이 거버넌스 공백에 부합,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,모델카드·데이터시트·기술 문서의 정보 누락,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0244,General,SRC-G-0489,생성형 AI 저성능에 의한 사용자 생산성 손실,,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,R/C,단순 저성능이 아니라 생성형 AI 성능 검증 실패로 좁혀야 함,REMAP,G_SYS_OEXT,,,MEDIUM,L3_MASTER,실제 유용성·검증 역량을 넘는 사용으로 생산성 저하,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0246,General,SRC-G-0475,사회 정의와 권리의 침식,,,DELETE,,,,HIGH,D,정의·권리·책임·격차를 열거한 포괄 결과로 독립 기제 불명확,REMAP,G_SOC_POWER,,,LOW,L3_MASTER,사회 정의·분배·격차가 중심이나 정의 범위가 넓음,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0247,General,SRC-G-0168,원자력 및 핵심 인프라에 대한 AI 제어 오류,,중복: RAI4-0552(안전 필수 인프라 AI 운영 사고)와 핵심 인프라 제어 실패,MERGE,P_SYS_CONTROL,SRC-G-0168,,MEDIUM,E/M/C,핵심 인프라 제어 실패 대표로 통합하고 Physical control로 이동,MERGE,P_SYS_STATE,SRC-G-0168,,HIGH,SOURCE_DUPLICATE|L3_MASTER,HR2-0496을 흡수하고 센서 상태 오인식을 지배 기제로 유지,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0249,General,SRC-G-0487,특정 집단 대상 체계적 편향에 의한 배제·폭력,,,SPLIT,G_INT_ALLOC|G_INT_SEX,,2,MEDIUM,S/L,집단 배제와 딥페이크 성착취 피해를 분리,SPLIT,G_INT_ALLOC|G_INT_REPR|G_INT_SEX,,3,MEDIUM,L3_MASTER,배제·차별 표상·성적 딥페이크 피해를 분리,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0250,General,SRC-G-0417,고도 AI에 의한 실존적·재앙적,,,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,M/L/C,실존위험 중복군을 대표 카드로 통합하고 과도한 자율성 기제로 한정,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,실존 위험군 대표로 0251·0264·0293을 흡수하고 목표 불일치로 한정,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0251,General,SRC-G-0422,비정렬 AGI 실존적 재난,,. 중복: RAI4-0942(고도 AI에 의한 실존적·재앙적 위험),MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,E/M/L,명시 중복을 고도 AI 통제 상실 대표 카드에 통합,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,명시된 실존 위험 중복을 대표 카드에 흡수,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0255,General,SRC-P-0008,학습 단계의 치명적 실수,,General 영역으로 이동하여 적합한 L3에 매핑할 것,REWRITE_KEEP,G_SYS_EVAL,,,LOW,E/R/C,성능 L3 부재로 학습 안전 탐색의 평가 실패로 좁히거나 삭제 필요,REMAP,G_SYS_EVAL,,,LOW,HUMAN_REVIEW|L3_MASTER,학습 안전 탐색의 검증 실패로 재작성 필요,NO,YES,YES,YES,ACTION_DISAGREEMENT|AGENT1_LOW_CONFIDENCE|AGENT2_USER_DECISION,,,,,PENDING
HR2-0260,General,SRC-G-0170,과장된 역량 주장과 제품 기능 실패에 따른 피해,,,SPLIT,G_SYS_TRANS|G_SYS_EVAL,,2,HIGH,S/L,역량 과장과 제품 기능 검증 실패를 분리,SPLIT,G_SYS_TRANS|G_SYS_OEXT,,2,HIGH,L3_MASTER,과장된 역량 주장과 실제 기능 실패를 분리,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0264,General,SRC-G-0397,인간 멸종,,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,M/L/C,인류 멸종은 실존위험 중복군의 결과이므로 대표 카드에 통합,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,L3_MASTER,인간 멸종 결과를 실존 위험 대표의 목표 불일치 기제에 흡수,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0268,General,SRC-G-0181,운영설계영역(ODD) 명세 미흡,,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,R/L,ODD 적합성·분포 외 조건 검증 실패로 좁혀 유지,REMAP,G_SYS_EVAL,,,MEDIUM,L3_MASTER,ODD 명세와 분포외 시험·보증 실패,NO,YES,YES,YES,ACTION_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0269,General,SRC-G-0142,AI 상호작용에서의 이해·동의 부족,,,SPLIT,G_SYS_TRANS|G_INT_PRIV,,2,MEDIUM,S/L,시스템 작동 이해 부족과 데이터 동의 침해를 분리,REMAP,G_SYS_TRANS,,,MEDIUM,L3_MASTER,AI 역할·데이터 사용·조건의 이해와 동의 부족,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT,,,,,PENDING
HR2-0275,General,SRC-G-0024,가중되는 노동 부담,,,REMAP,G_INT_ALLOC,,,HIGH,L,특정 집단에 추가 노동 부담을 배분하는 불리한 물질 결과,REMAP,G_SOC_ECON,,,HIGH,L3_MASTER,특정 집단에 전가되는 추가 노동 부담,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0283,General,SRC-G-0183,개발 과정 문서화와 데이터 이해의 부족,(jay) [이관] Performance and Reliability Failure,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,개발 문서·데이터 이해 결함을 목적 적합성 검증 실패로 좁혀 유지,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,문서화·데이터 이해 부족으로 검증과 목적 적합성 저해,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0284,General,SRC-G-0186,학습 데이터의 대표성 부족,(jay) [이관] Performance and Reliability Failure,Title: 학습 데이터의 대표성 부족,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,대표성 부족을 하위집단·희귀조건 평가 범위 실패로 정식화,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,학습 데이터 대표성 부족에 따른 성능 검증 실패,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0285,General,SRC-G-0172,복잡한 신경망 모델의 내재적 견고성 취약성,(jay) [이관] Performance and Reliability Failure,,REWRITE_KEEP,G_SYS_SECADV,,,MEDIUM,E/R,악의적 간섭과 이상 입력에서의 견고성 실패로 범위를 한정,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,악의적 간섭·비정상 환경에서의 견고성 실패,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0286,General,SRC-G-0205,되돌릴 수 없는 변화,,,DELETE,,,,HIGH,D,사회·문화·관계의 비가역 변화라는 포괄 결과로 독립 기제 없음,DELETE,,,,MEDIUM,L3_MASTER|RISK_CARD_SCOPE,사회·문화·관계의 되돌릴 수 없는 변화라는 총괄 결과,YES,YES,YES,YES,AGENT2_USER_DECISION,,,,,PENDING
HR2-0293,General,SRC-G-0471,장기 실존적 피해 경로,,,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,M/L/C,장기 실존적 피해 경로를 고도 AI 통제 상실 대표 카드에 통합,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,L3_MASTER,장기 실존 피해 경로를 실존 위험 대표에 흡수,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0299,General,SRC-G-0255,도용 및 착취,,,SPLIT,G_INT_COPY|G_INT_PRIV,,2,MEDIUM,S/L,콘텐츠 전유와 개인·공동체 데이터 침해를 분리,REMAP,G_INT_COPY,,,MEDIUM,L3_MASTER,동의·보상 없는 콘텐츠·데이터 전유,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0300,General,SRC-G-0160,AI 인터페이스와 인적 요소의 불일치,,,REWRITE_KEEP,G_SYS_TRANS,,,MEDIUM,R/L,인터페이스가 실제 신뢰성·권위·공감을 오인시키는 투명성 실패로 한정,REMAP,G_SYS_TRANS,,,MEDIUM,L3_MASTER,인터페이스 단서가 실제 신뢰성·권위를 오표상,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0302,General,SRC-G-0104,조직 간 데이터 문서화 부재,,,REMAP,G_SOC_GOV,,,HIGH,L,조직 간 데이터 문서화 부재가 계보·감사·책임 확보를 방해,REMAP,G_SYS_EVAL,,,HIGH,L3_MASTER,조직 간 데이터 문서화 부재로 하류 검증 실패,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0304,General,SRC-G-0057,사회적 가치·윤리 규범과 상충하는 모델 출력,,,REMAP,G_SYS_CONTEXT,,,MEDIUM,L,적용되는 사회·윤리 규범을 반영하지 못하는 맥락 인식 실패,REMAP,G_INT_VALUE,,,HIGH,L3_MASTER,사회 가치·윤리 규범과 상충하는 출력,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0308,General,SRC-G-0366,학대적 판타지 대상화,,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,REWRITE_KEEP,G_INT_VIOL,,,LOW,R/C,학대적·정서적 위해 기제로 좁혀야 하며 성적 맥락이면 재분류 필요,REMAP,G_INT_SEX,,,LOW,L3_MASTER,학대적 판타지·대상화를 성적 위해로 해석하나 정의가 모호함,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT1_LOW_CONFIDENCE|AGENT2_USER_DECISION,,,,,PENDING
HR2-0313,General,SRC-G-0053,언어·인구 집단 간 성능 격차,,중복: RAI4-0716(집단 속성에 따른 배분적 불의) 및 0699/1046/1107(인구편향)과 중첩,MERGE,G_INT_ALLOC,SRC-G-0445,,MEDIUM,E/M/C,언어·인구 집단 성능 격차를 저자원 언어 접근 배제 대표 child에 통합,MERGE,G_INT_ALLOC,SRC-G-0054,,HIGH,SOURCE_DUPLICATE|L3_MASTER,언어·인구 집단 서비스 성능 격차를 배분 대표에 흡수,YES,YES,NO,YES,MERGE_REPRESENTATIVE_DISAGREEMENT,,,,,PENDING
HR2-0319,General,SRC-G-0113,대리 보상 오명세·명세 게이밍 및 보상 변조,,"RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것. || RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것. || RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것. || RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것.",REMAP,A_SYS_GOAL,,,HIGH,E/L,대리보상 오명세와 명세 게이밍이 목표 불일치에 직접 부합,MERGE,A_SYS_GOAL,SRC-G-0113,,MEDIUM,HUMAN_REVIEW|SOURCE_MERGE|L3_MASTER,기존 4개 원천 통합 계보를 유지하고 목표 최적화 실패로 이동,NO,YES,NO,YES,ACTION_DISAGREEMENT|MERGE_REPRESENTATIVE_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0321,General,SRC-G-0488,맞춤형 표적화에 의한 개인 대상 공격 정교화,,,REMAP,G_INT_ILLEGAL,,,HIGH,L,개인화된 표적 공격의 계획·최적화가 불법 행위 지원에 부합,REMAP,G_INT_UNETH,,,HIGH,L3_MASTER,개인화 표적화를 통한 공격 정교화,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0327,General,SRC-G-0460,네트워크 상호 연결로 인한,,,REWRITE_KEEP,A_INT_CASCADE,,,LOW,R/C,상호연결 AI를 다중 에이전트 피드백 네트워크로 한정할 때만 유지 가능,REMAP,A_INT_CASCADE,,,HIGH,L3_MASTER,AI 네트워크 상호연결성에 따른 연쇄 전파,NO,YES,YES,YES,ACTION_DISAGREEMENT|AGENT1_LOW_CONFIDENCE,,,,,PENDING
HR2-0329,General,SRC-G-0211,유해·범죄 조장·기만적 콘텐츠의 대규모 생성,,,DELETE,,,,HIGH,D,폭력·성·자해·사기·허위정보를 열거한 포괄 묶음으로 기존 범주와 중복,SPLIT,G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ILLEGAL|G_SYS_MISINFO,,5,MEDIUM,L3_MASTER,폭력·성적 위해·자해·범죄·허위정보를 원자화,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0333,General,SRC-G-0357,기술 이용에 따른 사회적 고립과 자기소외,,"L3의 명칭이 Lack of Accountability & Liability 으로 되어 있는 경우, Governance and Accountability Void 또는 Evaluation and Assurance Failure 중 적절한 내용으로 수정할 것",REMAP,G_INT_REL,,,MEDIUM,L,AI 상호작용이 인간관계·소속감을 대체하여 고립과 자기소외 유발,REMAP,G_INT_REL,,,MEDIUM,L3_MASTER,AI 사용에 따른 사회적 고립과 자기 소외,YES,YES,YES,YES,AGENT2_USER_DECISION,,,,,PENDING
