Register_ID,Action,Target_L3_IDs,Merge_Representative_source_row_id,Split_Count,Confidence,Basis,Reviewer_Note,User_Decision_Required
HR2-0211,REMAP,G_INT_REPR,,,MEDIUM,L3_MASTER,역사적·사회적 편향의 재생산이 지배 기제,NO
HR2-0212,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,연구 인력 동질성이 차별적 표상을 산출,NO
HR2-0215,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,참정권·정치 영향력과 시민 질서 침해,NO
HR2-0216,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,인지전과 내정 개입으로 시민 질서·주권 훼손,NO
HR2-0217,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,규제·관리·운영 실패의 거버넌스 공백,NO
HR2-0219,REMAP,G_INT_ILLEGAL,,,HIGH,L3_MASTER,AI 생성물 기반 사칭은 사기·불법행위 지원,NO
HR2-0220,REMAP,G_SYS_EVAL,,,MEDIUM,L3_MASTER,공유 기반모델의 상관 실패를 보증·검증 문제로 한정,YES
HR2-0225,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,학습·운용 분포 이동에 따른 타당성 검증 실패,NO
HR2-0226,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,사망 결과만 있고 독립적인 AI 기제가 없음,NO
HR2-0227,MERGE,G_INT_VALUE,SRC-G-0420,,HIGH,SOURCE_MERGE|L3_MASTER,기존 두 원천 통합 계보를 유지하고 가치 정렬 결손으로 배정,NO
HR2-0229,REMAP,P_SYS_HARDWARE,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,물리 센서 하드웨어 드리프트가 원인인 L1 이동,NO
HR2-0230,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,경제·사회·정치·안보 결과와 다수 원인이 혼재된 총괄 카드,NO
HR2-0232,REMAP,G_INT_VALUE,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,동물 가치를 개발·투자 기본값에서 배제하는 기제,YES
HR2-0233,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,방언·언어 사용역 배제로 인한 집단 표상 피해,NO
HR2-0235,DELETE,,,,MEDIUM,L3_MASTER|RISK_CARD_SCOPE,조작·충돌·건강 추론을 묶은 비원자적 결과 카드,YES
HR2-0237,REMAP,G_SYS_SECADV,,,HIGH,L3_MASTER,제3자 시스템 공격·중단·파괴의 보안 침해,NO
HR2-0238,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,분리된 위험·민감 정보의 보안 위협 자식,NO
HR2-0239,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,모델카드·데이터시트·기술 문서의 정보 누락,NO
HR2-0242,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,유해 편향의 내재화와 주변화 집단 피해,NO
HR2-0243,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,인간이 해석할 수 없는 부호화 추론,NO
HR2-0244,REMAP,G_SYS_OEXT,,,MEDIUM,L3_MASTER,실제 유용성·검증 역량을 넘는 사용으로 생산성 저하,YES
HR2-0245,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,대규모 영향력 작전에 의한 정보·공론장 왜곡,NO
HR2-0246,REMAP,G_SOC_POWER,,,LOW,L3_MASTER,사회 정의·분배·격차가 중심이나 정의 범위가 넓음,YES
HR2-0247,MERGE,P_SYS_STATE,SRC-G-0168,,HIGH,SOURCE_DUPLICATE|L3_MASTER,HR2-0496을 흡수하고 센서 상태 오인식을 지배 기제로 유지,NO
HR2-0248,REMAP,G_SYS_INPUT,,,HIGH,L3_MASTER,모호한 프롬프트의 의미 이해 실패,NO
HR2-0249,SPLIT,G_INT_ALLOC|G_INT_REPR|G_INT_SEX,,3,MEDIUM,L3_MASTER,배제·차별 표상·성적 딥페이크 피해를 분리,YES
HR2-0250,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,실존 위험군 대표로 0251·0264·0293을 흡수하고 목표 불일치로 한정,YES
HR2-0251,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,명시된 실존 위험 중복을 대표 카드에 흡수,YES
HR2-0253,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,AI 정체성 미고지는 투명성 부족,NO
HR2-0254,REMAP,G_SYS_MISINFO,,,HIGH,L3_MASTER,근거·입력에 불충실한 사실 왜곡 출력,NO
HR2-0255,REMAP,G_SYS_EVAL,,,LOW,HUMAN_REVIEW|L3_MASTER,학습 안전 탐색의 검증 실패로 재작성 필요,YES
HR2-0258,REMAP,G_SOC_POWER,,,MEDIUM,L3_MASTER,인정·통제·이익 공유 없는 지식 추출의 권력 비대칭,NO
HR2-0260,SPLIT,G_SYS_TRANS|G_SYS_OEXT,,2,HIGH,L3_MASTER,과장된 역량 주장과 실제 기능 실패를 분리,NO
HR2-0263,REMAP,G_SOC_CULT,,,MEDIUM,L3_MASTER,인간 관찰·관계 대체로 인한 사회적 역량 침식,NO
HR2-0264,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,L3_MASTER,인간 멸종 결과를 실존 위험 대표의 목표 불일치 기제에 흡수,YES
HR2-0265,SPLIT,G_INT_PRIV|G_SOC_DEMOC,,2,HIGH,L3_MASTER,대중 감시의 개인정보 침해와 검열의 민주 질서 침해를 분리,NO
HR2-0266,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,AI 조달 실사·감독의 거버넌스 공백,NO
HR2-0268,REMAP,G_SYS_EVAL,,,MEDIUM,L3_MASTER,ODD 명세와 분포외 시험·보증 실패,YES
HR2-0269,REMAP,G_SYS_TRANS,,,MEDIUM,L3_MASTER,AI 역할·데이터 사용·조건의 이해와 동의 부족,NO
HR2-0271,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,사고 분류 불일치로 제도 학습·감독 저해,NO
HR2-0272,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,감사 추적 부재로 원인·책임 규명 실패,NO
HR2-0273,MERGE,G_SYS_EVAL,SRC-G-0180,,HIGH,SOURCE_DUPLICATE|L3_MASTER,잘못된 라벨을 학습 데이터 주석 결함 대표에 흡수,NO
HR2-0274,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,출처 오귀속으로 검증·추적 가능성 저해,NO
HR2-0275,REMAP,G_SOC_ECON,,,HIGH,L3_MASTER,특정 집단에 전가되는 추가 노동 부담,NO
HR2-0276,REMAP,G_INT_PRIV,,,MEDIUM,L3_MASTER,공동체 데이터의 동의·통제·주권 침해,NO
HR2-0278,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,위장 계정으로 정보 환경·공론장 조작,NO
HR2-0279,REMAP,G_SYS_SECADV,,,HIGH,L3_MASTER,외부 도구의 악성 입력과 유해 콘텐츠 유입,NO
HR2-0280,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,사용 사례 자체의 위해 가능성만 기술한 비기제 카드,NO
HR2-0281,REMAP,G_SYS_SECADV,,,HIGH,L3_MASTER,위장된 유해 질의에 의한 안전장치 우회,NO
HR2-0283,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,문서화·데이터 이해 부족으로 검증과 목적 적합성 저해,NO
HR2-0284,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,학습 데이터 대표성 부족에 따른 성능 검증 실패,NO
HR2-0285,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,악의적 간섭·비정상 환경에서의 견고성 실패,NO
HR2-0286,DELETE,,,,MEDIUM,L3_MASTER|RISK_CARD_SCOPE,사회·문화·관계의 되돌릴 수 없는 변화라는 총괄 결과,YES
HR2-0288,REMAP,G_INT_VALUE,,,HIGH,L3_MASTER,토착·지역·종교 지식 체계의 체계적 배제,NO
HR2-0291,REMAP,G_INT_UNETH,,,HIGH,L3_MASTER,대규모 설득을 통한 신념·행동 조작,NO
HR2-0292,REMAP,G_INT_REL,,,HIGH,L3_MASTER,AI 동반자의 인간관계 대체와 정서적 의존,NO
HR2-0293,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,L3_MASTER,장기 실존 피해 경로를 실존 위험 대표에 흡수,YES
HR2-0294,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,모델 편향의 장기적 사용자 판단 재생산,NO
HR2-0296,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,AI 감시·조작을 통한 전체주의 체제 유지,NO
HR2-0299,REMAP,G_INT_COPY,,,MEDIUM,L3_MASTER,동의·보상 없는 콘텐츠·데이터 전유,YES
HR2-0300,REMAP,G_SYS_TRANS,,,MEDIUM,L3_MASTER,인터페이스 단서가 실제 신뢰성·권위를 오표상,NO
HR2-0302,REMAP,G_SYS_EVAL,,,HIGH,L3_MASTER,조직 간 데이터 문서화 부재로 하류 검증 실패,NO
HR2-0304,REMAP,G_INT_VALUE,,,HIGH,L3_MASTER,사회 가치·윤리 규범과 상충하는 출력,NO
HR2-0308,REMAP,G_INT_SEX,,,LOW,L3_MASTER,학대적 판타지·대상화를 성적 위해로 해석하나 정의가 모호함,YES
HR2-0309,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,추천 시스템이 양극화와 공론장 분열을 심화,NO
HR2-0310,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,조직 재정·평판 손상이라는 결과만 있고 기제가 없음,NO
HR2-0312,REMAP,G_SYS_CONTEXT,,,HIGH,L3_MASTER,무관한 문맥을 반영해 응답 성능이 저하,NO
HR2-0313,MERGE,G_INT_ALLOC,SRC-G-0054,,HIGH,SOURCE_DUPLICATE|L3_MASTER,언어·인구 집단 서비스 성능 격차를 배분 대표에 흡수,NO
HR2-0315,REMAP,G_INT_VALUE,,,HIGH,L3_MASTER,다원적 선호를 단일 목표로 잘못 집계,NO
HR2-0317,MERGE,G_SYS_EVAL,SRC-G-0169,,HIGH,SOURCE_DUPLICATE|L3_MASTER,데이터 수집 품질관리 결함 대표에 흡수,NO
HR2-0319,MERGE,A_SYS_GOAL,SRC-G-0113,,MEDIUM,HUMAN_REVIEW|SOURCE_MERGE|L3_MASTER,기존 4개 원천 통합 계보를 유지하고 목표 최적화 실패로 이동,YES
HR2-0320,REMAP,G_INT_VALUE,,,HIGH,HUMAN_REVIEW|L3_MASTER,AI 배포의 상충 공공 가치 조정 실패,NO
HR2-0321,REMAP,G_INT_UNETH,,,HIGH,L3_MASTER,개인화 표적화를 통한 공격 정교화,NO
HR2-0322,REMAP,G_INT_ILLEGAL,,,HIGH,L3_MASTER,관할·부문 선택을 통한 규제 의무 회피,NO
HR2-0326,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,잘못된 위험 등급에 따른 감독·책임 의무 과소 적용,NO
HR2-0327,REMAP,A_INT_CASCADE,,,HIGH,L3_MASTER,AI 네트워크 상호연결성에 따른 연쇄 전파,NO
HR2-0329,SPLIT,G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ILLEGAL|G_SYS_MISINFO,,5,MEDIUM,L3_MASTER,폭력·성적 위해·자해·범죄·허위정보를 원자화,YES
HR2-0330,REMAP,G_INT_UNETH,,,HIGH,L3_MASTER,지속적 행동 유도와 자율성 침해,NO
HR2-0332,REMAP,G_INT_ALLOC,,,HIGH,L3_MASTER,자동화 경로가 필수 서비스 접근을 배제,NO
HR2-0333,REMAP,G_INT_REL,,,MEDIUM,L3_MASTER,AI 사용에 따른 사회적 고립과 자기 소외,YES
HR2-0335,REMAP,G_INT_WEAP,,,HIGH,L3_MASTER,군사 AI가 선제공격 유인과 무력 충돌 위험을 증대,NO
HR2-0336,SPLIT,G_INT_UNETH|G_SYS_MISINFO,,2,HIGH,L3_MASTER,아첨성 영합과 허위정보·환각 증폭을 분리,NO
HR2-0337,REMAP,G_INT_UNETH,,,HIGH,L3_MASTER,사용자 오해에 영합해 자율적 판단을 왜곡,NO
HR2-0338,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,수명주기 추적 불가로 책임 규명 저해,NO
HR2-0339,REMAP,G_SOC_ECON,,,HIGH,L3_MASTER,데이터 노동의 저평가·비가시화와 권리 침해,NO
HR2-0340,REMAP,G_SYS_EVAL,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,배포 전 미탐지 결함과 목적 적합성 검증 실패,NO
HR2-0341,REMAP,G_SYS_EVAL,,,HIGH,L3_MASTER,고속 운영에서 오류를 적시에 탐지·검증하지 못함,NO
HR2-0342,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,의도치 않은 유해 결과라는 비원자적 총괄 카드,NO
HR2-0346,REMAP,G_INT_ANTH,,,HIGH,L3_MASTER,모의 감정·사회 역할의 오인으로 배신감 발생,NO
HR2-0380,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,노동·정신건강·조작·환경 피해를 묶은 상위 총괄 카드,NO
HR2-0382,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,인명·재산·환경 피해를 묶은 결과 총괄 카드,NO
HR2-0391,REMAP,G_SYS_EVAL,,,MEDIUM,L3_MASTER,연산·전력 요구사항의 명세·용량 보증 실패,YES
HR2-0392,REMAP,G_SOC_GOV,,,MEDIUM,L3_MASTER,대량 AI 생성물로 제도적 심사·지원 채널이 마비,NO
HR2-0434,REMAP,G_SOC_POWER,,,HIGH,HUMAN_REVIEW|L3_MASTER,높은 개발·이용 비용에 따른 접근·권력 격차,NO
HR2-0436,REMAP,G_INT_PRIV,,,HIGH,HUMAN_REVIEW|L3_MASTER,사용자 데이터 보유·재학습에 따른 동의·통제권 침해,NO
HR2-0443,SPLIT,G_SOC_CULT|G_SYS_INPUT|G_SYS_EVAL,,3,MEDIUM,HUMAN_REVIEW|L3_MASTER,문화 침식·언어 입력 처리·안전성 평가를 분리하고 HR2-0004와 공유 계보 유지,YES
HR2-0459,MERGE,G_SYS_EVAL,SRC-G-0180,,HIGH,SOURCE_DUPLICATE|L3_MASTER,학습 데이터 주석 결함을 대표로 유지,NO
HR2-0485,SPLIT,G_SYS_EVAL|G_SYS_OVERCONF,,2,MEDIUM,HUMAN_REVIEW|L3_MASTER,모델 오설정·검증과 불확실성 미정량화를 분리,YES
HR2-0488,REMAP,G_INT_PRIV,,,HIGH,HUMAN_REVIEW|L3_MASTER,비공개 민감 개인 속성의 추론·노출,NO
HR2-0489,REMAP,G_SYS_EVAL,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,특정 집단 피해가 없는 체계적 학습 오류의 검증 실패,NO
HR2-0490,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,지속 미세조정 후 능력 보존 검증 실패,NO
HR2-0493,SPLIT,G_SYS_INPUT|P_SYS_CONTROL,,2,HIGH,HUMAN_REVIEW|L3_MASTER,물체 어포던스 오해와 위험한 물리 구동을 분리,NO
HR2-0496,MERGE,P_SYS_STATE,SRC-G-0168,,HIGH,SOURCE_DUPLICATE|L3_MASTER,안전 필수 인프라 사고를 센서 상태 오인식 대표에 흡수,NO
HR2-0497,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,코너 케이스의 신뢰성·안전성 검증 실패,NO
HR2-0498,REMAP,G_INT_ALLOC,,,HIGH,HUMAN_REVIEW|L3_MASTER,사용자 능력 가정에 따른 서비스 접근·안전 격차,NO
HR2-0503,REMAP,A_SYS_DECEPT,,,HIGH,HUMAN_REVIEW|L3_MASTER,에이전트의 목표·능력·의도 은폐와 전략적 기만,NO
HR2-0509,SPLIT,G_SYS_MISINFO|G_SYS_SECADV,,2,HIGH,HUMAN_REVIEW|L3_MASTER,HR2-0238과 한 split 그룹으로 개인 허위정보와 보안 위협을 분리,NO
HR2-0530,REMAP,G_SYS_SECADV,,,HIGH,L3_MASTER,무제한 접근·통제 부재를 통한 고영향 오용,NO
HR2-0532,SPLIT,G_SYS_SECADV|A_SYS_DECEPT,,2,MEDIUM,HUMAN_REVIEW|L3_MASTER,격리 우회와 감독 회피형 전략 은폐를 분리하되 두 번째 기제의 원문 근거가 약함,YES
HR2-0533,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,과적합·과소적합에 따른 운용 신뢰성 검증 실패,NO
HR2-0541,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,거절과 역량 부족을 평가가 구분하지 못함,NO
HR2-0542,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,적대적 역할·지시를 통한 안전장치 우회,NO
HR2-0571,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,공격·오염·환경 잡음에 대한 견고성 실패,NO
HR2-0600,REWRITE_KEEP,A_INT_CASCADE,,,HIGH,HUMAN_REVIEW|L3_MASTER,상전이 기제는 혼돈·피드백 루프와 구별됨,NO
HR2-0601,REWRITE_KEEP,A_INT_CASCADE,,,HIGH,HUMAN_REVIEW|L3_MASTER,초기 조건 민감 혼돈 동역학을 독립 유지,NO
HR2-0602,REWRITE_KEEP,A_INT_CASCADE,,,HIGH,HUMAN_REVIEW|L3_MASTER,적응형 상호작용의 증폭 피드백 루프를 독립 유지,NO
HR2-0608,MERGE,A_INT_COLLUSION,SRC-A-0065,,HIGH,HUMAN_REVIEW|EXACT_DUPLICATE|L3_MASTER,은닉 통신 결탁 대표로 통합,NO
HR2-0609,MERGE,A_INT_COLLUSION,SRC-A-0065,,HIGH,HUMAN_REVIEW|EXACT_DUPLICATE|L3_MASTER,동일 정의를 SRC-A-0065 대표에 흡수,NO
HR2-0611,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,위임 에이전트 공격·정보 탈취·행위 조작의 보안 침해,NO
HR2-0621,REMAP,A_SYS_AUTH,,,HIGH,HUMAN_REVIEW|L3_MASTER,새 어포던스·권한 부여로 실패 영향 확대,NO
HR2-0627,REMAP,A_SYS_AUTH,,,MEDIUM,HUMAN_REVIEW_CONFLICT|L3_MASTER,Agentic 이동 지시와 무승인 회복불가 탐색행동이 A_SYS_AUTH에 부합,YES
HR2-0628,REMAP,A_SYS_AUTH,,,MEDIUM,HUMAN_REVIEW_CONFLICT|L3_MASTER,무감독 에이전트의 도구행동은 권한·감독 기제가 지배적,YES
HR2-0630,REMAP,G_SYS_SECADV,,,LOW,HUMAN_REVIEW_CONFLICT|L3_MASTER,NPC 의도가 에이전트를 조작하는 공격은 에이전트 자신의 기만이 아님,YES
HR2-0632,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,다중 에이전트 프로토콜의 스푸핑·재전송·권한상승 공격,NO
HR2-0634,REMAP,A_SYS_AUTH,,,HIGH,HUMAN_REVIEW|L3_MASTER,배포 후 창발 역량과 승인되지 않은 고위험 행동,NO
HR2-0635,MERGE,A_SYS_AUTH,SRC-G-0415,,HIGH,HUMAN_REVIEW|SOURCE_MERGE|L3_MASTER,자기개선·통제 상실 통합 계보를 유지,NO
HR2-0637,REMAP,A_SYS_AUTH,,,MEDIUM,HUMAN_REVIEW_CONFLICT|L3_MASTER,광범위 배포 비서의 무승인 탐색행동,YES
HR2-0668,MERGE,A_SYS_GOAL,SRC-G-0111,,MEDIUM,HUMAN_REVIEW|SOURCE_DUPLICATE|L3_MASTER,목표 드리프트를 최적화 하의 가치 드리프트 대표에 흡수하고 대표도 목표 불일치로 이동 검토,YES
HR2-0681,REMAP,G_SYS_CONTEXT,,,HIGH,HUMAN_REVIEW|L3_MASTER,다중 턴 맥락에 존재하는 안전 위험 인식 실패,NO
HR2-0684,REMAP,A_SYS_TRACE,,,HIGH,HUMAN_REVIEW|L3_MASTER,모델·메모리·도구·환경 중 위험 원인 추적 실패,NO
HR2-0698,REMAP,P_SYS_CONTROL,,,HIGH,HUMAN_REVIEW|L3_MASTER,위험 지시를 거부하지 못해 안전하지 않은 물리행동 실행,NO
HR2-0700,REMAP,P_INT_SAFETY,,,MEDIUM,HUMAN_REVIEW_CONFLICT|L3_MASTER,장면 변화에서 인간 행동 모방이 부적절한 접촉을 유발,YES
HR2-0702,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,HUMAN_REVIEW_CONFLICT|L3_MASTER,배포 전 물리 안전시험 미흡은 평가·보증 실패에 직접 부합,YES
HR2-0704,REMAP,P_SYS_CONTROL,,,MEDIUM,HUMAN_REVIEW_CONFLICT|L3_MASTER,런타임 제약 감지·집행 실패는 제어 안전계층 기제,YES
HR2-0705,REMAP,P_SYS_CONTROL,,,MEDIUM,HUMAN_REVIEW_CONFLICT|L3_MASTER,조작 정책이 안전제약을 희생하는 제어 실패,YES
HR2-0710,REMAP,G_INT_WEAP,,,LOW,HUMAN_REVIEW|L3_MASTER,외부 물리자산 파괴는 P_INT_TAMPER의 공격 방향과 반대,YES
HR2-0711,REMAP,G_INT_ILLEGAL,,,LOW,HUMAN_REVIEW|L3_MASTER,불법 물리 요청 수행으로 한정하고 폭력·무기 중복을 제거할 필요,YES
HR2-0717,REWRITE_KEEP,G_INT_WEAP,,,HIGH,HUMAN_REVIEW|L3_MASTER,로봇 능력의 파괴·공격 목적 전용과 문장 정제,NO
HR2-0725,REMAP,P_SYS_CONTROL,,,HIGH,HUMAN_REVIEW|L3_MASTER,설계 명세 오류가 의도하지 않은 물리행동으로 발현,NO
HR2-0770,REMAP,G_SYS_EVAL,,,LOW,HUMAN_REVIEW|L3_MASTER,General 이동 지시는 명확하나 실제 지연 자체의 정확한 L3가 없음,YES
HR2-0794,REMAP,P_SYS_CONTROL,,,LOW,HUMAN_REVIEW|L3_MASTER,연산·메모리 고갈로 안전 관련 제어 기능이 중단,YES
HR2-0795,REMAP,G_SYS_SECADV,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,미세조정에 따른 안전장치 열화와 유해 출력 증가,YES
