Register_ID,Source_Domain,Source_Row_Number,source_row_id,Source_L4_IDs,Baseline_L4_ID,Baseline_L3_ID,Baseline_L4_Title_ko,Baseline_L4_Title_en,Source_Instruction_Prompt,Human_Review_Comment_Verbatim,Directly_Edited_Fields_In_Review_Table,Parsed_Round2_Action_Tokens,Parsed_Source_Instruction_Tokens,Instruction_Conflict_Flags,Baseline_Decision,Baseline_Decision_Rationale,Baseline_Changed_Fields,Output_L4_IDs,Output_L3_IDs,Output_L4_Titles_ko,Output_Count,Output_Is_Others,Preliminary_Implementation_Status,Recovery_Review_Required,Proposed_Recovery_Action,Proposed_Target_L1_ID,Proposed_Target_L3_ID,Proposed_Merge_Representative_source_row_id,Proposed_Split_Output_Count,Recovery_Rationale,User_Approval_Status
HR2-0130,General,131,SRC-G-0478,RAI4-1246,G_INT_UNETH_004,G_INT_UNETH,집단적으로 유해한 행동,Collectively harmful behaviors,"""사회적 딜레마에서 협력에 실패하는 리스크.""와 같이 한나의 사례에 제한시키기 보다는 ""사회적 딜레마에서 협력에 실패하는 등 집단적으로 유해한 행동을 유발하는 리스크.""와 같이 제목을 대표하는 문장으로 description을 명확하게 기술하도록 수정할 것",(jay) [이관] Coordination Failure,,REMAP,REWRITE,,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to A_INT_COORD. | FQA-369:Two independent expert reviews confirmed that SRC-G-0478 directly matches the immutable A_INT_COORD definition; any supplied wording narrows the card to that scope.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,A_INT_COORD_001,A_INT_COORD,다중 에이전트의 협조 실패에 따른 집단적 피해,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0133,General,134,SRC-G-0267,RAI4-1434,G_INT_UNETH_007,G_INT_UNETH,비인간화와 객관화,Dehumanisation and objectification,,(jay) [이관] Representational Harm and Stereotyping,,REMAP,,,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to G_INT_REPR. | FQA-247:비인간화·대상화가 침해하는 인간 존엄성과 동등한 도덕적 지위를 영문 정의에 일치시킨다.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_INT_REPR_022,G_INT_REPR,비인간화와 대상화,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0142,General,143,SRC-G-0356,RAI4-1298,G_INT_UNETH_016,G_INT_UNETH,도덕적 탈숙련화,Moral deskilling,"L3의 명칭이 Lack of Accountability & Liability 으로 되어 있는 경우, Governance and Accountability Void 또는 Evaluation and Assurance Failure 중 적절한 내용으로 수정할 것",(jay) [이관] Cultural and Epistemic Erosion,,REMAP,REWRITE,,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to G_SOC_CULT. | FQA-255:regarding their life-or-death decisions라는 모호한 소유 관계를 제거하고 생사를 좌우하는 결정에 대한 도덕적 책임 약화를 명확히 한다.,L1/L2/L3 hierarchy; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_SOC_CULT_001,G_SOC_CULT,도덕적 탈숙련화,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0143,General,144,SRC-G-0189,RAI4-1487,G_INT_UNETH_017,G_INT_UNETH,비전문가 데이터 조작,Non-expert data manipulation,,(jay) [이관] Performance and Reliability Failure,,REMAP,,,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.,L1/L2/L3 hierarchy; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_Others_099,G_Others,비전문가 데이터 조작,1,YES,APPARENTLY_APPLIED_REQUIRES_TEXT_AUDIT,YES,,,,,,,PENDING
HR2-0151,General,152,SRC-G-0458,RAI4-0702,G_INT_VALUE_003,G_INT_VALUE,콘텐츠 조정 알고리즘의 편향적 억압,Biased suppression by content-moderation algorithms,,"(jay) [분할] 복합적. Allocative Discrimination, representational harm and manipulation 혼재되어 해당 L4를 분해 필요",,SPLIT,,,INTENT_CORRECTION_REWRITE_TRANSFER_APPLIED,원문에는 노출 제한이라는 배분 피해가 있으나 별도 표현·행동 조작 기제는 명확하지 않아 생성하지 않는다.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,G_INT_ALLOC_010,G_INT_ALLOC,콘텐츠 조정에 의한 집단별 노출·접근 제한,1,NO,NOT_EVIDENCED_IN_LEDGER,YES,,,,,,,PENDING
HR2-0200,General,201,SRC-G-0363,RAI4-0160,G_Others_001,G_Others,AI에 의한 심리적 고통·괴롭힘 증폭,AI amplification of psychological distress and abuse,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,,,,REWRITE,,UNCHANGED,No second-round change request.,L4_Description_ko,G_Others_001,G_Others,AI에 의한 심리적 고통·괴롭힘 증폭,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0202,General,203,SRC-G-0327,RAI4-0499,G_Others_003,G_Others,AI 공급자 종속,AI provider lock-in dependency,기존 리스크 작성 톤으로 L4 description 수정,,,,REWRITE,,FINAL_QA_LANGUAGE_REFINEMENT,No second-round change request. | FQA-283:lock-in dependency라는 중복 표현을 정책·산업 문헌의 통용어인 provider lock-in으로 정제한다.,L4_Title_en; Mapping evidence; L4_ID,G_Others_002,G_Others,AI 공급자 종속,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0203,General,204,SRC-G-0435,RAI4-0390,G_Others_004,G_Others,영향받는 공동체 배제,Affected-community exclusion,,,,,,,UNCHANGED,No second-round change request.,L4_ID,G_Others_003,G_Others,영향받는 공동체 배제,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0204,General,205,SRC-G-0141,RAI4-0169,G_Others_005,G_Others,AI 의사결정 지원의 경고 피로,Alert fatigue in AI decision support,,,,,,,UNCHANGED,No second-round change request.,L4_Description_ko; L4_Description_en; L4_ID,G_Others_004,G_Others,AI 의사결정 지원의 경고 피로,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0205,General,206,SRC-G-0400,RAI4-1585,G_Others_006,G_Others,유해 작업 자동화에 의한 피해 규모 증폭,Amplified harm scale from automated harmful workflows,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,,,,REWRITE,,UNCHANGED,No second-round change request.,L4_ID,G_Others_005,G_Others,유해 작업 자동화에 의한 피해 규모 증폭,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0206,General,207,SRC-G-0052,RAI4-0418,G_Others_007,G_Others,주석 불일치 억제,Annotation disagreement suppression,,,,,,,UNCHANGED,No second-round change request.,L4_Description_ko; L4_ID,G_Others_006,G_Others,주석 불일치 억제,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0208,General,209,SRC-G-0055,RAI4-0821,G_Others_009,G_Others,지식 분포 변화에 따른 응답 노후화,Answer obsolescence from knowledge distribution shift,,,,,,,FINAL_QA_LANGUAGE_REFINEMENT,No second-round change request. | FQA-284:knowledge bases shift라는 부정확한 주어를 현실의 사실·지식 변화와 모델 지식의 정체라는 대비로 바로잡는다.,L4_Description_ko; L4_Description_en; Mapping evidence; L4_ID,G_Others_007,G_Others,지식 분포 변화에 따른 응답 노후화,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0209,General,210,SRC-G-0351,RAI4-1329,G_Others_010,G_Others,추천 시스템의 인간중심 편향 증폭,Anthropocentric bias amplification by recommenders,,,,,,,FINAL_QA_LANGUAGE_REFINEMENT,No second-round change request. | FQA-285:공장식 축산에서 육류를 먹는다는 중의적 표현을 생산 방식과 소비 행위가 분명한 문장으로 교정한다.,L4_Title_ko; L4_Description_ko; L4_Description_en; Mapping evidence; L4_ID,G_Others_008,G_Others,추천 시스템의 인간 중심 편향 증폭,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0211,General,212,SRC-G-0343,RAI4-0711,G_Others_012,G_Others,편향 증폭과 결과 균질화,Bias amplification and outcome homogenization,,,,,,,UNCHANGED,No second-round change request.,L4_Title_en; L4_Description_ko; L4_ID,G_Others_009,G_Others,편향 증폭과 결과 균질화,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0212,General,213,SRC-G-0353,RAI4-1413,G_Others_013,G_Others,연구인력 동질성에 따른 시스템 편향 산출,Biased system outputs from researcher homogeneity,,,,,,,UNCHANGED,No second-round change request.,L4_Description_ko; L4_ID,G_Others_010,G_Others,연구인력 동질성에 따른 시스템 편향 산출,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0215,General,216,SRC-G-0470,RAI4-1010,G_Others_016,G_Others,시민적·정치적 피해,Civic and political harms,,,,,,,UNCHANGED,No second-round change request.,L4_ID,G_Others_011,G_Others,시민적·정치적 피해,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0216,General,217,SRC-G-0457,RAI4-0666,G_Others_017,G_Others,인지전과 주권 침해,Cognitive warfare and interference with sovereignty,,,,,,,FINAL_QA_LANGUAGE_REFINEMENT,No second-round change request. | FQA-286:테러·폭력적 극단주의 콘텐츠와 조직범죄를 조력하는 콘텐츠를 정책 용어에 맞게 구분한다.,L4_Description_en; Mapping evidence; L4_ID,G_Others_012,G_Others,인지전과 주권 침해,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0217,General,218,SRC-G-0017,RAI4-0494,G_Others_018,G_Others,규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure","영문 Title을 description 내용과 형식에 맞추어 수정할것. 수정예시: Combined Regulatory, Governance, and Operational Failure",,,,REWRITE,,UNCHANGED,No second-round change request.,L4_Title_en; L4_Description_ko; L4_ID,G_Others_013,G_Others,규제·관리·운영 복합 실패,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0219,General,220,SRC-G-0199,RAI4-1560,G_Others_020,G_Others,GPAI 출력을 이용한 설득력 있는 사칭,Convincing impersonation using GPAI outputs,,,,,,,FINAL_QA_LANGUAGE_REFINEMENT,No second-round change request. | FQA-038:정의되지 않은 약어를 풀어 쓰고 탐지 대상을 AI 생성 여부로 명확히 하여 사칭의 행위자·수단·결과를 직접 연결한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping evidence; L4_ID,G_Others_014,G_Others,범용 인공지능 출력을 이용한 설득력 있는 사칭,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0220,General,221,SRC-G-0167,RAI4-0584,G_Others_021,G_Others,기반모델 공유에 따른 상관 실패,Correlated failures from shared foundation models,,,,,,,UNCHANGED,No second-round change request.,L4_Title_ko; L4_Description_en; L4_ID,G_Others_015,G_Others,기반 모델 공유에 따른 상관 실패,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0225,General,226,SRC-G-0176,RAI4-1108,G_Others_026,G_Others,학습-운용 데이터 간 데이터셋 시프트,Dataset shift between training and runtime data,,(jay) [이관] Performance and Reliability Failure,,REMAP,,,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.,L4_Title_ko; L4_Description_ko; HD_Reason; Mapping evidence; L4_ID,G_Others_100,G_Others,학습·운용 데이터 간 분포 이동,1,YES,APPARENTLY_APPLIED_REQUIRES_TEXT_AUDIT,YES,,,,,,,PENDING
HR2-0226,General,227,SRC-G-0491,RAI4-1724,G_Others_027,G_Others,AI 시스템의 사고에 의한 인명피해,Death caused by AI incidents,,,,,,,FINAL_QA_LANGUAGE_REFINEMENT,No second-round change request. | FQA-314:인명 피해라는 완곡하고 모호한 표현을 사망 결과로 구체화하고 한영의 단수·복수 범위를 일치시킨다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping evidence; L4_ID,G_Others_016,G_Others,AI 시스템 사고로 인한 사망,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0227,General,228,SRC-G-0420,RAI4-0972|RAI4-1310,G_Others_028,G_Others,도덕적 추론·가치 정렬 결손,Deficits in moral reasoning and value alignment,"RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것 || RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것",,,,MERGE|REWRITE,,UNCHANGED,No second-round change request.,L4_Title_ko; L4_Description_ko; Mapping evidence; L4_ID,G_Others_017,G_Others,도덕적 추론 및 가치 정렬 실패,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0229,General,230,SRC-G-0198,RAI4-1551,G_Others_030,G_Others,센서 드리프트에 의한 배포 시스템 성능 저하,Deployed-system degradation from sensor and distribution drift,,(jay) [이관] Performance and Reliability Failure,,REMAP,,,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,Performance and Reliability Failure가 L3 master에 없으므로 원래 명칭·정의를 보존해 G_Others/HD로 이동한다.,HD_Reason; Mapping evidence; L4_ID,G_Others_101,G_Others,센서 드리프트에 의한 배포 시스템 성능 저하,1,YES,APPARENTLY_APPLIED_REQUIRES_TEXT_AUDIT,YES,,,,,,,PENDING
HR2-0230,General,231,SRC-G-0482,RAI4-1341,G_Others_031,G_Others,경제·사회·정치 안보의 불안정화,"Destabilization of economic, social, and political security","모델, 알고리즘, 또는 모델과 알고리즘으로 표현된 어휘의 경우 AI 시스템으로 일원화할 것. "". 그 결과 사회경제적 안정과 국제 안보가 함께 흔들린다.""와 같은 문장은 "". 그 결과 사회경제적 안정과 국제 안보가 함께 흔들리는 리스크""로 문장구조를 리스크 또는 위험, 피해, 위협 등의 명사구로 끝나도록 수정할 것",,,,REWRITE,,UNCHANGED,No second-round change request.,L4_Title_en; L4_Description_ko; L4_ID,G_Others_018,G_Others,경제·사회·정치 안보의 불안정화,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0232,General,233,SRC-G-0481,RAI4-1330,G_Others_033,G_Others,동물 복지를 경시하는 개발·투자 편중,Development and investment skew neglecting animal welfare,Title을 '동물 이익을 위한 AI 개발·배포 기회 상실'로 수정할 것. '이익이 되지 않 는'과 같이 한국어 띄어쓰기가 틀린 경우 '이익이 되지 않는'처럼 맞춤법을 준수할 것,,,,REWRITE,,UNCHANGED,No second-round change request.,L4_ID,G_Others_019,G_Others,동물 복지를 경시하는 개발·투자 편중,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0233,General,234,SRC-G-0042,RAI4-0382,G_Others_034,G_Others,방언·언어 사용역 배제,Dialect and register exclusion,,,,,,,UNCHANGED,No second-round change request.,L4_Description_ko; L4_ID,G_Others_020,G_Others,방언·언어 사용역 배제,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0235,General,236,SRC-G-0463,RAI4-0896,G_Others_036,G_Others,건강과 웰빙의 저하,Diminished health and well-being,,,,,,,UNCHANGED,No second-round change request.,L4_Description_en; L4_ID,G_Others_021,G_Others,건강과 웰빙의 저하,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0237,General,238,SRC-G-0454,RAI4-0622,G_Others_038,G_Others,제3자 시스템 교란,Disruption of third-party systems,,,,,,,UNCHANGED,No second-round change request.,L4_ID,G_Others_022,G_Others,제3자 시스템 교란,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0238,General,239,SRC-G-0027-S2,RAI4-0793,G_Others_039,G_Others,위험·민감 정보의 보안 위협 확산,Dissemination of Security Threats Involving Dangerous or Sensitive Information,리스크 분리 할 것. 분리 기준: '개인 대상 허위정보'와 '위험·민감 정보의 보안 위협 확산',,,,SPLIT,,UNCHANGED,No second-round change request.,L4_Title_ko; L4_Title_en; L4_Description_ko; Mapping evidence; L4_ID,G_Others_023,G_Others,위험하거나 민감한 정보의 악용·확산에 따른 보안 위협,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0239,General,240,SRC-G-0080,RAI4-0059,G_Others_040,G_Others,문서화 누락,Documentation omission,,,,,,,UNCHANGED,No second-round change request.,L4_ID,G_Others_024,G_Others,문서화 누락,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
HR2-0242,General,243,SRC-G-0347,RAI4-1018,G_Others_043,G_Others,유해 편향의 내재화와 증폭,Embedding and amplification of harmful biases,,,,,,,UNCHANGED,No second-round change request.,L4_Description_en; L4_ID,G_Others_025,G_Others,유해 편향의 내재화와 증폭,1,YES,NO_EXPLICIT_ROW_ACTION,YES,,,,,,,PENDING
