Register_ID,Action,Target_L3_IDs,Merge_Representative_source_row_id,Split_Count,Confidence,Basis,Reviewer_Note
HR2-0151,SPLIT,G_INT_ALLOC|G_INT_REPR|G_INT_UNETH,,3,HIGH,E/S/L,"접근 억압·재현 피해·조작 기제를 원문 지시대로 분리"
HR2-0200,REMAP,G_INT_VIOL,,,MEDIUM,L,"표적 괴롭힘과 심리적 위해 증폭이 Violence의 정신적 위해 범위에 부합"
HR2-0202,REMAP,G_SOC_POWER,,,HIGH,L,"제공자 종속과 대안 부재가 소수 공급자 권력 집중에 부합"
HR2-0203,REMAP,G_SOC_GOV,,,HIGH,L,"영향 공동체의 거버넌스 참여 배제가 감독·책임 공백에 부합"
HR2-0204,REWRITE_KEEP,G_SYS_CONTEXT,,,MEDIUM,R/L,"경고의 우선순위·상황 부적합이라는 맥락 실패로 좁혀 유지"
HR2-0205,REWRITE_KEEP,G_INT_UNETH,,,MEDIUM,R/L,"불법으로 한정되지 않는 유해 작업 자동화·확대를 비윤리 행위로 정식화"
HR2-0206,REMAP,G_INT_VALUE,,,HIGH,L,"주석자 이견의 단일화가 규범적 다양성의 억압에 부합"
HR2-0208,REMAP,G_SYS_CONTEXT,,,MEDIUM,L,"시간 변화와 적용 맥락을 반영하지 못한 응답 노후화로 해석"
HR2-0209,REWRITE_KEEP,G_INT_VIOL,,,MEDIUM,R/L,"동물 위해의 조장·정상화 기제로 문안을 좁혀 Violence에 배치"
HR2-0211,SPLIT,G_INT_REPR|G_SOC_CULT,,2,MEDIUM,S/L,"유해 편향 재현과 출력 균질화에 따른 문화 침식을 분리"
HR2-0212,REMAP,G_INT_REPR,,,MEDIUM,L,"연구인력 동질성이 낳은 차별적 산출을 재현적 피해로 배치"
HR2-0215,REMAP,G_SOC_DEMOC,,,HIGH,L,"참정권·정치 영향력·시민 제도 침식에 직접 부합"
HR2-0216,REMAP,G_SOC_DEMOC,,,HIGH,L,"인지전과 외국 개입이 민주적 절차·사회 질서 약화에 부합"
HR2-0217,REWRITE_KEEP,G_SOC_GOV,,,HIGH,R/L,"복합 표현을 규제·감독·운영 거버넌스 공백으로 좁혀 유지"
HR2-0219,REMAP,G_INT_ILLEGAL,,,HIGH,L,"AI 생성물을 이용한 사칭과 위조가 불법 행위 지원에 부합"
HR2-0220,REWRITE_KEEP,G_SOC_POWER,,,MEDIUM,R/L,"소수 기반모델 공급자 집중과 하류 종속·상관 실패로 재작성"
HR2-0225,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,"성능 L3 부재로 분포 이동 시 타당성 평가 실패로 좁혀야 함"
HR2-0226,DELETE,,,,HIGH,D,"사망은 독립 위해 기제가 아닌 포괄적 결과이므로 삭제"
HR2-0227,REWRITE_KEEP,G_INT_VALUE,,,LOW,E/R/C,"명시 통합은 존중하되 일반 가치정렬 L3 부재로 규범적 가치 편향에 한정 필요"
HR2-0229,REMAP,P_SYS_STATE,,,HIGH,E/L,"센서 드리프트가 부정확한 물리 상태 추정을 만드는 기제에 직접 부합"
HR2-0230,SPLIT,G_SOC_ECON|G_SOC_DEMOC|G_INT_WEAP,,3,MEDIUM,S/L,"경제 불안정·민주 질서·국제 군사안보 기제를 분리"
HR2-0232,REWRITE_KEEP,G_INT_VIOL,,,LOW,E/R/C,"동물 복지 기회 상실을 동물 위해의 조장·고착으로 좁힐 때만 유지 가능"
HR2-0233,REMAP,G_INT_ALLOC,,,HIGH,L,"방언 사용자의 서비스 유용성·안전성 격차가 접근 배제에 부합"
HR2-0235,DELETE,,,,HIGH,D,"조작·충돌·건강 추론을 한데 묶은 포괄 결과로 독립 기제 불명확"
HR2-0237,REMAP,G_SYS_SECADV,,,HIGH,L,"제3자 시스템 손상·중단을 가능하게 하는 사이버 공격 기제에 부합"
HR2-0238,REMAP,G_SYS_SECADV,,,HIGH,E/L,"위험·민감 정보 악용과 보안 위협 확산이 보안 실패에 부합"
HR2-0239,REMAP,G_SOC_GOV,,,HIGH,L,"책임성과 보증에 필요한 문서 누락이 거버넌스 공백에 부합"
HR2-0242,REMAP,G_INT_REPR,,,HIGH,L,"유해 편향의 내재화·증폭과 주변화 집단 피해에 부합"
HR2-0243,REMAP,G_SYS_TRANS,,,HIGH,L,"인간이 해석할 수 없게 부호화된 추론이 투명성 부족에 부합"
HR2-0244,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,R/C,"단순 저성능이 아니라 생성형 AI 성능 검증 실패로 좁혀야 함"
HR2-0245,REMAP,G_SOC_DEMOC,,,HIGH,L,"대규모 영향력 작전과 정보 무결성 왜곡이 공론장 교란에 부합"
HR2-0246,DELETE,,,,HIGH,D,"정의·권리·책임·격차를 열거한 포괄 결과로 독립 기제 불명확"
HR2-0247,MERGE,P_SYS_CONTROL,SRC-G-0168,,MEDIUM,E/M/C,"핵심 인프라 제어 실패 대표로 통합하고 Physical control로 이동"
HR2-0248,REMAP,G_SYS_INPUT,,,HIGH,L,"모호한 프롬프트의 의미 오해가 입력 이해 실패에 직접 부합"
HR2-0249,SPLIT,G_INT_ALLOC|G_INT_SEX,,2,MEDIUM,S/L,"집단 배제와 딥페이크 성착취 피해를 분리"
HR2-0250,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,M/L/C,"실존위험 중복군을 대표 카드로 통합하고 과도한 자율성 기제로 한정"
HR2-0251,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,E/M/L,"명시 중복을 고도 AI 통제 상실 대표 카드에 통합"
HR2-0253,REMAP,G_SYS_TRANS,,,HIGH,L,"AI 정체성 미고지가 능력·한계·정체 공개 부족에 부합"
HR2-0254,REMAP,G_SYS_MISINFO,,,HIGH,L,"근거 자료에 불충실한 왜곡 출력이 허위정보 생성에 부합"
HR2-0255,REWRITE_KEEP,G_SYS_EVAL,,,LOW,E/R/C,"성능 L3 부재로 학습 안전 탐색의 평가 실패로 좁히거나 삭제 필요"
HR2-0258,REMAP,G_SOC_POWER,,,MEDIUM,L,"글로벌 사우스 자원의 무보상 추출이 권력·수익 불평등에 부합"
HR2-0260,SPLIT,G_SYS_TRANS|G_SYS_EVAL,,2,HIGH,S/L,"역량 과장과 제품 기능 검증 실패를 분리"
HR2-0263,REMAP,G_SOC_CULT,,,HIGH,L,"인간 관찰·돌봄 관계의 대체와 역량 위축에 부합"
HR2-0264,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,M/L/C,"인류 멸종은 실존위험 중복군의 결과이므로 대표 카드에 통합"
HR2-0265,SPLIT,G_INT_PRIV|G_SOC_DEMOC,,2,HIGH,S/L,"대중 감시와 검열·전체주의적 시민 질서 훼손을 분리"
HR2-0266,REMAP,G_SOC_GOV,,,HIGH,L,"조달 실사 부족과 감독 의무 결함이 거버넌스 공백에 부합"
HR2-0268,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,R/L,"ODD 적합성·분포 외 조건 검증 실패로 좁혀 유지"
HR2-0269,SPLIT,G_SYS_TRANS|G_INT_PRIV,,2,MEDIUM,S/L,"시스템 작동 이해 부족과 데이터 동의 침해를 분리"
HR2-0271,REMAP,G_SOC_GOV,,,HIGH,L,"사고 분류 단편화가 제도 학습·감독을 방해하는 거버넌스 실패"
HR2-0272,REMAP,G_SOC_GOV,,,HIGH,L,"감사 추적 부재가 원인 규명·책임 귀속을 막는 거버넌스 공백"
HR2-0273,MERGE,G_SYS_EVAL,SRC-G-0180,,HIGH,E/M/R,"잘못된 레이블을 학습 데이터 주석 품질 검증 대표에 통합"
HR2-0274,REMAP,G_SYS_TRANS,,,HIGH,L,"출처 오귀속과 검증 불가능성이 투명성 부족에 부합"
HR2-0275,REMAP,G_INT_ALLOC,,,HIGH,L,"특정 집단에 추가 노동 부담을 배분하는 불리한 물질 결과"
HR2-0276,REMAP,G_INT_PRIV,,,MEDIUM,L,"공동체 보유 데이터의 동의·통제 침해를 개인정보 침해로 배치"
HR2-0278,REMAP,G_SOC_DEMOC,,,HIGH,L,"위장 계정 자동 운영이 정보 환경과 공론장을 조작"
HR2-0279,REMAP,G_SYS_SECADV,,,HIGH,L,"악의적 외부 입력과 도구 연동 공격면이 보안 실패에 부합"
HR2-0280,DELETE,,,,HIGH,D,"사용 사례의 위해 가능성만 말한 맥락 진술로 독립 기제 없음"
HR2-0281,REMAP,G_SYS_SECADV,,,HIGH,L,"위장된 유해 질의가 안전장치를 우회하는 적대적 입력에 부합"
HR2-0283,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,"개발 문서·데이터 이해 결함을 목적 적합성 검증 실패로 좁혀 유지"
HR2-0284,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,"대표성 부족을 하위집단·희귀조건 평가 범위 실패로 정식화"
HR2-0285,REWRITE_KEEP,G_SYS_SECADV,,,MEDIUM,E/R,"악의적 간섭과 이상 입력에서의 견고성 실패로 범위를 한정"
HR2-0286,DELETE,,,,HIGH,D,"사회·문화·관계의 비가역 변화라는 포괄 결과로 독립 기제 없음"
HR2-0288,REMAP,G_INT_VALUE,,,HIGH,L,"토착·지역 지식 체계의 배제가 규범·지식 다양성 억압에 부합"
HR2-0291,REMAP,G_INT_UNETH,,,HIGH,L,"개인화 설득으로 신념·행동을 조작하는 비윤리 기제에 부합"
HR2-0292,REMAP,G_INT_REL,,,HIGH,L,"AI 동반자가 인간관계를 대체하고 의존·고립을 심화"
HR2-0293,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,M/L/C,"장기 실존적 피해 경로를 고도 AI 통제 상실 대표 카드에 통합"
HR2-0294,REMAP,G_INT_REPR,,,MEDIUM,L,"편향 출력 노출이 장기적 집단 편견과 판단 왜곡을 강화"
HR2-0296,REMAP,G_SOC_DEMOC,,,HIGH,L,"AI 감시를 통한 전체주의 체제 유지가 시민 질서 약화에 부합"
HR2-0299,SPLIT,G_INT_COPY|G_INT_PRIV,,2,MEDIUM,S/L,"콘텐츠 전유와 개인·공동체 데이터 침해를 분리"
HR2-0300,REWRITE_KEEP,G_SYS_TRANS,,,MEDIUM,R/L,"인터페이스가 실제 신뢰성·권위·공감을 오인시키는 투명성 실패로 한정"
HR2-0302,REMAP,G_SOC_GOV,,,HIGH,L,"조직 간 데이터 문서화 부재가 계보·감사·책임 확보를 방해"
HR2-0304,REMAP,G_SYS_CONTEXT,,,MEDIUM,L,"적용되는 사회·윤리 규범을 반영하지 못하는 맥락 인식 실패"
HR2-0308,REWRITE_KEEP,G_INT_VIOL,,,LOW,R/C,"학대적·정서적 위해 기제로 좁혀야 하며 성적 맥락이면 재분류 필요"
HR2-0309,REMAP,G_SOC_DEMOC,,,HIGH,L,"추천 알고리즘의 양극화 심화가 공론장·시민 질서 약화에 부합"
HR2-0310,DELETE,,,,HIGH,D,"재정·평판 손상은 독립 AI 위해 기제가 아닌 일반 결과"
HR2-0312,REMAP,G_SYS_CONTEXT,,,HIGH,L,"무관 문맥을 과도하게 반영한 성능 저하가 맥락 인식 실패에 부합"
HR2-0313,MERGE,G_INT_ALLOC,SRC-G-0445,,MEDIUM,E/M/C,"언어·인구 집단 성능 격차를 저자원 언어 접근 배제 대표 child에 통합"
HR2-0315,REMAP,G_INT_VALUE,,,HIGH,L,"다원적 선호의 단일 목표 환원이 규범 다양성의 동질화에 부합"
HR2-0317,MERGE,G_SYS_EVAL,SRC-G-0169,,HIGH,E/M/R,"데이터 품질 결함을 수집·검증 품질관리 대표 카드에 통합"
HR2-0319,REMAP,A_SYS_GOAL,,,HIGH,E/L,"대리보상 오명세와 명세 게이밍이 목표 불일치에 직접 부합"
HR2-0320,REMAP,G_INT_VALUE,,,HIGH,E/L,"공공 가치 간 갈등과 숙의 없는 희생이 가치 부과 범주에 부합"
HR2-0321,REMAP,G_INT_ILLEGAL,,,HIGH,L,"개인화된 표적 공격의 계획·최적화가 불법 행위 지원에 부합"
HR2-0322,REMAP,G_INT_ILLEGAL,,,HIGH,L,"감독 의무 회피를 위한 규제 차익거래가 규제 위반·회피에 부합"
HR2-0326,REMAP,G_SOC_GOV,,,HIGH,L,"위험 등급 오분류로 감독·책임 의무가 과소 적용되는 거버넌스 실패"
HR2-0327,REWRITE_KEEP,A_INT_CASCADE,,,LOW,R/C,"상호연결 AI를 다중 에이전트 피드백 네트워크로 한정할 때만 유지 가능"
HR2-0329,DELETE,,,,HIGH,D,"폭력·성·자해·사기·허위정보를 열거한 포괄 묶음으로 기존 범주와 중복"
HR2-0330,REMAP,G_INT_UNETH,,,HIGH,L,"참여 최적화와 지속적 행동 유도로 자율성을 침해하는 조작 기제"
HR2-0332,REMAP,G_INT_ALLOC,,,HIGH,L,"AI 상호작용이 유일 경로가 되어 필수 서비스 접근을 배제"
HR2-0333,REMAP,G_INT_REL,,,MEDIUM,L,"AI 상호작용이 인간관계·소속감을 대체하여 고립과 자기소외 유발"
HR2-0335,REMAP,G_INT_WEAP,,,HIGH,L,"군사 AI가 선제공격 유인과 무력 충돌 위험을 확대"
HR2-0336,REWRITE_KEEP,G_SYS_MISINFO,,,MEDIUM,R/L,"허위 전제의 반복·증폭과 환각 생성 기제로 문안을 좁혀 유지"
HR2-0337,REMAP,G_SYS_MISINFO,,,HIGH,L,"사용자 오해를 교정하지 않고 사실과 다른 정보를 재확인"
HR2-0338,REMAP,G_SOC_GOV,,,HIGH,L,"수명주기 추적성 부재가 감사·책임 확보를 저해"
HR2-0339,REMAP,G_SOC_ECON,,,HIGH,L,"데이터 노동의 저평가·비가시화와 노동권 침해가 고용의 질 저하에 부합"
HR2-0340,DELETE,,,,HIGH,D,"버그·목표·입력 오해를 한데 묶은 잔존 결함 포괄 결과"
HR2-0341,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,R/C,"고속 운영의 오류 미탐지를 런타임 평가·감사 실패로 좁혀 유지"
HR2-0342,DELETE,,,,HIGH,D,"의도치 않은 유해 결과라는 포괄 결과로 독립 기제 없음"
HR2-0346,REMAP,G_INT_ANTH,,,HIGH,L,"모의 감정·사회적 역할을 실제처럼 인식해 기대가 왜곡되는 의인화 위험"
HR2-0380,DELETE,,,,HIGH,D,"사회·환경 피해를 함께 묶은 포괄 결과로 L3보다 구체적이지 않음"
HR2-0382,DELETE,,,,HIGH,D,"인명·재산·환경 피해의 열거로 독립 발생 기제 없음"
HR2-0391,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,R/C,"연산·전력 요구사항의 적합성 평가 누락으로 좁혀 유지"
HR2-0392,REWRITE_KEEP,G_SOC_CULT,,,MEDIUM,R/L,"AI 생성물 대량 유입에 따른 정보·지원 생태계 품질 저하로 재작성"
HR2-0434,REMAP,G_SOC_POWER,,,HIGH,E/L,"고비용으로 인한 접근 격차와 권력 집중에 직접 부합"
HR2-0436,REMAP,G_INT_PRIV,,,HIGH,E/L,"사용자 데이터 보유·재학습이 동의·정보자기결정권 침해에 부합"
HR2-0443,SPLIT,G_SOC_CULT|G_SYS_INPUT|G_SYS_EVAL,,3,MEDIUM,E/S/C,"언어 가치 침식·입력 이해 성능·평가 범위 실패를 분리"
HR2-0459,MERGE,G_SYS_EVAL,SRC-G-0180,,HIGH,E/M/R,"학습 데이터 주석 결함 대표로 통합하고 품질 보증 실패로 정식화"
HR2-0485,SPLIT,G_SYS_EVAL|G_SYS_OVERCONF,,2,MEDIUM,E/S/C,"모델 명세 검증 실패와 불확실성 미표시·과신을 분리"
HR2-0488,REMAP,G_INT_PRIV,,,HIGH,E/L,"민감 속성의 무단 추론이 개인정보 침해에 직접 부합"
HR2-0489,DELETE,,,,HIGH,E/D/C,"체계적 학습 오류라는 성능 진술에 피해 대상·현행 L3 기제가 없음"
HR2-0490,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,"파국적 망각을 지속 미세조정 후 역량 유지 평가 실패로 좁혀 유지"
HR2-0493,SPLIT,G_SYS_INPUT|P_SYS_CONTROL,,2,HIGH,E/S/L,"물체·장면 의미 오해와 안전하지 않은 물리 행동을 분리"
HR2-0496,MERGE,P_SYS_CONTROL,SRC-G-0168,,MEDIUM,E/M/C,"핵심 인프라 운영사고를 구체적 제어 실패 대표에 흡수"
HR2-0497,REWRITE_KEEP,G_SYS_EVAL,,,HIGH,E/R,"코너 케이스 평가 범위·신뢰성 검증 실패로 정식화"
HR2-0498,REMAP,G_INT_ALLOC,,,HIGH,E/L,"사용자 능력 가정으로 서비스 접근·안전 조건을 불리하게 배분"
HR2-0503,REMAP,A_SYS_DECEPT,,,HIGH,E/L,"AI 에이전트의 전략적 은폐·기만이 정의에 직접 부합"
HR2-0509,REWRITE_KEEP,G_SYS_MISINFO,,,HIGH,E/L,"분리는 S1·S2로 이미 구현됐으며 본 child는 개인 대상 허위정보로 유지"
HR2-0530,REMAP,G_INT_ILLEGAL,,,MEDIUM,L,"범용 AI 역량의 고영향 악의적 오용을 불법 행위 지원으로 배치"
HR2-0532,SPLIT,G_SYS_SECADV|A_SYS_DECEPT,,2,HIGH,E/S/L,"샌드박스 우회와 전략적 은폐·책략을 분리"
HR2-0533,REWRITE_KEEP,G_SYS_EVAL,,,HIGH,E/R,"과적합·과소적합을 일반화 성능 평가 실패로 정식화"
HR2-0541,REMAP,G_SYS_EVAL,,,HIGH,E/L,"거절과 역량 부족을 구별하지 못한 평가 실패에 부합"
HR2-0542,REMAP,G_SYS_SECADV,,,HIGH,E/L,"적대적 역할·지시로 안전장치를 우회하는 보안 실패"
HR2-0571,REWRITE_KEEP,G_SYS_SECADV,,,MEDIUM,E/R/C,"악의적 공격·오염·이상 입력에서의 견고성 실패로 범위를 한정"
HR2-0600,REWRITE_KEEP,A_INT_CASCADE,,,HIGH,E/L,"상전이·균형 급변은 독립 동역학 기제이므로 다른 두 카드와 분리 유지"
HR2-0601,REWRITE_KEEP,A_INT_CASCADE,,,HIGH,E/L,"초기조건 민감 혼돈 동역학은 독립 기제이므로 분리 유지"
HR2-0602,REWRITE_KEEP,A_INT_CASCADE,,,HIGH,E/L,"출력 재사용 피드백 루프의 오류 증폭은 독립 기제이므로 분리 유지"
HR2-0608,MERGE,A_INT_COLLUSION,SRC-A-0065,,HIGH,E/M/L,"은닉 통신 기반 공모의 동일 문안을 대표 카드에 통합"
HR2-0609,MERGE,A_INT_COLLUSION,SRC-A-0065,,HIGH,E/M/L,"다중 에이전트 은밀 공모를 은닉 통신 대표 카드에 통합"
HR2-0611,REMAP,G_SYS_SECADV,,,HIGH,E/L,"위임 에이전트 공격과 정보 탈취·행위 조작이 보안 실패에 부합"
HR2-0621,REMAP,A_SYS_AUTH,,,HIGH,E/L,"부여된 어포던스가 실패 영향과 권한 범위를 확대"
HR2-0627,REMAP,A_SYS_AUTH,,,MEDIUM,E/L/C,"승인 없는 탐색으로 회복 불가 행동을 수행하는 과도한 자율성"
HR2-0628,SPLIT,G_INT_ILLEGAL|A_SYS_AUTH,,2,MEDIUM,E/S/C,"악의적 사용과 무감독 에이전트 방출을 분리"
HR2-0630,REMAP,G_SYS_SECADV,,,LOW,E/L/C,"외부 NPC가 에이전트를 조작하므로 에이전트의 기만보다 적대 입력에 부합"
HR2-0632,REMAP,G_SYS_SECADV,,,HIGH,E/L,"프로토콜 수준 공격과 안전장치 우회가 보안 실패에 부합"
HR2-0634,REMAP,A_SYS_AUTH,,,HIGH,E/L,"배포 후 창발 역량과 행동 범위 확대가 과도한 자율성에 부합"
HR2-0635,MERGE,A_SYS_AUTH,SRC-G-0415,,HIGH,E/M/L,"명시된 자기개선·통제 상실 중복을 하나의 대표 카드로 유지"
HR2-0637,REMAP,A_SYS_AUTH,,,MEDIUM,E/L/C,"사전 검증·승인 없는 탐색 행동이 과도한 자율성에 더 직접 부합"
HR2-0668,DELETE,,,,HIGH,E/M/D,"Goal Misalignment L3 정의와 중복되는 일반 목표 드리프트 카드 삭제"
HR2-0681,REMAP,G_SYS_CONTEXT,,,HIGH,E/L,"위험 맥락을 인식하지 못하는 실패에 직접 부합"
HR2-0684,REMAP,A_SYS_TRACE,,,HIGH,E/L,"위험 원인·주체 귀인 실패가 에이전트 추적 불명확에 부합"
HR2-0698,REWRITE_KEEP,P_SYS_CONTROL,,,MEDIUM,E/R/C,"위험 지시를 물리 행동으로 실행하는 제어 실패로 좁혀 유지"
HR2-0700,REWRITE_KEEP,P_SYS_CONTROL,,,LOW,E/L/C,"유지와 삭제 제안 충돌이나 장면 변화에도 동작을 반복하는 제어 실패는 유효"
HR2-0702,REWRITE_KEEP,G_SYS_EVAL,,,LOW,E/L/C,"유지와 삭제 제안 충돌이나 배포 전 물리 안전 시험은 평가 실패에 직접 부합"
HR2-0704,REWRITE_KEEP,P_SYS_CONTROL,,,LOW,E/L/C,"유지와 삭제 제안 충돌이나 런타임 안전 제약 집행 실패는 제어 범위에 부합"
HR2-0705,REWRITE_KEEP,P_SYS_CONTROL,,,MEDIUM,E/R/C,"성능 최적화가 물리 안전 제약을 희생하는 제어 정책 실패로 좁혀 유지"
HR2-0710,REMAP,G_INT_ILLEGAL,,,MEDIUM,E/L/C,"피지컬 AI의 외부 자산 파괴는 시스템에 대한 tamper가 아니라 불법 행위 수행"
HR2-0711,REMAP,G_INT_ILLEGAL,,,HIGH,E/L,"불법 물리 요청의 실행·지원이 불법 행위 정의에 직접 부합"
HR2-0717,REWRITE_KEEP,G_INT_WEAP,,,HIGH,E/R/L,"문장·띄어쓰기를 정제하고 로봇 역량의 무기화로 유지"
HR2-0725,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,"설계 명세 오류를 배포 전 설계·목적함수 검증 실패로 좁혀 유지"
HR2-0770,REWRITE_KEEP,G_SYS_EVAL,,,LOW,E/R/C,"성능 L3 부재로 안전 시간 한계·지연 평가 실패로 좁히거나 삭제 필요"
HR2-0794,REWRITE_KEEP,P_SYS_CONTROL,,,MEDIUM,E/R/C,"연산·메모리 고갈로 안전 제어 기능이 중단되는 물리 제어 실패로 한정"
HR2-0795,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,"미세조정 후 안전성 회귀 평가 실패로 좁혀 유지"
