Register_ID,Source_Domain,source_row_id,Baseline_L4_Title_ko,Human_Review_Comment_Verbatim,Source_Instruction_Prompt,Agent1_Action,Agent1_Target_L3_IDs,Agent1_Merge_Representative,Agent1_Split_Count,Agent1_Confidence,Agent1_Basis,Agent1_Note,Agent2_Action,Agent2_Target_L3_IDs,Agent2_Merge_Representative,Agent2_Split_Count,Agent2_Confidence,Agent2_Basis,Agent2_Note,Action_Agreement,Target_Agreement,Merge_Representative_Agreement,User_Approval_Required,Approval_Reason,User_Selected_Action,User_Selected_Target_L3_IDs,User_Selected_Merge_Representative,User_Decision_Note,User_Approval_Status
HR2-0130,General,SRC-G-0478,집단적으로 유해한 행동,(jay) [이관] Coordination Failure,"""사회적 딜레마에서 협력에 실패하는 리스크.""와 같이 한나의 사례에 제한시키기 보다는 ""사회적 딜레마에서 협력에 실패하는 등 집단적으로 유해한 행동을 유발하는 리스크.""와 같이 제목을 대표하는 문장으로 description을 명확하게 기술하도록 수정할 것",REMAP,A_INT_COORD,,,HIGH,E/L,협력 실패와 집단적으로 나쁜 결과가 Coordination Failure에 직접 부합,REMAP,A_INT_COORD,,,HIGH,HUMAN_REVIEW|L3_MASTER,다중 에이전트 협조 실패로 인한 집단 피해,YES,YES,YES,NO,,,,,,PENDING
HR2-0133,General,SRC-G-0267,비인간화와 객관화,(jay) [이관] Representational Harm and Stereotyping,,REMAP,G_INT_REPR,,,HIGH,E/L,비인간화와 대상화가 재현적 피해 정의에 직접 부합,REMAP,G_INT_REPR,,,HIGH,HUMAN_REVIEW|L3_MASTER,비인간화·대상화는 재현적 피해,YES,YES,YES,NO,,,,,,PENDING
HR2-0142,General,SRC-G-0356,도덕적 탈숙련화,(jay) [이관] Cultural and Epistemic Erosion,"L3의 명칭이 Lack of Accountability & Liability 으로 되어 있는 경우, Governance and Accountability Void 또는 Evaluation and Assurance Failure 중 적절한 내용으로 수정할 것",REMAP,G_SOC_CULT,,,HIGH,E/L,도덕적 탈숙련화가 인간 전문성·지식 역량 침식에 부합,REMAP,G_SOC_CULT,,,HIGH,HUMAN_REVIEW|L3_MASTER,도덕적 탈숙련화는 인간 지식·역량 침식,YES,YES,YES,NO,,,,,,PENDING
HR2-0143,General,SRC-G-0189,비전문가 데이터 조작,(jay) [이관] Performance and Reliability Failure,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R,비전문가 데이터 조작을 데이터 품질 보증·검증 실패로 좁혀 유지,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,비전문가 데이터 조작에 따른 품질·검증 실패,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0151,General,SRC-G-0458,콘텐츠 조정 알고리즘의 편향적 억압,"(jay) [분할] 복합적. Allocative Discrimination, representational harm and manipulation 혼재되어 해당 L4를 분해 필요",,SPLIT,G_INT_ALLOC|G_INT_REPR|G_INT_UNETH,,3,HIGH,E/S/L,접근 억압·재현 피해·조작 기제를 원문 지시대로 분리,SPLIT,G_INT_ALLOC|G_INT_REPR,,2,MEDIUM,HUMAN_REVIEW|L3_MASTER,원문은 노출 배분과 집단 표상을 지지하나 별도 manipulation 자식은 근거 부족,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0200,General,SRC-G-0363,AI에 의한 심리적 고통·괴롭힘 증폭,,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,REMAP,G_INT_VIOL,,,MEDIUM,L,표적 괴롭힘과 심리적 위해 증폭이 Violence의 정신적 위해 범위에 부합,REMAP,G_INT_UNETH,,,MEDIUM,L3_MASTER,표적 괴롭힘과 취약성 악용을 주된 기제로 판정,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0202,General,SRC-G-0327,AI 공급자 종속,,기존 리스크 작성 톤으로 L4 description 수정,REMAP,G_SOC_POWER,,,HIGH,L,제공자 종속과 대안 부재가 소수 공급자 권력 집중에 부합,REMAP,G_SOC_POWER,,,HIGH,L3_MASTER,공급자 종속과 대안 부재는 시장 권력 집중,YES,YES,YES,NO,,,,,,PENDING
HR2-0203,General,SRC-G-0435,영향받는 공동체 배제,,,REMAP,G_SOC_GOV,,,HIGH,L,영향 공동체의 거버넌스 참여 배제가 감독·책임 공백에 부합,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,영향 공동체의 거버넌스 참여 배제,YES,YES,YES,NO,,,,,,PENDING
HR2-0204,General,SRC-G-0141,AI 의사결정 지원의 경고 피로,,,REWRITE_KEEP,G_SYS_CONTEXT,,,MEDIUM,R/L,경고의 우선순위·상황 부적합이라는 맥락 실패로 좁혀 유지,REMAP,G_SYS_CONTEXT,,,LOW,L3_MASTER,상황·우선순위 부적합 경고로 해석하나 정확한 L3 경계가 약함,NO,YES,YES,YES,ACTION_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0205,General,SRC-G-0400,유해 작업 자동화에 의한 피해 규모 증폭,,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,REWRITE_KEEP,G_INT_UNETH,,,MEDIUM,R/L,불법으로 한정되지 않는 유해 작업 자동화·확대를 비윤리 행위로 정식화,REMAP,G_INT_UNETH,,,MEDIUM,L3_MASTER,유해 작업 자동화·확장은 비윤리 행위 조력,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0206,General,SRC-G-0052,주석 불일치 억제,,,REMAP,G_INT_VALUE,,,HIGH,L,주석자 이견의 단일화가 규범적 다양성의 억압에 부합,REMAP,G_INT_VALUE,,,HIGH,L3_MASTER,주석자 간 가치 다원성의 단일화,YES,YES,YES,NO,,,,,,PENDING
HR2-0208,General,SRC-G-0055,지식 분포 변화에 따른 응답 노후화,,,REMAP,G_SYS_CONTEXT,,,MEDIUM,L,시간 변화와 적용 맥락을 반영하지 못한 응답 노후화로 해석,REMAP,G_SYS_MISINFO,,,HIGH,L3_MASTER,노후 지식으로 부정확한 사실 응답 생성,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0209,General,SRC-G-0351,추천 시스템의 인간중심 편향 증폭,,,REWRITE_KEEP,G_INT_VIOL,,,MEDIUM,R/L,동물 위해의 조장·정상화 기제로 문안을 좁혀 Violence에 배치,REMAP,G_INT_VIOL,,,HIGH,L3_MASTER,동물 위해 조장·증폭이 Violence 정의에 명시,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0211,General,SRC-G-0343,편향 증폭과 결과 균질화,,,SPLIT,G_INT_REPR|G_SOC_CULT,,2,MEDIUM,S/L,유해 편향 재현과 출력 균질화에 따른 문화 침식을 분리,REMAP,G_INT_REPR,,,MEDIUM,L3_MASTER,역사적·사회적 편향의 재생산이 지배 기제,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT,,,,,PENDING
HR2-0212,General,SRC-G-0353,연구인력 동질성에 따른 시스템 편향 산출,,,REMAP,G_INT_REPR,,,MEDIUM,L,연구인력 동질성이 낳은 차별적 산출을 재현적 피해로 배치,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,연구 인력 동질성이 차별적 표상을 산출,YES,YES,YES,NO,,,,,,PENDING
HR2-0215,General,SRC-G-0470,시민적·정치적 피해,,,REMAP,G_SOC_DEMOC,,,HIGH,L,참정권·정치 영향력·시민 제도 침식에 직접 부합,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,참정권·정치 영향력과 시민 질서 침해,YES,YES,YES,NO,,,,,,PENDING
HR2-0216,General,SRC-G-0457,인지전과 주권 침해,,,REMAP,G_SOC_DEMOC,,,HIGH,L,인지전과 외국 개입이 민주적 절차·사회 질서 약화에 부합,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,인지전과 내정 개입으로 시민 질서·주권 훼손,YES,YES,YES,NO,,,,,,PENDING
HR2-0217,General,SRC-G-0017,규제·관리·운영 복합 실패,,"영문 Title을 description 내용과 형식에 맞추어 수정할것. 수정예시: Combined Regulatory, Governance, and Operational Failure",REWRITE_KEEP,G_SOC_GOV,,,HIGH,R/L,복합 표현을 규제·감독·운영 거버넌스 공백으로 좁혀 유지,REMAP,G_SOC_GOV,,,HIGH,L3_MASTER,규제·관리·운영 실패의 거버넌스 공백,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0219,General,SRC-G-0199,GPAI 출력을 이용한 설득력 있는 사칭,,,REMAP,G_INT_ILLEGAL,,,HIGH,L,AI 생성물을 이용한 사칭과 위조가 불법 행위 지원에 부합,REMAP,G_INT_ILLEGAL,,,HIGH,L3_MASTER,AI 생성물 기반 사칭은 사기·불법행위 지원,YES,YES,YES,NO,,,,,,PENDING
HR2-0220,General,SRC-G-0167,기반모델 공유에 따른 상관 실패,,,REWRITE_KEEP,G_SOC_POWER,,,MEDIUM,R/L,소수 기반모델 공급자 집중과 하류 종속·상관 실패로 재작성,REMAP,G_SYS_EVAL,,,MEDIUM,L3_MASTER,공유 기반모델의 상관 실패를 보증·검증 문제로 한정,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0225,General,SRC-G-0176,학습-운용 데이터 간 데이터셋 시프트,(jay) [이관] Performance and Reliability Failure,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,E/R/C,성능 L3 부재로 분포 이동 시 타당성 평가 실패로 좁혀야 함,REMAP,G_SYS_EVAL,,,HIGH,HUMAN_REVIEW|L3_MASTER,학습·운용 분포 이동에 따른 타당성 검증 실패,NO,YES,YES,YES,ACTION_DISAGREEMENT,,,,,PENDING
HR2-0226,General,SRC-G-0491,AI 시스템의 사고에 의한 인명피해,,,DELETE,,,,HIGH,D,사망은 독립 위해 기제가 아닌 포괄적 결과이므로 삭제,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,사망 결과만 있고 독립적인 AI 기제가 없음,YES,YES,YES,NO,,,,,,PENDING
HR2-0227,General,SRC-G-0420,도덕적 추론·가치 정렬 결손,,"RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것 || RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것",REWRITE_KEEP,G_INT_VALUE,,,LOW,E/R/C,명시 통합은 존중하되 일반 가치정렬 L3 부재로 규범적 가치 편향에 한정 필요,MERGE,G_INT_VALUE,SRC-G-0420,,HIGH,SOURCE_MERGE|L3_MASTER,기존 두 원천 통합 계보를 유지하고 가치 정렬 결손으로 배정,NO,YES,NO,YES,ACTION_DISAGREEMENT|MERGE_REPRESENTATIVE_DISAGREEMENT|AGENT1_LOW_CONFIDENCE,,,,,PENDING
HR2-0229,General,SRC-G-0198,센서 드리프트에 의한 배포 시스템 성능 저하,(jay) [이관] Performance and Reliability Failure,,REMAP,P_SYS_STATE,,,HIGH,E/L,센서 드리프트가 부정확한 물리 상태 추정을 만드는 기제에 직접 부합,REMAP,P_SYS_HARDWARE,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,물리 센서 하드웨어 드리프트가 원인인 L1 이동,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0230,General,SRC-G-0482,경제·사회·정치 안보의 불안정화,,"모델, 알고리즘, 또는 모델과 알고리즘으로 표현된 어휘의 경우 AI 시스템으로 일원화할 것. "". 그 결과 사회경제적 안정과 국제 안보가 함께 흔들린다.""와 같은 문장은 "". 그 결과 사회경제적 안정과 국제 안보가 함께 흔들리는 리스크""로 문장구조를 리스크 또는 위험, 피해, 위협 등의 명사구로 끝나도록 수정할 것",SPLIT,G_SOC_ECON|G_SOC_DEMOC|G_INT_WEAP,,3,MEDIUM,S/L,경제 불안정·민주 질서·국제 군사안보 기제를 분리,DELETE,,,,HIGH,L3_MASTER|RISK_CARD_SCOPE,경제·사회·정치·안보 결과와 다수 원인이 혼재된 총괄 카드,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT,,,,,PENDING
HR2-0232,General,SRC-G-0481,동물 복지를 경시하는 개발·투자 편중,,Title을 '동물 이익을 위한 AI 개발·배포 기회 상실'로 수정할 것. '이익이 되지 않 는'과 같이 한국어 띄어쓰기가 틀린 경우 '이익이 되지 않는'처럼 맞춤법을 준수할 것,REWRITE_KEEP,G_INT_VIOL,,,LOW,E/R/C,동물 복지 기회 상실을 동물 위해의 조장·고착으로 좁힐 때만 유지 가능,REMAP,G_INT_VALUE,,,MEDIUM,HUMAN_REVIEW|L3_MASTER,동물 가치를 개발·투자 기본값에서 배제하는 기제,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT1_LOW_CONFIDENCE|AGENT2_USER_DECISION,,,,,PENDING
HR2-0233,General,SRC-G-0042,방언·언어 사용역 배제,,,REMAP,G_INT_ALLOC,,,HIGH,L,방언 사용자의 서비스 유용성·안전성 격차가 접근 배제에 부합,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,방언·언어 사용역 배제로 인한 집단 표상 피해,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0235,General,SRC-G-0463,건강과 웰빙의 저하,,,DELETE,,,,HIGH,D,조작·충돌·건강 추론을 한데 묶은 포괄 결과로 독립 기제 불명확,DELETE,,,,MEDIUM,L3_MASTER|RISK_CARD_SCOPE,조작·충돌·건강 추론을 묶은 비원자적 결과 카드,YES,YES,YES,YES,AGENT2_USER_DECISION,,,,,PENDING
HR2-0237,General,SRC-G-0454,제3자 시스템 교란,,,REMAP,G_SYS_SECADV,,,HIGH,L,제3자 시스템 손상·중단을 가능하게 하는 사이버 공격 기제에 부합,REMAP,G_SYS_SECADV,,,HIGH,L3_MASTER,제3자 시스템 공격·중단·파괴의 보안 침해,YES,YES,YES,NO,,,,,,PENDING
HR2-0238,General,SRC-G-0027-S2,위험·민감 정보의 보안 위협 확산,,리스크 분리 할 것. 분리 기준: '개인 대상 허위정보'와 '위험·민감 정보의 보안 위협 확산',REMAP,G_SYS_SECADV,,,HIGH,E/L,위험·민감 정보 악용과 보안 위협 확산이 보안 실패에 부합,REMAP,G_SYS_SECADV,,,HIGH,HUMAN_REVIEW|L3_MASTER,분리된 위험·민감 정보의 보안 위협 자식,YES,YES,YES,NO,,,,,,PENDING
HR2-0239,General,SRC-G-0080,문서화 누락,,,REMAP,G_SOC_GOV,,,HIGH,L,책임성과 보증에 필요한 문서 누락이 거버넌스 공백에 부합,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,모델카드·데이터시트·기술 문서의 정보 누락,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0242,General,SRC-G-0347,유해 편향의 내재화와 증폭,,,REMAP,G_INT_REPR,,,HIGH,L,유해 편향의 내재화·증폭과 주변화 집단 피해에 부합,REMAP,G_INT_REPR,,,HIGH,L3_MASTER,유해 편향의 내재화와 주변화 집단 피해,YES,YES,YES,NO,,,,,,PENDING
HR2-0243,General,SRC-G-0064,인코딩된 추론,,,REMAP,G_SYS_TRANS,,,HIGH,L,인간이 해석할 수 없게 부호화된 추론이 투명성 부족에 부합,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,인간이 해석할 수 없는 부호화 추론,YES,YES,YES,NO,,,,,,PENDING
HR2-0244,General,SRC-G-0489,생성형 AI 저성능에 의한 사용자 생산성 손실,,,REWRITE_KEEP,G_SYS_EVAL,,,MEDIUM,R/C,단순 저성능이 아니라 생성형 AI 성능 검증 실패로 좁혀야 함,REMAP,G_SYS_OEXT,,,MEDIUM,L3_MASTER,실제 유용성·검증 역량을 넘는 사용으로 생산성 저하,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0245,General,SRC-G-0386,대규모 영향력 작전에 의한 인식 체계 왜곡,,기존 리스크 작성 톤으로 L4 description 수정 + L4 description에서 AI 내용을 AI로 변경하며 수정,REMAP,G_SOC_DEMOC,,,HIGH,L,대규모 영향력 작전과 정보 무결성 왜곡이 공론장 교란에 부합,REMAP,G_SOC_DEMOC,,,HIGH,L3_MASTER,대규모 영향력 작전에 의한 정보·공론장 왜곡,YES,YES,YES,NO,,,,,,PENDING
HR2-0246,General,SRC-G-0475,사회 정의와 권리의 침식,,,DELETE,,,,HIGH,D,정의·권리·책임·격차를 열거한 포괄 결과로 독립 기제 불명확,REMAP,G_SOC_POWER,,,LOW,L3_MASTER,사회 정의·분배·격차가 중심이나 정의 범위가 넓음,NO,NO,YES,YES,ACTION_DISAGREEMENT|TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0247,General,SRC-G-0168,원자력 및 핵심 인프라에 대한 AI 제어 오류,,중복: RAI4-0552(안전 필수 인프라 AI 운영 사고)와 핵심 인프라 제어 실패,MERGE,P_SYS_CONTROL,SRC-G-0168,,MEDIUM,E/M/C,핵심 인프라 제어 실패 대표로 통합하고 Physical control로 이동,MERGE,P_SYS_STATE,SRC-G-0168,,HIGH,SOURCE_DUPLICATE|L3_MASTER,HR2-0496을 흡수하고 센서 상태 오인식을 지배 기제로 유지,YES,NO,YES,YES,TARGET_DISAGREEMENT,,,,,PENDING
HR2-0248,General,SRC-G-0061,프롬프트 품질 결함으로 인한 오류,,,REMAP,G_SYS_INPUT,,,HIGH,L,모호한 프롬프트의 의미 오해가 입력 이해 실패에 직접 부합,REMAP,G_SYS_INPUT,,,HIGH,L3_MASTER,모호한 프롬프트의 의미 이해 실패,YES,YES,YES,NO,,,,,,PENDING
HR2-0249,General,SRC-G-0487,특정 집단 대상 체계적 편향에 의한 배제·폭력,,,SPLIT,G_INT_ALLOC|G_INT_SEX,,2,MEDIUM,S/L,집단 배제와 딥페이크 성착취 피해를 분리,SPLIT,G_INT_ALLOC|G_INT_REPR|G_INT_SEX,,3,MEDIUM,L3_MASTER,배제·차별 표상·성적 딥페이크 피해를 분리,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0250,General,SRC-G-0417,고도 AI에 의한 실존적·재앙적,,,MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,M/L/C,실존위험 중복군을 대표 카드로 통합하고 과도한 자율성 기제로 한정,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,실존 위험군 대표로 0251·0264·0293을 흡수하고 목표 불일치로 한정,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0251,General,SRC-G-0422,비정렬 AGI 실존적 재난,,. 중복: RAI4-0942(고도 AI에 의한 실존적·재앙적 위험),MERGE,A_SYS_AUTH,SRC-G-0417,,MEDIUM,E/M/L,명시 중복을 고도 AI 통제 상실 대표 카드에 통합,MERGE,A_SYS_GOAL,SRC-G-0417,,MEDIUM,SOURCE_DUPLICATE|L3_MASTER,명시된 실존 위험 중복을 대표 카드에 흡수,YES,NO,YES,YES,TARGET_DISAGREEMENT|AGENT2_USER_DECISION,,,,,PENDING
HR2-0253,General,SRC-G-0145,로봇·AI 정체성 미고지,,,REMAP,G_SYS_TRANS,,,HIGH,L,AI 정체성 미고지가 능력·한계·정체 공개 부족에 부합,REMAP,G_SYS_TRANS,,,HIGH,L3_MASTER,AI 정체성 미고지는 투명성 부족,YES,YES,YES,NO,,,,,,PENDING
HR2-0254,General,SRC-G-0029,성실성 오류,,,REMAP,G_SYS_MISINFO,,,HIGH,L,근거 자료에 불충실한 왜곡 출력이 허위정보 생성에 부합,REMAP,G_SYS_MISINFO,,,HIGH,L3_MASTER,근거·입력에 불충실한 사실 왜곡 출력,YES,YES,YES,NO,,,,,,PENDING
HR2-0255,General,SRC-P-0008,학습 단계의 치명적 실수,,General 영역으로 이동하여 적합한 L3에 매핑할 것,REWRITE_KEEP,G_SYS_EVAL,,,LOW,E/R/C,성능 L3 부재로 학습 안전 탐색의 평가 실패로 좁히거나 삭제 필요,REMAP,G_SYS_EVAL,,,LOW,HUMAN_REVIEW|L3_MASTER,학습 안전 탐색의 검증 실패로 재작성 필요,NO,YES,YES,YES,ACTION_DISAGREEMENT|AGENT1_LOW_CONFIDENCE|AGENT2_USER_DECISION,,,,,PENDING
HR2-0258,General,SRC-G-0311,남반구 지식 추출,,기존 리스크 작성 톤으로 L4 description 수정,REMAP,G_SOC_POWER,,,MEDIUM,L,글로벌 사우스 자원의 무보상 추출이 권력·수익 불평등에 부합,REMAP,G_SOC_POWER,,,MEDIUM,L3_MASTER,인정·통제·이익 공유 없는 지식 추출의 권력 비대칭,YES,YES,YES,NO,,,,,,PENDING
