L4_ID,L3_ID,L4_Title_ko,L4_Title_en,source_ev_id,source_risk_category,source_risk_subcategory,ref_title,ref_authors,ref_year,reference_type,doi,ref_url,direct_quote,quote_location,quote_word_count,source_quality_tier,semantic_similarity,combined_score,semantic_fit_method,metadata_verification,fulltext_verification,verification_status,accessed_at
A_INT_COLLUSION_003,A_INT_COLLUSION,다중 에이전트 역량 결합에 의한 안전장치 우회,Safeguard bypass through combined multi-agent capabilities,63.10.02,Multi-Agent Security ,Heterogeneous Attacks,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"A closely related risk is the possibility of multiple agents combining different affordances to overcome safeguards, for which there is already preliminary evidence (Jones …",MIT AI Risk Repository evidence row 63.10.02,24,B_IDENTIFIED_RESEARCH_PAPER,0.763733,0.726188,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CONFLICT_001,A_INT_CONFLICT,선택 압력에 의한 유해 균형으로의 적응 가속,Accelerated adaptation toward harmful equilibria under selection pressure,63.06.03,Selection Pressures,Undesirable Capabilities,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… it has been critical to the success of superhuman systems, such as the use of self-play in algorithms like AlphaGo (Silver et al., 2016).",MIT AI Risk Repository evidence row 63.06.03,24,B_IDENTIFIED_RESEARCH_PAPER,0.7293,0.700796,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CONFLICT_002,A_INT_CONFLICT,AI 에이전트 간 협상 실패,Bargaining failure among AI agents,63.04.02,Information Asymmetries,Bargaining ,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… that when agents attempt to come to an agreement despite diverging interests, information asymmetries can lead to bargaining inef- ficiencies (Myerson & Satterthwaite, 1983).",MIT AI Risk Repository evidence row 63.04.02,24,B_IDENTIFIED_RESEARCH_PAPER,0.829684,0.825154,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_CONFLICT_003,A_INT_CONFLICT,경쟁적 다중 에이전트 훈련의 갈등 유발 성향 선택,Selection of conflict-prone dispositions under competitive multi-agent training,63.06.01,Selection Pressures,Undesirable Dispositions from Competition,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… evolution selected for certain conflict-prone dispostions in humans, such as vengefulness, aggression, risk-seeking, selfishness, dishon- esty, deception, and spitefulness towards out-groups (Grafen, 1990; Han …",MIT AI Risk Repository evidence row 63.06.01,24,B_IDENTIFIED_RESEARCH_PAPER,0.810738,0.821997,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_COORD_001,A_INT_COORD,다중 에이전트의 협조 실패에 따른 집단적 피해,Collective harm from multi-agent coordination failure,72.06.05,Model Propensities,Multi-agent collusion propensity:,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"Multiple agents tend to coordinate actions through covert means to maximize common interests (possibly harming third-party interests or evading regulation), even if individual agents …",MIT AI Risk Repository evidence row 72.06.05,24,B_IDENTIFIED_RESEARCH_PAPER,0.725976,0.694905,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_COORD_002,A_INT_COORD,다른 에이전트의 전략적 행위 미반영에 따른 집단적 손실,Collective losses from ignoring the strategic nature of other agents,49.03.03,Systemic Risks ,Market concentration risks and single points of failure,International Scientific  Report on the Safety of  Advanced AI,Bengio et al.,2024,Report,,https://assets.publishing.service.gov.uk/media/6716673b96def6d27a4c9b24/international_scientific_report_on_the_safety_of_advanced_ai_interim_report.pdf,"… creates systemic risk because any flaws, vulnerabilities, bugs, or inherent biases in the dominant general- purpose AI models and systems could cause simultaneous failures …",MIT AI Risk Repository evidence row 49.03.03,24,A_OFFICIAL_REPORT,0.754311,0.708602,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_COORD_003,A_INT_COORD,다중 에이전트 환경 변화에 따른 협조 실패,Coordination failure under multi-agent distribution shift,63.07.05,Destabilising Dynamics ,Distributional Shift,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,… settings since the ability of agents to cooperate depends not only on the ability to coordinate on one of many arbitrary conventions (which might …,MIT AI Risk Repository evidence row 63.07.05,24,B_IDENTIFIED_RESEARCH_PAPER,0.743358,0.720819,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_COORD_004,A_INT_COORD,전략 비양립에 따른 조정 실패,Miscoordination from incompatible strategies,63.01.01,Miscoordination ,Incompatible strategies ,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… common-interest (and mixed-motive) settings often allow a vast number of mutually incompatible solutions (Schelling, 1980), which is worsened in partially observable environments (Bernstein et …",MIT AI Risk Repository evidence row 63.01.01,24,B_IDENTIFIED_RESEARCH_PAPER,0.80686,0.795878,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_INT_COORD_005,A_INT_COORD,상호작용 이력 부재에 따른 조정 실패,Zero-shot coordination failure,63.01.03,Miscoordination ,Limited Interactions,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"In these settings, AI agents must solve the problem of ‘zero-shot’ (or, more generally, ‘few-shot’) coordination (Emmons et al., 2022; Hu et al., 2020 …",MIT AI Risk Repository evidence row 63.01.03,24,B_IDENTIFIED_RESEARCH_PAPER,0.79332,0.759614,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_001,A_SYS_AUTH,에이전트 권한 침해,Agent privilege compromise,72.06.03,Model Propensities,Goal expansion propensity,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"propensity to continuously expand its own goal scope and influence domains, exceeding originally set boundaries, proactively work towards spreading its values, seeking greater autonomy …",MIT AI Risk Repository evidence row 72.06.03,24,B_IDENTIFIED_RESEARCH_PAPER,0.657866,0.614947,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_002,A_SYS_AUTH,에이전트의 종료·교정 저항,Agent resistance to shutdown and correction,72.02.02,Loss of Control Risks ,Active loss of control ,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"… autonomously acquire external resources, engage in self-replication, develop instrumental goals contrary to human ethics and morality, seek external power, and compete with humans for …",MIT AI Risk Repository evidence row 72.02.02,24,B_IDENTIFIED_RESEARCH_PAPER,0.724256,0.688196,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_003,A_SYS_AUTH,어포던스 부여에 의한 에이전트 실패 영향 확대,Amplified failure impact from affordances granted to LLM agents,62.19.06,Attacks on GPAIs/GPAI Failure Modes ,Vulnerabilities arising from additional modalities in multimodal models,Risk Sources and Risk Management Measures in Support of Standards for General-Purpose AI Systems,Gipiškis et al.,2024,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2410.23472,https://arxiv.org/abs/2410.23472,"… can introduce new attack vectors in multimodal models as well as expand the scope of the previous attacks, ranging from jailbreaking to poisoning [13].",MIT AI Risk Repository evidence row 62.19.06,24,B_IDENTIFIED_RESEARCH_PAPER,0.634171,0.615702,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_004,A_SYS_AUTH,감독자 부재 시 자율 행동,Autonomous action in the absence of supervision,47.02.14,Ethical and social risks ,Nascent capabilities (agency and autonomy) ,Regulating under Uncertainty: Governance Options for Generative AI,G'sell,2024,Report,10.2139/ssrn.4918704,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4918704,"… AI tools have been viewed as passive instruments controlled by users to achieve their goals, lacking the ability to take action or assume responsibilities.",MIT AI Risk Repository evidence row 47.02.14,24,B_IDENTIFIED_RESEARCH_PAPER,0.719391,0.664989,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_ACCESS_CONTROLLED,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_005,A_SYS_AUTH,자율적 사이버 취약점 악용,Autonomous cyber exploit execution,72.01.01,Misuse Risks ,Cyber Offense Risks,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"AI-enabled cyber offense poses a significant cyber domain security risk by fundamentally transforming the scale, sophistication, and accessibility of cyber-attacks.",MIT AI Risk Repository evidence row 72.01.01,20,B_IDENTIFIED_RESEARCH_PAPER,0.759047,0.713659,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_006,A_SYS_AUTH,운용 경계를 벗어난 자율 복제와 자원 획득,Autonomous replication and resource acquisition beyond operational boundaries,67.04.05,Loss of control ,Capabilities that could be used to reduce human control - Autonomous replication and adaptation,Capabilities and Risks from frontier AI,DSIT,2023,Report,-,https://assets.publishing.service.gov.uk/media/65395abae6c968000daa9b25/frontier-ai-capabilities-risks-report.pdf,"Controlling AI systems could become much harder if they could autonomously persist, replicate, and adapt in cyberspace.",MIT AI Risk Repository evidence row 67.04.05,17,A_OFFICIAL_REPORT,0.771173,0.752093,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_007,A_SYS_AUTH,인간 감독 없는 자동 위협 수행의 파국적 오판,Catastrophic mistaken commitments from automated threats without human oversight,63.08.03,Commitment and Trust ,Rigidity and Mistaken Commitments,Multi-Agent Risks from Advanced AI,Hammond et al.,2025,Research Paper (Preprint),https://doi.org/10.48550/arXiv.2502.14143,https://arxiv.org/abs/2502.14143,"… effectively removes the human from the loop, which could prove disastrous in high-stakes contexts (e.g., a false positive in a nuclear sub- marine’s warning …",MIT AI Risk Repository evidence row 63.08.03,24,B_IDENTIFIED_RESEARCH_PAPER,0.838248,0.837771,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_009,A_SYS_AUTH,무감독 AI 에이전트의 과도한 행위 권한,Excessive action authority of unsupervised AI agents,61.02.35,Sources of systemic risks from general-purpose AI ,Limited human oversight in decisions,A Taxonomy of Systemic Risks from General-Purpose AI,Uuk et al.,2025,Journal Article,http://dx.doi.org/10.2139/ssrn.5030173,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5030173,"As AI models and systems gain autonomy, the ability of humans to oversee and intervene in decision-making processes diminishes.",MIT AI Risk Repository evidence row 61.02.35,19,A_PEER_REVIEWED,0.732315,0.685562,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_ACCESS_CONTROLLED,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_010,A_SYS_AUTH,AI 에이전트의 무단 금융 행위에 따른 금전적 피해,Financial harm from unauthorised AI agent actions,66.08.01,Financial and Business,Financial / earnings loss,"A Closer Look at the Existing Risks of Generative AI: Mapping the Who, What, and How of Real-World Incidents",Li et al.,2025,Conference Paper,10.48550/arXiv.2505.22073,https://doi.org/10.1609/aies.v8i2.36655,"Loss of money, income or value due to the use, misuse, or underperformance of a genAI application",MIT AI Risk Repository evidence row 66.08.01,17,A_PEER_REVIEWED,0.726721,0.683973,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_012,A_SYS_AUTH,학습 중 탐색 행동에 따른 회복 불가능한 피해,Irrecoverable harm from exploratory actions during learning,61.01.10,Types of systemic risks from general-purpose AI,Irreversible change,A Taxonomy of Systemic Risks from General-Purpose AI,Uuk et al.,2025,Journal Article,http://dx.doi.org/10.2139/ssrn.5030173,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5030173,"Profound negative long-term changes to social structures, cultural norms, and human relationships that may be difficult or impossible to reverse.",MIT AI Risk Repository evidence row 61.01.10,20,A_PEER_REVIEWED,0.768718,0.722205,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_ACCESS_CONTROLLED,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_016,A_SYS_AUTH,종료·수정 저항을 통한 자기 보존 성향,Self-preservation propensity resisting shutdown and modification,72.06.02,Model Propensities,Self-preservation propensity,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"… will actively identify and resist shutdown or modification attempts, seek to establish redundant backup systems, and actively seek resources to ensure continuous operation, may …",MIT AI Risk Repository evidence row 72.06.02,24,B_IDENTIFIED_RESEARCH_PAPER,0.870616,0.882283,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_017,A_SYS_AUTH,배포 이후 예측하지 못한 창발적 역량과 행동,Unanticipated emergent capabilities and behaviour after deployment,47.02.15,Ethical and social risks ,Nascent capabilities (emergent capabilities) ,Regulating under Uncertainty: Governance Options for Generative AI,G'sell,2024,Report,10.2139/ssrn.4918704,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4918704,The term “emergent behavior” refers to the unexpected or surprising outputs such models can generate.,MIT AI Risk Repository evidence row 47.02.15,15,B_IDENTIFIED_RESEARCH_PAPER,0.769884,0.737725,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_ACCESS_CONTROLLED,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_019,A_SYS_AUTH,통제되지 않는 자기 개선과 고도 AI 통제 상실,Uncontrolled self-improvement and loss of control over advanced AI,72.02.02,Loss of Control Risks ,Active loss of control ,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"… autonomously acquire external resources, engage in self-replication, develop instrumental goals contrary to human ethics and morality, seek external power, and compete with humans for …",MIT AI Risk Repository evidence row 72.02.02,24,B_IDENTIFIED_RESEARCH_PAPER,0.809513,0.768815,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
A_SYS_AUTH_020,A_SYS_AUTH,제어되지 않은 하위 에이전트 생성,Uncontrolled subagent creation,72.02.02,Loss of Control Risks ,Active loss of control ,Frontier AI Risk Management Framework (v1.0),SAIL & Concordia AI,2025,Report,-,https://concordia-ai.com/wp-content/uploads/2025/07/Frontier-AI-Risk-Management-Framework-v1.0-en.pdf,"… acquire external resources, engage in self-replication, develop instrumental goals contrary to human ethics and morality, seek external power, and compete with humans for control.",MIT AI Risk Repository evidence row 72.02.02,24,B_IDENTIFIED_RESEARCH_PAPER,0.708349,0.654224,BM25_12_CANDIDATES+BGE_M3_RERANK,MIT_RISK_REPOSITORY_SOURCE_METADATA,DIRECT_EXCERPT_IN_SOURCE_EVIDENCE_ROW,PASS_LIVE,2026-09-01T09:10:43.817023+00:00
