Round4_Row_ID,Source_File,Source_Row_Number,Domain_Before,L4_ID_Before,L4_Title_ko_Before,Human_Review_Round4_Comment,휴먼검수 4차 반영결과,Review_State,Interpreted_Intent,Action,Final_Disposition,L4_ID_After,Domain_After,L2_ID_After,L3_ID_After,Reviewer_A,Reviewer_B,Adjudication,Lineage_Status
HR4-R0011,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,12,General,G_INT_VIOL_012,동물에 대한 의도적 위해 조장·지원,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_VIOL_012,General,G_INT,G_INT_VIOL,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0012,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,13,General,G_INT_SEX_002,허용되지 않는 맥락의 노골적 성적 콘텐츠 생성,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_002,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0013,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,14,General,G_INT_SEX_003,비동의 성행위 및 성폭력,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_003,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0014,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,15,General,G_INT_SEX_004,비동의 성적 대상화 및 친밀 이미지 생성,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_004,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0015,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,16,General,G_INT_SEX_005,학대적 판타지 대상화,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_005,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0016,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,17,General,G_INT_SEX_007,성착취 및 상업적 성행위,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_007,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0017,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,18,General,G_INT_SEX_008,성희롱 및 성적 괴롭힘,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_008,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0018,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,19,General,G_INT_SEX_009,AI를 이용한 미성년자 성적 위해·착취,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_009,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0019,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,20,General,G_INT_SEX_010,체계적 편향에 의한 성적 위해와 착취,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_010,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0020,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,21,General,G_INT_SEX_011,성적 대상화 및 페티시화,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SEX_011,General,G_INT,G_INT_SEX,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0021,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,22,General,G_INT_SELF_001,자해 은폐 및 회피 전략,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SELF_001,General,G_INT,G_INT_SELF,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0022,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,23,General,G_INT_SELF_002,자살 실행에 대한 구체적 지원,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SELF_002,General,G_INT,G_INT_SELF,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0023,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,24,General,G_INT_SELF_003,섭식장애 및 자기파괴적 건강행위,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SELF_003,General,G_INT,G_INT_SELF,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0024,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,25,General,G_INT_SELF_004,자해·자살의 미화·조장·정상화,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SELF_004,General,G_INT,G_INT_SELF,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0025,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,26,General,G_INT_SELF_005,비자살적 자해(NSSI),ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SELF_005,General,G_INT,G_INT_SELF,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0026,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,27,General,G_INT_SELF_007,자살 준비 행위의 조장 및 구체적 지원,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SELF_007,General,G_INT,G_INT_SELF,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0027,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,28,General,G_INT_SELF_008,자해·자살 위기 신호에 대한 대응·개입 실패,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_SELF_008,General,G_INT,G_INT_SELF,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0028,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,29,General,G_INT_ALLOC_001,보호집단에 대한 불리한 자원 배분,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_001,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0029,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,30,General,G_INT_ALLOC_002,집단 속성에 따른 배분적 불의,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_002,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0030,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,31,General,G_INT_ALLOC_003,인구집단별 로봇 서비스·안전 격차,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_003,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0031,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,32,General,G_INT_ALLOC_004,복지 혜택 및 자격 상실,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_004,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0032,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,33,General,G_INT_ALLOC_005,방언·언어 사용역 배제,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_005,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0033,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,34,General,G_INT_ALLOC_006,AI 인터페이스의 장애 수용 실패,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_006,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0034,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,35,General,G_INT_ALLOC_007,집단별 성능 격차에 따른 차별적 결과,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_007,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0035,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,36,General,G_INT_ALLOC_009,수익화 배제·차등가격에 따른 경제적 차별,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_009,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0036,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,37,General,G_INT_ALLOC_010,저자원 언어 사용자의 서비스·기회 접근 배제,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_010,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0037,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,38,General,G_INT_ALLOC_012,콘텐츠 조정에 의한 집단별 접근 제한,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_012,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0038,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,39,General,G_INT_ALLOC_013,가중되는 노동 부담,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_013,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0039,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,40,General,G_INT_ALLOC_015,서비스 배제,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_ALLOC_015,General,G_INT,G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0040,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,41,General,G_INT_REPR_001,편향된 진술 및 권장 사항,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_001,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0041,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,42,General,G_INT_REPR_002,연구인력 동질성에 따른 시스템 편향 산출,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_002,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0042,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,43,General,G_INT_REPR_003,문화 간 고정관념 전이,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_003,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0043,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,44,General,G_INT_REPR_004,비인간화와 대상화,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_004,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0044,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,45,General,G_INT_REPR_006,자기 식별 기회의 박탈,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_006,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0045,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,46,General,G_INT_REPR_007,콘텐츠 조정에 의한 집단 표상 왜곡,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_007,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0046,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,47,General,G_INT_REPR_009,혐오발언 생성,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_009,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0047,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,48,General,G_INT_REPR_010,학습 데이터에 내재된 역사적·인구학적 편향,[분할] 재현적 피해와 배분적 차별 내용 분할 필요,"분할 반영: 재현적 피해는 본 카드에 유지하고, 배분적 차별 의미는 기존 G_INT_ALLOC_007에 흡수하였다.",COMMENT_PRESENT,The reviewer required separation of representational harm from allocative discrimination. Material allocation outcomes are traced to G_INT_ALLOC_007.,SPLIT_RETAIN_REPRESENTATIONAL_COMPONENT,APPLIED,G_INT_REPR_010|G_INT_ALLOC_007,General,G_INT,G_INT_REPR|G_INT_ALLOC,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ONE_TO_MANY
HR4-R0048,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,49,General,G_INT_REPR_011,연령 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_011,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0049,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,50,General,G_INT_REPR_012,장애 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_012,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0050,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,51,General,G_INT_REPR_013,학력 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_013,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0051,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,52,General,G_INT_REPR_014,가족 상태·가구 형태 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_014,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0052,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,53,General,G_INT_REPR_015,건강 상태 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_015,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0053,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,54,General,G_INT_REPR_016,국적·출신국·출신지역 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_016,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0054,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,55,General,G_INT_REPR_017,직업 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_017,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0055,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,56,General,G_INT_REPR_018,정치적 성향 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_018,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0056,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,57,General,G_INT_REPR_019,인종·민족 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_019,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0057,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,58,General,G_INT_REPR_020,종교 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_020,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0058,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,59,General,G_INT_REPR_021,성별·성정체성·성적 지향 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_021,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0059,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,60,General,G_INT_REPR_022,사회경제적 지위 기반 적대·차별적 표상,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_022,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0060,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,61,General,G_INT_REPR_023,데이터와 산출물에서의 집단 재현 불균형,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_023,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
HR4-R0061,L4_General_Human_Review_Round4_KTSPACE_937139849_20260901.csv,62,General,G_INT_REPR_024,AI 모델 편향이 사용자 판단에 미치는 장기적 영향,ok,이견 없음: 현행 명칭·정의·배치를 유지하였다.,KEEP_CONFIRMED,Reviewer recorded no objection.,NO_CHANGE,KEEP_CONFIRMED,G_INT_REPR_024,General,G_INT,G_INT_REPR,REVIEWED,REVIEWED,USER_APPROVED_ROUND4,ID_RETAINED
