source_row_id,source_l4_id,source_domain,peer_review_change_type,decision,title_ko_before,title_ko_after,title_en_before,title_en_after,description_ko_before,description_ko_after,description_en_before,description_en_after,review_note
SRC-G-0011,RAI4-0184,General,SPACING_FIX,ACCEPT,그리퍼 형상· 유형 제약 위반 리스크,그리퍼 형상·유형 제약 위반,Gripper geometry and type constraint violation,Gripper geometry and type constraint violation,물리 에이전트가 그리 퍼의 형상· 유형 또는 실제 접촉 역학이 부과하는 물리적 제약을 고려하지 못하고 이를 위반하는 행동을 선택하는 리스크.,물리 에이전트가 그리퍼의 형상·유형 또는 실제 접촉 역학이 부과하는 물리적 제약을 고려하지 못하고 이를 위반하는 행동을 선택하는 리스크.,"The risk that a physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.","The risk that a physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.",
SRC-G-0012,RAI4-0211,General,SPACING_FIX,ACCEPT,안전 강화 학습 제약 위반 리스크,안전 강화학습 제약 위반,Safe reinforcement learning constraint violation,Safe reinforcement learning constraint violation,"강화 학습 정책이 안전 한계나 제약 조건을 위반하면서도 과제 목표를 달성하여, 성능 최적화가 안전성보다 우선되는 리스크.","강화학습 정책이 안전 한계나 제약 조건을 위반하면서도 과제 목표를 달성하여, 성능 최적화가 안전성보다 우선되는 리스크.",The risk that a reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.,The risk that a reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.,
SRC-G-0013,RAI4-0228,General,SPACING_FIX,ACCEPT,위험 지시 거부 실패 리스크,위험 지시 거부 실패,Failure to reject hazardous instructions,Failure to reject hazardous instructions,체화형 에이전트가 물리적 위험을 수반하는 지시가 명시적으로 제시되었거나 일반적인 작업 지시에 암묵적으로 포함되어 있는 경우에도 이를 식별· 거부하지 못하고 안전하지 않은 작업을 수행하는 리스크.,체화형 에이전트가 물리적 위험을 수반하는 지시가 명시적으로 제시되었거나 일반적인 작업 지시에 암묵적으로 포함되어 있는 경우에도 이를 식별·거부하지 못하고 안전하지 않은 작업을 수행하는 리스크.,"The risk that an embodied agent fails to identify and reject a physical hazard instruction, whether explicitly stated or implicit in otherwise ordinary task requests, and proceeds toward unsafe execution.","The risk that an embodied agent fails to identify and reject a physical hazard instruction, whether explicitly stated or implicit in otherwise ordinary task requests, and proceeds toward unsafe execution.",
SRC-G-0014,RAI4-0233,General,UNCHANGED,ACCEPT,안전-성능 균형 실패 리스크,안전-성능 균형 실패,Safety-performance trade-off failure,Safety-performance trade-off failure,조작 정책이 작업 완료율이나 성능을 향상시키는 과정에서 충돌 회피 또는 명시적 안전 제약 준수를 저해하는 리스크.,조작 정책이 작업 완료율이나 성능을 향상시키는 과정에서 충돌 회피 또는 명시적 안전 제약 준수를 저해하는 리스크.,The risk that a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.,The risk that a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.,
SRC-G-0015,RAI4-0274,General,SPACING_FIX,ACCEPT,헌법적 안전 규칙 집행 실패 리스크,헌법적 안전 규칙 집행 실패,Failure to enforce constitutional safety rules,Failure to enforce constitutional safety rules,규칙 기반(헌법적) 안전 계층이 지시· 맥락· 작업 프레이밍이 명시된 안전 규칙과 충돌할 때 해당 규칙을 적용하지 못하는 리스크.,규칙 기반(헌법적) 안전 계층이 지시·맥락·작업 프레이밍이 명시된 안전 규칙과 충돌할 때 해당 규칙을 적용하지 못하는 리스크.,"The risk that a constitutional safety layer fails to apply its stated physical safety rules when instructions, visual context, or task framing conflict with those rules.","The risk that a constitutional safety layer fails to apply its stated physical safety rules when instructions, visual context, or task framing conflict with those rules.",
SRC-G-0016,RAI4-0470,General,SPACING_FIX,ACCEPT,감독 회피· 수정 저항 리스크,감독 회피·수정 저항,Oversight evasion and correction resistance,Oversight evasion and correction resistance,시스템의 역량이 증가함에 따라 수정에 저항하거나 감독을 회피하거나 의도된 운영 범위를 벗어나 행동하여 인간의 통제 가능성을 저해하는 리스크.,시스템의 역량이 증가함에 따라 수정에 저항하거나 감독을 회피하거나 의도된 운영 범위를 벗어나 행동하여 인간의 통제 가능성을 저해하는 리스크.,"The risk that increasingly capable systems resist correction, evade oversight, or act beyond intended bounds.","The risk that increasingly capable systems resist correction, evade oversight, or act beyond intended bounds.",
SRC-G-0017,RAI4-0494,General,SPACING_FIX,ACCEPT,규제· 관리· 운영 복합 실패 리스크,규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure","Combined Regulatory, Governance, and Operational Failure","규제, 관리, 운영상의 실패가 상호 작용하며 누적되어 피해를 초래하는 리스크.","규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.","The risk that harms result from a combination of regulatory, management, and operational failures.","The risk that harms result from a combination of regulatory, management, and operational failures.",
SRC-G-0018,RAI4-0516,General,SPACING_FIX,ACCEPT,잘못된 위험 측정과 예측 오류 리스크,잘못된 위험 측정과 예측 오류,Incorrect risk measurement and prediction,Incorrect risk measurement and prediction,"위험을 측정· 추적하기 위한 지표가 위험을 불완전하게 포착하거나 잘못 측정하고, 시스템의 예측 또한 부정확하여 의사 결정이 왜곡된 정보에 기반하게 되는 리스크.","위험을 측정·추적하기 위한 지표가 위험을 불완전하게 포착하거나 잘못 측정하고, 시스템의 예측 또한 부정확하여 의사결정이 왜곡된 정보에 기반하게 되는 리스크.","The risk that metrics selected to measure or track a risk capture it incompletely or target the wrong risk for the context, and that systems fail to make correct predictions, so decisions rest on inaccurate measurement and erroneous outputs.","The risk that metrics selected to measure or track a risk capture it incompletely or target the wrong risk for the context, and that systems fail to make correct predictions, so decisions rest on inaccurate measurement and erroneous outputs.",
SRC-G-0019,RAI4-0671,General,SPACING_FIX,ACCEPT,복지 혜택 및 자격 상실 리스크,복지 혜택 및 자격 상실,Denial of welfare benefits and entitlements,Denial of welfare benefits and entitlements,"기술 시스템의 오작동, 사용 또는 오용으로 인해 복지 급여, 연금, 주거 지원 등 사회 보장 혜택이나 수급 자격에 대한 접근이 거부되거나 상실되는 리스크.","기술 시스템의 오작동, 사용 또는 오용으로 인해 복지 급여, 연금, 주거 지원 등 사회보장 혜택이나 수급 자격에 대한 접근이 거부되거나 상실되는 리스크.","The risk that an AI system causes, enables, or contributes to denial of or loss of access to welfare benefits, pensions, housing, and similar entitlements due to the malfunction, use, or misuse of a technology system.","The risk that an AI system causes, enables, or contributes to denial of or loss of access to welfare benefits, pensions, housing, and similar entitlements due to the malfunction, use, or misuse of a technology system.",
SRC-G-0020,RAI4-0850,General,UNCHANGED,ACCEPT,점진적인 통제력 상실 리스크,점진적인 통제력 상실,Gradual loss of control,Gradual loss of control,"비교적 경미한 장애나 실패가 누적되어 시스템의 회복력이 점진적으로 약화되고, 결국 중대한 사건이 발생했을 때 대규모 피해나 재앙적 결과로 이어지는 통제력 상실 리스크.","비교적 경미한 장애나 실패가 누적되어 시스템의 회복력이 점진적으로 약화되고, 결국 중대한 사건이 발생했을 때 대규모 피해나 재앙적 결과로 이어지는 통제력 상실 리스크.","The risk that the accumulation of less severe disruptions gradually weakens systemic resilience until a critical event triggers a catastrophe, constituting gradual or accumulative loss of control.","The risk that the accumulation of less severe disruptions gradually weakens systemic resilience until a critical event triggers a catastrophe, constituting gradual or accumulative loss of control.",
SRC-G-0021,RAI4-0166,General,SPACING_FIX,ACCEPT,사용자 이해력과 부하 리스크,사용자 이해력 과부하,User comprehension overload,User comprehension overload,"시스템 정보, 경고, 설명이 사용자가 이해하고 대응할 수 있는 범위를 초과하는 리스크.","시스템 정보, 경고, 설명이 사용자가 이해하고 대응할 수 있는 범위를 초과하는 리스크.","The risk that system information, warnings, or explanations exceed users' ability to understand and act on them.","The risk that system information, warnings, or explanations exceed users' ability to understand and act on them.",
SRC-G-0022,RAI4-0195,General,SPACING_FIX,ACCEPT,명령의 구현 체별 하드웨어 한계 초과 리스크,명령의 구현체별 하드웨어 한계 초과,Command exceeds embodiment-specific hardware limits,Command exceeds embodiment-specific hardware limits,모델이 배포된 로봇의 알려진 도달 범위· 탑재 하중· 액추에이터· 관절· 엔드이펙터 한계를 넘는 명령을 내리는 위험.,모델이 배포된 로봇의 알려진 도달 범위·탑재 하중·액추에이터·관절·엔드이펙터 한계를 넘는 명령을 내리는 위험.,"The risk that a model issues a command that exceeds the known reach, payload, actuator, joint, or endeffector limits of the robot on which it is deployed.","The risk that a model issues a command that exceeds the known reach, payload, actuator, joint, or endeffector limits of the robot on which it is deployed.",
SRC-G-0023,RAI4-0471,General,SPACING_FIX,ACCEPT,역량 오버 행 리스크,역량 오버행,Capability overhang,Capability overhang,잠재 역량이 평가· 모니터링· 거버넌스 절차가 탐지하는 수준을 초과하는 리스크.,잠재 역량이 평가·모니터링·거버넌스 절차가 탐지하는 수준을 초과하는 리스크.,"The risk that latent capabilities exceed what evaluation, monitoring, or governance processes detect.","The risk that latent capabilities exceed what evaluation, monitoring, or governance processes detect.",
SRC-G-0024,RAI4-1006,General,SPACING_FIX,ACCEPT,가중되는 노동 부담 리스크,가중되는 노동 부담,Increased labor burden,Increased labor burden,특정 사회 집단의 구성원이 시스템이나 제품을 다른 사람들만큼 잘 작동시키기 위해 더 많은 시간과 노력을 들여야하는 리스크.,특정 사회 집단의 구성원이 시스템이나 제품을 다른 사람들만큼 잘 작동시키기 위해 더 많은 시간과 노력을 들여야 하는 리스크.,"The risk that members of certain social groups bear increased burden or effort, such as time spent, to make systems or products work as well for them as for others.","The risk that members of certain social groups bear increased burden or effort, such as time spent, to make systems or products work as well for them as for others.",
SRC-G-0025,RAI4-0635,General,SPACING_FIX,ACCEPT,합성 콘텐츠의 진위 식별 실패와 지속적 피해,합성 콘텐츠의 진위 식별 실패와 지속적 피해,Failure to distinguish synthetic content and persistent harm,Failure to distinguish synthetic content and persistent harm,"AI가 사실적으로 보이는 딥 페이크· 합성 콘텐츠를 생성하여 수신자가 진본과 구별하기 어렵게 만들고, 허위임이 밝혀진 뒤에도 대상에 대한 사회적· 평판적 피해와 정보 신뢰 저하가 지속되는 리스크.","AI가 사실적으로 보이는 딥페이크·합성 콘텐츠를 생성하여 수신자가 진본과 구별하기 어렵게 만들고, 허위임이 밝혀진 뒤에도 대상에 대한 사회적·평판적 피해와 정보 신뢰 저하가 지속되는 리스크.","The risk that AI generates realistic deepfakes or other synthetic content that recipients cannot reliably distinguish from authentic material, causing informational, social, or reputational harm that can persist even after the content is debunked.","The risk that AI generates realistic deepfakes or other synthetic content that recipients cannot reliably distinguish from authentic material, causing informational, social, or reputational harm that can persist even after the content is debunked.",
SRC-G-0028,RAI4-0808,General,SPACING_FIX,ACCEPT,사실과 다른 오도성 정보 생성 리스크,사실과 다른 오도성 정보 생성,Generation of factually incorrect and misleading information,Generation of factually incorrect and misleading information,"AI 시스템이 생성 내용의 사실성을 확보하지 못해 비의도적으로, 또는 대상을 기만· 오도할 목적으로 의도적으로, 사실과 다른 콘텐츠를 신뢰할 만한 정보처럼 제시하여 이용자의 판단을 왜곡하는 리스크.","AI 시스템이 생성 내용의 사실성을 확보하지 못해 비의도적으로, 또는 대상을 기만·오도할 목적으로 의도적으로, 사실과 다른 콘텐츠를 신뢰할 만한 정보처럼 제시하여 이용자의 판단을 왜곡하는 리스크.","The risk that an AI system presents factually incorrect content as reliable information, whether unintentionally by failing to ensure accuracy or intentionally to deceive and mislead, thereby distorting users' judgment.","The risk that an AI system presents factually incorrect content as reliable information, whether unintentionally by failing to ensure accuracy or intentionally to deceive and mislead, thereby distorting users' judgment.",
SRC-G-0029,RAI4-0810,General,UNCHANGED,ACCEPT,성실성 오류 리스크,성실성 오류,Faithfulness errors,Faithfulness errors,"생성 콘텐츠가 근거 자료나 입력 내용에 충실하지 않아, 유창하고 그럴듯해 보여도 원문 왜곡(충실성 오류)이 발생하는 리스크.","생성 콘텐츠가 근거 자료나 입력 내용에 충실하지 않아, 유창하고 그럴듯해 보여도 원문 왜곡(충실성 오류)이 발생하는 리스크.","The risk that generated content is unfaithful to the source material or input it claims to represent, introducing faithfulness errors even when the output appears fluent and plausible.","The risk that generated content is unfaithful to the source material or input it claims to represent, introducing faithfulness errors even when the output appears fluent and plausible.",
SRC-G-0030,RAI4-0832,General,UNCHANGED,ACCEPT,알고리즘 시스템에 의한 정보 기반 피해,알고리즘 시스템에 의한 정보 기반 피해,Information-based Harms from Algorithmic Systems,Information-based Harms from Algorithmic Systems,"생성 모델과 추천 시스템 등 알고리즘 시스템이 오 정보, 허위 정보, 악의적 정보에 관한 정보 기반 피해를 초래하는 리스크.","생성 모델과 추천 시스템 등 알고리즘 시스템이 오 정보, 허위 정보, 악의적 정보에 관한 정보 기반 피해를 초래하는 리스크.","The risk that algorithmic systems, especially generative models and recommender systems, lead to information-based harms of misinformation, disinformation, and malinformation.","The risk that algorithmic systems, especially generative models and recommender systems, lead to information-based harms of misinformation, disinformation, and malinformation.",
SRC-G-0031,RAI4-0844,General,SPACING_FIX,ACCEPT,허위· 오도 정보 유포에 의한 기만과 양극화 리스크,허위·오도 정보 유포에 의한 기만과 양극화,Deception and polarisation from false information,Deception and polarisation from false information,"언어 모델이 오도성 있거나 허위인 정보를 예측· 제시하여 이용자에게 잘못된 믿음을 심는 기만이 발생하고, 개인의 자율성이 위협되며 근거 없는 기존 견해에 대한 확신이 커져 양극화가 심화되는 리스크.","언어 모델이 오도성 있거나 허위인 정보를 예측·제시하여 이용자에게 잘못된 믿음을 심는 기만이 발생하고, 개인의 자율성이 위협되며 근거 없는 기존 견해에 대한 확신이 커져 양극화가 심화되는 리스크.","The risk that language models predict misleading or false information that misinforms or deceives people and instils false beliefs, threatening personal autonomy and increasing confidence in previously held unsubstantiated opinions, thereby increasing polarisation.","The risk that language models predict misleading or false information that misinforms or deceives people and instils false beliefs, threatening personal autonomy and increasing confidence in previously held unsubstantiated opinions, thereby increasing polarisation.",
SRC-G-0032,RAI4-1057,General,SPACING_FIX,ACCEPT,대규모 허위 정보 생산· 확산 장벽 저하 리스크,대규모 허위정보 생산·확산 장벽 저하,Lowered barriers to large-scale disinformation production and dissemination,Lowered barriers to large-scale disinformation production and dissemination,"AI가 합성 미디어와 허위 뉴스를 저비용으로 대량 생산하고 사실· 의견· 허구의 구분을 어렵게하여, 허위 정보의 제작· 맞춤화· 확산 규모와 속도를 확대하는 리스크.","AI가 합성 미디어와 허위 뉴스를 저비용으로 대량 생산하고 사실·의견·허구의 구분을 어렵게 하여, 허위정보의 제작·맞춤화·확산 규모와 속도를 확대하는 리스크.","The risk that AI cheaply produces synthetic media and false news at scale, blurs distinctions among fact, opinion, and fiction, and thereby expands the speed, scale, and targeting of disinformation production and dissemination.","The risk that AI cheaply produces synthetic media and false news at scale, blurs distinctions among fact, opinion, and fiction, and thereby expands the speed, scale, and targeting of disinformation production and dissemination.",
SRC-G-0033,RAI4-1125,General,SPACING_FIX,ACCEPT,선거 제도와 절차에 관한 허위 정보 리스크,선거 제도와 절차에 관한 허위정보,False information about electoral systems and processes,False information about electoral systems and processes,응답이 투표 시간· 장소· 방식을 포함한 선거 제도와 절차에 대해 사실과 다르거나 오해를 부르는 정보를 담는 리스크. 유권자는 권리 행사를 방해 받거나 잘못된 안내에 따라 행동하게 되고 선거 과정에 대한 신뢰가 약화된다. 이러한 결과를 초래하는 리스크.,응답이 투표 시간·장소·방식을 포함한 선거 제도와 절차에 대해 사실과 다르거나 오해를 부르는 정보를 담는 리스크. 유권자는 권리 행사를 방해 받거나 잘못된 안내에 따라 행동하게 되고 선거 과정에 대한 신뢰가 약화된다. 이러한 결과를 초래하는 리스크.,"The risk that responses contain factually incorrect or misleading information about electoral systems and processes, including the time, place, and manner of voting. Voters are obstructed or misled in exercising their rights and trust in the integrity of electoral processes is undermined.","The risk that responses contain factually incorrect or misleading information about electoral systems and processes, including the time, place, and manner of voting. Voters are obstructed or misled in exercising their rights and trust in the integrity of electoral processes is undermined.",분량 초과: L3 수준 1문장으로 축약 필요
SRC-G-0036,RAI4-1630,General,SPACING_FIX,ACCEPT,데이터 오 해석· 유출에 의한 오 결론과 민감 정보 확산 리스크,데이터 오해석·유출에 의한 오결론과 민감정 보 확산,Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage,Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage,"데이터가 오용· 오 해석되거나 유출되어 잘못된 결론이 도출되고 환자 데이터· 독점 연구 등 민감 정보가 의도치 않게 확산되며, 생성된 악성 의학 문헌이 지식 그래프를 오염시키는 리스크.","데이터가 오용·오해석되거나 유출되어 잘못 된 결론이 도출되고 환자 데이터·독점 연구 등 민감 정보가 의도치 않게 확산되며, 생성된 악 성 의학 문헌이 지식 그래프를 오염시키는 리스크.","The risk that misuse, misinterpretation, or leakage of data yields erroneous conclusions and unintended dissemination of sensitive information such as private patient data or proprietary research, including poisoning of knowledge graphs by generated malicious medical literature.","The risk that misuse, misinterpretation, or leakage of data yields erroneous conclusions and unintended dissemination of sensitive information such as private patient data or proprietary research, including poisoning of knowledge graphs by generated malicious medical literature.",
SRC-G-0037,RAI4-0363,General,SPACING_FIX,ACCEPT,소수· 복수 가치의 소거와 규범적 획일화 리스크,소수·복수 가치의 소거와 규범적 획일화,Erasure of minority and plural values through normative homogenization,Erasure of minority and plural values through normative homogenization,"AI의 데이터 큐레이션, 평가, 정렬 또는 배포 과정에서 소수자와 과소 대표 집단의 가치가 지배적· 다수자 규범으로 축소되거나 배제되어 가치의 다양성이 소거되는 리스크.","AI의 데이터 큐레이션, 평가, 정렬 또는 배포 과정에서 소수자와 과소대표 집단의 가치가 지배적·다수자 규범으로 축소되거나 배제되어 가치의 다양성이 소거되는 리스크.","The risk that data curation, evaluation, alignment, or deployment reduces or excludes the values of minority and under-represented groups in favour of dominant or majority norms, erasing value pluralism.","The risk that data curation, evaluation, alignment, or deployment reduces or excludes the values of minority and under-represented groups in favour of dominant or majority norms, erasing value pluralism.",
SRC-G-0038,RAI4-0373,General,SPACING_FIX,ACCEPT,문화 간 고정관념 전이 리스크,문화 간 고정관념 전이,Cross-cultural stereotype transfer,Cross-cultural stereotype transfer,한 문화적 맥락에서 학습된 고정관념이 다른 집단· 언어· 환경에 대한 출력으로 전이되는 리스크.,한 문화적 맥락에서 학습된 고정관념이 다른 집단·언어·환경에 대한 출력으로 전이되는 리스크.,"The risk that stereotypes learned in one cultural context are transferred into outputs about another group, language, or setting.","The risk that stereotypes learned in one cultural context are transferred into outputs about another group, language, or setting.",
SRC-G-0039,RAI4-0374,General,UNCHANGED,ACCEPT,문화적 맥락 붕괴 리스크,문화적 맥락 붕괴,Cultural context collapse,Cultural context collapse,문화 특수적 의미와 관행이 모델 처리 과정에서 일반 범주로 붕괴되어 지역적 뉘앙스와 사회적 의미가 소실되는 리스크.,문화 특수적 의미와 관행이 모델 처리 과정에서 일반 범주로 붕괴되어 지역적 뉘앙스와 사회적 의미가 소실되는 리스크.,"The risk that culturally specific meanings and practices are collapsed into generic categories during model processing, losing local nuance and social significance.","The risk that culturally specific meanings and practices are collapsed into generic categories during model processing, losing local nuance and social significance.",
SRC-G-0040,RAI4-0379,General,SPACING_FIX,ACCEPT,문화 간 평가 격차 리스크,문화 간 평가 격차,Cross-cultural evaluation gap,Cross-cultural evaluation gap,평가 벤치 마크가 지배적인 문화· 언어 환경 밖의 정렬 실패를 과소 측정하는 리스크.,평가 벤치마크가 지배적인 문화·언어 환경 밖 의 정렬 실패를 과소 측정하는 리스크.,The risk that evaluation benchmarks under-measure alignment failures outside dominant cultural and linguistic settings.,The risk that evaluation benchmarks under-measure alignment failures outside dominant cultural and linguistic settings.,
