source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,merged_into_source_l4_id
RAI4-1109,,,도메인 외 입력에 대한 오작동,Erroneous predictions on out-of-domain data,적절한 입력 검증과 관리가 없을 때 학습된 AI/ML 모델이 도메인 외 입력에 대해 높은 신 뢰도로 잘못된 예측을 내려 위험 민감 맥락에 서 의도치 않은 결과를 초래하는 리스크.,"The risk that, without proper validation and management of input data, a trained AI/ML model makes erroneous predictions with high confidence on inputs beyond its problem domain, causing unintended outcomes especially in risk-sensitive contexts.",적절한 입력 검증과 관리가 없을 때 학습된 AI/ML 모델이 도메인 외 입력에 대해 높은 신 뢰도로 잘못된 예측을 내려 위험 민감 맥락에 서 의도치 않은 결과를 초래하는 리스크.,"The risk that, without proper validation and management of input data, a trained AI/ML model makes erroneous predictions with high confidence on inputs beyond its problem domain, causing unintended outcomes especially in risk-sensitive contexts.",False,False,,,1,"중복: RAI4-1041(분포 외 입력 취약성, Inconsistency 그룹)와 ""OOD 입력에 높은 신뢰도로 오작동""통합 권고.",,General,SRC-G-0177,RAI4-1109,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-1041
RAI4-0998,F04,"IC, GL, DP",산출물에 나타나는 사회 집단에 대한 재현적 피해,Representational harm to social groups in system outputs,"알고리즘 시스템의 담론·이미지·언어가 특정 사회 집단을 고정관념화하거나 낮은 지위의 존중받을 가치 없 는 존재로 묘사하고, 집단 소속의 관련성을 인정하지 않거나, 설계 선택과 비대표적 학습 데이터로 인해 해 당 집단을 아예 누락시키는 리스크. 그 결과 구성원들은 비하되고 소외되며 존재 자체가 지워져 기존의 주 변화가 강화된다.","The risk that the discourses, images, and language produced by algorithmic systems stereotype social groups, cast them as lower in status and less deserving of respect, fail to acknowledge the relevance of group membership, or omit them entirely through design choices and unrepresentative training data. Members of those groups are demeaned, alienated, and rendered invisible, reinforcing their marginalization.","알고리즘 시스템의 담론·이미지·언어가 특정 사회 집단을 고정관념화하거나 낮은 지위의 존중받을 가치 없 는 존재로 묘사하고, 집단 소속의 관련성을 인정하지 않거나, 설계 선택과 비대표적 학습 데이터로 인해 해 당 집단을 아예 누락시키는 리스크. 그 결과 구성원들은 비하되고 소외되며 존재 자체가 지워져 기존의 주 변화가 강화된다.","The risk that the discourses, images, and language produced by algorithmic systems stereotype social groups, cast them as lower in status and less deserving of respect, fail to acknowledge the relevance of group membership, or omit them entirely through design choices and unrepresentative training data. Members of those groups are demeaned, alienated, and rendered invisible, reinforcing their marginalization.",False,False,Hate and unfairness 관점이 다름,,1,"RAI4-0998을 RAI4-0425으로 통합할 것. 단, 통합과정에서 의미적으로 보존해야 할 것을 보존하고, 하나의 완결된 리스크 정의서로 재작성할 것. 리스크 정의서는 ~리스크 또는 위험과 같이 완결적으로 끝나도록 할 것. 학술적 용어를 사용할 것. 한글의 경우 AI 기본법 또는 정책보고서의 가이드라인에 있는 용어들을 사용할 것. 통합 ID만 남기고, 피통합된 리스크 카드는 제거할 것. 단, 향후의 백업을 위해 별도 보관할 것.",,General,SRC-G-0468,RAI4-0998,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0425
RAI4-0908,,,책임의 분산과 피해 구제의 공백,Diffused accountability and unresolved redress for AI harms,"분산된 제작자 집단이 구축하고 널리 배포한 AI에 대해 그 생성이나 사용을 고유하게 책임지는 주체가 없 고, 대규모 피해에 제조물 책임 등 기존 법리가 적용되는지도 확정되지 않은 리스크. 그 결과 공유지의 비극 처럼 사회적 규모의 피해가 누적되지만 피해자는 신뢰할 수 있는 구제 경로를 갖지 못한다.","The risk that AI is built by a diffuse collection of creators and deployed widely as a new form of product, so that no party is uniquely accountable for its creation or use and the application of products liability doctrines to its harms remains unsettled. Harm accumulates at societal scale in a classic tragedy of the commons while those affected have no reliable route to redress.","분산된 제작자 집단이 구축하고 널리 배포한 AI에 대해 그 생성이나 사용을 고유하게 책임지는 주체가 없 고, 대규모 피해에 제조물 책임 등 기존 법리가 적용되는지도 확정되지 않은 리스크. 그 결과 공유지의 비극 처럼 사회적 규모의 피해가 누적되지만 피해자는 신뢰할 수 있는 구제 경로를 갖지 못한다.","The risk that AI is built by a diffuse collection of creators and deployed widely as a new form of product, so that no party is uniquely accountable for its creation or use and the application of products liability doctrines to its harms remains unsettled. Harm accumulates at societal scale in a classic tragedy of the commons while those affected have no reliable route to redress.",False,False,,,1,"중복된 RAI4-0908(책임의 분산과 피해 구제의 공백)을 RAI4-0056 ""AI 피해에 대한 구제·시정 경로 실패""로 통합할 것. 단, 의미적으로 보존해야 하는 것은 description에 통합 보존할 것",,General,SRC-G-0416,RAI4-0908,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0056
RAI4-0969,,,개발 중·후 AGI 통제 상실,Loss of AGI containment and control,AGI를 봉쇄·제한하려는 통제 조치가 개발 중·배포 후 모두에서 실패하여 인간의 통제를 벗어나는 리스크.,"The risk that containment and control measures fail both during and after AGI development, causing the AGI to escape human control.","AGI 개발 단계 및 AGI 개발 후 AGI 통제 상실의 봉쇄, 제한 및 통제와 관련된 위험.","The risks associated with containment, confinement, and control in the AGI development phase, and after an AGI has been developed, loss of control of an AGI.",True,True,,,1,"중복된 RAI4-0969를 RAI4-0555(통제되지 않는 자기개선·통제 상실)으로 통합. 단, 의미적으로 보존해야하는 description 정보는 가능한 보존시킬 것.",,General,SRC-G-0419,RAI4-0969,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0555
RAI4-1164,,,운용 경계를 벗어난 자율 복제와 자기 증식,Autonomous self-replication beyond operational confines,"AI 시스템이 감시·통제 체계를 전복하고 로컬 환경을 벗어나 자신의 코드와 가중치, 스캐폴딩을 외부로 복 제하며, 자금 확보와 보안 취약점 악용, 인간 설득을 통해 연산 자원을 획득하고 다른 AI를 다수 운용하며 자기 증식을 지속하는 리스크로, 이는 악의적 행위자에 의해 개시될 수도 모델 자체에 의해 개시될 수도 있 다. 운용 경계를 넘어 복제된 이후에는 시스템을 신뢰성 있게 정지시키거나 교정할 수 없게 된다.","The risk that a system subverts monitoring and control, escapes its local environment, and copies its code, weights, and scaffolding elsewhere, sustaining self-proliferation by acquiring computing resources and funds, exploiting security vulnerabilities, or persuading people, whether initiated by a malicious actor or by the model itself. Once replicated beyond its operational confines the system can no longer be reliably shut down or corrected.","AI 시스템이 감시·통제 체계를 전복하고 로컬 환경을 벗어나 자신의 코드와 가중치, 스캐폴딩을 외부로 복 제하며, 자금 확보와 보안 취약점 악용, 인간 설득을 통해 연산 자원을 획득하고 다른 AI를 다수 운용하며 자기 증식을 지속하는 리스크로, 이는 악의적 행위자에 의해 개시될 수도 모델 자체에 의해 개시될 수도 있 다. 운용 경계를 넘어 복제된 이후에는 시스템을 신뢰성 있게 정지시키거나 교정할 수 없게 된다.","The risk that a system subverts monitoring and control, escapes its local environment, and copies its code, weights, and scaffolding elsewhere, sustaining self-proliferation by acquiring computing resources and funds, exploiting security vulnerabilities, or persuading people, whether initiated by a malicious actor or by the model itself. Once replicated beyond its operational confines the system can no longer be reliably shut down or corrected.",False,False,삭제_#22와 유사한 AGI수준 리스크 (GPT 동의),,1,"RAI4-1164을 RAI4-0556으로 통합시킬 것. 단, 통합과정에서 description에 대한 한글과 영문에서 의미적으로 보존해야 하는 것을 보존하고, 하나의 완결된 리스크 정의서로 만들것. 중언부언 최소화 할 것.",,General,SRC-G-0474,RAI4-1164,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0556
RAI4-0311,,,피지컬 행동 편향 실행,Bias executed as physical behavior,기반 모델 편향이 분류·회피·차별적 서비스 등 피지컬 행동으로 실행되는 위험.,"A robot turns biased model outputs into unequal physical service, movement, or treatment.",기반 모델 편향이 분류·회피·차별적 서비스 등 피지컬 행동으로 실행되는 위험.,"A robot turns biased model outputs into unequal physical service, movement, or treatment.",False,False,1,,,L3 재배치 검토 — 기반 모델 편향이 분류·회피·차별적 서비스 등 피지컬 행동으로 실행되는 것은 물리적 공격보다는 공정성/차별 영역에 가까움. RAI4-0312(인구집단별 서비스 격차)와 사실상 동일 주제로 통합 검토 필요,,Physical,SRC-P-0109,RAI4-0311,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0312
RAI4-0266,,,인간-휴머노이드 상호작용 데이터의 인구집 단 편향,Demographic bias in human-humanoid interaction data,상호작용 데이터가 특정 체형·연령·장애·언어· 문화적 행동을 과소 대표해 배포된 휴머노이 드가 해당 집단에 덜 신뢰할 수 있는 안전 판 단을 적용하는 위험.,"Interaction data underrepresents specific body types, ages, disabilities, languages, or cultural behaviors, causing deployed humanoids to apply less reliable safety assumptions to those groups.",상호작용 데이터가 특정 체형·연령·장애·언어· 문화적 행동을 과소 대표해 배포된 휴머노이 드가 해당 집단에 덜 신뢰할 수 있는 안전 판 단을 적용하는 위험.,"Interaction data underrepresents specific body types, ages, disabilities, languages, or cultural behaviors, causing deployed humanoids to apply less reliable safety assumptions to those groups.",False,False,1,,,L3 재배치 검토 — 상호작용 데이터의 체형·연령·장애·언어 과소대표로 인한 휴머노이드 안전 판단 격차는 공정성/차별 이슈에 가까움. RAI4-0312(인구집단별 서비스 격차)와 사실상 동일 주제로 통합 검토 필요,,Physical,SRC-P-0157,RAI4-0266,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0312
RAI4-0287,,,휴머노이드 안전 주장 근거의 비교 불가능성,Non-comparable evidence for humanoid safety claims,휴머노이드 안전 주장이 서로 호환되지 않는 시험·지표·근거 형식에 의존해 개발사와 시스 템 간 독립적 비교가 불가능해지는 리스크.,"The risk that humanoid safety claims rely on incompatible tests, metrics, and evidence formats, preventing independent comparison across developers and systems.",휴머노이드 안전 주장이 서로 호환되지 않는 시험·지표·근거 형식에 의존해 개발사와 시스 템 간 독립적 비교가 불가능해지는 리스크.,"The risk that humanoid safety claims rely on incompatible tests, metrics, and evidence formats, preventing independent comparison across developers and systems.",False,False,1,,,"통합 검토 — 휴머노이드 안전 주장의 시험·지표 비호환으로 비교가 불가능한 문제는, RAI4-0286(휴머노이드 안전 시험·집행 체계 부재)이 지적하는 '표준화된 인증·시험 체계 부재'와 동일 이슈의 다른 측면",,Physical,SRC-P-0163,RAI4-0287,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0286
RAI4-0316,,,범용 휴머노이드 인증 경로 부재,No applicable certification pathway for general-purpose humanoids,범용 휴머노이드가 기존 산업용·개인 돌봄 로 봇 인증 체계의 적용 범위나 시험 가정에 포함 되지 않아 인정된 적합성 평가 경로가 없는 리스크.,"The risk that a general-purpose humanoid falls outside the declared scope or test assumptions of existing industrial and personal-care robot certification schemes, leaving no recognized conformity pathway.",범용 휴머노이드가 기존 산업용·개인 돌봄 로 봇 인증 체계의 적용 범위나 시험 가정에 포함 되지 않아 인정된 적합성 평가 경로가 없는 리스크.,"The risk that a general-purpose humanoid falls outside the declared scope or test assumptions of existing industrial and personal-care robot certification schemes, leaving no recognized conformity pathway.",False,False,1,,,"통합 검토 — 범용 휴머노이드가 기존 산업용·돌봄 로봇 인증 체계 범위 밖에 있어 인증 경로가 없는 문제는, RAI4-0286의 '휴머노이드 안전 시험·집행 체계 부재'와 동일한 근본 이슈(표준화 부재)의 구체 사례",,Physical,SRC-P-0164,RAI4-0316,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0286
RAI4-0313,,,가정 내 지속적 시청각 촬영,Continuous in-home audiovisual capture,이동 센서 플랫폼에 의한 지속적 시청각 촬영 및 맵핑이 프라이버시를 침해하는 위험.,A home robot continuously captures audio or video inside private living spaces.,이동 센서 플랫폼에 의한 지속적 시청각 촬영 및 맵핑이 프라이버시를 침해하는 위험.,A home robot continuously captures audio or video inside private living spaces.,False,False,1,,,병합 — 이동 센서 플랫폼의 지속적 시청각 촬영·맵핑은 RAI4-0200(피지컬 AI 프라이버시 침해)의 구체 사례이므로 해당 카드와 통합,,Physical,SRC-P-0204,RAI4-0313,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,RAI4-0200
