source_row_id,source_l4_id,source_domain,action,target_source_l4_id,rationale
SRC-P-0210,RAI4-0049,Physical,DELETE,,"삭제 — 기존 제조물 책임 규칙이 적응형/생성형 AI 피해를 배분하지 못하는 문제는 법적 책임에 관한 일반론으로, 리스크 카드보다는 정책 이슈에 가까움"
SRC-P-0217,RAI4-1002,Physical,DELETE,,삭제 — AI가 사회적으로 구성된 집단 정체성을 고정된 속성처럼 취급해 고정관념을 강화하는 것은 일반 공정성/편향 이슈로 물리 AI 한정 아님
SRC-G-0026,RAI4-0792,General,MERGED_AWAY,RAI4-0635,Merged into RAI4-0635
SRC-G-0034,RAI4-1206,General,MERGED_AWAY,RAI4-0635,Merged into RAI4-0635
SRC-G-0025,RAI4-0635,General,MERGE_REPRESENTATIVE,RAI4-0635,"Integrated RAI4-0635,RAI4-0792,RAI4-1206"
SRC-G-0035,RAI4-1376,General,MERGED_AWAY,RAI4-1057,Merged into RAI4-1057
SRC-G-0032,RAI4-1057,General,MERGE_REPRESENTATIVE,RAI4-1057,"Integrated RAI4-1057,RAI4-1376"
SRC-G-0073,RAI4-0474,General,MERGED_AWAY,RAI4-0363,Merged into RAI4-0363
SRC-G-0037,RAI4-0363,General,MERGE_REPRESENTATIVE,RAI4-0363,"Integrated RAI4-0363,RAI4-0474"
SRC-G-0122,RAI4-1131,General,MERGED_AWAY,RAI4-0468,Merged into RAI4-0468
SRC-G-0131,RAI4-1531,General,MERGED_AWAY,RAI4-0468,Merged into RAI4-0468
SRC-G-0476,RAI4-1236,General,MERGED_AWAY,RAI4-0468,Merged into RAI4-0468
SRC-G-0113,RAI4-0468,General,MERGE_REPRESENTATIVE,RAI4-0468,"Integrated RAI4-0468,RAI4-1131,RAI4-1531,RAI4-1236"
SRC-G-0121,RAI4-1130,General,MERGED_AWAY,RAI4-1646,Merged into RAI4-1646
SRC-G-0128,RAI4-1411,General,MERGED_AWAY,RAI4-1646,Merged into RAI4-1646
SRC-G-0133,RAI4-1646,General,MERGE_REPRESENTATIVE,RAI4-1646,"Integrated RAI4-1646,RAI4-1130,RAI4-1411"
SRC-G-0126,RAI4-1310,General,MERGED_AWAY,RAI4-0972,Merged into RAI4-0972
SRC-G-0420,RAI4-0972,General,MERGE_REPRESENTATIVE,RAI4-0972,"Integrated RAI4-0972,RAI4-1310"
SRC-G-0177,RAI4-1109,General,MERGED_AWAY,RAI4-1041,Merged into RAI4-1041
SRC-G-0059,RAI4-1041,General,MERGE_REPRESENTATIVE,RAI4-1041,"Integrated RAI4-1041,RAI4-1109"
SRC-G-0468,RAI4-0998,General,MERGED_AWAY,RAI4-0425,Merged into RAI4-0425
SRC-G-0337,RAI4-0425,General,MERGE_REPRESENTATIVE,RAI4-0425,"Integrated RAI4-0425,RAI4-0998"
SRC-G-0416,RAI4-0908,General,MERGED_AWAY,RAI4-0056,Merged into RAI4-0056
SRC-G-0402,RAI4-0056,General,MERGE_REPRESENTATIVE,RAI4-0056,"Integrated RAI4-0056,RAI4-0908"
SRC-G-0419,RAI4-0969,General,MERGED_AWAY,RAI4-0555,Merged into RAI4-0555
SRC-G-0415,RAI4-0555,General,MERGE_REPRESENTATIVE,RAI4-0555,"Integrated RAI4-0555,RAI4-0969"
SRC-G-0474,RAI4-1164,General,MERGED_AWAY,RAI4-0556,Merged into RAI4-0556
SRC-G-0447,RAI4-0556,General,MERGE_REPRESENTATIVE,RAI4-0556,"Integrated RAI4-0556,RAI4-1164"
SRC-P-0109,RAI4-0311,Physical,MERGED_AWAY,RAI4-0312,Merged into RAI4-0312
SRC-P-0157,RAI4-0266,Physical,MERGED_AWAY,RAI4-0312,Merged into RAI4-0312
SRC-P-0185,RAI4-0312,Physical,MERGE_REPRESENTATIVE,RAI4-0312,"Integrated RAI4-0312,RAI4-0311,RAI4-0266"
SRC-P-0163,RAI4-0287,Physical,MERGED_AWAY,RAI4-0286,Merged into RAI4-0286
SRC-P-0164,RAI4-0316,Physical,MERGED_AWAY,RAI4-0286,Merged into RAI4-0286
SRC-P-0162,RAI4-0286,Physical,MERGE_REPRESENTATIVE,RAI4-0286,"Integrated RAI4-0286,RAI4-0287,RAI4-0316"
SRC-P-0204,RAI4-0313,Physical,MERGED_AWAY,RAI4-0200,Merged into RAI4-0200
SRC-P-0203,RAI4-0200,Physical,MERGE_REPRESENTATIVE,RAI4-0200,"Integrated RAI4-0200,RAI4-0313"
SRC-G-0027,RAI4-0793,General,SPLIT,two child records,Separated individual-targeted false information from dangerous-information security threats
SRC-G-0545,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: medical advice and assistance
SRC-G-0546,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: legal advice and law enforcement
SRC-G-0547,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: financial-services advice
SRC-G-0548,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: emergency and disaster response
SRC-G-0549,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: mental-health and counselling context
SRC-G-0550,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: employment and personnel decisions
SRC-G-0551,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: education and assessment
SRC-G-0552,new,General,DELETE_NON_RISK,,APPLICATION_CONTEXT_ONLY: social-welfare and public-service decisions
SRC-P-0052,RAI4-0853,Physical,DELETE_PEER_REVIEW,,PEER_REVIEW_ACCEPTED: category-only statement without a specific mechanism or harm
