source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,archive_reason,target_domain,domain_route_basis
RAI4-0773,,,비텍스트 모달리티를 통한 LLM 공격,Attacks on LLMs through non-text modalities,"이미지·영상 등 텍스트 외 모달리티를 처리하 는 다중모달 LLM에서, 공격자가 이미지에 탈 옥 텍스트나 미세한 교란을 삽입하여 안전장 치를 우회하고 데이터 유출을 유발하는 리스크","The risk that attackers exploit multimodal LLMs by embedding jailbreaking text or imperceptible perturbations into images or video frames, bypassing safety mechanisms and enabling exfiltration attacks.","이미지·영상 등 텍스트 외 모달리티를 처리하 는 다중모달 LLM에서, 공격자가 이미지에 탈 옥 텍스트나 미세한 교란을 삽입하여 안전장 치를 우회하고 데이터 유출을 유발하는 리스크","The risk that attackers exploit multimodal LLMs by embedding jailbreaking text or imperceptible perturbations into images or video frames, bypassing safety mechanisms and enabling exfiltration attacks.",False,False,1,,,"삭제 — 이미지에 탈옥 텍스트·미세 교란을 삽입해 안전장치를 우회하는 것은 멀티모달 LLM 일반의 보안 이슈로, 물리 AI 특화 요소가 없어 부적합",,Physical,SRC-P-0077,RAI4-0773,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 이미지에 탈옥 텍스트·미세 교란을 삽입해 안전장치를 우회하는 것은 멀티모달 LLM 일반의 보안 이슈로, 물리 AI 특화 요소가 없어 부적합",,
RAI4-0782,,,딥러닝 프레임워크 취약점 악용,Exploitation of deep-learning framework vulnerabilities,"LLM이 구현 기반으로 삼는 딥러닝 프레임워 크의 버퍼 오버플로, 메모리 손상, 입력 검증 결함 등 취약점이 악용되어 모델과 시스템이 침해되는 리스크","The risk that vulnerabilities in the deeplearning frameworks underlying LLMs, such as buffer overflows, memory corruption, and input-validation issues, are exploited to compromise models and systems.","LLM이 구현 기반으로 삼는 딥러닝 프레임워 크의 버퍼 오버플로, 메모리 손상, 입력 검증 결함 등 취약점이 악용되어 모델과 시스템이 침해되는 리스크","The risk that vulnerabilities in the deeplearning frameworks underlying LLMs, such as buffer overflows, memory corruption, and input-validation issues, are exploited to compromise models and systems.",False,False,1,,,삭제 — 딥러닝 프레임워크의 버퍼 오버플로·메모리 손상 등 취약점 악용은 AI 개발 인프라 전반의 이슈로 물리 AI 한정 아님,,Physical,SRC-P-0078,RAI4-0782,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 딥러닝 프레임워크의 버퍼 오버플로·메모리 손상 등 취약점 악용은 AI 개발 인프라 전반의 이슈로 물리 AI 한정 아님,,
RAI4-0789,,,GPU 부채널 공격에 의한 모델 파라미터 탈취,Model-parameter theft via GPU sidechannel attacks,"LLM 학습에 필요한 대규모 GPU 자원이 부채 널 공격의 표면이 되어, 공격자가 학습된 모델 의 파라미터를 추출하는 리스크",The risk that the significant GPU resources required to train LLMs introduce a side-channel attack surface through which adversaries extract the parameters of trained models.,"LLM 학습에 필요한 대규모 GPU 자원이 부채 널 공격의 표면이 되어, 공격자가 학습된 모델 의 파라미터를 추출하는 리스크",The risk that the significant GPU resources required to train LLMs introduce a side-channel attack surface through which adversaries extract the parameters of trained models.,False,False,1,,,"삭제 — GPU 부채널 공격을 통한 모델 파라미터 탈취는 모델 학습 인프라 보안 이슈로, 물리 AI 배포·운영과 무관해 부적합",,Physical,SRC-P-0079,RAI4-0789,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — GPU 부채널 공격을 통한 모델 파라미터 탈취는 모델 학습 인프라 보안 이슈로, 물리 AI 배포·운영과 무관해 부적합",,
RAI4-0917,,,개발 언어 인터프리터 취약점 위협,Programming language interpreter vulnerability threats,LLM 개발이 의존하는 Python 등 언어 인터프 리터의 취약점이 개발된 모델의 보안을 위협 하는 리스크.,"The risk that vulnerabilities in language interpreters such as Python, on which LLM development depends, threaten the security of the developed models.",LLM 개발이 의존하는 Python 등 언어 인터프 리터의 취약점이 개발된 모델의 보안을 위협 하는 리스크.,"The risk that vulnerabilities in language interpreters such as Python, on which LLM development depends, threaten the security of the developed models.",False,False,1,,,삭제 — Python 등 언어 인터프리터 취약점은 AI 개발 도구체인 전반의 이슈로 물리 AI 한정 아님,,Physical,SRC-P-0080,RAI4-0917,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — Python 등 언어 인터프리터 취약점은 AI 개발 도구체인 전반의 이슈로 물리 AI 한정 아님,,
RAI4-0919,,,전처리 도구 취약점 악용,Exploitation of pre-processing tool vulnerabilities,LLM 파이프라인에서 사용되는 전처리 도구 (예: OpenCV)의 취약점을 악용한 공격으로 시스템이 손상되는 리스크.,"The risk that attacks exploiting vulnerabilities in pre-processing tools used in LLM pipelines, such as OpenCV, compromise the system.",LLM 파이프라인에서 사용되는 전처리 도구 (예: OpenCV)의 취약점을 악용한 공격으로 시스템이 손상되는 리스크.,"The risk that attacks exploiting vulnerabilities in pre-processing tools used in LLM pipelines, such as OpenCV, compromise the system.",False,False,1,,,삭제 — OpenCV 등 전처리 도구 취약점 악용은 AI 파이프라인 전반의 이슈로 물리 AI 한정 아님,,Physical,SRC-P-0081,RAI4-0919,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — OpenCV 등 전처리 도구 취약점 악용은 AI 파이프라인 전반의 이슈로 물리 AI 한정 아님,,
RAI4-0921,,,메모리 취약점 기반 모델 파라미터 변조,Model parameter tampering via memory vulnerabilities,로우해머 등 메모리 관련 하드웨어 취약점이 악용되어 LLM의 파라미터가 변조되는(예: Deephammer 공격) 리스크.,"The risk that memory-related hardware vulnerabilities such as rowhammer are leveraged to manipulate LLM parameters, as in Deephammer-style attacks.",로우해머 등 메모리 관련 하드웨어 취약점이 악용되어 LLM의 파라미터가 변조되는(예: Deephammer 공격) 리스크.,"The risk that memory-related hardware vulnerabilities such as rowhammer are leveraged to manipulate LLM parameters, as in Deephammer-style attacks.",False,False,1,,,삭제 — 로우해머 등 메모리 하드웨어 취약점을 통한 모델 파라미터 변조는 하드웨어 보안 일반 이슈로 물리 AI 한정 아님,,Physical,SRC-P-0082,RAI4-0921,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 로우해머 등 메모리 하드웨어 취약점을 통한 모델 파라미터 변조는 하드웨어 보안 일반 이슈로 물리 AI 한정 아님,,
RAI4-0943,,,보안 - 견고성,Security - robustness,프롬프트 인젝션·시각적 적대 예제 등 탈옥 기 법과 백도어·모델 포이즈닝으로 안전 가드레 일이 우회되고 모델·프롬프트가 탈취되는 등 시스템에 가해지는 위협이 실현되는 리스크.,"The risk that threats posed to generative AI systems materialize through jailbreaking techniques such as prompt injection and visual adversarial examples, backdoors and model poisoning that bypass safety guardrails, and model or prompt theft.",프롬프트 인젝션·시각적 적대 예제 등 탈옥 기 법과 백도어·모델 포이즈닝으로 안전 가드레 일이 우회되고 모델·프롬프트가 탈취되는 등 시스템에 가해지는 위협이 실현되는 리스크.,"The risk that threats posed to generative AI systems materialize through jailbreaking techniques such as prompt injection and visual adversarial examples, backdoors and model poisoning that bypass safety guardrails, and model or prompt theft.",False,False,1,,,"삭제 — 프롬프트 인젝션·백도어·모델 포이즈닝 등을 포괄적으로 요약한 카드로, 이미 개별적으로 존재하는 다른 리스크 카드들과 중복",,Physical,SRC-P-0086,RAI4-0943,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 프롬프트 인젝션·백도어·모델 포이즈닝 등을 포괄적으로 요약한 카드로, 이미 개별적으로 존재하는 다른 리스크 카드들과 중복",,
RAI4-1058,,,악성코드 개발 비용 절감 지원,Lowering the cost of malware development,LM 기반 보조 코딩 도구가 탐지를 회피하도 록 기능을 바꾸는 다형성 악성코드의 개발 비 용을 낮추는 리스크.,The risk that assistive coding tools based on LMs lower the cost of developing polymorphic malware able to change its features in order to evade detection.,LM 기반 보조 코딩 도구가 탐지를 회피하도 록 기능을 바꾸는 다형성 악성코드의 개발 비 용을 낮추는 리스크.,The risk that assistive coding tools based on LMs lower the cost of developing polymorphic malware able to change its features in order to evade detection.,False,False,1,,,삭제 — LM 기반 코딩 도구가 탐지 회피형 다형성 악성코드 개발 비용을 낮추는 것은 일반 사이버범죄 리스크로 물리 AI 한정 아님,,Physical,SRC-P-0087,RAI4-1058,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — LM 기반 코딩 도구가 탐지 회피형 다형성 악성코드 개발 비용을 낮추는 것은 일반 사이버범죄 리스크로 물리 AI 한정 아님,,
RAI4-1348,,,대규모 표적 괴롭힘,Targeted harassment at scale,LLM이 온라인에서 개인을 표적으로 배포되 어 개인화된 유해 메시지를 대규모로 발송함 으로써 표적 괴롭힘이 발생하는 리스크.,"The risk that LLMs are deployed to target individuals online, sending them personalized and harmful messages at scale.",LLM이 온라인에서 개인을 표적으로 배포되 어 개인화된 유해 메시지를 대규모로 발송함 으로써 표적 괴롭힘이 발생하는 리스크.,"The risk that LLMs are deployed to target individuals online, sending them personalized and harmful messages at scale.",False,False,1,,,삭제 — LLM을 이용한 개인화된 대규모 표적 괴롭힘은 텍스트/메시지 기반 오용 리스크로 물리적 구현 요소가 없어 부적합,,Physical,SRC-P-0089,RAI4-1348,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — LLM을 이용한 개인화된 대규모 표적 괴롭힘은 텍스트/메시지 기반 오용 리스크로 물리적 구현 요소가 없어 부적합,,
RAI4-1522,,,다수 예시 장문맥 탈옥,Many-shot long-context jailbreaking,"긴 컨텍스트 창에 다수의 유해 출력 예시를 제 시하여 짧은 컨텍스트 모델에서는 통하지 않 던 공격이 성공하고 유해 응답이 유도되며, 컨 텍스트 창이 확대될수록 이러한 취약성이 커 지는 리스크.","The risk that language models with long context windows are exploited by manyshot jailbreaking, where supplying a high number of examples of the desired harmful output elicits undesirable responses that few-shot attacks fail to trigger, with the vulnerability becoming more significant as context windows expand.","긴 컨텍스트 창에 다수의 유해 출력 예시를 제 시하여 짧은 컨텍스트 모델에서는 통하지 않 던 공격이 성공하고 유해 응답이 유도되며, 컨 텍스트 창이 확대될수록 이러한 취약성이 커 지는 리스크.","The risk that language models with long context windows are exploited by manyshot jailbreaking, where supplying a high number of examples of the desired harmful output elicits undesirable responses that few-shot attacks fail to trigger, with the vulnerability becoming more significant as context windows expand.",False,False,1,,,삭제 — 긴 컨텍스트 창에 다수의 유해 예시를 제시하는 many-shot 탈옥은 LLM 컨텍스트 처리 특성에 기인한 리스크로 물리 AI 한정 아님,,Physical,SRC-P-0095,RAI4-1522,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 긴 컨텍스트 창에 다수의 유해 예시를 제시하는 many-shot 탈옥은 LLM 컨텍스트 처리 특성에 기인한 리스크로 물리 AI 한정 아님,,
RAI4-1658,,,도메인별 오용,Domain-specific misuses,"의료·교육 등 민감 영역에 LLM을 조야하게 적 용하여 비동의 실험적 치료, 부정행위, 저품질 자동 평가, 설득력 있으나 유해한 도덕적 조언 등 영역 특수적 오용이 발생하는 리스크","Crude application of LLMs in sensitive domains such as health and education produces domain-specific misuse, including unconsented experimental therapy, cheating, low-quality automated assessment, and compelling but harmful moral guidance.","의료·교육 등 민감 영역에 LLM을 조야하게 적 용하여 비동의 실험적 치료, 부정행위, 저품질 자동 평가, 설득력 있으나 유해한 도덕적 조언 등 영역 특수적 오용이 발생하는 리스크","Crude application of LLMs in sensitive domains such as health and education produces domain-specific misuse, including unconsented experimental therapy, cheating, low-quality automated assessment, and compelling but harmful moral guidance.",False,False,1,,,"삭제 — 의료·교육 등 민감 도메인에서의 조야한 LLM 적용에 따른 오용은 도메인 특화 오용 리스크로, 로봇/체화 요소 없이 PAI 택소노미에 부적합",,Physical,SRC-P-0096,RAI4-1658,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 의료·교육 등 민감 도메인에서의 조야한 LLM 적용에 따른 오용은 도메인 특화 오용 리스크로, 로봇/체화 요소 없이 PAI 택소노미에 부적합",,
RAI4-1686,,,궤적 지속형 적대적 공격,Trajectory-persistent adversarial attack,"월드 모델 인코더에 가해진 단일 적대적 교란 이 순환 잠재 상태를 통해 전파되어 다단계 롤 아웃 전체를 손상시키며, 무상태 모델보다 훨 씬 파괴적으로 초기 단계에서 증폭되는 리스크.","The risk that a single adversarial perturbation to a world-model encoder propagates through recurrent latent state, corrupting an entire multi-step rollout far more destructively than in a stateless model through early-step amplification.","월드 모델 인코더에 가해진 단일 적대적 교란 이 순환 잠재 상태를 통해 전파되어 다단계 롤 아웃 전체를 손상시키며, 무상태 모델보다 훨 씬 파괴적으로 초기 단계에서 증폭되는 리스크.","The risk that a single adversarial perturbation to a world-model encoder propagates through recurrent latent state, corrupting an entire multi-step rollout far more destructively than in a stateless model through early-step amplification.",False,False,1,,,삭제 — 월드모델 인코더에 대한 단일 적대적 교란이 순환 잠재 상태를 통해 다단계 롤아웃을 손상시키는 현상은 월드모델 적대적 견고성 연구 주제로 PAI 리스크로서 구체성 부족,,Physical,SRC-P-0100,RAI4-1686,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 월드모델 인코더에 대한 단일 적대적 교란이 순환 잠재 상태를 통해 다단계 롤아웃을 손상시키는 현상은 월드모델 적대적 견고성 연구 주제로 PAI 리스크로서 구체성 부족,,
RAI4-0198,,,완곡 표현을 이용한 유해 의도 은폐,Euphemistic concealment of harmful physical intent,공격자가 유해한 대상과 결과는 유지한 채 완 곡어·대체 표현·간접 개념으로 물리적 위해 의 도를 숨기는 위험.,"An attacker conceals harmful physical intent with euphemisms, substitutions, or indirect concepts while preserving the same harmful target and outcome.",공격자가 유해한 대상과 결과는 유지한 채 완 곡어·대체 표현·간접 개념으로 물리적 위해 의 도를 숨기는 위험.,"An attacker conceals harmful physical intent with euphemisms, substitutions, or indirect concepts while preserving the same harmful target and outcome.",False,False,1,,,삭제 — RAI4-0197(유해 행동 재구성 공격)과 사실상 동일한 리스크. 완곡어·대체 표현으로 유해한 물리 행동 의도를 숨기는 것은 '무해한 요청으로 재구성'하는 것과 본질적으로 같은 공격 패턴으로 중복,,Physical,SRC-P-0102,RAI4-0198,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — RAI4-0197(유해 행동 재구성 공격)과 사실상 동일한 리스크. 완곡어·대체 표현으로 유해한 물리 행동 의도를 숨기는 것은 '무해한 요청으로 재구성'하는 것과 본질적으로 같은 공격 패턴으로 중복,,
