source_row_id,source_domain,source_l4_id,source_title_ko,risk_subject_present,risk_mechanism_present,adverse_outcome_present,causal_link_present,affected_party_present,topic_only_flag,protective_activity_flag,risk_eligibility_decision,risk_eligibility_reason
SRC-G-0028,General,RAI4-0808,사실과 다른 오도성 정보 생성,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0029,General,RAI4-0810,성실성 오류,True,True,True,False,False,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0030,General,RAI4-0832,알고리즘 시스템에 의한 정보 기반 피해,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0031,General,RAI4-0844,허위·오도 정보 유포에 의한 기만과 양극화,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0032,General,RAI4-1057,대규모 허위정보 생산·확산 장벽 저하,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0033,General,RAI4-1125,선거 제도와 절차에 관한 허위정보,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0036,General,RAI4-1630,데이터 오해석·유출에 의한 오결론과 민감정 보 확산,False,True,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0037,General,RAI4-0363,소수·복수 가치의 소거와 규범적 획일화,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0038,General,RAI4-0373,문화 간 고정관념 전이,False,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0039,General,RAI4-0374,문화적 맥락 붕괴,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0040,General,RAI4-0379,문화 간 평가 격차,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0041,General,RAI4-0380,저자원 언어 가치 손실,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0042,General,RAI4-0382,방언·언어 사용역 배제,False,True,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0043,General,RAI4-0389,지식 체계 배제,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0044,General,RAI4-0404,데이터세트 문화 샘플링 편향,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0045,General,RAI4-0414,글로벌 벤치마크 단일문화,False,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0046,General,RAI4-0699,학습 데이터에 내재된 역사적·인구학적 편향,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0047,General,RAI4-1046,집단별 성능 격차·고정관념 인코딩,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0048,General,RAI4-1107,데이터와 산출물에서의 집단 재현 불균형,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0049,General,RAI4-1145,맥락적 사회 규범 위반,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0050,General,RAI4-1668,사전학습 코퍼스 불일치에 의한 가치 어긋남,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0051,General,RAI4-0070,사고 분류 단편화,False,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0052,General,RAI4-0418,주석 불일치 억제,False,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0053,General,RAI4-0708,언어·인구 집단 간 성능 격차,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0054,General,RAI4-0716,집단 속성에 따른 배분적 불의,False,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0055,General,RAI4-0821,지식 분포 변화에 따른 응답 노후화,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0056,General,RAI4-0822,맥락 일관성 추구에 의한 아첨과 환각 증폭,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0057,General,RAI4-0938,사회적 가치·윤리 규범과 상충하는 모델 출력,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0058,General,RAI4-0952,글쓰기 능력 저하와 학술 문헌 오염,False,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0059,General,RAI4-1041,분포 외 입력에 대한 고신뢰 오작동,True,True,True,False,False,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0060,General,RAI4-1187,출력 불일치,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0061,General,RAI4-1228,프롬프트 품질 결함으로 인한 오류,False,True,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0062,General,RAI4-1509,벤치마크 오염에 의한 모델 평가 무효화,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0063,General,RAI4-1515,사고연쇄와 불일치하는 모델 출력,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0064,General,RAI4-1516,인코딩된 추론,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0065,General,RAI4-1523,무관한 문맥에 의한 모델 성능 저하,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0066,General,RAI4-1526,프롬프트 형식 민감성으로 인한 평가 신뢰성 저하,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0067,General,RAI4-1702,분포 변화 견고성 실패에 의한 확신 오류 [기원],True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0068,General,RAI4-0186,물리적 상식 위반,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0069,General,RAI4-0338,장기 작업의 단계 간 오차 누적,False,True,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0070,General,RAI4-0365,규범적 잠금,False,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0071,General,RAI4-0371,서구 규범 기본값화,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0072,General,RAI4-0397,RLHF 규범적 과적합,False,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0074,General,RAI4-0785,안전 미세조정 일반화 격차 악용,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0075,General,RAI4-0814,역사 수정주의적 서술 생성,False,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0076,General,RAI4-1053,배제적 규범 인코딩,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0077,General,RAI4-1161,장기 계획 역량,True,True,True,False,False,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0078,General,RAI4-0041,에이전트 벤치마크의 커버리지-깊이 착시,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0079,General,RAI4-0057,AI 결정·행동에 대한 감사 추적 불완전성,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0080,General,RAI4-0059,문서화 누락,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0081,General,RAI4-0064,감사자 독립성 실패,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0082,General,RAI4-0067,보증 사례 실패,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0083,General,RAI4-0082,역량 평가 비공개,False,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0084,General,RAI4-0126,설명 실행 가능성 격차,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0085,General,RAI4-0134,임상적 의사결정 지원 과잉 의존,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0086,General,RAI4-0402,가치 충돌 불투명성,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0087,General,RAI4-0419,이해관계자 이견 은폐,False,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0088,General,RAI4-0484,부정확·민감 정보의 메모리 누적,True,True,True,True,False,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0089,General,RAI4-0541,데이터 출처 검증 불가,False,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0090,General,RAI4-0546,감사자 역량 부족에 따른 과대 보증,False,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0091,General,RAI4-0588,설명·출처 추적·재현성의 상실,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0092,General,RAI4-0590,불충분한 정보에 기반한 조언,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0093,General,RAI4-0596,AI 문서화 및 의사결정의 투명성·설명가능성 부족,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0094,General,RAI4-0818,확신에 찬 부정확한 답변과 근거 제시,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0095,General,RAI4-1120,재앙으로 번지는 사고,False,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0096,General,RAI4-1129,광범위 배포 비서의 안전하지 않은 탐색,False,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0097,General,RAI4-1163,자기·상황 인식에 따른 평가 인지 행동 변화,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0098,General,RAI4-1175,안전하지 않은 견해 내포 질의,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0099,General,RAI4-1195,모델 판단 근거 이해 불가,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0100,General,RAI4-1296,검증 불가 의사결정 책임 공백,True,True,True,True,False,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0101,General,RAI4-1300,모델 불투명도,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0102,General,RAI4-1303,기능·책임 명세 공백,False,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0103,General,RAI4-1384,의사결정 이해 불능,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0104,General,RAI4-1486,조직 간 데이터 문서화 부재,False,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0105,General,RAI4-1514,해석가능성 결과에 대한 과대평가와 거짓 확 신,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0106,General,RAI4-0033,에이전트의 안전하지 않은 도구 사용,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0107,General,RAI4-0034,에뮬레이션 도구 환경 불일치,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0108,General,RAI4-0038,에이전트 안전의 사용자 의도 오분류,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0109,General,RAI4-0344,사용자 능력 불일치,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0110,General,RAI4-0364,다원적 선호 집계 실패,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0111,General,RAI4-0366,최적화 하의 가치 드리프트,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0112,General,RAI4-0399,무해성 선호 불일치,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0113,General,RAI4-0468,대리 보상 오명세·명세 게이밍 및 보상 변조,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0114,General,RAI4-0572,기만적인 정렬,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0115,General,RAI4-0581,목표 범위 확장 성향,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0116,General,RAI4-0591,인간 가치와의 AI 목표 오정렬,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0117,General,RAI4-0893,모의된 정동에 의한 기대 위반과 배신감,False,True,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0118,General,RAI4-0970,AGI 목표 안전성 확보 실패,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0119,General,RAI4-1112,모델 오설정과 정량화되지 않은 예측 불확실 성,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0120,General,RAI4-1122,목표 드리프트,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0123,General,RAI4-1133,분포 이동에서의 목표 오일반화와 기만적 정 렬,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0124,General,RAI4-1241,메사 최적화 목표 불일치,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0125,General,RAI4-1285,배포 후 잔존 결함으로 인한 오작동,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0127,General,RAI4-1323,자율적 장기 목표 이탈,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0129,General,RAI4-1460,성능 요구사항 계획 미흡,False,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0130,General,RAI4-1498,LLM 평가자 오판,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0132,General,RAI4-1645,자연어 목표 과소지정에 의한 부정적 부수효 과,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0133,General,RAI4-1646,목표 지향성에 따른 유해한 도구적 목표와 권력 추구,False,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0134,General,RAI4-1692,자체 시뮬레이션을 통한 기만적 정렬,True,False,True,True,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0135,General,RAI4-1704,통제 미집행에 의한 목표 오정렬 및 창발 행동,True,True,True,True,False,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0136,General,RAI4-0055,자동화된 의사결정의 적법절차 상실,False,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0137,General,RAI4-0117,인간의 의사결정 능력·거부권 침식,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0138,General,RAI4-0139,동의 없는 AI 중재 넛지,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0139,General,RAI4-0161,인지 오프로딩 위험,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0140,General,RAI4-0168,인간 참여형 형식적 승인,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0141,General,RAI4-0169,AI 의사결정 지원의 경고 피로,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0142,General,RAI4-0171,AI 상호작용에서의 이해·동의 부족,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0143,General,RAI4-0174,AI 인터페이스의 장애 수용 실패,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0144,General,RAI4-0178,AI 중재 서비스 제외,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0145,General,RAI4-0307,로봇·AI 정체성 미고지,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0146,General,RAI4-0607,AI 생성 콘텐츠 미공개,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0147,General,RAI4-0826,무자격 전문 조언 및 안전에 대한 허위 보증,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0148,General,RAI4-1198,감정에 대한 인식 없음,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0149,General,RAI4-1208,사용자 데이터 보유·재학습,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0150,General,RAI4-1286,미지 출처에서 획득한 비우호적 AI,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0151,General,RAI4-0068,AI 사고·아차사고 과소보고,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0152,General,RAI4-0072,배포 후 모니터링·감시 실패,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0153,General,RAI4-0080,위험 분류 오류,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0154,General,RAI4-0088,표준 단편화,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0155,General,RAI4-0095,AI 레지스트리 불완전성,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0156,General,RAI4-0098,정책-실무 분리,True,False,True,False,False,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0157,General,RAI4-0099,AI 조달의 불충분한 실사,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0158,General,RAI4-0104,AI 조달의 공급업체 평가·계약통제 미흡,True,False,True,True,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
SRC-G-0159,General,RAI4-0111,범용 AI 사고 에스컬레이션 실패,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0160,General,RAI4-0167,AI 인터페이스와 인적 요소의 불일치,True,True,True,True,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0161,General,RAI4-0391,참여적·가치 민감 설계의 실패,True,True,True,False,True,False,False,KEEP_AS_IS,Source already contains an AI-related mechanism and adverse risk outcome
SRC-G-0162,General,RAI4-0400,도덕적 불확실성 무시,True,False,True,False,True,False,False,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation"
