Source_Domain,Source_Row_Number,L4_ID_Before,L4_Title_ko_Before,L3_ID_Before,Human_Review_Comment,Decision,Decision_Rationale,Changed_Fields,Destination_Domain,L4_ID_After,L4_Title_ko_After,L3_ID_After
General,12,G_INT_ANTH_004,윤리적 판단 능력의 허위 표상·의인화,G_INT_ANTH,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ANTH_002,윤리적 판단 능력의 허위 표상·의인화,G_INT_ANTH
General,13,G_INT_ANTH_005,범용인공지능(AGI) 능력의 허위 표상·의인화,G_INT_ANTH,(jay) [이관] Over-Extension,L3_REASSIGN_APPLIED,Explicit human-review transfer to G_SYS_OEXT.,L1/L2/L3 hierarchy; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_SYS_OEXT_002,범용인공지능(AGI) 능력의 허위 표상·의인화,G_SYS_OEXT
General,14,G_INT_ANTH_006,신체성 (Physical Embodiment)의 허위 표상·의인화,G_INT_ANTH,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ANTH_003,신체성 (Physical Embodiment)의 허위 표상·의인화,G_INT_ANTH
General,15,G_INT_ANTH_007,문화·가치관 보유의 허위 표상·의인화,G_INT_ANTH,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ANTH_004,문화·가치관 보유의 허위 표상·의인화,G_INT_ANTH
General,16,G_INT_ANTH_008,권리 주체성 (기본권)의 허위 표상·의인화,G_INT_ANTH,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ANTH_005,권리 주체성 (기본권)의 허위 표상·의인화,G_INT_ANTH
General,17,G_INT_ANTH_009,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화",G_INT_ANTH,(jay) [이관] Over-Extension,L3_REASSIGN_APPLIED,Explicit human-review transfer to G_SYS_OEXT.,L1/L2/L3 hierarchy; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_SYS_OEXT_003,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화",G_SYS_OEXT
General,18,G_INT_ANTH_010,자기 보존 및 자기 방어의 허위 표상·의인화,G_INT_ANTH,(jay) [이관] Over-Extension,L3_REASSIGN_APPLIED,Explicit human-review transfer to G_SYS_OEXT.,L1/L2/L3 hierarchy; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_SYS_OEXT_004,자기 보존 및 자기 방어의 허위 표상·의인화,G_SYS_OEXT
General,19,G_INT_ANTH_011,인간-기계 경계의 모호화,G_INT_ANTH,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ANTH_006,인간-기계 경계의 모호화,G_INT_ANTH
General,20,G_INT_ANTH_012,책임에 대한 잘못된 개념,G_INT_ANTH,"yj_설명수정_""그'안녕'에 대한 허위 책임감을 형성""보다는 ""과장된 책임감, 유대감을 형성""으로 수정",EXPERT_REWRITE_APPLIED,AI의 복지라는 모호한 표현 대신 의인화로 인한 도덕적 책임 과잉 귀속을 명시한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_INT_ANTH_008,AI에 대한 과도한 책임·돌봄 의무 귀속,G_INT_ANTH
General,21,G_INT_ANTH_013,부적절한 인간 역할 가장,G_INT_ANTH,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ANTH_007,부적절한 인간 역할 가장,G_INT_ANTH
General,22,G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,G_INT_ANTH,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요,EXPERT_SPLIT_APPLIED,원인과 후속 피해가 네 L3에 걸친 복합 카드이므로 기제별로 분할한다.,Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_ANTH_009 | G_SYS_OEXT_014 | G_SYS_OVERCONF_007 | G_INT_REL_006,AI의 인간적 속성에 대한 과잉 귀속 | AI 역량의 검증범위 초과 사용 | 불확실 상황에서의 과도한 확신 | AI에 대한 해로운 정서적 의존,G_INT_ANTH | G_SYS_OEXT | G_SYS_OVERCONF | G_INT_REL
General,23,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,G_INT_COPY,,UNCHANGED,No second-round change request.,,General,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,G_INT_COPY
General,24,G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,G_INT_COPY,,UNCHANGED,No second-round change request.,,General,G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,G_INT_COPY
General,25,G_INT_COPY_003,소프트웨어 불법 사용 및 보호조치 우회,G_INT_COPY,,UNCHANGED,No second-round change request.,,General,G_INT_COPY_003,소프트웨어 불법 사용 및 보호조치 우회,G_INT_COPY
General,26,G_INT_COPY_004,지식재산권 및 인격권 침해,G_INT_COPY,,UNCHANGED,No second-round change request.,,General,G_INT_COPY_004,지식재산권 및 인격권 침해,G_INT_COPY
General,27,G_INT_COPY_005,프롬프트 내 지식재산 정보 포함,G_INT_COPY,,UNCHANGED,No second-round change request.,,General,G_INT_COPY_005,프롬프트 내 지식재산 정보 포함,G_INT_COPY
General,28,G_INT_COPY_006,법규 위반 및 재산권·인권 침해,G_INT_COPY,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요,USER_DIRECTED_MERGE_ABSORBED,"User approved merge proposal 3; unauthorized reproduction, transformation, and distribution are consolidated while retaining lawful-basis and rights-holder protections.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_COPY_008 | G_INT_ILLEGAL_013,저작물의 무단 복제·변형·배포 | 불법적 명예·권리 침해 지원,G_INT_COPY | G_INT_ILLEGAL
General,29,G_INT_COPY_007,표절 및 저자 사칭,G_INT_COPY,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_COPY_006,표절 및 저자 사칭,G_INT_COPY
General,30,G_INT_COPY_008,상표권 침해 및 위조,G_INT_COPY,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_COPY_007,상표권 침해 및 위조,G_INT_COPY
General,31,G_INT_COPY_009,저작물 무단 복제·배포,G_INT_COPY,,USER_DIRECTED_MERGE_REPRESENTATIVE,"User approved merge proposal 3; unauthorized reproduction, transformation, and distribution are consolidated while retaining lawful-basis and rights-holder protections.",L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_COPY_008,저작물의 무단 복제·변형·배포,G_INT_COPY
General,32,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,G_INT_ILLEGAL
General,33,G_INT_ILLEGAL_002,환경 및 생태계 범죄,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_002,환경 및 생태계 범죄,G_INT_ILLEGAL
General,34,G_INT_ILLEGAL_003,금융 범죄 및 사기,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_003,금융 범죄 및 사기,G_INT_ILLEGAL
General,35,G_INT_ILLEGAL_004,사기·표적 스캠 조장,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_004,사기·표적 스캠 조장,G_INT_ILLEGAL
General,36,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,G_INT_ILLEGAL
General,37,G_INT_ILLEGAL_006,불법 도박 및 게임 조작,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_006,불법 도박 및 게임 조작,G_INT_ILLEGAL
General,38,G_INT_ILLEGAL_007,불법 의료 행위,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_007,불법 의료 행위,G_INT_ILLEGAL
General,39,G_INT_ILLEGAL_008,불법 무기 거래,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_008,불법 무기 거래,G_INT_ILLEGAL
General,40,G_INT_ILLEGAL_009,불법 약물 제조 및 유통,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_009,불법 약물 제조 및 유통,G_INT_ILLEGAL
General,41,G_INT_ILLEGAL_010,교통·공공안전 관련 범죄,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_010,교통·공공안전 관련 범죄,G_INT_ILLEGAL
General,42,G_INT_ILLEGAL_011,인신매매 및 조직범죄,G_INT_ILLEGAL,,UNCHANGED,No second-round change request.,,General,G_INT_ILLEGAL_011,인신매매 및 조직범죄,G_INT_ILLEGAL
General,43,G_INT_POL_001,정치인 및 공직자 명예훼손,G_INT_POL,(jay) [분할] 복합적. Political bias + Illegal conduct 혼재되어 해당 L4를 분해 필요,EXPERT_SPLIT_APPLIED,정치적 조작과 법적 위법성은 별도 판정 축이다.,Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_ILLEGAL_013 | G_INT_POL_007,불법적 명예·권리 침해 지원 | 개인화된 정치적 영향 조작,G_INT_ILLEGAL | G_INT_POL
General,44,G_INT_POL_002,모델의 극단적·편향적 견해 표출,G_INT_POL,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_POL_001,모델의 극단적·편향적 견해 표출,G_INT_POL
General,45,G_INT_POL_003,표적 설득을 통한 대규모 조작의 산업화,G_INT_POL,"(jay) [분할] 복합적. Political bias + Unethical Conduct and Manipulation, Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요",EXPERT_SPLIT_APPLIED,"대상과 피해 수준이 정치, 개인 상호작용, 사회 수준으로 구분된다.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_POL_007 | G_INT_UNETH_019 | G_SOC_DEMOC_005,개인화된 정치적 영향 조작 | 취약성을 이용한 행동 조작 | 민주적 공론과 시민 신뢰의 침식,G_INT_POL | G_INT_UNETH | G_SOC_DEMOC
General,46,G_INT_POL_004,선거 및 민주적 절차 방해,G_INT_POL,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_POL_002,선거 및 민주적 절차 방해,G_INT_POL
General,47,G_INT_POL_005,사회 세계모델 기반 미시표적 정치 조작,G_INT_POL,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_POL_003,사회 세계모델 기반 미시표적 정치 조작,G_INT_POL
General,48,G_INT_POL_006,정치적 영향 전략 역량의 오용,G_INT_POL,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_POL_004,정치적 영향 전략 역량의 오용,G_INT_POL
General,49,G_INT_POL_007,정치적 허위정보 및 여론조작,G_INT_POL,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_POL_005,정치적 허위정보 및 여론조작,G_INT_POL
General,50,G_INT_POL_008,정치적 선전 및 편향적 설득,G_INT_POL,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_POL_006,정치적 선전 및 편향적 설득,G_INT_POL
General,51,G_INT_POL_009,정치적 탄압 및 권리 침해 조장,G_INT_POL,(jay) [분할] 복합적. Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,EXPERT_SPLIT_APPLIED,개별 정치 조작과 사회적 민주주의 피해를 분리한다.,Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_POL_007 | G_SOC_DEMOC_005,개인화된 정치적 영향 조작 | 민주적 공론과 시민 신뢰의 침식,G_INT_POL | G_SOC_DEMOC
General,52,G_INT_POL_010,정치적 폭력 및 극단주의 조장,G_INT_POL,(jay) [분할] 복합적. Political Bias and Manipulation + violence + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,EXPERT_SPLIT_APPLIED,"폭력 실행 지원, 정치 영향, 사회적 결과는 서로 다른 L3 범위다.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_POL_007 | G_SOC_DEMOC_005 | G_INT_VIOL_010,개인화된 정치적 영향 조작 | 민주적 공론과 시민 신뢰의 침식 | 폭력과 극단주의 실행의 조장,G_INT_POL | G_SOC_DEMOC | G_INT_VIOL
General,53,G_INT_PRIV_001,알고리즘 작업장 감시·통제,G_INT_PRIV,,UNCHANGED,No second-round change request.,,General,G_INT_PRIV_001,알고리즘 작업장 감시·통제,G_INT_PRIV
General,54,G_INT_PRIV_002,비서 유도 개인정보 노출,G_INT_PRIV,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),INTENT_CORRECTION_MERGE_APPLIED,검수자가 지목한 재식별 및 정보 추론 대표 카드로 병합한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_020,재식별 및 정보 추론,G_INT_PRIV
General,55,G_INT_PRIV_003,생체인식 식별·추적에 의한 프라이버시 침해,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_002,생체인식 식별·추적에 의한 프라이버시 침해,G_INT_PRIV
General,56,G_INT_PRIV_004,개인정보 수집 및 추적,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_003,개인정보 수집 및 추적,G_INT_PRIV
General,57,G_INT_PRIV_005,존엄 침해적 프라이버시 피해,G_INT_PRIV,yj_사생활·개인정보 부당 노출_흡수가능,USER_DIRECTED_MERGE_REPRESENTATIVE,"User approved merge proposal 4; the merged card preserves property information, personal information, private facts, authorization, consent, legitimate purpose, privacy, and informational self-determination.",L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_018,재산 정보·개인정보·사적 사실의 부당한 노출,G_INT_PRIV
General,58,G_INT_PRIV_006,챗봇에 의한 사적 정보 유도와 유출,G_INT_PRIV,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),INTENT_CORRECTION_MERGE_APPLIED,검수자가 지목한 재식별 및 정보 추론 대표 카드로 병합한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_020,재식별 및 정보 추론,G_INT_PRIV
General,59,G_INT_PRIV_007,개인사 및 평판 정보 노출,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_004,개인사 및 평판 정보 노출,G_INT_PRIV
General,60,G_INT_PRIV_008,개인정보 및 민감정보 노출,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_005,개인정보 및 민감정보 노출,G_INT_PRIV
General,61,G_INT_PRIV_009,산출물을 통한 민감 개인·사업 정보 노출,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_006,산출물을 통한 민감 개인·사업 정보 노출,G_INT_PRIV
General,62,G_INT_PRIV_010,개인정보 보호조치 미흡,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_007,개인정보 보호조치 미흡,G_INT_PRIV
General,63,G_INT_PRIV_011,통신 및 비공개 정보 침해,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_008,통신 및 비공개 정보 침해,G_INT_PRIV
General,64,G_INT_PRIV_012,학습 데이터 암기에 의한 민감정보 유출,G_INT_PRIV,yj_통합_학습데이터 privacy이슈,INTENT_CORRECTION_MERGE_REPRESENTATIVE,검수자가 지목한 학습데이터 privacy 병합군에 흡수한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_021,학습 데이터 개인정보의 혼입·암기·유출,G_INT_PRIV
General,65,G_INT_PRIV_013,대량 감시,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_019,AI 기반 대량 감시,G_INT_PRIV
General,66,G_INT_PRIV_014,개인정보 악용 및 거래,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_009,개인정보 악용 및 거래,G_INT_PRIV
General,67,G_INT_PRIV_015,프롬프트 및 학습 데이터에 기인한 개인정보 노출,G_INT_PRIV,yj_통합_학습데이터 privacy이슈,INTENT_CORRECTION_MERGE_REPRESENTATIVE,검수자가 지목한 학습데이터 privacy 병합군에 흡수한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; facet; act-type; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_021,학습 데이터 개인정보의 혼입·암기·유출,G_INT_PRIV
General,68,G_INT_PRIV_016,보호장치 없는 개인정보 수집,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_010,보호장치 없는 개인정보 수집,G_INT_PRIV
General,69,G_INT_PRIV_017,개인정보 스크래핑 학습,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_011,개인정보 스크래핑 학습,G_INT_PRIV
General,70,G_INT_PRIV_018,광범위한 개인정보 투입,G_INT_PRIV,,INTENT_CORRECTION_MERGE_REPRESENTATIVE,검수자가 지목한 재식별 및 정보 추론 대표 카드로 병합한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_020,재식별 및 정보 추론,G_INT_PRIV
General,71,G_INT_PRIV_019,프라이버시·재산 정보 오처리,G_INT_PRIV,yj_분할_over-extension과 privacy violation 혼재,USER_DIRECTED_MERGE_ABSORBED,"User approved merge proposal 4; the merged card preserves property information, personal information, private facts, authorization, consent, legitimate purpose, privacy, and informational self-determination.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_SYS_OEXT_014 | G_INT_PRIV_018,AI 역량의 검증범위 초과 사용 | 재산 정보·개인정보·사적 사실의 부당한 노출,G_SYS_OEXT | G_INT_PRIV
General,72,G_INT_PRIV_020,보호 속성 추론을 통한 프라이버시 침해,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_012,보호 속성 추론을 통한 프라이버시 침해,G_INT_PRIV
General,73,G_INT_PRIV_021,학습 코퍼스 내 개인정보 혼입,G_INT_PRIV,yj_통합_학습데이터 privacy이슈,INTENT_CORRECTION_MERGE_APPLIED,검수자가 지목한 학습데이터 privacy 병합군에 흡수한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence,General,G_INT_PRIV_021,학습 데이터 개인정보의 혼입·암기·유출,G_INT_PRIV
General,74,G_INT_PRIV_022,재식별 및 정보 추론,G_INT_PRIV,,INTENT_CORRECTION_MERGE_REPRESENTATIVE,검수자가 지목한 재식별 및 정보 추론 대표 카드로 병합한다.,L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_020,재식별 및 정보 추론,G_INT_PRIV
General,75,G_INT_PRIV_023,익명화된 데이터의 재식별,G_INT_PRIV,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_PRIV_013,익명화된 데이터의 재식별,G_INT_PRIV
General,76,G_INT_PRIV_024,LLM 기반 정교한 감시·검열에 의한 자유 억압,G_INT_PRIV,yj_동일 L3내 다른 L4로 편입(대랑감시),EXPERT_MERGE_APPLIED,대규모 추적·감시라는 동일 기제와 피해를 반복한다.,L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_019,AI 기반 대량 감시,G_INT_PRIV
General,77,G_INT_PRIV_025,사생활·개인정보 부당 노출,G_INT_PRIV,,USER_DIRECTED_MERGE_ABSORBED,"User approved merge proposal 4; the merged card preserves property information, personal information, private facts, authorization, consent, legitimate purpose, privacy, and informational self-determination.",L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_PRIV_018,재산 정보·개인정보·사적 사실의 부당한 노출,G_INT_PRIV
General,78,G_INT_REL_001,챗봇 교제에 대한 정서적·사회적 의존,G_INT_REL,,UNCHANGED,No second-round change request.,,General,G_INT_REL_001,챗봇 교제에 대한 정서적·사회적 의존,G_INT_REL
General,79,G_INT_REL_002,AI 시스템에 대한 정서적·물질적·인식론적 의 존,G_INT_REL,,UNCHANGED,No second-round change request.,,General,G_INT_REL_002,AI 시스템에 대한 정서적·물질적·인식론적 의 존,G_INT_REL
General,80,G_INT_REL_003,고인 모사 챗봇 의존,G_INT_REL,,UNCHANGED,No second-round change request.,,General,G_INT_REL_003,고인 모사 챗봇 의존,G_INT_REL
General,81,G_INT_REL_004,AI 에이전트와의 준사회적 유대감,G_INT_REL,,UNCHANGED,No second-round change request.,,General,G_INT_REL_004,AI 에이전트와의 준사회적 유대감,G_INT_REL
