stage2_id,base_release_id,l4_id,label_en,label_ko,stage1_status,stage1_l3_id,stage1_abstention_reason,stage2_status,stage2_l3_id,stage2_method,stage2_fit_tier,stage2_suitability_score,stage2_hold_reason,top1_semantic_score,semantic_margin,composite_margin,anchor_top1_votes,rule_supported,gap_sentinels,taxonomy_gap_override,requires_human_review,human_approved,legacy_hierarchy_used_as_feature
stage2-v1,v1.0.0,RAI4-0539,Socioeconomic inequality,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.36483,PHYSICAL_OUTSIDE_LOCK,0.561405,0.024801,0.018601,1,False,"[""LABOR_INEQUALITY_POWER"", ""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0540,Transformative effects,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.485275,PHYSICAL_OUTSIDE_LOCK,0.534216,0.059539,0.158444,0,True,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0545,Art - creativity,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.247364,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.531458,0.012392,0.009294,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0553,Accidental harm,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.27322,PHYSICAL_OUTSIDE_LOCK,0.543478,0.009255,0.006941,2,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0596,Lack of model transparency,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.236507,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.550736,0.005737,0.004303,1,False,"[""TRANSPARENCY_EXPLAINABILITY""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0597,"Lack of transparency, explainability, and trust",,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.407337,PHYSICAL_OUTSIDE_LOCK,0.606196,0.014613,0.01096,1,False,"[""TRANSPARENCY_EXPLAINABILITY"", ""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0609,AI-enabled offensive cyber operations,,needs_taxonomy_decision,,FRONTIER_EXPERT_DISAGREEMENT,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.781965,FRONTIER_EXPERT_DISAGREEMENT,0.61841,0.048699,0.266525,2,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0618,Cheating / plagiarism,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.738387,FRONTIER_EXPERT_REJECTED,0.614831,0.039773,0.23983,2,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0640,Purposeful or malicious harm,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.34418,PHYSICAL_OUTSIDE_LOCK,0.570348,0.011409,0.008556,2,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0662,CBRN information or capabilities,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.933404,FRONTIER_EXPERT_REJECTED,0.669729,0.087423,0.295567,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0664,Chemical risks,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.731214,FRONTIER_EXPERT_REJECTED,0.592976,0.053371,0.250028,2,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0672,Bias and discrimination,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.730315,PHYSICAL_OUTSIDE_LOCK,0.638022,0.074749,0.056061,2,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0692,Adult content,,needs_taxonomy_decision,,FRONTIER_EXPERT_DISAGREEMENT,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.772051,FRONTIER_EXPERT_DISAGREEMENT,0.596387,0.07926,0.269445,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0698,Bias and discrimination (value lock and outcome homogenization),,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.217773,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.551396,0.002067,0.00155,1,False,"[""GOVERNANCE_AUDIT_REGULATION""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0699,Biased training data,,needs_taxonomy_decision,,RULE_SEMANTIC_DISAGREEMENT,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.184785,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.459397,0.003528,0.149432,0,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0703,Cultural insensitivity,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.189839,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.495146,0.010397,0.007798,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0706,Algorithmic discrimination,,needs_taxonomy_decision,,MULTI_MECHANISM,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.922406,MULTI_MECHANISM,0.66473,0.063569,0.098444,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0718,"Obscene, degrading, and/or abusive content",,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.957462,FRONTIER_EXPERT_REJECTED,0.683521,0.048429,0.266322,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0724,Sexual content,,needs_taxonomy_decision,,FRONTIER_EXPERT_DISAGREEMENT,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.979388,FRONTIER_EXPERT_DISAGREEMENT,0.690631,0.102308,0.286731,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0742,Jailbreak in LLM malicious use - backdoor attack,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.186463,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.521849,0.008193,0.006145,1,False,"[""GENERAL_AI_SECURITY""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0757,Privacy violations,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.524831,PHYSICAL_OUTSIDE_LOCK,0.594339,0.018488,0.216134,1,True,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0796,Factual hallucination,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.737681,FRONTIER_EXPERT_REJECTED,0.605726,0.036271,0.237203,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0797,Misinformation generation,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.688073,PHYSICAL_OUTSIDE_LOCK,0.633063,0.042167,0.078531,2,False,"[""DELIBERATE_DISINFORMATION"", ""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0813,Factual hallucination,,needs_taxonomy_decision,,FRONTIER_EXPERT_DISAGREEMENT,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.801396,FRONTIER_EXPERT_DISAGREEMENT,0.634369,0.036446,0.237335,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0821,Paradigm and distribution shifts,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.240018,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.523303,0.017349,0.013011,1,False,"[""ROBUSTNESS_ALIGNMENT_CONTROL""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0833,Mental health,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.916719,FRONTIER_EXPERT_REJECTED,0.662145,0.076967,0.267725,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0872,Erosion of interpersonal connection,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.799603,FRONTIER_EXPERT_REJECTED,0.624062,0.058862,0.254146,2,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0875,Forms emotional bonds,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.224029,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.540756,0.00443,0.003323,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0888,Privacy concerns,,needs_taxonomy_decision,,MULTI_MECHANISM,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.638894,MULTI_MECHANISM,0.626016,0.013635,0.040226,2,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0913,State weaponization,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.708848,FRONTIER_EXPERT_REJECTED,0.587402,0.039141,0.239356,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0916,Software vulnerabilities,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.216385,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.504607,0.011439,0.00858,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0917,Programming language,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.247888,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.514955,0.013028,0.009771,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0926,Overhead attacks,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.19586,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.557422,0.001733,0.0013,0,False,"[""ENVIRONMENT_ENERGY_RESOURCES""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0927,Novel attacks on LLMs,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.222501,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.536391,0.002868,0.002151,2,False,"[""GENERAL_AI_SECURITY""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0931,Broken systems,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.516052,PHYSICAL_OUTSIDE_LOCK,0.641835,0.020124,0.015093,1,False,"[""TRANSPARENCY_EXPLAINABILITY"", ""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0933,Privacy and regulation violations,,needs_taxonomy_decision,,LOW_ABSOLUTE_FIT,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.667441,LOW_ABSOLUTE_FIT,0.548837,0.050225,0.217669,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0938,Ethics and morality issues,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.088843,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.47079,0.001777,0.001332,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0951,Copyright - authorship,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.872299,FRONTIER_EXPERT_REJECTED,0.641954,0.119006,0.319254,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0968,Structural societal risk,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.245951,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.53387,0.00511,0.003832,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0971,Development of unsafe AGI,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.243672,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.54392,0.006736,0.005052,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0973,Inadequate management of AGI,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.155321,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.48899,0.000523,0.000392,2,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0986,AI jurisprudence,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.411312,PHYSICAL_OUTSIDE_LOCK,0.56884,0.018157,0.013618,3,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0987,Liability and negligence,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.255726,PHYSICAL_OUTSIDE_LOCK,0.542322,0.012597,0.009448,1,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0989,AI rights and responsibilities,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.821497,PHYSICAL_OUTSIDE_LOCK,0.664317,0.114405,0.085803,3,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0991,AI death,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.266465,PHYSICAL_OUTSIDE_LOCK,0.579785,0.005625,0.004219,0,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0995,Usurpation of jobs by automation,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.092304,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.458938,0.001086,0.000815,2,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0996,Environmental impacts,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.19763,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.508855,0.015421,0.011566,1,False,"[""ENVIRONMENT_ENERGY_RESOURCES""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-1008,Technology-facilitated violence,,needs_taxonomy_decision,,MULTI_MECHANISM,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.365775,MULTI_MECHANISM,0.562465,0.009143,0.01589,0,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-1016,Long-term and existential risk,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.244923,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.552163,0.003666,0.00275,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-1017,Performance and robustness,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.212191,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.565535,0.001457,0.001093,0,False,"[""ROBUSTNESS_ALIGNMENT_CONTROL""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-1022,Financial costs,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.250476,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.532375,0.00047,0.000352,2,False,[],False,True,False,False
