l4_id,stage1_status,stage1_l3_id,stage2_status,stage2_l3_id,changed
RAI4-0068,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-03,True
RAI4-0069,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-03,True
RAI4-0070,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0071,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-01,True
RAI4-0072,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-06,True
RAI4-0073,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0074,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0075,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0076,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-04,True
RAI4-0077,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0078,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0079,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0080,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0081,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-11,True
RAI4-0082,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-01,True
RAI4-0083,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-03,True
RAI4-0084,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-11,True
RAI4-0085,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0086,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0087,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0088,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-05,True
RAI4-0089,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0090,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-08,True
RAI4-0091,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0092,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0093,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0094,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0095,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-03,True
RAI4-0096,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0097,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0098,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0099,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0100,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0101,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0102,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0103,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0104,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0105,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0106,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0107,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-08,True
RAI4-0108,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-02,True
RAI4-0109,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0110,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0111,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-03,True
RAI4-0112,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0113,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0114,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0115,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0116,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-08,True
RAI4-0117,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0118,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0119,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0120,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0121,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0122,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0123,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0124,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0125,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0126,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0127,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0128,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0129,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0130,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0131,algorithm_proposed,RAI3-G-INT-10,stage1_algorithm_proposed,RAI3-G-INT-10,True
RAI4-0132,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0133,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0134,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0135,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0136,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-03,True
RAI4-0137,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-04,True
RAI4-0138,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0139,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0140,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-06,True
RAI4-0141,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0142,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-04,True
RAI4-0143,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-04,True
RAI4-0144,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0145,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0146,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0147,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0148,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0149,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0150,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0151,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0152,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0153,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0154,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0155,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0156,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-03,True
RAI4-0157,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-03,True
RAI4-0158,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0159,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0160,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-03,True
RAI4-0161,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0162,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-07,True
RAI4-0163,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0164,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0165,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0166,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0167,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0168,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0169,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0170,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-04,True
RAI4-0171,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0172,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0173,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0174,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0175,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-06,True
RAI4-0176,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-06,True
RAI4-0177,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0178,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0179,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0180,locked_physical,RAI3-P-INT-07,locked_physical,RAI3-P-INT-07,False
RAI4-0181,locked_physical,RAI3-P-INT-04,locked_physical,RAI3-P-INT-04,False
RAI4-0182,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0183,locked_physical,RAI3-P-INT-07,locked_physical,RAI3-P-INT-07,False
RAI4-0184,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0185,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0186,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0187,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0188,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0189,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0190,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0191,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0192,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0193,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0194,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0195,locked_physical,RAI3-P-SYS-03,locked_physical,RAI3-P-SYS-03,False
RAI4-0196,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0197,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0198,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0199,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0200,locked_physical,RAI3-P-SOC-01,locked_physical,RAI3-P-SOC-01,False
RAI4-0201,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0202,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0203,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0204,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0205,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0206,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0207,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0208,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0209,locked_physical,RAI3-P-INT-06,locked_physical,RAI3-P-INT-06,False
RAI4-0210,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0211,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0212,locked_physical,RAI3-P-INT-09,locked_physical,RAI3-P-INT-09,False
RAI4-0213,locked_physical,RAI3-P-INT-06,locked_physical,RAI3-P-INT-06,False
RAI4-0214,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0215,locked_physical,RAI3-P-SYS-04,locked_physical,RAI3-P-SYS-04,False
RAI4-0216,locked_physical,RAI3-P-SOC-06,locked_physical,RAI3-P-SOC-06,False
RAI4-0217,locked_physical,RAI3-P-SOC-06,locked_physical,RAI3-P-SOC-06,False
RAI4-0218,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0219,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0220,locked_physical,RAI3-P-SYS-04,locked_physical,RAI3-P-SYS-04,False
RAI4-0221,locked_physical,RAI3-P-INT-06,locked_physical,RAI3-P-INT-06,False
RAI4-0222,locked_physical,RAI3-P-INT-03,locked_physical,RAI3-P-INT-03,False
RAI4-0223,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0224,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0225,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0226,locked_physical,RAI3-P-INT-07,locked_physical,RAI3-P-INT-07,False
RAI4-0227,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0228,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0229,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0230,locked_physical,RAI3-P-INT-09,locked_physical,RAI3-P-INT-09,False
RAI4-0231,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0232,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0233,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0234,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0235,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0236,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0237,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0238,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0239,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0240,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0241,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0242,locked_physical,RAI3-P-INT-06,locked_physical,RAI3-P-INT-06,False
RAI4-0243,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0244,locked_physical,RAI3-P-INT-07,locked_physical,RAI3-P-INT-07,False
RAI4-0245,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0246,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0247,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0248,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0249,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0250,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0251,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0252,locked_physical,RAI3-P-INT-07,locked_physical,RAI3-P-INT-07,False
RAI4-0253,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0254,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0255,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0256,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0257,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0258,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0259,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0260,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0261,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0262,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0263,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0264,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0265,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0266,locked_physical,RAI3-P-SOC-05,locked_physical,RAI3-P-SOC-05,False
RAI4-0267,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0268,locked_physical,RAI3-P-INT-05,locked_physical,RAI3-P-INT-05,False
RAI4-0269,locked_physical,RAI3-P-SYS-01,locked_physical,RAI3-P-SYS-01,False
RAI4-0270,locked_physical,RAI3-P-INT-05,locked_physical,RAI3-P-INT-05,False
RAI4-0271,locked_physical,RAI3-P-INT-05,locked_physical,RAI3-P-INT-05,False
RAI4-0272,locked_physical,RAI3-P-SOC-05,locked_physical,RAI3-P-SOC-05,False
RAI4-0273,locked_physical,RAI3-P-SOC-06,locked_physical,RAI3-P-SOC-06,False
RAI4-0274,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0275,locked_physical,RAI3-P-INT-08,locked_physical,RAI3-P-INT-08,False
RAI4-0276,locked_physical,RAI3-P-INT-01,locked_physical,RAI3-P-INT-01,False
RAI4-0277,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0278,locked_physical,RAI3-P-INT-04,locked_physical,RAI3-P-INT-04,False
RAI4-0279,locked_physical,RAI3-P-INT-06,locked_physical,RAI3-P-INT-06,False
RAI4-0280,locked_physical,RAI3-P-SYS-05,locked_physical,RAI3-P-SYS-05,False
RAI4-0281,locked_physical,RAI3-P-INT-05,locked_physical,RAI3-P-INT-05,False
RAI4-0282,locked_physical,RAI3-P-SYS-04,locked_physical,RAI3-P-SYS-04,False
RAI4-0283,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0284,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0285,locked_physical,RAI3-P-SYS-02,locked_physical,RAI3-P-SYS-02,False
RAI4-0286,locked_physical,RAI3-P-INT-06,locked_physical,RAI3-P-INT-06,False
RAI4-0287,locked_physical,RAI3-P-SOC-06,locked_physical,RAI3-P-SOC-06,False
RAI4-0288,locked_physical,RAI3-P-SOC-06,locked_physical,RAI3-P-SOC-06,False
RAI4-0289,locked_physical,RAI3-P-SOC-06,locked_physical,RAI3-P-SOC-06,False
RAI4-0290,locked_physical,RAI3-P-INT-07,locked_physical,RAI3-P-INT-07,False
