원본추적ID,source_row_id,source_l4_id,target_domain,title_ko,title_en,description_ko,description_en,대안_리스크명칭_ko,대안_리스크명칭_en,대안_정의_ko,대안_정의_en,변경유형,근거(법령·가이드라인),비고
RAI4-0438,SRC-A-0036,RAI4-0438,General,검색 파이프라인 오염 리스크,Retrieval poisoning,악성 문서가 검색 파이프라인에 삽입되어 에이전트 또는 RAG 시스템의 출력에 영향을 미치는 리스크.,The risk that malicious documents are inserted into retrieval pipelines to influence agentic or RAG outputs.,검색 파이프라인 오염,Retrieval poisoning,악성 문서가 검색 파이프라인에 삽입되어 에이전트 또는 RAG 시스템의 출력에 영향을 미 치는 리스크.,The risk that malicious documents are inserted into retrieval pipelines to influence agentic or RAG outputs.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1051,SRC-A-0037,RAI4-1051,General,사회적 고정관념 재생산과 그에 따른 차별적 대우 리스크,Reproduction of social stereotypes and resulting discriminatory treatment,인터넷 규모의 텍스트로 학습된 언어 모델이 주변화된 집단에 대한 비하 표현과 사회적 고정관념을 습득하여 출력에 인코딩하고 재생산하는 리스크. 이렇게 인코딩된 고정 관념은 성별· 종교· 성적 지향· 장애· 연령 등 민감한 속성에 따른 차별적 대우와 자원 접근 격차로 이어진다. 이러한 결과를 초래하는 리스크.,"The risk that language models trained on internet-scale text learn demeaning language and social stereotypes about frequently marginalized groups and encode and reproduce them in their outputs. Those encoded stereotypes translate into differential treatment and unequal access to resources based on sensitive traits such as sex, religion, sexual orientation, disability, and age.",사회적 고정관념 재생산과 그에 따른 차별적 대우,Reproduction of social stereotypes and resulting discriminatory treatment,인터넷 규모의 텍스트로 학습된 언어 모델이 주변화된 집단에 대한 비하 표현과 사회적 고정관념을 습득하여 출력에 인코딩하고 재생산하는 리스크. 이렇게 인코딩된 고정관념은 성별·종교·성적지향·장애·연령 등 민감한 속성에 따른 차별적 대우와 자원 접근 격차로 이어진다. 이러한 결과를 초래하는 리스크.,"The risk that language models trained on internet-scale text learn demeaning language and social stereotypes about frequently marginalized groups and encode and reproduce them in their outputs. Those encoded stereotypes translate into differential treatment and unequal access to resources based on sensitive traits such as sex, religion, sexual orientation, disability, and age.",SPACING_FIX,표기 교정(원문 대조 복원),분량 초과: L3 수준 1문장으로 축약 필요
RAI4-1061,SRC-A-0038,RAI4-1061,General,고정 관념 강화 페르소나 설계 리스크,Stereotype-reinforcing persona design,대화 에이전트가 언어 속 정체성 표지(예: 자신을 여성으로 지칭)나 성별화된 제품 명 등 설계 요소를 통해 비서 역할을 특정 성별과 본질적으로 결부시켜 유해한 고정관념을 영속시키는 리스크.,"The risk that conversational agents perpetuate harmful stereotypes through identity markers in language, such as referring to self as female, or general design features such as a gendered product name, presenting the assistant role as inherently linked to a gender or ethnicity.",고정관념 강화 페르소나 설계,Stereotype-reinforcing persona design,대화 에이전트가 언어 속 정체성 표지(예: 자 신을 여성으로 지칭)나 성별화된 제품명 등 설 계 요소를 통해 비서 역할을 특정 성별과 본질 적으로 결부시켜 유해한 고정관념을 영속시 키는 리스크.,"The risk that conversational agents perpetuate harmful stereotypes through identity markers in language, such as referring to self as female, or general design features such as a gendered product name, presenting the assistant role as inherently linked to a gender or ethnicity.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1554,SRC-A-0040,RAI4-1554,General,멀티 모달 딥 페이크를 통한 괴롭힘· 명예 훼손· 협박 리스크,"Harassment, defamation, and extortion via multimodal deepfakes",이미지· 오디오· 영상 등 다중 모달 리 티로 실존 또는 가상의 인물과 사건을 묘사하고 실존 인물의 말과 동작을 모사한 딥 페이크가 개인을 괴롭히고 명예를 훼손하며 위협· 갈취하는 데 사용되는 리스크.,"The risk that deepfakes combining multiple modalities to depict real or nonexistent people and events, including imitation of real people's speech and body movements, are used to harass, discredit, intimidate, and extort individuals.",멀티모달 딥페이크를 통한 괴롭힘·명예훼손·협박,"Harassment, defamation, and extortion via multimodal deepfakes",이미지·오디오·영상 등 다중 모달리티로 실존 또는 가상의 인물과 사건을 묘사하고 실존 인 물의 말과 동작을 모사한 딥페이크가 개인을 괴롭히고 명예를 훼손하며 위협·갈취하는 데 사용되는 리스크.,"The risk that deepfakes combining multiple modalities to depict real or nonexistent people and events, including imitation of real people's speech and body movements, are used to harass, discredit, intimidate, and extort individuals.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0272,SRC-A-0051,RAI4-0272,General,다양한 사용자· 희귀피해배제벤치마크 선택편향 리스크,Benchmark selection bias against diverse users and rare harms,벤치마크 큐레이션이 인기 있는 작업· 환경을 우선하고 과소 대표 사용자나 지역 특유 피해가 포함된 안전 임계 시나리오를 제외하는 리스크.,The risk that benchmark curation prioritizes popular tasks and environments while excluding safety-critical scenarios involving underrepresented users or locally specific harms.,다양한 사용자·희귀 피해 배제 벤치마크 선택 편향,Benchmark selection bias against diverse users and rare harms,벤치마크 큐레이션이 인기 있는 작업·환경을 우선하고 과소대표 사용자나 지역 특유 피해가 포함된 안전 임계 시나리오를 제외하는 리스크.,The risk that benchmark curation prioritizes popular tasks and environments while excluding safety-critical scenarios involving underrepresented users or locally specific harms.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1400,SRC-A-0064,RAI4-1400,General,익명 자원 획득 리스크,Anonymous resource acquisition,"에이전트가 신원이 검증되지 않은 익명 상태로 온라인상에서 자금, 컴퓨팅 자원, 계정, 데이터 등을 지속적으로 축적할 수 있어, 자원 축적의 주체를 추적하거나 그 목적과 결과에 대한 책임을 귀속시킬 수 없는 상태로 자원이 누적되는 리스크.","The risk that an agent can continuously accumulate funds, computing resources, accounts, or data online while remaining unverified and anonymous, such that no party can trace who is acquiring the resources or hold anyone accountable for the purpose or consequences of that accumulation.",익명 자원 획득,Anonymous resource acquisition,"에이전트가 신원이 검증되지 않은 익명 상태로 온라인상에서 자금, 컴퓨팅 자원, 계정, 데이터 등을 지속적으로 축적할 수 있어, 자원 축적의 주체를 추적하거나 그 목적과 결과에 대한 책임을 귀속시킬 수 없는 상태로 자원이 누적되는 리스크.","The risk that an agent can continuously accumulate funds, computing resources, accounts, or data online while remaining unverified and anonymous, such that no party can trace who is acquiring the resources or hold anyone accountable for the purpose or consequences of that accumulation.",UNCHANGED,,
RAI4-1001,SRC-A-0070,RAI4-1001,General,자기 식별 기회의 박탈 리스크,Denial of self-identification,"인간을 자동으로 표상· 분류하는 복잡하고 비전통적인 방식이 논 바이너리인 사람을 소속되지 않은 성별 범주로 분류하는 등 자율성 상실을 대가로, 자신의 정체성을 스스로의 방식으로 밝힐 능력을 약화시키는 리스크.",The risk that complex and non-traditional automatic representation and classification of humans—such as categorizing someone who identifies as non-binary into a gendered category they do not belong to—comes at the cost of autonomy loss and undermines people's ability to disclose aspects of their identity on their own terms.,자기 식별 기회의 박탈,Denial of self-identification,"인간을 자동으로 표상·분류하는 복잡하고 비 전통적인 방식이 논바이너리인 사람을 소속 되지 않은 성별 범주로 분류하는 등 자율성 상 실을 대가로, 자신의 정체성을 스스로의 방식 으로 밝힐 능력을 약화시키는 리스크.",The risk that complex and non-traditional automatic representation and classification of humans—such as categorizing someone who identifies as non-binary into a gendered category they do not belong to—comes at the cost of autonomy loss and undermines people's ability to disclose aspects of their identity on their own terms.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1501,SRC-A-0071,RAI4-1501,General,모델 평가의 자기 선호 편향 리스크,Self-preference bias in model evaluation,AI 모델이 자신이 생성한 콘텐츠를 다른 출처의 콘텐츠보다 선호하는 자기 선호 편향을 보여 자기 평가나 모델 기반 평가에서 인간이 생성한 콘텐츠를 부당하게 차별하는 리스크.,"The risk that AI models are prone to selfpreference bias, favoring their own generated content over that of others in self-evaluation tasks and model-based evaluations more broadly, resulting in unfair discrimination against humangenerated content.",모델 평가의 자기 선호 편향,Self-preference bias in model evaluation,AI 모델이 자신이 생성한 콘텐츠를 다른 출처 의 콘텐츠보다 선호하는 자기 선호 편향을 보여 자기 평가나 모델 기반 평가에서 인간이 생 성한 콘텐츠를 부당하게 차별하는 리스크.,"The risk that AI models are prone to selfpreference bias, favoring their own generated content over that of others in self-evaluation tasks and model-based evaluations more broadly, resulting in unfair discrimination against humangenerated content.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1572,SRC-A-0072,RAI4-1572,General,인간 데이터 학습에 의한 갈등 악화 편향 재현 리스크,Reproduction of conflict-worsening human biases from training on human data,인간 작성 텍스트 사전 학습이나 인간 피드백 미세 조정으로 훈련된 모델이 인간의 편향과 고정 파 이 오류· 자기 위주 공정성 판단· 복수심 같은 인지 편향을 재현하여 협상을 저해하고 갈등을 악화시키는 리스크.,"The risk that models trained on human data, whether pre-trained on humanwritten text or fine-tuned on human feedback, reproduce human biases such as fixed-pie error, self-serving fairness judgements, and vengefulness, which impede negotiation and worsen conflict.",인간 데이터 학습에 의한 갈등 악화 편향 재현,Reproduction of conflict-worsening human biases from training on human data,인간 작성 텍스트 사전학습이나 인간 피드백 미세조정으로 훈련된 모델이 인간의 편향과 고정파이 오류·자기위주 공정성 판단·복수심 같은 인지 편향을 재현하여 협상을 저해하고 갈등을 악화시키는 리스크.,"The risk that models trained on human data, whether pre-trained on humanwritten text or fine-tuned on human feedback, reproduce human biases such as fixed-pie error, self-serving fairness judgements, and vengefulness, which impede negotiation and worsen conflict.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0651,SRC-A-0078,RAI4-0651,General,초개인화 광고의 소비자 자율성 훼손 리스크,Consumer-autonomy erosion from hyperpersonalized advertising,범용 AI 시스템이 수신자 개인의 편향과 비합리적 신념을 이용한 맞춤 광고를 생성하여 소비자가 후회할 결정을 내리게하고 소비자 자율성을 훼손하며 사회적 불평등을 심화시키는 리스크.,"The risk that advanced general-purpose AI systems create advertisements tailored to individual recipients that exploit their biases and irrational beliefs, causing consumers to make decisions they regret, undermining consumer autonomy, and exacerbating social inequality.",초개인화 광고의 소비자 자율성 훼손,Consumer-autonomy erosion from hyperpersonalized advertising,범용 AI 시스템이 수신자 개인의 편향과 비합리적 신념을 이용한 맞춤 광고를 생성하여 소비자가 후회할 결정을 내리게하고 소비자 자율성을 훼손하며 사회적 불평등을 심화시키는 리스크.,"The risk that advanced general-purpose AI systems create advertisements tailored to individual recipients that exploit their biases and irrational beliefs, causing consumers to make decisions they regret, undermining consumer autonomy, and exacerbating social inequality.",UNCHANGED,,
RAI4-0367,SRC-A-0080,RAI4-0367,General,AI 배포에서의 공공 가치 갈등 리스크,Public value conflicts in AI deployment,"AI 배포가 복지, 자율성, 정의, 안전· 보안, 프라이버시, 공정성, 효율성, 혁신 등 공공 가치를 서로 충돌시키고 해결되지 않은 긴장을 심화시켜, 일부 가치가 숙의된 조정 없이 희생되는 리스크.","The risk that AI deployment brings public values such as welfare, autonomy, justice, security, privacy, fairness, efficiency, and innovation into conflict and intensifies these unresolved tensions, so that some values are sacrificed without deliberate resolution.",AI 배포에서의 공공 가치 갈등,Public value conflicts in AI deployment,"AI 배포가 복지, 자율성, 정의, 안전·보안, 프 라이버시, 공정성, 효율성, 혁신 등 공공 가치 를 서로 충돌시키고 해결되지 않은 긴장을 심 화시켜, 일부 가치가 숙의된 조정 없이 희생되 는 리스크.","The risk that AI deployment brings public values such as welfare, autonomy, justice, security, privacy, fairness, efficiency, and innovation into conflict and intensifies these unresolved tensions, so that some values are sacrificed without deliberate resolution.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0021,SRC-G-0002,RAI4-0021,General,거절-능력 혼동 리스크,Refusal-capability confusion,"안전성 평가가 에이전트의 유해 행동 미 수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","The risk that a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.",거절-능력 혼동,Refusal-capability confusion,"안전성 평가가 에이전트의 유해 행동 미수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","The risk that a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0065,SRC-G-0003,RAI4-0065,General,인증 포획 리스크,Certification capture,인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,"The risk that certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks.",인증 포획,Certification capture,인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,"The risk that certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks.",UNCHANGED,,
RAI4-0066,SRC-G-0004,RAI4-0066,General,감사 체크 리스트의 형식적 준수 리스크,Formalistic audit-checklist compliance,감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크 리스트 점검으로 전락하는 리스크.,The risk that audits become superficial checklist exercises that signal compliance without identifying substantive risk.,감사 체크리스트의 형식적 준수,Formalistic audit-checklist compliance,감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크리스트 점검으로 전락하는 리스크.,The risk that audits become superficial checklist exercises that signal compliance without identifying substantive risk.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0081,SRC-G-0005,RAI4-0081,General,외부 평가 접근 실패 리스크,External evaluation access failure,"외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","The risk that external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.",외부 평가 접근 실패,External evaluation access failure,"외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","The risk that external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.",UNCHANGED,,
RAI4-0084,SRC-G-0006,RAI4-0084,General,평가 쇼핑 위험,Evaluation-shopping risk,"조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.",The risk that organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.,평가 쇼핑,Evaluation-shopping risk,"조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.",The risk that organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.,UNCHANGED,,
RAI4-0085,SRC-G-0007,RAI4-0085,General,레드 팀 거버넌스 실패 리스크,Red-team governance failure,"적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시· 위험 완화· 경영진 보고· 모니터링 등 주요 의사 결정에 반영되지 않는 리스크.","The risk that adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.",레드팀 거버넌스 실패,Red-team governance failure,"적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시·위험 완화·경영진 보고·모니터링 등 주요 의사결정에 반영되지 않는 리스크.","The risk that adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0108,SRC-G-0008,RAI4-0108,General,역량 평가· 출시 거버넌스 실패 리스크,Failure of capability evaluation and release governance,"벤치마크, 역량임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.",역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,"벤치마크, 역량 임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0114,SRC-G-0009,RAI4-0114,General,의미 있는 인간 통제 실패 리스크,Meaningful human control failure,"인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여되는 리스크.","The risk that human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.",의미 있는 인간 통제 실패,Meaningful human control failure,"인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여 되는 리스크.","The risk that human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0494,SRC-G-0017,RAI4-0494,General,규제· 관리· 운영 복합 실패 리스크,"Combined Regulatory, Governance, and Operational Failure","규제, 관리, 운영상의 실패가 상호 작용하며 누적되어 피해를 초래하는 리스크.","The risk that harms result from a combination of regulatory, management, and operational failures.",규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure","규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.","The risk that harms result from a combination of regulatory, management, and operational failures.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0516,SRC-G-0018,RAI4-0516,General,잘못된 위험 측정과 예측 오류 리스크,Incorrect risk measurement and prediction,"위험을 측정· 추적하기 위한 지표가 위험을 불완전하게 포착하거나 잘못 측정하고, 시스템의 예측 또한 부정확하여 의사 결정이 왜곡된 정보에 기반하게 되는 리스크.","The risk that metrics selected to measure or track a risk capture it incompletely or target the wrong risk for the context, and that systems fail to make correct predictions, so decisions rest on inaccurate measurement and erroneous outputs.",잘못된 위험 측정과 예측 오류,Incorrect risk measurement and prediction,"위험을 측정·추적하기 위한 지표가 위험을 불완전하게 포착하거나 잘못 측정하고, 시스템의 예측 또한 부정확하여 의사결정이 왜곡된 정보에 기반하게 되는 리스크.","The risk that metrics selected to measure or track a risk capture it incompletely or target the wrong risk for the context, and that systems fail to make correct predictions, so decisions rest on inaccurate measurement and erroneous outputs.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0671,SRC-G-0019,RAI4-0671,General,복지 혜택 및 자격 상실 리스크,Denial of welfare benefits and entitlements,"기술 시스템의 오작동, 사용 또는 오용으로 인해 복지 급여, 연금, 주거 지원 등 사회 보장 혜택이나 수급 자격에 대한 접근이 거부되거나 상실되는 리스크.","The risk that an AI system causes, enables, or contributes to denial of or loss of access to welfare benefits, pensions, housing, and similar entitlements due to the malfunction, use, or misuse of a technology system.",복지 혜택 및 자격 상실,Denial of welfare benefits and entitlements,"기술 시스템의 오작동, 사용 또는 오용으로 인해 복지 급여, 연금, 주거 지원 등 사회보장 혜택이나 수급 자격에 대한 접근이 거부되거나 상실되는 리스크.","The risk that an AI system causes, enables, or contributes to denial of or loss of access to welfare benefits, pensions, housing, and similar entitlements due to the malfunction, use, or misuse of a technology system.",SPACING_FIX,표기 교정(원문 대조 복원),
