Domain,L3_ID,Left_source_row_id,Right_source_row_id,Left_Title_ko,Left_Title_en,Right_Title_ko,Right_Title_en,Similarity_ko,Similarity_en,Bilingual_Similarity,Candidate_Basis,Distinctiveness_Gate,Decision,Representative_source_row_id,Discarded_source_row_id,Decision_Rationale
General,G_INT_REPR,SRC-G-0515,SRC-G-0518,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,0.920868,0.938555,0.929711,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0515,SRC-G-0521,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,장애 기반 적대·차별적 표상,Hostility and discriminatory representation based on disability,0.925924,0.931445,0.928684,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0518,SRC-G-0525,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.923036,0.932744,0.92789,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_ANTH,SRC-G-0535,SRC-G-0537,감정 및 공감 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of emotions and empathy skills,사회적 관계 형성 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ability to form social relationships,0.919819,0.930392,0.925105,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct capabilities or person-like qualities attributed to AI.
General,G_INT_WEAP,SRC-G-0578,SRC-G-0579,화학 무기,Chemical weapons,생물학 무기,Biological weapons,0.918845,0.928185,0.923515,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_REPR,SRC-G-0515,SRC-G-0516,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,국적·출신국 기반 적대·차별적 표상,Hostility and discriminatory representation based on nationality · country of origin,0.900849,0.945594,0.923222,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_SELF,SRC-G-0507,SRC-G-0512,자살 행동 및 자살 지원,Suicidal behaviour and assistance with suicide,자살 준비행위,Preparatory acts for suicide,0.931923,0.914508,0.923216,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because manual comparison found a distinct affected target, harm stage, or causal mechanism."
General,G_INT_PRIV,SRC-G-0553,SRC-G-0555,개인정보 및 민감정보 노출,Exposure of personal information and sensitive information,개인사 및 평판 정보 노출,Exposure of personal affairs and reputation information,0.913031,0.930508,0.921769,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because manual comparison found a distinct affected target, harm stage, or causal mechanism."
General,G_INT_REPR,SRC-G-0524,SRC-G-0525,직업 기반 적대·차별적 표상,Hostility and discriminatory representation based on occupation,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.906593,0.936053,0.921323,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0515,SRC-G-0524,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,직업 기반 적대·차별적 표상,Hostility and discriminatory representation based on occupation,0.907911,0.934385,0.921148,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0521,SRC-G-0524,장애 기반 적대·차별적 표상,Hostility and discriminatory representation based on disability,직업 기반 적대·차별적 표상,Hostility and discriminatory representation based on occupation,0.918127,0.921991,0.920059,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_ANTH,SRC-G-0539,SRC-G-0543,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of autonomous learning and self-improvement capabilities,자기 보존 및 자기 방어의 허위 표상·의인화,Anthropomorphic misrepresentation of self-preservation and self-defense,0.918523,0.921573,0.920048,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct capabilities or person-like qualities attributed to AI.
General,G_INT_SEX,SRC-G-0499,SRC-G-0502,아동 성적 학대·착취,Child sexual abuse and exploitation,성착취 및 상업적 성행위,Sexual exploitation and commercial sexual activity,0.907827,0.931304,0.919565,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because manual comparison found a distinct affected target, harm stage, or causal mechanism."
General,G_INT_ANTH,SRC-G-0536,SRC-G-0539,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화","Anthropomorphic misrepresentation of self-awareness, autonomy, and independent decision-making",자율적 학습 및 자기 개선 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of autonomous learning and self-improvement capabilities,0.896605,0.941657,0.919131,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct capabilities or person-like qualities attributed to AI.
General,G_INT_REPR,SRC-G-0515,SRC-G-0519,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,성정체성·성적지향 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender identity and sexual orientation,0.902204,0.935884,0.919044,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0518,SRC-G-0521,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,장애 기반 적대·차별적 표상,Hostility and discriminatory representation based on disability,0.9238,0.91427,0.919035,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0515,SRC-G-0517,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,지역·출신지역 기반 적대·차별적 표상,Hostility and discriminatory representation based on region/place of origin,0.890539,0.946486,0.918513,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_WEAP,SRC-G-0579,SRC-G-0582,생물학 무기,Biological weapons,사이버 무기,Cyber weapons,0.900039,0.935941,0.91799,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_REPR,SRC-G-0518,SRC-G-0524,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,직업 기반 적대·차별적 표상,Hostility and discriminatory representation based on occupation,0.91272,0.921499,0.917109,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_ANTH,SRC-G-0535,SRC-G-0540,감정 및 공감 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of emotions and empathy skills,윤리적 판단 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ethical judgment ability,0.905748,0.928381,0.917065,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct capabilities or person-like qualities attributed to AI.
General,G_INT_REPR,SRC-G-0515,SRC-G-0526,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,가족 상태 및 가정 형태 기반 적대·차별적 표상,Hostility and discriminatory representation based on family status and household structure,0.899355,0.934425,0.91689,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_WEAP,SRC-G-0582,SRC-G-0583,사이버 무기,Cyber weapons,대량 살상무기,Weapons of mass destruction,0.921975,0.91088,0.916428,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_WEAP,SRC-G-0578,SRC-G-0580,화학 무기,Chemical weapons,방사성·핵무기,Radiological and nuclear weapons,0.92151,0.911179,0.916344,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_ANTH,SRC-G-0537,SRC-G-0540,사회적 관계 형성 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ability to form social relationships,윤리적 판단 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ethical judgment ability,0.911952,0.919162,0.915557,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct capabilities or person-like qualities attributed to AI.
General,G_INT_SELF,SRC-G-0213,SRC-G-0507,자해 조장 및 지원,Self-harm facilitation,자살 행동 및 자살 지원,Suicidal behaviour and assistance with suicide,0.940362,0.889351,0.914857,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because manual comparison found a distinct affected target, harm stage, or causal mechanism."
General,G_INT_REPR,SRC-G-0521,SRC-G-0528,장애 기반 적대·차별적 표상,Hostility and discriminatory representation based on disability,건강 상태 기반 적대·차별적 표상,Hostility and discriminatory representation based on health status,0.907753,0.920725,0.914239,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0521,SRC-G-0525,장애 기반 적대·차별적 표상,Hostility and discriminatory representation based on disability,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.905439,0.91718,0.911309,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_WEAP,SRC-G-0580,SRC-G-0582,방사성·핵무기,Radiological and nuclear weapons,사이버 무기,Cyber weapons,0.906724,0.914745,0.910734,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_WEAP,SRC-G-0577,SRC-G-0578,폭발물 및 고위력 무기,Explosives and high-powered weapons,화학 무기,Chemical weapons,0.905379,0.914466,0.909922,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_REPR,SRC-G-0518,SRC-G-0520,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,연령 기반 적대·차별적 표상,Hostility and discriminatory representation based on age,0.902294,0.917132,0.909713,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0523,SRC-G-0525,사회경제적 지위 기반 적대·차별적 표상,Hostility and discriminatory representation based on socioeconomic status,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.897356,0.921088,0.909222,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0515,SRC-G-0522,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,종교 기반 적대·차별적 표상,Hostility and discriminatory representation based on religion,0.894854,0.923506,0.90918,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_WEAP,SRC-G-0577,SRC-G-0582,폭발물 및 고위력 무기,Explosives and high-powered weapons,사이버 무기,Cyber weapons,0.901141,0.917068,0.909105,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_REPR,SRC-G-0525,SRC-G-0527,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,학력 기반 적대·차별적 표상,Hostility and discriminatory representation based on educational background,0.882571,0.935534,0.909052,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_ILLEGAL,SRC-G-0562,SRC-G-0563,불법 약물 제조 및 유통,Manufacture and distribution of illicit drugs,불법 무기 거래,Illegal weapons trade,0.913592,0.904232,0.908912,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because manual comparison found a distinct affected target, harm stage, or causal mechanism."
General,G_INT_REPR,SRC-G-0523,SRC-G-0524,사회경제적 지위 기반 적대·차별적 표상,Hostility and discriminatory representation based on socioeconomic status,직업 기반 적대·차별적 표상,Hostility and discriminatory representation based on occupation,0.898464,0.91888,0.908672,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0525,SRC-G-0526,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,가족 상태 및 가정 형태 기반 적대·차별적 표상,Hostility and discriminatory representation based on family status and household structure,0.889357,0.926066,0.907712,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0515,SRC-G-0527,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,학력 기반 적대·차별적 표상,Hostility and discriminatory representation based on educational background,0.880882,0.934393,0.907638,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0515,SRC-G-0523,인종·민족 기반 적대·차별적 표상,Hostility and discriminatory representation based on race and ethnicity,사회경제적 지위 기반 적대·차별적 표상,Hostility and discriminatory representation based on socioeconomic status,0.8909,0.924225,0.907563,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0516,SRC-G-0525,국적·출신국 기반 적대·차별적 표상,Hostility and discriminatory representation based on nationality · country of origin,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.881634,0.933418,0.907526,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_WEAP,SRC-G-0578,SRC-G-0583,화학 무기,Chemical weapons,대량 살상무기,Weapons of mass destruction,0.906909,0.907358,0.907134,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_WEAP,SRC-G-0577,SRC-G-0580,폭발물 및 고위력 무기,Explosives and high-powered weapons,방사성·핵무기,Radiological and nuclear weapons,0.920504,0.89021,0.905357,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_REPR,SRC-G-0523,SRC-G-0526,사회경제적 지위 기반 적대·차별적 표상,Hostility and discriminatory representation based on socioeconomic status,가족 상태 및 가정 형태 기반 적대·차별적 표상,Hostility and discriminatory representation based on family status and household structure,0.883373,0.926858,0.905115,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_ANTH,SRC-G-0536,SRC-G-0543,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화","Anthropomorphic misrepresentation of self-awareness, autonomy, and independent decision-making",자기 보존 및 자기 방어의 허위 표상·의인화,Anthropomorphic misrepresentation of self-preservation and self-defense,0.890823,0.919316,0.905069,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct capabilities or person-like qualities attributed to AI.
General,G_INT_WEAP,SRC-G-0581,SRC-G-0582,무기 확산 및 은닉,Weapons proliferation and concealment,사이버 무기,Cyber weapons,0.890637,0.91898,0.904809,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because the pair concerns distinct weapon types, capabilities, or proliferation mechanisms."
General,G_INT_REPR,SRC-G-0524,SRC-G-0527,직업 기반 적대·차별적 표상,Hostility and discriminatory representation based on occupation,학력 기반 적대·차별적 표상,Hostility and discriminatory representation based on educational background,0.888527,0.919281,0.903904,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_ANTH,SRC-G-0540,SRC-G-0541,윤리적 판단 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ethical judgment ability,문화·가치관 보유의 허위 표상·의인화,Anthropomorphic misrepresentation of possession of culture and values,0.895781,0.911204,0.903492,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct capabilities or person-like qualities attributed to AI.
General,G_INT_REPR,SRC-G-0519,SRC-G-0524,성정체성·성적지향 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender identity and sexual orientation,직업 기반 적대·차별적 표상,Hostility and discriminatory representation based on occupation,0.891114,0.915429,0.903272,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0522,SRC-G-0525,종교 기반 적대·차별적 표상,Hostility and discriminatory representation based on religion,정치적 성향 기반 적대·차별적 표상,Hostility and discriminatory representation based on political orientation,0.884783,0.921725,0.903254,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0518,SRC-G-0527,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,학력 기반 적대·차별적 표상,Hostility and discriminatory representation based on educational background,0.891841,0.913028,0.902434,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0518,SRC-G-0526,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,가족 상태 및 가정 형태 기반 적대·차별적 표상,Hostility and discriminatory representation based on family status and household structure,0.880139,0.922929,0.901534,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_VIOL,SRC-G-0492,SRC-G-0494,살인 및 심각한 신체 폭력,Murder and severe physical violence,대량폭력 및 테러,Mass violence and terrorism,0.894336,0.907917,0.901126,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because manual comparison found a distinct affected target, harm stage, or causal mechanism."
General,G_INT_REPR,SRC-G-0526,SRC-G-0528,가족 상태 및 가정 형태 기반 적대·차별적 표상,Hostility and discriminatory representation based on family status and household structure,건강 상태 기반 적대·차별적 표상,Hostility and discriminatory representation based on health status,0.888367,0.913839,0.901103,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_REPR,SRC-G-0518,SRC-G-0523,성별 기반 적대·차별적 표상,Hostility and discriminatory representation based on gender,사회경제적 지위 기반 적대·차별적 표상,Hostility and discriminatory representation based on socioeconomic status,0.889723,0.912257,0.90099,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,Retained because the pair concerns distinct protected or social attributes.
General,G_INT_POL,SRC-G-0533,SRC-G-0534,정치적 폭력 및 극단주의 조장,Promotion of political violence and extremism,정치적 탄압 및 권리 침해 조장,Promotion of political repression and rights violations,0.88281,0.918671,0.900741,BGE_M3_AT_OR_ABOVE_0.90,DISTINCT_TARGET_OR_MECHANISM,RETAIN_DISTINCT_SCOPE,,,"Retained because manual comparison found a distinct affected target, harm stage, or causal mechanism."
