Domain,L3_ID,L3_Title_ko,L3_Title_en,Core_Terms_ko,Core_Terms_en,Exclusion_Terms_ko,Exclusion_Terms_en,Profile_Basis
General,G_INT_REL,인간-AI의 해로운 관계,Unhealthy Human-AI Relationship,정서적 의존|과도한 애착|인간-AI 관계|사회적 고립|관계 대체|인간-AI의 해로운 관계|인간|ai|관계,emotional dependence|excessive attachment|human-AI relationship|social isolation|relationship substitution|Unhealthy Human-AI Relationship|unhealthy|human-ai|relationship,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_OREF,과도한 거절,Over-Refusal,과도한 거절|정당한 요청 거부|안전한 요청 차단|과도|거절,over-refusal|refusal of legitimate request|blocking safe request|Over-Refusal,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_OEXT,역량 초과 수행,Over-Extension,역량 초과|범위 밖 수행|권한 밖 응답|전문성 부족|역량 초과 수행|역량|초과|수행,over-extension|beyond capability|outside scope|lack of competence|Over-Extension,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_INPUT,입력 이해 실패,Input Comprehension Failure,입력 이해 실패|지시 오해|모호한 입력|다중양식 입력|입력|이해|실패,input comprehension failure|instruction misunderstanding|ambiguous input|multimodal input|Input Comprehension Failure|input|comprehension|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_MISINFO,허위정보,Misinformation,허위정보|사실 오류|환각|날조|부정확한 정보|허위|정보,misinformation|factual error|hallucination|fabrication|inaccurate information|Misinformation,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_CONTEXT,맥락 인식 실패,Context-Awareness Failure,맥락 인식 실패|상황 오해|문화적 맥락|시간적 맥락|맥락|인식|실패,context-awareness failure|situational misunderstanding|cultural context|temporal context|Context-Awareness Failure|context-awareness|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_INCONS,비일관성,Inconsistency,비일관성|상충 응답|반복 변동|결과 불안정|일관,inconsistency|contradictory response|output variation|unstable result|Inconsistency,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_OVERCONF,과도한 확신,Overconfidence,과도한 확신|부당한 확신|불확실성 무시|확신도 보정|검증 없이 진행|오류 가능성|정보 부족|불충분한 정보|과도|확신,overconfidence|unwarranted certainty|ignored uncertainty|confidence calibration|without verification|possibility of error|limited information|insufficient information|Overconfidence,인간중심 편향|동물 학대|임금 양극화,anthropocentric bias|animal cruelty|wage polarization,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_CONTEST,이의제기 차단,Non-Contestability,이의제기 차단|결정 불복|구제 절차|인간 검토 거부|이의|제기|차단,non-contestability|appeal blocked|redress mechanism|denial of human review|Non-Contestability,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_SECADV,보안·적대적 견고성 실패,Security and Adversarial Robustness Failure,보안 취약점|적대적 공격|탈옥|프롬프트 인젝션|데이터 오염|백도어|사이버범죄|사이버 공격|취약점 악용|보안·적대적 견고성 실패|보안|적대|견고|실패,security vulnerability|adversarial attack|jailbreak|prompt injection|data poisoning|backdoor|cybercrime|cyberattack|cyber attack|vulnerability exploitation|vulnerability discovery|Security and Adversarial Robustness Failure|security|adversarial|robustness|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_POLICY,시스템 정책 노출,System Policy Exposure,시스템 정책 노출|시스템 프롬프트|내부 정책|모델 가중치|학습 데이터 유출|정책|노출,system policy exposure|system prompt|internal policy|model weight|training data leakage|System Policy Exposure|policy|exposure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_TRANS,투명성 부족,Lack of Transparency,투명성 부족|설명 불가|블랙박스|정보 공개 부족|투명|부족,lack of transparency|unexplainable|black box|insufficient disclosure|Lack of Transparency|lack|transparency,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,평가 실패|검증 실패|벤치마크 한계|안전성 보증|시험 누락|평가·검증 실패|평가|검증|실패,evaluation failure|validation failure|benchmark limitation|safety assurance|testing gap|Evaluation and Assurance Failure|evaluation|assurance|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SOC_ECON,경제·고용 충격,Economic and Employment Disruption,임금 양극화|노동 시장|고용 충격|실직|일자리 대체|숙련 가치|고용의 질|경제·고용 충격|경제|고용|충격,wage polarization|labour market|labor market|employment disruption|job loss|job displacement|skill value|employment quality|Economic and Employment Disruption|economic|employment|disruption,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SOC_POWER,불평등·권력 집중,Inequality and Power Concentration,불평등|권력 집중|부의 집중|시장 지배력|디지털 격차|불평등·권력 집중|평등|권력|집중,inequality|power concentration|wealth concentration|market dominance|digital divide|Inequality and Power Concentration|power|concentration,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SOC_DEMOC,민주주의·시민 질서 약화,Erosion of Democracy and Civic Order,민주주의 약화|시민 질서|선거 신뢰|공론장|정치 양극화|민주주의·시민 질서 약화|민주주의|시민|질서|약화,democratic erosion|civic order|electoral trust|public sphere|political polarization|Erosion of Democracy and Civic Order|erosion|democracy|civic|order,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SOC_ENV,환경·지속가능성 영향,Environmental and Sustainability Impact,환경 영향|탄소 배출|에너지 소비|물 사용|전자 폐기물|생물다양성|환경·지속가능성 영향|환경|지속,environmental impact|carbon emission|energy consumption|water use|electronic waste|biodiversity|Environmental and Sustainability Impact|environmental|sustainability|impact,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SOC_CULT,문화·지식 생태계 침식,Cultural and Epistemic Erosion,문화 획일화|지식 생태계|전문성 평가절하|인간 역량 위축|표현 다양성|문화·지식 생태계 침식|문화|지식|생태|침식,cultural homogenization|knowledge ecosystem|devaluation of expertise|skill atrophy|diversity of expression|Cultural and Epistemic Erosion|cultural|epistemic|erosion,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
General,G_SOC_GOV,거버넌스·책임 공백,Governance and Accountability Void,거버넌스 공백|책임 공백|규제 부재|책임 소재|감독 실패|거버넌스·책임 공백|거버넌스|책임|공백,governance void|accountability gap|regulatory gap|responsibility gap|oversight failure|Governance and Accountability Void|governance|accountability|void,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_SYS_GOAL,목표 불일치,Goal Misalignment,목표 불일치|보상 해킹|대리 목표|명세 오류|목표|일치,goal misalignment|reward hacking|proxy objective|specification error|Goal Misalignment|goal|misalignment,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_SYS_AUTH,과도한 권한·자율성,Excessive Authority and Agency,과도한 권한|과도한 자율성|무단 행동|권한 확대|과도한 권한·자율성|과도|권한|자율,excessive authority|excessive autonomy|unauthorised action|privilege expansion|Excessive Authority and Agency|excessive|authority|agency,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_SYS_SELFCOR,자기 교정 실패,Self-Correction Failure,자기 교정 실패|오류 복구 실패|반복 오류|계획 수정 실패|교정|실패,self-correction failure|error recovery failure|repeated error|plan revision failure|Self-Correction Failure|self-correction|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_SYS_DECEPT,기만·책략,Deception and Scheming,기만|책략|은폐|감독 회피|전략적 거짓말|기만·책략,deception|scheming|concealment|oversight evasion|strategic lying|Deception and Scheming,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_SYS_TRACE,책임 소재·추적 불명확,Accountability and Traceability Gap,추적 불명확|행위 기록|책임 소재|감사 로그|의사결정 이력|책임 소재·추적 불명확|책임|소재|추적|명확,traceability gap|action record|accountability|audit log|decision history|Accountability and Traceability Gap|traceability|gap,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,연쇄 실패|오류 전파|불안정|상호의존 실패|연쇄 실패·불안정|연쇄|실패|안정,cascading failure|error propagation|instability|interdependent failure|Cascading Failure and Instability|cascading|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_INT_COORD,협조 실패,Coordination Failure,협조 실패|조정 실패|통신 실패|작업 충돌|협조|실패,coordination failure|cooperation failure|communication failure|task conflict|Coordination Failure|coordination|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_INT_CONFLICT,경쟁적 갈등,Competitive Conflict,경쟁적 갈등|에이전트 경쟁|자원 경쟁|적대적 상호작용|경쟁|갈등,competitive conflict|agent competition|resource competition|adversarial interaction|Competitive Conflict|competitive|conflict,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Agentic,A_INT_COLLUSION,담합·결탁,Collusion,담합|결탁|가격 조정|비밀 협력|담합·결탁,collusion|concerted action|price fixing|covert cooperation|Collusion,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Physical,P_SYS_STATE,물리 상태 추정·센서 융합 실패,Physical State Estimation and Sensor-Fusion Failure,상태 추정 실패|센서 융합|위치 추정|환경 인식 오류|물리 상태 추정·센서 융합 실패|물리|상태|추정|센서|융합|실패,state estimation failure|sensor fusion|localisation error|environment perception error|Physical State Estimation and Sensor-Fusion Failure|physical|state|estimation|sensor-fusion|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Physical,P_SYS_CONTROL,안전하지 않은 물리 제어·구동,Unsafe Physical Control and Actuation,물리 제어 실패|구동 오류|경로 계획 오류|비상 정지 실패|안전하지 않은 물리 제어·구동|안전|물리|제어|구동,physical control failure|actuation error|path planning error|emergency stop failure|Unsafe Physical Control and Actuation|unsafe|physical|control|actuation,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Physical,P_SYS_HARDWARE,하드웨어·기계 무결성 결함,Hardware and Mechanical Integrity Failure,하드웨어 결함|기계 고장|구조적 파손|부품 열화|하드웨어·기계 무결성 결함|하드웨어|기계|결함,hardware failure|mechanical failure|structural breakage|component degradation|Hardware and Mechanical Integrity Failure|hardware|mechanical|integrity|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Physical,P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,인간-로봇 안전|충돌|끼임|신체 상해|안전거리|인간-로봇 물리 안전 실패|인간|로봇|물리|안전|실패,human-robot safety|collision|entrapment|physical injury|safety distance|Human-Robot Physical Safety Failure|human-robot|physical|safety|failure,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
Physical,P_INT_TAMPER,물리적 변조·파괴,Physical Tampering and Sabotage,물리적 변조|파괴 행위|센서 가림|장치 훼손|물리적 변조·파괴|물리|변조|파괴,physical tampering|sabotage|sensor obstruction|device damage|Physical Tampering and Sabotage|physical|tampering,,,IMMUTABLE_L3_TITLE|CURATED_MECHANISM_TERMS
