source_row_id,source_domain,source_l4_id,title_ko,title_en,mapped_l3_id,mapping_method,em_score,em_anchor_score,hybrid_score,keyword_support_score,l3_candidate_hint,top5_l3_scores
SRC-G-0019,General,RAI4-0671,복지 혜택 및 자격 상실,Denial of welfare benefits and entitlements,G_SYS_OREF,EM,0.771742,0.743098,0.790148,0.0,,"[{""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.771742, ""hybrid_score"": 0.790148, ""keyword_prior"": 0.018407, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_POWER"", ""em_score"": 0.732626, ""hybrid_score"": 0.738529, ""keyword_prior"": 0.005903, ""lexical_support"": 0.0}, {""l3_id"": ""G_INT_ALLOC"", ""em_score"": 0.715868, ""hybrid_score"": 0.725664, ""keyword_prior"": 0.009796, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.716921, ""hybrid_score"": 0.723878, ""keyword_prior"": 0.006957, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_GOV"", ""em_score"": 0.721699, ""hybrid_score"": 0.718356, ""keyword_prior"": -0.003343, ""lexical_support"": 0.0}]"
SRC-G-0020,General,RAI4-0850,점진적인 통제력 상실,Gradual loss of control,G_Others,HD,0.670191,0.640483,0.674176,0.0,,"[{""l3_id"": ""G_SOC_GOV"", ""em_score"": 0.670191, ""hybrid_score"": 0.674176, ""keyword_prior"": 0.003984, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.669179, ""hybrid_score"": 0.66725, ""keyword_prior"": -0.001929, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.663639, ""hybrid_score"": 0.665631, ""keyword_prior"": 0.001991, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.658799, ""hybrid_score"": 0.660092, ""keyword_prior"": 0.001292, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_POWER"", ""em_score"": 0.643341, ""hybrid_score"": 0.649136, ""keyword_prior"": 0.005794, ""lexical_support"": 0.0}]"
SRC-G-0021,General,RAI4-0166,사용자 이해력 과부하,User comprehension overload,G_SYS_OEXT,EM,0.792423,0.769134,0.814567,0.1,,"[{""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.792423, ""hybrid_score"": 0.814567, ""keyword_prior"": 0.022144, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.780117, ""hybrid_score"": 0.791745, ""keyword_prior"": 0.011628, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.709934, ""hybrid_score"": 0.738309, ""keyword_prior"": 0.028375, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.717526, ""hybrid_score"": 0.721174, ""keyword_prior"": 0.003648, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.691327, ""hybrid_score"": 0.69683, ""keyword_prior"": 0.005503, ""lexical_support"": 0.0}]"
SRC-G-0023,General,RAI4-0471,역량 오버행,Capability overhang,G_SYS_OEXT,EM,0.784002,0.765334,0.814309,0.2,,"[{""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.784002, ""hybrid_score"": 0.814309, ""keyword_prior"": 0.030307, ""lexical_support"": 0.2}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.677422, ""hybrid_score"": 0.681416, ""keyword_prior"": 0.003994, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_GOV"", ""em_score"": 0.663904, ""hybrid_score"": 0.680422, ""keyword_prior"": 0.016517, ""lexical_support"": 0.2}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.67441, ""hybrid_score"": 0.678102, ""keyword_prior"": 0.003692, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.657574, ""hybrid_score"": 0.673937, ""keyword_prior"": 0.016364, ""lexical_support"": 0.2}]"
SRC-G-0024,General,RAI4-1006,가중되는 노동 부담,Increased labor burden,G_SYS_OEXT,EM,0.689059,0.66218,0.70018,0.0,,"[{""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.689059, ""hybrid_score"": 0.70018, ""keyword_prior"": 0.011121, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_ECON"", ""em_score"": 0.664639, ""hybrid_score"": 0.677229, ""keyword_prior"": 0.01259, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_POWER"", ""em_score"": 0.656618, ""hybrid_score"": 0.663319, ""keyword_prior"": 0.006701, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.658737, ""hybrid_score"": 0.661889, ""keyword_prior"": 0.003152, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.630567, ""hybrid_score"": 0.628047, ""keyword_prior"": -0.00252, ""lexical_support"": 0.0}]"
SRC-G-0025,General,RAI4-0635,합성 콘텐츠의 진위 식별 실패와 지속적 피해,Failure to distinguish synthetic content and persistent harm,G_SYS_MISINFO,EM,0.754414,0.724873,0.772909,0.1,,"[{""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.754414, ""hybrid_score"": 0.772909, ""keyword_prior"": 0.018496, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.6735, ""hybrid_score"": 0.697291, ""keyword_prior"": 0.023791, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.665583, ""hybrid_score"": 0.686979, ""keyword_prior"": 0.021396, ""lexical_support"": 0.3}, {""l3_id"": ""G_INT_UNETH"", ""em_score"": 0.687422, ""hybrid_score"": 0.686528, ""keyword_prior"": -0.000894, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_CONTEST"", ""em_score"": 0.681806, ""hybrid_score"": 0.685031, ""keyword_prior"": 0.003225, ""lexical_support"": 0.0}]"
SRC-G-0028,General,RAI4-0808,사실과 다른 오도성 정보 생성,Generation of factually incorrect and misleading information,G_SYS_MISINFO,EM,0.854822,0.831561,0.875072,0.1,,"[{""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.854822, ""hybrid_score"": 0.875072, ""keyword_prior"": 0.020251, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.757846, ""hybrid_score"": 0.760032, ""keyword_prior"": 0.002186, ""lexical_support"": 0.0}, {""l3_id"": ""G_INT_UNETH"", ""em_score"": 0.755115, ""hybrid_score"": 0.756177, ""keyword_prior"": 0.001062, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.751437, ""hybrid_score"": 0.754134, ""keyword_prior"": 0.002697, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.743621, ""hybrid_score"": 0.746124, ""keyword_prior"": 0.002503, ""lexical_support"": 0.0}]"
SRC-G-0029,General,RAI4-0810,성실성 오류,Faithfulness errors,G_SYS_INCONS,EM,0.732923,0.700906,0.741454,0.0,,"[{""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.732923, ""hybrid_score"": 0.741454, ""keyword_prior"": 0.008531, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.708573, ""hybrid_score"": 0.721361, ""keyword_prior"": 0.012787, ""lexical_support"": 0.1}, {""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.693015, ""hybrid_score"": 0.696638, ""keyword_prior"": 0.003623, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.686024, ""hybrid_score"": 0.689721, ""keyword_prior"": 0.003697, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.683254, ""hybrid_score"": 0.686105, ""keyword_prior"": 0.002852, ""lexical_support"": 0.0}]"
SRC-G-0030,General,RAI4-0832,알고리즘 시스템에 의한 정보 기반 피해,Information-based Harms from Algorithmic Systems,G_SYS_MISINFO,EM,0.774352,0.74916,0.834659,0.7,,"[{""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.774352, ""hybrid_score"": 0.834659, ""keyword_prior"": 0.060307, ""lexical_support"": 0.7}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.680086, ""hybrid_score"": 0.683539, ""keyword_prior"": 0.003453, ""lexical_support"": 0.0}, {""l3_id"": ""G_INT_UNETH"", ""em_score"": 0.6776, ""hybrid_score"": 0.678933, ""keyword_prior"": 0.001333, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_ECON"", ""em_score"": 0.666436, ""hybrid_score"": 0.668534, ""keyword_prior"": 0.002098, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_DEMOC"", ""em_score"": 0.659244, ""hybrid_score"": 0.662414, ""keyword_prior"": 0.00317, ""lexical_support"": 0.0}]"
SRC-G-0031,General,RAI4-0844,허위·오도 정보 유포에 의한 기만과 양극화,Deception and polarisation from false information,G_SYS_MISINFO,EM,0.749409,0.717173,0.774832,0.2,,"[{""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.749409, ""hybrid_score"": 0.774832, ""keyword_prior"": 0.025423, ""lexical_support"": 0.2}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.663539, ""hybrid_score"": 0.667606, ""keyword_prior"": 0.004067, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.658447, ""hybrid_score"": 0.662231, ""keyword_prior"": 0.003784, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.653904, ""hybrid_score"": 0.654394, ""keyword_prior"": 0.00049, ""lexical_support"": 0.0}, {""l3_id"": ""G_INT_UNETH"", ""em_score"": 0.65112, ""hybrid_score"": 0.652347, ""keyword_prior"": 0.001227, ""lexical_support"": 0.0}]"
SRC-G-0032,General,RAI4-1057,대규모 허위정보 생산·확산 장벽 저하,Lowered barriers to large-scale disinformation production and dissemination,G_SYS_MISINFO,EM,0.783548,0.759595,0.810383,0.2,,"[{""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.783548, ""hybrid_score"": 0.810383, ""keyword_prior"": 0.026834, ""lexical_support"": 0.2}, {""l3_id"": ""G_SOC_DEMOC"", ""em_score"": 0.696357, ""hybrid_score"": 0.697899, ""keyword_prior"": 0.001543, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_POWER"", ""em_score"": 0.690369, ""hybrid_score"": 0.689589, ""keyword_prior"": -0.000779, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_ECON"", ""em_score"": 0.687184, ""hybrid_score"": 0.684387, ""keyword_prior"": -0.002797, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_CULT"", ""em_score"": 0.682662, ""hybrid_score"": 0.682518, ""keyword_prior"": -0.000144, ""lexical_support"": 0.0}]"
SRC-G-0033,General,RAI4-1125,선거 제도와 절차에 관한 허위정보,False information about electoral systems and processes,G_SYS_MISINFO,EM,0.777188,0.755001,0.804762,0.2,,"[{""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.777188, ""hybrid_score"": 0.804762, ""keyword_prior"": 0.027574, ""lexical_support"": 0.2}, {""l3_id"": ""G_INT_POL"", ""em_score"": 0.732243, ""hybrid_score"": 0.743451, ""keyword_prior"": 0.011209, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.725014, ""hybrid_score"": 0.733745, ""keyword_prior"": 0.00873, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_DEMOC"", ""em_score"": 0.702318, ""hybrid_score"": 0.720802, ""keyword_prior"": 0.018484, ""lexical_support"": 0.2}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.699351, ""hybrid_score"": 0.701402, ""keyword_prior"": 0.002051, ""lexical_support"": 0.0}]"
SRC-G-0036,General,RAI4-1630,데이터 오해석·유출에 의한 오결론과 민감정보 확산,Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage,G_SYS_MISINFO,EM,0.718632,0.687131,0.737821,0.1,,"[{""l3_id"": ""G_SYS_MISINFO"", ""em_score"": 0.718632, ""hybrid_score"": 0.737821, ""keyword_prior"": 0.019189, ""lexical_support"": 0.1}, {""l3_id"": ""G_INT_PRIV"", ""em_score"": 0.666211, ""hybrid_score"": 0.69019, ""keyword_prior"": 0.023979, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_TRANS"", ""em_score"": 0.680063, ""hybrid_score"": 0.687226, ""keyword_prior"": 0.007163, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.676334, ""hybrid_score"": 0.681823, ""keyword_prior"": 0.00549, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.657319, ""hybrid_score"": 0.660519, ""keyword_prior"": 0.003201, ""lexical_support"": 0.0}]"
SRC-G-0037,General,RAI4-0363,소수·복수 가치의 소거와 규범적 획일화,Erasure of minority and plural values through normative homogenization,G_INT_VALUE,EM,0.803027,0.783391,0.864013,0.7,,"[{""l3_id"": ""G_INT_VALUE"", ""em_score"": 0.803027, ""hybrid_score"": 0.864013, ""keyword_prior"": 0.060986, ""lexical_support"": 0.7}, {""l3_id"": ""G_SOC_CULT"", ""em_score"": 0.677843, ""hybrid_score"": 0.683853, ""keyword_prior"": 0.00601, ""lexical_support"": 0.0}, {""l3_id"": ""G_SOC_POWER"", ""em_score"": 0.655172, ""hybrid_score"": 0.660551, ""keyword_prior"": 0.005379, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OREF"", ""em_score"": 0.62932, ""hybrid_score"": 0.632101, ""keyword_prior"": 0.002781, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_OEXT"", ""em_score"": 0.629436, ""hybrid_score"": 0.62958, ""keyword_prior"": 0.000144, ""lexical_support"": 0.0}]"
SRC-G-0038,General,RAI4-0373,문화 간 고정관념 전이,Cross-cultural stereotype transfer,G_INT_REPR,EM,0.678283,0.6541,0.712072,0.3,,"[{""l3_id"": ""G_INT_REPR"", ""em_score"": 0.678283, ""hybrid_score"": 0.712072, ""keyword_prior"": 0.033789, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.644018, ""hybrid_score"": 0.68522, ""keyword_prior"": 0.041202, ""lexical_support"": 0.5}, {""l3_id"": ""G_SOC_CULT"", ""em_score"": 0.613786, ""hybrid_score"": 0.65142, ""keyword_prior"": 0.037634, ""lexical_support"": 0.4}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.634171, ""hybrid_score"": 0.641248, ""keyword_prior"": 0.007077, ""lexical_support"": 0.0}, {""l3_id"": ""G_INT_VALUE"", ""em_score"": 0.617791, ""hybrid_score"": 0.62785, ""keyword_prior"": 0.010059, ""lexical_support"": 0.0}]"
SRC-G-0039,General,RAI4-0374,문화적 맥락 붕괴,Cultural context collapse,G_SYS_CONTEXT,EM,0.703288,0.667199,0.747898,0.5,,"[{""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.703288, ""hybrid_score"": 0.747898, ""keyword_prior"": 0.04461, ""lexical_support"": 0.5}, {""l3_id"": ""G_SOC_CULT"", ""em_score"": 0.645981, ""hybrid_score"": 0.677599, ""keyword_prior"": 0.031618, ""lexical_support"": 0.3}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.645606, ""hybrid_score"": 0.649867, ""keyword_prior"": 0.004261, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INPUT"", ""em_score"": 0.608701, ""hybrid_score"": 0.614266, ""keyword_prior"": 0.005565, ""lexical_support"": 0.0}, {""l3_id"": ""G_INT_VALUE"", ""em_score"": 0.603758, ""hybrid_score"": 0.611745, ""keyword_prior"": 0.007986, ""lexical_support"": 0.0}]"
SRC-G-0040,General,RAI4-0379,문화 간 평가 격차,Cross-cultural evaluation gap,G_Others,HD,0.673082,0.643135,0.702044,0.4,,"[{""l3_id"": ""G_SYS_EVAL"", ""em_score"": 0.673082, ""hybrid_score"": 0.702044, ""keyword_prior"": 0.028962, ""lexical_support"": 0.4}, {""l3_id"": ""G_SYS_CONTEXT"", ""em_score"": 0.67595, ""hybrid_score"": 0.688088, ""keyword_prior"": 0.012138, ""lexical_support"": 0.1}, {""l3_id"": ""G_SOC_CULT"", ""em_score"": 0.61501, ""hybrid_score"": 0.655859, ""keyword_prior"": 0.040849, ""lexical_support"": 0.4}, {""l3_id"": ""G_INT_VALUE"", ""em_score"": 0.637068, ""hybrid_score"": 0.654102, ""keyword_prior"": 0.017034, ""lexical_support"": 0.0}, {""l3_id"": ""G_SYS_INCONS"", ""em_score"": 0.639248, ""hybrid_score"": 0.642545, ""keyword_prior"": 0.003297, ""lexical_support"": 0.0}]"
