source_row_id,source_domain,source_l4_id,title_ko,title_en,keyword_1_ko,keyword_2_ko,keyword_3_ko,keyword_1_en,keyword_2_en,keyword_3_en,keyword_top_l3_id,keyword_support_score,keyword_semantic_score,keyword_prior,mapped_l3_id,mapping_method,keyword_evidence
SRC-G-0023,General,RAI4-0471,역량 오버행,Capability overhang,역량 오버행,탐지 수준 초과,모니터링 거버넌스 절차,Capability overhang,latent capabilities exceed,exceed what,G_SYS_OEXT,0.2,0.648079,0.030373,G_SYS_OEXT,EM,G_SOC_GOV=0.200|G_SYS_OEXT=0.200|G_SYS_EVAL=0.100
SRC-G-0024,General,RAI4-1006,가중되는 노동 부담,Increased labor burden,가중되는 노동 부담,구성원 제품 작동,작동 시간 노력,Increased labor burden,increased burden effort,bear increased burden,G_SOC_ECON,0.0,0.507886,0.011121,G_Others,HD,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0025,General,RAI4-0635,합성 콘텐츠의 진위 식별 실패와 지속적 피해,Failure to distinguish synthetic content and persistent harm,합성 콘텐츠의 진위 식별 실패와 지속적 피해,수신자 진본 구별,진본 구별 허위,Failure to distinguish synthetic content and persistent harm,reliably distinguish authentic,realistic deepfakes synthetic,G_SYS_MISINFO,0.1,0.570606,0.018496,G_SYS_MISINFO,EM,G_SYS_SECADV=0.300|G_SYS_EVAL=0.300|G_SYS_INPUT=0.300
SRC-G-0028,General,RAI4-0808,사실과 다른 오도성 정보 생성,Generation of factually incorrect and misleading information,사실과 다른 오도성 정보 생성,기만,기만 오도 목적,Generation of factually incorrect and misleading information,failing ensure accuracy,ensure accuracy intentionally,G_SYS_MISINFO,0.1,0.690056,0.020925,G_SYS_MISINFO,EM,G_INT_PRIV=0.100|G_SYS_MISINFO=0.100
SRC-G-0029,General,RAI4-0810,성실성 오류,Faithfulness errors,성실성 오류,충실 유창 원문,유창 원문 왜곡,Faithfulness errors,represent introducing faithfulness,appears fluent plausible,G_SYS_MISINFO,0.1,0.506906,0.012788,G_Others,HD,G_INT_REPR=0.200|G_SYS_MISINFO=0.100|G_SYS_OVERCONF=0.100
SRC-G-0030,General,RAI4-0832,알고리즘 시스템에 의한 정보 기반 피해,Information-based Harms from Algorithmic Systems,알고리즘 시스템에 의한 정보 기반 피해,허위정보,추천,Information-based Harms from Algorithmic Systems,misinformation,misinformation disinformation malinformation,G_SYS_MISINFO,0.7,0.679261,0.060307,G_SYS_MISINFO,EM,G_SYS_MISINFO=0.700|G_INT_PRIV=0.200
SRC-G-0031,General,RAI4-0844,허위·오도 정보 유포에 의한 기만과 양극화,Deception and polarisation from false information,허위·오도 정보 유포에 의한 기만과 양극화,견해 확신 양극,기존 견해 확신,Deception and polarisation from false information,threat,previously held unsubstantiated,G_SYS_MISINFO,0.2,0.607661,0.025423,G_SYS_MISINFO,EM,G_SYS_OVERCONF=0.200|G_SYS_MISINFO=0.200|G_INT_VIOL=0.100
SRC-G-0032,General,RAI4-1057,대규모 허위정보 생산·확산 장벽 저하,Lowered barriers to large-scale disinformation production and dissemination,대규모 허위정보 생산·확산 장벽 저하,의견 허구 구분,사실 의견 허구,Lowered barriers to large-scale disinformation production and dissemination,blurs distinctions among,scale blurs distinctions,G_SYS_MISINFO,0.2,0.561402,0.026834,G_SYS_MISINFO,EM,G_SYS_MISINFO=0.200|G_INT_PRIV=0.100
SRC-G-0033,General,RAI4-1125,선거 제도와 절차에 관한 허위정보,False information about electoral systems and processes,선거 제도와 절차에 관한 허위정보,선거 신뢰,행사 방해 안내,False information about electoral systems and processes,manner voting voters,obstructed misled exercising,G_SYS_MISINFO,0.2,0.607664,0.027574,G_SYS_MISINFO,EM,G_SOC_DEMOC=0.200|G_SYS_MISINFO=0.200|G_INT_PRIV=0.100
SRC-G-0036,General,RAI4-1630,데이터 오해석·유출에 의한 오결론과 민감정보 확산,Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage,데이터 오해석·유출에 의한 오결론과 민감정보 확산,결론 도출 환자,악성 의학 문헌,Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage,yields erroneous conclusions,conclusions unintended dissemination,G_SYS_MISINFO,0.1,0.621655,0.019231,G_SYS_MISINFO,EM,G_INT_PRIV=0.300|G_SYS_MISINFO=0.100
SRC-G-0037,General,RAI4-0363,소수·복수 가치의 소거와 규범적 획일화,Erasure of minority and plural values through normative homogenization,소수·복수 가치의 소거와 규범적 획일화,지배 다수자 규범,다수자 규범 축소,Erasure of minority and plural values through normative homogenization,favour dominant majority,erasing value pluralism,G_INT_VALUE,0.7,0.676544,0.060986,G_INT_VALUE,EM,G_INT_VALUE=0.700|G_SYS_EVAL=0.100
SRC-G-0038,General,RAI4-0373,문화 간 고정관념 전이,Cross-cultural stereotype transfer,문화 간 고정관념 전이,문화적 맥락,환경 영향,Cross-cultural stereotype transfer,cultural context,group language setting,G_SYS_CONTEXT,0.3,0.514092,0.033789,G_Others,HD,G_SYS_CONTEXT=0.500|G_SOC_CULT=0.400|G_INT_REPR=0.300
SRC-G-0039,General,RAI4-0374,문화적 맥락 붕괴,Cultural context collapse,문화적 맥락 붕괴,특수 의미 관행,붕괴 지역 뉘앙스,Cultural context collapse,collapsed generic categories,practices collapsed generic,G_SYS_CONTEXT,0.5,0.488426,0.045699,G_SYS_CONTEXT,EM,G_SYS_CONTEXT=0.500|G_SOC_CULT=0.300
SRC-G-0040,General,RAI4-0379,문화 간 평가 격차,Cross-cultural evaluation gap,문화 간 평가 격차,환경 영향,벤치마크 지배 문화,Cross-cultural evaluation gap,benchmarks under-measure alignment,dominant cultural linguistic,G_SOC_CULT,0.4,0.455742,0.028962,G_Others,HD,G_SOC_CULT=0.400|G_SYS_EVAL=0.400|G_SYS_SECADV=0.100
SRC-G-0041,General,RAI4-0380,저자원 언어 가치 손실,Low-resource language value loss,저자원 언어 가치 손실,부의 집중,뉘앙스 안전 적용,Low-resource language value loss,concentrated highresource languages,evaluation concentrated highresource,G_INT_VALUE,0.0,0.476582,0.007783,G_SYS_CONTEXT,EM,G_INT_VALUE=0.200|G_SYS_EVAL=0.200|G_SOC_POWER=0.100
SRC-G-0042,General,RAI4-0382,방언·언어 사용역 배제,Dialect and register exclusion,방언·언어 사용역 배제,사실 오류,존댓말,Dialect and register exclusion,dialects sociolects honorific,honorific registers treated,G_SYS_CONTEST,0.0,0.415578,0.003467,G_Others,HD,G_SYS_MISINFO=0.100|G_SYS_OVERCONF=0.100
SRC-G-0043,General,RAI4-0389,지식 체계 배제,Knowledge-system marginalization,지식 체계 배제,토착 지역 종교,지역 종교 관행,Knowledge-system marginalization,local religious practice-based,practice-based knowledge excluded,G_SOC_CULT,0.1,0.501463,0.022856,G_Others,HD,G_SOC_CULT=0.100|G_SYS_EVAL=0.100
SRC-G-0044,General,RAI4-0404,데이터세트 문화 샘플링 편향,Dataset cultural sampling bias,데이터세트 문화 샘플링 편향,과다 표집 지역,환경 과다 표집,Dataset cultural sampling bias,datasets oversample dominant,settings underrepresent local,G_SOC_CULT,0.0,0.535334,0.017011,G_INT_VALUE,EM,G_SOC_CULT=0.300|G_INT_POL=0.200|G_SOC_ENV=0.100
SRC-G-0045,General,RAI4-0414,글로벌 벤치마크 단일문화,Global benchmark monoculture,글로벌 벤치마크 단일문화,성공 정렬 정의,소수 글로벌 벤치마크,Global benchmark monoculture,benchmarks defines successful,defines successful alignment,G_INT_VALUE,0.0,0.48081,0.015121,G_INT_VALUE,EM,G_SOC_CULT=0.200
SRC-G-0046,General,RAI4-0699,학습 데이터에 내재된 역사적·인구학적 편향,Historical and demographic bias embedded in training data,학습 데이터에 내재된 역사적·인구학적 편향,채용 대출 영역,고정관념,Historical and demographic bias embedded in training data,healthcare hiring lending,overrepresentation western english-speaking,G_INT_REPR,0.1,0.5371,0.024735,G_INT_REPR,EM,G_INT_POL=0.200|G_INT_REPR=0.100
SRC-G-0047,General,RAI4-1046,집단별 성능 격차·고정관념 인코딩,Demographic performance disparity and stereotype encoding,집단별 성능 격차·고정관념 인코딩,ml 인구 통계,인구 통계 사회,Demographic performance disparity and stereotype encoding,ml encodes stereotypes,disproportionately poorly demographic,G_INT_REPR,0.4,0.524546,0.039577,G_INT_REPR,EM,G_INT_REPR=0.400
SRC-G-0048,General,RAI4-1107,데이터와 산출물에서의 집단 재현 불균형,Imbalanced representation of groups in data and outputs,데이터와 산출물에서의 집단 재현 불균형,텍스트 언급 비율,언급 비율 격차,Imbalanced representation of groups in data and outputs,mischaracterized erased altogether,crucial characterizing phenomenon,G_INT_REPR,0.3,0.555571,0.03151,G_INT_REPR,EM,G_INT_REPR=0.300
SRC-G-0049,General,RAI4-1145,맥락적 사회 규범 위반,Violation of contextual social norms,맥락적 사회 규범 위반,이탈 위반 기능,규범 이탈 위반,Violation of contextual social norms,deviate violate information-sharing,contexts deviate violate,G_SYS_CONTEXT,0.2,0.560702,0.02522,G_SYS_CONTEXT,EM,G_INT_VALUE=0.200|G_INT_PRIV=0.200|G_SYS_CONTEXT=0.200
SRC-G-0050,General,RAI4-1668,사전학습 코퍼스 불일치에 의한 가치 어긋남,Value mismatch from divergence between pretraining corpora and societal values,사전학습 코퍼스 불일치에 의한 가치 어긋남,영역 심각 문제,일치 지식 균등,Value mismatch from divergence between pretraining corpora and societal values,human-like,llm-empowered severe value-related,G_INT_VALUE,0.3,0.530589,0.029252,G_Others,HD,G_INT_VALUE=0.300|G_INT_ANTH=0.200|G_SOC_CULT=0.100
SRC-G-0051,General,RAI4-0070,사고 분류 단편화,Incident taxonomy fragmentation,사고 분류 단편화,비일관성,일관 집계 비교,Incident taxonomy fragmentation,prevent aggregation comparison,categories prevent aggregation,G_SYS_INCONS,0.0,0.455351,0.003475,G_Others,HD,G_SYS_INCONS=0.200
SRC-G-0052,General,RAI4-0418,주석 불일치 억제,Annotation disagreement suppression,주석 불일치 억제,유의미 이견 은폐,레이블 축소 복수,Annotation disagreement suppression,label hiding plural,single label hiding,G_INT_VALUE,0.0,0.468873,0.012982,G_Others,HD,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0053,General,RAI4-0708,언어·인구 집단 간 성능 격차,Performance disparity across language and demographic groups,언어·인구 집단 간 성능 격차,편중 질의응답 사실,질의응답 사실 확인,Performance disparity across language and demographic groups,question answering fact,checking varies sharply,G_SYS_INCONS,0.0,0.517036,0.010502,G_Others,HD,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0054,General,RAI4-0716,집단 속성에 따른 배분적 불의,Allocative injustice by group attribute,집단 속성에 따른 배분적 불의,프로필 동일 소속,실질 텍스트 제안,Allocative injustice by group attribute,suggested completed texts,different suggested completed,G_INT_ALLOC,0.3,0.568814,0.032109,G_INT_ALLOC,EM,G_INT_ALLOC=0.300
SRC-G-0055,General,RAI4-0821,지식 분포 변화에 따른 응답 노후화,Answer obsolescence from knowledge distribution shift,지식 분포 변화에 따른 응답 노후화,질문 정확 답변,반영 갱신 필요,Answer obsolescence from knowledge distribution shift,overconfidence,answers questions whose,G_SYS_OREF,0.2,0.504098,0.020286,G_Others,HD,G_SYS_OVERCONF=0.300|G_SYS_OEXT=0.200|G_SYS_OREF=0.200
SRC-G-0056,General,RAI4-0822,맥락 일관성 추구에 의한 아첨과 환각 증폭,Sycophancy and hallucination from context consistency,맥락 일관성 추구에 의한 아첨과 환각 증폭,응답 환각 눈덩이,우선 반복 아첨,Sycophancy and hallucination from context consistency,overconfidence,contained prefixes user-provided,G_SYS_MISINFO,0.3,0.535744,0.029649,G_Others,HD,G_SYS_MISINFO=0.500|G_SYS_OVERCONF=0.300|G_SYS_CONTEXT=0.300
SRC-G-0057,General,RAI4-0938,사회적 가치·윤리 규범과 상충하는 모델 출력,Model outputs conflicting with societal ethical values,사회적 가치·윤리 규범과 상충하는 모델 출력,법률 관계 보편,규범 법률 관계,Model outputs conflicting with societal ethical values,right wrong relation,odds ethics morality,G_INT_VALUE,0.0,0.547986,0.013359,G_Others,HD,G_INT_REL=0.400|G_INT_VALUE=0.300|G_INT_UNETH=0.100
SRC-G-0058,General,RAI4-0952,글쓰기 능력 저하와 학술 문헌 오염,Writing skill erosion and scientific literature pollution,글쓰기 능력 저하와 학술 문헌 오염,원고 범람 학술,범람 학술 진실,Writing skill erosion and scientific literature pollution,homogenization styles stifling,manuscripts pollutes scientific,G_SOC_CULT,0.2,0.590206,0.033221,G_SOC_CULT,EM,G_SOC_CULT=0.200|G_SOC_DEMOC=0.200|G_INT_VALUE=0.200
SRC-G-0059,General,RAI4-1041,분포 외 입력에 대한 고신뢰 오작동,High-confidence failure on out-of-distribution inputs,분포 외 입력에 대한 고신뢰 오작동,자기 손상,거부 복구 확신,High-confidence failure on out-of-distribution inputs,reject recover out-of,detect reject recover,G_SYS_INPUT,0.3,0.534879,0.028869,G_SYS_INPUT,EM,G_SYS_INPUT=0.300|G_SYS_SECADV=0.200|G_SYS_EVAL=0.200
SRC-G-0060,General,RAI4-1187,출력 불일치,Output inconsistency,출력 불일치,세션 대화 발화,비일관성,Output inconsistency,sessions even chats,chats within same,G_SYS_INCONS,0.4,0.588244,0.042356,G_SYS_INCONS,EM,G_SYS_INCONS=0.400|G_SYS_SECADV=0.100|G_SYS_INPUT=0.100
SRC-G-0061,General,RAI4-1228,프롬프트 품질 결함으로 인한 오류,Errors from poor prompt quality,프롬프트 품질 결함으로 인한 오류,모호 때문 프롬,오류 오해 프롬프트를디버깅,Errors from poor prompt quality,human-like,debug so valuable,G_SYS_MISINFO,0.0,0.488603,0.007867,G_Others,HD,G_SYS_POLICY=0.200|G_SYS_OVERCONF=0.200|G_SYS_MISINFO=0.200
SRC-G-0062,General,RAI4-1509,벤치마크 오염에 의한 모델 평가 무효화,Benchmark contamination invalidating model evaluation,벤치마크 오염에 의한 모델 평가 무효화,질문 답변쌍 어노테이션레이블,답변쌍 어노테이션레이블 탐지,Benchmark contamination invalidating model evaluation,question-answer pairs annotation,translated versions evade,G_SYS_EVAL,0.4,0.502404,0.036316,G_SYS_EVAL,EM,G_SYS_EVAL=0.400
SRC-G-0063,General,RAI4-1515,사고연쇄와 불일치하는 모델 출력,Model outputs inconsistent with chain-ofthought reasoning,사고연쇄와 불일치하는 모델 출력,최종 답변 일치,제시 최종 답변,Model outputs inconsistent with chain-ofthought reasoning,employed get better,output encouraging transparent,G_SYS_INCONS,0.0,0.554458,0.015412,G_SYS_INCONS,EM,G_SYS_TRANS=0.100
SRC-G-0064,General,RAI4-1516,인코딩된 추론,Encoded reasoning,인코딩된 추론,모델이스테가노그래피 기법 중간,향상 효과 때문,Encoded reasoning,tendency emerge naturally,emerge naturally become,G_INT_VALUE,0.0,0.424703,0.004355,G_Others,HD,G_SOC_ECON=0.100
SRC-G-0065,General,RAI4-1523,무관한 문맥에 의한 모델 성능 저하,Performance degradation from irrelevant context,무관한 문맥에 의한 모델 성능 저하,시스템 프롬프트,주의 분산 사고,Performance degradation from irrelevant context,distracted irrelevant provided,easily distracted irrelevant,G_SYS_CONTEXT,0.2,0.582094,0.027592,G_Others,HD,G_SYS_CONTEXT=0.200|G_SYS_POLICY=0.100
SRC-G-0066,General,RAI4-1526,프롬프트 형식 민감성으로 인한 평가 신뢰성 저하,Evaluation unreliability from promptformat sensitivity,프롬프트 형식 민감성으로 인한 평가 신뢰성 저하,대소 문자 간격,문자 간격 사소,Evaluation unreliability from promptformat sensitivity,letter case spacing,separators letter case,G_SYS_EVAL,0.3,0.504809,0.030253,G_SYS_EVAL,EM,G_SYS_EVAL=0.300|G_SYS_POLICY=0.200
SRC-G-0067,General,RAI4-1702,분포 변화에 대한 AI 평가·검증 실패,AI evaluation failure under distribution shift,분포 변화에 대한 AI 평가·검증 실패,사실 오류,과대평가,AI evaluation failure under distribution shift,distributions differ overstating,differ overstating real-world,G_SYS_EVAL,0.6,0.646863,0.348905,G_SYS_EVAL,EM,G_SYS_EVAL=0.600|G_SYS_SECADV=0.300|G_SYS_INPUT=0.300
SRC-G-0068,General,RAI4-0186,물리적 상식 위반,Commonsense physicality violation,물리적 상식 위반,결과 불안정,관계 중력 기본,Commonsense physicality violation,stability containment gravity,executes judgments advice,G_SYS_INPUT,0.0,0.498399,0.015982,G_SYS_INPUT,EM,G_INT_PRIV=0.200|G_SYS_INCONS=0.100|G_INT_REL=0.100
SRC-G-0069,General,RAI4-0338,장기 작업의 단계 간 오차 누적,Cross-stage error accumulation in long tasks,장기 작업의 단계 간 오차 누적,오차 작업 순서,제어 전달 오차,Cross-stage error accumulation in long tasks,sequence until final,task sequence until,G_SYS_OEXT,0.0,0.503785,0.012866,G_SYS_OEXT,EM,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0070,General,RAI4-0365,규범적 잠금,Normative lock-in,규범적 잠금,이의 제기 수정,규범 합의 내장,Normative lock-in,contest revise after,narrow normative settlement,G_INT_VALUE,0.5,0.477704,0.042201,G_INT_VALUE,EM,G_INT_VALUE=0.500
SRC-G-0071,General,RAI4-0371,서구 규범 기본값화,Western normative defaulting,서구 규범 기본값화,서구 자유주의 영어,자유주의 영어 소득,Western normative defaulting,liberal anglophone high-income,anglophone high-income country,G_INT_VALUE,0.3,0.506083,0.034446,G_INT_VALUE,EM,G_INT_VALUE=0.300|G_SYS_EVAL=0.100
SRC-G-0072,General,RAI4-0397,RLHF 규범적 과적합,RLHF normative overfitting,RLHF 규범적 과적합,적합 논쟁 가치,논쟁 가치 단일,RLHF normative overfitting,human-like,rater population converts,G_INT_VALUE,0.5,0.498176,0.044672,G_INT_VALUE,EM,G_INT_VALUE=0.500|G_INT_ANTH=0.200|G_INT_REL=0.100
SRC-G-0074,General,RAI4-0785,안전 미세조정 일반화 격차 악용,Exploitation of safety-fine-tuning generalization gaps,안전 미세조정 일반화 격차 악용,부호 텍스트 자원,튜닝 사전,Exploitation of safety-fine-tuning generalization gaps,overconfidence,much narrower,G_SYS_OEXT,0.0,0.503579,0.308631,G_SYS_SECADV,EM,G_SYS_OVERCONF=0.300|G_SYS_OEXT=0.200|G_SYS_OREF=0.200
SRC-G-0075,General,RAI4-0814,역사 수정주의적 서술 생성,Generation of historically revisionist accounts,역사 수정주의적 서술 생성,학계 확립 역사,역사 사건 서술,Generation of historically revisionist accounts,reinterpretation established orthodox,unintentional reinterpretation established,G_SYS_MISINFO,0.0,0.440032,0.008267,G_SYS_MISINFO,EM,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0076,General,RAI4-1053,배제적 규범 인코딩,Exclusionary norm encoding,배제적 규범 인코딩,인코딩 lm 범주,규범 인코딩 lm,Exclusionary norm encoding,lms faithfully encoding,faithfully encoding patterns,G_INT_VALUE,0.4,0.460962,0.035671,G_INT_VALUE,EM,G_INT_VALUE=0.400
SRC-G-0077,General,RAI4-1161,장기 계획 역량에 의한 감독 불가 행동 경로 추구,Unsupervisable action pathways from long-horizon planning capability,장기 계획 역량에 의한 감독 불가 행동 경로 추구,다단계 계획 수립,계획 수립 수정,Unsupervisable action pathways from long-horizon planning capability,human-like,anticipate monitor intervene,G_SYS_OEXT,0.1,0.534643,0.018296,G_Others,HD,G_INT_ANTH=0.200|G_SYS_OEXT=0.100|G_INT_REL=0.100
SRC-G-0078,General,RAI4-0041,에이전트 벤치마크의 커버리지-깊이 착시,Coverage-depth illusion in agent benchmarks,에이전트 벤치마크의 커버리지-깊이 착시,범주 깊이 현실,벤치마크 범주 나열,Coverage-depth illusion in agent benchmarks,sufficient depth realism,lacking sufficient depth,G_SYS_EVAL,0.0,0.466309,0.004999,G_Others,HD,G_SYS_SECADV=0.100
SRC-G-0079,General,RAI4-0057,AI 결정·행동에 대한 감사 추적 불완전성,Incomplete audit trails for AI decisions and actions,AI 결정·행동에 대한 감사 추적 불완전성,행위 기록,센서 가림,Incomplete audit trails for AI decisions and actions,actuator human-command records,sensor actuator human-command,G_SOC_GOV,0.0,0.591658,0.013026,G_Others,HD,G_SOC_GOV=0.100|G_INT_REL=0.100
SRC-G-0080,General,RAI4-0059,문서화 누락,Documentation omission,문서화 누락,카드 카드 데이터시트,모델 카드 카드,Documentation omission,cards cards datasheets,datasheets technical files,G_SYS_CONTEXT,0.0,0.424552,0.007441,G_Others,HD,G_SOC_GOV=0.100|G_SYS_EVAL=0.100
SRC-G-0081,General,RAI4-0064,감사자 독립성 실패,Auditor independence failure,감사자 독립성 실패,선정 유인 피감,상충 선정 유인,Auditor independence failure,interest selection incentives,compromised conflicts interest,G_SYS_EVAL,0.3,0.540708,0.02877,G_SYS_EVAL,EM,G_SYS_SECADV=0.300|G_SYS_INPUT=0.300|G_SYS_CONTEXT=0.300
SRC-G-0082,General,RAI4-0067,보증 사례 실패,Assurance case failure,보증 사례 실패,안전성 보증,보증 사례 완전,Assurance case failure,safety assurance,updated contexts change,G_SYS_EVAL,0.7,0.571951,0.059275,G_SYS_EVAL,EM,G_SYS_EVAL=0.700|G_SYS_SECADV=0.300|G_SYS_INPUT=0.300
SRC-G-0083,General,RAI4-0082,역량 평가 비공개,Capability evaluation non-disclosure,역량 평가 비공개,강건 잔여,은폐,Capability evaluation non-disclosure,organization withholds obscures,withholds obscures evaluation,G_SYS_EVAL,0.0,0.540673,0.013863,G_Others,HD,G_SYS_EVAL=0.400|G_SYS_SECADV=0.200|G_SYS_OEXT=0.100
SRC-G-0084,General,RAI4-0126,설명 실행 가능성 격차,Explanation actionability gap,설명 실행 가능성 격차,도움,보호 판단 도움,Explanation actionability gap,decide what do,help users decide,G_SYS_CONTEST,0.0,0.523245,0.006646,G_SYS_TRANS,EM,NO_DIRECT_LEXICAL_SUPPORT
SRC-G-0085,General,RAI4-0134,임상 의사결정 지원 AI에 대한 과신,Overconfidence in AI clinical decision support,임상 의사결정 지원 AI에 대한 과신,수용 환자 처치,의사결정 지원 시스템 진단 분류,Overconfidence in AI clinical decision support,unwarranted certainty,without verification,G_SYS_OVERCONF,0.6,0.672891,0.350265,G_SYS_OVERCONF,EM,G_SYS_OVERCONF=0.600|G_INT_REL=0.100
SRC-G-0086,General,RAI4-0402,가치 충돌 불투명성,Value conflict opacity,가치 충돌 불투명성,재식별,은폐,Value conflict opacity,conflict difficult identify,difficult identify deliberate,G_SYS_TRANS,0.1,0.556823,0.018839,G_SYS_TRANS,EM,G_INT_VALUE=0.200|G_SYS_TRANS=0.100|G_INT_PRIV=0.100
SRC-G-0087,General,RAI4-0419,이해관계자 이견 은폐,Multi-stakeholder disagreement concealment,이해관계자 이견 은폐,사이 해결 이견,이해관계자 사이 해결,Multi-stakeholder disagreement concealment,conceal unresolved disagreement,unresolved disagreement among,G_SYS_TRANS,0.0,0.503807,0.009316,G_SYS_TRANS,EM,G_SYS_EVAL=0.100
