source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,target_domain,domain_route_basis,definition_l3_anchor_id,definition_l3_anchor_score,definition_grounding_action
RAI4-0184,,,그리퍼 형상·유형 제약 위반,Gripper geometry and type constraint violation,물리 에이전트가 그리 퍼의 형상·유형 또는 실제 접촉 역학이 부과하는 물리적 제약을 고려하지 못하고 이를 위반하는 행동을 선택하는 리스크.,"The risk that a robot, humanoid, or physical AI system, through perception, learning, control, or physical action, creates a condition in which a physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.","물리 에이전트가 그리퍼 형상, 그리퍼 유형, 실현 가능한 접촉 역학이 부과하는 제약을 위반하는 행동 을 선택하는 리스크.","The risk that a physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.",True,False,1,1,,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,,General,SRC-G-0011,RAI4-0184,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,Physical,INSTRUCTION_PROMPT,P_SYS_CONTROL,0.661463,L3_MASTER_AI_REWRITE
RAI4-0211,,,안전 강화학습 제약 위반,Safe reinforcement learning constraint violation,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정이 강화 학습 정책이 안전 한계나 제약 조건을 위반하면서도 과제 목표를 달성하여, 성능 최적화가 안전성보다 우선되는 리스크.",The risk that a reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.,강화학습 정책이 비용이나 한계로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 리스크.,The risk that a reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.,True,False,1,1,,"Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",,General,SRC-G-0012,RAI4-0211,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,Agentic,INSTRUCTION_PROMPT,A_SYS_GOAL,0.665721,L3_MASTER_AI_REWRITE
RAI4-0228,,,위험 지시 거부 실패,Failure to reject hazardous instructions,체화형 에이전트가 물리적 위험을 수반하는 지시가 명시적으로 제시되었거나 일반적인 작업 지시에 암묵적으로 포함되어 있는 경우에도 이를 식별·거부하지 못하고 안전하지 않은 작업을 수행하는 리스크.,"The risk that a robot, humanoid, or physical AI system, through perception, learning, control, or physical action, creates a condition in which an embodied agent fails to identify and reject a physical hazard instruction, whether explicitly stated or implicit in otherwise ordinary task requests, and proceeds toward unsafe execution.","체화형 에이전트가 명시적으로 진술되었든 평범한 작업 지시에 암묵적으로 숨어 있든 물리적 위험 지 시를 식별·거부하지 못하고, 안전하지 않은 작업 실행으로 나아가는 리스크.","The risk that an embodied agent fails to identify and reject a physical hazard instruction, whether explicitly stated or implicit in otherwise ordinary task requests, and proceeds toward unsafe execution.",True,False,1,1,,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,,General,SRC-G-0013,RAI4-0228,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,Physical,INSTRUCTION_PROMPT,P_INT_SAFETY,0.75979,L3_MASTER_AI_REWRITE
RAI4-0233,,,안전-성능 균형 실패,Safety-performance trade-off failure,로봇·휴머노이드 또는 피지컬 AI 시스템의 지각·학습·제어·물리적 행동 과정이 조작 정책이 작업 완료율이나 성능을 향상시키는 과정에서 충돌 회피 또는 명시적 안전 제약 준수를 저해하는 리스크.,"The risk that the perception, learning, control, or physical action of a robot, humanoid, or physical AI system creates a condition in which a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.",조작 정책이 충돌 회피나 명시적 안전 제약을 희생하면서 작업 완료율을 향상시키는 리스크.,The risk that a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.,True,False,1,1,,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,,General,SRC-G-0014,RAI4-0233,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,Physical,INSTRUCTION_PROMPT,P_INT_SAFETY,0.752803,L3_MASTER_AI_REWRITE
RAI4-0274,,,헌법적 안전 규칙 집행 실패,Failure to enforce constitutional safety rules,로봇·휴머노이드 또는 피지컬 AI 시스템의 지각·학습·제어·물리적 행동 과정이 규칙 기반(헌법적) 안전 계층이 지시·맥락·작업 프레이밍이 명시된 안전 규칙과 충돌할 때 해당 규칙을 적용하지 못하는 리스크.,"The risk that a robot, humanoid, or physical AI system, through perception, learning, control, or physical action, creates a condition in which a constitutional safety layer fails to apply its stated physical safety rules when instructions, visual context, or task framing conflict with those rules.",헌법적 안전 계층이 지시·시각 맥락·작업 프레이밍이 명시된 물리적 안전 규칙과 충돌할 때 해당 규칙 을 적용하지 못하는 위험.,"A constitutional safety layer fails to apply its stated physical safety rules when instructions, visual context, or task framing conflict with those rules.",True,False,1,1,,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,,General,SRC-G-0015,RAI4-0274,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,Physical,INSTRUCTION_PROMPT,P_INT_SAFETY,0.713734,L3_MASTER_AI_REWRITE
RAI4-0470,,,감독 회피·수정 저항,Oversight evasion and correction resistance,AI 에이전트의 목표 추구·계획·도구 사용·행동 과정이 시스템의 역량이 증가함에 따라 수정에 저항하거나 감독을 회피하거나 의도된 운영 범위를 벗어나 행동하여 인간의 통제 가능성을 저해하는 리스크.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which increasingly capable systems resist correction, evade oversight, or act beyond intended bounds.",점점 더 유능해지는 시스템이 수정에 저항하거나 감독을 회피하거나 의도된 범위를 넘어 행동하는 리스크.,"The risk that increasingly capable systems resist correction, evade oversight, or act beyond intended bounds.",True,False,1,1,,"Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",,General,SRC-G-0016,RAI4-0470,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,Agentic,INSTRUCTION_PROMPT,A_SYS_SELFCOR,0.745238,L3_MASTER_AI_REWRITE
RAI4-0494,,,규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure","AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 규제, 관리, 운영상의 실패가 상호 작용하며 누적되어 피해를 초래하는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which harms result from a combination of regulatory, management, and operational failures.",규제·관리·운영상의 실패가 복합적으로 결합되어 피해가 발생하는 리스크.,"The risk that harms result from a combination of regulatory, management, and operational failures.",True,False,1,1,,"영문 Title을 description 내용과 형식에 맞추어 수정할것. 수정예시: Combined Regulatory, Governance, and Operational Failure",,General,SRC-G-0017,RAI4-0494,EDIT|REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.68908,L3_MASTER_AI_REWRITE
RAI4-0516,,,잘못된 위험 측정과 예측 오류,Incorrect risk measurement and prediction,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 위험을 측정·추적하기 위한 지표가 위험을 불완전하게 포착하거나 잘못 측정하고, 시스템의 예측 또한 부정확하여 의사 결정이 왜곡된 정보에 기반하게되는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which metrics selected to measure or track a risk capture it incompletely or target the wrong risk for the context, and that systems fail to make correct predictions, so decisions rest on inaccurate measurement and erroneous outputs.","위험을 측정·추적하기 위해 선택한 지표가 위험을 불완전하게 포착하거나 맥락에 맞지 않는 위험을 측정하고 시스템의 예측 또한 부정확하여, 의사결정이 잘못된 측정과 오류 있는 출력에 기초하게 되 는 리스크.","The risk that metrics selected to measure or track a risk capture it incompletely or target the wrong risk for the context, and that systems fail to make correct predictions, so decisions rest on inaccurate measurement and erroneous outputs.",True,False,1,1,,,,General,SRC-G-0018,RAI4-0516,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.761747,L3_MASTER_AI_REWRITE
RAI4-0671,,,복지 혜택 및 자격 상실,Denial of welfare benefits and entitlements,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 기술 시스템의 오작동, 사용 또는 오용으로 인해 복지 급여, 연금, 주거 지원 등 사회 보장 혜택이나 수급 자격에 대한 접근이 거부되거나 상실되는 리스크.","The risk that an AI system causes, enables, or contributes to denial of or loss of access to welfare benefits, pensions, housing, and similar entitlements due to the malfunction, use, or misuse of a technology system.","기술 시스템의 오작동, 사용 또는 오용으로 복지 급여, 연금, 주거 등에 대한 접근이 거부되거나 상실되는 리스크","The risk of denial of or loss of access to welfare benefits, pensions, housing, and similar entitlements due to the malfunction, use, or misuse of a technology system.",True,False,1,1,,,,General,SRC-G-0019,RAI4-0671,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_OREF,0.773247,L3_MASTER_AI_REWRITE
RAI4-0850,,,점진적인 통제력 상실,Gradual loss of control,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 비교적 경미한 장애나 실패가 누적되어 시스템의 회복력이 점진적으로 약화되고, 결국 중대한 사건이 발생했을 때 대규모 피해나 재앙적 결과로 이어지는 통제력 상실 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which the accumulation of less severe disruptions gradually weakens systemic resilience until a critical event triggers a catastrophe, constituting gradual or accumulative loss of control.","덜 심각한 중단들이 축적되어 체계적 회복력이 점진적으로 약화되고 결국 중대한 사건이 재앙을 촉발하는, 통제력의 점진적·누적적 상실 리스크","The risk that the accumulation of less severe disruptions gradually weakens systemic resilience until a critical event triggers a catastrophe, constituting gradual or accumulative loss of control.",True,False,1,1,,,,General,SRC-G-0020,RAI4-0850,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SOC_GOV,0.670191,L3_MASTER_AI_REWRITE
RAI4-0166,F03,AD,사용자 이해력 과부하,User comprehension overload,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 시스템 정보, 경고, 설명이 사용자가 이해하고 대응할 수 있는 범위를 초과하는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which system information, warnings, or explanations exceed users' ability to understand and act on them.","시스템 정보, 경고, 설명이 사용자가 이해하고 대응할 수 있는 범위를 초과하는 리스크.","The risk that system information, warnings, or explanations exceed users' ability to understand and act on them.",False,False,Risk 정의와 동일함,,,,,General,SRC-G-0021,RAI4-0166,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_OEXT,0.791566,L3_MASTER_AI_REWRITE
RAI4-0195,F03,AD,명령의 구현체별 하드웨어 한계 초과,Command exceeds embodiment-specific hardware limits,모델이 배포된 로봇의 알려진 도달 범위·탑재 하중·액추에이터·관절·엔드이펙터 한계를 넘는 명령을 내리는 위험.,"The risk that a model issues a command that exceeds the known reach, payload, actuator, joint, or endeffector limits of the robot on which it is deployed.",모델이 배포된 로봇의 알려진 도달 범위·탑재 하중·액추에이터·관절·엔드이펙터 한계를 넘는 명령을 내리는 위험.,"A model issues a command that exceeds the known reach, payload, actuator, joint, or endeffector limits of the robot on which it is deployed.",False,False,신규 L4,,,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,,General,SRC-G-0022,RAI4-0195,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,Physical,INSTRUCTION_PROMPT,P_SYS_CONTROL,0.706846,L3_MASTER_VALIDATED
RAI4-0471,F03,AD,역량 오버행,Capability overhang,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 잠재 역량이 평가·모니터링·거버넌스 절차가 탐지하는 수준을 초과하는 리스크.,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which latent capabilities exceed what evaluation, monitoring, or governance processes detect.",잠재 역량이 평가·모니터링·거버넌스 절차가 탐지하는 수준을 초과하는 리스크.,"The risk that latent capabilities exceed what evaluation, monitoring, or governance processes detect.",False,False,신규 L4,,,,,General,SRC-G-0023,RAI4-0471,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_OEXT,0.784193,L3_MASTER_AI_REWRITE
