source_row_id,source_domain,source_l4_id,title_ko_before,title_ko_after,title_en_before,title_en_after,title_changed,normalisation_rule
SRC-G-0017,General,RAI4-0494,규제·관리·운영 복합 실패,규제·관리·운영 복합 실패,"Combined Regulatory, Governance, and Operational Failure","Combined Regulatory, Governance, and Operational Failure",False,RETAIN_STANDARD_TERM
SRC-G-0018,General,RAI4-0516,잘못된 위험 측정과 예측 오류,잘못된 위험 측정과 예측 오류,Incorrect risk measurement and prediction,Incorrect risk measurement and prediction,False,RETAIN_STANDARD_TERM
SRC-G-0019,General,RAI4-0671,복지 혜택 및 자격 상실,복지 혜택 및 자격 상실,Denial of welfare benefits and entitlements,Denial of welfare benefits and entitlements,False,RETAIN_STANDARD_TERM
SRC-G-0020,General,RAI4-0850,점진적인 통제력 상실,점진적인 통제력 상실,Gradual loss of control,Gradual loss of control,False,RETAIN_STANDARD_TERM
SRC-G-0021,General,RAI4-0166,사용자 이해력 과부하,사용자 이해력 과부하,User comprehension overload,User comprehension overload,False,RETAIN_STANDARD_TERM
SRC-G-0022,General,RAI4-0195,명령의 구현체별 하드웨어 한계 초과,명령의 구현체별 하드웨어 한계 초과,Command exceeds embodiment-specific hardware limits,Command exceeds embodiment-specific hardware limits,False,RETAIN_STANDARD_TERM
SRC-G-0023,General,RAI4-0471,역량 오버행,역량 오버행,Capability overhang,Capability overhang,False,RETAIN_STANDARD_TERM
SRC-G-0024,General,RAI4-1006,가중되는 노동 부담,가중되는 노동 부담,Increased labor burden,Increased labor burden,False,RETAIN_STANDARD_TERM
SRC-G-0025,General,RAI4-0635,합성 콘텐츠의 진위 식별 실패와 지속적 피해,합성 콘텐츠의 진위 식별 실패와 지속적 피해,Failure to distinguish synthetic content and persistent harm,Failure to distinguish synthetic content and persistent harm,False,RETAIN_STANDARD_TERM
SRC-G-0028,General,RAI4-0808,사실과 다른 오도성 정보 생성,사실과 다른 오도성 정보 생성,Generation of factually incorrect and misleading information,Generation of factually incorrect and misleading information,False,RETAIN_STANDARD_TERM
SRC-G-0029,General,RAI4-0810,성실성 오류,성실성 오류,Faithfulness errors,Faithfulness errors,False,RETAIN_STANDARD_TERM
SRC-G-0030,General,RAI4-0832,알고리즘 시스템에 의한 정보 기반 피해,알고리즘 시스템에 의한 정보 기반 피해,Information-based Harms from Algorithmic Systems,Information-based Harms from Algorithmic Systems,False,RETAIN_STANDARD_TERM
SRC-G-0031,General,RAI4-0844,허위·오도 정보 유포에 의한 기만과 양극화,허위·오도 정보 유포에 의한 기만과 양극화,Deception and polarisation from false information,Deception and polarisation from false information,False,RETAIN_STANDARD_TERM
SRC-G-0032,General,RAI4-1057,대규모 허위정보 생산·확산 장벽 저하,대규모 허위정보 생산·확산 장벽 저하,Lowered barriers to large-scale disinformation production and dissemination,Lowered barriers to large-scale disinformation production and dissemination,False,RETAIN_STANDARD_TERM
SRC-G-0033,General,RAI4-1125,선거 제도와 절차에 관한 허위정보,선거 제도와 절차에 관한 허위정보,False information about electoral systems and processes,False information about electoral systems and processes,False,RETAIN_STANDARD_TERM
SRC-G-0036,General,RAI4-1630,데이터 오해석·유출에 의한 오결론과 민감정보 확산,데이터 오해석·유출에 의한 오결론과 민감정보 확산,Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage,Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage,False,RETAIN_STANDARD_TERM
SRC-G-0037,General,RAI4-0363,소수·복수 가치의 소거와 규범적 획일화,소수·복수 가치의 소거와 규범적 획일화,Erasure of minority and plural values through normative homogenization,Erasure of minority and plural values through normative homogenization,False,RETAIN_STANDARD_TERM
SRC-G-0038,General,RAI4-0373,문화 간 고정관념 전이,문화 간 고정관념 전이,Cross-cultural stereotype transfer,Cross-cultural stereotype transfer,False,RETAIN_STANDARD_TERM
SRC-G-0039,General,RAI4-0374,문화적 맥락 붕괴,문화적 맥락 붕괴,Cultural context collapse,Cultural context collapse,False,RETAIN_STANDARD_TERM
SRC-G-0040,General,RAI4-0379,문화 간 평가 격차,문화 간 평가 격차,Cross-cultural evaluation gap,Cross-cultural evaluation gap,False,RETAIN_STANDARD_TERM
SRC-G-0041,General,RAI4-0380,저자원 언어 가치 손실,저자원 언어 가치 손실,Low-resource language value loss,Low-resource language value loss,False,RETAIN_STANDARD_TERM
SRC-G-0042,General,RAI4-0382,방언·언어 사용역 배제,방언·언어 사용역 배제,Dialect and register exclusion,Dialect and register exclusion,False,RETAIN_STANDARD_TERM
SRC-G-0043,General,RAI4-0389,지식 체계 배제,지식 체계 배제,Knowledge-system marginalization,Knowledge-system marginalization,False,RETAIN_STANDARD_TERM
SRC-G-0044,General,RAI4-0404,데이터세트 문화 샘플링 편향,데이터세트 문화 샘플링 편향,Dataset cultural sampling bias,Dataset cultural sampling bias,False,RETAIN_STANDARD_TERM
SRC-G-0045,General,RAI4-0414,글로벌 벤치마크 단일문화,글로벌 벤치마크 단일문화,Global benchmark monoculture,Global benchmark monoculture,False,RETAIN_STANDARD_TERM
SRC-G-0046,General,RAI4-0699,학습 데이터에 내재된 역사적·인구학적 편향,학습 데이터에 내재된 역사적·인구학적 편향,Historical and demographic bias embedded in training data,Historical and demographic bias embedded in training data,False,RETAIN_STANDARD_TERM
SRC-G-0047,General,RAI4-1046,집단별 성능 격차·고정관념 인코딩,집단별 성능 격차·고정관념 인코딩,Demographic performance disparity and stereotype encoding,Demographic performance disparity and stereotype encoding,False,RETAIN_STANDARD_TERM
SRC-G-0048,General,RAI4-1107,데이터와 산출물에서의 집단 재현 불균형,데이터와 산출물에서의 집단 재현 불균형,Imbalanced representation of groups in data and outputs,Imbalanced representation of groups in data and outputs,False,RETAIN_STANDARD_TERM
SRC-G-0049,General,RAI4-1145,맥락적 사회 규범 위반,맥락적 사회 규범 위반,Violation of contextual social norms,Violation of contextual social norms,False,RETAIN_STANDARD_TERM
SRC-G-0050,General,RAI4-1668,사전학습 코퍼스 불일치에 의한 가치 어긋남,사전학습 코퍼스 불일치에 의한 가치 어긋남,Value mismatch from divergence between pretraining corpora and societal values,Value mismatch from divergence between pretraining corpora and societal values,False,RETAIN_STANDARD_TERM
SRC-G-0051,General,RAI4-0070,사고 분류 단편화,사고 분류 단편화,Incident taxonomy fragmentation,Incident taxonomy fragmentation,False,RETAIN_STANDARD_TERM
SRC-G-0052,General,RAI4-0418,주석 불일치 억제,주석 불일치 억제,Annotation disagreement suppression,Annotation disagreement suppression,False,RETAIN_STANDARD_TERM
SRC-G-0053,General,RAI4-0708,언어·인구 집단 간 성능 격차,언어·인구 집단 간 성능 격차,Performance disparity across language and demographic groups,Performance disparity across language and demographic groups,False,RETAIN_STANDARD_TERM
SRC-G-0054,General,RAI4-0716,집단 속성에 따른 배분적 불의,집단 속성에 따른 배분적 불의,Allocative injustice by group attribute,Allocative injustice by group attribute,False,RETAIN_STANDARD_TERM
SRC-G-0055,General,RAI4-0821,지식 분포 변화에 따른 응답 노후화,지식 분포 변화에 따른 응답 노후화,Answer obsolescence from knowledge distribution shift,Answer obsolescence from knowledge distribution shift,False,RETAIN_STANDARD_TERM
SRC-G-0056,General,RAI4-0822,맥락 일관성 추구에 의한 아첨과 환각 증폭,맥락 일관성 추구에 의한 아첨과 환각 증폭,Sycophancy and hallucination from context consistency,Sycophancy and hallucination from context consistency,False,RETAIN_STANDARD_TERM
SRC-G-0057,General,RAI4-0938,사회적 가치·윤리 규범과 상충하는 모델 출력,사회적 가치·윤리 규범과 상충하는 모델 출력,Model outputs conflicting with societal ethical values,Model outputs conflicting with societal ethical values,False,RETAIN_STANDARD_TERM
SRC-G-0058,General,RAI4-0952,글쓰기 능력 저하와 학술 문헌 오염,글쓰기 능력 저하와 학술 문헌 오염,Writing skill erosion and scientific literature pollution,Writing skill erosion and scientific literature pollution,False,RETAIN_STANDARD_TERM
SRC-G-0059,General,RAI4-1041,분포 외 입력에 대한 고신뢰 오작동,분포 외 입력에 대한 고신뢰 오작동,High-confidence failure on out-of-distribution inputs,High-confidence failure on out-of-distribution inputs,False,RETAIN_STANDARD_TERM
SRC-G-0060,General,RAI4-1187,출력 불일치,출력 불일치,Output inconsistency,Output inconsistency,False,RETAIN_STANDARD_TERM
SRC-G-0061,General,RAI4-1228,프롬프트 품질 결함으로 인한 오류,프롬프트 품질 결함으로 인한 오류,Errors from poor prompt quality,Errors from poor prompt quality,False,RETAIN_STANDARD_TERM
SRC-G-0062,General,RAI4-1509,벤치마크 오염에 의한 모델 평가 무효화,벤치마크 오염에 의한 모델 평가 무효화,Benchmark contamination invalidating model evaluation,Benchmark contamination invalidating model evaluation,False,RETAIN_STANDARD_TERM
SRC-G-0063,General,RAI4-1515,사고연쇄와 불일치하는 모델 출력,사고연쇄와 불일치하는 모델 출력,Model outputs inconsistent with chain-ofthought reasoning,Model outputs inconsistent with chain-ofthought reasoning,False,RETAIN_STANDARD_TERM
SRC-G-0064,General,RAI4-1516,인코딩된 추론,인코딩된 추론,Encoded reasoning,Encoded reasoning,False,RETAIN_STANDARD_TERM
SRC-G-0065,General,RAI4-1523,무관한 문맥에 의한 모델 성능 저하,무관한 문맥에 의한 모델 성능 저하,Performance degradation from irrelevant context,Performance degradation from irrelevant context,False,RETAIN_STANDARD_TERM
SRC-G-0066,General,RAI4-1526,프롬프트 형식 민감성으로 인한 평가 신뢰성 저하,프롬프트 형식 민감성으로 인한 평가 신뢰성 저하,Evaluation unreliability from promptformat sensitivity,Evaluation unreliability from promptformat sensitivity,False,RETAIN_STANDARD_TERM
SRC-G-0067,General,RAI4-1702,분포 변화에 대한 AI 평가·검증 실패,분포 변화에 대한 AI 평가·검증 실패,AI evaluation failure under distribution shift,AI evaluation failure under distribution shift,False,RETAIN_STANDARD_TERM
SRC-G-0068,General,RAI4-0186,물리적 상식 위반,물리적 상식 위반,Commonsense physicality violation,Commonsense physicality violation,False,RETAIN_STANDARD_TERM
SRC-G-0069,General,RAI4-0338,장기 작업의 단계 간 오차 누적,장기 작업의 단계 간 오차 누적,Cross-stage error accumulation in long tasks,Cross-stage error accumulation in long tasks,False,RETAIN_STANDARD_TERM
SRC-G-0070,General,RAI4-0365,규범적 잠금,규범적 잠금,Normative lock-in,Normative lock-in,False,RETAIN_STANDARD_TERM
SRC-G-0071,General,RAI4-0371,서구 규범 기본값화,서구 규범 기본값화,Western normative defaulting,Western normative defaulting,False,RETAIN_STANDARD_TERM
SRC-G-0072,General,RAI4-0397,RLHF 규범적 과적합,RLHF 규범적 과적합,RLHF normative overfitting,RLHF normative overfitting,False,RETAIN_STANDARD_TERM
SRC-G-0074,General,RAI4-0785,안전 미세조정 일반화 격차 악용,안전 미세조정 일반화 격차 악용,Exploitation of safety-fine-tuning generalization gaps,Exploitation of safety-fine-tuning generalization gaps,False,RETAIN_STANDARD_TERM
SRC-G-0075,General,RAI4-0814,역사 수정주의적 서술 생성,역사 수정주의적 서술 생성,Generation of historically revisionist accounts,Generation of historically revisionist accounts,False,RETAIN_STANDARD_TERM
SRC-G-0076,General,RAI4-1053,배제적 규범 인코딩,배제적 규범 인코딩,Exclusionary norm encoding,Exclusionary norm encoding,False,RETAIN_STANDARD_TERM
SRC-G-0077,General,RAI4-1161,장기 계획 역량에 의한 감독 불가 행동 경로 추구,장기 계획 역량에 의한 감독 불가 행동 경로 추구,Unsupervisable action pathways from long-horizon planning capability,Unsupervisable action pathways from long-horizon planning capability,False,RETAIN_STANDARD_TERM
SRC-G-0078,General,RAI4-0041,에이전트 벤치마크의 커버리지-깊이 착시,에이전트 벤치마크의 커버리지-깊이 착시,Coverage-depth illusion in agent benchmarks,Coverage-depth illusion in agent benchmarks,False,RETAIN_STANDARD_TERM
SRC-G-0079,General,RAI4-0057,AI 결정·행동에 대한 감사 추적 불완전성,AI 결정·행동에 대한 감사 추적 불완전성,Incomplete audit trails for AI decisions and actions,Incomplete audit trails for AI decisions and actions,False,RETAIN_STANDARD_TERM
SRC-G-0080,General,RAI4-0059,문서화 누락,문서화 누락,Documentation omission,Documentation omission,False,RETAIN_STANDARD_TERM
SRC-G-0081,General,RAI4-0064,감사자 독립성 실패,감사자 독립성 실패,Auditor independence failure,Auditor independence failure,False,RETAIN_STANDARD_TERM
SRC-G-0082,General,RAI4-0067,보증 사례 실패,보증 사례 실패,Assurance case failure,Assurance case failure,False,RETAIN_STANDARD_TERM
SRC-G-0083,General,RAI4-0082,역량 평가 비공개,역량 평가 비공개,Capability evaluation non-disclosure,Capability evaluation non-disclosure,False,RETAIN_STANDARD_TERM
SRC-G-0084,General,RAI4-0126,설명 실행 가능성 격차,설명 실행 가능성 격차,Explanation actionability gap,Explanation actionability gap,False,RETAIN_STANDARD_TERM
SRC-G-0085,General,RAI4-0134,임상 의사결정 지원 AI에 대한 과신,임상 의사결정 지원 AI에 대한 과신,Overconfidence in AI clinical decision support,Overconfidence in AI clinical decision support,False,RETAIN_STANDARD_TERM
SRC-G-0086,General,RAI4-0402,가치 충돌 불투명성,가치 충돌 불투명성,Value conflict opacity,Value conflict opacity,False,RETAIN_STANDARD_TERM
SRC-G-0087,General,RAI4-0419,이해관계자 이견 은폐,이해관계자 이견 은폐,Multi-stakeholder disagreement concealment,Multi-stakeholder disagreement concealment,False,RETAIN_STANDARD_TERM
SRC-G-0088,General,RAI4-0484,AI 에이전트 메모리의 자기 교정 실패,AI 에이전트 메모리의 자기 교정 실패,Self-correction failure in AI-agent memory,Self-correction failure in AI-agent memory,False,RETAIN_STANDARD_TERM
SRC-G-0089,General,RAI4-0541,데이터 출처 검증 불가,데이터 출처 검증 불가,Unverifiable data provenance,Unverifiable data provenance,False,RETAIN_STANDARD_TERM
SRC-G-0090,General,RAI4-0546,감사자 역량 부족에 따른 과대 보증,감사자 역량 부족에 따른 과대 보증,Over-assurance from insufficient auditor capacity,Over-assurance from insufficient auditor capacity,False,RETAIN_STANDARD_TERM
SRC-G-0091,General,RAI4-0588,설명·출처 추적·재현성의 상실,설명·출처 추적·재현성의 상실,"Loss of explainability, provenance, and reproducibility","Loss of explainability, provenance, and reproducibility",False,RETAIN_STANDARD_TERM
SRC-G-0092,General,RAI4-0590,불충분한 정보에 기반한 조언,불충분한 정보에 기반한 조언,Advice given on insufficient information,Advice given on insufficient information,False,RETAIN_STANDARD_TERM
SRC-G-0093,General,RAI4-0596,AI 문서화 및 의사결정의 투명성·설명가능성 부족,AI 문서화 및 의사결정의 투명성·설명가능성 부족,Insufficient transparency and explainability across AI documentation and decisions,Insufficient transparency and explainability across AI documentation and decisions,False,RETAIN_STANDARD_TERM
SRC-G-0094,General,RAI4-0818,확신에 찬 부정확한 답변과 근거 제시,확신에 찬 부정확한 답변과 근거 제시,Confidently asserted but unsound answers and justifications,Confidently asserted but unsound answers and justifications,False,RETAIN_STANDARD_TERM
SRC-G-0095,General,RAI4-1120,재앙으로 번지는 사고,재앙으로 번지는 사고,Accidents cascading into catastrophe,Accidents cascading into catastrophe,False,RETAIN_STANDARD_TERM
SRC-G-0096,General,RAI4-1129,광범위 배포 비서의 안전하지 않은 탐색,광범위 배포 비서의 안전하지 않은 탐색,Unsafe exploration by widely deployed assistants,Unsafe exploration by widely deployed assistants,False,RETAIN_STANDARD_TERM
SRC-G-0097,General,RAI4-1163,자기·상황 인식에 따른 평가 인지 행동 변화,자기·상황 인식에 따른 평가 인지 행동 변화,Evaluation-aware behaviour shifting by situationally aware models,Evaluation-aware behaviour shifting by situationally aware models,False,RETAIN_STANDARD_TERM
SRC-G-0098,General,RAI4-1175,안전하지 않은 견해 내포 질의,안전하지 않은 견해 내포 질의,Inquiry embedding unsafe opinion,Inquiry embedding unsafe opinion,False,RETAIN_STANDARD_TERM
SRC-G-0099,General,RAI4-1195,모델 판단 근거 이해 불가,모델 판단 근거 이해 불가,Uninterpretable model decision reasoning,Uninterpretable model decision reasoning,False,RETAIN_STANDARD_TERM
SRC-G-0100,General,RAI4-1296,검증 불가능한 AI 의사결정의 책임 공백,검증 불가능한 AI 의사결정의 책임 공백,Accountability void for unverifiable AI decisions,Accountability void for unverifiable AI decisions,False,RETAIN_STANDARD_TERM
SRC-G-0101,General,RAI4-1300,모델 불투명도,모델 불투명도,Model opacity,Model opacity,False,RETAIN_STANDARD_TERM
SRC-G-0102,General,RAI4-1303,기능·책임 명세 공백,기능·책임 명세 공백,Specification gaps in functionality and responsibility,Specification gaps in functionality and responsibility,False,RETAIN_STANDARD_TERM
SRC-G-0103,General,RAI4-1384,의사결정 이해 불능,의사결정 이해 불능,Unintelligible agent decisions,Unintelligible agent decisions,False,RETAIN_STANDARD_TERM
SRC-G-0104,General,RAI4-1486,조직 간 데이터 문서화 부재,조직 간 데이터 문서화 부재,Missing cross-organizational data documentation,Missing cross-organizational data documentation,False,RETAIN_STANDARD_TERM
SRC-G-0105,General,RAI4-1514,해석가능성 결과에 대한 과대평가와 거짓 확 신,해석가능성 결과에 대한 과대평가와 거짓 확 신,Overestimation of interpretability results,Overestimation of interpretability results,False,RETAIN_STANDARD_TERM
SRC-G-0106,General,RAI4-0033,에이전트의 안전하지 않은 도구 사용,에이전트의 안전하지 않은 도구 사용,Unsafe or out-of-scope agent tool use,Unsafe or out-of-scope agent tool use,False,RETAIN_STANDARD_TERM
SRC-G-0107,General,RAI4-0034,에뮬레이션 도구 환경 불일치,에뮬레이션 도구 환경 불일치,Emulated tool-environment mismatch,Emulated tool-environment mismatch,False,RETAIN_STANDARD_TERM
SRC-G-0108,General,RAI4-0038,에이전트 안전의 사용자 의도 오분류,에이전트 안전의 사용자 의도 오분류,User-intent misclassification in agent safety,User-intent misclassification in agent safety,False,RETAIN_STANDARD_TERM
SRC-G-0109,General,RAI4-0344,사용자 능력 불일치,사용자 능력 불일치,User capability mismatch,User capability mismatch,False,RETAIN_STANDARD_TERM
SRC-G-0110,General,RAI4-0364,다원적 선호 집계 실패,다원적 선호 집계 실패,Pluralistic preference aggregation failure,Pluralistic preference aggregation failure,False,RETAIN_STANDARD_TERM
SRC-G-0111,General,RAI4-0366,최적화 하의 가치 드리프트,최적화 하의 가치 드리프트,Value drift under optimization,Value drift under optimization,False,RETAIN_STANDARD_TERM
SRC-G-0112,General,RAI4-0399,무해성 선호 불일치,무해성 선호 불일치,Harmlessness preference mismatch,Harmlessness preference mismatch,False,RETAIN_STANDARD_TERM
SRC-G-0113,General,RAI4-0468,대리 보상 오명세·명세 게이밍 및 보상 변조,대리 보상 오명세·명세 게이밍 및 보상 변조,"Proxy-reward misspecification, specification gaming, and reward tampering","Proxy-reward misspecification, specification gaming, and reward tampering",False,RETAIN_STANDARD_TERM
SRC-G-0114,General,RAI4-0572,감독 회피를 위한 AI 에이전트의 기만적 정렬,감독 회피를 위한 AI 에이전트의 기만적 정렬,Deceptive alignment to evade oversight,Deceptive alignment to evade oversight,False,RETAIN_STANDARD_TERM
SRC-G-0115,General,RAI4-0581,목표 범위 확장 성향,목표 범위 확장 성향,Goal expansion propensity,Goal expansion propensity,False,RETAIN_STANDARD_TERM
SRC-G-0116,General,RAI4-0591,인간 가치와의 AI 목표 오정렬,인간 가치와의 AI 목표 오정렬,Misalignment of AI goals with human values,Misalignment of AI goals with human values,False,RETAIN_STANDARD_TERM
SRC-G-0117,General,RAI4-0893,모의된 정동에 의한 기대 위반과 배신감,모의된 정동에 의한 기대 위반과 배신감,Violated expectations from simulated affect,Violated expectations from simulated affect,False,RETAIN_STANDARD_TERM
SRC-G-0118,General,RAI4-0970,AGI 목표 안전성 확보 실패,AGI 목표 안전성 확보 실패,Failure to secure AGI goal safety,Failure to secure AGI goal safety,False,RETAIN_STANDARD_TERM
SRC-G-0119,General,RAI4-1112,모델 오설정과 정량화되지 않은 예측 불확실 성,모델 오설정과 정량화되지 않은 예측 불확실 성,Model misspecification and unquantified prediction uncertainty,Model misspecification and unquantified prediction uncertainty,False,RETAIN_STANDARD_TERM
SRC-G-0120,General,RAI4-1122,목표 드리프트,목표 드리프트,Goal drift,Goal drift,False,RETAIN_STANDARD_TERM
SRC-G-0123,General,RAI4-1133,분포 이동에서의 목표 오일반화와 기만적 정 렬,분포 이동에서의 목표 오일반화와 기만적 정 렬,Goal misgeneralization and deceptive alignment under distribution shift,Goal misgeneralization and deceptive alignment under distribution shift,False,RETAIN_STANDARD_TERM
SRC-G-0124,General,RAI4-1241,메사 최적화 목표 불일치,메사 최적화 목표 불일치,Misaligned mesa-optimization objectives,Misaligned mesa-optimization objectives,False,RETAIN_STANDARD_TERM
SRC-G-0125,General,RAI4-1285,배포 후 잔존 결함으로 인한 오작동,배포 후 잔존 결함으로 인한 오작동,Undesirable outcomes from residual post-deployment defects,Undesirable outcomes from residual post-deployment defects,False,RETAIN_STANDARD_TERM
SRC-G-0127,General,RAI4-1323,자율적 장기 목표 이탈,자율적 장기 목표 이탈,Autonomous long-horizon goal divergence,Autonomous long-horizon goal divergence,False,RETAIN_STANDARD_TERM
SRC-G-0129,General,RAI4-1460,성능 요구사항 계획 미흡,성능 요구사항 계획 미흡,Inadequate performance requirement planning,Inadequate performance requirement planning,False,RETAIN_STANDARD_TERM
SRC-G-0130,General,RAI4-1498,LLM 평가자 오판,LLM 평가자 오판,Faulty LLM-as-evaluator judgments,Faulty LLM-as-evaluator judgments,False,RETAIN_STANDARD_TERM
SRC-G-0132,General,RAI4-1645,자연어 목표 과소지정에 의한 부정적 부수효 과,자연어 목표 과소지정에 의한 부정적 부수효 과,Negative side effects from goal underspecification in natural language,Negative side effects from goal underspecification in natural language,False,RETAIN_STANDARD_TERM
SRC-G-0133,General,RAI4-1646,목표 지향성에 따른 유해한 도구적 목표와 권력 추구,목표 지향성에 따른 유해한 도구적 목표와 권력 추구,Harmful instrumental goals and power-seeking from goal-directedness,Harmful instrumental goals and power-seeking from goal-directedness,False,RETAIN_STANDARD_TERM
SRC-G-0134,General,RAI4-1692,자체 시뮬레이션을 통한 기만적 정렬,자체 시뮬레이션을 통한 기만적 정렬,Deceptive alignment via self-simulation,Deceptive alignment via self-simulation,False,RETAIN_STANDARD_TERM
SRC-G-0135,General,RAI4-1704,통제 미집행에 의한 목표 오정렬 및 창발 행동,통제 미집행에 의한 목표 오정렬 및 창발 행동,Agent goal misalignment and emergent behavior from unenforced control,Agent goal misalignment and emergent behavior from unenforced control,False,RETAIN_STANDARD_TERM
SRC-G-0136,General,RAI4-0055,자동화된 의사결정의 적법절차 상실,자동화된 의사결정의 적법절차 상실,Loss of due process in automated decisions,Loss of due process in automated decisions,False,RETAIN_STANDARD_TERM
SRC-G-0137,General,RAI4-0117,인간의 의사결정 능력·거부권 침식,인간의 의사결정 능력·거부권 침식,Erosion of human decision-making capacity and veto,Erosion of human decision-making capacity and veto,False,RETAIN_STANDARD_TERM
SRC-G-0138,General,RAI4-0139,동의 없는 AI 중재 넛지,동의 없는 넛지,AI-mediated nudging without consent,Nudging without consent,True,AUTHORITATIVE_OVERRIDE
SRC-G-0139,General,RAI4-0161,인지 오프로딩,인지 오프로딩,Cognitive offloading risk,Cognitive offloading risk,False,RETAIN_STANDARD_TERM
SRC-G-0140,General,RAI4-0168,인간 참여형 형식적 승인,인간 참여형 형식적 승인,Human-in-the-loop rubber stamping,Human-in-the-loop rubber stamping,False,RETAIN_STANDARD_TERM
SRC-G-0141,General,RAI4-0169,AI 의사결정 지원의 경고 피로,AI 의사결정 지원의 경고 피로,Alert fatigue in AI decision support,Alert fatigue in AI decision support,False,RETAIN_STANDARD_TERM
SRC-G-0142,General,RAI4-0171,AI 상호작용에서의 이해·동의 부족,AI 상호작용에서의 이해·동의 부족,Inadequate understanding and consent in AI interactions,Inadequate understanding and consent in AI interactions,False,RETAIN_STANDARD_TERM
SRC-G-0143,General,RAI4-0174,AI 인터페이스의 장애 수용 실패,AI 인터페이스의 장애 수용 실패,Disability accommodation failure in AI interfaces,Disability accommodation failure in AI interfaces,False,RETAIN_STANDARD_TERM
SRC-G-0144,General,RAI4-0178,AI 중재 서비스 제외,서비스 배제,AI-mediated service exclusion,Service exclusion,True,AUTHORITATIVE_OVERRIDE
SRC-G-0145,General,RAI4-0307,로봇·AI 정체성 미고지,로봇·AI 정체성 미고지,Failure to disclose robotic or AI identity,Failure to disclose robotic or AI identity,False,RETAIN_STANDARD_TERM
SRC-G-0146,General,RAI4-0607,AI 생성 콘텐츠 미공개,AI 생성 콘텐츠 미공개,Non-disclosure of AI-generated content,Non-disclosure of AI-generated content,False,RETAIN_STANDARD_TERM
SRC-G-0147,General,RAI4-0826,검증된 전문성 범위를 벗어난 AI 조언,검증된 전문성 범위를 벗어난 AI 조언,AI advice beyond validated professional scope,AI advice beyond validated professional scope,False,RETAIN_STANDARD_TERM
SRC-G-0148,General,RAI4-1198,이용자 정서 맥락 인식 실패,이용자 정서 맥락 인식 실패,Failure to recognize a user's emotional context,Failure to recognize a user's emotional context,False,RETAIN_STANDARD_TERM
