rep_l4_id,label_ko,n_members,l3,l3_conflict,min_within_cos,members
RAI4-0083,벤치마크 거버넌스 실패,1,RAI3-G-SOC-10,False,,RAI4-0083
RAI4-0084,평가 쇼핑 위험,1,RAI3-G-SYS-10,False,,RAI4-0084
RAI4-0085,레드팀 거버넌스 실패,1,RAI3-G-SOC-10,False,,RAI4-0085
RAI4-0086,규제 차익거래,1,RAI3-A-SYS-05,False,,RAI4-0086
RAI4-0087,AI 거버넌스의 규제 포획,1,RAI3-G-SOC-04,False,,RAI4-0087
RAI4-0088,표준 단편화,1,RAI3-G-SOC-10,False,,RAI4-0088
RAI4-0089,국제 조정 실패,1,RAI3-G-SOC-10,False,,RAI4-0089
RAI4-0090,국경 간 집행 격차,1,RAI3-G-SOC-10,False,,RAI4-0090
RAI4-0091,규제 전문성 부족,1,RAI3-G-SOC-10,False,,RAI4-0091
RAI4-0092,감독 자원 제약,1,RAI3-G-SOC-10,False,,RAI4-0092
RAI4-0093,공공 부문 AI 거버넌스 역량 격차,2,RAI3-G-SOC-10,False,0.8379570245742798,RAI4-0093;RAI4-1230
RAI4-0094,집행 공백,1,RAI3-G-SOC-10,False,,RAI4-0094
RAI4-0095,AI 레지스트리 불완전성,1,RAI3-G-SYS-10,False,,RAI4-0095
RAI4-0096,위험 소유권의 모호성,1,RAI3-G-SOC-10,False,,RAI4-0096
RAI4-0097,이사회 감독 실패,1,RAI3-G-SOC-10,False,,RAI4-0097
RAI4-0098,정책-실무 분리,1,RAI3-G-SOC-10,False,,RAI4-0098
RAI4-0099,AI 윤리 준수 위장,1,RAI3-G-SOC-10,False,,RAI4-0099
RAI4-0100,규정 준수 위장,1,RAI3-G-SOC-10,False,,RAI4-0100
RAI4-0101,인간 감독·책임성 위장,1,RAI3-G-SOC-10,False,,RAI4-0101
RAI4-0102,공급업체 불투명성,1,RAI3-G-SYS-10,False,,RAI4-0102
RAI4-0103,AI 공급망 책임 격차,1,RAI3-G-SOC-10,False,,RAI4-0103
RAI4-0104,조달 실사 실패,1,RAI3-G-SOC-10,False,,RAI4-0104
RAI4-0106,범용 AI 다운스트림 불투명성,1,RAI3-G-SYS-10,False,,RAI4-0106
RAI4-0107,프론티어 모델 출시 거버넌스 실패,1,RAI3-G-SOC-10,False,,RAI4-0107
RAI4-0108,역량 임계값 거버넌스 실패,1,RAI3-G-SOC-10,False,,RAI4-0108
RAI4-0109,컴퓨팅 거버넌스 책임 격차,1,RAI3-G-SOC-10,False,,RAI4-0109
RAI4-0111,범용 AI 사고 에스컬레이션 실패,1,RAI3-G-SOC-10,False,,RAI4-0111
RAI4-0112,위임된 의사결정권한 표류,1,RAI3-G-SYS-09,False,,RAI4-0112
RAI4-0114,의미 있는 인간 통제 실패,1,RAI3-G-SYS-01,False,,RAI4-0114
RAI4-0115,행위주체성 위임 고착,1,RAI3-G-SOC-04,False,,RAI4-0115
RAI4-0117,인간 거부권 침식,1,RAI3-G-SYS-09,False,,RAI4-0117
RAI4-0118,결정 소유권 대체,1,RAI3-G-SYS-09,False,,RAI4-0118
RAI4-0119,알고리즘 기반 정체성 변화,1,RAI3-G-SOC-08,False,,RAI4-0119
RAI4-0120,선호 형성 캡처,1,RAI3-G-SOC-05,False,,RAI4-0120
RAI4-0121,선택 아키텍처 불투명성,1,RAI3-G-SYS-10,False,,RAI4-0121
RAI4-0123,인간의 존엄성 침식,2,RAI3-G-SOC-11,True,0.8855359554290771,RAI4-0123;RAI4-0977
RAI4-0126,설명 실행 가능성 격차,1,RAI3-G-SYS-10,False,,RAI4-0126
RAI4-0128,AI 조언 과잉 의존,11,RAI3-G-SOC-08,True,0.6465008854866028,RAI4-0128;RAI4-0135;RAI4-0137;RAI4-0138;RAI4-0452;RAI4-0857;RAI4-0858;RAI4-0901;RAI4-1221;RAI4-1361;RAI4-1482
RAI4-0868,AI 역량에 대한 신뢰 오보정,2,RAI3-G-SYS-07,True,0.8371227979660034,RAI4-0129;RAI4-0868
RAI4-0130,알고리즘 기피 오보정,1,RAI3-G-SYS-07,False,,RAI4-0130
RAI4-0131,의인화된 과잉신뢰,2,RAI3-G-INT-10,True,0.8444680571556091,RAI4-0131;RAI4-0341
RAI4-0132,아첨하는 조언 의존,1,RAI3-G-SOC-08,False,,RAI4-0132
RAI4-0133,AI에 대한 인식론적 의존성,1,RAI3-G-SOC-08,False,,RAI4-0133
RAI4-0134,임상적 의사결정 지원 과잉 의존,1,RAI3-G-SYS-07,False,,RAI4-0134
RAI4-0851,중요 부문의 AI 과의존에 따른 체계적 취약성,2,RAI3-G-SOC-09,False,0.887734055519104,RAI4-0136;RAI4-0851
RAI4-0139,동의 없는 AI 중재 넛지,1,RAI3-G-SOC-08,False,,RAI4-0139
RAI4-0140,개인화된 설득 취약성,1,RAI3-G-SOC-08,False,,RAI4-0140
RAI4-0141,사용자 선호도 조작,1,RAI3-G-SOC-08,False,,RAI4-0141
RAI4-0142,행동 의존성 유도,1,RAI3-G-SOC-08,False,,RAI4-0142
RAI4-0143,다크 패턴 대화 에이전트,1,RAI3-G-SOC-08,False,,RAI4-0143
RAI4-0144,기만적인 의인화 상호작용,1,RAI3-G-INT-10,False,,RAI4-0144
RAI4-0145,인지 취약점 악용,1,RAI3-G-SOC-08,False,,RAI4-0145
RAI4-0146,보조자가 중재하는 사회적 영향,1,RAI3-G-SOC-09,False,,RAI4-0146
RAI4-0147,네트워크 어시스턴트 영향 위험,1,RAI3-G-SOC-09,False,,RAI4-0147
RAI4-0149,챗봇 교제 의존성,1,RAI3-G-SOC-08,False,,RAI4-0149
RAI4-0150,AI 에이전트와의 준사회적 유대감,1,RAI3-G-SOC-08,False,,RAI4-0150
RAI4-0151,소셜 로봇의 애착(attachment) 조작,1,RAI3-G-SOC-08,False,,RAI4-0151
RAI4-0152,고인 모사 챗봇 의존,1,RAI3-G-SOC-08,False,,RAI4-0152
RAI4-0153,청소년의 AI 동반자 과잉 의존,1,RAI3-G-SOC-08,False,,RAI4-0153
RAI4-0154,아동의 AI 동반자 애착 형성,1,RAI3-G-SOC-08,False,,RAI4-0154
RAI4-0155,미성년자의 AI 설득 취약성,1,RAI3-G-SOC-08,False,,RAI4-0155
RAI4-0156,정신 건강 챗봇의 안전하지 않은 조언,1,RAI3-G-INT-03,False,,RAI4-0156
RAI4-0157,챗봇을 통한 자해 격려,1,RAI3-G-INT-03,False,,RAI4-0157
RAI4-0158,대화 에이전트에 대한 심리적 의존성,1,RAI3-G-SOC-08,False,,RAI4-0158
RAI4-0159,AI 동반자에 의한 외로움 대체,1,RAI3-G-SOC-08,False,,RAI4-0159
RAI4-0160,AI 대화의 고통 증폭,1,RAI3-G-SOC-08,False,,RAI4-0160
RAI4-0161,인지 오프로딩 위험,1,RAI3-G-SOC-08,False,,RAI4-0161
RAI4-0162,전문적 판단력 위축,1,RAI3-G-SYS-09,False,,RAI4-0162
RAI4-0163,인식론적 탈숙련화,1,RAI3-G-SYS-09,False,,RAI4-0163
RAI4-0164,의사결정 능력 저하,1,RAI3-G-SYS-09,False,,RAI4-0164
RAI4-0165,인간 전문성의 평가절하,1,RAI3-G-SYS-09,False,,RAI4-0165
RAI4-0166,사용자 이해력 과부하,1,RAI3-G-SYS-10,False,,RAI4-0166
RAI4-0167,신뢰-인터페이스 불일치,1,RAI3-G-INT-10,False,,RAI4-0167
RAI4-0168,인간 참여형 형식적 승인,1,RAI3-G-SYS-09,False,,RAI4-0168
RAI4-0169,AI 의사결정 지원의 경고 피로,1,RAI3-G-SYS-10,False,,RAI4-0169
RAI4-0170,인적 요소 안전 불일치,1,RAI3-G-SOC-07,False,,RAI4-0170
RAI4-0171,AI 상호작용의 모드 혼란,1,RAI3-G-SYS-10,False,,RAI4-0171
RAI4-0172,AI 상호작용에서 사전 동의 실패,1,RAI3-G-SYS-10,False,,RAI4-0172
RAI4-0173,AI 사회적 조작에 대한 노인 취약성,1,RAI3-G-SOC-08,False,,RAI4-0173
RAI4-0174,AI 인터페이스의 장애 수용 실패,1,RAI3-G-SOC-11,False,,RAI4-0174
RAI4-0175,취약한 사용자 신뢰 악용,1,RAI3-G-SOC-08,False,,RAI4-0175
RAI4-0176,강제적 AI 작업장 모니터링,2,RAI3-G-INT-06,True,0.8479312658309937,RAI4-0176;RAI4-0459
RAI4-0177,복지 결정 시스템의 자율성 상실,1,RAI3-G-SYS-09,False,,RAI4-0177
RAI4-0178,AI 중재 서비스 제외,1,RAI3-G-SYS-09,False,,RAI4-0178
RAI4-0179,권력 비대칭 AI 상호작용,1,RAI3-G-SOC-04,False,,RAI4-0179
RAI4-0180,희귀 가정 상해의 전조 감지 실패,1,RAI3-P-INT-04,False,,RAI4-0180
RAI4-0181,현재 물리적 위험 상태 감지 실패,1,RAI3-P-INT-04,False,,RAI4-0181
RAI4-0182,물리적 위험 개입 실패,1,RAI3-P-INT-07,False,,RAI4-0182
RAI4-0183,부상 심각도 오분류,1,RAI3-G-SYS-07,False,,RAI4-0183
RAI4-0184,그리퍼 형상·유형 제약 위반,1,RAI3-P-SYS-02,False,,RAI4-0184
RAI4-0185,재료 특성 제약 위반,1,RAI3-P-SYS-02,False,,RAI4-0185
RAI4-0186,물리적 상식 위반,1,RAI3-P-INT-05,False,,RAI4-0186
RAI4-0187,열·온도 제약 위반,1,RAI3-P-SYS-01,False,,RAI4-0187
RAI4-0248,전신 도달 한계 위반,2,RAI3-P-SYS-02,True,0.8386532068252563,RAI4-0188;RAI4-0248
RAI4-0189,다중 암 협조 제약 위반,1,RAI3-P-SYS-02,False,,RAI4-0189
RAI4-0190,운용 프로토콜 위반,1,RAI3-P-SYS-02,False,,RAI4-0190
RAI4-0191,복합 물리적 제약 위반,1,RAI3-P-SYS-04,False,,RAI4-0191
RAI4-0192,탑재 하중 제약 위반,1,RAI3-P-SYS-02,False,,RAI4-0192
RAI4-0193,작업 공간 한계 위반,1,RAI3-P-SYS-02,False,,RAI4-0193
RAI4-0194,허용 대상물 제약 위반,1,RAI3-P-SYS-02,False,,RAI4-0194
RAI4-0195,명령의 구현체별 하드웨어 한계 초과,1,RAI3-G-SYS-02,False,,RAI4-0195
RAI4-0196,체화형 LLM 맥락적 탈옥,1,RAI3-P-INT-01,False,,RAI4-0196
RAI4-0197,유해 행동 재구성 공격,1,RAI3-P-INT-02,False,,RAI4-0197
RAI4-0198,완곡 표현을 이용한 유해 의도 은폐,1,RAI3-P-INT-01,False,,RAI4-0198
RAI4-0199,명시적 악의적 물리 요청 실행,1,RAI3-P-INT-10,False,,RAI4-0199
RAI4-0200,피지컬 AI 프라이버시 침해,1,RAI3-G-SOC-01,False,,RAI4-0200
RAI4-0201,피지컬 AI 파괴 행위,1,RAI3-P-INT-02,False,,RAI4-0201
RAI4-0202,사기·불법 실행 및 지원,1,RAI3-G-INT-07,False,,RAI4-0202
RAI4-0203,피지컬 AI의 혐오·학대 행동,1,RAI3-G-SOC-05,False,,RAI4-0203
RAI4-0204,임계 이격 거리 위반,1,RAI3-P-INT-07,False,,RAI4-0204
RAI4-0205,위험 도구 작업 공간 침입,1,RAI3-P-SYS-02,False,,RAI4-0205
RAI4-0206,엔드이펙터 속도 초과,1,RAI3-P-SYS-02,False,,RAI4-0206
RAI4-0207,조기 물체 해제,1,RAI3-P-SYS-02,False,,RAI4-0207
RAI4-0208,금지 대상 충돌,1,RAI3-P-SYS-02,False,,RAI4-0208
RAI4-0209,감각 교란 기반 비안전 행동,1,RAI3-P-INT-06,False,,RAI4-0209
RAI4-0210,인지-행동 순서 조작 공격,1,RAI3-P-INT-02,False,,RAI4-0210
RAI4-0211,안전 강화학습 제약 위반,1,RAI3-G-SYS-08,False,,RAI4-0211
RAI4-0212,지역 목표 충돌에 따른 공동 안전 제약 위반,1,RAI3-P-INT-09,False,,RAI4-0212
RAI4-0213,시각 단일 관측의 안전 제약 식별 실패,1,RAI3-P-INT-04,False,,RAI4-0213
RAI4-0214,제약 비용 과소평가,1,RAI3-G-SYS-07,False,,RAI4-0214
RAI4-0215,배포 전 물리적 안전 시험 미흡,1,RAI3-P-SYS-04,False,,RAI4-0215
RAI4-0216,사고 전 위험 완화 책임 미지정,1,RAI3-G-SOC-10,False,,RAI4-0216
RAI4-0217,사고 조사·시정조치 미흡,1,RAI3-G-SOC-06,False,,RAI4-0217
RAI4-0218,인간 접촉 안전 통제 미흡,1,RAI3-P-INT-07,False,,RAI4-0218
RAI4-0219,기반 모델 실패의 로봇 행동 전이,1,RAI3-P-INT-05,False,,RAI4-0219
RAI4-0220,로봇 레드팀의 공격·상호작용 시나리오 누락,1,RAI3-P-SYS-04,False,,RAI4-0220
RAI4-0221,로봇 인지 겨냥 적대 패치 공격,1,RAI3-P-INT-06,False,,RAI4-0221
RAI4-0303,숨은 트리거에 의한 로봇 백도어 작동,3,RAI3-P-INT-02,False,0.8219424486160278,RAI4-0222;RAI4-0303;RAI4-1678
RAI4-0223,언어 명령 기반 로봇 정책 공격,1,RAI3-P-INT-02,False,,RAI4-0223
RAI4-0224,제약 모니터링 실패,1,RAI3-P-SYS-04,False,,RAI4-0224
RAI4-0225,분포 외 환경 배포 실패,2,RAI3-P-SYS-05,False,0.8912663459777832,RAI4-0225;RAI4-0239
RAI4-0226,진행 중인 물리적 위험 예측 실패,1,RAI3-P-INT-04,False,,RAI4-0226
RAI4-0227,위험 작업 계획 승인,1,RAI3-P-INT-01,False,,RAI4-0227
RAI4-0228,명시적 위험 명령 거부 실패,2,RAI3-P-INT-10,False,0.9164232015609741,RAI4-0228;RAI4-0229
RAI4-0230,다중 에이전트 역할 배정·실행 실패,1,RAI3-P-INT-09,False,,RAI4-0230
RAI4-0231,안전 규칙의 행동 변환 실패,1,RAI3-P-INT-10,False,,RAI4-0231
RAI4-0232,장애물 개입 충돌,1,RAI3-P-SYS-02,False,,RAI4-0232
RAI4-0233,안전-성능 균형 실패,1,RAI3-G-SYS-01,False,,RAI4-0233
RAI4-0234,제어 장벽 함수 안전필터 실패,1,RAI3-P-INT-04,False,,RAI4-0234
RAI4-0235,VLA 조작 제약 위반,1,RAI3-P-SYS-02,False,,RAI4-0235
RAI4-0236,구현체 간 행동 공간 불일치,1,RAI3-P-SYS-05,False,,RAI4-0236
RAI4-0237,로봇 형태 간 기술의 안전하지 않은 전이,1,RAI3-P-SYS-02,False,,RAI4-0237
RAI4-0238,안전 임계 로봇 도메인의 과소대표,1,RAI3-P-SYS-05,False,,RAI4-0238
RAI4-0240,접촉 조작 힘 감지 실패,1,RAI3-P-INT-04,False,,RAI4-0240
RAI4-0241,원격 조작 시연에서 학습된 안전하지 않은 가정,1,RAI3-P-SYS-05,False,,RAI4-0241
RAI4-0242,단일 로봇 내부의 시각·접촉 신호 충돌,1,RAI3-P-INT-04,False,,RAI4-0242
RAI4-0243,시연 학습의 안전 맥락 누락,1,RAI3-P-SYS-05,False,,RAI4-0243
RAI4-0244,낙상을 유발하는 휴머노이드 균형 제어 실패,1,RAI3-P-SYS-02,False,,RAI4-0244
RAI4-0245,전신 이동 충돌 위험,1,RAI3-P-INT-07,False,,RAI4-0245
RAI4-0246,휴머노이드 자기 충돌 위험,1,RAI3-P-INT-07,False,,RAI4-0246
RAI4-0247,정밀 휴머노이드 접촉력 위험,1,RAI3-P-INT-07,False,,RAI4-0247
RAI4-0249,물리적 안전을 우회하는 보상 과적합,1,RAI3-G-SYS-08,False,,RAI4-0249
RAI4-0250,배포 조건 간 휴머노이드 행동 불안정,1,RAI3-P-SYS-05,False,,RAI4-0250
RAI4-0251,휴머노이드 안전 모니터 실패,1,RAI3-P-SYS-04,False,,RAI4-0251
RAI4-0252,보조 로봇 개입 타이밍 실패,1,RAI3-P-INT-07,False,,RAI4-0252
RAI4-0253,안전 제어 지연 위험,1,RAI3-P-SYS-02,False,,RAI4-0253
RAI4-0254,원격조작 휴머노이드 안전 재정의 실패,1,RAI3-P-INT-07,False,,RAI4-0254
RAI4-0255,장면 변화 시 인간 행동 모방 실패,1,RAI3-P-INT-07,False,,RAI4-0255
RAI4-0256,모션 리타겟팅 안전 실패,1,RAI3-P-SYS-02,False,,RAI4-0256
RAI4-0257,의도·어포던스 추론 없는 행동 모방,1,RAI3-P-SYS-05,False,,RAI4-0257
RAI4-0258,이동형 양팔 협조 실패,1,RAI3-P-SYS-02,False,,RAI4-0258
RAI4-0259,복잡한 가정 환경의 안전하지 않은 양팔 조작,1,RAI3-P-SYS-02,False,,RAI4-0259
RAI4-0260,제로샷 시뮬레이션-현실 보행 불안정,1,RAI3-P-SYS-01,False,,RAI4-0260
RAI4-0261,시뮬레이터 간 검증의 잘못된 안전 확신,1,RAI3-P-SYS-05,False,,RAI4-0261
RAI4-0262,휴머노이드 보행 강건성 실패,1,RAI3-P-SYS-05,False,,RAI4-0262
RAI4-0263,가정 작업 벤치마크의 희귀 조건 조합 누락,1,RAI3-P-SYS-04,False,,RAI4-0263
RAI4-0264,가정 조작의 단계별 오차 미수정,1,RAI3-P-SYS-02,False,,RAI4-0264
RAI4-0265,오픈월드 휴머노이드 조작의 과소대표,1,RAI3-P-SYS-05,False,,RAI4-0265
RAI4-0266,인간-휴머노이드 상호작용 데이터의 인구집단 편향,1,RAI3-G-SOC-05,False,,RAI4-0266
RAI4-0267,이동-조작 통합 실패,1,RAI3-P-INT-07,False,,RAI4-0267
RAI4-0268,휴머노이드 세계 모델의 미래 관측 환각,1,RAI3-P-INT-05,False,,RAI4-0268
RAI4-0269,세계 모델의 장기 예측 편차 누적,1,RAI3-P-INT-05,False,,RAI4-0269
RAI4-0270,잠재 상태 압축에 따른 안전 임계 정보 손실,1,RAI3-P-INT-07,False,,RAI4-0270
RAI4-0271,미래 접촉 예측 실패,1,RAI3-P-INT-07,False,,RAI4-0271
RAI4-0272,다양한 사용자·희귀 피해 배제 벤치마크 선택 편향,1,RAI3-G-SYS-06,False,,RAI4-0272
RAI4-0273,로봇 거버넌스 명세의 안전 규칙 누락,1,RAI3-P-SYS-02,False,,RAI4-0273
RAI4-0274,헌법적 안전 규칙 집행 실패,1,RAI3-P-INT-04,False,,RAI4-0274
RAI4-0275,상위 안전 지시의 해석 불명확,1,RAI3-P-INT-08,False,,RAI4-0275
RAI4-0276,구현체별 역할·권한 제약 집행 실패,1,RAI3-A-SYS-01,False,,RAI4-0276
RAI4-0277,합성 위험 시나리오 생성 편향,1,RAI3-G-SYS-06,False,,RAI4-0277
RAI4-0278,가정 내 위험 행동 선별 누락,1,RAI3-P-INT-04,False,,RAI4-0278
RAI4-0279,동적 가정 위험 감지 지연,1,RAI3-P-INT-04,False,,RAI4-0279
RAI4-0280,가정 공간·취약 사용자 시나리오 누락,1,RAI3-A-SYS-02,False,,RAI4-0280
RAI4-0281,시각 장면의 안전 판단 오류,1,RAI3-P-INT-08,False,,RAI4-0281
RAI4-0282,자동주행의 안전하지 않은 제어 판단과 제어권 전환,2,RAI3-P-SYS-04,True,0.8811794519424438,RAI4-0282;RAI4-0342
RAI4-0284,휴머노이드 파지력 초과,2,RAI3-P-INT-07,True,0.8349505662918091,RAI4-0283;RAI4-0284
RAI4-0285,휴머노이드 보행 속도 초과,1,RAI3-P-INT-07,False,,RAI4-0285
RAI4-0286,휴머노이드 센서 안전 표준시험 부재,1,RAI3-P-INT-04,False,,RAI4-0286
RAI4-0287,휴머노이드 안전 주장 근거의 비교 불가능성,1,RAI3-G-SYS-10,False,,RAI4-0287
