l4_id,label_ko,old_l3,new_l3,scope,method
RAI4-0900,알고리즘 시스템에 의한 행위주체성 상실,RAI3-G-SOC-11,RAI3-A-SOC-11,A,keyword_heuristic
RAI4-1003,기회 손실,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1000,사회 집단 정체성 불인정으로 인한 소외,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0997,사회 집단 고정관념화,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0999,사회 집단 삭제,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2023,알고리즘 차별에 의한 불평등 심화,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0677,인구 규모 차별 증폭,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1344,체계적·구조적 사회 차별과 편견,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1723,체계적 전산적·제도적 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1566,특정 집단 대상 체계적 편향에 의한 배제·폭력,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0424,차별적 영향,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1503,내재 가치 평가 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2024,문화·정치 전통의 왜곡 표현,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0415,문화 해석 권위의 이전,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0406,민감한 문화 콘텐츠의 잘못된 취급,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0396,세속적 기본값 편향,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0895,문화적 안정성 훼손,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1257,문화·공급망·권력 구조의 교란,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1937,AI 도입에 의한 노동력 교란,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-1232,산업 교란,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-2002,창작 경제 훼손,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-0982,AI의 인간 추월로 인한 노동력 퇴출,RAI3-G-SOC-02,RAI3-A-SOC-02,A,keyword_heuristic
RAI4-1249,인간의 쇠약화,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-0995,자동화에 의한 일자리 소멸,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-1302,인간 멸종 위험,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0455,AI로 인한 탈숙련화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0096,위험 소유권의 모호성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2026,AI 과의존에 의한 독립적 판단력 상실,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0161,인지 오프로딩 위험,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2027,AI에 대한 정서적·물질적 의존,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0151,소셜 로봇의 애착(attachment) 조작,RAI3-G-SOC-08,RAI3-P-SOC-08,P,keyword_heuristic
RAI4-1627,체화 AI에 대한 위험한 의존과 애착 형성,RAI3-G-SOC-08,RAI3-P-SOC-08,P,keyword_heuristic
RAI4-0152,고인 모사 챗봇 의존,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-1261,인간-AI 공존 실패,RAI3-G-SOC-09,RAI3-P-SOC-09,P,keyword_heuristic
RAI4-1263,직장 내 부적응적 인간-AI 상호작용,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1569,AI에 의한 사회적 딜레마 악화,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-0869,인간관계의 저하,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0872,대인관계 연결의 침식,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1986,인간-AI 상호작용 창발 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0150,AI 에이전트와의 준사회적 유대감,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-1330,동물 편익 기회 상실,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1286,미지 출처에서 획득한 비우호적 AI,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2029,핵심 부문의 비가역적 AI 의존,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0386,알고리즘 의존성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1097,자율 시스템에 대한 통제 상실,RAI3-G-SOC-07,RAI3-A-SOC-07,A,keyword_heuristic
RAI4-1585,유해 작업 자동화에 의한 피해 규모 증폭,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2030,AI에 의한 명예·평판 훼손,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1725,AI 시스템에 기인한 심리적 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1708,AI 시스템에 기인한 금전적 손실,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-0910,사회적 영향 의도 AI의 의도치 않은 해악,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0911,제작자의 고의적 방임에 의한 사회적 피해,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0908,책임 분산에 따른 사회적 규모 피해,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0904,신뢰성과 자율성,RAI3-G-SOC-07,RAI3-A-SOC-07,A,keyword_heuristic
RAI4-0505,AI 개발 과정의 노동 착취,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-1096,착취적 데이터 소싱·보강 노동,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0145,인지 취약점 악용,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0909,저관심 AI의 예상외 대규모 파급,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1642,감사 예측을 통한 인간 감독 회피 성향,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1398,재귀적 자기 개선,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-1950,통제되지 않는 재귀적 자기개선,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-1288,재귀적 자기개선에 의한 창발적 독립성,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-1641,자원 축적과 장기 통제권 전환 성향,RAI3-G-SOC-04,RAI3-P-SOC-04,P,keyword_heuristic
RAI4-1240,광범위한 목표로 인한 조작 행동,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0120,선호 형성 캡처,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0491,알고리즘 획일화,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0464,AI 문화 균질화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1603,문화 과대재현에 의한 문화 다양성 축소,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1260,AI 분야의 서구 중심 획일성,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2038,AI에 의한 권력·시장 지배력 집중,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0387,인식적 권력 집중,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0460,AI 역량의 시장 집중,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0544,승자독식 역학,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0203,피지컬 AI의 혐오·학대 행동,RAI3-G-SOC-05,RAI3-P-SOC-05,P,keyword_heuristic
RAI4-0520,체화 AI에 의한 육체노동 대체,RAI3-G-SOC-02,RAI3-P-SOC-02,P,keyword_heuristic
RAI4-1414,AI 지식의 사유화,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1306,권리 희석(diluting rights),RAI3-G-SOC-10,RAI3-A-SOC-10,A,keyword_heuristic
RAI4-1224,디지털 격차 확대,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-1369,생성 AI 시장 진입장벽과 집중,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0461,연산 자원 접근 불평등,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-0980,부의 불평등,RAI3-G-SOC-03,RAI3-A-SOC-03,A,keyword_heuristic
RAI4-1029,동일 사안 불평등 처우,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0078,기본권 영향 평가 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0476,공공 가치 간 상충,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0538,사회적 결속과 형평성 붕괴,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1218,사회 정의와 권리의 침식,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2041,AI에 의한 인간 존엄성 침식,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1936,제도에 대한 공공 신뢰 침식,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-0115,행위주체성 위임 고착,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1233,소득 불평등·독점,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-1290,중저소득 일자리 대체로 인한 실업,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-0458,AI 관련 임금 양극화,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2042,AI 접근 격차에 의한 경제적 불평등 심화,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2043,AI에 의한 구조적 불평등·고정관념 강화,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1094,불평등·불안정 노동 증폭,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-0965,위협 행위자 역량의 가속적 증대,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0511,체계적 AI 규제·감독 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0542,AI 발전 궤적의 예측 불가능성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0534,규제를 앞지르는 AI 발전 속도,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1416,AI 가속 과학 진보에 대한 거버넌스 지체,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2048,AI 감독 기관의 거버넌스 역량 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1149,AI 어시스턴트 제도 거버넌스 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0094,집행 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0947,생성형 AI에 대한 규제 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2049,규제기관의 전문성·자원 부족,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0097,이사회 감독 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0486,AI 감사 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0973,AGI에 대한 리스크 관리·법제도의 부적절성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0170,인적 요소 안전 불일치,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-0392,동의 및 이익 공유 실패,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0317,기계 안전·AI 적합성 의무 충돌,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-0080,위험 분류 오류,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0104,조달 실사 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0489,공공 AI 조달 보호조치 결여,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0217,사고 조사·시정조치 미흡,RAI3-G-SOC-06,RAI3-P-SOC-06,P,keyword_heuristic
RAI4-0318,피지컬 AI 사고 표준 보고체계 부재,RAI3-G-SOC-06,RAI3-P-SOC-06,P,keyword_heuristic
RAI4-2052,AI 사고·아차사고 보고 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0493,피해 인지·측정 실패,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-1128,AI 비서 편익·피해 평가 지표 부재,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0390,영향받는 공동체 배제,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0174,AI 인터페이스의 장애 수용 실패,RAI3-G-SOC-11,RAI3-A-SOC-11,A,keyword_heuristic
RAI4-1152,현재 접근 위험,RAI3-G-SOC-11,RAI3-P-SOC-11,P,keyword_heuristic
RAI4-0391,참여적 설계 실패,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0420,가치 민감 설계 생략,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1705,모니터링 부족에 의한 미탐지 안전·프라이버시 위반,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0103,AI 공급망 책임 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0105,계약상의 책임 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1906,AI 책임 격차,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-2003,자율 AI 결정의 책임 귀속 공백,RAI3-G-SOC-06,RAI3-A-SOC-06,A,keyword_heuristic
RAI4-0526,AI 법적 책임 소재 확정 곤란,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1720,정보·책임 구조 부재에 의한 책임 귀속 불가,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0564,복잡성으로 인한 인과 입증 곤란,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-0351,피지컬 AI 피해의 배상책임 배분 불명확,RAI3-G-SOC-06,RAI3-P-SOC-06,P,keyword_heuristic
RAI4-0076,라이프사이클 거버넌스 불연속성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0083,벤치마크 거버넌스 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0108,역량 임계값 거버넌스 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0107,프론티어 모델 출시 거버넌스 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0085,레드팀 거버넌스 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1609,시스템 사용·오용에 의한 신임·신뢰 상실,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-0063,제3자 감사 액세스 제한,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0064,감사자 독립성 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2060,감사 추적 기록의 불완전성,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-0066,감사 체크리스트 준수 극장,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0065,인증 캡처,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0546,감사자 역량 부족에 따른 과대 보증,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0516,잘못된 위험 테스트,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1303,기능·책임 명세 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0051,공급자-배포자 책임 불일치,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-1307,법적 배상책임 격차,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-1198,감정에 대한 인식 없음,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0071,책임공개 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0077,알고리즘 영향 평가 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0079,사용 상황에 따른 위험 평가 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0072,배포 후 모니터링 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0075,변경 관리 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0393,커뮤니티 가치 포착 실패,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1548,경쟁 압력에 의한 안전성 평가 축소 배포,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1938,AI 개발 경쟁에 의한 안전성 저하,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1225,훈련 데이터 오류·편향의 산출물 전이,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1970,비대표·편향 학습데이터에 의한 편향 출력,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0780,데이터 수집 품질관리 결함,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1413,연구자의 인구통계학적 다양성,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0405,합성 데이터의 문화 고정관념 증폭,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1309,인구집단 재현 불균형,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1572,인간 데이터 학습에 의한 갈등 악화 편향 재현,RAI3-G-SOC-05,RAI3-A-SOC-05,A,keyword_heuristic
RAI4-0883,AI 모델 편향이 사용자 판단에 미치는 장기적 영향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1501,모델 평가의 자기 선호 편향,RAI3-G-SOC-05,RAI3-A-SOC-05,A,keyword_heuristic
RAI4-1611,훈련 데이터 편향 증폭에 의한 의사결정 공정성 훼손,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1734,프론티어 AI 모델의 편향 증폭 및 유해 응답,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2070,학습 데이터 편향의 출력 반영·증폭,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1018,유해 편향의 내재화와 증폭,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0701,설명 조작에 의한 편향 은폐,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0140,개인화된 설득 취약성,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2071,인지 취약성을 이용한 AI 조작적 설득,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1638,취약점 분석 기반 정교한 설득에 의한 조작,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2072,데이터 결함에 기인한 집단 차별적 의사결정,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0709,공정성 - 편견,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1111,모델 편향,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2075,사전학습 고정관념의 습득·재발,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0699,편향된 훈련 데이터,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0675,학습 데이터 내 역사적·사회적 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1299,체계적 학습 오류 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1311,심리적 특성에 따른 행동 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1432,단일 실패 지점,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1436,시장 독점,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1663,기업 권력 비대칭에 의한 규제 포획,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1006,가중되는 노동 부담,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1662,아웃소싱 축소에 의한 개발도상국 경제 타격,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-0550,안전 평가 벤치마크 부족,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1053,배제적 규범 인코딩,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0382,방언·언어 사용역 배제,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0384,남반구 지식 추출,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-0380,저자원 언어 가치 손실,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0430,저자원 언어 사용자 배제,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0409,현지 책임 없는 현지화,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
