l4_id,label_ko,old_l3,new_l3,scope,method
RAI4-1708,AI 시스템에 기인한 금전적 손실,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-1725,AI 시스템에 기인한 심리적 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2142,제작자 책임 방기에 의한 사회적 규모 피해,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0904,신뢰성과 자율성,RAI3-G-SOC-07,RAI3-A-SOC-07,A,keyword_heuristic
RAI4-2151,AI 데이터 공급망의 노동 착취,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-0145,인지 취약점 악용,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0909,저관심 AI의 예상외 대규모 파급,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2153,통제되지 않는 재귀적 자기개선,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-1240,광범위한 목표로 인한 조작 행동,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1641,자원 축적과 장기 통제권 전환 성향,RAI3-G-SOC-04,RAI3-P-SOC-04,P,keyword_heuristic
RAI4-0120,선호 형성 캡처,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2157,AI 출력에 의한 문화 다양성 축소,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1260,AI 분야의 서구 중심 획일성,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2158,소수 주체로의 AI 권력 집중,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0544,승자독식 역학,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0203,피지컬 AI의 혐오·학대 행동,RAI3-G-SOC-05,RAI3-P-SOC-05,P,keyword_heuristic
RAI4-0520,체화 AI에 의한 육체노동 대체,RAI3-G-SOC-02,RAI3-P-SOC-02,P,keyword_heuristic
RAI4-1414,AI 지식의 사유화,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1306,권리 희석(diluting rights),RAI3-G-SOC-10,RAI3-A-SOC-10,A,keyword_heuristic
RAI4-1224,디지털 격차 확대,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-1369,생성 AI 시장 진입장벽과 집중,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-2160,AI 자원 통제에 따른 힘의 불평등,RAI3-G-SOC-03,RAI3-A-SOC-03,A,keyword_heuristic
RAI4-1029,동일 사안 불평등 처우,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0078,기본권 영향 평가 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0476,공공 가치 간 상충,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2161,사회 정의와 결속의 훼손,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2041,인간 존엄성의 침식,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2162,공적 신뢰의 침식,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-0115,행위주체성 위임 고착,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-2164,노동 대체에 의한 실업과 임금 양극화,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2165,구조적 불평등의 심화,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2169,AI 발전 속도에 대한 거버넌스 지체,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2170,기관의 AI 거버넌스 역량 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2171,AI 규제와 집행의 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2172,감독·감사 역량 부족에 의한 위험 미탐지,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0973,AGI에 대한 리스크 관리·법제도의 부적절성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2174,AI 인터페이스의 인간 요소 부정합,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-0392,동의 및 이익 공유 실패,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0080,위험 분류 오류,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0317,기계 안전·AI 적합성 의무 충돌,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-2176,도입 전 실사·기록 절차 미비,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2177,AI 사고·아차사고 보고 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1128,AI 비서 편익·피해 평가 지표 부재,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0390,영향받는 공동체 배제,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2178,AI 접근성 배제에 의한 불이익,RAI3-G-SOC-11,RAI3-P-SOC-11,P,keyword_heuristic
RAI4-2179,가치 민감·참여적 설계 절차 생략,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0103,AI 공급망 책임 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0105,계약상의 책임 격차,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0526,AI 법적 책임 소재 확정 곤란,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1720,정보·책임 구조 부재에 의한 책임 귀속 불가,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1906,AI 책임 격차,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-2003,자율 AI 결정의 책임 귀속 공백,RAI3-G-SOC-06,RAI3-A-SOC-06,A,keyword_heuristic
RAI4-2181,AI 피해의 인과관계 입증 곤란,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-2182,다수 행위자 간 배상책임 배분 불명확,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-0076,라이프사이클 거버넌스 불연속성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2209,안전성 평가·출시 결정 거버넌스 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1609,시스템 사용·오용에 의한 신임·신뢰 상실,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-2215,독립 감사 접근·독립성 훼손,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2060,감사기록 불완전에 의한 사고 재구성 불가,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-0066,감사 체크리스트 준수 극장,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0065,인증 캡처,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2217,부실한 안전 보증에 의한 과대 적합 판정,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0516,잘못된 위험 테스트,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1303,기능·책임 명세 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2218,행위자 간 책임 배분 실패,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-1307,법적 배상책임 격차,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-1198,감정에 대한 인식 없음,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0071,책임공개 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2220,배포 맥락을 반영하지 못한 영향평가,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2221,배포 후 변화에 대한 감시·재평가 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0393,커뮤니티 가치 포착 실패,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2225,경쟁 압력에 의한 안전 검증 축소 배포,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1413,연구자의 인구통계학적 다양성,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2249,합성 데이터의 편향 왜곡·증폭,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2251,집단 간 데이터 대표성 불균형,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1572,인간 데이터 학습에 의한 갈등 악화 편향 재현,RAI3-G-SOC-05,RAI3-A-SOC-05,A,keyword_heuristic
RAI4-0883,AI 모델 편향이 사용자 판단에 미치는 장기적 영향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1501,모델 평가의 자기 선호 편향,RAI3-G-SOC-05,RAI3-A-SOC-05,A,keyword_heuristic
RAI4-2253,프론티어 모델의 편향 증폭과 유해 응답,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2254,학습 데이터 편향의 증폭 출력,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2257,심리적 취약성 이용 조작적 설득,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2258,민감 속성에 따른 체계적 차별 대우,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2261,학습 데이터 고정관념의 학습·재생산,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2262,학습 과정에 내재화되는 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1311,심리적 특성에 따른 행동 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1432,단일 실패 지점,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1436,시장 독점,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1663,기업 권력 비대칭에 의한 규제 포획,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1006,가중되는 노동 부담,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1662,아웃소싱 축소에 의한 개발도상국 경제 타격,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-2267,에이전트 안전 벤치마크의 얕은 커버리지,RAI3-G-SOC-10,RAI3-A-SOC-10,A,keyword_heuristic
RAI4-1053,배제적 규범 인코딩,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0382,방언·언어 사용역 배제,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0384,남반구 지식 추출,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2270,저자원 언어 사용자의 성능·안전 배제,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0409,현지 책임 없는 현지화,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2271,비주류 지식·세계관의 배제,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0408,지역 피해 비가시성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0956,공유된 현실감각의 상실,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2273,도덕적 다원성의 축소와 유도,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0364,다원적 선호 집계 실패,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1205,딥페이크 피해 구제 곤란,RAI3-G-SOC-06,RAI3-G-SOC-06,G,keyword_heuristic
RAI4-1636,마음이론(Theory of Mind) 능력,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-2289,의사에 반하는 선호·행동 유도,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-2290,동의 없는 은밀한 행동 조작,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2083,아첨성 응답에 의한 오도와 의존,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0854,되돌릴 수 없는 변화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0216,사고 전 위험 완화 책임 미지정,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-1292,사고 시 책임 문제,RAI3-G-SOC-06,RAI3-A-SOC-06,A,keyword_heuristic
RAI4-2302,표준·분류 체계 단편화에 의한 감독 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0111,범용 AI 사고 에스컬레이션 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2308,휴머노이드 안전 검증·집행 체계 부재,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-2309,휴머노이드 학습 데이터의 대표성 결핍,RAI3-G-SOC-05,RAI3-P-SOC-05,P,keyword_heuristic
RAI4-2310,유해한 대화 인터페이스 설계,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-0158,대화 에이전트에 대한 심리적 의존성,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-0019,에이전트 자율성의 거버넌스 격차,RAI3-G-SOC-10,RAI3-A-SOC-10,A,keyword_heuristic
RAI4-1278,자율 에이전트 책임성 구현 공백,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-2322,인구집단별 성능 격차,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2323,집단 간 AI 편익의 불공정 배분,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0512,고속 AI 운영에서의 오류 미탐지,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0344,사용자 능력 불일치,RAI3-G-SOC-11,RAI3-P-SOC-11,P,keyword_heuristic
RAI4-0049,제조물 책임 불일치,RAI3-G-SOC-06,RAI3-P-SOC-06,P,expert_designated
RAI4-1001,자기 식별 기회의 박탈,RAI3-G-SOC-05,RAI3-A-SOC-05,A,keyword_heuristic
RAI4-1400,익명 자원 획득,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2330,실질 없는 책임 준수 위장,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2336,알고리즘 작업장 감시에 의한 노동자 통제,RAI3-G-SOC-01,RAI3-P-SOC-01,P,keyword_heuristic
RAI4-0315,이동형 로봇 감시를 통한 일방적 작업장 통제,RAI3-G-SOC-01,RAI3-P-SOC-01,P,keyword_heuristic
RAI4-2337,대규모 감시·검열에 의한 자유 억압,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2338,AI 통제권 집중에 의한 체제 고착,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-2339,AI 기반 대중 감시와 사회 통제,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2340,사적 공간 로봇의 무단 데이터 수집,RAI3-G-SOC-01,RAI3-P-SOC-01,P,keyword_heuristic
RAI4-0307,로봇·AI 정체성 미고지,RAI3-G-SOC-07,RAI3-P-SOC-07,P,keyword_heuristic
RAI4-2341,사적 영역에 대한 침입적 정보 취득,RAI3-G-SOC-01,RAI3-P-SOC-01,P,keyword_heuristic
RAI4-1216,대규모 배포 생성형 AI의 피해와 구제 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1989,생성형 AI 답변 과잉 의존,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0987,책임 공백으로 인한 과실 개발 유인,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0135,교육용 AI 과잉 의존,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0429,교육 불평등 확대,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2347,참여 극대화 콘텐츠에 의한 소비자 자율성 훼손,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-1022,높은 비용으로 인한 접근 배제,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2350,AI 접근 격차에 의한 불평등 고착,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-0179,권력 비대칭 AI 상호작용,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0367,공공가치 갈등 증폭,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-0867,사용자 정렬 AI에 의한 집단행동 문제 악화,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-0885,AI에 대한 오도된 대인 신뢰로 인한 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0876,AI에 대한 물질적 의존과 서비스 중단 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0851,중요 부문의 AI 과의존에 따른 체계적 취약성,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2357,국경 간 규제 집행의 공백,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0073,시판 후 감시 실패,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1037,사용례 내재 위험 노출,RAI3-G-SOC-10,RAI3-A-SOC-10,A,keyword_heuristic
RAI4-0700,편향된 진술 및 권장 사항,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2366,학습 편향에 의한 차별적 결정,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0994,차별적 결정과 데이터 유출 피해,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0417,인간 피드백 작업자 가치 편향,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1404,데이터 노동 저평가·비가시화,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-1270,학습 데이터 품질 결함,RAI3-G-SOC-05,RAI3-P-SOC-05,P,keyword_heuristic
RAI4-0694,학습 데이터 사회적 편향 전파,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2369,AI에 의한 거시경제·금융 불안정,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1049,조직 재정·평판 손상,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1446,사회적 불평등,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
