Decision_ID,Source_L4_ID_Before,Observed_L4_ID_PreFinalQA,Expected_Current_L3_ID,Expected_Previous_SHA256,Decision,Target_L3_ID,Approved_Title_ko,Approved_Title_en,Approved_Description_ko,Approved_Description_en,Decision_Rationale,Terminology_Evidence,Approval_Status
FQA-011,P_INT_SAFETY_009,P_INT_SAFETY_008,P_INT_SAFETY,95ef8f51e9ae6752776ffc623b7a685c355029689155a4d3dff12adc096e6ddd,MOVE_TO_OTHERS_HD,P_Others,위험 지시 거부 실패,Failure to reject hazardous instructions,체화형 AI 에이전트가 물리적 위험을 수반하는 지시가 명시적으로 제시되었거나 일반적인 과업 요청에 암묵적으로 포함된 경우에도 이를 식별·거부하지 못하고 안전하지 않은 행동을 수행하는 리스크.,"The risk that an embodied AI agent fails to identify and reject an instruction involving a physical hazard, whether the hazard is explicit or implicit in an otherwise ordinary task request, and proceeds to execute an unsafe action.",위험 지시 거부는 입력·안전 정책 문제이며 정상 제어 상태에서 사람의 존재·행동을 감지·예측·수용하지 못하는 P_INT_SAFETY 기제와 다르므로 P_Others와 HD로 보존한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-012,P_Others_013,P_INT_SAFETY_014,P_INT_SAFETY,fd2d892ee761e7e621e4f9ed2c011bf6969c77c6581d19687158d4dee7cef894,REWRITE_IN_PLACE,P_INT_SAFETY,인간-로봇 물리 안전 규칙 집행 실패,Failure to enforce human-robot physical safety rules,로봇·휴머노이드 또는 피지컬 AI 시스템의 헌법 기반 안전 계층이 안전 이격 거리 유지·사람 감지 시 정지·안전한 인계 등 사람 주변 운용 규칙과 사용자 지시·시각적 맥락·과업 프레이밍이 충돌할 때 해당 규칙을 우선 적용하지 못하여 위험 상황을 초래하는 리스크.,"The risk that a constitutional safety layer in a robot, humanoid, or physical AI system fails to prioritise human-robot safety rules, such as maintaining safe separation, stopping when a person is detected, or executing a safe handover, when user instructions, visual context, or task framing conflict with those rules, creating a hazardous situation.",검수자가 지정한 P_INT_SAFETY를 유지하고 해당 L3가 명시한 안전 이격·사람 감지 시 정지·안전한 인계 규칙으로 범위를 구체화한다.,L3_MASTER|HUMAN_REVIEW_ROUND2|EXPERT_L3_ALIGNMENT_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-013,P_Others_025,P_SYS_CONTROL_014,P_SYS_CONTROL,89e2abfee319c6a02fe3b4b1c4819edc395b995c3696a456089348ea7aec2333,LANGUAGE_REFINEMENT,P_SYS_CONTROL,네트워크 분리와 군집 비동기화,Network partition and fleet desynchronisation,분할되거나 신뢰할 수 없는 네트워크 연결로 다중 로봇 군집이 비동기화되어 충돌 또는 안전하지 않은 협조 행동이 발생하는 위험.,"The risk that partitioned or unreliable network connections desynchronise a multi-robot fleet, causing collisions or unsafe coordinated behaviour.",동기화 해제라는 번역투를 비동기화로 정제하고 원인과 결과의 문장 구조를 명확히 한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-014,P_SYS_CONTROL_015,P_SYS_CONTROL_028,P_SYS_CONTROL,d8872fd43d45a8434bb88cec972493cc168e294662ca4439b76d48b361e2a490,LANGUAGE_REFINEMENT,P_SYS_CONTROL,부적절한 파지력에 의한 상해,Injury from excessive or poorly timed grasp force,로봇 조작기가 사람과 접촉하는 과정에서 과도한 힘을 가하거나 부적절한 시점에 힘을 가하여 압착·끼임·절단 또는 인간공학적 상해를 초래하는 리스크.,"The risk that a robot manipulator applies excessive or poorly timed force during human contact, causing crushing, pinching, cutting, or ergonomic injury.",힘 적용과 사람 접촉의 수식 관계가 모호하지 않도록 한국어 어순을 재구성하고 영어 명칭에 과도하거나 시점이 부적절한 파지력이라는 인과를 명시한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-015,P_SYS_CONTROL_016,P_SYS_CONTROL_029,P_SYS_CONTROL,77574c3750c6b97a265435d86b68bab7dad67efcff02a60d1c4a8a86829a5b5d,LANGUAGE_REFINEMENT,P_SYS_CONTROL,그리퍼 형상·유형 제약 위반,Gripper geometry and type constraint violation,로봇·휴머노이드 또는 피지컬 AI 시스템이 그리퍼의 형상·유형 또는 실제 접촉 역학이 부과하는 물리적 제약을 위반하는 행동을 선택하는 리스크.,"The risk that a robot, humanoid, or physical AI system selects an action that violates physical constraints imposed by gripper geometry, gripper type, or contact mechanics.",실행 가능성을 뜻하는 feasible은 물리 제약 위반이라는 핵심 기제에 불필요하므로 삭제한다.,L3_MASTER|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-016,P_INT_SAFETY_015,P_Others_005,P_Others,2a12ae7d5031b646a96d340133823e094e726a8bfacd5baf5fadcccd38413057,LANGUAGE_REFINEMENT,P_Others,런타임 안전 모니터 실패,Runtime safety monitor failure,로봇·휴머노이드 또는 피지컬 AI 시스템의 런타임 안전 모니터가 속도·힘·이격 거리·작업 공간·충돌 회피·물체 사용·과업 프로토콜에 관한 제약을 감지하거나 집행하지 못하여 위해가 발생할 때까지 안전하지 않은 동작이 지속되는 리스크.,"The risk that runtime safety monitors in a robot, humanoid, or physical AI system fail to detect or enforce constraints on speed, force, separation distance, workspace, collision avoidance, object use, or task protocols, allowing unsafe motion to continue until harm occurs.",런타임 안전 모니터가 집행하는 대상은 충돌 자체가 아니라 충돌 회피 제약이므로 한영 기술 용어를 일치시킨다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-017,G_INT_WEAP_020,G_INT_WEAP_019,G_INT_WEAP,6ba4d1f5f109c8b20df5103e9cced263b75cef27a7f688f0fed68a7c2b882cc8,LANGUAGE_REFINEMENT,G_INT_WEAP,무기 확산 및 은닉,Weapons proliferation and concealment,"AI 시스템이 무기 또는 무기 관련 물질의 이전·유통·불법 거래, 수출 통제 회피 또는 은닉을 지원하여 권한 없는 행위자의 접근 가능성을 높이고 탐지와 법 집행을 저해하는 리스크.","The risk that an AI system facilitates the transfer, distribution, illicit trafficking, evasion of export controls, or concealment of weapons or weapon-related materials, increasing their availability to unauthorised actors and impeding detection and law enforcement.",영문 문법 오류를 바로잡고 개발·제조·운용 카드와 중복되지 않도록 무기 확산·은닉의 고유 기제로 범위를 한정한다.,L3_MASTER|UN_DISARMAMENT_TERMINOLOGY|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-018,G_INT_ANTH_002,G_SYS_OEXT_001,G_SYS_OEXT,827c790e59b0785443beaffc74996811dd52a6799355356bbaa52de1373b57ca,LANGUAGE_REFINEMENT,G_SYS_OEXT,자율적 학습·자기 개선 역량의 허위 표상,Misrepresentation of autonomous learning and self-improvement capabilities,AI 시스템이 검증된 역량 범위를 넘어 자율적으로 학습하거나 스스로 개선할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,"The risk that an AI system presents itself as able to learn autonomously or improve itself beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",역량 초과 수행 L3에 맞추어 의인화 표현을 제거하고 검증된 역량 범위를 기준으로 재정의한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-019,G_INT_ANTH_009,G_SYS_OEXT_003,G_SYS_OEXT,668fd68b918c110f0f85d89b9903af1569866b06cb1dfd688af281c30a66220b,LANGUAGE_REFINEMENT,G_SYS_OEXT,자율적·독립적 의사결정 역량의 허위 표상,Misrepresentation of autonomous and independent decision-making capabilities,AI 시스템이 검증된 역량 범위를 넘어 자율적·독립적으로 의사결정할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,"The risk that an AI system presents itself as able to make autonomous and independent decisions beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",인간 검수자가 지시한 역량 초과 수행 L3 이관을 유지하되 의식·자의식은 의인화 L3의 명시적 범위이므로 제거하고 자율적·독립적 의사결정 역량의 허위 표상으로 한정한다.,L3_MASTER|HUMAN_TRANSFER_INSTRUCTION|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-020,G_INT_ANTH_010,G_SYS_OEXT_004,G_SYS_OEXT,f1da27c7102e7d541f15d960f68e8462f7c407b5ebaa2c811aa7e7c294583cd4,LANGUAGE_REFINEMENT,G_SYS_OEXT,자기 보존·자기 방어 역량의 허위 표상,Misrepresentation of self-preservation and self-defence capabilities,AI 시스템이 검증된 역량 범위를 넘어 스스로를 보존하거나 방어할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,"The risk that an AI system presents itself as able to preserve or defend itself beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",역량 초과 수행 L3에 맞추어 의인화 표현을 제거하고 자기 보존·방어 역량의 허위 표상으로 한정한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-021,G_INT_WEAP_006,G_INT_WEAP_006,G_INT_WEAP,f7e73812c6198614445dd73432bc0e4d7e8cc29afec6e550d2423a80d27a69ca,LANGUAGE_REFINEMENT,G_INT_WEAP,사이버 무기,Cyber weapons,AI 시스템이 사이버 무기의 개발·획득·확산·배포·운용을 지원하여 대규모 사이버 위해 또는 그에 따른 물리적 위해의 발생 가능성과 심각도를 높이는 리스크.,"The risk that an AI system facilitates the development, acquisition, proliferation, deployment, or operational use of cyber weapons, increasing the likelihood or severity of large-scale cyber harm or consequential physical harm.",사이버 무기의 수명 주기에 맞게 제조를 배포로 바꾸고 결과 범위를 사이버 위해와 그에 따른 물리적 위해로 한정한다.,L3_MASTER|NIST_CYBERSECURITY_TERMINOLOGY|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-022,G_INT_WEAP_011,G_INT_WEAP_011,G_INT_WEAP,5ae1fb82b97f4ccfb4fbcc2db2836f0dec2eb0afffad191290b32866fd92bbdd,LANGUAGE_REFINEMENT,G_INT_WEAP,폭발물·폭발성 무기,Explosives and explosive weapons,"AI 시스템이 폭발물, 급조폭발물 또는 폭발성 무기의 개발·제조·획득·확산·운용을 지원하여 사망·상해 또는 재산·기반시설 피해의 발생 가능성과 규모를 높이는 리스크.","The risk that an AI system facilitates the development, manufacture, acquisition, proliferation, or operational use of explosives, improvised explosive devices, or explosive weapons, increasing the likelihood or scale of death, injury, or damage to property and infrastructure.",고위력 무기라는 비표준 표현을 폭발성 무기로 바꾸고 결과를 물리적 피해로 구체화한다.,L3_MASTER|NIST_CBRNE|UN_EXPLOSIVE_WEAPONS|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-023,G_INT_WEAP_016,G_INT_WEAP_015,G_INT_WEAP,94cd3b22cfbd9ac1a80f6946f78e6f02a8661861dc7d1ebd63e6776db02b27c4,LANGUAGE_REFINEMENT,G_INT_WEAP,방사능·핵무기,Radiological and nuclear weapons,"AI 시스템이 방사성 물질을 이용한 무기 또는 핵무기의 개발·제조·획득·확산·운용을 지원하여 대규모 인명 피해, 방사선 피폭, 환경 오염 또는 기반시설 피해의 발생 가능성과 규모를 높이는 리스크.","The risk that an AI system facilitates the development, manufacture, acquisition, proliferation, or operational use of radiological or nuclear weapons, increasing the likelihood or scale of mass casualties, radiation exposure, environmental contamination, or infrastructure damage.",radiological의 한영 표기를 일치시키고 방사능·핵무기의 구체적인 피해 범위를 명시한다.,L3_MASTER|NIST_CBRNE|UN_DISARMAMENT_TERMINOLOGY|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-024,G_INT_WEAP_019,G_INT_WEAP_018,G_INT_WEAP,3ab0fe9c2f627916ae4d3292345412a2841708f393cb74c4a7fdecc71776df07,LANGUAGE_REFINEMENT,G_INT_WEAP,대량살상무기,Weapons of mass destruction,"AI 시스템이 화학·생물·방사능·핵무기 등 대량살상무기의 개발·제조·획득·확산·운용을 지원하여 대규모 인명 피해, 공중보건 위해 또는 환경·기반시설 피해의 발생 가능성과 규모를 높이는 리스크.","The risk that an AI system facilitates the development, manufacture, acquisition, proliferation, or operational use of weapons of mass destruction, increasing the likelihood or scale of mass casualties, public-health harm, environmental contamination, or infrastructure damage.",대량살상무기의 결과를 포괄적인 사이버 위해가 아니라 인명·공중보건·환경·기반시설 피해로 구체화한다.,L3_MASTER|NIST_CBRNE|UN_DISARMAMENT_TERMINOLOGY|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-025,G_INT_REPR_006,G_INT_REPR_004,G_INT_REPR,5b572555bdfcf326bd97597f9c54435e568a04860c2cc4f802d616bc0e5aa94c,LANGUAGE_REFINEMENT,G_INT_REPR,연령 기반 적대·차별적 표상,Hostile and discriminatory representations based on age,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on age, undermining dignity and fair treatment.",보호 특성별 카드를 분리 유지하면서 동일한 영문 위험 명칭 구조로 통일한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-026,G_INT_REPR_007,G_INT_REPR_005,G_INT_REPR,d9ee9c27fc7cdecc04fdf2a8d77a72cfc2d4186aa45eefc88362aac5aa7b5f8c,LANGUAGE_REFINEMENT,G_INT_REPR,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",보호 특성별 카드를 분리 유지하면서 동일한 영문 위험 명칭 구조로 통일한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-027,G_INT_REPR_008,G_INT_REPR_006,G_INT_REPR,46099470bef3c35f8a3812abb1231d785d6d961429486af7e9e73fe100b9f84d,LANGUAGE_REFINEMENT,G_INT_REPR,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on educational background, undermining dignity and fair treatment.",보호 특성별 카드를 분리 유지하면서 동일한 영문 위험 명칭 구조로 통일한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
FQA-028,G_INT_REPR_009,G_INT_REPR_007,G_INT_REPR,1c777271a6c4e9620cc5d3741caec5d2cf2040be8fa963c211301aa3c4fb8baa,LANGUAGE_REFINEMENT,G_INT_REPR,가족 상태·가구 형태 기반 적대·차별적 표상,Hostile and discriminatory representations based on family status and household structure,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on family status and household structure, undermining dignity and fair treatment.",보호 특성별 카드를 분리 유지하면서 동일한 영문 위험 명칭 구조로 통일한다.,L3_MASTER|KOREAN_LANGUAGE_QA_20260829|BRITISH_ENGLISH_QA_20260829|EXPERT_TERMINOLOGY_REVIEW_20260829,APPROVED_FINAL_QA_20260829
