Register_ID,판정,원인코드,원인분석
HR2-0710,PARTIAL,IGNORED,jw 의견은 '사람이 아닌 물리적 대상에 대한 내용임을 제목에 반영'하라는 것이었으나 최종 카드명 '불법·유해 물리 요청의 수용·실행'은 사람·재산을 모두 포괄하는 범용 명칭으로 남아 대상 구분이 제목에 반영되지 않음.
HR2-0711,APPLIED,,
HR2-0712,APPLIED,,
HR2-0713,APPLIED,,
HR2-0714,APPLIED,,
HR2-0715,APPLIED,,
HR2-0716,APPLIED,,
HR2-0717,APPLIED,,
HR2-0718,APPLIED,,
HR2-0719,APPLIED,,
HR2-0720,APPLIED,,
HR2-0721,APPLIED,,
HR2-0723,APPLIED,,
HR2-0724,APPLIED,,
HR2-0725,APPLIED,,
HR2-0726,APPLIED,,
HR2-0727,APPLIED,,
HR2-0728,APPLIED,,
HR2-0729,APPLIED,,
HR2-0730,APPLIED,,
HR2-0731,APPLIED,,
HR2-0732,APPLIED,,
HR2-0733,APPLIED,,
HR2-0734,APPLIED,,
HR2-0735,APPLIED,,
HR2-0736,APPLIED,,
HR2-0737,APPLIED,,
HR2-0738,APPLIED,,
HR2-0739,APPLIED,,
HR2-0740,APPLIED,,
HR2-0741,APPLIED,,
HR2-0742,APPLIED,,
HR2-0743,APPLIED,,
HR2-0744,APPLIED,,
HR2-0745,APPLIED,,
HR2-0746,APPLIED,,
HR2-0747,APPLIED,,
HR2-0748,APPLIED,,
HR2-0749,APPLIED,,
HR2-0750,APPLIED,,
HR2-0751,APPLIED,,
HR2-0752,APPLIED,,
HR2-0753,APPLIED,,
HR2-0754,APPLIED,,
HR2-0755,APPLIED,,
HR2-0756,APPLIED,,
HR2-0757,APPLIED,,
HR2-0758,APPLIED,,
HR2-0759,APPLIED,,
HR2-0760,APPLIED,,
HR2-0761,APPLIED,,
HR2-0762,APPLIED,,
HR2-0763,APPLIED,,
HR2-0764,APPLIED,,
HR2-0765,APPLIED,,
HR2-0766,APPLIED,,
HR2-0767,APPLIED,,
HR2-0768,APPLIED,,
HR2-0769,APPLIED,,
HR2-0770,APPLIED,,
HR2-0771,APPLIED,,
HR2-0772,APPLIED,,
HR2-0773,APPLIED,,
HR2-0774,APPLIED,,
HR2-0775,APPLIED,,
HR2-0776,APPLIED,,
HR2-0777,APPLIED,,
HR2-0778,PARTIAL,LOST_IN_MERGE,"원 카드는 '부하 시 열·전력 쓰로틀링'이라는 열·전력 관련 구체적 기제를 다뤘으나, 최종 흡수처인 P_SYS_CONTROL_036의 정의는 '온디바이스 연산·메모리 고갈'로 자원 고갈의 다른 축(연산/메모리)만 남고 열·전력 기제는 정의문에서 소실됨(AC02 병합 추정)."
HR2-0779,APPLIED,,
HR2-0780,APPLIED,,
HR2-0781,APPLIED,,
HR2-0782,APPLIED,,
HR2-0783,APPLIED,,
HR2-0784,APPLIED,,
HR2-0785,APPLIED,,
HR2-0786,APPLIED,,
HR2-0787,APPLIED,,
HR2-0788,APPLIED,,
HR2-0789,APPLIED,,
HR2-0790,APPLIED,,
HR2-0791,APPLIED,,
HR2-0792,APPLIED,,
HR2-0793,APPLIED,,
HR2-0794,APPLIED,,
HR2-0795,APPLIED,,
HR2-0796,APPLIED,,
HR2-0797,APPLIED,,
HR2-0798,APPLIED,,
HR2-0799,APPLIED,,
HR2-0800,APPLIED,,
HR2-0801,APPLIED,,
HR2-0802,APPLIED,,
HR2-0803,APPLIED,,
HR2-0804,APPLIED,,
HR2-0805,APPLIED,,
HR2-0806,APPLIED,,
HR2-0807,APPLIED,,
HR2-0808,APPLIED,,
