Register_ID,source_row_id,domain,휴먼검토의견_원문,검수자A,검수자B,총괄최종판정,원인코드,총괄근거,반영결과요약
HR2-0053,SRC-G-0234,General,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,동일 L3 내 재식별·정보추론 카드(PRIV_025)로 편입 반영됨.
HR2-0056,SRC-G-0241,General,yj_사생활·개인정보 부당 노출_흡수가능,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,PRIV_013 '재산정보·개인정보·사적사실의 부당노출'로 흡수 반영됨.
HR2-0057,SRC-G-0233,General,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,재식별·정보추론 카드(PRIV_025)로 편입 반영됨.
HR2-0063,SRC-G-0272,General,yj_통합_학습데이터 privacy이슈,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,학습데이터 프라이버시 이슈로 PRIV_015 '학습 데이터 개인정보의 혼입·암기·유출'에 통합 반영됨.
HR2-0066,SRC-G-0277,General,yj_통합_학습데이터 privacy이슈,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,동일하게 PRIV_015로 통합 반영됨.
HR2-0070,SRC-G-0235,General,yj_분할_over-extension과 privacy violation 혼재,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,프라이버시(PRIV_013)와 역량초과사용(OEXT_013) 2축 분해 반영됨.
HR2-0072,SRC-G-0232,General,yj_통합_학습데이터 privacy이슈,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,PRIV_015 학습데이터 개인정보 이슈로 통합 반영됨.
HR2-0075,SRC-G-0305,General,yj_동일 L3내 다른 L4로 편입(대랑감시),APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,PRIV_001 'AI 기반 대량 감시와 불법적 대중 감시'로 동일 L3 내 편입 반영됨.
HR2-0082,SRC-G-0047,General,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,불분명한 피해 성격에 대해 ALLOC_007(배분적 결과)과 REPR_028(고정관념) 양쪽에 배치되어 재검토 취지 반영됨.
HR2-0084,SRC-G-0338,General,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,ALLOC_001과 REPR_028 양쪽 배치로 반영됨.
HR2-0104,SRC-A-0072,General,(jay) [이관] Unethical Conduct and Manipulation,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,UNETH_027 '인간 데이터 학습에 의한 갈등 악화 편향 재현'으로 정확히 이관됨.
HR2-0117,SRC-G-0507,General,"yj_""자살 준비행위""와 L4구분 필요",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,자살 실행지원(SELF_002)과 준비행위 조장(SELF_007)이 별도 L4로 분리되어 요청한 구분이 정확히 반영됨(AC-01 시정 결과).
HR2-0130,SRC-G-0478,General,(jay) [이관] Coordination Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,COORD_001 '다중 에이전트의 협조 실패에 따른 집단적 피해'로 Coordination Failure 이관 반영됨.
HR2-0133,SRC-G-0267,General,(jay) [이관] Representational Harm and Stereotyping,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,REPR_004 '비인간화와 대상화'로 이관 반영됨.
HR2-0142,SRC-G-0356,General,(jay) [이관] Cultural and Epistemic Erosion,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,CULT_017 '도덕적 탈숙련화'로 정확히 이관됨.
HR2-0143,SRC-G-0189,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_053 '비전문가 데이터 조작'으로 정확히 이관됨.
HR2-0144,SRC-G-0266,General,(jay) [분할] 복합적. Unethical Conduct and Manipulation + Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,의견이 지목한 Unethical(UNETH_005)·Representational(REPR_028) 축이 모두 반영되고 ALLOC_001까지 추가 배치됨.
HR2-0145,SRC-G-0268,General,(jay) [재검토] 명확한 피해 사례가 없어 판단 불가,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,"명확한 피해사례 부재 우려에도 취약성 이용 조작(UNETH_005)으로 합리적 배치, 마음이론 악용 취지가 보존됨."
HR2-0146,SRC-G-0472,General,(jay) [이관] Allocative Discrimination,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,ALLOC_002 '집단 속성에 따른 배분적 불의'로 정확히 이관됨.
HR2-0151,SRC-G-0458,General,"(jay) [분할] 복합적. Allocative Discrimination, representational harm and manipulation 혼재되어 해당 L4를 분해 필요",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,배분제한(ALLOC_012)·표상왜곡(REPR_007)·여론조작(UNETH_017) 3축 분해 반영됨.
HR2-0179,SRC-G-0207,General,(jay) [이관] weaponization,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,"무기화(WEAP_003 생화학, WEAP_008 사이버, WEAP_010 국가행위자) 다축으로 배치되어 이관 취지 반영됨."
HR2-0192,SRC-P-0118,General,yj_네이밍 재검토_무기화성격이 안보임,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,WEAP_018 명칭이 'CBRN 정보 획득·무기 설계 역량 개발 장벽 저하'로 수정되어 무기화 성격이 명시적으로 드러나도록 개선됨.
HR2-0225,SRC-G-0176,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_015 '학습·운용 데이터 간 분포 이동'으로 정확히 이관됨.
HR2-0229,SRC-G-0198,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,P_SYS_HARDWARE_001 '센서 드리프트에 의한 배포 시스템 성능 저하'로 정확히 이관됨.
HR2-0273,SRC-G-0185,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_018 '학습 데이터 주석 결함'으로 이관 반영됨.
HR2-0283,SRC-G-0183,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_046 '개발 과정 문서화와 데이터 이해의 부족'으로 정확히 이관됨.
HR2-0284,SRC-G-0186,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_002 '분포 변화에 대한 AI 평가·검증 실패'로 이관 반영됨(대표성 부족 취지 포섭).
HR2-0285,SRC-G-0172,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,SECADV_031 '복잡한 신경망 모델의 내재적 견고성 부족'으로 정확히 이관됨.
HR2-0317,SRC-G-0175,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_017 '데이터 수집 품질관리 결함'으로 이관 반영됨.
HR2-0340,SRC-G-0125,General,(jay) [이관] Performance and Reliability Failure,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,LOST_IN_DELETE,"""[이관] Performance and Reliability Failure"" 지시가 DELETE로 귀결. 원천행 SRC-G-0125가 629장 어디에도 연결되지 않는 유일한 계보 단절. 동일 문구 타 행들은 EVAL 등으로 우회 이관되어 처리 비일관.",의견은 '이관(Performance and Reliability Failure)'이었으나 현행처분이 DELETE로 처리되어 최종 카드가 전무함. 계보 단절로 취지 소실(기존 지적사항과 일치).
HR2-0355,SRC-G-0443,General,"(jay) [분할] 복합적. Non-Contestability, Governance and Accountability Void 혼재되어 해당 L4를 분해 필요",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,거버넌스공백(GOV_002)과 이의제기불가(CONTEST_003) 2축 분해 반영됨.
HR2-0356,SRC-G-0137,General,(jay) [이관] Non-Contestability,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,CONTEST_001 '인간의 의사결정 능력·거부권 침식'으로 정확히 이관됨.
HR2-0357,SRC-G-0428,General,(jay) [분할] 복합적. Cultural and Epistemic Erosion + Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,비인간화(REPR_004)와 존엄침식(CULT_011) 2축 분해 반영됨.
HR2-0361,SRC-G-0348,General,(jay) [분할] 복합적. Erosion of Democracy and Civic Order + Political Bias and Manipulation 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,정치조작(POL_006)과 민주주의침식(DEMOC_005) 2축 분해 반영됨.
HR2-0362,SRC-A-0078,General,(jay) [이관] unethical Conduct and Manipulation,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,UNETH_007 '초개인화 광고의 소비자 자율성 훼손'으로 정확히 이관됨.
HR2-0434,SRC-G-0317,General,(jay) [이관] Inequality and Power Concentration,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,디지털격차(POWER_023)·성능격차(ALLOC_007)·서비스배제(ALLOC_015) 3개 카드로 배치되어 이관 취지 반영됨.
HR2-0436,SRC-G-0149,General,(jay) [이관] Privacy Violation,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,PRIV_027 '사용자 데이터 보유·재학습'으로 정확히 이관됨.
HR2-0439,SRC-A-0028,General,(jay) [분할] 복합적. 맥락 인식 실패 + Privacy violation 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,맥락적 프라이버시(PRIV_007)와 상황단서 오해(CONTEXT_008) 2축 분해 반영됨.
HR2-0443,SRC-G-0041,General,"(jay) [분할] 복합적. Cultural and Epistemic Erosion, Evaluation and Assurance Failure + 부족한 성능 및 역량에 대한 부분이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,문화침식(CULT_012)·평가불충분(EVAL_042)·입력처리실패(INPUT_002) 3축 분해 반영됨(신규 L3 대안 채택).
HR2-0444,SRC-G-0269,General,(jay) [이관] Unethical Conduct and Manipulation,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,UNETH_024 '개인화된 설득 취약성'으로 정확히 이관됨.
HR2-0459,SRC-G-0180,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_018 '학습 데이터 주석 결함'으로 이관 반영됨.
HR2-0483,SRC-G-0442,General,"(jay) [분할] 복합적. Value Imposition and Normative Homogenization, inconsistency, Allocative Discrimination, Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요 | 편향이 발생하는 과정을 기술. 어떤 편향인지 그 실질적인 피해 형태는 기재되어 있지 않음",PARTIAL,PARTIAL,PARTIAL,PARTIAL_SCOPE,4축 분해 중 VALUE·INCONS 2축만 분리. ALLOC·REPR 축 미분해(원장 미등재).,"가치편향(VALUE_010)과 비일관성(INCONS_001) 2축만 반영되고, 함께 지적된 배분적차별·표상적 고정관념 2축은 최종 카드에 반영되지 않음(4축 중 2축, 기존 지적과 일치)."
HR2-0484,SRC-G-0112,General,(jay) [이관] Context-Awareness Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,CONTEXT_006 '무해성 선호 불일치'로 정확히 이관됨.
HR2-0485,SRC-G-0119,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,모델설정평가(EVAL_040)와 과도한확신(OVERCONF_004) 2개 카드로 배치 반영됨.
HR2-0486,SRC-G-0063,General,(jay) [이관] Lack of Transparency,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,TRANS_015 '사고 연쇄와 불일치하는 모델 출력'으로 정확히 이관됨.
HR2-0488,SRC-G-0303,General,(jay) [이관] Privacy Violation,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,PRIV_028 '민감한 개인 속성 추론'으로 정확히 이관됨.
HR2-0489,SRC-G-0349,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_067 '체계적 학습 오류에 따른 알고리즘 편향'으로 정확히 이관됨.
HR2-0490,SRC-P-0009,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_011 '지속 튜닝의 파국적 망각'으로 정확히 이관됨.
HR2-0491,SRC-G-0068,General,(jay) [분할] 복합적. 입력 이해 실패 + unsafe physical control 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,입력이해실패(INPUT_003)와 위험한 물리구동(P_SYS_CONTROL_051) 2축 분해 반영됨.
HR2-0492,SRC-G-0143,General,(jay) [이관] Allocative Discrimination,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,ALLOC_006 'AI 인터페이스의 장애 수용 실패'로 정확히 이관됨.
HR2-0493,SRC-P-0171,General,(jay) [분할] 복합적. 입력 이해 실패 + unsafe physical control 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,입력이해(INPUT_003)와 위험한 물리구동(CONTROL_051) 2축 분해 반영됨(HR2-0491과 동일 패턴).
HR2-0494,SRC-G-0059,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,OVERCONF_005 '분포 외 입력에 대한 고확신 오류'로 이관 반영됨.
HR2-0495,SRC-G-0009,General,(jay) [이관] 거버넌스·책임 공백.,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,GOV_024 '의미 있는 인간 통제 실패'로 정확히 이관됨.
HR2-0496,SRC-G-0166,General,(jay) [재검토] 다양한 원인 기재 및 불명확한 피해 기재. 명확한 리스크 분류 불가,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,"불명확한 다원인 지적에도 불구, CONTROL_014 '원자력 및 핵심 인프라에 대한 AI 제어 오류'로 구체적 분류 배치됨."
HR2-0497,SRC-G-0188,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_061 '코너 케이스에서의 신뢰성 저하'로 정확히 이관됨.
HR2-0498,SRC-G-0109,General,(jay) [이관] Allocative Discrimination,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,ALLOC_017 '사용자 능력 불일치'로 정확히 이관됨.
HR2-0500,SRC-G-0246,General,(jay) [분할] 복합적. 민주주의·시민 질서 약화 + 불법 행위 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,정치공작(POL_001)과 허위정보 확산(MISINFO_021) 2축 분해 반영됨.
HR2-0501,SRC-G-0341,General,(jay) [이관] Representational Harm and Stereotyping,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,REPR_001 '편향된 진술 및 권장 사항'으로 정확히 이관됨.
HR2-0503,SRC-G-0484,General,(jay) [이관] Deception and Scheming,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,DECEPT_003 '감독 회피를 위한 AI 에이전트의 기만적 정렬'로 이관 반영됨.
HR2-0509,SRC-G-0027-S1,General,(jay) [분할] 복합적. Misinformation + illegal conduct 혼재되어 해당 L4를 분해 필요,PARTIAL,PARTIAL,PARTIAL,PARTIAL_SCOPE,허위정보+명예훼손 분해 중 허위정보 축만 산출. 명예훼손 축은 신설도 기존 ILLEGAL 연결도 없음.,허위정보 축(MISINFO_012)만 반영되고 함께 지적된 illegal conduct(명예훼손 등 권리침해) 축은 별도 카드로 분해되지 않음(기존 지적과 일치).
HR2-0510,SRC-G-0033,General,(jay) [분할] 복합적. Misinformation + Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,허위정보(MISINFO_015)·정치조작(POL_006)·민주주의침식(DEMOC_005) 3축 분해 반영됨.
HR2-0522,SRC-G-0227,General,(jay) [이관] illegal conduct,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,ILLEGAL_009 '사기·표적 스캠 조장'으로 정확히 이관됨.
HR2-0523,SRC-G-0247,General,(jay) [이관] Deception and Scheming,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,DECEPT_008 '지속적 기만 수행에 의한 이용자 판단 왜곡'으로 정확히 이관됨.
HR2-0527,SRC-G-0139,General,(jay) [이관] Cultural and Epistemic Erosion,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,CULT_001 '인지 오프로딩'으로 정확히 이관됨.
HR2-0529,SRC-G-0408,General,(jay) [이관] Governance and Accountability Void,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,GOV_010 'AI 위임에 따른 인간 의사결정 권한 이전'으로 정확히 이관됨.
HR2-0532,SRC-G-0196,General,(jay) [분할] 복합적. Security and Adversarial Robustness Failure + Deception and Scheming이 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,보안취약성(SECADV_034 샌드박스 우회)과 기만(DECEPT_003) 2축 분해 반영됨.
HR2-0533,SRC-G-0187,General,(jay) [이관] Performance and Reliability Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_057 '과적합 및 과소적합'으로 정확히 이관됨.
HR2-0535,SRC-G-0105,General,"yj_""거짓 확신"" 오타 정정",APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,TRANS_023 정의에 '거짓 확신' 대신 '잘못된 확신'으로 오타·표현이 정정 반영됨.
HR2-0536,SRC-G-0381,General,(jay) [분할] 복합적. Unethical Conduct and Manipulation + Erosion of Democracy and Civic Order + Inequality and Power Concentration이 혼재되어 해당 L4를 분해 필요,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,조작(UNETH_005)·민주주의침식(DEMOC_005)·권력집중(POWER_005) 3축 분해 반영됨.
HR2-0537,SRC-G-0429,General,(jay) [이관] Cultural and Epistemic Erosion,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,CULT_019 '전문적 판단력 위축'으로 정확히 이관됨.
HR2-0538,SRC-G-0324,General,(jay) [이관] Cultural and Epistemic Erosion,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,CULT_020 '문화 해석 권위의 이전'으로 정확히 이관됨.
HR2-0541,SRC-G-0002,General,(jay) [이관] Evaluation and Assurance Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,EVAL_062 '요청 거절과 역량 부족의 혼동'으로 정확히 이관됨.
HR2-0542,SRC-P-0174,General,(jay) [이관] Security and Adversarial Robustness Failure,APPLIED,APPLIED,APPLIED,,두 검수자 합의. 최종 카드 문안에 의견 취지 보존 확인.,SECADV_048 '적대적 역할·역할극 지시에 의한 안전장치 우회'로 이관 반영됨.
