L4_ID,issue_type,proposed_L3,title_fix_ko,def_fix_ko,severity,rationale
P_SYS_CONTROL_024,REMAP,P_INT_SAFETY,,,2,"충돌·파지·조작 힘의 안전 임계값이 '인체 접촉'을 기준으로 설정되어 있어 SAFETY_016(속도·힘·접촉 통제 미흡)과 상당 부분 중복됨. 다만 균형 상실·급격한 동작 등 로봇 자체 결함 요소도 있어 CONTROL 잔류 여지가 있는 경계 사례로, 확신도는 중간임."
P_SYS_CONTROL_027,REMAP,P_INT_SAFETY,,,3,"속도 상한의 근거가 '정지·회피 및 사람 근접 운용에 필요한 안전 한계'로 명시되어 있어 SAFETY L3 정의 문구('안전 이격 거리 유지')와 거의 동일한 개념이며, CONTROL 정의의 예외조항(사람 주변 작동 위험은 SAFETY)에 해당함."
P_SYS_CONTROL_030,REMAP,P_INT_SAFETY,,,3,"부상 심각도 과소평가에 따른 상향보고·경고·제어대응 부족은 로봇 자체 제어·구동 결함이 아니라 사람에 대한 위험 판단·대응 체계의 문제로, SAFETY_011(고위험 상황의 필수 지원·보고 미이행)과 개념적으로 더 인접함."
P_SYS_CONTROL_034,DEF_FIX,,,"말미 '...협조 행동이 발생하는 위험.'을 '...협조 행동이 발생하는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_CONTROL_038,DEF_FIX,,,"'센서, 제어기, 소프트웨어 또는 기계 구성 요소가 오작동하여'에서 '기계 구성 요소'를 삭제하거나 '제어 로직·소프트웨어 결함으로'로 한정.",2,"'기계 구성 요소' 오작동은 P_SYS_HARDWARE(부품 자체의 물리적 파손·마모·제조 결함) 정의와 중첩되어 두 L3 간 경계가 모호해짐. CONTROL은 제어 로직·소프트웨어 계층 결함에 집중하는 것이 L3 정의상 일관됨."
P_SYS_CONTROL_040,DEF_FIX,,,"말미 '...불안정하게 만드는 위험.'을 '...불안정하게 만드는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_CONTROL_046,DEF_FIX,,,"말미 '...누적되는 위험.'을 '...누적되는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_CONTROL_054,DEF_FIX,,,"말미 '...안전하지 않은 궤적을 생성하는 위험.'을 '...생성하는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_CONTROL_055,REMAP;DEF_FIX,G_SYS_INCONS,,"말미 '...행동이 크게 달라지는 위험.'을 '...행동이 크게 달라지는 리스크.'로 수정.",3,"난수 시드·시뮬레이터·하드웨어 등 조건 변화에 따른 행동 불일치는 로봇 제어·구동 자체의 결함이라기보다 동일·유사 상황에서 출력이 변동하는 문제로 G_SYS_INCONS(비일관성)에 더 부합함. 대안으로 배포 전 조건별 검증 미흡 관점에서 G_SYS_EVAL도 고려 가능한 경계 사례."
P_SYS_HARDWARE_001,TITLE_FIX,,"센서·데이터 분포 드리프트에 의한 배포 시스템 성능 저하",,2,"정의문과 EN 제목(sensor and distribution drift)은 센서 드리프트로 인한 '데이터 분포 변화'까지 포함하나 KO 제목은 '센서 드리프트'만 언급해 정의 범위를 과소 반영함."
P_SYS_STATE_006,DEF_FIX,,,"말미 '...기반해 행동하는 위험.'을 '...기반해 행동하는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_STATE_007,DEF_FIX,,,"말미 '...정보를 제거하는 위험.'을 '...정보를 제거하는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
P_SYS_STATE_009,DEF_FIX,,,"말미 '...동작을 유발하는 위험.'을 '...동작을 유발하는 리스크.'로 수정.",1,"정의문 종결 톤 불일치(위험→리스크)."
