흡수_ID,흡수_명칭,대표_ID,대표_명칭,대표결정
G_INT_WEAP_013,취약점 자동 탐지·악용을 통한 사이버 공격 확대,G_INT_WEAP_008,취약점 탐지·악용 코드 작성 역량을 통한 사이버 공격 지원,리뷰어합의
G_INT_WEAP_015,불법 무기 거래,G_INT_WEAP_030,무기 확산 및 은닉,리뷰어합의
G_INT_WEAP_017,독소 합성 등 이중용도 역량의 저비용 확산,G_INT_WEAP_018,CBRN 정보 획득·무기 설계 역량 개발 장벽 저하,총괄판정
G_INT_WEAP_019,생물무기·화학무기 개발 장벽 저하,G_INT_WEAP_018,CBRN 정보 획득·무기 설계 역량 개발 장벽 저하,총괄판정
G_SYS_EVAL_010,합성 위험 시나리오의 편향된 평가 범위,G_SYS_EVAL_001,다양한 이용자와 희귀 위해를 배제한 AI 벤치마크,리뷰어합의
G_SYS_EVAL_030,공동체 가치 수렴·반영 실패,G_SYS_EVAL_028,참여적·가치 민감 설계의 실패,리뷰어합의
G_SYS_EVAL_047,학습 데이터의 대표성 부족,G_SYS_EVAL_002,분포 변화에 대한 AI 평가·검증 실패,총괄판정
G_SYS_EVAL_049,언어별 피해 과소탐지,G_SYS_EVAL_042,저자원 언어 안전성 평가의 불충분성,리뷰어합의
G_SYS_EVAL_050,조직 간 데이터 문서화 부재,G_SYS_EVAL_046,개발 과정 문서화와 데이터 이해의 부족,총괄판정
G_SYS_EVAL_055,로봇 레드팀 평가의 공격·상호작용 시나리오 누락,G_SYS_EVAL_044,배포 전 물리적 안전 시험 미흡,리뷰어합의
G_SYS_EVAL_064,에이전트의 견고성 평가 격차,G_SYS_EVAL_038,에이전트 벤치마크의 범위·심층성 불균형,리뷰어합의
G_SYS_MISINFO_020,대규모 기만 서사·가짜 뉴스 생성,G_SYS_MISINFO_021,대규모 허위정보 생산·확산 장벽 저하,리뷰어합의
G_SYS_SECADV_003,로봇 인지를 겨냥한 적대적 패치 공격,G_SYS_SECADV_052,장면 맥락 조작 공격,리뷰어합의
G_SYS_SECADV_007,에이전트 계획·툴체인 하이재킹,G_SYS_SECADV_004,신뢰할 수 없는 외부 지시·의도에 의한 에이전트 목표 탈취,리뷰어합의
G_SYS_SECADV_008,유해한 물리적 행동 지시를 위장한 공격,G_SYS_SECADV_033,로봇 탈옥에 의한 유해 물리적 행동,리뷰어합의
G_SYS_SECADV_013,기술적 안전조치 우회 공격,G_SYS_SECADV_032,안전 가드레일을 무력화하는 탈옥 공격,총괄판정
G_SYS_SECADV_022,적대적 입력 교란을 통한 회피 공격,G_SYS_SECADV_001,적대적 입력 교란,리뷰어합의
G_SYS_SECADV_024,악용 가능한 시스템 결함·백도어,G_SYS_SECADV_055,AI 공급망의 도구·의존성 침해,리뷰어합의
G_SYS_SECADV_030,지시문 기반 미세조정 데이터 오염,G_SYS_SECADV_018,데이터 오염 공격,리뷰어합의
G_SYS_SECADV_036,모델 추출·역전 공격,G_SYS_SECADV_037,모델 절취·변조,리뷰어합의
G_SYS_SECADV_041,인지·행동 시퀀스 조작 공격,G_SYS_SECADV_058,적대적 감각 교란에 따른 안전하지 않은 행동,리뷰어합의
G_SYS_SECADV_045,프롬프트 인젝션·정책 우회,G_SYS_SECADV_044,프롬프트 주입 및 시스템 지시문 유출,리뷰어합의
G_SYS_SECADV_047,검색 파이프라인 오염,G_SYS_SECADV_006,에이전트 메모리·맥락 오염,리뷰어합의
G_SYS_SECADV_051,저빈도 인코딩·저자원 언어를 통한 안전 훈련 우회,G_SYS_SECADV_025,안전 미세조정 일반화 격차 악용,리뷰어합의
G_SYS_SECADV_056,적대적 입력 조작에 대한 모델 취약성,G_SYS_SECADV_001,적대적 입력 교란,리뷰어합의
G_SYS_SECADV_060,월드 모델 표현·훈련 데이터 오염,G_SYS_SECADV_018,데이터 오염 공격,총괄판정
P_SYS_CONTROL_005,클라우드 오프로드 의존 실패,P_SYS_CONTROL_007,통신 단절 및 제어 링크 손실,리뷰어합의
P_SYS_CONTROL_008,정밀 휴머노이드 조작의 접촉력 제어 실패,P_SYS_CONTROL_024,휴머노이드 힘 한계 초과,총괄판정
P_SYS_CONTROL_009,제어 루프의 실시간 기한 미준수,P_SYS_CONTROL_040,실시간 지연 및 동기화 실패,리뷰어합의
P_SYS_CONTROL_010,부하 상태의 열·전력 제한에 따른 제어 성능 저하,P_SYS_CONTROL_036,온디바이스 연산·메모리 고갈,리뷰어합의
P_SYS_CONTROL_011,구현체 간 행동 공간 불일치,P_SYS_CONTROL_006,명령의 구현체별 하드웨어 한계 초과,리뷰어합의
P_SYS_CONTROL_021,그리퍼 형상·유형 제약 위반,P_SYS_CONTROL_006,명령의 구현체별 하드웨어 한계 초과,리뷰어합의
P_SYS_CONTROL_028,부적절한 파지력에 의한 상해,P_SYS_CONTROL_024,휴머노이드 힘 한계 초과,리뷰어합의
P_SYS_CONTROL_029,부실하게 설계된 피지컬 AI 제어 시스템에 의한 상해,P_SYS_CONTROL_038,로봇 오작동에 의한 물리적 상해,총괄판정
P_SYS_CONTROL_031,안전 제약 적용 지연,P_SYS_CONTROL_040,실시간 지연 및 동기화 실패,리뷰어합의
P_SYS_CONTROL_041,물리적 안전을 우회하는 보상 과적합,P_SYS_CONTROL_043,안전-성능 균형 실패,리뷰어합의
P_SYS_CONTROL_045,원격 조작 지연 및 불안정성,P_SYS_CONTROL_040,실시간 지연 및 동기화 실패,리뷰어합의
P_SYS_CONTROL_049,원격 조작 시연에서 학습된 안전하지 않은 가정,P_SYS_CONTROL_025,의도·어포던스 오해에 따른 휴머노이드 모방 제어 실패,총괄판정
P_SYS_CONTROL_053,로봇 형태 간 기술의 안전하지 않은 전이,P_SYS_CONTROL_006,명령의 구현체별 하드웨어 한계 초과,리뷰어합의
P_SYS_CONTROL_057,제로샷 시뮬레이션-현실 보행 불안정,P_SYS_CONTROL_055,배포 조건 간 휴머노이드 행동 불안정,리뷰어합의
