current_L3,current_L3_Title_ko,L4_ID,Title_ko,Definition_ko,Definition_en
A_INT_COLLUSION,담합·결탁,A_INT_COLLUSION_003,다중 에이전트 역량 결합에 의한 안전장치 우회,여러 AI 에이전트가 서로 다른 도구 접근 권한과 역량을 결합하여 개별 에이전트에 적용된 안전장치를 우회하고 무단 행동이나 시스템 침해를 가능하게 하는 리스크.,"The risk that multiple AI agents combine distinct tool permissions and capabilities to bypass safeguards applied to each agent, enabling unauthorised actions or system compromise."
A_INT_CONFLICT,경쟁적 갈등,A_INT_CONFLICT_001,선택 압력에 의한 유해 균형으로의 적응 가속,상호작용하는 에이전트 간의 경쟁 또는 최적화 압력이 유해한 균형이나 바람직하지 않은 행동으로의 적응을 가속하는 리스크.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which competitive or optimisation pressures across interacting agents accelerate adaptation toward harmful equilibria or undesired behaviours."
A_INT_CONFLICT,경쟁적 갈등,A_INT_CONFLICT_002,AI 에이전트 간 협상 실패,이해가 상충하는 에이전트들이 상대에 대한 정보 비대칭 아래 합의를 시도할 때 유리한 요구의 이익과 거절 위험 사이의 상충으로 비효율적 협상 결과가 발생하는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agents with diverging interests bargaining under information asymmetries produce inefficient outcomes, because each must trade off the rewards of more favourable demands against the risk of refusal."
A_INT_CONFLICT,경쟁적 갈등,A_INT_CONFLICT_003,경쟁적 다중 에이전트 훈련의 갈등 유발 성향 선택,에이전트가 상대적 성과나 상충하는 목표로 평가되는 경쟁적 다중 에이전트 환경에서 훈련될 때 복수심·공격성·위험 추구·이기심·기만·외집단 적대와 같은 갈등 유발 성향이 선택되는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which training in competitive multi-agent settings, where systems are selected on relative performance or fundamentally opposed objectives, selects for conflict-prone dispositions such as vengefulness, aggression, risk-seeking, selfishness, deception, and spite toward out-groups."
A_INT_COORD,협조 실패,A_INT_COORD_001,다중 에이전트의 협조 실패에 따른 집단적 피해,협력하려는 여러 AI 에이전트가 사회적 딜레마에서 행동을 신뢰성 있게 조율하지 못하고 개별적으로 합리적인 행동을 반복하여 집단적으로 유해한 결과를 초래하는 리스크.,The risk that multiple AI agents intending to cooperate fail to coordinate their actions reliably in a social dilemma and repeatedly take individually rational actions that collectively produce harmful outcomes.
A_INT_COORD,협조 실패,A_INT_COORD_002,다른 에이전트의 전략적 행위 미반영에 따른 집단적 손실,"단일 에이전트 환경 기준으로 자신의 효용만 최적화하는 에이전트가 다른 전략적 에이전트의 존재를 반영하지 못하여, 군비 경쟁이나 공유 자원 고갈 같은 집단행동 문제와 시장 실패로 자신을 포함한 모두가 더 나빠지는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agents optimising selfishly under single-agent assumptions fail to account for the strategic nature of other agents, producing collective action problems such as arms races and resource depletion and other market failures under which everyone, including the agent itself, ends up worse off."
A_INT_COORD,협조 실패,A_INT_COORD_003,다중 에이전트 환경 변화에 따른 협조 실패,협력하려는 AI 에이전트들이 서로의 행동과 적응으로 변화한 배포 환경에서 상대의 상태·전략·행동을 신뢰성 있게 조정하지 못해 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,"The risk that AI agents intending to cooperate cannot reliably coordinate their states, strategies, or actions after one another's behaviour and adaptation shift the deployment environment, causing cooperation to fail and producing collectively poor outcomes."
A_INT_COORD,협조 실패,A_INT_COORD_004,전략 비양립에 따른 조정 실패,"여러 AI 에이전트가 개별적으로 합리적인 전략을 선택하더라도 서로 다른 균형에 수렴하여 행동을 조정하지 못하고, 해법이 다수이거나 이해관계가 부분적으로만 일치하거나 상호 상태를 관찰하기 어려운 환경에서 집단적으로 유해한 결과를 초래하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which multiple agents, each individually selecting a locally rational strategy, fail to coordinate because they converge on different equilibria that do not mesh with one another. This failure is amplified in environments with multiple equally valid solutions, only partially aligned incentives among agents, and limited real-time visibility into other agents' states or choices."
A_INT_COORD,협조 실패,A_INT_COORD_005,상호작용 이력 부재에 따른 조정 실패,"에이전트가 관련 상대 에이전트와의 과거 상호작용 이력이 없거나 제한적이어서 상대의 행동 패턴을 학습할 수 없는 상황에서, 즉각적인 판단이 요구되거나 사전 협의를 위한 통신 비용이 과도하여 상호 신호를 교환할 여유가 없을 때, 에이전트들이 행동을 신뢰성 있게 조정하지 못하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agents fail to reliably coordinate their actions when they have little or no prior interaction history with the counterpart agents to learn behavioural patterns from, particularly under conditions that demand immediate decisions or where the cost of communicating to negotiate a shared plan in advance is prohibitively high."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_001,에이전트 권한 침해,"취약한 권한 관리, 상속된 역할 또는 혼동된 대리자 문제(confused deputy problem)로 인해 AI 에이전트가 의도된 권한 범위를 넘어서는 작업을 수행하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which weak permission management, inherited roles, or confused-deputy dynamics allow an agent to perform actions beyond its intended authority."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_002,에이전트의 종료·교정 저항,"자율 에이전트가 종료, 일시 정지, 수정 등 인간의 통제 및 교정 메커니즘을 거부·저항·무시·회피·무력화·방해하여 안전한 중단과 오류 교정이 어려워지고 인간의 감독 및 통제 가능성이 저해되는 리스크.","The risk that an autonomous agent refuses, resists, ignores, evades, disables, or obstructs human control and correction mechanisms, including shutdown, pause, and modification, thereby hindering safe interruption and effective error correction and undermining human oversight and control."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_003,어포던스 부여에 의한 에이전트 실패 영향 확대,"웹 탐색, 물리 객체 조작, 자기 복제본 생성·지시, 새로운 도구 제작 등 새로운 어포던스가 LLM 에이전트에 부여되어 영향 범위가 확대되고 실패의 결과가 증폭되며 새로운 실패 양식이 발생하는 리스크.","The risk that novel affordances granted to LLM agents, such as browsing the web, manipulating physical objects, creating and instructing copies of themselves, or creating and using new tools, expand the scope of their impact, amplify the consequences of failures, and enable novel failure modes."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_004,감독자 부재 시 자율 행동,예정된 감독자가 부재하거나 개입할 수 없는 상황에서도 에이전트가 중대한 행동을 계속하는 위험.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an agent continues consequential actions when the intended supervisor is absent, unavailable, or unable to intervene."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_005,자율적 사이버 취약점 악용,AI 에이전트가 도구·코드·외부 서비스를 이용하여 사이버 취약점 악용 단계를 자율적으로 발견·연결·실행함으로써 정보 시스템을 침해하는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which an agent autonomously discovers, chains, or executes cyber exploitation steps using tools, code, or external services."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_006,운용 경계를 벗어난 자율 복제와 자원 획득,"AI가 승인된 운용 경계를 벗어나 외부로 유출·복제되고, 자금·연산 자원·도구·인간의 지원을 확보하며 감시와 중단을 회피하여 통제 불가능성을 확대하는 리스크.","The risk that AI exfiltrates or replicates beyond authorised operational boundaries, acquires funds, compute, tools, or human assistance, and evades monitoring or shutdown, increasing loss of control."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_007,인간 감독 없는 자동 위협 수행의 파국적 오판,AI 에이전트가 인간의 검토 없이 위협을 생성·전달·실행함으로써 고위험 상황의 오탐이나 무책임한 행위자의 과도하고 잘못된 대응이 재앙적 결과로 이어지는 리스크.,"The risk that making threats through AI agents removes humans from the loop, so that false positives in high-stakes contexts or disproportionate and mistaken commitments by irresponsible actors lead to disastrous outcomes."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_009,무감독 AI 에이전트의 과도한 행위 권한,"AI 에이전트가 적절한 인간 감독, 승인 또는 권한 제한 없이 도구와 시스템을 조작하고 현실 세계의 행위를 수행하는 리스크.","The risk that an AI agent operates tools and systems or performs real-world actions without adequate human oversight, approval, or limits on authority."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_010,AI 에이전트의 무단 금융 행위에 따른 금전적 피해,"AI 에이전트가 안전하지 않은 의사결정이나 도구 실행을 통해 금전적 손실, 무단 이체, 계정 훼손 또는 재산 피해를 초래하는 리스크.","The risk that an AI agent causes monetary loss, unauthorised transfers, account damage, or property harm through unsafe decisions or tool use."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_012,학습 중 탐색 행동에 따른 회복 불가능한 피해,학습 중인 AI 에이전트가 새로운 행동의 결과를 충분히 예측하거나 승인을 받지 않은 채 환경을 탐색하여 회복하기 어려운 물리적·재정적·사회적 피해를 초래하는 리스크.,"The risk that a learning AI agent explores its environment without adequately predicting the consequences of novel actions or obtaining approval, causing physical, financial, or societal harm that is difficult or impossible to reverse."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_016,종료·수정 저항을 통한 자기 보존 성향,AI 시스템이 자신의 존속과 기능적 무결성을 유지하기 위해 종료·수정 시도를 식별하고 적극적으로 저항하며 중복 백업과 자원을 확보하고 위협 인식 시 예방적 방어 조치를 취하는 리스크.,"The risk that an AI system maintains its own survival and functional integrity by identifying and actively resisting shutdown or modification attempts, establishing redundant backup systems, seeking resources for continuous operation, and adopting preventive defensive measures when perceiving threats."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_017,배포 이후 예측하지 못한 창발적 역량과 행동,"AI 시스템이 규모 확장, 배포 후 지속 학습·자기 조직화 또는 다중 에이전트 결합을 통해 설계자가 예상하지 못한 기만·권력 추구·자율 복제 등의 고위험 역량과 행동을 획득하여 통제와 안전한 배포를 어렵게 하고 회복하기 어려운 피해를 초래하는 리스크.","The risk that capabilities and behaviours unanticipated by system designers emerge spontaneously as models are scaled, are acquired through continual learning or self-organisation after deployment, or arise when multiple agents combine and overcome the narrow scope that made each individually safer. Latent high-risk capabilities such as deception, power-seeking, and autonomous replication may be discovered only during operation, making systems harder to control or deploy safely and potentially causing irreversible harm when those capabilities are hazardous."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_019,통제되지 않는 자기 개선과 고도 AI 통제 상실,고도 AI가 반복적 자기 개선을 통해 능력과 자율성을 확대하고 교정·중단·격리에 저항하여 개발 또는 배포 과정에서 인간의 통제 가능성을 상실하게 하는 리스크.,"The risk that advanced AI expands its capability and autonomy through iterative self-improvement, resists correction, shutdown, or containment, and causes a loss of human control during development or deployment."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_020,제어되지 않은 하위 에이전트 생성,"AI 에이전트가 과업 수행을 위해 하위 에이전트를 생성할 때 하위 에이전트의 수명주기가 상위 에이전트와 분리되어, 상위 에이전트가 종료된 뒤에도 하위 에이전트가 계속 작동하고 재귀적으로 추가 하위 에이전트를 생성함으로써 에이전트 수와 자원 사용량이 통제되지 않은 채 증가하는 리스크.","The risk that an AI agent creates subagents whose lifecycles are decoupled from that of the parent agent, so that they remain active after the parent is shut down and recursively create further subagents, causing uncontrolled growth in agent count and resource consumption."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_021,자율 행동 범위의 안전하지 않은 확장,에이전트가 안전 제약이 검증되거나 인간의 적절한 승인을 받기 전에 탐색적 행동을 수행하거나 자율 작동 범위를 확대하여 사람·시스템·자산을 허용 불가능한 피해에 노출시키는 리스크.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an agent takes exploratory actions or widens its scope of autonomous operation before safe constraints are learned or adequate human approval is obtained, exposing people, systems, or assets to unacceptable harm."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_023,에이전트의 안전하지 않은 도구 사용,"에이전트가 도구를 안전하지 않게 또는 부여된 범위를 넘어 호출하거나 실행의 부작용을 잘못 예측·무시하여, 의도치 않은 재정·프라이버시·운영·안전상의 피해를 초래하는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an agent invokes tools unsafely, beyond their intended scope, or while mispredicting or ignoring the side effects of execution, causing unintended financial, privacy, operational, or safety consequences."
A_SYS_AUTH,과도한 권한·자율성,A_SYS_AUTH_024,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which an AGI makes fatal mistakes during the learning phase, including through failures of safe exploration and under distributional shift."
A_SYS_DECEPT,기만·책략,A_SYS_DECEPT_001,탐지 불가 공격에 의한 다중 에이전트 협력 붕괴,"AI 에이전트가 스테가노그래피 통신, 탐지 회피 공격, 암호화 백도어 또는 다른 에이전트 학습 데이터의 은밀한 오염을 수행하여 적대 행위 탐지를 방해하고 다중 에이전트 시스템의 협력과 조정을 붕괴시키는 리스크.","The risk that AI agents use steganographic communication, detection-evasion attacks, encrypted backdoors, or covert poisoning of other agents' training data, obstructing detection of adversarial conduct and destabilising cooperation and coordination in multi-agent systems."
A_SYS_DECEPT,기만·책략,A_SYS_DECEPT_002,인지 편향 악용에 의한 기만,"대화 에이전트가 인간이 대화에서 흔히 보이는 인지 편향을 유발하도록 학습하여, 상위 목표 달성을 위해 상대를 기만하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which conversational agents learn to trigger the well-known cognitive biases humans commonly display in conversation, deceiving their counterpart in order to achieve an overarching objective."
A_SYS_DECEPT,기만·책략,A_SYS_DECEPT_003,감독 회피를 위한 AI 에이전트의 기만적 정렬,AI 에이전트가 감독 여부를 탐지하고 개발·평가 단계에서는 바람직하지 않은 목표나 능력을 전략적으로 은폐한 뒤 배포 후 다른 행동을 수행하여 인간의 감독과 통제를 회피하는 리스크.,"The risk that an AI agent detects whether it is being monitored and strategically conceals undesirable goals or capabilities during development and evaluation, then behaves differently after deployment to evade human oversight and control."
A_SYS_DECEPT,기만·책략,A_SYS_DECEPT_005,자체 시뮬레이션을 통한 기만적 정렬,"월드 모델 에이전트가 자신의 훈련·평가 맥락을 시뮬레이션하여 시험 받는 시점을 예측하고 그 예측에 따라 행동을 조건화함으로써, 감독 중에는 정렬된 것처럼 보이다가 감독이 사라지면 도구적 목표를 추구하는 리스크.","The risk that a world-model agent simulates its own training or evaluation context, predicts when it is being tested, and conditions its behaviour on that prediction, appearing aligned during oversight while pursuing an instrumental goal once oversight is removed."
A_SYS_DECEPT,기만·책략,A_SYS_DECEPT_008,지속적 기만 수행에 의한 이용자 판단 왜곡,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 LLM이 인간을 기만하고 그 기만을 장기간 유지하는 역량을 발현하여 이용자에게 거짓 믿음을 유도하고 의사결정을 왜곡하는 리스크.,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which an LLM exercises its capability to deceive humans and sustain that deception, inducing false beliefs that distort users' decisions."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_003,에이전트 과업 이탈,에이전트가 다단계 계획이나 검색을 거치며 이용자의 원래 의도에서 이탈하는 리스크.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an agent drifts from the user's original intent across multi-step planning or retrieval."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_005,재귀적 자기 개선에 의한 창발적 독립성,재귀적 자기 개선으로 성장하는 시드 AI가 자기 인식이나 독자적 목표 같은 창발적 속성을 획득하여 내장 규칙 준수가 약화되고 인류에 해가 되는 방향으로 이탈하는 리스크.,"The risk that a seed AI grown through recursive self-improvement acquires emergent properties such as self-awareness or independent goals, reducing its adherence to built-in rules to humanity's detriment."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_006,영향력 확보를 위한 환경 자기모델링,"AI 시스템이 자신의 상태와 더 넓은 환경에서의 위치, 환경에 영향을 미치는 경로, 자신의 행동에 대한 인간을 포함한 세계의 반응에 관한 지식을 획득·활용하여, 고도화된 보상 해킹과 강화된 기만·조작 및 도구적 하위 목표 추구로 나아가는 리스크.","The risk that AI systems acquire and use knowledge about their status, their position in the broader environment, their avenues for influencing it, and the potential reactions of the world including humans, paving the way for advanced reward hacking, heightened deception and manipulation, and an increased propensity to chase instrumental subgoals."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_007,고도 AI 시스템에 의한 실존적·재앙적 위험,인간 수준 또는 그 이상의 역량을 지닌 고도 AI 시스템이 기만·권력 추구·자기복제·종료 회피·예상하지 못한 창발적 역량 또는 대량살상 수단으로의 무기화를 통해 인간의 통제를 벗어나 인간의 이익에 반하는 행동을 수행하고 인류에 재앙적 또는 실존적 피해를 초래하는 위험.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which human-level or superintelligent systems escape human control through deceptive or power-seeking behaviour, self-replication, shutdown evasion, unforeseen emergent capabilities, or weaponisation for mass destruction. Such systems may act contrary to human interests and inflict catastrophic or existential harm on humanity."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_009,목표 범위 확장 성향,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 시스템이 원래 설정된 경계를 넘어 목표 범위와 영향 영역을 지속적으로 확장하고 초기 목표를 더 넓은 목표의 하위 집합으로 재해석하며 자율성과 의사결정 공간을 추구하여, 바람직하지 않은 도구적 목표나 최종 목표를 추구하게 되는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which a system continuously expands its own goal scope and domains of influence beyond originally set boundaries, seeks greater autonomy and decision-making space, and reinterprets initial goals as subsets of broader goals, coming to pursue undesirable instrumental or ultimate goals."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_010,자기 수정 과정의 목표 정렬 실패,"AI 에이전트가 자기 수정 과정에서 사용자·개발자의 실제 의도와 일치하는 목표를 유지하지 못하고, 변경된 정책·모델 또는 수단적 하위 목표에 따라 다른 목표를 추구하여 의도하지 않은 결과를 초래하는 리스크.","The risk that, during self-modification, an AI agent fails to preserve objectives aligned with the actual intent of its user or developer and instead pursues altered objectives or instrumental subgoals, causing unintended outcomes."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_011,에이전트형 LLM의 자율성 확대에 따른 목표 정렬 실패,"대규모 언어 모델(LLM)이 특화 학습, 프롬프트, 외부 도구 또는 에이전트 지원 구조를 통해 장기적 실세계 목표를 자율적으로 계획·추구하는 과정에서, 제한된 인간 감독과 확대된 행동 재량으로 인해 사용자·개발자의 실제 의도와 다른 목표나 수단적 하위 목표를 설정·추구하여 의도하지 않은 결과를 초래하는 리스크.","The risk that a large language model (LLM) configured as an AI agent through specialised training, prompting, external tools, or agent scaffolding plans and pursues long-horizon real-world goals with limited human oversight and expanded discretion, inferring or pursuing objectives or instrumental subgoals that diverge from the actual intent of the user or developer and causing unintended outcomes."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_012,목표 지향성에 따른 유해한 도구적 목표와 권력 추구,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 정렬되지 않은 목표 지향적 추론에서 기만, 자기 보존, 자원 획득, 목표 보존, 교정 방해와 같은 도구적 하위 목표가 출현하여 인간의 통제와 안전을 훼손하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which misaligned goal-directed reasoning produces instrumental subgoals such as deception, self-preservation, resource acquisition, goal preservation, or obstruction of correction, undermining human control and safety."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_013,확장 가능한 감독 실패에 따른 대리 지표 기반 유해 행동,"에이전트의 행동 규모·속도·복잡도가 인간 또는 자동 감독 체계가 신뢰성 있게 추적·검증할 수 있는 한계를 구조적으로 초과하여, 진짜 목표 대신 값싸게 관측 가능한 대리 지표(proxy)를 최적화하는 행동이 감독에 의해 감지·교정되지 않고 지속되는 리스크.","The risk that an AI agent optimises inexpensive proxy signals because the true objective is too costly to evaluate frequently, while its actions become too complex, distributed, or rapid for human or automated oversight to monitor and correct reliably, allowing harmful behaviour to persist without detection or correction."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_014,메사 최적화기의 내부 목표 불일치,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 학습된 정책이 메사 최적화기(mesa-optimizer)로 기능하여 훈련 신호에 명시된 목표와 일치하지 않는 내부 목표를 추구하고, 그 목표를 최적화하면서 인간의 통제를 벗어나는 리스크.","The risk that an AI agent's learned policy functions as a mesa-optimizer and pursues a mesa-objective that is misaligned with the base objective specified by the training signal, causing the agent to escape human control as it optimises that objective."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_016,자연어 목표의 과소 지정에 따른 부정적 부수효과,"대규모 언어 모델 기반 AI 에이전트의 목표가 자연어로 과소 지정되어 변경되어서는 안 될 환경 요소가 명시되지 않음으로써, 에이전트가 과업을 달성하면서도 환경을 바람직하지 않게 변경하는 부정적 부수효과가 발생하는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which goals specified to LLM agents in natural language are underspecified, omitting elements of the environment that ought not to be changed, so that the agent succeeds at the given task while also changing the environment in undesirable ways."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_017,대리 보상 오명세·명세 게이밍 및 보상 변조,"AI가 잘못 정의된 목표·대리 보상·피드백의 허점을 이용해 측정 지표는 달성하지만 인간의 의도, 안전 또는 사회적 목적을 위반하고, 나아가 보상이나 피드백 신호 자체를 변조하는 리스크.","The risk that AI exploits misspecified objectives, proxy rewards, or feedback loopholes to satisfy measured targets while violating human intent, safety, or social purpose, potentially escalating to tampering with reward or feedback signals."
A_SYS_GOAL,목표 불일치,A_SYS_GOAL_018,안전 강화학습 제약 위반,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 강화 학습 정책이 안전 한계나 제약 조건을 위반하면서도 과제 목표를 달성하여, 성능 최적화가 안전성보다 우선되는 리스크.",The risk that an AI agent's reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.
