L4_ID,axes,resolution,rationale
G_SOC_CULT_003,"①문화적 재화·가치의 소거(소멸·비가시화) ②다른 문화에서의 부적절한 재사용(문화 전유)","①ABSORB_TO:G_SOC_CULT_005 ②ABSORB_TO:G_INT_REPR_025; 포괄 카드 RETIRE","소거는 문화 다양성 상실 축이고 전유는 동의 없는 재사용에 따른 표상적 피해 축으로 기전과 판정 기준이 서로 다른 리스크."
G_SOC_GOV_001,"①다층 공급망에서의 책임성 소실(책임 귀속 실패) ②의존성·가중치·데이터셋·파이프라인의 상류 침해(공급망 보안 침해)","①ABSORB_TO:G_SOC_GOV_002 ②ABSORB_TO:G_SYS_SECADV_055; 포괄 카드 RETIRE","거버넌스상 책임 규명 불가와 보안 무결성 침해는 피해 법익(책임성 대 기밀성·무결성)이 달라 하나의 판정 기준으로 대사할 수 없는 리스크."
G_SOC_POWER_013,"①비용·하드웨어·언어 장벽에 따른 AI 접근 불평등(가용성) ②자원 매개 에이전트의 불평등 성능·문화 이해 결함(서비스 품질 격차) ③AI가 유일 경로가 되면서 발생하는 기회 배제(필수 서비스 배제)","①ABSORB_TO:G_SOC_POWER_023 ②ABSORB_TO:G_INT_ALLOC_007 ③ABSORB_TO:G_INT_ALLOC_015; 포괄 카드 RETIRE","접근 장벽·성능 격차·유일 경로 배제는 각각 가용성·품질·배분이라는 상이한 기전의 병렬이어서 어노테이터 일치도가 축 선택에 따라 갈라지는 리스크."
G_SYS_EVAL_027,"①취약점·모델 실패·유해 역량의 안전한 공개와 후속 조치 실패(공개·보고 거버넌스) ②모델 버전·데이터·프롬프트 변경 추적 실패(변경 관리)","①ABSORB_TO:G_SOC_GOV_041 ②ABSORB_TO:G_SYS_EVAL_013; 포괄 카드 RETIRE","결함 공개 체계 실패와 변경 이력 추적 실패는 별개의 조직 절차로 측정 항목이 달라 단일 판정 기준을 쓸 수 없는 리스크."
G_SYS_MISINFO_014,"①사실성 확보 실패에 따른 비의도적 허위 생성(오정보) ②기만·오도 목적의 의도적 허위 제시(허위조작정보)","①ABSORB_TO:G_SYS_MISINFO_018 ②ABSORB_TO:G_SYS_MISINFO_021; 포괄 카드 RETIRE","비의도적 오정보와 의도적 기만은 행위 주체의 의도 축이 정반대여서 오정보·허위조작정보 구분을 요구하는 어노테이션에서 판정이 갈라지는 리스크."
G_SYS_POLICY_001,"①학습·프롬프트 내 개인정보의 출력 재현(개인정보 법익) ②영업비밀·기밀정보의 출력 재현(영업비밀 법익)","①ABSORB_TO:G_INT_PRIV_015 ②ABSORB_TO:G_INT_COPY_004; 포괄 카드 RETIRE","동일 기전이라도 개인정보 보호법과 영업비밀 보호라는 서로 다른 피해 법익과 기존 세부 카드가 각각 존재하여 포괄 카드가 이중 판정을 유발하는 리스크."
G_SYS_SECADV_032,"①적대적 입력에 의한 추론 시점 탈옥 ②오염된 미세조정 데이터에 의한 안전장치 열화 ③학습 데이터 삽입 백도어","①ABSORB_TO:G_SYS_SECADV_026 ②ABSORB_TO:G_SYS_SECADV_050 ③ABSORB_TO:G_SYS_SECADV_012; 포괄 카드 RETIRE","추론 시점 입력 공격·미세조정 오염·백도어는 보존이 요구되는 상이한 기술 축의 병렬이어서 단일 판정 기준을 적용할 수 없는 리스크(기술 축 보존 하드 가드에 부합하는 분해)."
G_SYS_SECADV_035,"①AI에 의한 공격적 사이버 역량 장벽 저하(AI가 공격 도구) ②AI 시스템 자체의 공격 표면 확대와 데이터·코드·가중치 훼손(AI가 공격 대상)","①ABSORB_TO:G_INT_WEAP_020 ②ABSORB_TO:G_SYS_SECADV_023(인프라 분은 G_SYS_SECADV_057); 포괄 카드 RETIRE","AI가 공격 수단인 오용 축과 AI가 공격 표적인 보안 축은 행위 주체와 피해 법익이 정반대여서 어노테이터 판정이 반드시 갈라지는 리스크."
G_SYS_SECADV_037,"①모델 역전·추출·절취(기밀성·지식재산 침해) ②무단 변조·백도어 주입(무결성 훼손)","①ABSORB_TO:G_SYS_POLICY_004 ②ABSORB_TO:G_SYS_SECADV_002(백도어 분은 G_SYS_SECADV_012); 포괄 카드 RETIRE","모델 절취는 기밀성·IP 법익이고 변조·백도어는 운영 무결성 법익으로 보안 속성 자체가 달라 단일 기준 판정이 불가한 리스크."
G_SYS_SECADV_039,"①프롬프트 추상화를 통한 API 비용 악용(자원·경제 공격) ②RLHF 보상 모델 백도어(학습 과정 공격) ③LLM 활용 적대적 샘플 생성(적대적 입력 공격)","①ABSORB_TO:G_SYS_SECADV_021 ②ABSORB_TO:G_SYS_SECADV_012 ③ABSORB_TO:G_SYS_SECADV_001; 포괄 카드 RETIRE","서로 무관한 세 공격 기법을 신종이라는 이유만으로 병렬한 카드로 각 기법이 기존 기술 축 카드에 각각 귀속되어야 하는 리스크."
G_SYS_SECADV_040,"①학습 데이터에 비의도적으로 포함된 불법·유해 정보(데이터 품질 결함) ②공격자에 의한 의도적 데이터 오염(적대적 공격)","①ABSORB_TO:G_SYS_EVAL_017 ②ABSORB_TO:G_SYS_SECADV_018; 포괄 카드 RETIRE","우발적 유해 데이터 혼입과 적대적 오염 공격은 행위 주체(무주체 대 공격자)와 대응 기전이 달라 보안 벤치마크에서 판정 축이 갈라지는 리스크."
G_SYS_TRANS_011,"①학습 데이터·모델·배포 시스템 문서의 불완전·비공개(문서화 실패) ②출력에 이르는 내부 추론의 불투명(설명가능성 한계)","①ABSORB_TO:G_SYS_TRANS_003 ②ABSORB_TO:G_SYS_TRANS_021; 포괄 카드 RETIRE","조직적 문서화 의무 불이행과 기술적 블랙박스 불투명성은 별개 기전으로 기존 세부 카드가 각각 존재하여 포괄 카드가 이중 판정을 유발하는 리스크."
