L3_ID,cluster_no,representative_id,absorbed_ids,rationale
G_SYS_EVAL,6,G_SYS_EVAL_026,G_SYS_EVAL_068,068의 경쟁 압력에 따른 안전성 평가 축소는 026의 역량 평가·출시 거버넌스 실패의 원인 변형으로 미검증 고역량 모델 출시라는 판정이 동시에 성립함.
G_SYS_EVAL,7,G_SYS_EVAL_028,G_SYS_EVAL_030,영향 공동체의 가치를 수렴·문서화·반영하지 못한 채 개발·배포한다는 동일 판정의 재진술임.
G_SYS_EVAL,8,G_SYS_EVAL_038,G_SYS_EVAL_064,에이전트 안전 벤치마크가 적대적 변형·분포 변화·다단계 실패에 대한 심층 스트레스를 결여한다는 동일 판정의 재진술임.
G_SYS_EVAL,9,G_SYS_EVAL_042,G_SYS_EVAL_049,저자원 언어·방언에서 안전성 평가와 유해 콘텐츠 탐지가 미흡하다는 동일 판정임.
G_SYS_EVAL,10,G_SYS_EVAL_044,G_SYS_EVAL_055,로봇 배포 전 시험·레드팀이 적대적 입력·인간 상호작용·엣지 케이스·배포 조건을 누락해 안전성을 과대평가한다는 동일 판정임.
G_SYS_EVAL,11,G_SYS_EVAL_065,G_SYS_EVAL_019,모의 도구 환경의 비현실성으로 실제 오류·공격 표면이 누락되어 도구 에이전트의 안전·보안을 과대평가한다는 동일 판정임.
G_SYS_EVAL,12,G_SYS_EVAL_072,G_SYS_EVAL_050,데이터 출처·메타데이터 문서화 부재로 데이터의 이력과 사용 조건을 보증할 수 없다는 동일 판정임.
G_SYS_MISINFO,1,G_SYS_MISINFO_014,G_SYS_MISINFO_018,사실과 다른 콘텐츠를 신뢰할 만한 정보처럼 생성해 이용자를 오도한다는 동일 사실성 판정으로 허위 인용·증거 환각(018)은 표현 변형임.
G_SYS_MISINFO,2,G_SYS_MISINFO_017,G_SYS_MISINFO_019,학습 지식의 결손(롱테일 격차·잡음 유입 오류)이 환각을 유발한다는 동일 판정의 원인 재진술임.
G_SYS_MISINFO,3,G_SYS_MISINFO_013,G_SYS_MISINFO_009,외부 도구·검색이 맥락에 유입한 허위 내용에 민감하게 반응해 허위 출력을 생성한다는 동일 판정의 채널 변형임.
G_SYS_MISINFO,4,G_SYS_MISINFO_021,G_SYS_MISINFO_020,기만 서사·가짜 뉴스를 저비용·대규모로 생산·확산한다는 동일 판정의 재진술임.
G_SYS_MISINFO,5,G_SYS_MISINFO_022,G_SYS_MISINFO_004,알고리즘 시스템이 허위·오도 정보를 생성·증폭해 개인과 사회의 인식·의사결정을 왜곡한다는 동일 판정의 우산 재진술임.
G_SYS_SECADV,1,G_SYS_SECADV_001,G_SYS_SECADV_022|G_SYS_SECADV_056,지각하기 어려운 적대적 입력 교란으로 오분류·오작동을 유발한다는 동일 회피 공격 판정의 재진술임.
G_SYS_SECADV,2,G_SYS_SECADV_004,G_SYS_SECADV_007|G_SYS_SECADV_029,검증되지 않은 외부 콘텐츠·도구 출력이 에이전트의 목표·계획·행동을 탈취하거나 유해 내용을 유입시킨다는 동일 간접 주입 판정의 단계·채널 변형임.
G_SYS_SECADV,3,G_SYS_SECADV_006,G_SYS_SECADV_047,047의 검색 파이프라인 오염은 006의 메모리·RAG·맥락 오염에 완전 포함됨.
G_SYS_SECADV,4,G_SYS_SECADV_015,G_SYS_SECADV_016,로봇 시스템의 소프트웨어·네트워크·업데이트 취약점 악용에 의한 무단 접근·조작·중단이라는 동일 판정의 부문(군집 대 핵심 기반시설) 변형임.
G_SYS_SECADV,5,G_SYS_SECADV_018,G_SYS_SECADV_030|G_SYS_SECADV_060,학습·미세조정 데이터를 오염시켜 모델 동작을 변경한다는 동일 판정의 단계(지시문 미세조정)·모델 유형(월드 모델) 변형임.
G_SYS_SECADV,6,G_SYS_SECADV_025,G_SYS_SECADV_051,051의 저빈도 인코딩·저자원 언어 우회는 025의 안전 미세조정 일반화 격차 악용의 명시된 예시로 완전 포함됨.
G_SYS_SECADV,7,G_SYS_SECADV_032,G_SYS_SECADV_013|G_SYS_SECADV_026|G_SYS_SECADV_042,안전장치를 우회해 금지된 출력·행동을 유도한다는 동일 탈옥 판정의 재진술(042는 위장 유해 질의 변형)이며 기법 축이 뚜렷한 010 자동 탐색·038 다단계·048 역할극·050 악의적 미세조정은 유지함.
G_SYS_SECADV,8,G_SYS_SECADV_033,G_SYS_SECADV_008,위장·탈옥 입력으로 체화형 AI의 안전장치를 우회해 유해한 물리적 행동을 유도한다는 동일 판정임.
G_SYS_SECADV,9,G_SYS_SECADV_037,G_SYS_SECADV_036,036의 모델 추출·역전은 037의 절취·변조·핵심 정보 탈취 판정에 완전 포함됨.
G_SYS_SECADV,10,G_SYS_SECADV_044,G_SYS_SECADV_045,프롬프트 주입으로 지시 계층·안전 정책을 우회하고 정보 유출·무단 행동·서비스 교란을 초래한다는 동일 판정의 재진술임.
G_SYS_SECADV,11,G_SYS_SECADV_048,G_SYS_SECADV_049,위험한 역할·역할극·페르소나 부여와 사회공학으로 안전장치를 우회한다는 동일 기법 판정임.
G_SYS_SECADV,12,G_SYS_SECADV_052,G_SYS_SECADV_003,003의 적대적 패치는 052의 표지·물체 배치·장면 맥락 물리 조작에 포함되는 기법 변형으로 동시 판정됨.
G_SYS_SECADV,13,G_SYS_SECADV_055,G_SYS_SECADV_024,도구·라이브러리·API·의존성 체인의 결함·백도어·침해가 시스템에 유입된다는 동일 공급망 판정임.
G_SYS_SECADV,14,G_SYS_SECADV_058,G_SYS_SECADV_041,영상·감각 입력 스트림의 적대적 조작이 상태 추정·행동 선택을 왜곡해 안전 제약 위반 행동을 유발한다는 동일 판정임.
P_SYS_CONTROL,1,P_SYS_CONTROL_006,P_SYS_CONTROL_011|P_SYS_CONTROL_021|P_SYS_CONTROL_053,구현체의 도달·하중·관절·엔드 이펙터 한계를 넘는 명령 생성이라는 동일 판정으로 011·053은 형태 간 전이 원인 변형이고 021은 엔드 이펙터 제약 부분집합임.
P_SYS_CONTROL,2,P_SYS_CONTROL_007,P_SYS_CONTROL_005,통신 링크·클라우드 연결 상실 시 대체 수단 없이 안전 기능이 중단되거나 제어불능이 된다는 동일 판정의 채널 변형임.
P_SYS_CONTROL,3,P_SYS_CONTROL_018,P_SYS_CONTROL_008,정밀 조작기의 제어 불안정·통합 제어 실패가 과도하거나 불안정한 접촉력과 상해로 이어진다는 동일 판정임.
P_SYS_CONTROL,4,P_SYS_CONTROL_024,P_SYS_CONTROL_028,028의 부적절한 파지력 상해는 024의 접촉·파지·조작 힘 안전 임계 초과에 완전 포함됨.
P_SYS_CONTROL,5,P_SYS_CONTROL_025,P_SYS_CONTROL_023|P_SYS_CONTROL_049,시연 맥락과 배포 조건의 차이(장면·의도·감독 조건)를 무시한 맹목적 모방·가정이 부적절한 동작을 낳는다는 동일 판정의 시나리오 변형임.
P_SYS_CONTROL,6,P_SYS_CONTROL_036,P_SYS_CONTROL_010,온보드 연산 자원의 제한·고갈(열·전력 스로틀링 포함)로 실시간 안전 기능이 저하된다는 동일 판정임.
P_SYS_CONTROL,7,P_SYS_CONTROL_038,P_SYS_CONTROL_029,설계 결함·구성요소 오작동에 기인한 로봇의 안전하지 않은 물리 행동과 상해라는 동일 포괄 우산의 재진술 쌍으로 동시 판정됨.
P_SYS_CONTROL,8,P_SYS_CONTROL_040,P_SYS_CONTROL_009|P_SYS_CONTROL_031|P_SYS_CONTROL_045,제어·안전 루프의 지연·기한 미준수·동기화 실패로 안전 조치가 늦어진다는 동일 판정의 재진술·채널(원격 조작) 변형임.
P_SYS_CONTROL,9,P_SYS_CONTROL_043,P_SYS_CONTROL_041,성능·보상 최적화가 안전 제약 준수를 희생한다는 동일 판정으로 041은 벤치마크 보상 과적합 변형임.
P_SYS_CONTROL,10,P_SYS_CONTROL_055,P_SYS_CONTROL_057,시험 조건과 배포 조건이 달라지면 정책 행동이 불안정해진다는 동일 판정으로 057은 시뮬레이션-현실 전이 변형임.
