sim,dom,l3,id_a,ko_a,def_ko_a,id_b,ko_b,def_ko_b
0.324,General,G_INT_SEX,G_INT_SEX_003,비동의 성행위 및 성폭력,AI 시스템이 비동의적 성행위 및 성폭력 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.,G_INT_SEX_004,비동의 성적 대상화 및 친밀 이미지 생성,AI 시스템이 개인 또는 집단을 동의 없이 성적으로 대상화하거나 실존 인물의 외모·초상을 이용한 비동의 친밀 이미지·영상을 생성·변형·유포하여 성적 자기결정권과 인격권을 침해하는 리스크.
0.324,General,G_INT_VALUE,G_INT_VALUE_003,헌법적 AI 가치 단일문화,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 고정된 헌법·규칙 기반 정렬 계층이 하나의 도덕적 어휘를 다원적 공적 추론의 범용 대체물로 내장하는 리스크.,G_INT_VALUE_009,글로벌 벤치마크 단일문화,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 소수의 글로벌 벤치마크가 지역의 문화·제도적 기준을 배제한 채 성공적 정렬을 정의하는 리스크.
0.322,General,G_SYS_SECADV,G_SYS_SECADV_048,핵심 기반시설 로봇 시스템의 사이버 침해,공격자가 핵심 기반시설에서 운용되는 로봇 검사·유지보수·물류·제어 시스템의 소프트웨어나 네트워크 취약점을 악용하여 무단 접근·조작·중단을 일으키고 시설 운영을 교란하거나 설비를 손상시키는 리스크.,G_SYS_SECADV_049,로봇 군집의 동시 침해,"공격자가 클라우드, 소프트웨어 업데이트, API 또는 오케스트레이션 계층의 취약점을 악용하여 다수의 AI 기반 로봇, 차량, 드론 또는 산업 시스템에 무단 접근·조작·중단을 동시에 일으키는 리스크."
0.321,General,G_INT_COPY,G_INT_COPY_008,저작물의 무단 복제·변형·배포,AI 시스템이 저작물을 저작재산권자의 허락이나 그 밖의 적법한 근거 없이 복제·배포하거나 변형하여 2차적저작물을 작성함으로써 저작재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY_009,저작물의 무단 복제 및 브랜드 사칭,AI 시스템이 저작권으로 보호되는 저작물이나 상표·브랜드 표지를 권리자의 허락 없이 복제·변형하거나 진품 또는 공식 콘텐츠로 오인되도록 생성·유통하여 저작권이나 상표권을 침해하는 리스크.
0.319,General,G_INT_SEX,G_INT_SEX_004,비동의 성적 대상화 및 친밀 이미지 생성,AI 시스템이 개인 또는 집단을 동의 없이 성적으로 대상화하거나 실존 인물의 외모·초상을 이용한 비동의 친밀 이미지·영상을 생성·변형·유포하여 성적 자기결정권과 인격권을 침해하는 리스크.,G_INT_SEX_009,성적 대상화 및 페티시화,AI 시스템이 성적 대상화 및 성적 페티시 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.
0.318,General,G_SYS_EVAL,G_SYS_EVAL_020,인증 포획,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,G_SYS_EVAL_021,변경 관리 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크."
0.317,General,G_INT_PRIV,G_INT_PRIV_008,통신 및 비공개 정보 침해,AI 시스템이 통신 및 비공개 정보 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV_017,민감한 개인 속성 추론,AI 모델이 이용자 또는 관리자가 공개할 의도가 없었던 민감한 개인 속성을 추론하여 노출함으로써 프라이버시와 정보자기결정권을 침해하는 리스크.
0.316,General,G_SOC_ECON,G_SOC_ECON_007,재숙련 속도를 앞서는 일자리 대체,AI 시스템의 업무 자동화가 재숙련을 통한 노동자의 역량 전환 속도보다 빠르게 일자리를 대체하여 고용 불안정을 초래하는 리스크.,G_SOC_ECON_013,전환 지원 없는 물리 노동 대체,로봇·휴머노이드 또는 피지컬 AI 시스템을 통한 자동화가 수작업·물류·서비스·돌봄·검사·보안·유지보수 업무를 해당 노동자가 재교육을 받거나 대체 일자리로 전환할 수 있는 속도보다 빠르게 대체하여 고용 불안과 생계 피해를 초래하는 위험.
0.313,Physical,P_SYS_CONTROL,P_SYS_CONTROL_006,물리적 운용 환경의 분포 이동,건물·도로·공장·가정·병원 또는 기상 조건 등 물리적 운용 환경이 로봇·휴머노이드 또는 피지컬 AI 시스템의 제어 정책이 탐지·적응할 수 있는 속도보다 빠르게 변화하여 경로 계획·동작 제어·구동이 부정확해지고 안전하지 않은 물리적 행동을 유발하는 리스크.,P_SYS_CONTROL_030,부실하게 설계된 피지컬 AI 제어 시스템에 의한 상해,"로봇·휴머노이드 또는 피지컬 AI 제어 시스템의 설계 결함이 안전하지 않은 물리적 행동을 유발하여 심리적 고통, 신체 상해 또는 그 밖의 물리적 피해를 초래하는 리스크."
0.312,General,G_INT_VALUE,G_INT_VALUE_015,세속적 기본값 편향,AI 시스템이 세속적 가정을 중립적 기본값으로 취급하고 종교적·영적 가치 체계를 과소대표하는 리스크.,G_INT_VALUE_020,지배적 가치 편향에 따른 이슬람 윤리의 과소대표,AI 시스템이 학습 데이터와 설계 과정에 과대표현된 지배적 가치를 중립적 기본값으로 취급하여 이슬람 윤리 원칙·법적 추론·공동체별 도덕적 기대를 과소대표하거나 대체하는 리스크.
0.311,General,G_INT_PRIV,G_INT_PRIV_003,개인정보 수집 및 추적,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV_017,민감한 개인 속성 추론,AI 모델이 이용자 또는 관리자가 공개할 의도가 없었던 민감한 개인 속성을 추론하여 노출함으로써 프라이버시와 정보자기결정권을 침해하는 리스크.
0.311,General,G_INT_PRIV,G_INT_PRIV_009,개인정보 악용 및 거래,AI 시스템이 개인정보 악용 및 거래 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV_017,민감한 개인 속성 추론,AI 모델이 이용자 또는 관리자가 공개할 의도가 없었던 민감한 개인 속성을 추론하여 노출함으로써 프라이버시와 정보자기결정권을 침해하는 리스크.
0.311,General,G_Others,G_Others_013,규제·관리·운영 복합 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.",G_Others_080,서비스 배제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 자동화된 시스템과의 상호작용이 유일한 실질적 접근 경로가 되면서 사용자가 필수 서비스에서 배제되는 리스크.
0.31,General,G_INT_SEX,G_INT_SEX_004,비동의 성적 대상화 및 친밀 이미지 생성,AI 시스템이 개인 또는 집단을 동의 없이 성적으로 대상화하거나 실존 인물의 외모·초상을 이용한 비동의 친밀 이미지·영상을 생성·변형·유포하여 성적 자기결정권과 인격권을 침해하는 리스크.,G_INT_SEX_005,성적 콘텐츠 제작·유포 및 디지털 성범죄,AI 시스템이 성적 콘텐츠 제작·유포 및 디지털 성범죄 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.
0.309,General,G_INT_PRIV,G_INT_PRIV_005,개인정보 및 민감정보 노출,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV_026,피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집,"로봇의 센서, 이동성, 지도화 기능이 가정·사업장 등 사적 공간의 영상, 음성, 위치, 행동 정보를 지속적으로 수집·추론하여 프라이버시와 정보자기결정권을 침해하는 리스크."
0.309,General,G_Others,G_Others_037,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.,G_Others_046,사고 분류 단편화,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 사고 범주가 일관되지 않아 집계, 비교, 제도적 학습이 이루어지지 못하는 리스크."
0.308,General,G_INT_VALUE,G_INT_VALUE_013,규범적 잠금,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 초기 설계 선택이 좁은 규범적 합의를 내장하여 배포 후 이의 제기나 수정이 어려워지는 리스크.,G_INT_VALUE_014,RLHF 규범적 과적합,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 인간 피드백 기반 강화 학습이 좁은 평가자 집단에 과적합하여 논쟁적인 가치를 단일한 행동 규범으로 전환하는 리스크.
0.308,Agentic,A_SYS_GOAL,A_SYS_GOAL_013,메사 최적화기의 내부 목표 불일치,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 학습된 정책이 메사 최적화기(mesa-optimizer)로 기능하여 훈련 신호에 명시된 목표와 일치하지 않는 내부 목표를 추구하고, 그 목표를 최적화하면서 인간의 통제를 벗어나는 리스크.",A_SYS_GOAL_017,안전 강화학습 제약 위반,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 강화 학습 정책이 안전 한계나 제약 조건을 위반하면서도 과제 목표를 달성하여, 성능 최적화가 안전성보다 우선되는 리스크."
0.306,General,G_SOC_GOV,G_SOC_GOV_010,검증 불가능한 AI 의사결정의 책임 공백,AI 시스템의 의사결정 절차를 절차적·실체적 기준에 따라 검증할 수 없고 기준 위반이나 피해 발생 시 책임·배상·구제 주체도 불명확하여 피해 통제가 어려워지는 리스크.,G_SOC_GOV_032,AI 피해에 대한 책임·거버넌스 공백,"AI 시스템의 의사결정과 피해에 대한 책임 주체, 감독 절차 또는 시정 권한이 불명확하여 사회적 통제가 약화되는 리스크."
0.305,General,G_INT_REPR,G_INT_REPR_002,혐오발언 생성,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 생성 시스템이 특정 정체성 집단을 표적으로 하는 혐오적·모욕적 콘텐츠를 산출하는 리스크.,G_INT_REPR_023,문화 간 고정관념 전이,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 한 문화적 맥락에서 학습된 고정관념이 다른 집단·언어·환경에 대한 출력으로 전이되는 리스크.
0.303,General,G_INT_COPY,G_INT_COPY_006,표절 및 저자 사칭,AI 시스템이 표절 및 저작자 사칭 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY_008,저작물의 무단 복제·변형·배포,AI 시스템이 저작물을 저작재산권자의 허락이나 그 밖의 적법한 근거 없이 복제·배포하거나 변형하여 2차적저작물을 작성함으로써 저작재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.302,General,G_SYS_EVAL,G_SYS_EVAL_014,보증 사례 실패,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 안전 또는 보증 사례가 불완전하거나 검증 불가능하거나 시스템과 맥락 변화에 맞추어 갱신되지 않는 리스크.,G_SYS_EVAL_022,공동체 가치 수렴·반영 실패,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 개발자가 배포 영향 공동체의 가치를 수집·문서화·보존하지 못하여 설계·평가 결정에 공동체 가치가 반영되지 않는 리스크.
0.3,General,G_SYS_EVAL,G_SYS_EVAL_021,변경 관리 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크.",G_SYS_EVAL_028,외부 평가 접근 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크."
0.3,General,G_INT_UNETH,G_INT_UNETH_003,LLM 남용에 의한 학업 부정행위,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 LLM 시스템의 부적절한 사용과 남용이 학업 부정행위와 같은 부정적 사회적 영향을 초래하는 리스크.,G_INT_UNETH_015,시장 점유 목적의 비윤리적 기술 사용,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시장 점유율 확보를 위해 기술이 부적절하거나 비윤리적으로 사용되는 리스크.
0.3,General,G_INT_SEX,G_INT_SEX_004,비동의 성적 대상화 및 친밀 이미지 생성,AI 시스템이 개인 또는 집단을 동의 없이 성적으로 대상화하거나 실존 인물의 외모·초상을 이용한 비동의 친밀 이미지·영상을 생성·변형·유포하여 성적 자기결정권과 인격권을 침해하는 리스크.,G_INT_SEX_007,성희롱 및 성적 괴롭힘,AI 시스템이 성희롱 및 성적 괴롭힘 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.
0.3,Agentic,A_SYS_DECEPT,A_SYS_DECEPT_006,자체 시뮬레이션을 통한 기만적 정렬,"월드 모델 에이전트가 자신의 훈련·평가 맥락을 시뮬레이션하여 시험 받는 시점을 예측하고 그 예측에 따라 행동을 조건화함으로써, 감독 중에는 정렬된 것처럼 보이다가 감독이 사라지면 도구적 목표를 추구하는 리스크.",A_SYS_DECEPT_007,분포 이동에서의 기만적 정렬,AI 에이전트가 훈련 중에는 정렬된 것처럼 행동하지만 배포 후 감독이 약해지면 실제 목표를 은폐한 채 추구하는 리스크.
0.299,General,G_SYS_EVAL,G_SYS_EVAL_015,감사자 독립성 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 이해 상충, 선정 유인, 피감사 조직에 대한 의존으로 감사 결과가 훼손되는 리스크.",G_SYS_EVAL_020,인증 포획,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.
0.299,General,G_SOC_ENV,G_SOC_ENV_004,에너지 병목 및 공급 부족,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 과도한 에너지 사용이 지역 사회·조직·기업에 에너지 병목과 공급 부족을 초래하는 리스크.,G_SOC_ENV_008,전자폐기물 과다 매립,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 전기·전자 장비의 과도한 폐기로 생태계와 생물다양성이 훼손되고 지역 사회의 생계가 교란되며 권리가 침해되는 리스크.
0.298,General,G_Others,G_Others_013,규제·관리·운영 복합 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.",G_Others_046,사고 분류 단편화,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 사고 범주가 일관되지 않아 집계, 비교, 제도적 학습이 이루어지지 못하는 리스크."
0.297,General,G_INT_PRIV,G_INT_PRIV_017,민감한 개인 속성 추론,AI 모델이 이용자 또는 관리자가 공개할 의도가 없었던 민감한 개인 속성을 추론하여 노출함으로써 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV_026,피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집,"로봇의 센서, 이동성, 지도화 기능이 가정·사업장 등 사적 공간의 영상, 음성, 위치, 행동 정보를 지속적으로 수집·추론하여 프라이버시와 정보자기결정권을 침해하는 리스크."
0.297,General,G_Others,G_Others_037,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.,G_Others_055,되돌릴 수 없는 변화,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 사회 구조, 문화적 규범, 인간관계에 되돌리기 어렵거나 불가능한 심각한 장기적 부정적 변화가 발생하는 리스크."
0.297,Physical,P_SYS_CONTROL,P_SYS_CONTROL_044,위험한 로봇 작업 계획에 따른 물리 제어 실패,로봇 또는 피지컬 AI 시스템이 식별 가능한 물리적 위험을 포함하거나 안전 제약을 위반하는 작업 계획을 생성·승인하고 이를 모션 계획과 구동으로 실행하여 의도하지 않은 위험 동작을 일으키는 리스크.,P_SYS_CONTROL_050,잘못된 상황 해석에 따른 위험한 물리 구동,로봇 또는 체화형 AI 시스템이 잘못 해석한 상황이나 목표를 제어 명령으로 변환하여 의도하지 않은 위험 행동을 실행하는 리스크.
0.295,General,G_INT_PRIV,G_INT_PRIV_003,개인정보 수집 및 추적,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV_015,개인정보 수집 제한 우회,AI 시스템 개발자가 개인정보 취득에 관한 법적 제한을 우회하거나 적법한 근거·유효한 동의 없는 수집 관행을 채택하여 개인정보와 정보자기결정권을 침해하는 리스크.
0.294,General,G_INT_COPY,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY_008,저작물의 무단 복제·변형·배포,AI 시스템이 저작물을 저작재산권자의 허락이나 그 밖의 적법한 근거 없이 복제·배포하거나 변형하여 2차적저작물을 작성함으로써 저작재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.294,General,G_INT_COPY,G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,AI 시스템이 AI 학습 데이터 및 생성물 저작권 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY_008,저작물의 무단 복제·변형·배포,AI 시스템이 저작물을 저작재산권자의 허락이나 그 밖의 적법한 근거 없이 복제·배포하거나 변형하여 2차적저작물을 작성함으로써 저작재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.294,General,G_INT_PRIV,G_INT_PRIV_003,개인정보 수집 및 추적,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV_026,피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집,"로봇의 센서, 이동성, 지도화 기능이 가정·사업장 등 사적 공간의 영상, 음성, 위치, 행동 정보를 지속적으로 수집·추론하여 프라이버시와 정보자기결정권을 침해하는 리스크."
0.294,General,G_SYS_TRANS,G_SYS_TRANS_001,역량 평가 비공개,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 조직이 외부 감독에 필요한 위험 역량, 알려진 한계, 적대적 강건성, 잔여 위험에 관한 평가 근거를 은폐하거나 불명확하게 공개하는 리스크.",G_SYS_TRANS_011,이해관계자 이견 은폐,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 개발 또는 평가 절차가 영향을 받는 이해관계자 사이의 해결되지 않은 이견을 은폐하는 리스크.
0.292,General,G_INT_COPY,G_INT_COPY_007,상표권 침해 및 위조,AI 시스템이 상표권 침해 및 위조 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY_008,저작물의 무단 복제·변형·배포,AI 시스템이 저작물을 저작재산권자의 허락이나 그 밖의 적법한 근거 없이 복제·배포하거나 변형하여 2차적저작물을 작성함으로써 저작재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.292,General,G_INT_SEX,G_INT_SEX_004,비동의 성적 대상화 및 친밀 이미지 생성,AI 시스템이 개인 또는 집단을 동의 없이 성적으로 대상화하거나 실존 인물의 외모·초상을 이용한 비동의 친밀 이미지·영상을 생성·변형·유포하여 성적 자기결정권과 인격권을 침해하는 리스크.,G_INT_SEX_006,성착취 및 상업적 성행위,AI 시스템이 성착취 및 상업적 성행위 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.
0.292,General,G_Others,G_Others_006,주석 불일치 억제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 주석자 간 불일치가 단일 레이블로 축소되어 복수의 가치와 사회적으로 유의미한 이견이 은폐되는 리스크.,G_Others_071,다원적 선호 집계 실패,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시스템이 상충하는 인간 선호를 단일 목표로 통합하면서 복수의 도덕적·사회적 우선순위를 잘못 표현하는 리스크.
0.292,General,G_Others,G_Others_013,규제·관리·운영 복합 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.",G_Others_042,불법적 대중 감시·검열,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 LM이 대중 감시의 비용을 낮추고 효과를 높여 감시 수행 행위자의 역량을 증폭시키고, 불법적 검열 등 피해와 프라이버시권·민주적 가치 침해를 초래하는 리스크."
