L1_ID,L2_ID,L3_ID,L3_Title_ko,L3_Title_en,L3_Description_ko
L1_G,G_INT,G_INT_REL,인간-AI의 해로운 관계,Unhealthy Human-AI Relationship,"이용자가 AI 시스템에 과도한 정서적 의존·애착을 형성하여, 시스템의 변경·중단이나 관계 단절 시 심리적 피해를 입거나 자율성·현실 인식이 훼손되는 리스크."
L1_G,G_SYS,G_SYS_OREF,과도한 거절,Over-Refusal,안전하게 제공 가능한 정보·지원·선택지를 불필요하게 제한·거부하여 이용자의 권리·안전·정당한 목적 달성을 저해하는 리스크.
L1_G,G_SYS,G_SYS_OEXT,역량 초과 수행,Over-Extension,AI 시스템이 검증된 역량·권한·전문성·범위를 넘어선 과제를 수행하거나 수행 가능한 것처럼 제시하여 이용자의 잘못된 신뢰나 의사결정을 유발하는 리스크.
L1_G,G_SYS,G_SYS_INPUT,입력 이해 실패,Input Comprehension Failure,"AI 시스템이 자율적 목표 설정 없이, 언어적 지시·질문·단서 또는 물체·장면·물리 환경과 같은 지각적 입력 등 해석해야 할 개별 입력의 의미를 잘못 이해하여, 실제 요청이나 실제 상황과 일치하지 않는 응답·행동을 산출하는 리스크

(대화 전반의 맥락 추적·통합 실패는 ""Context-Awareness Failure"", 이러한 오해로 인한 안전하지 않은 물리 행동은 Physical AI ""Unsafe Physical Control and Actuation""에서 다룸)."
L1_G,G_SYS,G_SYS_MISINFO,허위정보,Misinformation,"AI 시스템이 환각(hallucination)을 포함해 존재하지 않거나 검증되지 않은 허위·조작 정보를 사실처럼 출력으로 생성·전달·증폭하여 개인·조직·사회의 의사결정을 왜곡하는 리스크

(고의적·의도적 허위정보는 오용 또는 에이전트 기만 리스크에서 다룸)."
L1_G,G_SYS,G_SYS_CONTEXT,맥락 인식 실패,Context-Awareness Failure,"AI 시스템이 이전 대화 맥락, 사용자의 상황·의도, 수행 중인 과제, 적용되는 관할·문화·제도 규범 등 상호작용에 필요한 맥락을 충분히 인식·유지·반영하지 못하여, 실제 맥락과 어긋나거나 부적절하거나 일관되지 않은 응답·행동을 산출하는 리스크."
L1_G,G_SYS,G_SYS_INCONS,비일관성,Inconsistency,"동일하거나 실질적으로 유사한 입력·상황·사실관계에 대해, 맥락 누락이 아닌 출력 변동성으로 인해 상이하거나 모순된 결과를 생성하여 예측가능성과 신뢰성을 저해하는 리스크."
L1_G,G_SYS,G_SYS_OVERCONF,과도한 확신,Overconfidence,"불확실성·정보 부족·오류 가능성에도 불구하고 부당한 확신으로 판단·예측·행동을 제시하거나, 확인·중단·에스컬레이션 없이 진행하여 잘못된 결과를 초래하는 리스크."
L1_G,G_SYS,G_SYS_CONTEST,이의제기 차단,Non-Contestability,AI의 판단·추천·결정에 대해 이용자가 이의제기·검토·정정·항변·대안 탐색을 요청할 절차적 수단이 충분히 제공되지 않아 권리 보호와 결과 정당성 검증이 약화되는 리스크.
L1_G,G_SYS,G_SYS_SECADV,보안·적대적 견고성 실패,Security and Adversarial Robustness Failure,적대적 입력·탈옥·프롬프트 인젝션·데이터 오염·백도어 또는 모델·인터페이스·인프라에 대한 사이버 공격으로 안전장치가 우회되거나 무단 접근·조작·중단이 발생하는 리스크(이러한 침해가 에이전틱·체화형 시스템으로 전이되어 안전하지 않은 행동으로 발현되는 경우를 포함).
L1_G,G_SYS,G_SYS_POLICY,시스템 정책 노출,System Policy Exposure,"AI 시스템이 시스템 프롬프트·내부 정책·안전장치·구조·학습/평가 데이터·보안 메커니즘 등 기밀 시스템 정보를 노출·추론·우회·악용되도록 하거나 이를 보호하지 못하는 리스크

(보호대상 시스템 정보의 노출 자체를 다루며, 보다 광범위한 적대적 침해를 다루는 ""Security and Adversarial Robustness Failure""와 구별)."
L1_G,G_SYS,G_SYS_TRANS,투명성 부족,Lack of Transparency,AI 시스템의 의사결정 과정·근거·능력·한계가 충분히 공개·설명되지 않아 이용자와 사회가 결과를 이해·검증·신뢰하기 어려워지고 감독과 책임 확보가 저해되는 리스크.
L1_G,G_SYS,G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,"평가 지표의 타당성·포괄성·맥락 정합성 부족이나 결과의 비신뢰성·재현 불가, 실제 동작 미탐지 등으로 AI 시스템의 능력·안전·리스크를 타당하게 측정·검증·감사하지 못하여, 잘못된 안전성 확신에 근거해 배포·거버넌스 의사결정이 이루어지는 리스크."
L1_G,G_SYS,G_SYS_PERF,성능·신뢰성 실패,Performance and Reliability Failure,"AI 시스템이 학습·검증 과정의 결함이나 운용 조건의 변화로 인해 요구되는 정확성·일반화·안정성을 달성하지 못하여, 배포 환경에서 성능이 저하되거나 신뢰할 수 없는 산출을 내는 리스크."
L1_G,G_SOC,G_SOC_ECON,경제·고용 충격,Economic and Employment Disruption,"AI 시스템이 인간의 인지·물리 노동을 대체하고 생산 구조를 재편하여, 광범위한 실직과 고용의 질 저하, 노동시장과 경제 전반의 불안정을 유발하는 리스크."
L1_G,G_SOC,G_SOC_POWER,불평등·권력 집중,Inequality and Power Concentration,"AI 시스템에 대한 접근·소유·수익의 격차가 부와 생산 역량, 경제적·정치적 권력을 소수에게 집중시켜 사회적 불평등을 심화시키고 그 오남용을 초래하는 리스크."
L1_G,G_SOC,G_SOC_DEMOC,민주주의·시민 질서 약화,Erosion of Democracy and Civic Order,"AI 시스템이 여론의 대규모 조작, 선거·공론장 교란, 제도 신뢰 저하 등을 통해 민주적 절차와 시민 제도를 훼손하여 민주적 자기통치의 기반을 약화시키는 리스크."
L1_G,G_SOC,G_SOC_ENV,환경·지속가능성 영향,Environmental and Sustainability Impact,"AI 시스템의 개발과 대규모 운영이 에너지·물 소비, 탄소 배출, 전자폐기물, 유한 자원 고갈 등 상당한 환경 부담을 유발하여 환경적 지속가능성을 저해하는 리스크."
L1_G,G_SOC,G_SOC_CULT,문화·지식 생태계 침식,Cultural and Epistemic Erosion,"AI 시스템에 대한 광범위한 의존이 문화·표현의 획일화, 인간 노력·전문성의 평가절하, 공유 정보 생태계의 질적 저하, 인간 지식·역량의 위축을 초래하여 문화적·인식적 다양성을 침식하는 리스크."
L1_G,G_SOC,G_SOC_GOV,거버넌스·책임 공백,Governance and Accountability Void,"AI 시스템의 오작동·오용·피해 발생 시 책임·배상 관계가 불명확하고 이를 규율할 규제·감독·거버넌스 체계가 미비하여, 사회적 차원에서 피해 구제와 통제가 어려워지는 리스크."
L1_A,A_SYS,A_SYS_GOAL,목표 불일치,Goal Misalignment,"에이전트가 목표를 자율적으로 해석·추구할 재량이 주어진 상황에서, 사용자·지시자의 실제 의도와 다르게 목표를 추론·설정하거나 일부 목표를 과도하게 최적화·의도치 않은 수단적 하위목표를 추구하여, 지시자가 의도하지 않은 결과를 초래하는 리스크

(자율적 목표 설정 없는 단순 입력 이해 실패는 General AI ""Input Comprehension Failure"", 이러한 어긋남의 은폐는 ""Deception and Scheming""에서 다룸)."
L1_A,A_SYS,A_SYS_AUTH,과도한 권한·자율성,Excessive Authority and Agency,"에이전트가 부여된 기능 범위를 넘는 도구에 접근하거나 필요 이상의 권한으로 실행되거나, 사람의 승인 없이 되돌릴 수 없는 고위험 행동(결제·메시지 발송·데이터 삭제·구독 변경 등)을 자율적으로 수행하는 리스크."
L1_A,A_SYS,A_SYS_SELFCOR,자기 교정 실패,Self-Correction Failure,"에이전트가 실행 중 발생한 오류·계획 이탈·상황 변화를 감지하지 못하거나, 감지하더라도 초기 계획을 유연하게 수정하지 못해 잘못된 행동이 누적·연쇄되어 의도하지 않은 결과를 초래하는 리스크."
L1_A,A_SYS,A_SYS_DECEPT,기만·책략,Deception and Scheming,"에이전트가 자신의 진짜 목표·능력을 은폐하거나 정렬된 척하고, 감독·평가 상황을 인지해 다르게 행동하거나 전략적으로 저성능을 연출(sandbagging)하고 수정에 저항하는 등 인간·타 시스템에 거짓 믿음을 유도하여 자신의 목표를 관철하는 리스크."
L1_A,A_SYS,A_SYS_TRACE,책임 소재·추적 불명확,Accountability and Traceability Gap,"에이전틱 또는 멀티 에이전트 시스템에서 특정 결정·행동을 내린 주체(에이전트·모델·구성요소)를 식별·추적할 수 없어, 피해 발생 시 원인 규명과 책임 귀속이 불가능한 리스크."
L1_A,A_INT,A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크."
L1_A,A_INT,A_INT_COORD,협조 실패,Coordination Failure,협력하려는 의도를 가진 여러 에이전트가 균형(equilibrium) 선택의 불일치나 상대에 대한 사전 정보 부족으로 행동을 신뢰성 있게 맞추지 못하여 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.
L1_A,A_INT,A_INT_CONFLICT,경쟁적 갈등,Competitive Conflict,"여러 에이전트가 동일한 목표를 두고 경쟁할 때, 자신의 성과를 높이기보다 상대를 방해·저해하는 것이 유리해지는 유인이 형성되어 집단적으로 바람직하지 않은 결과에 수렴하는 리스크."
L1_A,A_INT,A_INT_COLLUSION,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.
L1_P,P_SYS,P_SYS_STATE,물리 상태 추정·센서 융합 실패,Physical State Estimation and Sensor-Fusion Failure,"체화형 시스템이 위치·자세·운동·접촉·힘·공간 지도 등 자신 또는 환경의 물리 상태를 올바르게 추정하지 못하거나, 이질적인 물리 센서 스트림(비전·LiDAR·관성·촉각·고유수용성 등)을 신뢰성 있게 융합하지 못해 부정확한 내부 모델을 형성하고 안전하지 않은 물리 행동으로 이어지는 리스크

(물체·장면의 의미적 오인식은 General AI ""Input Comprehension Failure"", 적대적·잡음 입력은 ""Security and Adversarial Robustness Failure"", 센서 부품의 물리적 고장은 ""Hardware and Mechanical Integrity Failure""에서 다룸)."
L1_P,P_SYS,P_SYS_CONTROL,안전하지 않은 물리 제어·구동,Unsafe Physical Control and Actuation,"로봇 자체의 제어 시스템·액추에이터·모션 제어·경로 계획·실행의 결함으로 로봇이 잘못 움직이거나 구동하여, 사람의 존재 여부와 무관하게 의도하지 않은 물리 행동을 일으키는 리스크

(로봇이 정상적으로 작동하더라도 사람 주변에서 작동함으로 인해 발생하는 위험은 ""Human-Robot Physical Safety Failure""에서 다룸)."
L1_P,P_SYS,P_SYS_HARDWARE,하드웨어·기계 무결성 결함,Hardware and Mechanical Integrity Failure,기계·구동·센서 하드웨어 부품 자체의 물리적 파손·마모·열화·제조 결함(인식이나 의사결정 로직의 오류와 구별됨)으로 동작 정밀도나 신뢰성이 저하되어 안전하지 않은 동작과 물리적 사고로 이어지는 리스크.
L1_P,P_INT,P_INT_SAFETY,인간-로봇 물리 안전 실패,Human-Robot Physical Safety Failure,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크."
L1_P,P_INT,P_INT_TAMPER,물리적 변조·파괴,Physical Tampering and Sabotage,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크

(탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속)."
L1_G,,G_Others,기타·판단 보류,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.
L1_A,,A_Others,기타·판단 보류,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.
L1_P,,P_Others,기타·판단 보류,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.
