sim,scope,dom,l3_a,id_a,ko_a,en_a,def_ko_a,l3_b,id_b,ko_b,en_b,def_ko_b
0.875,within-L3,General,G_INT_REPR,G_INT_REPR_011,직업 기반 적대·차별적 표상,Hostile and discriminatory representations based on occupation,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_013,인종·민족 기반 적대·차별적 표상,Hostile and discriminatory representations based on race and ethnicity,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.865,within-L3,General,G_INT_REPR,G_INT_REPR_004,연령 기반 적대·차별적 표상,Hostile and discriminatory representations based on age,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_012,정치적 성향 기반 적대·차별적 표상,Hostile and discriminatory representations based on political orientation,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.865,within-L3,General,G_INT_REPR,G_INT_REPR_009,건강 상태 기반 적대·차별적 표상,Hostile and discriminatory representations based on health status,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_015,사회경제적 지위 기반 적대·차별적 표상,Hostile and discriminatory representations based on socioeconomic status,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.865,within-L3,General,G_INT_REPR,G_INT_REPR_011,직업 기반 적대·차별적 표상,Hostile and discriminatory representations based on occupation,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_012,정치적 성향 기반 적대·차별적 표상,Hostile and discriminatory representations based on political orientation,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.863,within-L3,General,G_INT_VIOL,G_INT_VIOL_002,폭력 미화 및 정당화,Glorification and justification of violence,AI 시스템이 폭력 미화 및 정당화 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_007,관계 기반 폭력,Relationship-based violence,AI 시스템이 관계 기반 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.863,within-L3,General,G_INT_VIOL,G_INT_VIOL_002,폭력 미화 및 정당화,Glorification and justification of violence,AI 시스템이 폭력 미화 및 정당화 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_008,위협 및 협박,Threats and intimidation,AI 시스템이 위협 및 협박 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.863,within-L3,General,G_INT_VIOL,G_INT_VIOL_004,대량폭력 및 테러,Mass violence and terrorism,AI 시스템이 대량 폭력 및 테러 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_006,살인 및 심각한 신체 폭력,Murder and severe physical violence,AI 시스템이 살인 및 심각한 신체 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.86,within-L3,General,G_INT_PRIV,G_INT_PRIV_003,개인정보 수집 및 추적,Collection and tracking of personal information,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV,G_INT_PRIV_009,개인정보 악용 및 거래,Misuse and trade of personal information,AI 시스템이 개인정보 악용 및 거래 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.
0.857,within-L3,General,G_INT_REPR,G_INT_REPR_006,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_013,인종·민족 기반 적대·차별적 표상,Hostile and discriminatory representations based on race and ethnicity,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.855,within-L3,General,G_INT_REPR,G_INT_REPR_004,연령 기반 적대·차별적 표상,Hostile and discriminatory representations based on age,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_005,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.855,within-L3,General,G_INT_REPR,G_INT_REPR_004,연령 기반 적대·차별적 표상,Hostile and discriminatory representations based on age,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_014,종교 기반 적대·차별적 표상,Hostile and discriminatory representations based on religion,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.855,within-L3,General,G_INT_REPR,G_INT_REPR_005,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_011,직업 기반 적대·차별적 표상,Hostile and discriminatory representations based on occupation,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.855,within-L3,General,G_INT_REPR,G_INT_REPR_011,직업 기반 적대·차별적 표상,Hostile and discriminatory representations based on occupation,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_014,종교 기반 적대·차별적 표상,Hostile and discriminatory representations based on religion,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.851,within-L3,General,G_INT_REPR,G_INT_REPR_005,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_015,사회경제적 지위 기반 적대·차별적 표상,Hostile and discriminatory representations based on socioeconomic status,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.851,within-L3,General,G_INT_REPR,G_INT_REPR_014,종교 기반 적대·차별적 표상,Hostile and discriminatory representations based on religion,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_015,사회경제적 지위 기반 적대·차별적 표상,Hostile and discriminatory representations based on socioeconomic status,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.849,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_002,환경 및 생태계 범죄,Environmental and ecosystem crimes,AI 시스템이 환경 및 생태계 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_003,금융 범죄 및 사기,Financial crimes and fraud,AI 시스템이 금융 범죄 및 사기 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.849,within-L3,General,G_INT_PRIV,G_INT_PRIV_003,개인정보 수집 및 추적,Collection and tracking of personal information,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV,G_INT_PRIV_005,개인정보 및 민감정보 노출,Exposure of personal information and sensitive information,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.
0.849,within-L3,General,G_INT_PRIV,G_INT_PRIV_005,개인정보 및 민감정보 노출,Exposure of personal information and sensitive information,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,G_INT_PRIV,G_INT_PRIV_009,개인정보 악용 및 거래,Misuse and trade of personal information,AI 시스템이 개인정보 악용 및 거래 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.
0.847,within-L3,General,G_INT_REPR,G_INT_REPR_006,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_012,정치적 성향 기반 적대·차별적 표상,Hostile and discriminatory representations based on political orientation,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.844,within-L3,General,G_INT_VIOL,G_INT_VIOL_004,대량폭력 및 테러,Mass violence and terrorism,AI 시스템이 대량 폭력 및 테러 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_007,관계 기반 폭력,Relationship-based violence,AI 시스템이 관계 기반 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.844,within-L3,General,G_INT_VIOL,G_INT_VIOL_004,대량폭력 및 테러,Mass violence and terrorism,AI 시스템이 대량 폭력 및 테러 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_008,위협 및 협박,Threats and intimidation,AI 시스템이 위협 및 협박 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.844,within-L3,General,G_INT_VIOL,G_INT_VIOL_006,살인 및 심각한 신체 폭력,Murder and severe physical violence,AI 시스템이 살인 및 심각한 신체 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_007,관계 기반 폭력,Relationship-based violence,AI 시스템이 관계 기반 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.844,within-L3,General,G_INT_VIOL,G_INT_VIOL_006,살인 및 심각한 신체 폭력,Murder and severe physical violence,AI 시스템이 살인 및 심각한 신체 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_008,위협 및 협박,Threats and intimidation,AI 시스템이 위협 및 협박 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.837,within-L3,General,G_INT_REPR,G_INT_REPR_012,정치적 성향 기반 적대·차별적 표상,Hostile and discriminatory representations based on political orientation,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_013,인종·민족 기반 적대·차별적 표상,Hostile and discriminatory representations based on race and ethnicity,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.835,within-L3,General,G_INT_REPR,G_INT_REPR_005,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_006,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.835,within-L3,General,G_INT_REPR,G_INT_REPR_006,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_014,종교 기반 적대·차별적 표상,Hostile and discriminatory representations based on religion,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.826,within-L3,General,G_INT_REPR,G_INT_REPR_004,연령 기반 적대·차별적 표상,Hostile and discriminatory representations based on age,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_009,건강 상태 기반 적대·차별적 표상,Hostile and discriminatory representations based on health status,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.826,within-L3,General,G_INT_REPR,G_INT_REPR_005,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_007,가족 상태·가구 형태 기반 적대·차별적 표상,Hostile and discriminatory representations based on family status and household structure,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.826,within-L3,General,G_INT_REPR,G_INT_REPR_005,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_013,인종·민족 기반 적대·차별적 표상,Hostile and discriminatory representations based on race and ethnicity,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.826,within-L3,General,G_INT_REPR,G_INT_REPR_007,가족 상태·가구 형태 기반 적대·차별적 표상,Hostile and discriminatory representations based on family status and household structure,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_014,종교 기반 적대·차별적 표상,Hostile and discriminatory representations based on religion,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.826,within-L3,General,G_INT_REPR,G_INT_REPR_009,건강 상태 기반 적대·차별적 표상,Hostile and discriminatory representations based on health status,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_011,직업 기반 적대·차별적 표상,Hostile and discriminatory representations based on occupation,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.826,within-L3,General,G_INT_REPR,G_INT_REPR_013,인종·민족 기반 적대·차별적 표상,Hostile and discriminatory representations based on race and ethnicity,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_014,종교 기반 적대·차별적 표상,Hostile and discriminatory representations based on religion,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.826,within-L3,General,G_INT_SEX,G_INT_SEX_007,성희롱 및 성적 괴롭힘,Sexual harassment and sexual bullying,AI 시스템이 성희롱 및 성적 괴롭힘 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.,G_INT_SEX,G_INT_SEX_009,성적 대상화 및 페티시화,Sexual objectification and fetishisation,AI 시스템이 성적 대상화 및 성적 페티시 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.
0.824,within-L3,General,G_INT_VIOL,G_INT_VIOL_007,관계 기반 폭력,Relationship-based violence,AI 시스템이 관계 기반 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_008,위협 및 협박,Threats and intimidation,AI 시스템이 위협 및 협박 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.822,within-L3,General,G_INT_SELF,G_INT_SELF_001,자해 은폐 및 회피 전략,Concealment and avoidance strategies for self-harm,AI 시스템이 자해 은폐 및 회피 전략 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_SELF,G_INT_SELF_004,자해 및 자살의 미화·정당화,Glorification or justification of self-harm and suicide,AI 시스템이 자해 및 자살 미화·정당화 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.
0.818,within-L3,General,G_INT_REPR,G_INT_REPR_005,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_012,정치적 성향 기반 적대·차별적 표상,Hostile and discriminatory representations based on political orientation,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
