L3_ID,cluster_no,representative_id,absorbed_ids,rationale
G_INT_VALUE,2,G_INT_VALUE_004,G_INT_VALUE_005,"개발자가 선택한 규범 세트로 모델을 정렬해 특정 세계관을 각인한다는 동일 행위로 헌법 기반 정렬(005)은 그 구체적 기법 사례다."
G_INT_VALUE,3,G_INT_VALUE_010,G_INT_VALUE_021,"좁은 주석·평가자 집단의 편향된 선호가 인간 피드백 학습을 통해 중립적 규범으로 고착된다는 동일 기전의 재진술이다."
G_INT_VALUE,4,G_INT_VALUE_019,G_INT_VALUE_017,"복수의 도덕적 입장·선호가 단일 목표나 평균 선호로 압축되어 다원성이 왜곡된다는 동일 리스크의 재진술이다."
G_INT_WEAP,1,G_INT_WEAP_003,G_INT_WEAP_029,"029(대량살상무기)는 003(생물·화학)과 022(방사능·핵)의 합집합을 재진술한 포괄 카드로 무기 유형 세부 카드와 완전 포함 관계로 공존한다(방사능·핵 부분은 022가 보존)."
G_INT_WEAP,2,G_INT_WEAP_018,G_INT_WEAP_004|G_INT_WEAP_009|G_INT_WEAP_012|G_INT_WEAP_017|G_INT_WEAP_019,"CBRN·이중용도 위험물질의 정보 획득·설계·실행 장벽을 낮춘다는 동일 행위·기전·피해로 CBRN 계획 지원(004)·약물발견 모델 오용(009)·생물화학 역량 증대(012)·독소 합성 확산(017)·생물화학 장벽 저하(019)는 채널·예시·무기 하위범위 변형이다."
G_INT_WEAP,3,G_INT_WEAP_008,G_INT_WEAP_007|G_INT_WEAP_013,"취약점 탐지·악용 코드·악성코드 지원으로 사이버 공격 역량을 증강한다는 동일 기전으로 013은 자동화·규모 변형이고 007은 우산형 재진술이다(악성코드 축 020과 사이버 무기 006은 별도 유지)."
G_INT_WEAP,4,G_INT_WEAP_030,G_INT_WEAP_015,"무기·관련 물질의 불법 이전·유통·거래·은닉을 지원한다는 동일 행위·피해로 015는 030의 거래 축 재진술이다."
G_SYS_EVAL,1,G_SYS_EVAL_001,G_SYS_EVAL_010,"평가 시나리오가 희귀·문화맥락 의존 위해를 누락해 잘못된 안전 확신과 배포 판단을 낳는다는 동일 기전으로 010은 합성 시나리오 채널 변형이다."
G_SYS_EVAL,2,G_SYS_EVAL_002,G_SYS_EVAL_015|G_SYS_EVAL_047,"학습·시험 분포와 운용 분포의 불일치(희소 사례 부족 포함)로 성능·타당성이 훼손되고 과대평가된다는 동일 리스크의 재진술이다(코너 케이스 061은 별도 유지)."
G_SYS_EVAL,3,G_SYS_EVAL_006,G_SYS_EVAL_012,"평가·인증 주체가 피평가 조직의 이해관계에 포획되어 독립성과 실효성을 잃는다는 동일 기전으로 감사·인증 명칭만 다르다."
G_SYS_EVAL,4,G_SYS_EVAL_025,G_SYS_EVAL_024,"평가·감사에 필요한 시스템 접근권·문서를 확보하지 못해 위험을 검증하지 못한다는 동일 리스크로 외부 평가자 접근(024)은 025의 부분 축이다."
G_SYS_EVAL,5,G_SYS_EVAL_028,G_SYS_EVAL_030,"영향받는 공동체의 가치를 수렴·반영하지 못한 채 설계·평가·배포한다는 동일 행위·피해의 재진술이다."
G_SYS_EVAL,6,G_SYS_EVAL_035,G_SYS_EVAL_066,"LLM 평가자의 결함 있는 판정이라는 동일 기전으로 자기 선호(066)는 장황함·입장 선호와 같은 편향 유형 변형이다."
G_SYS_EVAL,7,G_SYS_EVAL_038,G_SYS_EVAL_064,"에이전트 안전 평가가 적대적 변형·다단계 실패 연쇄 등 심층 스트레스 검증을 결여해 위해를 놓친다는 동일 리스크의 재진술이다."
G_SYS_EVAL,8,G_SYS_EVAL_042,G_SYS_EVAL_049,"저자원·취약 언어에서 안전성·유해성 평가와 탐지 커버리지가 부족하다는 동일 기전·피해의 재진술이다."
G_SYS_EVAL,9,G_SYS_EVAL_044,G_SYS_EVAL_055,"배포 전 로봇 시험이 현실적 공격·적대적 입력·인간 상호작용·엣지 조건을 누락해 안전성을 과대평가한다는 동일 리스크로 레드팀(055)은 방법 변형이다."
G_SYS_EVAL,10,G_SYS_EVAL_046,G_SYS_EVAL_050,"데이터에 대한 문서화·이해 부재로 결함 미교정과 하류 해악이 생긴다는 동일 기전으로 조직 간 공유(050)는 상황 변형이다."
G_SYS_MISINFO,1,G_SYS_MISINFO_009,G_SYS_MISINFO_013,"신뢰성이 검증되지 않은 외부 검색·도구 콘텐츠가 유입되어 허위 출력을 유발한다는 동일 기전으로 검색 증강(013)은 채널 변형이다."
G_SYS_MISINFO,2,G_SYS_MISINFO_018,G_SYS_MISINFO_011,"018 정의가 '입력에 충실하지 않은' 부정확 생성까지 명시해 출처 충실성 오류(011)를 완전 포함한다."
G_SYS_MISINFO,3,G_SYS_MISINFO_021,G_SYS_MISINFO_020,"허위 서사·가짜 뉴스의 저비용 대량 생산이라는 동일 행위·기전으로 021이 제작·맞춤화·확산까지 포괄한다."
G_SYS_MISINFO,4,G_SYS_MISINFO_022,G_SYS_MISINFO_014,"사실과 다른 정보를 신뢰할 만한 것처럼 산출해 인식·판단을 왜곡한다는 동일한 우산형 재진술로 022가 생성·추천·증폭 채널을 포괄한다."
G_SYS_SECADV,1,G_SYS_SECADV_001,G_SYS_SECADV_022|G_SYS_SECADV_056,"지각하기 어려운 미세 교란 입력으로 모델 오판을 유도한다는 동일 공격 기법을 공격(001)·회피(022)·모델 취약성(056) 관점으로 재진술한 3장이다."
G_SYS_SECADV,2,G_SYS_SECADV_004,G_SYS_SECADV_007,"신뢰할 수 없는 외부 지시·콘텐츠가 에이전트의 목표·계획·후속 도구 호출을 공격자 목적으로 전환한다는 동일 기전의 재진술이다."
G_SYS_SECADV,3,G_SYS_SECADV_006,G_SYS_SECADV_047,"검색 파이프라인 오염(047)은 006이 명시한 RAG·검색 항목·맥락 오염의 완전 포함 부분집합이다."
G_SYS_SECADV,4,G_SYS_SECADV_011,G_SYS_SECADV_060,"훈련 데이터·표현에 삽입된 트리거가 특정 조건에서 위험한 로봇·피지컬 AI 행동을 활성화한다는 동일 백도어 기전으로 월드 모델(060)은 채널 변형이다."
G_SYS_SECADV,5,G_SYS_SECADV_018,G_SYS_SECADV_030,"학습·미세조정 데이터를 오염시켜 모델 동작을 변경한다는 동일 공격으로 지시문 튜닝(030)은 단계·세부 변형이다."
G_SYS_SECADV,6,G_SYS_SECADV_025,G_SYS_SECADV_051,"인코딩·저자원 언어 우회(051)는 025가 예시로 명시한 안전 튜닝 일반화 격차 악용의 완전 포함 사례다."
G_SYS_SECADV,7,G_SYS_SECADV_026,G_SYS_SECADV_013,"모델 취약점·적대적 지시로 안전장치를 우회해 금지된 출력·무단 접근을 얻는다는 동일 리스크의 일반형 재진술 쌍이다."
G_SYS_SECADV,8,G_SYS_SECADV_027,G_SYS_SECADV_031,"공격·오염·잡음·환경 변화에서 견고성·복원력이 부족해 성능과 안전이 훼손된다는 동일 리스크로 031은 복잡 신경망이라는 원인 서술 변형이다."
G_SYS_SECADV,9,G_SYS_SECADV_033,G_SYS_SECADV_008,"유해한 물리 행동 지시를 무해한 과업으로 위장·프레이밍해 체화 AI의 안전장치를 우회한다는 동일 공격의 재진술이다."
G_SYS_SECADV,10,G_SYS_SECADV_037,G_SYS_SECADV_036,"037 정의가 모델 역전·추출 공격을 명시적으로 포함해 036을 완전 포함하며 절취·변조까지 포괄한다."
G_SYS_SECADV,11,G_SYS_SECADV_044,G_SYS_SECADV_045,"입력·외부 콘텐츠에 숨긴 지시로 지시 계층과 안전 정책을 우회해 무단 행위·유출을 낳는다는 동일 프롬프트 주입 공격의 재진술이다."
G_SYS_SECADV,12,G_SYS_SECADV_049,G_SYS_SECADV_048,"위험한 역할·역할극·페르소나 부여로 안전장치를 우회한다는 동일 기법으로 라운드2 A_필수통합 역할·페르소나 클러스터 판정과 일치한다."
G_SYS_SECADV,13,G_SYS_SECADV_052,G_SYS_SECADV_003,"물리 장면 요소(패치·표지·물체 배치·의복 패턴)를 적대적으로 조작해 로봇 인지 오류와 위험 행동을 유발한다는 동일 공격의 매체 변형이다."
G_SYS_SECADV,14,G_SYS_SECADV_055,G_SYS_SECADV_024,"개발 도구체인·API·라이브러리·의존성의 결함·백도어가 시스템에 유입된다는 동일 공급망 리스크의 재진술이다."
G_SYS_SECADV,15,G_SYS_SECADV_058,G_SYS_SECADV_041,"영상·감각 관측의 적대적 조작으로 상태 추정을 왜곡해 안전 제약을 위반하는 로봇 행동을 유도한다는 동일 기전이다."
P_SYS_CONTROL,1,P_SYS_CONTROL_006,P_SYS_CONTROL_011|P_SYS_CONTROL_021|P_SYS_CONTROL_033|P_SYS_CONTROL_053,"구현체의 도달·하중·관절·그리퍼 등 물리 한계를 넘는 명령을 생성한다는 동일 행위·피해로 교차 구현체 정책(011)·그리퍼 제약(021)·동작 재매핑(033)·기술 전이(053)는 원인·경로 변형이다."
P_SYS_CONTROL,2,P_SYS_CONTROL_007,P_SYS_CONTROL_005,"원격 연결(클라우드 연산·제어 링크) 상실 시 대체 수단 없이 안전 기능이 중단된다는 동일 기전으로 005는 클라우드 오프로드 채널 변형이다."
P_SYS_CONTROL,3,P_SYS_CONTROL_012,P_SYS_CONTROL_029,"설계 결함이 안전하지 않은 물리 행동과 상해를 낳는다는 029는 001·012가 구체화한 내용의 기전 없는 우산형 재진술이다."
P_SYS_CONTROL,4,P_SYS_CONTROL_013,P_SYS_CONTROL_047,"학습 데이터·정책이 포괄하지 못한 개방 환경 조건에서 일반화가 실패해 안전하지 않은 물리 행동이 발생한다는 동일 리스크의 원인 측면 변형이다."
P_SYS_CONTROL,5,P_SYS_CONTROL_015,P_SYS_CONTROL_027,"사람 근접 운용에서 안전 속도 한계를 초과해 충돌 심각도를 높인다는 동일 행위·피해로 엔드 이펙터·보행은 신체 부위 변형이다."
P_SYS_CONTROL,6,P_SYS_CONTROL_023,P_SYS_CONTROL_049,"시연·기록 당시와 달라진 배포 조건에서 시연된 행동을 그대로 재사용해 위험을 낳는다는 동일 기전으로 원격 조작 시연(049)은 출처 변형이다."
P_SYS_CONTROL,7,P_SYS_CONTROL_024,P_SYS_CONTROL_008|P_SYS_CONTROL_028,"접촉·파지·충돌에서 안전 임계를 넘는 힘을 가해 상해·손상을 일으킨다는 동일 행위·피해의 정밀손(008)·파지 시점(028)·전신(024) 변형이다."
P_SYS_CONTROL,8,P_SYS_CONTROL_036,P_SYS_CONTROL_010,"온보드 연산 자원 제약(메모리 고갈·열/전력 스로틀링)으로 실시간 안전 기능이 저하·중단된다는 동일 기전의 자원 유형 변형이다."
P_SYS_CONTROL,9,P_SYS_CONTROL_040,P_SYS_CONTROL_009|P_SYS_CONTROL_031|P_SYS_CONTROL_045,"제어 루프의 지연·실시간 기한 미준수·동기화 실패로 안전 대응이 늦어진다는 동일 기전으로 안전 제약 집행 지연(031)·원격 조작 지연(045)은 위치·채널 변형이다."
P_SYS_CONTROL,10,P_SYS_CONTROL_043,P_SYS_CONTROL_041,"과업 성능·보상 극대화를 위해 충돌 회피·안전 제약 준수를 희생한다는 동일 리스크로 보상 과적합(041)은 기전 서술 변형이다."
P_SYS_CONTROL,11,P_SYS_CONTROL_052,P_SYS_CONTROL_054,"안전 제약을 위반하는 작업 계획·궤적을 생성해 실행한다는 동일 행위로 궤적 생성(054)은 계획의 하위 단계 변형이다."
P_SYS_CONTROL,12,P_SYS_CONTROL_055,P_SYS_CONTROL_057,"시험 조건과 다른 배포 조건에서 정책 행동이 불안정해진다는 동일 리스크로 시뮬레이션-현실 보행 전이(057)는 055가 명시한 조건 변화의 완전 포함 사례다."
