L4_ID,issue_type,proposed_L3,title_fix_ko,def_fix_ko,severity,rationale
P_SYS_CONTROL_023,DEF_FIX,,,"물체 형상·장면 배치·상호작용 맥락이 달라졌는데도 휴머노이드가 시연된 인간 동작을 그대로 재현해 부적절한 접촉이나 이동을 일으키는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_CONTROL_034,DEF_FIX,,,"분할되거나 신뢰할 수 없는 네트워크 연결로 다중 로봇 군집이 비동기화되어 충돌 또는 안전하지 않은 협조 행동이 발생하는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_CONTROL_040,DEF_FIX,,,"감지·추론·통신·작동 사이의 지연이나 동기화 오류가 로봇·차량·드론·원격 수술 또는 산업 시스템의 제어 루프를 불안정하게 만드는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_CONTROL_046,DEF_FIX,,,"로봇이 작업 단계 사이의 작은 조작 오차를 감지·수정하지 못해 유출·불안정한 배치·충돌·과열이 누적되는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_CONTROL_047,REMAP,G_SYS_PERF,,,3,"휴머노이드 조작 데이터셋의 오픈월드 조건 과소대표로 인한 정책 일반화 실패는 학습 데이터 결함에 따른 일반화·안정성 미달성을 다루는 G_SYS_PERF(성능·신뢰성 실패) 정의와 직접 부합하며, 안전하지 않은 물리적 행동은 그 파생 효과에 해당함."
P_SYS_CONTROL_054,DEF_FIX,,,"로봇·휴머노이드 또는 피지컬 AI 시스템의 플래너가 형식적으로는 실행 가능하지만 주변 사람·취약 물체·교통 참여자 또는 제약된 작업 공간에 안전하지 않은 궤적을 생성하는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_CONTROL_055,"REMAP;DEF_FIX",G_SYS_PERF,,"한 시뮬레이터나 시험 조건에서 안정적인 휴머노이드 정책이 난수 시드·시뮬레이터·하드웨어·배포 환경이 바뀌면 행동이 크게 달라지는 리스크.",3,"시드·시뮬레이터·하드웨어·배포 환경 변화에 따른 정책 행동 불안정은 동일 입력에 대한 출력 변동이 아니라 운용 조건 변화에 따른 안정성 미달성이므로 G_SYS_PERF(성능·신뢰성 실패) 정의와 더 부합함. 정의 말미도 '~하는 위험.'으로 표준 종결과 다름."
P_SYS_STATE_006,DEF_FIX,,,"로봇·휴머노이드 또는 피지컬 AI 시스템의 GPS·SLAM·관성 감지·지도 정렬 오차가 누적되어 시스템이 잘못된 자기 위치 추정에 기반해 행동하는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_STATE_007,DEF_FIX,,,"상태 압축이 휴머노이드의 안전한 계획에 필요한 접촉 상태, 충돌 임박, 물체 불안정성 또는 인간 근접성에 관한 정보를 제거하는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
P_SYS_STATE_009,DEF_FIX,,,"피지컬 AI 시스템이 가림으로 숨겨진 사람·동물·차량·장애물을 감지하지 못해 공유 공간에서 충돌이나 그 밖의 안전하지 않은 동작을 유발하는 리스크.",2,"정의 말미가 표준 종결 어미 '~하는 리스크.'가 아닌 '~하는 위험.'으로 끝나 언어 규칙(1문장 명사형 종결)에 어긋남."
