tier,L4_ID,current_L3,Title_ko,issue,proposed_L3,detail_A,detail_B
A단독_REMAP,P_SYS_CONTROL_047,P_SYS_CONTROL,휴머노이드 조작 데이터셋에서의 오픈 월드 조건 과소대표,REMAP,G_SYS_PERF,"휴머노이드 조작 데이터셋의 오픈월드 조건 과소대표로 인한 정책 일반화 실패는 학습 데이터 결함에 따른 일반화·안정성 미달성을 다루는 G_SYS_PERF(성능·신뢰성 실패) 정의와 직접 부합하며, 안전하지 않은 물리적 행동은 그 파생 효과에 해당함.",
톤수정_기계확인,P_INT_SAFETY_008,P_INT_SAFETY,구현체별 역할·권한 제약 집행 실패,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_INT_SAFETY_010,P_INT_SAFETY,인간-로봇 상호 행동 모델링 미흡,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_INT_SAFETY_016,P_INT_SAFETY,인간 접촉 안전 통제 미흡,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_INT_SAFETY_018,P_INT_SAFETY,시연 학습의 안전 맥락 누락,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_INT_SAFETY_020,P_INT_SAFETY,취약 사용자 특성에 맞지 않는 안전 한계,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_INT_SAFETY_021,P_INT_SAFETY,전신 이동 중 충돌,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_006,P_SYS_CONTROL,명령의 구현체별 하드웨어 한계 초과,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_007,P_SYS_CONTROL,통신 단절 및 제어 링크 손실,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_023,P_SYS_CONTROL,장면 변화 시 인간 행동 모방 실패,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_034,P_SYS_CONTROL,네트워크 분리와 군집 비동기화,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_040,P_SYS_CONTROL,실시간 지연 및 동기화 실패,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_046,P_SYS_CONTROL,가정 조작의 단계별 오차 미수정,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_054,P_SYS_CONTROL,안전하지 않은 궤적 생성,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_CONTROL_055,P_SYS_CONTROL,배포 조건 간 휴머노이드 행동 불안정,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_STATE_006,P_SYS_STATE,위치 추정 누적 오차,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_STATE_007,P_SYS_STATE,잠재 상태 압축에 따른 안전 임계 정보 손실,DEF_FIX(위험→리스크),,,
톤수정_기계확인,P_SYS_STATE_009,P_SYS_STATE,가림에 의한 충돌,DEF_FIX(위험→리스크),,,
