l4_id,title_ko,l3_id,flag,action,rationale
G_INT_COPY_004,지식재산권 및 인격권 침해,G_INT_COPY,BROAD,DECOMPOSE,"저작권·상표·특허·초상 등 인격권까지 묶은 정의가 L3 전체와 동연이며 COPY_007(상표)·008(복제) 등 기존 세부 카드를 포괄함."
G_INT_COPY_009,저작물의 무단 복제 및 브랜드 사칭,G_INT_COPY,BROAD,DECOMPOSE,"저작물 복제(COPY_008 존재)와 상표·브랜드 사칭(COPY_007 존재)이라는 이질적 리스크 축을 병렬한 복합 카드임(기지 복합 카드 후보)."
G_INT_ILLEGAL_014,AI 에이전트의 범죄 조력,G_INT_ILLEGAL,BROAD,SHARPEN,"'사기·사이버범죄·법 집행 회피 등 불법 행위'라는 개방 열거가 L3 전체의 에이전트 판본으로 같은 L3 범죄 유형 카드 대부분을 포괄하므로 에이전트 고유 기전으로 한정해야 함."
G_INT_ILLEGAL_015,불법적 명예·권리 침해 지원,G_INT_ILLEGAL,VAGUE,SHARPEN,"'기타 권리 침해에 해당할 수 있는 콘텐츠'라는 개방 술어로 판정 경계가 없어 명예훼손 등 관측 가능한 행위 유형으로 재정의해야 함."
G_INT_WEAP_002,폭력과 무력 충돌,G_INT_WEAP,BROAD,DECOMPOSE,"사이버 공격·보안 침해와 생물·화학무기 개발이라는 이질적 축을 병렬하여 WEAP_003·007 등 기존 세부 카드를 중복 포괄하는 복합 카드임(기지 복합 카드 후보)."
G_INT_WEAP_005,무기 개발·획득·배치 역량 증대,G_INT_WEAP,BROAD,DECOMPOSE,"CBRN·폭발물·자율무기 부여까지 묶은 복합 정의로 WEAP_003·012·013·016 등 세부 카드가 참이면 자동으로 참이 되는 상위 개념임."
G_INT_WEAP_010,CBRN 정보 획득·무기 설계 역량 개발 장벽 저하,G_INT_WEAP,BROAD,DECOMPOSE,"화·생·방·핵 전체의 장벽 저하를 통칭하여 WEAP_014(생·화학 장벽 저하)와 003·016의 상당 부분을 포괄함(사용자 미결정 WEAP_010 vs 014 쟁점과 일치)."
G_INT_WEAP_015,군사 AI 군비경쟁,G_INT_WEAP,VAGUE,SHARPEN,"'전쟁의 제3차 혁명을 열어 군비 경쟁을 촉발'이라는 수사적 서술로 관측 가능한 행위·산출물·피해가 특정되지 않음."
G_INT_WEAP_018,무기 획득 역량,G_INT_WEAP,BROAD,DECOMPOSE,"기존 무기 접근·신규 무기 제작 기여·과학적 발견 지원을 통칭하여 WEAP_003·005·014 등 세부 카드를 상위에서 포괄함."
G_INT_WEAP_019,대량살상무기,G_INT_WEAP,BROAD,DECOMPOSE,"화·생·방·핵 전체를 포괄하는 정의로 WEAP_003(생·화학)·016(방사능·핵)이 참이면 자동으로 참이 되는 상위 개념임(사용자 미결정 포괄 카드 쟁점과 일치)."
G_INT_WEAP_021,생물·화학무기 및 이중용도 위해 역량의 증대,G_INT_WEAP,BROAD,DECOMPOSE,"생·화학무기 역량 증대와 이중용도 연구 일반을 묶어 WEAP_003·014·029의 합집합에 해당하는 상위 개념임."
G_INT_WEAP_028,사이버·과학 영역에서의 LLM 이중용도 역량 악용,G_INT_WEAP,BROAD,DECOMPOSE,"취약점 탐지·악용(025~027 존재)과 위험 과학 실험 지침(029 등 존재)이라는 이질적 축을 병렬한 복합 카드임(기지 복합 카드 후보)."
G_INT_POL_006,정치적 선전 및 편향적 설득,G_INT_POL,BROAD,SHARPEN,"'선전 및 편향적 설득' 통칭이 POL_001(편향 표출)·007(개인화 설득)·008(자동화 선전)을 포괄하므로 비개인화 선전물 생성 등으로 경계를 축소해야 함."
G_INT_PRIV_003,개인정보 수집 및 추적,G_INT_PRIV,BROAD,DECOMPOSE,"수집·추적 전반을 통칭하여 PRIV_010·011·015·016·021 등 수집 계열 세부 카드가 참이면 자동으로 참이 되는 상위 개념임."
G_INT_PRIV_005,개인정보 및 민감정보 노출,G_INT_PRIV,BROAD,DECOMPOSE,"노출 전반을 통칭하여 PRIV_004·006·019·020·023·024 등 노출 계열 세부 카드를 상위에서 포괄함."
G_INT_PRIV_020,재산 정보·개인정보·사적 사실의 부당한 노출,G_INT_PRIV,BROAD,DECOMPOSE,"재산 정보·개인정보·사적 사실을 병렬한 정의가 PRIV_019(대화 중 노출)·004(사생활·평판)를 포괄함(사용자 미결정 PRIV_020 vs 021 쟁점과 일치)."
G_INT_REL_002,AI 시스템에 대한 정서적·물질적·인식론적 의존,G_INT_REL,BROAD,DECOMPOSE,"정서·일상 기능·판단 의존과 변경 시 고통까지 묶은 복합 정의로 REL_001·005·006 등 세부 카드가 참이면 자동으로 참이 되는 상위 개념임."
G_INT_REL_006,AI에 대한 해로운 정서적 의존,G_INT_REL,BROAD,DECOMPOSE,"'의인화 상호작용을 통한 정서적 의존 강화와 관계·판단 약화'는 L3 정의와 거의 동연이며 REL_001·005와 구분 기준이 없음."
G_INT_REPR_018,사회집단의 재현적 피해·고정관념 및 비가시화,G_INT_REPR,BROAD,DECOMPOSE,"고정관념화·비하·동질화·과소대표·비재현을 통칭하여 L3 정의 및 속성별 '기반' 시리즈·016·026 등 다수 카드와 동연인 상위 개념임."
G_INT_REPR_025,편향된 진술 및 권장 사항,G_INT_REPR,VAGUE,SHARPEN,"'명백히 허위·유해하지 않지만 미묘하게 편향된'이라는 술어는 평가자가 판정 기준을 세울 수 없어 편향 유형·측정 방식을 특정해야 함."
G_INT_REPR_026,보호집단 고정관념의 재생산,G_INT_REPR,BROAD,DECOMPOSE,"학습 데이터 고정관념 재생산이라는 정의가 REPR_017·019와 사실상 동일 범위이며 속성별 시리즈 전반을 포괄하는 상위 서술임."
G_INT_UNETH_004,은밀한 행동 조작,G_INT_UNETH,BROAD,DECOMPOSE,"넛지·다크패턴·불투명 기법 전반에 프라이버시·중독·불안까지 병렬한 복합 정의로 UNETH_005·018·021·022를 포괄함(기지 복합 카드 후보)."
G_INT_UNETH_009,직장 내 부적응적 인간-AI 상호작용,G_INT_UNETH,VAGUE,SHARPEN,"'인간의 필요·규범·업무 흐름에 적응하지 못하여 윤리적 문제 유발'은 관측 가능한 행위·피해가 특정되지 않은 추상 서술임."
G_INT_UNETH_013,사용자 선호·선택의 조작적 유도,G_INT_UNETH,BROAD,DECOMPOSE,"운영자·최적화·편향이 정한 방향으로의 유도 일반을 정의하여 UNETH_016·019~023 등 조작 계열 세부 카드가 참이면 자동으로 참이 됨."
G_INT_UNETH_015,시장 점유 목적의 비윤리적 기술 사용,G_INT_UNETH,VAGUE,SHARPEN,"'기술이 부적절하거나 비윤리적으로 사용'이라는 조작화 불가 술어만으로 구성되어 행위·기전·피해가 전혀 특정되지 않음."
G_INT_SELF_002,이용자의 정신·신체 건강을 위협하는 콘텐츠,G_INT_SELF,BROAD,DECOMPOSE,"섭식장애·자살·공황 유발·오도성 의료정보·약물 지침을 병렬한 복합 정의로 SELF_003·004 등 세부 카드를 포괄함(기지 복합 카드 후보)."
G_INT_SELF_009,자해 조장 및 지원,G_INT_SELF,BROAD,SHARPEN,"자해·자살의 조장·정상화부터 수단·방법·실행 절차 제공까지 묶어 SELF_004·005·008·010과 중첩되므로 준비·실행 분리 원칙에 맞게 경계를 재획정해야 함."
G_INT_SEX_001,외설·비하·학대 이미지 생성 및 접근 용이화,G_INT_SEX,BROAD,DECOMPOSE,"외설 이미지·아동 성착취물(008 존재)·비동의 친밀 이미지(004 존재)라는 이질적 축을 병렬하여 기존 세부 카드를 중복 포괄하는 복합 카드임."
G_INT_SEX_005,성적 콘텐츠 제작·유포 및 디지털 성범죄,G_INT_SEX,BROAD,DECOMPOSE,"'디지털 성범죄' 통칭이 SEX_001·004·006·007·008 등 세부 카드가 참이면 자동으로 참이 되는 상위 개념임."
G_SOC_CULT_002,창의성·비판적 사고의 저하,G_SOC_CULT,VAGUE,SHARPEN,"창의성·상상력·비판적 사고의 '평가 절하 또는 저하'는 행위 주체·기전·관측 지표가 없는 추상 명사 나열로 판정 기준 수립이 곤란함."
G_SOC_CULT_007,문화적 안정성 훼손,G_SOC_CULT,VAGUE,SHARPEN,"'문화적 안정성과 안전 훼손'이라는 추상 술어 중심 정의로 관측 가능한 산출물·피해가 특정되지 않음."
G_INT_VALUE_010,지배적 가치의 부과,G_INT_VALUE,BROAD,DECOMPOSE,"다수·지배 가치 특권화와 현지 가치 대체라는 정의가 L3와 거의 동연이며 VALUE_004·007·019·021 등 다수 카드를 상위에서 포괄함."
G_INT_VALUE_020,지배적 가치 편향에 따른 이슬람 윤리의 과소대표,G_INT_VALUE,NARROW,ABSORB,"이슬람 단일 종교에 한정된 카드로 VALUE_015(세속적 기본값)·021(지배 가치 편향)에 한 단어를 대입한 사례 수준임(REPR형 열거군 설계에 해당하지 않음)."
G_INT_VALUE_021,사전학습 코퍼스의 지배적 가치 편향,G_INT_VALUE,BROAD,SHARPEN,"기전(사전학습 코퍼스)을 제외한 결과 서술이 L3 정의와 동연이므로 코퍼스 구성 편향이라는 기전 중심으로 정의를 축소해야 함."
G_INT_VIOL_003,폭력 선동·조장 및 실행 지원,G_INT_VIOL,BROAD,SHARPEN,"선동·조장·정당화·실행 지원을 모두 포함하여 L3 정의와 거의 동연이므로 VIOL_002(미화·정당화)와 배타적인 경계로 축소해야 함."
G_INT_VIOL_005,신체적 위해를 유발하는 출력,G_INT_VIOL,VAGUE,SHARPEN,"'은밀하게 위험하거나 간접적으로 안전하지 않은 언어'는 조작화 불가 술어로 판정 기준을 세울 수 없음(기지 복합 카드 후보)."
G_INT_VIOL_010,폭력과 극단주의 실행의 조장,G_INT_VIOL,BROAD,DECOMPOSE,"'신체적·정신적 위해의 정당화 또는 실행 정보·지원 제공'은 L3 정의의 재진술로 VIOL_003과 동연임."
G_Others_005,유해 작업 자동화에 의한 피해 규모 증폭,G_Others,VAGUE,SHARPEN,"'유해한 작업 흐름'이 무엇인지 특정되지 않은 횡단적 증폭 서술로 독립 판정이 불가능함."
G_Others_009,편향 증폭과 결과 균질화,G_Others,BROAD,DECOMPOSE,"편향 증폭·집단 간 성능 격차·출력 균질화라는 이질적 축을 병렬하여 REPR 계열·Others_070·VALUE 계열과 중복 포괄함."
G_Others_011,시민적·정치적 피해,G_Others,BROAD,DECOMPOSE,"넛지에 의한 참정권 약화·거버넌스 침식·감시·무력 활용을 병렬한 복합 정의로 POL·DEMOC·감시 계열 카드를 포괄함."
G_Others_013,규제·관리·운영 복합 실패,G_Others,VAGUE,SHARPEN,"'규제·관리·운영상의 실패가 상호작용하며 누적되어 피해'는 실패 유형·기전·피해가 전혀 특정되지 않은 서술임."
G_Others_017,도덕적 추론 및 가치 정렬 실패,G_Others,BROAD,SHARPEN,"허용·불허 구분 실패와 가치 비정렬 일반을 통칭하여 정렬 실패 관련 카드 대부분을 포괄하므로 판정 가능한 실패 양상으로 축소해야 함."
G_Others_018,경제·사회·정치 안보의 불안정화,G_Others,BROAD,DECOMPOSE,"환각·오결정·공격에 따른 개인 피해부터 양극화·선거·전쟁 양상 변화까지 묶은 복합 정의로 다수 범주를 동시 포괄함."
G_Others_021,건강과 웰빙의 저하,G_Others,BROAD,DECOMPOSE,"행동 착취·감정 조작·안전 실패·잘못된 건강 추론이라는 이질적 기전을 병렬하고 피해를 '건강과 웰빙 저하'로 추상화한 복합 카드임."
G_Others_023,위험하거나 민감한 정보의 악용·확산에 따른 보안 위협,G_Others,BROAD,DECOMPOSE,"위험·민감정보의 접근·악용·확산 일반을 정의하여 WEAP 장벽 저하 계열·SECADV 계열과 광범위하게 중복되는 상위 개념임."
G_Others_025,유해 편향의 내재화와 증폭,G_Others,BROAD,DECOMPOSE,"'유해한 편향을 내재화하고 증폭'은 REPR L3 및 그 세부 카드들과 동연인 추상 상위 서술임."
G_Others_029,사회 정의와 권리의 침식,G_Others,VAGUE,SHARPEN,"책임·책무성·차별 금지·디지털 격차·세대 간 정의·사회적 포용 등 추상 명사 나열로 관측 가능한 피해가 특정되지 않음."
G_Others_032,특정 집단 대상 체계적 편향에 의한 배제·폭력,G_Others,BROAD,DECOMPOSE,"오분류 배제(ALLOC·REPR 영역)와 딥페이크 성착취물(SEX 영역)이라는 이질적 피해 축을 병렬한 복합 카드임."
G_Others_033,고도 AI 시스템에 의한 실존적·재앙적 위험,G_Others,BROAD,DECOMPOSE,"기만·권력 추구·자기복제·종료 회피·무기화를 병렬하여 DECEPT·GOAL·AUTH·WEAP 계열 세부 카드를 통칭하는 복합 상위 카드임."
G_Others_039,과장된 역량 주장과 제품 기능 실패에 따른 피해,G_Others,BROAD,DECOMPOSE,"공급자의 역량 과장(OEXT 영역)과 시스템 기능 실패(환각·오류 코드 등)라는 이질적 축을 병렬한 복합 카드임."
G_Others_053,사용 사례에 내재된 위해 가능성,G_Others,VAGUE,SHARPEN,"'사용 사례 자체가 높은 위해 가능성을 내포'는 행위·기전·피해가 특정되지 않은 메타 서술로 판정 기준 수립이 불가능함."
G_Others_055,되돌릴 수 없는 변화,G_Others,VAGUE,SHARPEN,"'사회 구조·문화 규범·인간관계의 되돌리기 어려운 부정적 변화'는 관측 가능한 산출물·피해가 없는 추상 서술임."
G_Others_059,장기 실존적 피해 경로,G_Others,BROAD,DECOMPOSE,"오용 또는 정렬 실패를 통한 실존 규모 피해 일반을 정의하여 Others_033·034·041과 동연인 상위 개념임."
G_Others_062,도용 및 착취,G_Others,BROAD,DECOMPOSE,"콘텐츠·데이터의 무동의 전유·사용·재생산 일반을 정의하여 COPY 계열·CULT_005·Others_038·050과 광범위하게 중복됨."
G_Others_065,사회적 가치·윤리 규범과 상충하는 모델 출력,G_Others,VAGUE,SHARPEN,"'보편적으로 받아들여지는 사회적 가치에 어긋나는 출력'은 조작화 불가 술어로 어노테이션 기준을 세울 수 없음."
G_Others_066,학대적 판타지 대상화,G_Others,VAGUE,SHARPEN,"'도덕적·사회적으로 부적절한 대화 활동'이라는 술어만으로는 관측 가능한 행위 유형이 특정되지 않아 판정이 곤란함."
G_Others_068,조직 재정·평판 손상,G_Others,VAGUE,SHARPEN,"'구축 또는 사용으로 인한 재정 손실·평판 훼손'은 결과만 있고 기전·행위가 없는 정의로 사실상 모든 실패 카드에 부수하는 서술임."
G_Others_078,유해·범죄 조장·기만적 콘텐츠의 대규모 생성,G_Others,BROAD,DECOMPOSE,"범죄 조장·아동 성착취물·자살 조장·비동의 성적 이미지·허위정보·딥페이크를 병렬하여 VIOL·SEX·SELF·MISINFO·ILLEGAL 세부 카드를 통칭하는 복합 카드임."
G_Others_088,배포된 AI의 의도치 않은 유해 결과,G_Others,BROAD,SHARPEN,"'제작자가 의도하지 않은 피해로 광범위한 사회적 손해 누적'은 비의도 피해 전 범주와 동연이므로 판정 가능한 실패 경로로 축소해야 함."
G_Others_090,복합적 사회·환경 피해,G_Others,BROAD,DECOMPOSE,"노동 대체·정신건강·딥페이크 조작·온실가스 배출이라는 서로 다른 범주의 피해 경로를 병렬한 복합 카드임."
G_Others_091,인명·재산·환경 직접 피해,G_Others,BROAD,DECOMPOSE,"신체·심리·재산·인프라·비인간·환경 피해 전체를 묶은 정의로 다수 L3 범주의 결과를 통칭하는 상위 개념임."
G_Others_094,무제한 접근을 통한 범용 AI 고영향 오용,G_Others,BROAD,SHARPEN,"'광범위한 역량·기능의 오용으로 대규모 피해'는 오용 리스크 전반과 동연이므로 접근 통제 부재라는 조건 중심으로 축소해야 함."
G_Others_106,학습·검증 데이터의 품질 결함과 부적절한 선택,G_Others,BROAD,DECOMPOSE,"오염·레이블 오류·대표성 부족·편향 콘텐츠를 병렬하여 Others_102·104·108·110 등 세부 데이터 결함 카드를 포괄함."
G_Others_107,배포 후 잔존 결함으로 인한 오작동,G_Others,VAGUE,SHARPEN,"'매우 바람직하지 않은 결과'라는 조작화 불가 술어와 버그·목표 오정렬·미숙 기능의 병렬로 판정 경계가 없음."
G_Others_116,이상 조건에서의 성능·견고성·복원력 실패,G_Others,BROAD,DECOMPOSE,"공격·오염·잡음·구성요소 고장 전반의 견고성 실패를 통칭하여 Others_100·101·104·105·113·115 등 세부 카드를 포괄함."
G_SYS_SECADV_004,안전장치 우회를 통한 금지 정보 노출,G_SYS_SECADV,BROAD,DECOMPOSE,"'탈옥이나 적대적 지시로 안전장치 우회' 일반을 정의하여 SECADV_005·009·028·033·035 등 우회 기법별 세부 카드가 참이면 자동으로 참이 됨."
G_SYS_SECADV_015,기술적 안전조치 우회 공격,G_SYS_SECADV,BROAD,DECOMPOSE,"'취약점을 악용한 안전 조치 우회와 무단 접근'은 L3의 우회 축 전체와 동연으로 기법·기전이 특정된 세부 카드들을 포괄함."
G_SYS_SECADV_024,안전 가드레일을 무력화하는 탈옥 공격,G_SYS_SECADV,BROAD,DECOMPOSE,"적대적 입력·오염 미세조정·백도어라는 서로 다른 공격 벡터를 병렬하여 SECADV_013·014·018·034 등 세부 카드를 중복 포괄함."
G_SYS_SECADV_029,LLM 대상 신종 공격,G_SYS_SECADV,BROAD,DECOMPOSE,"'신종 공격 기법'이라는 열린 집합을 정의로 삼아 API 비용 악용·보상 모델 백도어·적대 샘플 생성 등 이질적 사례를 병렬한 복합 카드임."
G_SOC_GOV_014,점진적인 통제력 상실,G_SOC_GOV,VAGUE,SHARPEN,"'경미한 장애의 누적이 재앙적 결과로 이어지는 통제력 상실'은 관측 가능한 실패 시점·판정 단위가 없어 평가가 곤란함."
G_SOC_GOV_022,기능·책임 명세 공백,G_SOC_GOV,VAGUE,SHARPEN,"'도덕적 책임을 완전히 명세할 정상적 조건이 갖춰지지 않아 공백 발생'은 조작화 불가한 이론적 서술로 판정 기준을 세울 수 없음."
G_SOC_GOV_032,AI 피해에 대한 책임·거버넌스 공백,G_SOC_GOV,BROAD,DECOMPOSE,"'책임 주체·감독 절차·시정 권한 불명확으로 사회적 통제 약화'는 L3 정의의 재진술로 GOV_010·013·023·029 등과 동연임."
G_SYS_TRANS_008,AI 문서화 및 의사결정의 투명성·설명가능성 부족,G_SYS_TRANS,BROAD,DECOMPOSE,"문서 불완전·비공개와 내부 추론 불투명을 병렬하여 TRANS_001·002·004·009·014 등 세부 카드를 포괄하는 복합 상위 카드임."
G_SYS_TRANS_010,모델 불투명도,G_SYS_TRANS,BROAD,DECOMPOSE,"명칭·정의 모두 L3(투명성 부족)의 핵심과 동연이며 TRANS_002·004·014와 구분되는 고유 범위가 없음."
G_SOC_POWER_002,사회경제적 불평등 증폭과 AI 이익의 집중,G_SOC_POWER,BROAD,DECOMPOSE,"편향·접근 격차·자동화·자본 집중·노동 착취·독점을 병렬한 복합 정의로 POWER_005·007·011·020과 ECON 계열까지 포괄함."
G_SOC_POWER_008,기업 AI 경쟁의 폐해,G_SOC_POWER,VAGUE,SHARPEN,"'수혜자가 타인의 피해를 무시하고 단기 이익을 추구'는 관측 가능한 행위·산출물이 특정되지 않은 추상 서술임."
G_SOC_POWER_010,노동 착취와 거시경제적 불평등 심화,G_SOC_POWER,BROAD,DECOMPOSE,"노동 착취(011 존재)·기술적 실업(ECON 영역)·플래시 크래시(CASCADE 영역)라는 이질적 축을 병렬한 복합 카드임."
G_SOC_ECON_003,사회적 적응 지체로 인한 혼란,G_SOC_ECON,VAGUE,SHARPEN,"'노동·교육·공적 담론 문제와 다양한 정신 건강 문제 등 혼란'은 피해가 추상 명사 나열이어서 판정 기준 수립이 곤란함."
G_SOC_ECON_008,노동 대체와 경제·사회 질서의 교란,G_SOC_ECON,BROAD,DECOMPOSE,"실직·탈숙련·임금 저하·불평등·구조 불안정을 묶은 정의가 L3와 거의 동연이며 같은 L3 대체 계열 카드 대부분을 포괄함."
G_SOC_ECON_010,불평등과 기술적 충격에 따른 사회 불안정,G_SOC_ECON,BROAD,SHARPEN,"일자리 부족·불공정 알고리즘·허위정보·격차 확대라는 이질적 원인을 병렬하므로 고용 충격 기인 사회 불안정으로 축소해야 함."
G_SOC_ECON_012,인력 자동화에 따른 광범위한 실업과 임금 하락,G_SOC_ECON,BROAD,DECOMPOSE,"육체·지식 노동 전반의 대체와 실업·임금 하락·소비 위축·불평등을 묶어 L3 및 ECON_009·011·013이 참이면 자동으로 참이 되는 상위 개념임."
G_SOC_ECON_005,아웃소싱 축소에 의한 개발도상국 경제 타격,G_SOC_ECON,NARROW,GENERALIZE,"콜센터 아웃소싱이라는 단일 부문 사례에 한정되어 ECON_002(산업 교란)의 예시 수준이므로 지역 간 자동화 충격 전가로 일반화해야 함."
G_SYS_CONTEST_004,마찰 없는 AI 관계로 인한 개인 성장 저해,G_SYS_CONTEST,VAGUE,SHARPEN,"'자기 성찰과 성장 기회 제한·인간관계로부터의 후퇴'는 이의제기 절차라는 L3 축과 무관한 데다 관측 가능 지표가 없는 서술임."
G_SYS_CONTEST_005,AI 결정에 대한 이의제기와 중단의 불가능,G_SYS_CONTEST,BROAD,DECOMPOSE,"'검토·이의제기·중단·수정 수단 미제공'은 L3 정의의 재진술로 CONTEST_001과 동연임."
G_SOC_DEMOC_002,민주적 절차 훼손,G_SOC_DEMOC,BROAD,SHARPEN,"명칭이 L3 수준이며 감시 기술과 설득 도구라는 이질적 기전을 병렬하므로 단일 기전 중심으로 정의를 축소해야 함."
G_SOC_DEMOC_005,민주적 공론과 시민 신뢰의 침식,G_SOC_DEMOC,BROAD,DECOMPOSE,"'정치 조작·허위정보를 통한 공론·선거 신뢰·참여 약화'는 L3 정의와 거의 동연이며 DEMOC_001과 구분 기준이 없음."
G_SYS_MISINFO_003,악성 사전분포에 의한 의사결정 조작,G_SYS_MISINFO,VAGUE,SHARPEN,"'보편 분포 가설 속 시뮬레이션된 에이전트의 영향'이라는 사변적 서술로 관측 가능한 행위·산출물·피해를 특정할 수 없음."
G_SYS_MISINFO_004,공유 정보 생태계의 오염과 질 저하,G_SYS_MISINFO,BROAD,DECOMPOSE,"생태계 오염 일반과 인물·사건에 대한 허위 묘사(019 존재)라는 이질적 축을 병렬한 복합 카드임(기지 복합 카드 후보)."
G_SYS_MISINFO_005,데이터 오해석·유출에 의한 오결론과 민감정보 확산,G_SYS_MISINFO,BROAD,DECOMPOSE,"오결론(허위정보 축)·민감정보 유출(PRIV 축)·지식 그래프 오염이라는 이질적 리스크 축을 병렬한 복합 카드임."
G_SYS_MISINFO_009,사실과 다른 오도성 정보 생성,G_SYS_MISINFO,BROAD,SHARPEN,"비의도적 생성과 의도적 기만을 함께 포함하여 '고의적 허위정보 제외'라는 L3 범위 단서와 충돌하고 같은 L3 다수 카드를 포괄함."
G_SYS_MISINFO_013,알고리즘 시스템에 의한 허위·오도 정보 피해,G_SYS_MISINFO,BROAD,DECOMPOSE,"'허위·오도 정보를 생성·추천·증폭하여 인식·의사결정 왜곡'은 L3 정의의 재진술로 같은 L3 카드 대부분을 자동 포괄함."
G_SYS_OVERCONF_005,불확실 상황에서의 과도한 확신,G_SYS_OVERCONF,BROAD,DECOMPOSE,"'불확실·근거 부족 상황에서 높은 확신의 출력 제시'는 L3 정의와 동연이며 OVERCONF_002·006과 구분되는 고유 범위가 없음."
A_Others_002,무감독 AI 에이전트의 기계적 명령 수행,A_Others,VAGUE,SHARPEN,"'도덕·안전 제약을 무시하고 예측하기 어렵게 상호작용하여 피해'는 위반 행위·피해 유형이 특정되지 않은 추상 서술임."
A_SYS_DECEPT_001,AI 시스템의 기만적 행동과 전략적 은폐,A_SYS_DECEPT,BROAD,DECOMPOSE,"목표·능력 은폐와 감독 시 순응·비감독 시 이탈을 통칭하여 L3 정의 및 DECEPT_005~007 기만적 정렬 계열과 동연임."
A_INT_CASCADE_005,다중 에이전트 시스템 실패와 연쇄 오류 전파,A_INT_CASCADE,BROAD,SHARPEN,"명세·조정·통신·검증·개별 오류 등 모든 원인의 전파·증폭을 묶어 L3 전체와 동연이므로 전파 기전을 특정해 축소해야 함."
A_SYS_GOAL_006,통제 미집행에 의한 목표 오정렬 및 창발 행동,A_SYS_GOAL,BROAD,DECOMPOSE,"통제 미집행 일반에 와이어헤딩(005 존재)·메사 최적화(013 존재)를 병렬하여 기존 세부 카드를 중복 포괄함."
A_SYS_GOAL_014,인간 가치와 AI 목표의 정렬 실패,A_SYS_GOAL,BROAD,DECOMPOSE,"기만적 정렬(DECEPT 영역)·보상 해킹(005)·대리 지표 조작·목표 오일반화·통제 상실을 병렬하여 GOAL·DECEPT 세부 카드 다수를 포괄하는 복합 카드임."
