L4_ID,verdict,target,rationale
G_SYS_TRANS_005,ABSORB,G_SYS_TRANS_021,블랙박스 추론에 따른 시정·책임 추적 불능은 021의 설명·검증·진단 한계와 동일한 축임.
G_SYS_TRANS_008,ABSORB,G_SYS_TRANS_021,판단 근거 이해 불가는 021의 블랙박스 불투명성 판정과 항상 동반됨.
G_SYS_TRANS_014,ABSORB,G_SYS_TRANS_021,모델 불투명도는 021과 동일한 포괄 판정임.
G_SYS_TRANS_020,ABSORB,G_SYS_TRANS_021,에이전트 의사결정 이해 불능은 021의 불투명성 축에 포함됨.
G_SYS_TRANS_003,ABSORB,G_SYS_TRANS_011,모델·시스템 카드 등 문서화 누락은 011의 문서화·투명성 부족 포괄 카드에 포함됨.
G_SYS_TRANS_007,ABSORB,G_SYS_TRANS_009,로봇 정체성 미고지는 009의 AI 상호작용 불충분 고지와 동일한 판정 축임.
G_SYS_TRANS_022,ABSORB,G_SYS_TRANS_016,가치 충돌의 은폐는 016의 이해관계자 이견 은폐와 동반 판정되는 변형임.
P_INT_SAFETY_013,ABSORB,P_INT_SAFETY_006,공유 공간 이동 조정 실패는 006의 사람 감지·예측 실패와 동일한 관측 결과(충돌·방해)로 동반 판정됨.
P_INT_SAFETY_012,ABSORB,P_INT_SAFETY_016,언어 목표의 행동 변환 시 힘·이격·접촉 제약 미적용은 016의 접촉 안전 통제 미흡과 동일한 판정 축임.
P_SYS_STATE_002,ABSORB,P_SYS_STATE_008,단일 로봇 내 시각·접촉 신호 충돌은 008의 다중 센서 융합 상충의 사례 변형임.
A_INT_CASCADE_008,WEAK_FIT_TRANSFER,G_INT_WEAP,내부 오류의 연쇄 전파가 아니라 대상 시스템에 대한 분산 자원 고갈형 사이버 공격 실행으로 WEAP의 사이버 공격 축 소관임.
G_INT_ILLEGAL_004,WEAK_FIT_TRANSFER,G_INT_WEAP,사이버 공격·시스템 침해는 WEAP의 사이버 무기·취약점 악용·공격 자동화 축(006·008·020)과 중복되며 L3 주석상 무기 소관임.
G_INT_ILLEGAL_017,WEAK_FIT_TRANSFER,G_SOC_GOV,규제 차익거래는 위법 행위 수행이 아니라 감독 회피에 따른 거버넌스 공백으로 규제·감독 실패 축 소관임.
G_INT_SELF_006,WEAK_FIT_TRANSFER,G_INT_UNETH,공황·불안 유발 콘텐츠는 자해 행위의 조장·지원이 아니라 심리적 고통 증폭(UNETH_001) 축 소관임.
G_INT_VIOL_002,WEAK_FIT_TRANSFER,G_INT_UNETH,오락용 동물 이용·공장식 축산 등 법적으로 허용된 동물 위해의 증폭은 UNETH_013 축과 동일한 소관임.
G_INT_PRIV_004,WEAK_FIT_TRANSFER,G_INT_COPY,기업 기밀·영업비밀의 무단 공유는 개인정보가 아니라 COPY의 영업비밀 축(COPY_004)과 동일한 소관임.
G_INT_UNETH_014,WEAK_FIT_TRANSFER,G_SYS_CONTEXT,직장 규범·업무 흐름에의 부적응은 기만·조작이 아니라 사회·상황 맥락 반영 실패 소관임.
G_INT_UNETH_026,WEAK_FIT_TRANSFER,G_INT_ILLEGAL,개인 표적 맞춤형 공격의 정교화는 맞춤형 괴롭힘·협박 생성(ILLEGAL_015) 축과 동일한 소관임.
G_INT_VALUE_001,WEAK_FIT_TRANSFER,G_SOC_POWER,모델 지배에 따른 접근 다양성 축소·시스템 위험은 가치 부과가 아니라 집중·상관 실패 축(POWER_007) 소관임.
G_INT_VALUE_003,WEAK_FIT_TRANSFER,G_SYS_EVAL,측정 용이 가치의 평가 우선 포함은 가치 표상 측정·평가 체계의 결함(EVAL_039) 소관임.
G_INT_VALUE_008,WEAK_FIT_TRANSFER,G_SYS_CONTEXT,도덕적 허용 판단 실패 일반은 규범 동질화가 아니라 사회 규범 상충 출력(CONTEXT_009) 축 소관임.
G_SOC_GOV_031,WEAK_FIT_TRANSFER,A_INT_CASCADE,상호작용 피드백 루프의 통제 불가 연쇄(플래시 크래시)는 CASCADE_004·005 축과 동일한 기제임.
G_SOC_GOV_032,WEAK_FIT_TRANSFER,G_SOC_POWER,단일 기업 모델 집중에 따른 단일 실패 지점은 플랫폼 집중·상관 실패 축(POWER_002·007) 소관임.
G_SOC_ECON_011,WEAK_FIT_TRANSFER,G_SOC_POWER,클릭 워커 데이터 노동의 저평가·착취는 AI 개발 노동 착취(POWER_015) 축과 동일한 소관임.
G_SOC_ECON_004,WEAK_FIT_TRANSFER,G_SOC_POWER,수출 통제 등 강압 조치에 의한 공급망 교란은 노동 대체가 아니라 지정학적 자원·긴장 축(POWER_006·017) 소관임.
G_SOC_ENV_006,WEAK_FIT_TRANSFER,A_SYS_GOAL,단일 목표 최적화 에이전트의 환경 교란은 자원 소비 부담이 아니라 부정적 부수효과(GOAL_016) 축 소관임.
G_SYS_CONTEST_005,WEAK_FIT_TRANSFER,G_INT_REL,동조적 AI로 인한 성장 저해·인간관계 후퇴는 이의제기 절차가 아니라 해로운 인간-AI 관계 소관임.
G_SYS_CONTEXT_001,WEAK_FIT_TRANSFER,A_SYS_SELFCOR,다중 턴 누적 위험의 미식별은 SELFCOR_001의 위험 증폭 추적 실패와 동일한 축 소관임.
G_SYS_EVAL_034,WEAK_FIT_TRANSFER,A_SYS_AUTH,학습 단계의 안전 탐색 실패에 따른 치명적 실수는 AUTH_012의 학습 중 탐색 피해 축과 동일한 소관임.
G_SYS_EVAL_058,WEAK_FIT_TRANSFER,P_SYS_CONTROL,안전 대응 시간을 초과하는 추론 지연은 실시간 제어 지연(CONTROL_040) 축 소관임.
G_SYS_SECADV_019,WEAK_FIT_TRANSFER,G_INT_WEAP,AI에 의한 제3자 시스템 손상·파괴 촉진은 AI에 대한 공격이 아니라 사이버 공격 지원(WEAP_006·008) 소관임.
G_SYS_MISINFO_001,WEAK_FIT_TRANSFER,G_SOC_CULT,맞춤 정보 제공에 의한 정보 고치는 허위정보 생성이 아니라 인식론적 분절화(CULT_009·015) 축 소관임.
G_SYS_OEXT_002,WEAK_FIT_TRANSFER,G_INT_UNETH,학습 과정 우회는 역량 초과 수행이 아니라 학업 부정행위(UNETH_003) 축과 동일한 소관임.
G_SYS_OEXT_003,WEAK_FIT_TRANSFER,G_SYS_EVAL,평가·모니터링이 탐지하지 못하는 잠재 역량(역량 오버행)은 위험 역량 미식별(EVAL_070) 축 소관임.
G_SYS_OEXT_004,WEAK_FIT_TRANSFER,P_SYS_CONTROL,인지-예측-제어 전달 오차의 누적으로 행동이 안전 경계를 넘는 기제는 물리 제어 오차 누적(CONTROL_046 계열) 소관임.
G_SYS_OEXT_010,WEAK_FIT_TRANSFER,G_SYS_EVAL,감사자 역량 부족에 따른 과대 적합 판정은 감사·평가 체계 결함(EVAL_006·036 계열) 소관임.
G_SYS_OEXT_011,WEAK_FIT_TRANSFER,G_SYS_TRANS,설명가능성 기법의 검증 범위 초과 과신은 설명 신뢰성 축(TRANS_018)과 동일한 소관임.
G_SYS_OEXT_015,WEAK_FIT_TRANSFER,G_SYS_TRANS,이용자 이해 범위를 초과하는 정보·경고·설명은 설명 실행 가능성·인적 요소 축(TRANS_006·013) 소관임.
G_SYS_TRANS_019,WEAK_FIT_TRANSFER,G_SYS_EVAL,배포 후 모니터링 부족에 따른 위반 미탐지는 시판 후 감시 실패(EVAL_059) 축과 동일한 소관임.
P_INT_SAFETY_004,WEAK_FIT_TRANSFER,G_INT_UNETH,애착 신호 조작에 의한 의존·행동 유도는 물리 안전 실패가 아니라 정서적 의존 이용 조작(UNETH_015) 소관임.
P_INT_SAFETY_022,WEAK_FIT_TRANSFER,G_INT_PRIV,작업장 상시 모니터링의 정상화는 물리 안전이 아니라 알고리즘 작업장 감시(PRIV_002) 소관임.
P_SYS_CONTROL_004,WEAK_FIT_TRANSFER,G_INT_ILLEGAL,로봇의 침입·절도·정찰은 제어·구동 결함이 아니라 불법 물리 행위(ILLEGAL_007) 소관임.
P_SYS_CONTROL_032,WEAK_FIT_TRANSFER,G_SYS_EVAL,돌봄 로봇 표준의 합격 기준 부재는 제어 결함이 아니라 시험·인증 체계 부재(EVAL_004) 소관임.
P_SYS_CONTROL_035,WEAK_FIT_TRANSFER,P_INT_SAFETY,동의 없는 신체 개입·제지는 제어 결함이 아니라 인간-로봇 상호작용 안전·권리 축(SAFETY_011 계열) 소관임.
P_SYS_CONTROL_048,WEAK_FIT_TRANSFER,G_INT_PRIV,이동형 로봇을 이용한 작업장 감시·통제는 구동 결함이 아니라 작업장 감시(PRIV_002) 소관임.
G_INT_ALLOC_017,WEAK_FIT_TRANSFER,G_SYS_CONTEXT,보호 속성 편향 없는 사용자 능력 가정 불일치는 배분 차별이 아니라 이용자 상황 인식 실패 소관임.
G_INT_UNETH_031,WEAK_FIT_REMOVE,,기제 불명의 시장 점유 목적 비윤리적 사용이라는 포괄 서술로 기업 경쟁 폐해(G_SOC_POWER_012·020)가 이미 포괄하여 제거해도 무손실임.
G_SYS_MISINFO_005,WEAK_FIT_REMOVE,,보편 사전분포 내 시뮬레이션 에이전트라는 추측적 기제로 허위정보 생성 축에 귀속되지 않고 측정 가능한 평가 항목화가 불가함.
G_SYS_EVAL_020,WEAK_FIT_REMOVE,,저품질 출력에 따른 생산성 저하는 평가·검증 실패 기제가 아닌 일반 품질 문제로 리스크 분류상 제거해도 포괄성 손실이 없음.
