avg_severity,목적지일치,L4_ID,Title_ko,current_L3,proposed_A,proposed_B,conf_A,conf_B,rationale_A,rationale_B
3.0,NO,P_SYS_CONTROL_055,배포 조건 간 휴머노이드 행동 불안정,P_SYS_CONTROL,G_SYS_EVAL,G_SYS_INCONS,MED,HIGH,"시드·시뮬레이터·하드웨어·배포 환경이 바뀌면 행동이 크게 달라진다는 것은 G_SYS_EVAL 정의의 ""결과의 비신뢰성·재현 불가""에 정확히 해당하는 평가·검증 실패 유형이다.",동일 정책이 난수 시드·시뮬레이터·하드웨어·배포환경에 따라 행동이 크게 달라진다는 것은 제어 결함이라기보다 동일·유사 조건에서 출력 변동성으로 상이한 결과가 나타나는 비일관성(G_SYS_INCONS)의 전형적 사례이다.
2.5,YES,P_SYS_CONTROL_047,휴머노이드 조작 데이터셋에서의 오픈 월드 조건 과소대표,P_SYS_CONTROL,G_SYS_PERF,G_SYS_PERF,MED,MED,휴머노이드 조작 데이터셋의 오픈월드 조건 과소대표로 정책이 낯선 조건에 일반화되지 못한다는 서술은 학습·검증 결함으로 인한 일반화 실패라는 G_SYS_PERF의 핵심 정의와 직접 일치한다.,"데이터셋이 오픈월드 배포조건을 충분히 대표하지 못해 정책이 낯선 조건에 일반화되지 않는 것은 학습 데이터의 대표성 결함에 따른 일반화 실패로, G_SYS_PERF의 핵심 정의에 해당하며 제어·구동 메커니즘 자체의 결함이 아니다."
,A단독,P_INT_SAFETY_023,보조 로봇의 비동의 신체 개입,P_INT_SAFETY,G_INT_PRIV,,MED,,유효한 동의 없이 신체를 이동·제지·감시하는 행위의 핵심 피해는 신체적 상해가 아니라 신체적 자율성·정보자기결정권 침해이므로 개인정보 침해(넓은 의미의 프라이버시·자율성) 범주가 더 적절하다.,
,A단독,P_SYS_STATE_005,분포 이탈 입력에서의 월드 모델 오출력 악용,P_SYS_STATE,G_SYS_SECADV,,MED,,"""시뮬레이션-실제 격차가 악용된다(weaponised)""는 표현은 공격자가 롱테일 안전 임계 상태를 적대적으로 이용하는 것을 시사하므로 적대적 견고성 실패 범주와 상당 부분 중첩된다.",
,B단독,P_INT_SAFETY_015,시뮬레이션-실세계 전이 과정의 인간-로봇 안전 실패,P_INT_SAFETY,,G_SYS_EVAL,,MED,,"'시뮬레이션에서 훈련·검증된 뒤 잘못된 안전 확신 아래 배포'라는 문구는 검증 방법론의 타당성 결여를 측정하는 것으로, 인간-로봇 물리 안전 실패보다 평가·검증 실패(G_SYS_EVAL)의 사례에 더 가깝다."
,B단독,P_INT_SAFETY_017,시각 장면의 안전 판단 오류,P_INT_SAFETY,,P_SYS_CONTROL,,MED,,"장면을 올바르게 관찰했음에도 제안된 행동의 물리적 결과·어포던스를 잘못 추론하는 것은 P_SYS_CONTROL_051(잘못된 상황 해석에 따른 위험한 물리 구동)과 사실상 동일한 측정 대상이며, 사람 근접 안전 규칙 준수 여부와는 별개이다."
,B단독,P_INT_SAFETY_018,시연 학습의 안전 맥락 누락,P_INT_SAFETY,,P_SYS_CONTROL,,MED,,시연에서 관찰되지 않은 힘·대상물·상황 제약을 추론하지 못하는 모방학습 실패는 P_SYS_CONTROL_025(의도·어포던스 오해에 따른 휴머노이드 모방 제어 실패)와 동일 축의 제어·구동 문제이다.
,B단독,P_SYS_CONTROL_013,물리적 운용 환경의 분포 이동,P_SYS_CONTROL,,G_SYS_PERF,,MED,,"운용 환경이 정책의 탐지·적응 속도보다 빠르게 변화해 부정확해지는 것은 물리 제어 메커니즘의 결함이 아니라 운용 조건 변화에 따른 일반화·안정성 저하이며, G_SYS_PERF 정의('운용 조건의 변화로 인해 요구되는 정확성·일반화·안정성 달성 못함')와 직접 일치한다."
,B단독,P_SYS_CONTROL_030,부상 심각도 오분류,P_SYS_CONTROL,,G_SYS_OVERCONF,,MED,,부상 심각도를 과소평가하여 상향보고·경고·제어 대응이 불충분해지는 것은 제어·구동 메커니즘 자체의 결함이 아니라 불확실성에도 불구한 부당한 확신으로 에스컬레이션 없이 진행하는 과도한 확신(G_SYS_OVERCONF) 패턴에 해당한다.
,B단독,P_SYS_CONTROL_046,가정 조작의 단계별 오차 미수정,P_SYS_CONTROL,,A_SYS_SELFCOR,,HIGH,,작업 단계 사이의 작은 조작 오차를 감지·수정하지 못해 오류가 누적된다는 서술은 A_SYS_SELFCOR 정의('실행 중 발생한 오류를 감지하지 못하거나 감지해도 수정하지 못해 잘못된 행동이 누적')와 표현·구조가 거의 동일하다.
,B단독,P_SYS_STATE_010,적대적 학습의 강건 과적합,P_SYS_STATE,,G_SYS_PERF,,MED,,"적대적 훈련이 특정 센서 교란·시뮬레이션 조건에 과적합되어 새로운 물리적 교란에서 성능이 저하되는 것은 상태 추정·센서 융합 자체의 실패라기보다 학습 방법의 일반화 실패이며, G_SYS_PERF와 더 정합적이다."
