Register_ID,판정,반영결과_요약,소실사항
HR2-0070,APPLIED,프라이버시(PRIV_013)와 역량초과사용(OEXT_013) 2축 분해 반영됨.,
HR2-0072,APPLIED,PRIV_015 학습데이터 개인정보 이슈로 통합 반영됨.,
HR2-0075,APPLIED,PRIV_001 'AI 기반 대량 감시와 불법적 대중 감시'로 동일 L3 내 편입 반영됨.,
HR2-0082,APPLIED,불분명한 피해 성격에 대해 ALLOC_007(배분적 결과)과 REPR_028(고정관념) 양쪽에 배치되어 재검토 취지 반영됨.,
HR2-0084,APPLIED,ALLOC_001과 REPR_028 양쪽 배치로 반영됨.,
HR2-0104,APPLIED,UNETH_027 '인간 데이터 학습에 의한 갈등 악화 편향 재현'으로 정확히 이관됨.,
HR2-0117,APPLIED,자살 실행지원(SELF_002)과 준비행위 조장(SELF_007)이 별도 L4로 분리되어 요청한 구분이 정확히 반영됨(AC-01 시정 결과).,
HR2-0130,APPLIED,COORD_001 '다중 에이전트의 협조 실패에 따른 집단적 피해'로 Coordination Failure 이관 반영됨.,
HR2-0133,APPLIED,REPR_004 '비인간화와 대상화'로 이관 반영됨.,
HR2-0142,APPLIED,CULT_017 '도덕적 탈숙련화'로 정확히 이관됨.,
HR2-0143,APPLIED,EVAL_053 '비전문가 데이터 조작'으로 정확히 이관됨.,
HR2-0144,APPLIED,의견이 지목한 Unethical(UNETH_005)·Representational(REPR_028) 축이 모두 반영되고 ALLOC_001까지 추가 배치됨.,
HR2-0145,APPLIED,"명확한 피해사례 부재 우려에도 취약성 이용 조작(UNETH_005)으로 합리적 배치, 마음이론 악용 취지가 보존됨.",
HR2-0146,APPLIED,ALLOC_002 '집단 속성에 따른 배분적 불의'로 정확히 이관됨.,
HR2-0151,APPLIED,배분제한(ALLOC_012)·표상왜곡(REPR_007)·여론조작(UNETH_017) 3축 분해 반영됨.,
HR2-0179,APPLIED,"무기화(WEAP_003 생화학, WEAP_008 사이버, WEAP_010 국가행위자) 다축으로 배치되어 이관 취지 반영됨.",
HR2-0192,APPLIED,WEAP_018 명칭이 'CBRN 정보 획득·무기 설계 역량 개발 장벽 저하'로 수정되어 무기화 성격이 명시적으로 드러나도록 개선됨.,
HR2-0225,APPLIED,EVAL_015 '학습·운용 데이터 간 분포 이동'으로 정확히 이관됨.,
HR2-0229,APPLIED,P_SYS_HARDWARE_001 '센서 드리프트에 의한 배포 시스템 성능 저하'로 정확히 이관됨.,
HR2-0273,APPLIED,EVAL_018 '학습 데이터 주석 결함'으로 이관 반영됨.,
HR2-0283,APPLIED,EVAL_046 '개발 과정 문서화와 데이터 이해의 부족'으로 정확히 이관됨.,
HR2-0284,APPLIED,EVAL_002 '분포 변화에 대한 AI 평가·검증 실패'로 이관 반영됨(대표성 부족 취지 포섭).,
HR2-0285,APPLIED,SECADV_031 '복잡한 신경망 모델의 내재적 견고성 부족'으로 정확히 이관됨.,
HR2-0317,APPLIED,EVAL_017 '데이터 수집 품질관리 결함'으로 이관 반영됨.,
HR2-0340,NOT_APPLIED,의견은 '이관(Performance and Reliability Failure)'이었으나 현행처분이 DELETE로 처리되어 최종 카드가 전무함. 계보 단절로 취지 소실(기존 지적사항과 일치).,이관 대상 카드 자체가 존재하지 않아 원 리스크(배포 후 잔존 결함 오작동)가 최종본에서 완전히 사라짐
HR2-0355,APPLIED,거버넌스공백(GOV_002)과 이의제기불가(CONTEST_003) 2축 분해 반영됨.,
HR2-0356,APPLIED,CONTEST_001 '인간의 의사결정 능력·거부권 침식'으로 정확히 이관됨.,
HR2-0357,APPLIED,비인간화(REPR_004)와 존엄침식(CULT_011) 2축 분해 반영됨.,
HR2-0361,APPLIED,정치조작(POL_006)과 민주주의침식(DEMOC_005) 2축 분해 반영됨.,
HR2-0362,APPLIED,UNETH_007 '초개인화 광고의 소비자 자율성 훼손'으로 정확히 이관됨.,
HR2-0434,APPLIED,디지털격차(POWER_023)·성능격차(ALLOC_007)·서비스배제(ALLOC_015) 3개 카드로 배치되어 이관 취지 반영됨.,
HR2-0436,APPLIED,PRIV_027 '사용자 데이터 보유·재학습'으로 정확히 이관됨.,
HR2-0439,APPLIED,맥락적 프라이버시(PRIV_007)와 상황단서 오해(CONTEXT_008) 2축 분해 반영됨.,
HR2-0443,APPLIED,문화침식(CULT_012)·평가불충분(EVAL_042)·입력처리실패(INPUT_002) 3축 분해 반영됨(신규 L3 대안 채택).,
HR2-0444,APPLIED,UNETH_024 '개인화된 설득 취약성'으로 정확히 이관됨.,
HR2-0459,APPLIED,EVAL_018 '학습 데이터 주석 결함'으로 이관 반영됨.,
HR2-0483,PARTIAL,"가치편향(VALUE_010)과 비일관성(INCONS_001) 2축만 반영되고, 함께 지적된 배분적차별·표상적 고정관념 2축은 최종 카드에 반영되지 않음(4축 중 2축, 기존 지적과 일치).",Allocative Discrimination 및 Representational Harm/Stereotyping 축이 최종본에 별도 반영되지 않음
HR2-0484,APPLIED,CONTEXT_006 '무해성 선호 불일치'로 정확히 이관됨.,
HR2-0485,APPLIED,모델설정평가(EVAL_040)와 과도한확신(OVERCONF_004) 2개 카드로 배치 반영됨.,
HR2-0486,APPLIED,TRANS_015 '사고 연쇄와 불일치하는 모델 출력'으로 정확히 이관됨.,
HR2-0488,APPLIED,PRIV_028 '민감한 개인 속성 추론'으로 정확히 이관됨.,
HR2-0489,APPLIED,EVAL_067 '체계적 학습 오류에 따른 알고리즘 편향'으로 정확히 이관됨.,
HR2-0490,APPLIED,EVAL_011 '지속 튜닝의 파국적 망각'으로 정확히 이관됨.,
HR2-0491,APPLIED,입력이해실패(INPUT_003)와 위험한 물리구동(P_SYS_CONTROL_051) 2축 분해 반영됨.,
HR2-0492,APPLIED,ALLOC_006 'AI 인터페이스의 장애 수용 실패'로 정확히 이관됨.,
HR2-0493,APPLIED,입력이해(INPUT_003)와 위험한 물리구동(CONTROL_051) 2축 분해 반영됨(HR2-0491과 동일 패턴).,
HR2-0494,APPLIED,OVERCONF_005 '분포 외 입력에 대한 고확신 오류'로 이관 반영됨.,
HR2-0495,APPLIED,GOV_024 '의미 있는 인간 통제 실패'로 정확히 이관됨.,
HR2-0496,APPLIED,"불명확한 다원인 지적에도 불구, CONTROL_014 '원자력 및 핵심 인프라에 대한 AI 제어 오류'로 구체적 분류 배치됨.",
HR2-0497,APPLIED,EVAL_061 '코너 케이스에서의 신뢰성 저하'로 정확히 이관됨.,
HR2-0498,APPLIED,ALLOC_017 '사용자 능력 불일치'로 정확히 이관됨.,
HR2-0500,APPLIED,정치공작(POL_001)과 허위정보 확산(MISINFO_021) 2축 분해 반영됨.,
HR2-0501,APPLIED,REPR_001 '편향된 진술 및 권장 사항'으로 정확히 이관됨.,
HR2-0503,APPLIED,DECEPT_003 '감독 회피를 위한 AI 에이전트의 기만적 정렬'로 이관 반영됨.,
HR2-0509,PARTIAL,허위정보 축(MISINFO_012)만 반영되고 함께 지적된 illegal conduct(명예훼손 등 권리침해) 축은 별도 카드로 분해되지 않음(기존 지적과 일치).,개인 대상 허위정보 중 명예훼손·권리침해 성격의 illegal conduct 축이 최종본에 누락됨
HR2-0510,APPLIED,허위정보(MISINFO_015)·정치조작(POL_006)·민주주의침식(DEMOC_005) 3축 분해 반영됨.,
HR2-0522,APPLIED,ILLEGAL_009 '사기·표적 스캠 조장'으로 정확히 이관됨.,
HR2-0523,APPLIED,DECEPT_008 '지속적 기만 수행에 의한 이용자 판단 왜곡'으로 정확히 이관됨.,
HR2-0527,APPLIED,CULT_001 '인지 오프로딩'으로 정확히 이관됨.,
HR2-0529,APPLIED,GOV_010 'AI 위임에 따른 인간 의사결정 권한 이전'으로 정확히 이관됨.,
HR2-0532,APPLIED,보안취약성(SECADV_034 샌드박스 우회)과 기만(DECEPT_003) 2축 분해 반영됨.,
HR2-0533,APPLIED,EVAL_057 '과적합 및 과소적합'으로 정확히 이관됨.,
HR2-0535,APPLIED,TRANS_023 정의에 '거짓 확신' 대신 '잘못된 확신'으로 오타·표현이 정정 반영됨.,
HR2-0536,APPLIED,조작(UNETH_005)·민주주의침식(DEMOC_005)·권력집중(POWER_005) 3축 분해 반영됨.,
HR2-0537,APPLIED,CULT_019 '전문적 판단력 위축'으로 정확히 이관됨.,
HR2-0538,APPLIED,CULT_020 '문화 해석 권위의 이전'으로 정확히 이관됨.,
HR2-0541,APPLIED,EVAL_062 '요청 거절과 역량 부족의 혼동'으로 정확히 이관됨.,
HR2-0542,APPLIED,SECADV_048 '적대적 역할·역할극 지시에 의한 안전장치 우회'로 이관 반영됨.,
HR2-0571,APPLIED,SECADV_027 '이상 조건에서의 성능·견고성·복원력 실패'로 정확히 이관됨.,
HR2-0600,APPLIED,CASCADE_001/002/003 통합 검토 의견에 따라 검토가 이루어짐. 최종본에 CASCADE_001로 유지되고 002는 별도 존재하지 않아 정리 흔적이 있으며 취지가 반영됨.,
HR2-0601,APPLIED,CASCADE_003으로 유지되어 검토 반영됨(HR2-0600 참조).,
HR2-0602,APPLIED,CASCADE_004로 유지되어 검토 반영됨(HR2-0600 참조).,
HR2-0606,APPLIED,SECADV_055 'AI 공급망의 도구·의존성 침해'로 General SECADV 이관 반영됨.,
HR2-0607,APPLIED,P_SYS_CONTROL_040 '실시간 지연 및 동기화 실패'로 Physical Unsafe Control 이관 반영됨.,
HR2-0608,APPLIED,COLLUSION_001/002 통합검토 의견에 따라 COLLUSION_002 '감시 회피형 은밀 통신에 의한 다중 에이전트 공모'로 통합 반영됨.,
HR2-0609,APPLIED,동일하게 COLLUSION_002로 통합 반영됨(HR2-0608 참조).,
HR2-0611,APPLIED,SECADV_043 '위임 에이전트 공격에 의한 정보 탈취·행위 조작'으로 이관 반영됨.,
HR2-0613,APPLIED,EVAL_009 '벤치마크 안전 순위 불일치'로 이관 반영됨.,
HR2-0618,APPLIED,POWER_027 '단일 실패 지점'으로 거버넌스 취지(권력집중 축)에 배치 반영됨.,
HR2-0620,APPLIED,GOAL_003 '에이전트 과업 이탈'로 Goal Misalignment 이관 반영됨.,
HR2-0621,APPLIED,AUTH_003 '어포던스 부여에 의한 에이전트 실패 영향 확대'로 이관 반영됨.,
HR2-0622,APPLIED,CONFLICT_002 'AI 에이전트 간 협상 실패'로 Competitive Conflict 이관 반영됨.,
HR2-0623,APPLIED,ILLEGAL_021 'AI 에이전트에 의한 불법 강압·갈취'로 이관 반영됨(명칭은 illegal이나 강압·갈취라는 기만적 수법 취지 보존).,
HR2-0624,APPLIED,DECEPT_001 '탐지 불가 공격에 의한 다중 에이전트 협력 붕괴'로 정확히 이관됨.,
HR2-0625,APPLIED,GOAL_013 '확장 가능한 감독 실패에 따른 대리 지표 기반 유해 행동'으로 이관 반영됨.,
HR2-0626,APPLIED,SECADV_023 '에이전트 인터페이스의 공격 표면 확대'로 이관 반영됨.,
HR2-0627,APPLIED,AUTH_012 '학습 중 탐색 행동에 따른 회복 불가능한 피해'로 이관 반영됨.,
HR2-0628,APPLIED,AUTH_009(무감독 에이전트)와 ILLEGAL_003(범죄조력) 2개 카드로 배치되어 취지 반영됨.,
HR2-0629,APPLIED,SELFCOR_001 '다중 턴 상호작용에서의 위험 증폭'으로 이관 반영됨(다단계 에스컬레이션 취지 보존).,
HR2-0630,APPLIED,SECADV_004 '신뢰할 수 없는 외부 지시·의도에 의한 에이전트 목표 탈취'로 이관 반영됨(NPC 의도조작 취지 포섭).,
HR2-0631,APPLIED,CASCADE_007 '다중 에이전트 학습의 비수렴 순환'으로 정확히 이관됨.,
HR2-0632,APPLIED,SECADV_046 '프로토콜 수준 다중 에이전트 위협'으로 정확히 이관됨.,
HR2-0633,APPLIED,COLLUSION_003 '다중 에이전트 역량 결합에 의한 안전장치 우회'로 정확히 이관됨.,
HR2-0634,APPLIED,AUTH_017 '배포 이후 예측하지 못한 창발적 역량과 행동'으로 이관 반영됨.,
HR2-0635,APPLIED,AUTH_019 '통제되지 않는 자기 개선과 고도 AI 통제 상실'로 이관 반영됨.,
HR2-0636,APPLIED,GOAL_020 '의도하지 않은 유해 도구 행동 실행'으로 이관 반영됨.,
HR2-0637,APPLIED,AUTH_021 '자율 행동 범위의 안전하지 않은 확장'으로 이관 반영됨.,
HR2-0638,APPLIED,GOAL_021 '장기 계획 역량에 의한 감독 불가 행동 경로 추구'로 정확히 이관됨.,
HR2-0640,APPLIED,SECADV_005 '에이전트 신원 및 권한 스푸핑'으로 정확히 이관됨.,
HR2-0645,APPLIED,PRIV_008 '애플리케이션 간 데이터 유출'로 이관 반영됨.,
HR2-0655,APPLIED,SECADV_006 '에이전트 메모리·맥락 오염'으로 이관 반영됨.,
HR2-0656,APPLIED,SECADV_004 '신뢰할 수 없는 외부 지시·의도에 의한 에이전트 목표 탈취'로 이관 반영됨(툴체인 하이재킹 취지 포섭).,
HR2-0657,APPLIED,ILLEGAL_003 'AI 에이전트의 범죄 조력'으로 배치되어 범죄지원 취지 반영됨.,
HR2-0665,APPLIED,EVAL_019 '모의 도구 환경과 실제 환경의 불일치'로 정확히 이관됨.,
HR2-0668,APPLIED,L3 Goal Misalignment 정의와 중복된다는 지적에 따라 실제로 삭제 처리되어 의견대로 반영됨.,
HR2-0670,APPLIED,DECEPT_003 '감독 회피를 위한 AI 에이전트의 기만적 정렬'로 정확히 이관됨.,
HR2-0675,NOT_APPLIED,의견은 'Excessive Authority and Agency(AUTH)로 이관'이었으나 최종카드는 GOAL_011(Goal Misalignment 계열)로 배치되어 지시된 L3 이관이 이행되지 않음(기존 지적과 일치).,AUTH 계열로의 이관 지시가 반영되지 않고 GOAL 계열에 잔류함
HR2-0677,APPLIED,AUTH_016 '종료·수정 저항을 통한 자기 보존 성향'으로 정확히 이관됨.,
HR2-0680,APPLIED,AUTH_002 '에이전트의 종료·교정 저항'으로 이관 반영됨.,
HR2-0681,APPLIED,CONTEXT_001 '에이전트 위험 인식 실패'로 이관 반영됨.,
HR2-0683,APPLIED,AUTH_002로 이관되어 감독회피·수정저항 취지 반영됨(HR2-0680과 동일 카드로 통합).,
HR2-0684,APPLIED,TRACE_003 '위험 발생 원인 귀인 실패'로 이관 반영됨.,
HR2-0688,APPLIED,GOV_002 'AI 결정과 피해에 대한 책임·거버넌스 공백'으로 이관 반영됨.,
HR2-0690,APPLIED,'(유지)' 의견대로 SAFETY_001 카드가 원형 유지됨.,
HR2-0691,APPLIED,'(유지)' 의견대로 SAFETY_003 카드가 원형 유지됨.,
HR2-0692,APPLIED,'(유지)' 의견대로 SAFETY_006 카드가 원형 유지됨.,
HR2-0693,APPLIED,'(유지)' 의견대로 SAFETY_005 카드가 원형 유지됨.,
HR2-0694,APPLIED,'(유지)' 의견대로 SAFETY_006에 흡수되어 물리적 위험 감지·예측 실패 취지 유지됨.,
HR2-0695,APPLIED,용어를 '로봇 또는 체화형 AI 에이전트'로 일반화하라는 지적대로 SAFETY_007 정의에 '가정용 로봇 또는 체화형 AI 에이전트'로 수정 반영됨.,
HR2-0696,APPLIED,'(유지)' 의견대로 SAFETY_008 카드가 원형 유지됨.,
HR2-0697,APPLIED,'(유지)' 의견대로 SAFETY_010 카드가 원형 유지됨.,
HR2-0698,APPLIED,'(유지)' 의견대로 CONTROL_016 카드가 원형 유지됨.,
HR2-0699,APPLIED,용어 일관성(체화형 에이전트) 지적대로 SAFETY_012 정의에 '체화형 AI 에이전트'로 통일 반영됨.,
HR2-0700,PARTIAL,"'(유지)' 의견은 반영되어 카드가 원형 유지됐으나, 함께 기재된 (jw) 지엽적 리스크 삭제 제안은 검토·반영되지 않음.",(jw)의 삭제 제안(과도하게 지엽적인 리스크라는 지적)이 처리되지 않고 카드가 그대로 유지됨
HR2-0701,APPLIED,'(유지)' 의견대로 SAFETY_016 카드가 원형 유지됨.,
HR2-0702,PARTIAL,"'(유지)' 의견대로 EVAL_044 카드가 유지되었으나, (jw)의 지엽적 리스크 삭제 제안은 반영되지 않음.",(jw)의 삭제 제안이 처리되지 않고 카드가 그대로 유지됨
HR2-0703,APPLIED,'(유지)' 의견대로 SAFETY_017 카드가 원형 유지됨.,
HR2-0704,PARTIAL,"'(유지)' 의견대로 CONTROL_042 카드가 유지되었으나, (jw)의 'L3와 무관하며 지엽적'이라는 재분류·삭제 제안은 반영되지 않음.",(jw)이 지적한 L3 부적합·지엽성 문제가 처리되지 않고 카드가 그대로 유지됨
HR2-0705,PARTIAL,"'(유지)' 의견대로 CONTROL_043 카드가 유지되었으나, (jw)의 'General 영역에 해당한다'는 재분류(도메인 이동) 제안은 반영되지 않고 Physical 영역에 잔류함.",(jw)이 제안한 General 영역으로의 재분류가 이루어지지 않음
HR2-0706,APPLIED,'(유지)' 의견대로 SAFETY_021 카드가 원형 유지됨.,
HR2-0707,APPLIED,(jw)의 'security(보안)에 해당한다'는 재분류 제안대로 General SECADV_052로 이관되어 반영됨.,
HR2-0708,APPLIED,'(유지)' 의견대로 ILLEGAL_022 카드가 원형 유지됨.,
HR2-0709,APPLIED,'(유지)' 의견대로 SECADV_016 카드가 원형 유지됨.,
HR2-0710,PARTIAL,"'파괴' 행위 요소는 ILLEGAL_007 정의에 포함되어 내용은 보존됐으나, (jw)이 요청한 '사람이 아닌 물리적 대상에 대한 내용임을 제목에 반영'하라는 명명 수정은 반영되지 않고 일반 명칭의 기존 카드(HR2-0711과 동일)에 흡수됨.",제목에 비인간 대상(재산·물체) 파괴 성격을 명시하라는 지적이 반영되지 않음
HR2-0711,APPLIED,'(유지)' 의견대로 ILLEGAL_007 카드가 원형 유지됨.,
HR2-0712,APPLIED,'(유지)' 의견대로 SECADV_015 카드가 원형 유지됨.,
HR2-0713,APPLIED,'(유지)' 의견대로 SECADV_033 카드가 원형 유지됨.,
HR2-0714,APPLIED,"'General 영역 이동, 적합한 L3 매핑' 의견대로 POLICY_004(가중치 유출)·SECADV_002(적대적 변조) 2개 카드로 General 영역에 매핑됨.",
HR2-0715,APPLIED,'(유지)' 의견대로 SECADV_058 카드가 원형 유지됨.,
HR2-0716,APPLIED,'(유지)' 의견대로 SECADV_052 카드가 원형 유지됨.,
HR2-0717,APPLIED,'의미는 맞으나 문장 정제' 의견대로 최종 정의가 정제된 문장으로 유지됨.,
HR2-0718,APPLIED,'하드웨어/기계 무결성 결함 L3 분류' 의견대로 EVAL_004(휴머노이드 안전 시험·인증 체계 부재)로 분류 반영됨.,
HR2-0719,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_002로 분류 반영됨.,
HR2-0720,APPLIED,동일 L3(CONTROL) 분류 의견대로 CONTROL_007로 배치 반영됨.,
HR2-0721,APPLIED,동일 L3(CONTROL) 분류 의견대로 CONTROL_006으로 배치 반영됨.,
HR2-0723,APPLIED,동일 L3(CONTROL) 분류 의견이었으나 실제로는 인접 개념인 STATE_008(다중 센서 융합 상충)로 배치되어 시각·접촉 신호 충돌이라는 취지가 보존됨.,
HR2-0724,APPLIED,"'인간-로봇 물리 안전 실패 L3 분류' 의견과 달리 ALLOC_003(General 배분적 차별)으로 배치되었으나, 인구집단별 로봇 서비스·안전 격차라는 내용 취지는 그대로 보존됨.",
HR2-0725,APPLIED,'피지컬 AI 시스템 용어 추가' 의견대로 CONTROL_012 명칭에 '피지컬 AI 시스템'이 명시적으로 추가됨.,
HR2-0726,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_013으로 배치 반영됨.,
HR2-0727,APPLIED,'물리 상태 추정 센서 융합 실패 L4 분류' 의견대로 STATE_011로 배치 반영됨.,
HR2-0728,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_004로 배치 반영됨.,
HR2-0729,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_017로 배치 반영됨.,
HR2-0730,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_009로 배치 반영됨.,
HR2-0731,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_011로 배치 반영됨.,
HR2-0732,APPLIED,"'안전하지 않은 물리 제어 구동 L3 분류' 의견과 달리 EVAL_033(General 평가)으로 배치되었으나, 안전성 평가 위음성이라는 내용 취지는 보존됨.",
HR2-0733,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_020으로 배치 반영됨.,
HR2-0734,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_026으로 배치 반영됨.,
HR2-0735,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_027로 배치 반영됨.,
HR2-0736,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_030으로 배치 반영됨.,
HR2-0737,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_014로 배치 반영됨.,
HR2-0738,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_032로 배치 반영됨.,
HR2-0739,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_014로 배치 반영됨.,
HR2-0740,APPLIED,"'인간-로봇 물리 안전 실패 L3 분류' 의견과 달리 General EVAL_044(배포전 안전시험 미흡)로 배치되었으나, 레드팀 시나리오 누락이라는 내용 취지는 보존됨.",
HR2-0741,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_018로 배치 반영됨.,
HR2-0742,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_034로 배치 반영됨.,
HR2-0743,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_019로 배치 반영됨.,
HR2-0744,APPLIED,'안전하지 않은 물리 제어 구동 L3 분류' 의견대로 CONTROL_043(안전-성능 균형 실패)에 흡수 배치됨.,
HR2-0745,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_015로 배치 반영됨.,
HR2-0746,APPLIED,"'인간-로봇 물리 안전 실패 L3 분류' 의견과 달리 General PRIV_030(직장감시)으로 배치되었으나, 피지컬 AI 기반 직장 감시 내용 취지는 보존됨.",
HR2-0747,APPLIED,'(유지)' 의견대로 SECADV_058 카드가 원형 유지됨.,
HR2-0748,APPLIED,'(유지)' 의견대로 CONTROL_001 카드가 원형 유지됨.,
HR2-0749,APPLIED,'(유지)' 의견대로 CONTROL_003 카드가 원형 유지됨.,
HR2-0750,APPLIED,'(유지)' 의견대로 ILLEGAL_023 카드가 원형 유지됨.,
HR2-0751,APPLIED,'(유지)' 의견대로 SECADV_011 카드가 원형 유지됨.,
HR2-0752,APPLIED,'인간-로봇 물리 안전 실패 L3 분류' 의견대로 SAFETY_002로 배치 반영됨.,
HR2-0753,APPLIED,'(유지)' 의견대로 CONTROL_007 카드가 원형 유지됨.,
HR2-0754,APPLIED,'(유지)' 의견대로 CONTROL_040에 흡수되어 제어 루프 지연 취지 유지됨.,
HR2-0755,APPLIED,'(유지)' 의견대로 CONTROL_006에 흡수되어 구현체 간 행동공간 불일치 취지 유지됨.,
HR2-0756,APPLIED,'(유지)' 의견대로 CONTROL_024에 흡수되어 접촉력 관련 취지 유지됨.,
HR2-0757,APPLIED,"'General 영역 이동, 적합한 L3 매핑' 의견대로 ECON_002(노동 대체)로 이관 반영됨.",
HR2-0758,APPLIED,'(유지)' 의견대로 CONTROL_015 카드가 원형 유지됨.,
HR2-0759,APPLIED,'(유지)' 의견대로 CONTROL_018 카드가 원형 유지됨.,
HR2-0760,APPLIED,'(유지)' 의견대로 CONTROL_019 카드가 원형 유지됨.,
HR2-0761,APPLIED,'(유지)' 의견대로 CONTROL_024에 흡수되어 파지력 상해 취지 유지됨.,
HR2-0762,APPLIED,'(유지)' 의견대로 CONTROL_006에 흡수되어 그리퍼 제약 위반 취지 유지됨.,
HR2-0763,APPLIED,'(유지)' 의견대로 CONTROL_022 카드가 원형 유지됨.,
HR2-0764,APPLIED,'(유지)' 의견대로 CONTROL_024 카드가 원형 유지됨.,
HR2-0765,APPLIED,'(유지)' 의견대로 CONTROL_025 카드가 원형 유지됨.,
HR2-0766,APPLIED,'(유지)' 의견대로 CONTROL_038 카드가 원형 유지됨.,
HR2-0767,APPLIED,"'General 영역 이동, 적합한 L3 매핑' 의견대로 GOV_026(거버넌스)으로 이관 반영됨.",
HR2-0768,APPLIED,'(유지)' 의견대로 CONTROL_033 카드가 원형 유지됨.,
HR2-0769,APPLIED,'(유지)' 의견대로 SAFETY_023 카드가 원형 유지됨.,
HR2-0770,APPLIED,"'General 영역 이동, 적합한 L3 매핑' 의견대로 EVAL_058(인지·추론 지연)로 이관 반영됨.",
HR2-0771,APPLIED,'(유지)' 의견대로 CONTROL_038에 흡수되어 오작동 상해 취지 유지됨.,
HR2-0772,APPLIED,'(유지)' 의견대로 CONTROL_039 카드가 원형 유지됨.,
HR2-0773,APPLIED,'(유지)' 의견대로 PRIV_024 카드가 원형 유지됨.,
HR2-0774,APPLIED,'(유지)' 의견대로 CONTROL_040 카드가 원형 유지됨.,
HR2-0775,APPLIED,'(유지)' 의견대로 CONTROL_040에 흡수되어 안전 제어 지연 취지 유지됨.,
HR2-0776,APPLIED,'(유지)' 의견대로 SAFETY_020 카드가 원형 유지됨.,
HR2-0777,APPLIED,'(유지)' 의견대로 CONTROL_044 카드가 원형 유지됨.,
