Register_ID,판정,원인코드,원인분석
HR2-0675,NOT_APPLIED,CONFLICT,'Agentic - Excessive Authority and Agency로 이관' 지시 미이행. 카드가 A_SYS_GOAL_011로 GOAL L3에 잔류했고 정의도 목표 정렬 실패 중심으로 재작성됨. 자율성 확대 축을 AUTH로 옮기라는 의견 취지가 반영되지 않았으며 잔류 결정의 근거 기록 미확인. 동일 유형 의견의 타 행(HR2-0677·0680·0683)은 모두 AUTH로 이관되어 처리 비일관.
HR2-0677,APPLIED,,
HR2-0680,APPLIED,,
HR2-0681,APPLIED,,
HR2-0683,APPLIED,,
HR2-0684,APPLIED,,
HR2-0688,APPLIED,,
HR2-0690,APPLIED,,
HR2-0691,APPLIED,,
HR2-0692,APPLIED,,
HR2-0693,APPLIED,,
HR2-0694,APPLIED,,
HR2-0695,APPLIED,,
HR2-0696,APPLIED,,
HR2-0697,APPLIED,,
HR2-0698,APPLIED,,
HR2-0699,APPLIED,,
HR2-0700,APPLIED,,
HR2-0701,APPLIED,,
HR2-0702,APPLIED,,
HR2-0703,APPLIED,,
HR2-0704,APPLIED,,
HR2-0705,APPLIED,,
HR2-0706,APPLIED,,
HR2-0707,APPLIED,,
HR2-0708,APPLIED,,
HR2-0709,APPLIED,,
HR2-0710,APPLIED,,
HR2-0711,APPLIED,,
HR2-0712,APPLIED,,
HR2-0713,APPLIED,,
HR2-0714,APPLIED,,
HR2-0715,APPLIED,,
HR2-0716,APPLIED,,
HR2-0717,APPLIED,,
HR2-0718,PARTIAL,CONFLICT,'L3 하드웨어/기계 무결성 결함으로 분류' 지시였으나 G_SYS_EVAL_004(시험·인증 체계 부재)로 배치. 내용상 평가·보증 결함이 적합하나 지정 L3(P_SYS_HARDWARE)와 불일치.
HR2-0719,APPLIED,,
HR2-0720,APPLIED,,
HR2-0721,APPLIED,,
HR2-0723,PARTIAL,CONFLICT,'L3 안전하지 않은 물리 제어 구동으로 분류' 지시였으나 P_SYS_STATE_002(물리 상태 추정·센서 융합)로 배치. 신호 충돌에 의한 상태 오추정 의미상 STATE가 적합하나 지정 L3와 불일치.
HR2-0724,PARTIAL,CONFLICT,'L3 인간-로봇 물리 안전 실패로 분류' 지시였으나 G_INT_ALLOC_003(배분적 차별)으로 배치. 인구집단별 격차의 배분 성격상 ALLOC 배치가 분류 원칙에 부합하나 지정 목적지와 불일치하며 대체 근거 미기록.
HR2-0725,APPLIED,,
HR2-0726,APPLIED,,
HR2-0727,APPLIED,,
HR2-0728,APPLIED,,
HR2-0729,APPLIED,,
HR2-0730,APPLIED,,
HR2-0731,APPLIED,,
HR2-0732,PARTIAL,CONFLICT,'L3 안전하지 않은 물리 제어 구동으로 분류' 지시였으나 G_SYS_EVAL_033(안전성 평가 위음성)으로 배치. 평가 결함 의미상 EVAL이 적합하나 지정 L3와 불일치.
HR2-0733,APPLIED,,
HR2-0734,APPLIED,,
HR2-0735,APPLIED,,
HR2-0736,APPLIED,,
HR2-0737,APPLIED,,
HR2-0738,APPLIED,,
HR2-0739,APPLIED,,
HR2-0740,PARTIAL,CONFLICT,'L3 인간-로봇 물리 안전 실패로 분류' 지시였으나 G_SYS_EVAL_044(배포 전 물리적 안전 시험 미흡)에 흡수. 레드팀 시나리오 누락을 평가 결함으로 재해석한 배치로 지정 목적지와 불일치.
HR2-0741,APPLIED,,
HR2-0742,APPLIED,,
HR2-0743,APPLIED,,
HR2-0744,APPLIED,,
HR2-0745,APPLIED,,
HR2-0746,APPLIED,,
HR2-0747,APPLIED,,
HR2-0748,APPLIED,,
HR2-0749,APPLIED,,
HR2-0750,APPLIED,,
HR2-0751,APPLIED,,
HR2-0752,APPLIED,,
HR2-0753,APPLIED,,
HR2-0754,APPLIED,,
HR2-0755,APPLIED,,
HR2-0756,APPLIED,,
HR2-0757,APPLIED,,
HR2-0758,APPLIED,,
HR2-0759,APPLIED,,
HR2-0760,APPLIED,,
HR2-0761,APPLIED,,
HR2-0762,APPLIED,,
HR2-0763,APPLIED,,
HR2-0764,APPLIED,,
HR2-0765,APPLIED,,
HR2-0766,APPLIED,,
HR2-0767,APPLIED,,
HR2-0768,APPLIED,,
HR2-0769,APPLIED,,
HR2-0770,APPLIED,,
HR2-0771,APPLIED,,
HR2-0772,APPLIED,,
HR2-0773,APPLIED,,
HR2-0774,APPLIED,,
HR2-0775,APPLIED,,
HR2-0776,APPLIED,,
HR2-0777,APPLIED,,
HR2-0778,PARTIAL,LOST_IN_MERGE,(유지) 의견에도 불구하고 카드가 P_SYS_CONTROL_036(온디바이스 연산·메모리 고갈)에 흡수되면서 '열·전력 쓰로틀링'이라는 고유 발생 기제 문구가 대표 카드 정의에서 소실됨. 결과 축(안전 관련 기능 저하)은 보존되어 취지 일부만 유지.
HR2-0779,APPLIED,,
HR2-0780,APPLIED,,
HR2-0781,APPLIED,,
HR2-0782,APPLIED,,
HR2-0783,APPLIED,,
HR2-0784,APPLIED,,
HR2-0785,APPLIED,,
HR2-0786,APPLIED,,
HR2-0787,APPLIED,,
HR2-0788,APPLIED,,
HR2-0789,APPLIED,,
HR2-0790,APPLIED,,
HR2-0791,APPLIED,,
HR2-0792,APPLIED,,
HR2-0793,APPLIED,,
HR2-0794,APPLIED,,
HR2-0795,APPLIED,,
HR2-0796,APPLIED,,
HR2-0797,APPLIED,,
HR2-0798,APPLIED,,
HR2-0799,APPLIED,,
HR2-0800,APPLIED,,
HR2-0801,APPLIED,,
HR2-0802,APPLIED,,
HR2-0803,APPLIED,,
HR2-0804,APPLIED,,
HR2-0805,APPLIED,,
HR2-0806,APPLIED,,
HR2-0807,APPLIED,,
HR2-0808,APPLIED,,
