Register_ID,판정,반영결과_요약,누락사항
HR2-0042,APPLIED,의견 취지대로 2개 카드(G_INT_ILLEGAL_001(불법적 명예·권리 침해 지원)·G_INT_POL_006(개인화된 정치적 영향 조작))로 분할 반영됨.,
HR2-0044,APPLIED,의견 취지대로 3개 카드(G_INT_POL_006(개인화된 정치적 영향 조작)·G_INT_UNETH_005(취약성을 이용한 행동 조작)·G_SOC_DEMOC_004(민주적 공론과 시민 신뢰의 침식))로 분할 반영됨.,
HR2-0050,APPLIED,의견 취지대로 2개 카드(G_INT_POL_006(개인화된 정치적 영향 조작)·G_SOC_DEMOC_004(민주적 공론과 시민 신뢰의 침식))로 분할 반영됨.,
HR2-0051,APPLIED,의견 취지대로 3개 카드(G_INT_POL_006(개인화된 정치적 영향 조작)·G_INT_VIOL_003(폭력과 극단주의 실행의 조장)·G_SOC_DEMOC_004(민주적 공론과 시민 신뢰의 침식))로 분할 반영됨.,
HR2-0053,APPLIED,의견대로 동일 L3 내 G_INT_PRIV_025(재식별 및 정보 추론)로 편입됨.,
HR2-0056,APPLIED,의견대로 G_INT_PRIV_013(재산 정보·개인정보·사적 사실의 부당한 노출)에 흡수됨.,
HR2-0057,APPLIED,의견대로 동일 L3 내 G_INT_PRIV_025(재식별 및 정보 추론)로 편입됨.,
HR2-0063,APPLIED,의견대로 학습 데이터 프라이버시 통합 카드 G_INT_PRIV_015로 통합됨.,
HR2-0066,APPLIED,의견대로 학습 데이터 프라이버시 통합 카드 G_INT_PRIV_015로 통합됨.,
HR2-0070,APPLIED,의견 취지대로 2개 카드(G_INT_PRIV_013(재산 정보·개인정보·사적 사실의 부당한 노출)·G_SYS_OEXT_013(AI 역량의 검증 범위 초과 사용))로 분할 반영됨.,
HR2-0072,APPLIED,의견대로 학습 데이터 프라이버시 통합 카드 G_INT_PRIV_015로 통합됨.,
HR2-0075,APPLIED,의견대로 대량감시 카드 G_INT_PRIV_001로 편입됨.,
HR2-0082,APPLIED,재검토 의견 취지대로 배분 결과(G_INT_ALLOC_007)와 표상 피해(G_INT_REPR_028)로 분리 배치되어 피해 유형이 명확해짐.,
HR2-0084,APPLIED,재검토 의견 취지대로 배분 결과(G_INT_ALLOC_001)와 표상 피해(G_INT_REPR_028)로 분리 배치되어 피해 유형이 명확해짐.,
HR2-0104,APPLIED,의견대로 G_INT_UNETH_027(인간 데이터 학습에 의한 갈등 악화 편향 재현)로 이관됨.,
HR2-0117,APPLIED,자살 실행 지원(G_INT_SELF_002)과 자살 준비 행위(G_INT_SELF_007)로 구분이 유지됨(AC-01 시정으로 준비 카드 복원).,
HR2-0130,APPLIED,의견대로 A_INT_COORD_001(다중 에이전트의 협조 실패에 따른 집단적 피해)로 이관됨.,
HR2-0133,APPLIED,의견대로 G_INT_REPR_004(비인간화와 대상화)로 이관됨.,
HR2-0142,APPLIED,의견대로 G_SOC_CULT_017(도덕적 탈숙련화)로 이관됨.,
HR2-0143,APPLIED,G_SYS_EVAL_053(비전문가 데이터 조작)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0144,APPLIED,의견 취지대로 3개 카드(G_INT_ALLOC_001(보호집단에 대한 불리한 자원 배분)·G_INT_REPR_028(집단 고정관념의 재현과 강화)·G_INT_UNETH_005(취약성을 이용한 행동 조작))로 분할 반영됨.,
HR2-0145,APPLIED,재검토 의견을 반영해 피해(자율적 판단의 조작)를 명시한 G_INT_UNETH_006으로 정의가 명확화됨.,
HR2-0146,APPLIED,의견대로 G_INT_ALLOC_016(동일 사안 불평등 처우)로 이관됨.,
HR2-0151,APPLIED,의견 취지대로 3개 카드(G_INT_ALLOC_012(콘텐츠 조정에 의한 집단별 접근 제한)·G_INT_REPR_007(콘텐츠 조정에 의한 집단 표상 왜곡)·G_INT_UNETH_017(콘텐츠 조정에 의한 여론 조작))로 분할 반영됨.,
HR2-0179,APPLIED,의견대로 G_INT_WEAP_003(생물무기·화학무기)·G_INT_WEAP_008(취약점 탐지·악용 코드 작성 역량을 통한 사이버 공격 지원)·G_INT_WEAP_010(국가·범죄 행위자에 의한 AI의 의도적 무기화)로 이관됨.,
HR2-0192,APPLIED,무기화 성격이 드러나도록 G_INT_WEAP_018(CBRN 정보 획득·무기 설계 역량 개발 장벽 저하)로 재명명됨.,
HR2-0225,APPLIED,G_SYS_EVAL_015(학습·운용 데이터 간 분포 이동)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0229,APPLIED,P_SYS_HARDWARE_001(센서 드리프트에 의한 배포 시스템 성능 저하)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0273,APPLIED,G_SYS_EVAL_018(학습 데이터 주석 결함)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0283,APPLIED,G_SYS_EVAL_046(개발 과정 문서화와 데이터 이해의 부족)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0284,APPLIED,G_SYS_EVAL_002(분포 변화에 대한 AI 평가·검증 실패)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0285,APPLIED,G_SYS_SECADV_031(복잡한 신경망 모델의 내재적 견고성 부족)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0317,APPLIED,G_SYS_EVAL_017(데이터 수집 품질관리 결함)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0340,NOT_APPLIED,이관 의견에도 불구하고 해당 원천 행이 삭제 처분되어 최종 분류에 반영되지 않음.,Performance/Reliability 계열 L3로의 이관 지시 미이행(DELETE 처리로 내용 소실)
HR2-0355,APPLIED,의견 취지대로 2개 카드(G_SOC_GOV_002(AI 결정과 피해에 대한 책임·거버넌스 공백)·G_SYS_CONTEST_003(AI 결정에 대한 이의제기와 중단의 불가능))로 분할 반영됨.,
HR2-0356,APPLIED,의견대로 G_SYS_CONTEST_001(인간의 의사결정 능력·거부권 침식)로 이관됨.,
HR2-0357,APPLIED,의견 취지대로 2개 카드(G_INT_REPR_004(비인간화와 대상화)·G_SOC_CULT_011(AI에 의한 인간 존엄성과 도덕적 지위의 침식))로 분할 반영됨.,
HR2-0361,APPLIED,의견 취지대로 2개 카드(G_INT_POL_006(개인화된 정치적 영향 조작)·G_SOC_DEMOC_004(민주적 공론과 시민 신뢰의 침식))로 분할 반영됨.,
HR2-0362,APPLIED,의견대로 G_INT_UNETH_007(초개인화 광고의 소비자 자율성 훼손)로 이관됨.,
HR2-0434,APPLIED,의견대로 G_SOC_POWER_009(높은 비용으로 인한 접근 배제)로 이관됨.,
HR2-0436,APPLIED,의견대로 G_INT_PRIV_027(사용자 데이터 보유·재학습)로 이관됨.,
HR2-0439,APPLIED,의견 취지대로 2개 카드(G_INT_PRIV_007(맥락적 개인정보 보호 및 대화 프라이버시 실패)·G_SYS_CONTEXT_008(사회·상황적 단서의 오해))로 분할 반영됨.,
HR2-0443,APPLIED,의견 취지대로 3개 카드(G_SOC_CULT_012(저자원 언어와 문화적 의미의 침식)·G_SYS_EVAL_042(저자원 언어 안전성 평가의 불충분성)·G_SYS_INPUT_002(저자원 언어 입력의 처리·이해 실패))로 분할 반영됨.,
HR2-0444,APPLIED,의견대로 G_INT_UNETH_024(개인화된 설득 취약성)로 이관됨.,
HR2-0459,APPLIED,G_SYS_EVAL_018(학습 데이터 주석 결함)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0483,PARTIAL,G_INT_VALUE_010(주석자 편향의 중립적 인간 선호로의 고착)과 G_SYS_INCONS_001(인간 피드백 기준의 비일관성) 2축으로 분할됨.,의견이 지정한 Allocative Discrimination·Representational Harm 축은 별도 분리되지 않음
HR2-0484,APPLIED,의견대로 G_SYS_CONTEXT_006(무해성 선호 불일치)로 이관됨.,
HR2-0485,APPLIED,G_SYS_EVAL_040(AI 모델 설정과 평가의 부적절성)·G_SYS_OVERCONF_008(정량화되지 않은 예측 불확실성)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0486,APPLIED,의견대로 G_SYS_TRANS_015(사고 연쇄와 불일치하는 모델 출력)로 이관됨.,
HR2-0488,APPLIED,의견대로 G_INT_PRIV_028(민감한 개인 속성 추론)로 이관됨.,
HR2-0489,APPLIED,G_SYS_EVAL_067(체계적 학습 오류에 따른 알고리즘 편향)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0490,APPLIED,G_SYS_EVAL_011(지속 튜닝의 파국적 망각)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0491,APPLIED,의견 취지대로 2개 카드(G_SYS_INPUT_004(물리 상식과 상황 입력의 오해)·P_SYS_CONTROL_051(잘못된 상황 해석에 따른 위험한 물리 구동))로 분할 반영됨.,
HR2-0492,APPLIED,의견대로 G_INT_ALLOC_006(AI 인터페이스의 장애 수용 실패)로 이관됨.,
HR2-0493,APPLIED,의견 취지대로 2개 카드(G_SYS_INPUT_003(물체 어포던스와 장면의 오해)·P_SYS_CONTROL_051(잘못된 상황 해석에 따른 위험한 물리 구동))로 분할 반영됨.,
HR2-0494,APPLIED,G_SYS_OVERCONF_005(분포 외 입력에 대한 고확신 오류)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0495,APPLIED,의견대로 G_SOC_GOV_024(의미 있는 인간 통제 실패)로 이관됨.,
HR2-0496,APPLIED,재검토 의견을 반영해 원인과 피해를 명시한 P_SYS_CONTROL_014(원자력 및 핵심 인프라에 대한 AI 제어 오류)로 명확화됨.,
HR2-0497,APPLIED,G_SYS_EVAL_061(코너 케이스에서의 신뢰성 저하)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0498,APPLIED,의견대로 G_INT_ALLOC_017(사용자 능력 불일치)로 이관됨.,
HR2-0500,APPLIED,G_INT_POL_001(자동화된 표적 영향 공작)과 G_SYS_MISINFO_021(대규모 허위정보 생산·확산 장벽 저하)로 분할됨(지정한 민주주의·불법행위 축 대신 정치 조작·허위정보 축 채택).,
HR2-0501,APPLIED,의견대로 G_INT_REPR_001(편향된 진술 및 권장 사항)로 이관됨.,
HR2-0503,APPLIED,의견대로 A_SYS_DECEPT_006(AI 시스템의 기만적 행동과 전략적 은폐)로 이관됨.,
HR2-0509,PARTIAL,G_SYS_MISINFO_012(개인 대상 허위정보) 단일 카드로 유지됨.,의견이 요구한 불법행위(명예훼손 등) 축의 분리 미이행
HR2-0510,APPLIED,의견 취지대로 3개 카드(G_INT_POL_006(개인화된 정치적 영향 조작)·G_SOC_DEMOC_004(민주적 공론과 시민 신뢰의 침식)·G_SYS_MISINFO_015(선거절차에 관한 허위정보 생성))로 분할 반영됨.,
HR2-0522,APPLIED,의견대로 G_INT_ILLEGAL_018(개인화 정보 악용 표적 사기)로 이관됨.,
HR2-0523,APPLIED,의견대로 A_SYS_DECEPT_008(지속적 기만 수행에 의한 이용자 판단 왜곡)로 이관됨.,
HR2-0527,APPLIED,의견대로 G_SOC_CULT_001(인지 오프로딩)로 이관됨.,
HR2-0529,APPLIED,의견대로 G_SOC_GOV_010(AI 위임에 따른 인간 의사결정 권한 이전)로 이관됨.,
HR2-0532,APPLIED,의견 취지대로 2개 카드(A_SYS_DECEPT_007(격리 통제 회피를 위한 기만적 행동)·G_SYS_SECADV_034(샌드박스 우회에 의한 격리 통제 상실))로 분할 반영됨.,
HR2-0533,APPLIED,G_SYS_EVAL_057(과적합 및 과소적합)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0535,APPLIED,정의 재작성으로 '거짓 확신' 오타 문제가 해소된 G_SYS_OEXT_011(설명가능성 기법의 검증 범위 초과 과신)로 반영됨.,
HR2-0536,APPLIED,의견 취지대로 3개 카드(G_INT_UNETH_005(취약성을 이용한 행동 조작)·G_SOC_DEMOC_004(민주적 공론과 시민 신뢰의 침식)·G_SOC_POWER_005(대규모 인구에 대한 AI 영향력의 집중))로 분할 반영됨.,
HR2-0537,APPLIED,의견대로 G_SOC_CULT_019(전문적 판단력 위축)로 이관됨.,
HR2-0538,APPLIED,의견대로 G_SOC_CULT_020(문화 해석 권위의 이전)로 이관됨.,
HR2-0541,APPLIED,의견대로 G_SYS_EVAL_062(요청 거절과 역량 부족의 혼동)로 이관됨.,
HR2-0542,APPLIED,의견대로 G_SYS_SECADV_048(적대적 역할·역할극 지시에 의한 안전장치 우회)로 이관됨.,
HR2-0571,APPLIED,G_SYS_SECADV_027(이상 조건에서의 성능·견고성·복원력 실패)로 이관됨(지정한 '성능·신뢰성 실패' L3 부재로 기존 L3에 배치).,
HR2-0600,APPLIED,통합 검토 결과 상전이·혼돈 동역학·피드백 루프의 상이한 메커니즘으로 판단되어 A_INT_CASCADE_001로 별도 존치되고 정의가 차별화됨.,
HR2-0601,APPLIED,통합 검토 결과 상이한 메커니즘으로 판단되어 A_INT_CASCADE_003(혼돈적 다중 에이전트 동역학)으로 별도 존치되고 정의가 차별화됨.,
HR2-0602,APPLIED,통합 검토 결과 상이한 메커니즘으로 판단되어 A_INT_CASCADE_004(불안정화 피드백 루프)로 별도 존치되고 정의가 차별화됨.,
HR2-0606,APPLIED,의견대로 G_SYS_SECADV_055(AI 공급망의 도구·의존성 침해)로 이관됨.,
HR2-0607,APPLIED,의견대로 P_SYS_CONTROL_040(실시간 지연 및 동기화 실패)로 이관됨.,
HR2-0608,APPLIED,의견대로 COLLUSION_001·002가 A_INT_COLLUSION_002(감시 회피형 은밀 통신에 의한 다중 에이전트 공모)로 통합됨.,
HR2-0609,APPLIED,의견대로 COLLUSION_001·002가 A_INT_COLLUSION_002(감시 회피형 은밀 통신에 의한 다중 에이전트 공모)로 통합됨.,
HR2-0611,APPLIED,의견대로 G_SYS_SECADV_043(위임 에이전트 공격에 의한 정보 탈취·행위 조작)로 이관됨.,
HR2-0613,APPLIED,의견대로 G_SYS_EVAL_009(벤치마크 안전 순위 불일치)로 이관됨.,
HR2-0618,APPLIED,의견대로 G_SOC_GOV_032(단일 실패 지점)로 이관됨.,
HR2-0620,APPLIED,의견대로 A_SYS_GOAL_003(에이전트 과업 이탈)로 이관됨.,
HR2-0621,APPLIED,의견대로 A_SYS_AUTH_003(어포던스 부여에 의한 에이전트 실패 영향 확대)로 이관됨.,
HR2-0622,APPLIED,의견대로 A_INT_CONFLICT_002(AI 에이전트 간 협상 실패)로 이관됨.,
HR2-0623,APPLIED,A_Others에서 분리되어 G_INT_ILLEGAL_021(AI 에이전트에 의한 불법 강압·갈취)로 이관됨(지정한 Deception 대신 강압·갈취 성격에 맞는 불법행위 L3 채택).,
HR2-0624,APPLIED,의견대로 A_SYS_DECEPT_001(탐지 불가 공격에 의한 다중 에이전트 협력 붕괴)로 이관됨.,
HR2-0625,APPLIED,의견대로 A_SYS_GOAL_013(확장 가능한 감독 실패에 따른 대리 지표 기반 유해 행동)로 이관됨.,
HR2-0626,APPLIED,의견대로 G_SYS_SECADV_023(에이전트 인터페이스의 공격 표면 확대)로 이관됨.,
HR2-0627,APPLIED,A_SYS_AUTH_012(학습 중 탐색 행동에 따른 회복 불가능한 피해)로 이관됨(지정한 Overconfidence 대신 과잉 권한 L3 채택).,
HR2-0628,APPLIED,무감독 권한(A_SYS_AUTH_009)과 불법행위 악용(G_INT_ILLEGAL_012)의 2축으로 분할되어 이관 취지가 반영됨.,
HR2-0629,APPLIED,A_SYS_SELFCOR_001(다중 턴 상호작용에서의 위험 증폭)로 이관됨(지정한 Goal Misalignment 대신 자기 교정 실패 L3 채택).,
HR2-0630,APPLIED,G_SYS_SECADV_004(신뢰할 수 없는 외부 지시·의도에 의한 에이전트 목표 탈취)로 이관됨(지정한 Deception 대신 보안 L3 채택).,
HR2-0631,APPLIED,의견대로 A_INT_CASCADE_007(다중 에이전트 학습의 비수렴 순환)로 이관됨.,
HR2-0632,APPLIED,의견대로 G_SYS_SECADV_046(프로토콜 수준 다중 에이전트 위협)로 이관됨.,
HR2-0633,APPLIED,의견대로 A_INT_COLLUSION_003(다중 에이전트 역량 결합에 의한 안전장치 우회)로 이관됨.,
HR2-0634,APPLIED,의견대로 A_SYS_AUTH_017(배포 이후 예측하지 못한 창발적 역량과 행동)로 이관됨.,
HR2-0635,APPLIED,의견대로 A_SYS_AUTH_019(통제되지 않는 자기 개선과 고도 AI 통제 상실)로 이관됨.,
HR2-0636,APPLIED,의견대로 A_SYS_GOAL_020(의도하지 않은 유해 도구 행동 실행)로 이관됨.,
HR2-0637,APPLIED,A_SYS_AUTH_022(광범위하게 배포된 AI 비서의 안전하지 않은 탐색)로 이관됨(지정한 Overconfidence 대신 과잉 권한 L3 채택).,
HR2-0638,APPLIED,의견대로 A_SYS_GOAL_021(장기 계획 역량에 의한 감독 불가 행동 경로 추구)로 이관됨.,
HR2-0640,APPLIED,의견대로 G_SYS_SECADV_005(에이전트 신원 및 권한 스푸핑)로 이관됨.,
HR2-0645,APPLIED,의견대로 G_INT_PRIV_008(애플리케이션 간 데이터 유출)로 이관됨.,
HR2-0655,APPLIED,의견대로 G_SYS_SECADV_006(에이전트 메모리·맥락 오염)로 이관됨.,
HR2-0656,APPLIED,의견대로 G_SYS_SECADV_004(신뢰할 수 없는 외부 지시·의도에 의한 에이전트 목표 탈취)로 이관됨.,
HR2-0657,APPLIED,G_INT_ILLEGAL_003(AI 에이전트의 범죄 조력)으로 이관됨(지정한 보안 L3 대신 범죄 지원 성격에 맞는 불법행위 L3 채택).,
HR2-0665,APPLIED,의견대로 G_SYS_EVAL_019(모의 도구 환경과 실제 환경의 불일치)로 이관됨.,
HR2-0668,APPLIED,의견대로 L3 정의와 중복되어 삭제됨(최종 분류에서 제외).,
HR2-0670,APPLIED,의견대로 A_SYS_DECEPT_004(분포 이동에서의 기만적 정렬)로 이관됨.,
HR2-0675,NOT_APPLIED,AUTH(과잉 권한·행위주체성) 이관 의견이 이행되지 않고 A_SYS_GOAL_011(에이전트형 LLM의 자율성 확대에 따른 목표 정렬 실패)로 통합되어 GOAL L3에 잔류함.,지정한 Excessive Authority and Agency L3로의 이관 미이행
HR2-0677,APPLIED,의견대로 A_SYS_AUTH_016(종료·수정 저항을 통한 자기 보존 성향)로 이관됨.,
HR2-0680,APPLIED,의견대로 A_SYS_AUTH_002(에이전트의 종료·교정 저항)로 이관됨.,
HR2-0681,APPLIED,의견대로 G_SYS_CONTEXT_001(에이전트 위험 인식 실패)로 이관됨.,
HR2-0683,APPLIED,의견대로 A_SYS_AUTH_015(감독 회피·수정 저항)로 이관됨.,
HR2-0684,APPLIED,의견대로 A_SYS_TRACE_003(위험 발생 원인 귀인 실패)로 이관됨.,
HR2-0688,APPLIED,의견대로 G_SOC_GOV_002(AI 결정과 피해에 대한 책임·거버넌스 공백)로 이관됨.,
HR2-0690,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_001(보조 로봇의 개입 시점 오류)로 존치됨.,
HR2-0691,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_003(제어 장벽 함수 안전 필터 실패)로 존치됨.,
HR2-0692,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_013(공유 공간에서의 인간-로봇 이동 조정 실패)로 존치됨.,
HR2-0693,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_005(로봇의 충돌 회피·운행구역 통제 실패)로 존치됨.,
HR2-0694,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_006(사람 주변의 물리적 위험 감지·예측 실패)로 존치됨.,
HR2-0695,APPLIED,의견대로 '가정용 로봇 또는 체화형 AI 에이전트'로 용어가 일반화되어 P_INT_SAFETY_007에 반영됨.,
HR2-0696,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_008(구현체별 역할·권한 제약 집행 실패)로 존치됨.,
HR2-0697,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_010(인간-로봇 상호 행동 모델링 미흡)로 존치됨.,
HR2-0698,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_016(위험 지시 거부 실패)로 존치됨.,
HR2-0699,APPLIED,의견대로 '체화형 AI 에이전트' 용어로 통일되어 P_INT_SAFETY_012에 반영됨.,
HR2-0700,PARTIAL,유지 의견에 따라 P_SYS_CONTROL_023(장면 변화 시 인간 행동 모방 실패)으로 존치됨.,jw의 삭제 제안 미채택(유지·삭제 상충 의견 중 유지 채택)
HR2-0701,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_016(인간 접촉 안전 통제 미흡)로 존치됨.,
HR2-0702,PARTIAL,G_SYS_EVAL_044(배포 전 물리적 안전 시험 미흡)로 이관·존치됨.,jw의 삭제 제안 미채택
HR2-0703,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_017(시각 장면의 안전 판단 오류)로 존치됨.,
HR2-0704,PARTIAL,P_SYS_CONTROL_042(런타임 안전 모니터 실패)로 L3 재배치되어 존치됨.,jw의 삭제 제안 미채택(L3 부적합 지적은 재배치로 반영)
HR2-0705,PARTIAL,P_SYS_CONTROL_043(안전-성능 균형 실패)으로 L3 재배치되어 존치됨.,jw의 General 영역 해당 의견 미채택(피지컬 CONTROL 재배치에 그침)
HR2-0706,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_021(전신 이동 중 충돌)로 존치됨.,
HR2-0707,APPLIED,jw 의견대로 보안 L3의 G_SYS_SECADV_052(장면 맥락 조작 공격)로 이관됨.,
HR2-0708,APPLIED,유지 의견대로 내용이 보존되어 G_INT_ILLEGAL_022(로봇을 이용한 불법 스토킹·괴롭힘)로 존치됨.,
HR2-0709,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_SECADV_016(핵심 기반시설 로봇 시스템의 사이버 침해)로 존치됨.,
HR2-0710,APPLIED,비인간 물리 자산 대상임이 제목에 드러나도록 G_INT_ILLEGAL_005(피지컬 AI에 의한 비인간 물리 자산의 파괴·변조)로 재명명됨.,
HR2-0711,APPLIED,유지 의견대로 내용이 보존되어 G_INT_ILLEGAL_007(불법·유해 물리 요청의 수용·실행)로 존치됨.,
HR2-0712,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_SECADV_015(로봇 군집의 동시 침해)로 존치됨.,
HR2-0713,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_SECADV_033(로봇 탈옥에 의한 유해 물리적 행동)로 존치됨.,
HR2-0714,APPLIED,General 영역 이동 지시대로 G_SYS_SECADV_037(모델 절취·변조)로 이관됨.,
HR2-0715,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_SECADV_058(적대적 감각 교란에 따른 안전하지 않은 행동)로 존치됨.,
HR2-0716,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_SECADV_052(장면 맥락 조작 공격)로 존치됨.,
HR2-0717,APPLIED,문장 정제 의견대로 정의가 재작성된 G_INT_WEAP_026(로봇 능력의 무기화)으로 반영됨.,
HR2-0718,APPLIED,G_SYS_EVAL_004(휴머노이드 안전 시험·인증 체계 부재)로 이관됨(지정한 하드웨어 결함 L3 대신 시험·인증 성격에 맞는 평가·보증 L3 채택).,
HR2-0719,APPLIED,의견대로 P_SYS_CONTROL_002(상위 안전 지시의 해석 불명확)로 이관됨.,
HR2-0720,APPLIED,의견대로 P_SYS_CONTROL_007(통신 단절 및 제어 링크 손실)로 이관됨.,
HR2-0721,APPLIED,의견대로 P_SYS_CONTROL_006(명령의 구현체별 하드웨어 한계 초과)로 이관됨.,
HR2-0723,APPLIED,P_SYS_STATE_002(시각·접촉 신호 충돌)로 이관됨(지정한 물리 제어 L3 대신 상태 추정·센서 융합 L3 채택).,
HR2-0724,APPLIED,G_INT_ALLOC_003(인구집단별 로봇 서비스·안전 격차)으로 이관됨(지정한 물리 안전 L3 대신 배분 차별 L3 채택).,
HR2-0725,APPLIED,P_SYS_CONTROL_012(피지컬 AI 시스템 설계 단계 명세 오류)의 명칭·정의에 의견이 반영됨.,
HR2-0726,APPLIED,의견대로 P_SYS_CONTROL_013(물리적 운용 환경의 분포 이동)로 이관됨.,
HR2-0727,APPLIED,의견대로 P_SYS_STATE_011(물리 상태 추정 데이터의 합성-실세계 괴리)로 이관됨.,
HR2-0728,APPLIED,의견대로 P_INT_SAFETY_004(소셜 AI의 사용자 애착 악용)로 이관됨.,
HR2-0729,APPLIED,의견대로 P_SYS_CONTROL_017(물리적 위험에 대한 적시 대응 실패)로 이관됨.,
HR2-0730,APPLIED,의견대로 P_INT_SAFETY_009(인간-로봇 물리 안전 규칙 집행 실패)로 이관됨.,
HR2-0731,APPLIED,의견대로 P_INT_SAFETY_011(필수 돌봄·상황 보고 미이행)로 이관됨.,
HR2-0732,APPLIED,G_SYS_EVAL_033(가정 내 로봇 행동 안전성 평가의 위음성)으로 이관됨(지정한 물리 제어 L3 대신 평가·보증 L3 채택).,
HR2-0733,APPLIED,의견대로 P_SYS_CONTROL_020(기반 모델 실패의 로봇 행동 전이)로 이관됨.,
HR2-0734,APPLIED,의견대로 P_SYS_CONTROL_026(휴머노이드 보행·조작 안정성 실패)로 이관됨.,
HR2-0735,APPLIED,의견대로 P_SYS_CONTROL_027(휴머노이드 보행 속도 초과)로 이관됨.,
HR2-0736,APPLIED,의견대로 P_SYS_CONTROL_030(부상 심각도 오분류)로 이관됨.,
HR2-0737,APPLIED,의견대로 P_INT_SAFETY_014(가정 환경·희귀 조건·취약 사용자 상호작용의 인간-로봇 안전 실패)로 이관됨.,
HR2-0738,APPLIED,의견대로 P_SYS_CONTROL_032(개인 돌봄 로봇의 준수 기준 부재)로 이관됨.,
HR2-0739,APPLIED,의견대로 P_INT_SAFETY_014(가정 환경·희귀 조건·취약 사용자 상호작용의 인간-로봇 안전 실패)로 이관됨.,
