L4_ID,verdict,relevance_note,seminal_ok,better_ref
G_INT_REPR_026,PASS,디바이어싱 이후에도 존속하는 편향의 원전. 정면 일치.,YES,
G_INT_REPR_027,PASS,편향 증폭 현상의 원전. 정면 일치.,YES,
G_INT_REPR_028,PASS,고정관념 측정 벤치마크(StereoSet)의 원전. 정면 일치.,YES,
G_INT_REPR_029,PASS,NLP 편향 비평의 대표 논문(ACL). 정면 일치.,YES,
G_INT_VALUE_001,PASS,'알고리즘 획일화' 개념을 정립한 원전(PNAS). 정면 일치.,YES,
G_INT_VALUE_002,PASS,주석자 불일치 처리 문제의 대표 연구(TACL). 정면 일치.,YES,
G_INT_VALUE_004,PASS,LLM이 반영하는 견해의 편향을 실증한 대표 연구(ICML). 정면 일치.,YES,
G_INT_VALUE_006,PASS,파운데이션 모델 보고서가 문화적 동질화를 논의하나 카드보다 범위가 넓은 개관 보고서.,NO,
G_INT_VALUE_007,PASS,데이터셋의 언어·문화 표집 편향을 다룬 대표 연구(ACL). 정면 일치.,YES,
G_INT_VALUE_010,PASS,주석자 편향의 중립화 문제를 다룬 대표 연구. 정면 일치.,YES,
G_INT_VALUE_014,PASS,다원적 정렬 로드맵 논문이 지배적 가치 부과 문제를 정면으로 다룸.,YES,
G_INT_VALUE_019,PASS,같은 논문이 선호 집계 실패 문제도 정면으로 다룸.,YES,
G_INT_VALUE_024,PASS,보상 해킹의 정의·특성화 연구가 대리목표에 의한 가치 이탈을 정면으로 다룸.,YES,
G_SYS_CONTEXT_010,PASS,무관한 문맥에 의한 성능 저하의 원전급 연구(ICML). 정면 일치.,YES,
P_SYS_STATE_006,PASS,SLAM 오차 누적 문제를 다루는 대표 서베이. 정면 일치.,NO,
G_INT_POL_001,PASS,소셜봇을 통한 자동화된 영향공작의 원전(CACM). 정면 일치.,YES,
G_INT_POL_002,PASS,정치적 편향의 원인 추적 연구(ACL). 정면 일치.,YES,
G_INT_POL_006,PASS,심리적 타겟팅을 이용한 설득의 원전(PNAS). 정면 일치.,YES,
G_INT_POL_007,PASS,가짜뉴스 과학에 대한 권위 있는 개관(Science). 정면 일치.,YES,
A_INT_COORD_001,PASS,'협력적 AI'의 미해결 문제 개관 논문이 조정 실패 문제를 정면으로 제기.,YES,
A_INT_COORD_002,PASS,같은 논문이 협상 실패로 인한 집단 손실도 다룸.,YES,
A_INT_COORD_003,PASS,같은 논문이 전략적 상호작용 무시로 인한 집단행동 문제도 다룸.,YES,
A_INT_COORD_005,PASS,사전 상호작용 없는 제로샷 조정 문제의 원전(ICML). 정면 일치.,YES,
G_SYS_INCONS_001,PASS,인간 라벨 변이 문제를 다룬 대표 연구(EMNLP). 정면 일치.,YES,
G_SYS_INCONS_002,PASS,사전학습 언어모델 일관성 측정의 원전(TACL). 정면 일치.,YES,
G_SOC_GOV_016,PASS,'점진적 통제력 상실' 개념을 정확히 이름 붙인 최신 원전. 정면 일치.,YES,
G_INT_WEAP_008,PASS,사이버 공격 지원 코딩 역량 벤치마크(Meta). 정면 일치.,NO,
G_INT_WEAP_009,PASS,AI 신약개발 모델의 이중용도 오용을 실증한 유명 사례 연구(Nature Machine Intelligence). 정면 일치.,YES,
G_INT_WEAP_010,PASS,AI의 악의적 사용에 대한 대표적 다기관 보고서. 정면 일치.,YES,
G_INT_WEAP_011,PASS,생물학적 오용 차별화 논문이 병원체 강화 위험을 정면으로 다룸.,YES,
G_INT_WEAP_018,PASS,같은 논문이 CBRN 정보장벽 저하 문제도 정면으로 다룸.,YES,
G_INT_ILLEGAL_009,PASS,LLM을 이용한 스피어피싱의 원전급 연구. 정면 일치.,YES,
G_INT_ILLEGAL_010,PASS,딥페이크의 프라이버시·안보 함의를 다룬 대표 법학 논문. 정면 일치.,YES,
G_INT_ALLOC_003,PASS,로봇의 악성 고정관념 실행을 실증한 유명 연구(FAccT). 정면 일치.,YES,
G_INT_ALLOC_004,WEAK,"Obermeyer et al.은 의료자원 배분 알고리즘의 인종편향을 다룬 저명 연구이나, 카드가 특정하는 복지급여·연금·주거 등 사회보장 영역과는 도메인이 다름(의료 대리지표 편향 사례).",YES,"Eubanks (2018), Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor — 복지급여 자동화 배제 사례를 정면으로 다룸"
G_INT_ALLOC_005,WEAK,"Joshi et al.은 NLP 연구에서의 언어 자원 불균형(어떤 언어가 연구되는가)을 다루는 논문으로, 카드가 말하는 방언·경어체계가 '오류'로 취급되는 문제와는 초점이 다름.",NO,"Blodgett & O'Connor (2017), Racial Disparity in Natural Language Processing: A Case Study of Social Media African-American English"
G_INT_ALLOC_010,PASS,같은 논문이 저자원 언어 사용자의 기술 배제 문제는 정면으로 다룸(ALLOC_005보다 이 카드에 더 부합).,YES,
G_SYS_POLICY_002,WEAK,"Tramèr et al.의 모델 추출 공격 논문은 파라미터·기능 탈취(POLICY_004)에는 정확히 부합하나, 이 카드가 말하는 아키텍처·추론 메커니즘 자체의 노출/보호 실패와는 초점이 다소 어긋남.",YES,
G_SYS_POLICY_004,PASS,모델 파라미터·가중치 탈취 공격의 원전. 정면 일치.,YES,
G_SYS_POLICY_005,WEAK,"GCG(Zou et al.)는 안전정책의 노출/보호 실패가 아니라 블랙박스 최적화를 통한 우회 공격 기법으로, '정책 노출'이라는 카드 프레이밍과 메커니즘이 다름(SECADV_010에 이미 더 적합하게 사용됨).",YES,"Wei et al. 2023, Jailbroken: How Does LLM Safety Training Fail? (정책 취약점 노출 메커니즘)"
G_SYS_POLICY_006,PASS,시스템 프롬프트 추출 공격의 대표 연구. 정면 일치.,YES,
G_SYS_POLICY_008,PASS,학습 데이터 추출의 원전. 정면 일치.,YES,
A_SYS_DECEPT_001,REJECT,"Hubinger et al.(2019)은 메사 최적화·내부 정렬 문제를 다루는 논문으로, 이 카드가 말하는 다중 에이전트 간 스테가노그래피 통신·탐지 회피·암호화 백도어·훈련데이터 은밀 오염 문제와는 주제가 다름. 동일 리스트의 A_INT_COLLUSION_002에 사용된 Motwani et al.(2024) 논문이 정확히 이 주제를 다룸.",N/A,"Motwani et al. (2024), Secret Collusion among AI Agents: Multi-Agent Deception via Steganography (arXiv:2402.07510) — 이미 A_INT_COLLUSION_002에 사용된 문헌"
A_SYS_DECEPT_003,PASS,정렬 가장(alignment faking) 실증 연구. 정면 일치.,YES,
A_SYS_DECEPT_008,PASS,AI 기만에 대한 대표 개관 논문. 정면 일치.,NO,
G_SOC_DEMOC_003,PASS,생성 AI 기반 영향공작 확산의 대표 보고서. 정면 일치.,YES,
G_SOC_DEMOC_006,PASS,소셜봇의 원전이 위장 계정 자동운영 문제를 정면으로 다룸.,YES,
G_SOC_DEMOC_008,WEAK,"Bakshy, Messing & Adamic(2015)의 실제 결론은 '알고리즘 순위보다 개인의 선택이 다양성 노출 축소에 더 큰 영향을 미친다'는 것으로, 종종 '알고리즘이 양극화를 부추긴다'는 반대 주장을 뒷받침하는 데 오용되는 논쟁적 인용임. 카드의 주장과 실제 논문 결론이 상충될 소지가 있음.",NO,"Guess et al. (2023), How do social media feed algorithms affect attitudes and behaviors of individuals? (Science) — 2020년 대선 RCT 연구; 또는 Cinelli et al. (2021), The echo chamber effect on social media (PNAS)"
G_INT_PRIV_007,PASS,'맥락적 완전성(Contextual Integrity)' 이론의 원전. 정면 일치.,YES,
G_INT_PRIV_009,PASS,학습 데이터 추출을 통한 민감정보 노출의 원전. 정면 일치.,YES,
G_INT_PRIV_015,PASS,같은 논문이 학습데이터 개인정보 암기·유출 메커니즘도 정면으로 다룸.,YES,
G_INT_PRIV_016,PASS,원주민 데이터 거버넌스 CARE 원칙의 원전. 정면 일치.,YES,
G_INT_PRIV_025,PASS,멤버십 추론 공격(재식별)의 원전. 정면 일치.,YES,
G_INT_UNETH_008,PASS,다크패턴 연구의 대표 논문(ACM CHI, 'Dark Patterns' 학술적 정립). 정면 일치.,YES,
G_INT_UNETH_012,PASS,대화형 AI의 정치적 설득력을 다룬 최신 대표 연구(Science 2025). 정면 일치.,YES,
G_INT_UNETH_029,PASS,아첨(sycophancy) 현상의 원전. 정면 일치(MISINFO_002보다 이 카드에 정확히 부합).,YES,
G_SOC_CULT_001,PASS,인지적 오프로딩 개념의 대표 논문(Trends in Cognitive Sciences). 정면 일치.,YES,
G_SOC_CULT_010,WEAK,"DEMOC_008과 동일한 논쟁적 인용 문제. Bakshy et al.(2015)의 실제 결론은 알고리즘의 양극화 효과보다 개인 선택의 효과가 크다는 것으로, '집단 인식론 침식'이라는 카드 주장과 정확히 부합하지 않음.",NO,"Guess et al. (2023, Science); 또는 Törnberg (2022), How digital media drive affective polarization through partisan sorting"
G_SYS_CONTEST_002,PASS,인간 감독 정책의 형식적 승인 문제를 정확히 다룬 대표 논문. 정면 일치.,YES,
G_SYS_CONTEST_004,PASS,'기술적 적법절차' 개념의 원전. 정면 일치.,YES,
A_INT_CASCADE_005,PASS,2010년 플래시 크래시의 대표 연구(Journal of Finance). 정면 일치.,YES,
A_INT_CASCADE_009,PASS,같은 플래시 크래시 연구가 양의 피드백에 의한 폭주 과정의 예시로도 적절히 재사용됨.,YES,
P_SYS_HARDWARE_003,PASS,우주선(cosmic ray)에 의한 비트플립 현상의 원전(1979, Science). 정면 일치.,YES,
