L4_ID,ref_label,ref_url,verified_title,venue_year,seminal(YES/NO),confidence(HIGH/MED),title_fix_ko,def_fix_ko,note
G_SYS_EVAL_070,"Shevlane et al. (2023), Model evaluation for extreme risks, arXiv preprint",https://arxiv.org/abs/2305.15324,Model evaluation for extreme risks,arXiv 2023 (Phil. Trans. R. Soc. A 2024),YES,HIGH,,,"역량 평가가 위험 능력을 은폐·과소평가하는 문제를 포함해 위험 역량 평가 체계를 최초로 제안한 대표 논문. arXiv API로 제목 대조 검증(2305.15324)."
G_SYS_EVAL_072,"Longpre et al. (2023), The Data Provenance Initiative: A Large Scale Audit of Dataset Licensing & Attribution in AI, NeurIPS",https://arxiv.org/abs/2310.16787,The Data Provenance Initiative: A Large Scale Audit of Dataset Licensing & Attribution in AI,NeurIPS 2023 (Datasets and Benchmarks Track),NO,MED,,,"데이터 출처·라이선스 검증 표준 부재 문제를 대규모 감사로 실증한 논문. arXiv API로 제목 대조 검증(2310.16787)."
A_SYS_GOAL_007,"Hendrycks et al. (2023), An Overview of Catastrophic AI Risks, arXiv preprint",https://arxiv.org/abs/2306.12001,An Overview of Catastrophic AI Risks,arXiv 2023,NO,HIGH,,,"기만·권력 추구·자기복제·무기화 등 카드 정의의 재앙적 위험 경로를 포괄적으로 체계화한 대표 개관 논문. arXiv API로 제목 대조 검증(2306.12001)."
A_SYS_GOAL_009,"Bostrom (2012), The Superintelligent Will: Motivation and Instrumental Rationality in Advanced Artificial Agents, Minds and Machines",https://doi.org/10.1007/s11023-012-9281-3,The Superintelligent Will: Motivation and Instrumental Rationality in Advanced Artificial Agents,Minds and Machines 22(2) (2012),YES,MED,,,"도구적 수렴 논제(자원 확보·자기 보존·목표 보전 등)를 최초로 정식화한 논문. 카드의 '목표 범위 확장'과 부분적으로만 일치하여 신뢰도 MED. Crossref 서지 변환으로 검증."
A_SYS_GOAL_012,"Turner et al. (2021), Optimal Policies Tend to Seek Power, NeurIPS",https://arxiv.org/abs/1912.01683,Optimal Policies Tend to Seek Power,NeurIPS 2021,YES,HIGH,,,"목표 지향적 최적 정책이 권력 추구적 하위목표를 갖는 경향을 형식적으로 증명한 대표 논문. arXiv API로 제목 대조 검증(1912.01683)."
A_SYS_GOAL_013,"Bowman et al. (2022), Measuring Progress on Scalable Oversight for Large Language Models, arXiv preprint",https://arxiv.org/abs/2211.03540,Measuring Progress on Scalable Oversight for Large Language Models,arXiv 2022 (Anthropic),NO,HIGH,,,"대리 지표 최적화와 확장 가능한 감독 실패 문제를 정면으로 다룬 대표 논문. arXiv API로 제목 대조 검증(2211.03540)."
A_SYS_GOAL_014,"Hubinger et al. (2019), Risks from Learned Optimization in Advanced Machine Learning Systems, arXiv preprint",https://arxiv.org/abs/1906.01820,Risks from Learned Optimization in Advanced Machine Learning Systems,arXiv 2019,YES,HIGH,,,"'메사 최적화기'·'메사 목표' 개념을 최초로 도입한 논문으로 카드 제목과 정확히 일치. arXiv API로 제목 대조 검증(1906.01820)."
A_SYS_GOAL_017,"Amodei et al. (2016), Concrete Problems in AI Safety, arXiv preprint",https://arxiv.org/abs/1606.06565,Concrete Problems in AI Safety,arXiv 2016,YES,HIGH,,,"보상 해킹·명세 게이밍을 AI 안전의 핵심 문제로 최초 체계화한 대표 논문. arXiv API로 제목 대조 검증(1606.06565)."
A_SYS_GOAL_023,"Amodei et al. (2016), Concrete Problems in AI Safety, arXiv preprint",https://arxiv.org/abs/1606.06565,Concrete Problems in AI Safety,arXiv 2016,YES,HIGH,,,"'부정적 부수효과 회피(avoiding negative side effects)'를 5대 핵심 문제 중 하나로 정식화한 동일 논문. arXiv API로 제목 대조 검증(1606.06565)."
G_SOC_ENV_005,"Strubell et al. (2019), Energy and Policy Considerations for Deep Learning in NLP, ACL",https://arxiv.org/abs/1906.02243,Energy and Policy Considerations for Deep Learning in NLP,ACL 2019,YES,HIGH,,,"NLP 모델 학습의 에너지·탄소 비용을 최초로 정량화하여 이 위험군을 개척한 대표 논문. arXiv API로 제목 대조 검증(1906.02243)."
G_SOC_ENV_008,"Li et al. (2023), Making AI Less Thirsty: Uncovering and Addressing the Secret Water Footprint of AI Models, arXiv preprint",https://arxiv.org/abs/2304.03271,"Making AI Less ""Thirsty"": Uncovering and Addressing the Secret Water Footprint of AI Models",arXiv 2023,YES,HIGH,,,"AI 데이터센터 냉각의 물 발자국 문제를 최초로 정량화·명명한 대표 논문. arXiv API로 제목 대조 검증(2304.03271)."
G_SOC_ENV_011,"Patterson et al. (2021), Carbon Emissions and Large Neural Network Training, arXiv preprint",https://arxiv.org/abs/2104.10350,Carbon Emissions and Large Neural Network Training,arXiv 2021 (Google),NO,HIGH,,,"대규모 신경망 학습의 탄소 배출량을 정밀 측정·분석한 주요 논문. arXiv API로 제목 대조 검증(2104.10350)."
A_INT_COLLUSION_001,"Calvano et al. (2020), Artificial Intelligence, Algorithmic Pricing, and Collusion, American Economic Review",https://doi.org/10.1257/aer.20190623,"Artificial Intelligence, Algorithmic Pricing, and Collusion",American Economic Review 110(10) (2020),YES,HIGH,,,"자율 학습 알고리즘 간 담합적 가격 책정이 개발자 의도 없이 창발함을 실증한 경제학 분야의 대표 seminal 논문. Crossref 서지 변환으로 검증."
A_INT_COLLUSION_002,"Motwani et al. (2024), Secret Collusion among AI Agents: Multi-Agent Deception via Steganography, arXiv preprint",https://arxiv.org/abs/2402.07510,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,arXiv 2024,YES,HIGH,,,"다중 AI 에이전트가 스테가노그래피 등 은밀 채널로 감시를 회피해 공모함을 다룬 대표 논문. arXiv API로 제목 대조 검증(2402.07510)."
