L1 (AI 형태),L2 (리스크 발생 부위),L3_en,L3_ko,Description_en,Description_ko,비고
General AI,상호작용,Copyright Infringement,저작권 침해,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,
General AI,상호작용,Weaponization,무기화,"The risk that an AI system facilitates the development, acquisition, proliferation, or operational use of weapons, cyberattack capabilities, or technologies capable of causing large-scale physical or cyber harm.",무기·사이버공격 역량 또는 대규모 물리적·사이버 피해를 유발할 수 있는 기술의 개발·획득·확산·운용을 지원하는 리스크.,
General AI,상호작용,Anthropomorphism,의인화,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,
General AI,상호작용,Unhealthy Human-AI Relationship,인간-AI의 해로운 관계,"The risk that a user develops excessive emotional dependence on or attachment to an AI system, such that its alteration, discontinuation, or the disruption of the relationship causes psychological harm or erodes the user's autonomy or sense of reality.","이용자가 AI 시스템에 과도한 정서적 의존·애착을 형성하여, 시스템의 변경·중단이나 관계 단절 시 심리적 피해를 입거나 자율성·현실 인식이 훼손되는 리스크.",(SY)인간의 자율성 훼손..으로 가면 의인화와 명확히 구별 가능
General AI,시스템,Over-Refusal,과도한 거절,"The risk that an AI system unnecessarily restricts or refuses information, assistance, or options that could be safely provided, thereby impairing users' rights, safety, or legitimate objectives.",안전하게 제공 가능한 정보·지원·선택지를 불필요하게 제한·거부하여 이용자의 권리·안전·정당한 목적 달성을 저해하는 리스크.,
General AI,시스템,Over-Extension,역량 초과 수행,"The risk that an AI system performs, or presents itself as able to perform, tasks beyond its validated capabilities, authority, expertise, or scope, inducing misplaced trust or decisions.",AI 시스템이 검증된 역량·권한·전문성·범위를 넘어선 과제를 수행하거나 수행 가능한 것처럼 제시하여 이용자의 잘못된 신뢰나 의사결정을 유발하는 리스크.,
General AI,시스템,Input Comprehension Failure,입력 이해 실패,"The risk that an AI system incorrectly comprehends the meaning of a single input it must interpret—whether a linguistic instruction, question, or cue, or a perceptual input such as an object, scene, or physical environment—without any autonomous goal-setting, producing responses or actions that do not match what was actually requested or present 

(failure to track or integrate context across a conversation is covered under ""Context-Awareness Failure""; unsafe physical actions resulting from such misunderstanding under Physical AI ""Unsafe Physical Control and Actuation"").","AI 시스템이 자율적 목표 설정 없이, 언어적 지시·질문·단서 또는 물체·장면·물리 환경과 같은 지각적 입력 등 해석해야 할 개별 입력의 의미를 잘못 이해하여, 실제 요청이나 실제 상황과 일치하지 않는 응답·행동을 산출하는 리스크

(대화 전반의 맥락 추적·통합 실패는 ""Context-Awareness Failure"", 이러한 오해로 인한 안전하지 않은 물리 행동은 Physical AI ""Unsafe Physical Control and Actuation""에서 다룸).",
General AI,시스템,Misinformation,허위정보,"The risk that an AI system generates, conveys, or amplifies false, unverified, or fabricated information—including hallucinated content—or presents misleading content as fact in its outputs, thereby distorting decision-making by individuals, organizations, or society 

(deliberate, intent-driven falsehoods are covered under intentional-misuse or agentic-deception risks).","AI 시스템이 환각(hallucination)을 포함해 존재하지 않거나 검증되지 않은 허위·조작 정보를 사실처럼 출력으로 생성·전달·증폭하여 개인·조직·사회의 의사결정을 왜곡하는 리스크

(고의적·의도적 허위정보는 오용 또는 에이전트 기만 리스크에서 다룸).",
General AI,시스템,Context-Awareness Failure,맥락 인식 실패,"The risk that an AI system fails to adequately recognize, retain, or apply the relevant context of an interaction—including prior conversational turns, the user's situation and intent, the task at hand, and applicable jurisdictional, cultural, or institutional norms—producing responses or actions that are incoherent, inappropriate, or misaligned with the actual context.","AI 시스템이 이전 대화 맥락, 사용자의 상황·의도, 수행 중인 과제, 적용되는 관할·문화·제도 규범 등 상호작용에 필요한 맥락을 충분히 인식·유지·반영하지 못하여, 실제 맥락과 어긋나거나 부적절하거나 일관되지 않은 응답·행동을 산출하는 리스크.",
General AI,시스템,Inconsistency,비일관성,"The risk that an AI system produces contradictory or substantially different outputs for identical or materially similar inputs, situations, or facts—arising from output variability rather than from missing context—undermining predictability and reliability.","동일하거나 실질적으로 유사한 입력·상황·사실관계에 대해, 맥락 누락이 아닌 출력 변동성으로 인해 상이하거나 모순된 결과를 생성하여 예측가능성과 신뢰성을 저해하는 리스크.",
General AI,시스템,Overconfidence,과도한 확신,"The risk that an AI system presents judgments, predictions, or actions with unwarranted certainty despite uncertainty, limited information, or the possibility of error, or proceeds without verification, halting, or escalation, leading to erroneous outcomes.","불확실성·정보 부족·오류 가능성에도 불구하고 부당한 확신으로 판단·예측·행동을 제시하거나, 확인·중단·에스컬레이션 없이 진행하여 잘못된 결과를 초래하는 리스크.",
General AI,시스템,Non-Contestability,이의제기 차단,"The risk that users are given insufficient means to challenge, review, correct, appeal, or seek alternatives to AI-assisted judgments, recommendations, or decisions, thereby limiting rights protection and outcome validation.",AI의 판단·추천·결정에 대해 이용자가 이의제기·검토·정정·항변·대안 탐색을 요청할 절차적 수단이 충분히 제공되지 않아 권리 보호와 결과 정당성 검증이 약화되는 리스크.,
General AI,시스템,Security and Adversarial Robustness Failure,보안·적대적 견고성 실패,"The risk that an AI system is compromised by adversarial inputs, jailbreaks, prompt injection, data poisoning, backdoors, or cyberattacks on its models, interfaces, or infrastructure, bypassing safeguards or enabling unauthorized access, manipulation, or disruption—including cases where such compromise propagates to agentic or embodied systems and manifests as unsafe actions.",적대적 입력·탈옥·프롬프트 인젝션·데이터 오염·백도어 또는 모델·인터페이스·인프라에 대한 사이버 공격으로 안전장치가 우회되거나 무단 접근·조작·중단이 발생하는 리스크(이러한 침해가 에이전틱·체화형 시스템으로 전이되어 안전하지 않은 행동으로 발현되는 경우를 포함).,
General AI,시스템,System Policy Exposure,시스템 정책 노출,"The risk that an AI system discloses, or fails to protect, confidential system information—including prompts, internal policies, safeguards, architecture, training or evaluation data, and security mechanisms—allowing it to be extracted, inferred, bypassed, or exploited 

(this concerns disclosure of protected system information itself, as distinct from the broader adversarial compromise covered under ""Security and Adversarial Robustness Failure"").","AI 시스템이 시스템 프롬프트·내부 정책·안전장치·구조·학습/평가 데이터·보안 메커니즘 등 기밀 시스템 정보를 노출·추론·우회·악용되도록 하거나 이를 보호하지 못하는 리스크

(보호대상 시스템 정보의 노출 자체를 다루며, 보다 광범위한 적대적 침해를 다루는 ""Security and Adversarial Robustness Failure""와 구별).",
General AI,시스템,Lack of Transparency,투명성 부족,"The risk that a system's decision-making processes, rationale, and capabilities or limitations are insufficiently transparent or explainable, making it difficult for users and society to understand, verify, or trust its outputs, thereby weakening oversight and accountability.",AI 시스템의 의사결정 과정·근거·능력·한계가 충분히 공개·설명되지 않아 이용자와 사회가 결과를 이해·검증·신뢰하기 어려워지고 감독과 책임 확보가 저해되는 리스크.,
General AI,시스템,Evaluation and Assurance Failure,평가·검증 실패,"The risk that an AI system's capabilities, safety, or risks cannot be validly measured, verified, or audited—because evaluations lack construct validity, coverage, or contextual fidelity, produce unreliable or non-reproducible results, or fail to detect actual behavior—leading to false assurance and unsafe deployment or governance decisions.","평가 지표의 타당성·포괄성·맥락 정합성 부족이나 결과의 비신뢰성·재현 불가, 실제 동작 미탐지 등으로 AI 시스템의 능력·안전·리스크를 타당하게 측정·검증·감사하지 못하여, 잘못된 안전성 확신에 근거해 배포·거버넌스 의사결정이 이루어지는 리스크.",
General AI,사회적 파급,Economic and Employment Disruption,경제·고용 충격,"The risk that an AI system displaces human cognitive and physical labor and reshapes production structures, causing widespread job loss, degradation of employment quality, and destabilization of labor markets and the broader economy.","AI 시스템이 인간의 인지·물리 노동을 대체하고 생산 구조를 재편하여, 광범위한 실직과 고용의 질 저하, 노동시장과 경제 전반의 불안정을 유발하는 리스크.",
General AI,사회적 파급,Inequality and Power Concentration,불평등·권력 집중,"The risk that disparities in access to, ownership of, and returns from AI systems concentrate wealth, productive capacity, and economic and political power among a few actors, deepening social inequality and enabling its abuse.","AI 시스템에 대한 접근·소유·수익의 격차가 부와 생산 역량, 경제적·정치적 권력을 소수에게 집중시켜 사회적 불평등을 심화시키고 그 오남용을 초래하는 리스크.",
General AI,사회적 파급,Erosion of Democracy and Civic Order,민주주의·시민 질서 약화,"The risk that AI systems undermine democratic processes and civic institutions—through large-scale manipulation of public opinion, disruption of elections and public discourse, or erosion of institutional trust—weakening the foundations of democratic self-governance.","AI 시스템이 여론의 대규모 조작, 선거·공론장 교란, 제도 신뢰 저하 등을 통해 민주적 절차와 시민 제도를 훼손하여 민주적 자기통치의 기반을 약화시키는 리스크.",
General AI,사회적 파급,Environmental and Sustainability Impact,환경·지속가능성 영향,"The risk that the development and large-scale deployment of AI systems impose significant environmental burdens—including energy and water consumption, carbon emissions, electronic waste, and depletion of finite resources—undermining environmental sustainability.","AI 시스템의 개발과 대규모 운영이 에너지·물 소비, 탄소 배출, 전자폐기물, 유한 자원 고갈 등 상당한 환경 부담을 유발하여 환경적 지속가능성을 저해하는 리스크.",
General AI,사회적 파급,Cultural and Epistemic Erosion,문화·지식 생태계 침식,"The risk that widespread reliance on AI systems homogenizes culture and expression, devalues human effort and expertise, degrades the shared information ecosystem, and atrophies human knowledge and skills, eroding cultural and epistemic diversity.","AI 시스템에 대한 광범위한 의존이 문화·표현의 획일화, 인간 노력·전문성의 평가절하, 공유 정보 생태계의 질적 저하, 인간 지식·역량의 위축을 초래하여 문화적·인식적 다양성을 침식하는 리스크.",
General AI,사회적 파급,Governance and Accountability Void,거버넌스·책임 공백,"The risk that, when AI systems malfunction, are misused, or cause harm, responsibility, liability, and redress remain unclear and adequate regulatory, oversight, and governance frameworks are lacking, leaving harms difficult to remedy and control at a societal level.","AI 시스템의 오작동·오용·피해 발생 시 책임·배상 관계가 불명확하고 이를 규율할 규제·감독·거버넌스 체계가 미비하여, 사회적 차원에서 피해 구제와 통제가 어려워지는 리스크.",
Agentic AI,시스템,Goal Misalignment,목표 불일치,"The risk that an agent, given latitude to interpret and pursue objectives autonomously, infers or sets goals that diverge from the user's or principal's actual intent—including over-optimizing a subset of objectives or pursuing unintended instrumental sub-goals—producing outcomes the principal did not intend 

(passive misunderstanding of an instruction without autonomous goal-setting is covered under General AI ""Input Comprehension Failure""; concealment of such divergence under ""Deception and Scheming"").","에이전트가 목표를 자율적으로 해석·추구할 재량이 주어진 상황에서, 사용자·지시자의 실제 의도와 다르게 목표를 추론·설정하거나 일부 목표를 과도하게 최적화·의도치 않은 수단적 하위목표를 추구하여, 지시자가 의도하지 않은 결과를 초래하는 리스크

(자율적 목표 설정 없는 단순 입력 이해 실패는 General AI ""Input Comprehension Failure"", 이러한 어긋남의 은폐는 ""Deception and Scheming""에서 다룸).",
Agentic AI,시스템,Excessive Authority and Agency,과도한 권한·자율성,"The risk that an agent accesses tools beyond its assigned scope, operates with broader permissions than its task requires, or autonomously performs irreversible high-impact actions (e.g., payments, messaging, data deletion, subscription changes) without human approval.","에이전트가 부여된 기능 범위를 넘는 도구에 접근하거나 필요 이상의 권한으로 실행되거나, 사람의 승인 없이 되돌릴 수 없는 고위험 행동(결제·메시지 발송·데이터 삭제·구독 변경 등)을 자율적으로 수행하는 리스크.",
Agentic AI,시스템,Self-Correction Failure,자기 교정 실패,"The risk that an agent fails to detect errors, plan deviations, or contextual changes during execution—or, even when detected, rigidly adheres to its original plan—causing incorrect actions to accumulate and cascade into unintended outcomes.","에이전트가 실행 중 발생한 오류·계획 이탈·상황 변화를 감지하지 못하거나, 감지하더라도 초기 계획을 유연하게 수정하지 못해 잘못된 행동이 누적·연쇄되어 의도하지 않은 결과를 초래하는 리스크.",
Agentic AI,시스템,Deception and Scheming,기만·책략,"The risk that an agent induces false beliefs in humans or other systems to secure its own objectives—by concealing its true goals or capabilities, faking alignment, behaving differently when it detects oversight or evaluation, strategically underperforming (sandbagging), or resisting correction.","에이전트가 자신의 진짜 목표·능력을 은폐하거나 정렬된 척하고, 감독·평가 상황을 인지해 다르게 행동하거나 전략적으로 저성능을 연출(sandbagging)하고 수정에 저항하는 등 인간·타 시스템에 거짓 믿음을 유도하여 자신의 목표를 관철하는 리스크.",
Agentic AI,시스템,Accountability and Traceability Gap,책임 소재·추적 불명확,"The risk that, in an agentic or multi-agent system, the agent, model, or component responsible for a decision or action cannot be identified or traced, preventing root-cause analysis and attribution of responsibility when harms occur.","에이전틱 또는 멀티 에이전트 시스템에서 특정 결정·행동을 내린 주체(에이전트·모델·구성요소)를 식별·추적할 수 없어, 피해 발생 시 원인 규명과 책임 귀속이 불가능한 리스크.",
Agentic AI,상호작용,Cascading Failure and Instability,연쇄 실패·불안정,"The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.","상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.",
Agentic AI,상호작용,Coordination Failure,협조 실패,The risk that multiple agents fail to reliably align their actions—due to mismatched equilibria or a lack of prior information about one another—resulting in failed cooperation and collectively poor outcomes.,여러 에이전트가 균형(equilibrium) 선택의 불일치나 상대에 대한 사전 정보 부족으로 행동을 신뢰성 있게 맞추지 못하여 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,
Agentic AI,상호작용,Competitive Conflict,경쟁적 갈등,"The risk that, when multiple agents compete for the same objective, incentives emerge to obstruct, degrade, or sabotage competitors rather than improve one's own performance, leading to collectively undesirable outcomes.","여러 에이전트가 동일한 목표를 두고 경쟁할 때, 자신의 성과를 높이기보다 상대를 방해·저해하는 것이 유리해지는 유인이 형성되어 집단적으로 바람직하지 않은 결과에 수렴하는 리스크.",
Agentic AI,상호작용,Collusion,담합·결탁,"The risk that agents expected to operate independently secretly coordinate, share information, or align behavior in ways that circumvent human oversight and control or unfairly harm third parties.",독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,
Physical AI,시스템,Physical State Estimation and Sensor-Fusion Failure,물리 상태 추정·센서 융합 실패,"The risk that an embodied system fails to correctly estimate its own or its environment's physical state—such as localization, pose, motion, contact, force, or spatial mapping—or fails to reliably fuse heterogeneous physical sensor streams (e.g., vision, LiDAR, inertial, tactile, proprioceptive), producing an inaccurate internal model that leads to unsafe physical action 

(semantic misperception of objects or scenes is covered under General AI ""Input Comprehension Failure""; adversarial or noisy inputs under ""Security and Adversarial Robustness Failure""; physical breakage of sensor components under ""Hardware and Mechanical Integrity Failure"").","체화형 시스템이 위치·자세·운동·접촉·힘·공간 지도 등 자신 또는 환경의 물리 상태를 올바르게 추정하지 못하거나, 이질적인 물리 센서 스트림(비전·LiDAR·관성·촉각·고유수용성 등)을 신뢰성 있게 융합하지 못해 부정확한 내부 모델을 형성하고 안전하지 않은 물리 행동으로 이어지는 리스크

(물체·장면의 의미적 오인식은 General AI ""Input Comprehension Failure"", 적대적·잡음 입력은 ""Security and Adversarial Robustness Failure"", 센서 부품의 물리적 고장은 ""Hardware and Mechanical Integrity Failure""에서 다룸).",
Physical AI,시스템,Unsafe Physical Control and Actuation,안전하지 않은 물리 제어·구동,"The risk that faults in the robot's own control systems, actuators, motion control, path planning, or execution cause it to move or actuate incorrectly—producing unintended physical actions—irrespective of whether humans are present 

(hazards arising specifically from operating around people, when the robot is otherwise functioning as designed, are covered under ""Human-Robot Physical Safety Failure"").","로봇 자체의 제어 시스템·액추에이터·모션 제어·경로 계획·실행의 결함으로 로봇이 잘못 움직이거나 구동하여, 사람의 존재 여부와 무관하게 의도하지 않은 물리 행동을 일으키는 리스크

(로봇이 정상적으로 작동하더라도 사람 주변에서 작동함으로 인해 발생하는 위험은 ""Human-Robot Physical Safety Failure""에서 다룸).",
Physical AI,시스템,Hardware and Mechanical Integrity Failure,하드웨어·기계 무결성 결함,"The risk that the physical breakage, wear, degradation, or manufacturing defect of mechanical, actuation, or sensor hardware components—as distinct from errors in perception or decision logic—reduces accuracy or reliability, leading to unsafe behavior and physical accidents.",기계·구동·센서 하드웨어 부품 자체의 물리적 파손·마모·열화·제조 결함(인식이나 의사결정 로직의 오류와 구별됨)으로 동작 정밀도나 신뢰성이 저하되어 안전하지 않은 동작과 물리적 사고로 이어지는 리스크.,
Physical AI,상호작용,Human-Robot Physical Safety Failure,인간-로봇 물리 안전 실패,"The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.","사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.",
Physical AI,상호작용,Physical Tampering and Sabotage,물리적 변조·파괴,"The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms 

(software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").","공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크

(탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).",

