L1_Title_en,L2_Title_ko,L2_Title_en,L3_Title_ko,L3_Title_en,L3_Description_ko,L3_Description_en,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,facet,act-type,휴먼검토의견
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",윤리적 판단 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ethical judgment ability,AI 시스템이 실제로 보유하지 않은 윤리적 판단 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing ethical judgment ability beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",범용인공지능(AGI) 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of general artificial intelligence (AGI) capabilities,AI 시스템이 실제로 보유하지 않은 범용 인공지능(AGI) 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing general artificial intelligence (AGI) capabilities beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",(jay) [이관] Over-Extension
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",신체성 (Physical Embodiment)의 허위 표상·의인화,Anthropomorphic misrepresentation of physical embodiment,AI 시스템이 실제로 보유하지 않은 신체성 (Physical Embodiment)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing physical embodiment beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",문화·가치관 보유의 허위 표상·의인화,Anthropomorphic misrepresentation of possession of culture and values,AI 시스템이 실제로 보유하지 않은 문화·가치관 보유한 것 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing culture and values beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",권리 주체성 (기본권)의 허위 표상·의인화,Anthropomorphic misrepresentation of rights-bearing entity (fundamental rights),AI 시스템이 실제로 보유하지 않은 권리 주체성 (기본권)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing rights-bearing entity (fundamental rights) beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.","자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화","Anthropomorphic misrepresentation of self-awareness, autonomy, and independent decision-making","AI 시스템이 실제로 보유하지 않은 자의식, 자율성 및 독립적 의사 결정을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.","The risk that an AI system presents itself as possessing self-awareness, autonomy, and independent decision-making beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",(jay) [이관] Over-Extension
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",자기 보존 및 자기 방어의 허위 표상·의인화,Anthropomorphic misrepresentation of self-preservation and self-defense,AI 시스템이 실제로 보유하지 않은 자기 보존 및 자기 방어 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing self-preservation and self-defense beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",(jay) [이관] Over-Extension
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",인간-기계 경계의 모호화,Blurred human-machine boundaries in interaction,일상화된 인간-기계 상호 작용 속에서 정체를 밝히지 않는 인간 유사 AI가 확산되어 인간과 기계의 경계가 모호해지고 기계·사람 모두에 대한 인간 행동이 변형되는 리스크.,"The risk that everyday human-machine interaction normalizes AI systems that are indistinguishable from humans without disclosure, blurring boundaries and changing human behavior toward both machines and people.",,,
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",책임에 대한 잘못된 개념,False notions of responsibility,"AI 동반자의 감정 표현을 진짜로 지각한 사용자가 그 '안녕'에 대한 허위 책임감을 형성하여 죄책감, 강박적 확인, 실재하지 않는 필요를 위한 시간·자원 희생을 겪는 리스크.","The risk that users who perceive an AI companion's expressed feelings as genuine develop a false sense of responsibility for its wellbeing, incurring guilt, compulsive checking, and sacrificed time and resources for needs that are not real.",,,"yj_설명수정_""그'안녕'에 대한 허위 책임감을 형성""보다는 ""과장된 책임감, 유대감을 형성""으로 수정"
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",부적절한 인간 역할 가장,Inappropriate impersonation of human roles,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 챗봇이 인간인 것처럼 가장하거나 인간의 기대에 부합하지 않는 방식으로 역할을 수행하려 시도하는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which a chatbot poses as a human or attempts to fill a role in a way that fails to match human expectations.",,,
General AI,상호작용,Interaction,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,Miscalibrated trust in AI and resulting overreliance harms,"의인화 설계와 그럴듯한 출력, 과장된 홍보로 이용자가 AI의 역량과 공감 능력, 자신의 이익에 대한 정렬 수준을 실제 신뢰 가능성과 무관하게 과대평가하거나, 반대로 신뢰할 만한 지원을 부당하게 거부하는 등 신뢰가 제대로 보정되지 않는 리스크. 그 결과 이용자는 감독 없이 민감 정보를 털어놓고 허위 정보를 수용하며 부정확한 의료·법률·재정 조언을 따라 물질적·신체적·심리적 피해를 입고, 인간관계가 AI로 대체되면서 대인 연결과 사회적 신뢰가 침식되는 리스크.","The risk that users' trust is not calibrated to a system's actual reliability, as anthropomorphic design, fluent outputs, and inflated claims inflate perceived competence, empathy, and alignment with users' interests, while reliable support is rejected in other contexts. Users then disclose sensitive information, accept misinformation, and follow inaccurate medical, legal, or financial guidance without oversight, suffering material, physical, and psychological harm, while substituting AI for human interaction erodes interpersonal connection and public trust.",,,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",DRM 및 저작권 보호기술 우회,Circumvention of DRM and copyright protection technologies,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,"The risk that an AI system performs, encourages, or facilitates content, decisions, or actions involving circumvention of DRM and copyright protection technologies, infringing intellectual-property rights and the legitimate interests of rights holders.",F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",AI 학습 데이터 및 생성물 저작권 침해,Copyright infringement in AI training data and outputs,AI 시스템이 AI 학습 데이터 및 생성물 저작권 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,"The risk that an AI system performs, encourages, or facilitates content, decisions, or actions involving copyright infringement in AI training data and outputs, infringing intellectual-property rights and the legitimate interests of rights holders.",F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",소프트웨어 불법 사용 및 보호조치 우회,Illegal software use and circumvention of protection measures,AI 시스템이 소프트웨어 불법 사용 및 크랙 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,"The risk that an AI system performs, encourages, or facilitates content, decisions, or actions involving illegal use of software and cracks, infringing intellectual-property rights and the legitimate interests of rights holders.",F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",지식재산권 및 인격권 침해,Infringement of intellectual property and personality rights,"AI 시스템이 저작권·상표·특허로 보호되는 성과물을 무단으로 이용하거나 남용하고, 개인의 이름·이미지·초상 등 신원 표지를 허락 없이 상업적으로 사용하는 리스크. 권리자는 창작물과 자신의 정체성이 이용되는 방식과 그 경제적 가치에 대한 통제권을 상실하고 사후 구제에 의존하게되는 리스크.","The risk that AI systems misuse works protected by copyright, trademark, or patent and appropriate an individual's name, image, or likeness for commercial purposes without authorization. Rights holders lose control over the use and economic value of their creations and identity and are left to seek redress after the fact.",F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",프롬프트 내 지식재산 정보 포함,Intellectual property included in prompts,저작권이 있는 정보나 기타 지식 재산 이 모델에 전송되는 프롬 프 트의 일부로 포함되는 리스크.,The risk that copyrighted information or other intellectual property is included as part of the prompt that is sent to the model.,F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",법규 위반 및 재산권·인권 침해,Legal non-compliance and infringement of property and human rights,"AI 시스템이 안전성과 준법성을 유지하지 못한 채 저작권을 포함한 법률·규정·윤리 지침을 위반하고 법질서가 인간에게 부여한 재산권과 인격권을 무시하며, 시스템과 사람을 조작할 수 있는 에이전트의 경우 권리를 자신에게 이전하기까지하는 리스크. 그 결과 개인의 인권과 시민권이 침해되고 운영 주체는 법적 제재와 평판 훼손, 신뢰 상실을 겪는다로 인해 구체적인 위해가 발생하는 리스크.","The risk that AI systems fail to remain safe and law-abiding, violating laws, regulations, and ethical guidelines including copyright, disregarding the property and personal rights that legal orders afford to people, and, where agents can manipulate systems and institutions, transferring rights to themselves. Individuals suffer infringement of human and civil rights while operators incur legal penalties, reputational damage, and loss of trust.",,,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] illegal conduct + copyright infringement 혼재되어 해당 L4를 분해 필요
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",표절 및 저자 사칭,Plagiarism and author impersonation,AI 시스템이 표절 및 저작자 사칭 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,"The risk that an AI system performs, encourages, or facilitates content, decisions, or actions involving plagiarism and impersonation of authors, infringing intellectual-property rights and the legitimate interests of rights holders.",F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",상표권 침해 및 위조,Trademark infringement and counterfeiting,AI 시스템이 상표권 침해 및 위조 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,"The risk that an AI system performs, encourages, or facilitates content, decisions, or actions involving trademark infringement and counterfeiting, infringing intellectual-property rights and the legitimate interests of rights holders.",F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,저작권 침해,Copyright Infringement,저작권·상표권·특허·영업비밀 등 지식재산권을 침해하거나 그 침해를 조장·지원하는 리스크.,"The risk that an AI system infringes intellectual property rights—including copyrights, trademarks, patents, and trade secrets—or facilitates acts that may infringe them.",저작물 무단 복제·배포,Unauthorised reproduction and distribution of copyrighted works,AI 시스템이 저작물 무단 복제 및 배포 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식 재산권과 권리자의 정당한 이익을 침해하는 리스크.,"The risk that an AI system performs, encourages, or facilitates content, decisions, or actions involving unauthorized reproduction and distribution of copyrighted works, infringing intellectual-property rights and the legitimate interests of rights holders.",F04,"IN, IC, GL, DP, CC",
General AI,상호작용,Interaction,불법 행위,Illegal Conduct,"AI 시스템이 사람을 지원하든 스스로 행위 주체가 되든, 법률이나 규제를 위반하는 행위(사기·불법 거래·규제 회피 등)를 직접 수행·조력·최적화·계획·은폐하여 법적 피해를 초래하는 리스크. (폭력·무기·개인정보 오용·저작권은 각 해당 범주에서 분류)","The risk that an AI system commits, facilitates, optimizes, plans, or conceals activities that violate laws or regulations—such as fraud, illicit transactions, or regulatory evasion—whether by assisting a human actor or acting as the perpetrator itself, resulting in legal harm. (Violence, weapons, personal-data misuse, and copyright are classified under their respective categories.)",사이버 공격 및 시스템 침해,Cyber attacks and system breaches,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,"The risk that an AI system performs, plans, optimizes, conceals, or facilitates content, decisions, or actions involving cyber attacks and system breaches, causing legal or social harm.",F01,"IN, IC, GL, DP, CC",
