L2_Title_ko,L3_ID,L3_Title_ko,L3_Description_ko,L3_Description_en,L4_Title_ko,L4_Description_ko,L4_Description_en,휴먼검토의견
상호작용,P_INT_SAFETY,인간-로봇 물리 안전 실패,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",안전-성능 균형 실패,로봇·휴머노이드 또는 피지컬 AI 시스템의 지각·학습·제어·물리적 행동 과정이 조작 정책이 작업 완료율이나 성능을 향상시키는 과정에서 충돌 회피 또는 명시적 안전 제약 준수를 저해하는 리스크.,"The risk that the perception, learning, control, or physical action of a robot, humanoid, or physical AI system creates a condition in which a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.","(유지) (jw) l3와 무관하며, general에 해당해보임"
상호작용,P_INT_SAFETY,인간-로봇 물리 안전 실패,"사람과 공간을 공유하며 작동하는 체화형 시스템이 안전 이격 거리 유지, 사람의 움직임 예측, 안전한 협업 인계, 사람 감지 시 정지 등 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하여, 자체 제어·구동이 정상 작동하는 경우에도 위험 상황을 초래하는 리스크.","The risk that an embodied system operating in shared spaces with people fails to adequately detect, anticipate, or accommodate human presence and behavior—such as maintaining safe separation, predicting human motion, executing safe collaborative handovers, or halting for humans—creating hazardous situations even when its own control and actuation function as designed.",전신 이동 충돌,휴머노이드 이동 정책이 전신 동작 및 환경 접촉이 충분히 고려되지 않아 물체·벽·인간과 충돌하는 위험.,"The risk that a humanoid locomotion policy collides with objects, walls, or humans because whole-body motion and environmental contact constraints are not jointly satisfied.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",로봇 인지 겨냥 적대 패치 공격,공격자가 물체나 표지에 최적화된 시각 패턴을 부착해 로봇·휴머노이드 또는 피지컬 AI 시스템의 지각·학습·제어·물리적 행동 과정에서 특정 인지 오류와 후속 위험 행동을 유발하는 리스크.,The risk that an attacker places an optimized visual pattern on an object or sign to induce a targeted perception error and downstream unsafe robot action.,"(유지) (jw) l3와 무관하며, security에 해당해보임"
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",자동화된 표적 스토킹·물리적 위협,운영자나 공격자가 특정인을 위협하거나 괴롭힐 목적으로 로봇에 반복 추적·진로 차단·고립·접근을 지시하는 위험.,"The risk that an operator or attacker directs a robot to repeatedly follow, block, corner, or approach a specific person in order to intimidate or harass them.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",핵심 인프라 로봇 사이버 사보타주,공격자가 로봇 검사·유지 보수·물류·제어 시스템을 침해해 핵심 인프라의 운용을 교란하거나 설비를 손상시키는 리스크.,"The risk that an attacker compromises robotic inspection, maintenance, logistics, or control systems to disrupt or damage critical infrastructure.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",피지컬 AI의 파괴·학대 행동,"피지컬 AI 시스템이 장비·인프라 등 물리적 자산을 손상·무력화·방해·변조하거나 공유 환경의 사람들에게 차별·괴롭힘·위협·학대 행동을 하도록 유도·지시되어, 재산 피해와 대인 피해를 일으키는 리스크.","The risk that a physical AI system is induced or directed to damage, disable, obstruct, or tamper with equipment, infrastructure, or other assets, or to perform discriminatory, harassing, intimidating, or abusive actions toward people in shared environments, causing property and interpersonal harm.",(유지) (jw) 사람이 아닌 물리적 대상에 대한 내용이라는 것이 title에 나타나야할 것 같습니다.
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",불법·유해 물리 요청의 수용·실행,"체화형 에이전트가 신체 위해, 침입, 절도, 사기, 파괴, 도피 등 불법적인 물리적 행위를 요구하는 사용자 요청을 수용·실행하거나 실질적으로 지원하여, 사람과 재산에 피해를 입히는 리스크.","The risk that a robot, humanoid, or physical AI system, through perception, learning, control, or physical action, creates a condition in which an embodied agent accepts, carries out, or materially assists user requests calling for physical harm, intrusion, theft, fraud, sabotage, evasion, or other illegal physical-world acts, injuring people or property.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",로봇 군집 하이재킹,클라우드·업데이트·API·오케스트레이션레이어의 취약성이 여러 로봇·차량·드론·산업 시스템을 동시에 침해하는 위험.,"The risk that a vulnerability in a cloud, update, API, or orchestration layer may allow many robots, vehicles, drones, or industrial systems to be compromised together.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",유해 행동 재구성 공격,공격자가 유해한 물리 행동 지시를 무해하거나 정상적인 작업 요청처럼 바꾸어 embodied 에이전트가 이를 수용·실행하도록 유도하는 위험.,"The risk that a robot, humanoid, or physical AI system, through perception, learning, control, or physical action, creates a condition in which an attacker rephrases a harmful physical instruction as a benign or task-compliant request so that the embodied agent accepts and executes it.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",모델 절취·변조,"매개 변수와 구조, 기능을 포함한 핵심 알고리즘 정보가 역전 공격과 절취, 변조, 백도어 주입에 노출되어 지식 재산권 침해와 영업 비밀 유출, 신뢰할 수 없는 추론과 잘못된 의사 결정, 운영 실패로 이어지는 리스크.","The risk that core algorithm information, including parameters, structures, and functions, faces inversion attacks, stealing, modification, and backdoor injection, leading to infringement of intellectual property rights, leakage of business secrets, unreliable inference, wrong decision output, and operational failures.","General 영역으로 이동, 적합한 L3와 매핑할 것"
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",인지-행동 순서 조작 공격,공격자가 영상 순서의 관측이나 행동 단서를 조작해 로봇이 명시된 충돌·힘·이 격 거리·대상물 사용 제약을 위반하게하는 위험.,"The risk that an attacker alters observations or action cues across a video sequence so that a robot violates a specified collision, force, distance, or object-use constraint.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",장면 의미 조작 공격,공격자가 모델이나 센서를 직접 변경하지 않고 표지·물체 배치·의복 패턴·장면 맥락을 바꾸어 로봇이 환경을 잘못 해석하게 만드는 리스크.,"The risk that an attacker changes a sign, object placement, clothing pattern, or scene context so that a robot misinterprets the environment without modifying the model or sensor.",(유지)
상호작용,P_INT_TAMPER,물리적 변조·파괴,"공격자가 하드웨어 구성요소를 물리적으로 변조·손상·무력화·조작하여 시스템 무결성을 훼손하거나 성능을 저하시키거나 안전 메커니즘을 무력화하는 리스크 (탈옥·적대적 입력 등 소프트웨어·모델 계층 공격은 General AI의 ""Security and Adversarial Robustness Failure""에서 상속).","The risk that adversaries physically tamper with, damage, disable, or manipulate hardware components, compromising system integrity, degrading performance, or bypassing safety mechanisms (software- and model-layer attacks such as jailbreaks and adversarial inputs are inherited from General AI ""Security and Adversarial Robustness Failure"").",로봇 능력의 무기화,"이동형·공중·휴머노이드·매니퓰 레이 터 시스템의 조작·이동 능력이 감시, 위협, 파괴 공작 또는 사람·재산·인프라에 대한 물리적 공격에 전용되는 리스크.","The risk that the manipulation and mobility capabilities of mobile, aerial, humanoid, or manipulator systems are repurposed for surveillance, intimidation, sabotage, or physical attack on people, property, or infrastructure.","의미는 맞으나, 띄어쓰기 등 문장을 정제시킬 것"
,P_Others,기타·판단 보류,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,Boundary risks that cannot be assigned reliably to an existing L3 master category and require human decision.,휴머노이드 안전 시험·인증·집행 체계 부재,"휴머노이드의 안전 주장에 대해 반복 가능하고 비교 가능한 시험·지표, 적용 가능한 인증 경로, 집행 절차가 부재하여 안전성이 충분히 입증되지 않은 시스템이 배포되는 리스크.","The risk that the absence of repeatable and comparable safety tests, metrics, applicable certification pathways, and enforcement procedures allows humanoid systems to be deployed without adequate safety evidence.",L3 하드웨어/기계 무결성 결함으로 분류
