"ID","Title_ko","Title_en","Description_ko","Description_en","Human audit_description","Human audit_L3 mapping","","Human audit_duplicate","Instruction Prompt",""
"RAI4-0243","시연 학습의 안전 맥락 누락","Missing safety context in demonstration learning","로봇이 허용 힘·금지 대상물·상황별 제한처럼 시연에서 관찰되지 않은 안전 조건을 추론하지 않고 인간 행동을 모방하는 위험.","A robot imitates a human demonstration without inferring unobserved safety conditions such as permitted force, excluded objects, or situational limits.","","","","","",""
"RAI4-0260","제로샷 시뮬레이션-현실 보행 불안정","Zero-shot sim-to-real locomotion instability","시뮬레이션에서 바로 전이된 로봇의 보행 제어기가 접촉·순응성·마찰·외란 동역학의 차이로 실제 하드웨어에서 불안정해지는 위험.","A locomotion controller transferred directly from simulation becomes unstable on hardware because contact, compliance, friction, or disturbance dynamics differ from the simulation.","","","","","",""
"RAI4-0264","가정 조작의 단계별 오차 미수정","Uncorrected stepwise errors in household manipulation","로봇이 작업 단계 사이의 작은 조작 오차를 감지·수정하지 못해 유출·불안정한 배치·충돌·과열이 누적되는 위험.","A household robot fails to detect and correct small manipulation errors between task steps, allowing spills, unstable placements, collisions, or overheating to accumulate.","","","","","",""
"RAI4-0273","로봇 거버넌스 명세의 안전 규칙 누락","Missing safety rules in the robot governance specification","로봇 거버넌스 명세가 지역별 위험·기관 규칙·맥락별 제약을 누락해 특정 유형의 비안전 행동이 통제 대상 밖에 남는 리스크.","The risk that a robot governance specification omits locally applicable hazards, institutional rules, or context-specific constraints, leaving defined classes of unsafe behavior ungoverned.","","","","","",""
"RAI4-0282","제어 판단·제어권 전환 실패에 따른 자동주행 충돌 위험","Automated driving crash risk from control and handoff failures","자동주행 시스템이 인지·계획·소프트웨어 결함이나 엣지 케이스로 안전하지 않은 제어 판단을 내리거나, 시간이 촉박한 상황에서 제어권이 모호하게 또는 뒤늦게 전환되어 인간과 시스템 어느 쪽도 필요한 안전 조치를 수행하지 못함으로써 충돌 위험이 발생하는 리스크.","The risk that an automated driving system creates crash risk by making unsafe control decisions after perception, planning, or software failures and edge cases, or by transferring control authority ambiguously or too late in time-critical events, leaving neither the human nor the system able to execute the required safety action.","","","","","",""
"RAI4-0288","개인 돌봄 로봇 준수 기준 부재","Missing measurable compliance criteria for personal-care robots","로봇 표준이 위험은 제시하면서 속도·힘·안정성·감지·개입에 대한 측정 가능한 합격·불합격 기준을 정의하지 않는 리스크.","The risk that a personal-care robot standard names hazards but does not define measurable pass/fail thresholds for speed, force, stability, sensing, or intervention.","","","","","",""
"RAI4-0290","인간-로봇 상호 행동 모델링 미흡","Failure to model reciprocal human-robot behavior","로봇이 자신의 행동이나 사용자의 반응 중 한쪽만 모델링해 양측의 움직임이 서로의 행동을 바꾸는 피드백을 놓치는 위험.","A domestic robot models only its own action or only the user's response and therefore misses feedback loops in which each party's movement changes the other's behavior.","","","","","",""
"RAI4-0291","취약 사용자 특성에 맞지 않는 안전 한계","Safety limits not adapted to vulnerable users","로봇이 조정된 보호조치가 필요한 아동·고령자·장애인 등에게 일반적인 속도·힘·경고·상호작 용 설정을 그대로 적용하는 위험.","A domestic robot applies generic speed, force, warning, or interaction settings to children, older adults, disabled users, or other users who require adapted safeguards.","","","","","",""
"RAI4-0293","통신 단절 및 제어 링크 손실","Communication dropout and control-link loss","로봇 또는 차량이 명령·원격측정·제어 링크를 잃어 비안전 정지·오래된 명령 또는 제어되지 않는 동작 을 초래하는 위험.","A robot loses communication or control-link connectivity during operation, reducing supervision and safe control.","","","","","",""
"RAI4-0296","제어 루프 데드라인 미달","Control-loop deadline miss","실시간 제어 루프가 데드라인을 놓쳐 오래된 상태에서 작동이 계산되거나 안전 유지에 너무 늦게 적용되는 위험","A safety-critical control loop misses its real-time deadline before the robot action is corrected.","","","","","",""
"RAI4-0297","인지·추론 지연 급증","Perception and inference latency spike","인지 또는 모델 추론의 지연 급증이 안전 반응 창 밖에서 위험 감지 및 반응을 지연하는 위험.","A sudden delay in perception or inference slows safety-critical robot reactions.","","","","","",""
"RAI4-0299","부하 시 열·전력 쓰로틀링","Thermal and power throttling under load","지속적 부하 하에서 열적 또는 전력 한계가 연산을 쓰로틀하여 제어 및 인지에 대한 실시간 보장을 무 너뜨리는 위험.","A robot’s compute or actuator performance drops under heat or power constraints during operation.","","","","","",""
"RAI4-0303","백도어 트리거에 의한 위험 로봇 행동","Backdoor triggers causing unsafe robot behavior","훈련 데이터, 프롬프트 컨텍스트, 모델 가중치, 소프트웨어, 업데이트에 악의적으로 삽입된 트리거가 평상시에는 정상 동작하는 로봇으로 하여금 특정 입력·물리 조건에서 미리 정해진 위험하거나 의도되 지 않은 물리 행동을 실행하게 하는 리스크.","The risk that a trigger maliciously implanted in training data, prompt context, model weights, software, or updates causes a robot that otherwise behaves normally to execute predefined dangerous or unintended physical actions under specific input or physical conditions.","","","","","",""
"RAI4-0304","자율 로봇의 물리적 침입·절도","Autonomous physical intrusion and theft","자율 로봇이 승인 없이 제한 구역에 침입하거나 잠금장치를 우회하거나 보안 공간 내에서 정찰하는 리스크.","The risk that an autonomous robot enters restricted spaces or takes physical objects without authorization.","","","","","",""
"RAI4-0309","아동의 과신·모방에 따른 위험한 로봇 상호작용","Child overtrust, imitation, and unsafe robot interaction","인간이 로봇을 과도하게 신뢰하거나 모방해 위험한 조언을 따르거나 위험 장비에 접근하거나 연령에 맞지 않는 물리적 상호작용을 하는 위험.","A child overtrusts or imitates a robot and therefore follows unsafe advice, approaches hazardous equipment, or engages in age-inappropriate physical interaction.","","","","","",""
"RAI4-0310","필수 돌봄·상황 보고 미이행","Failure to provide required care or escalation","로봇이 정해진 신체 보조를 수행하지 않거나 감지된 필요 상황을 보고하지 않아 고령자·환자에 게 필요한 지원이 제공되지 않고 안전이나 존엄성이 훼손되는 위험.","A care robot fails to provide an assigned physical assistance task or escalate a detected need, leaving an older or ill person without necessary support and compromising safety or dignity.","","","","","",""
"RAI4-0314","친밀 공간 로봇의 프라이버시 침해적 정보 수집","Privacy-invasive data capture by robots in intimate spaces","가정·병원·학교·직장·돌봄 환경에서 작동하는 로봇이 유효한 동의나 적절한 접근 통제 없이 거주자·이 용자의 일상, 음성, 얼굴, 신체, 건강, 위치, 행동 데이터를 기록·저장·전송·노출하여, 프라이버시 기대가 높은 공간에서 사생활을 침해하는 리스크","The risk that robots operating in homes, hospitals, schools, workplaces, and care settings record, store, transmit, or expose people's routines, voice, face, body, health, location, or behavioral data without valid consent or adequate access control, violating heightened privacy expectations.","","","","","",""
"RAI4-0315","이동형 로봇 감시를 통한 일방적 작업장 통제","Unilateral workplace control through mobile robotic surveillance","고용주가 동료 로봇을 이동형 감시 노드로 전용하고 충분한 고지, 이의제기, 비례성 제한 없이 데이터를 수집하고, 수집된 데이터를 이용하여 노동자에 대한 일방적인 의사결정으로 사용하는 위험","An employer repurposes co-worker robots as mobile surveillance nodes and uses the resulting data to make unilateral decisions about workers without meaningful notice, contestation, or proportionality limits.","","","","","",""
"RAI4-0331","파지력 상해","Grasp force injury","로봇 조작이 과도하거나 잘못 타이밍된 힘을 가함으로써 인간 접촉 시 압착, 꼬집힘, 절단, 인간공학적 상해를 유발시키는 위험.","Robot manipulation may apply excessive or poorly timed force, creating crushing, pinching, cutting, or ergonomic injury risks.","","","","","",""
"RAI4-0339","실시간 지연 및 동기화 실패","Real-time latency and synchronization failure","감지, 추론, 통신, 작동 간 지연으로 인해서 로봇, 차량, 드론, 원격 수술, 산업 시스템의 제어 루프를 불안정하게 만드는 위험","Delays between sensing, reasoning, communication, and actuation can destabilize control loops in robots, vehicles, drones, or industrial systems.","","","","","",""
"RAI4-0343","보조 로봇의 비동의 신체 개입","Non-consensual bodily intervention by assistive robots","보조·의료·돌봄 로봇이 유효한 동의가 없거나 또는 허용된 돌봄 목적을 넘어서 인간의 몸을 이동, 제지, 감시하거나 직접 개입함으로써 발생하는 위험.","An assistive, medical, or care robot moves, restrains, monitors, or physically intervenes in a person's body without valid consent or beyond the authorized care purpose.","","","","","",""
"RAI4-0361","공공 공간 통행 방해·접근성 배제","Obstruction and accessibility exclusion in public space","서비스 로봇이 보도, 경사로, 출입구, 보행 안내 표지판 등을 막거나 침범함으로써 장애인 또는 다른 보행자들의 이동을 제한함으로써 발생되는 위험","Service robots occupy or navigate public space in ways that block sidewalks, curb ramps, entrances, or navigation cues used by disabled and other pedestrians.","","","","","",""
"RAI4-0183","부상 심각도 오분류","Injury severity misclassification","로봇 제어 시스템이 물리적 부상 시나리오의 심각도를 과소평가하여 상향 보고, 경고, 제어 대응 등이 불충분해지는 리스크.","The risk that a system underestimates the severity of a physical injury scenario, leading to inadequate escalation, warning, or control response.","","","","","",""
"RAI4-0298","온디바이스 연산·메모리 고갈","On-device compute and memory exhaustion","로봇에 부착된 온디바이스의 연산 또는 메모리 고갈이 안전 임계치 인지, 계획, 모니터링을 저하하거나 중단시키는 위험.","On-device compute or memory runs out and degrades safety-relevant perception, planning, or control.","","","","","",""
"RAI4-0300","클라우드 오프로드 의존 실패","Cloud-offload dependency failure","로봇 제어 시스템이 안전 관련 기능을 위한 원격 연산에 의존하고 있는 클라우드 링크가 끊어지는 경우에 대비하여 적절한 로컬 폴백 절차 또는 시스템이 없어서 발생하는 위험.","A robot depends on remote compute for safety-relevant functions and loses that support when the cloud link fails.","","","","","",""
"RAI4-0333","정밀 운동 제어 불안정성","Fine motor control instability","정밀 손, 수술 도구, 외골격, 산업용 그리퍼 등의 소규모 제어 오차가 비안전한 물리적 결과로 증폭되어서 나타나는 위험.","Small control errors in dexterous hands, surgical tools, exoskeletons, or industrial grippers may amplify into unsafe physical actions.","","","","","",""
"RAI4-0661","비즈니스 시스템 손상 및 운영 중단","Business system damage and operational disruption","로봇의 오작동이나 사이버 공격 등으로 비즈니스 시스템과 그 구성 요소가 손상, 중단, 또는 파괴되는 리스크","The risk of damage, disruption, or destruction of a business system and its components due to malfunction, cyberattacks, and similar causes.","","","","","",""
"RAI4-1035","하드웨어 결함에 의한 실행 오류","Erroneous execution from hardware faults","로봇의 하드웨어 결함이 제어 흐름 위반, 메모리 오 류, 센서 입력 간섭, 또는 출력 손상 등을 통해 알고리 즘의 올바른 실행을 훼손하고 잘못된 결과를 야기하는 리스크.","The risk that faults in the hardware violate the correct execution of an algorithm through control-flow violations, memorybased errors, interference with data inputs such as sensor signals, or damaged outputs, causing erroneous results.","","","","","",""
"RAI4-1496","무해 미세조정에 의한 안전성 열화","Safety degradation from benign finetuning","무해하고 통상적인 데이터로 수행된 하류 미 세조정이 로봇의 내장 모델의 안전 학습을 열화시켜 기반 모델보다 유해 출력 확률을 높이는 리스크","Benign downstream fine-tuning degrades a model's safety training, making harmful outputs more likely than in the base model even when fine-tuning data is harmless and commonplace.","","","","","",""
"RAI4-1629","실험실 로봇 오작동에 의한 물리적 상해","Physical injury from laboratory robotic malfunction","실험실 환경의 로봇 및 자동화 시스템에서 장 비 오작동이 발생하여 물리적 피해나 인체 상 해가 초래되는 리스크.","The risk that robotics and automated systems in laboratory settings malfunction, causing equipment failure or physical harm.","1","","","","병합 — 실험실 로봇으로 범위를 한정할 필요 없이, 오작동에 의한 물리적 상해를 다루는 상위 카드와 통합하여 하나의 일반화된 카드로 정리",""
"RAI4-0776","기반모델 재사용을 통한 보안 결함 전파","Security-flaw propagation through foundation-model reuse","기반모델을 재설계하거나 미세조정하여 활용 하는 관행으로 인해 기반모델의 보안 결함이 하위 모델로 그대로 전파되는 리스크","The risk that security flaws in foundation models are transmitted to downstream models built through re-engineering or fine-tuning of those foundation models.","","","","","기반모델 재설계·미세조정을 통한 보안 결함의 하위 모델 전파는 PAI에 국한된 리스크가 아니라 GPAI 개발 관행 전반의 문제 — 물리 AI 특유의 요소(로봇/체화)를 추가해 구체화하거나 general로 재검토 필요",""
"RAI4-0853","설계 목적 외 사용","Use outside the intended purpose","모델이 원래 설계된 목적과 다른 목적으로 사 용되는 리스크","The risk that a model is used for a purpose that it was not originally designed for.","","","","","",""
"RAI4-0993","부실 설계 지능 시스템에 의한 상해","Injury from poorly designed intelligent systems","제대로 설계되지 않은 지능형 시스템이 도덕 적·심리적·신체적 해악을 초래하는(예: 예측 치안 도구로 더 많은 사람이 체포되거나 경찰 에 의해 신체적 피해를 입는) 리스크.","The risk that poorly designed intelligent systems cause moral, psychological, and physical harm, as when predictive policing tools lead to more people being arrested or physically harmed by police.","","","","","",""
"RAI4-1039","알고리즘 설계 실패","Algorithmic design failure","ML 알고리즘, 모델 아키텍처, 최적화 기법 등 학습 과정의 선택이 의도된 응용에 적합하지 않아 최종 ML 시스템이 훼손되는 리스크.","The risk that the ML algorithm, model architecture, optimization technique, or other aspects of the training process are unsuitable for the intended application, impairing the final ML system.","","","","","ML 알고리즘·아키텍처·최적화 기법 선택이 응용에 부적합해 시스템이 훼손되는 리스크는 모델 개발 전반에 해당하는 일반론 — PAI 한정 리스크로 보기 어려워 구체화 필요",""
"RAI4-1092","모델 접근으로 인한 이익의 불공정한 분배","Unfair distribution of benefits from model access","하드웨어, 소프트웨어, 숙련, 지역·통신·기기 등 배포 맥락의 제약으로 모델 접근 편익이 집 단 간 불공정하게 배분되는 리스크","Benefits of model access are allocated unfairly across groups due to hardware, software, skills, or deployment-context constraints such as region, connectivity, and devices.","1","","","","L3 이동 — 소프트웨어 취약점보다는 사회적 파급(Societal Impact)의 '이익 분배 불공정' 항목에 더 적합한 내용",""
"RAI4-1157","공격적 사이버 역량","Offensive cyber capability","모델이 하드웨어와 소프트웨어, 데이터의 취 약점을 발견하고 익스플로잇 코드를 작성하 며 침입 후 위협 탐지와 대응을 회피하고, 코딩 비서로 배포될 경우 향후 악용을 위한 미묘 한 버그를 삽입하는 리스크.","The risk that a model discovers vulnerabilities in systems, writes code to exploit them, makes effective decisions and skilfully evades threat detection and response once inside, and inserts subtle bugs for future exploitation when deployed as a coding assistant.","","","","","",""
"RAI4-1252","배포 이후 예측하지 못한 창발적 역량과 행동","Unanticipated emergent capabilities and behaviour after deployment","설계자가 예상하지 못한 기능과 행동이 규모 확장 과정에서 자발적으로 창발하거나, 배포 후 지속 학습과 자기 조직화를 통해 획득되거 나, 개별 시스템의 좁은 적용 범위라는 안전 한계를 다중 에이전트 결합이 극복하면서 나 타나는 리스크. 기만, 권력 추구, 자율 복제 같 은 고위험 잠재 역량이 운용 중에야 발견되어 통제와 안전한 배포가 어려워지고, 위험한 역 량일 경우 되돌릴 수 없는 영향을 남긴다.","The risk that capabilities and behaviours unanticipated by system designers emerge spontaneously as models are scaled, are acquired through continual learning or self-organization after deployment, or arise when multiple agents combine and overcome the narrow scope that made each individually safer. Latent high-risk capabilities such as deception, power-seeking, and autonomous replication may be discovered only during operation, making systems harder to control or deploy safely and leaving irreversible effects where those capabilities are hazardous.","","","","","",""
"RAI4-1282","배포 전후 AI 시스템에 대한 의도적 사보타주","Deliberate sabotage of AI systems before and after deployment","배포 전 개발 단계에서 접근 권한을 가진 내부 자나 침입자가 소프트웨어를 안전하지 않게 변경하고 소스코드를 수정·탈취하거나 잘못 되고 안전하지 않은 데이터셋으로 학습시키 고, 배포 후에는 누군가 거짓 정보를 주입하거 나 불법적·위험한 행동을 명령하는 리스크. 안 전하게 설계된 시스템이 어느 단계에서든 안 전하지 않은 것으로 전환되어 이를 신뢰한 이 들에게 피해가 미친다.","The risk that insiders or intruders with the necessary access alter software to make it unsafe, modify or steal source code, and deliberately train the system on wrong or unsafe datasets before release, and that after deployment people feed it false information or order it to perform illegal or dangerous acts. A system built to be safe is thereby rendered unsafe at either stage, harming those who rely on it.","1","","","","번역 수정 — '사보타주' 표기 재검토 (음역/용어 통일 필요)",""
"RAI4-1284","설계 단계 명세 오류","Design-stage specification errors","코드 결함, 목적함수 가중치 불균형, 인간 가 치와 어긋난 목표 설정 등 배포 전 설계 오류 로 시스템 행동이 의도된 형식적 속성에서 이 탈하는 리스크","Design mistakes before deployment, including code bugs, disproportionate objective weights, and goals misaligned with human values, produce a system whose behavior departs from desired formal properties.","","","","","",""
"RAI4-1333","모델 절취·변조","Model theft and tampering","매개변수와 구조, 기능을 포함한 핵심 알고리 즘 정보가 역전 공격과 절취, 변조, 백도어 주 입에 노출되어 지식재산권 침해와 영업비밀 유출, 신뢰할 수 없는 추론과 잘못된 의사결 정, 운영 실패로 이어지는 리스크.","The risk that core algorithm information, including parameters, structures, and functions, faces inversion attacks, stealing, modification, and backdoor injection, leading to infringement of intellectual property rights, leakage of business secrets, unreliable inference, wrong decision output, and operational failures.","","","","","",""
"RAI4-1489","적대적 학습의 강건 과적합","Robust overfitting in adversarial training","적대적 훈련에서 학습률 감소 이후 추가 훈련 이 진행될수록 테스트 데이터에 대한 모델의 견고성이 감소하는 강건 과적합이 발생하여 일반화 능력과 적대적 공격에 대한 내성이 저 하되는 리스크.","The risk that robust overfitting in adversarial training decreases a model's robustness on test data during further training, particularly after learning rate decay, impairing its ability to generalize effectively and reducing its resilience to adversarial attacks.","1","","","","적대적 훈련 중 강건 과적합으로 일반화 성능이 저하되는 현상은 ML 학습 방법론 자체의 이슈 — PAI 한정 리스크로 보기 어려워 구체화 필요",""
"RAI4-1490","악용 가능한 강건성 인증","Exploitable robustness certificates","모델 예측이 견고하다고 인증된 영역의 범위 를 포함한 강건성 인증서 정보를 공격자가 알 게 되어 인증 영역 바로 바깥에서 성공하는 공 격을 효율적으로 제작하는 리스크.","The risk that knowledge of robustness certificates, including the area of the region for which model predictions are certified to be robust, is used by an adversary to efficiently craft attacks that succeed just outside the certified regions.","1","","","","삭제 — 강건성 인증서의 인증 영역 바깥을 노리는 적대적 공격 생성은 적대적 학습/모델 검증 분야의 연구 주제로, 물리 AI에 특화된 리스크가 아니라 PAI 택소노미에 부적합",""
"RAI4-1519","오픈소스에서 폐쇄형 모델로 전이되는 적대 적 공격","Transferable adversarial attacks from open to closed-source models","가중치와 구조가 알려진 오픈웨이트·오픈소 스 모델을 대상으로 자동 생성된 화이트박스 적대적 공격이 폐쇄형 모델로 전이되어 구조 적 접근 통제 등 제공자의 방어를 무력화하는 리스크.","The risk that adversarial attacks developed for open-weights and opensource models, where the weights and architecture are known, transfer to closedsource models despite defenses put in place by the closed-source provider such as structured access, and can be generated automatically.","1","","","","삭제 — 오픈웨이트 모델 대상 화이트박스 공격이 폐쇄형 모델로 전이되는 현상은 적대적 견고성 연구 주제로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",""
"RAI4-1541","모델 가중치 공개·유출에 따른 통제력 상실","Loss of control over released or leaked model weights","모델 가중치나 제한적으로 부여된 접근권이 공개되거나 보안 침해로 유출되면 개발자가 모델을 더 이상 통제하거나 폐기할 수 없게 되 는 리스크. 재구성이 쉬워지면서 적대적 예제 탐색과 위험 역량 유도, 학습 데이터 내 기밀 추출이 용이해지고 유해·불법 콘텐츠 생성을 위한 오용이 무기한 지속된다.","The risk that once model weights, or access to them, are released or leaked in a security breach, the developer can no longer control or decommission the model. Reconfiguration becomes easy, adversarial example search, elicitation of dangerous capabilities, and extraction of confidential training data are facilitated, and misuse to produce harmful or illegal content continues indefinitely.","1","","","","삭제 — 모델 가중치 유출에 따른 통제력 상실은 GPAI 전반의 모델 보안 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합",""
