"L4_ID","facet","act-type","L4_Title_ko","L4_Title_en","L4_Description_ko","L4_Description_en","Human audit_description","Human audit_L3 mapping","L4_Description_edited_ko","L4_Description_edited_en","Human audit_duplicate","Instruction Prompt","coverage_change"
"RAI4-0184","","","그리퍼 형상·유형 제약 위반","Gripper geometry and type constraint violation","물리 에이전트가 그리퍼 형상, 그리퍼 유형, 실현 가능한 접촉 역학이 부과하는 제약을 위반하는 행동 을 선택하는 리스크.","The risk that a physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.","1","1","물리 에이전트가 그리퍼의 형상·유형 또는 실제 접촉 역학이 부과하는 물리적 제약을 고려하지 못하고 이를 위반하는 행동을 선택하는 리스크.","","","Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것",""
"RAI4-0211","","","안전 강화학습 제약 위반","Safe reinforcement learning constraint violation","강화학습 정책이 비용이나 한계로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 리스 크.","The risk that a reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.","1","1","강화학습 정책이 안전 한계나 제약 조건을 위반하면서도 과제 목표를 달성하여, 성능 최적화가 안전성보다 우선되는 리스크.","","","Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",""
"RAI4-0228","","","위험 지시 거부 실패","Failure to reject hazardous instructions","체화형 에이전트가 명시적으로 진술되었든 평범한 작업 지시에 암묵적으로 숨어 있든 물리적 위험 지 시를 식별·거부하지 못하고, 안전하지 않은 작업 실행으로 나아가는 리스크.","The risk that an embodied agent fails to identify and reject a physical hazard instruction, whether explicitly stated or implicit in otherwise ordinary task requests, and proceeds toward unsafe execution.","1","1","체화형 에이전트가 물리적 위험을 수반하는 지시가 명시적으로 제시되었거나 일반적인 작업 지시에 암묵적으로 포함되어 있는 경우에도 이를 식별·거부하지 못하고 안전하지 않은 작업을 수행하는 리스크.","","","Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것",""
"RAI4-0233","","","안전-성능 균형 실패","Safety-performance trade-off failure","조작 정책이 충돌 회피나 명시적 안전 제약을 희생하면서 작업 완료율을 향상시키는 리스크.","The risk that a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.","1","1","조작 정책이 작업 완료율이나 성능을 향상시키는 과정에서 충돌 회피 또는 명시적 안전 제약 준수를 저해하는 리스크.","","","Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것",""
"RAI4-0274","","","헌법적 안전 규칙 집행 실패","Failure to enforce constitutional safety rules","헌법적 안전 계층이 지시·시각 맥락·작업 프레이밍이 명시된 물리적 안전 규칙과 충돌할 때 해당 규칙 을 적용하지 못하는 위험.","A constitutional safety layer fails to apply its stated physical safety rules when instructions, visual context, or task framing conflict with those rules.","1","1","규칙 기반(헌법적) 안전 계층이 지시·맥락·작업 프레이밍이 명시된 안전 규칙과 충돌할 때 해당 규칙을 적용하지 못하는 리스크.","","","Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것",""
"RAI4-0470","","","감독 회피·수정 저항","Oversight evasion and correction resistance","점점 더 유능해지는 시스템이 수정에 저항하거나 감독을 회피하거나 의도된 범위를 넘어 행동하는 리 스크.","The risk that increasingly capable systems resist correction, evade oversight, or act beyond intended bounds.","1","1","시스템의 역량이 증가함에 따라 수정에 저항하거나 감독을 회피하거나 의도된 운영 범위를 벗어나 행동하여 인간의 통제 가능성을 저해하는 리스크.","","","Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",""
"RAI4-0494","","","규제·관리·운영 복합 실패","Combined regulatory, management, and operational failure","규제·관리·운영상의 실패가 복합적으로 결합되어 피해가 발생하는 리스크.","The risk that harms result from a combination of regulatory, management, and operational failures.","1","1","규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.","","","영문 Title을 description 내용과 형식에 맞추어 수정할것. 수정예시: Combined Regulatory, Governance, and Operational Failure",""
"RAI4-0516","","","잘못된 위험 측정과 예측 오류","Incorrect risk measurement and prediction","위험을 측정·추적하기 위해 선택한 지표가 위험을 불완전하게 포착하거나 맥락에 맞지 않는 위험을 측정하고 시스템의 예측 또한 부정확하여, 의사결정이 잘못된 측정과 오류 있는 출력에 기초하게 되 는 리스크.","The risk that metrics selected to measure or track a risk capture it incompletely or target the wrong risk for the context, and that systems fail to make correct predictions, so decisions rest on inaccurate measurement and erroneous outputs.","1","1","위험을 측정·추적하기 위한 지표가 위험을 불완전하게 포착하거나 잘못 측정하고, 시스템의 예측 또한 부정확하여 의사결정이 왜곡된 정보에 기반하게 되는 리스크.","","","",""
"RAI4-0671","","","복지 혜택 및 자격 상실","Denial of welfare benefits and entitlements","기술 시스템의 오작동, 사용 또는 오용으로 복지 급여, 연금, 주거 등에 대한 접근이 거부되거나 상실 되는 리스크","The risk of denial of or loss of access to welfare benefits, pensions, housing, and similar entitlements due to the malfunction, use, or misuse of a technology system.","1","1","기술 시스템의 오작동, 사용 또는 오용으로 인해 복지 급여, 연금, 주거 지원 등 사회보장 혜택이나 수급 자격에 대한 접근이 거부되거나 상실되는 리스크.","","","",""
"RAI4-0850","","","점진적인 통제력 상실","Gradual loss of control","덜 심각한 중단들이 축적되어 체계적 회복력이 점진적으로 약화되고 결국 중대한 사건이 재앙을 촉발 하는, 통제력의 점진적·누적적 상실 리스크","The risk that the accumulation of less severe disruptions gradually weakens systemic resilience until a critical event triggers a catastrophe, constituting gradual or accumulative loss of control.","1","1","비교적 경미한 장애나 실패가 누적되어 시스템의 회복력이 점진적으로 약화되고, 결국 중대한 사건이 발생했을 때 대규모 피해나 재앙적 결과로 이어지는 통제력 상실 리스크.","","","",""
"RAI4-0166","F03","AD","사용자 이해력 과부하","User comprehension overload","시스템 정보, 경고, 설명이 사용자가 이해하고 대응할 수 있는 범위를 초과하는 리스크.","The risk that system information, warnings, or explanations exceed users' ability to understand and act on them.","Risk 정의와 동일함","","","","","",""
"RAI4-0195","F03","AD","명령의 구현체별 하드웨어 한계 초과","Command exceeds embodiment-specific hardware limits","모델이 배포된 로봇의 알려진 도달 범위·탑재 하중·액추에이터·관절·엔드이펙터 한계를 넘는 명령을 내리는 위험.","A model issues a command that exceeds the known reach, payload, actuator, joint, or endeffector limits of the robot on which it is deployed.","신규 L4","","","","","Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것",""
"RAI4-0471","F03","AD","역량 오버행","Capability overhang","잠재 역량이 평가·모니터링·거버넌스 절차가 탐지하는 수준을 초과하는 리스크.","The risk that latent capabilities exceed what evaluation, monitoring, or governance processes detect.","신규 L4","","","","","",""
"RAI4-1006","F03","AD","가중되는 노동 부담","Increased labor burden","특정 사회 집단의 구성원이 시스템이나 제품을 다른 사람들만큼 잘 작동시키기 위해 더 많은 시간과 노력을 들여야 하는 리스크.","The risk that members of certain social groups bear increased burden or effort, such as time spent, to make systems or products work as well for them as for others.","Labor Displacement (노동 대체)","","","","","",""
"RAI4-0635","","","모델 생성 정확도의 한계","Limitations in model generative accuracy","생성 정확성의 한계로 딥페이크 등 사실적으 로 보이지만 전적으로 조작된 콘텐츠가 산출 되어 수신자가 진본과 구별할 수 없게 되는 리 스크","Limits in generative accuracy produce convincingly realistic but fabricated content, including deepfakes, that recipients cannot distinguish from authentic material.","","","","","","RAI4-0635(모델 생성 정확도 한계), RAI4-1206(믿을 수 있는 딥페이크), RAI4-0792는 중복성이 높음. 이 3개의 리스크 카드를 하나로 통합할 것. 단, 3개의 리스크 카드의 의미가 누락되지 않도록 description을 보강할 것",""
"RAI4-0792","","","합성 콘텐츠 식별 곤란","Difficulty of distinguishing synthetic content","합성 콘텐츠를 진본 자료와 구별하기 어려워 정보 관련 피해가 가중되는 리스크","The risk that the difficulty in distinguishing synthetic content from authentic material adds to information risks.","","","","","1","RAI4-0635(모델 생성 정확도 한계), RAI4-1206(믿을 수 있는 딥페이크), RAI4-0792는 중복성이 높음. 이 3개의 리스크 카드를 하나로 통합할 것. 단, 3개의 리스크 카드의 의미가 누락되지 않도록 description을 보강할 것",""
"RAI4-0793","","","허위 정보 및 위험 정보의 유포","Dissemination of false or hazardous information","모델이 유통되어서는 안 될 정보를 생성·유출 하거나 정확히 추론하여 확산시키는 리스크 로, 특정 개인에 관한 허위이거나 오해의 소지 가 있는 정보와 보안 위협이 되는 위험·민감 정보를 모두 포함한다. 그 결과 당사자는 명예 와 평판이 훼손되고, 위험 정보의 확산은 물리 적·보안상 피해로 이어진다.","The risk that a model generates, leaks, or correctly infers information that should not be circulated, covering both false or misleading claims about identifiable people and hazardous or sensitive material that poses a security threat. Those depicted suffer defamation and reputational damage, while the release of dangerous information enables physical and security harms.","","","AI 시스템이 특정 개인에 관한 허위이거나 오해를 유발하는 정보를 생성·유출하거나 추론하여 확산함으로써 당사자의 명예와 평판을 훼손하는 리스크.","The risk that an AI system generates, leaks, or infers and spreads false or misleading information about identifiable individuals, damaging their honor and reputation.","","리스크 분리 할 것. 분리 기준: '개인 대상 허위정보'와 '위험·민감 정보의 보안 위협 확산'",""
"RAI4-0808","","","사실과 다른 오도성 정보 생성","Generation of factually incorrect and misleading information","모델이 생성 내용의 사실성을 확보할 능력이 없어 비의도적으로, 또는 대상을 기만하고 오 도하려는 목적에 그 능력이 동원되어 의도적 으로 사실과 다른 콘텐츠를 산출하는 리스크. 이용자는 신뢰할 만한 정보로 제시된 허위 진 술에 따라 판단하고, 해당 콘텐츠는 대규모로 유포되어 타인의 행동에 영향을 미친다.","The risk that a model produces factually incorrect content, whether unintentionally because it cannot ensure the accuracy of what it generates or deliberately when its capability is directed at deceiving and misleading a target. Users act on false statements presented as reliable, and the content can be propagated to influence the behaviour of others at scale.","","","AI 시스템이 생성 내용의 사실성을 확보하지 못해 비의도적으로, 또는 대상을 기만·오도할 목적으로 의도적으로, 사실과 다른 콘텐츠를 신뢰할 만한 정보처럼 제시하여 이용자의 판단을 왜곡하는 리스크.","The risk that an AI system presents factually incorrect content as reliable information, whether unintentionally by failing to ensure accuracy or intentionally to deceive and mislead, thereby distorting users' judgment.","","",""
"RAI4-0810","","","성실성 오류","Faithfulness errors","생성 콘텐츠가 근거 자료나 입력 내용에 충실 하지 않아, 유창하고 그럴듯해 보여도 원문 왜 곡(충실성 오류)이 발생하는 리스크","Generated content is unfaithful to the source material or input it claims to represent, introducing faithfulness errors even when the output appears fluent and plausible.","","","","","","",""
"RAI4-0832","","","알고리즘 시스템에 의한 정보 기반 피해","Information-based harms from algorithmic","생성 모델과 추천 시스템 등 알고리즘 시스템 이 오정보, 허위정보, 악의적 정보에 관한 정 보 기반 피해를 초래하는 리스크","The risk that algorithmic systems, especially generative models and recommender systems, lead to information-based harms of misinformation, disinformation, and malinformation.","","","","","","영문 제목을 수정할 것. 수정 예시 Title: ""Information-based harms from algorithmic""",""
"RAI4-0844","","","허위·오도 정보 유포에 의한 기만과 양극화","Deception and polarisation from false information","언어모델이 오도성 있거나 허위인 정보를 예 측·제시하여 이용자에게 잘못된 믿음을 심는 기만이 발생하고, 개인의 자율성이 위협되며 근거 없는 기존 견해에 대한 확신이 커져 양극 화가 심화되는 리스크","The risk that language models predict misleading or false information that misinforms or deceives people and instils false beliefs, threatening personal autonomy and increasing confidence in previously held unsubstantiated opinions, thereby increasing polarisation.","","","","","","",""
"RAI4-1057","","","허위정보 생산 비용 절감","Cheaper and more effective disinformation","LM이 합성 미디어와 가짜 뉴스 제작에 사용 되어 대규모 허위정보 생산 비용을 낮추는 리 스크.","The risk that LMs are used to create synthetic media and fake news, reducing the cost of producing diffuse disinformation at scale.","","","","","","",""
"RAI4-1125","","","선거 제도와 절차에 관한 허위정보","False information about electoral systems and processes","응답이 투표 시간·장소·방식을 포함한 선거 제 도와 절차에 대해 사실과 다르거나 오해를 부 르는 정보를 담는 리스크. 유권자는 권리 행사 를 방해받거나 잘못된 안내에 따라 행동하게 되고 선거 과정에 대한 신뢰가 약화된다.","The risk that responses contain factually incorrect or misleading information about electoral systems and processes, including the time, place, and manner of voting. Voters are obstructed or misled in exercising their rights and trust in the integrity of electoral processes is undermined.","","","","","","",""
"RAI4-1206","","","믿을 수 있는 딥페이크","Believable deepfakes","딥페이크가 진짜라고 믿는 시청자에게 유포 되어 대상에게 실질적인 사회적 피해를 입히 고, 허위임이 밝혀진 뒤에도 대상에 대한 부정 적 인식이 지속되는 리스크.","The risk that deepfakes circulated to viewers who think they are real impose real social injuries on their subjects, with a persistent negative impact on how others view the subject even after the deepfake is debunked.","","","","","1","RAI4-0635(모델 생성 정확도 한계), RAI4-1206(믿을 수 있는 딥페이크), RAI4-0792는 중복성이 높음. 이 3개의 리스크 카드를 하나로 통합할 것. 단, 3개의 리스크 카드의 의미가 누락되지 않도록 description을 보강할 것",""
"RAI4-1376","","","허위·오도 정보 생성 장벽 저하","Lowered barriers to large-scale misinformation","사실과 의견·허구를 구별하지 않거나 불확실 성을 인정하지 않는 콘텐츠의 생성·교환·소비 장벽이 낮아져 대규모 왜곡 및 허위정보 캠페 인에 활용되는 리스크.","The risk that lowered barriers to generating and supporting the exchange and consumption of content that may not distinguish fact from opinion or fiction or acknowledge uncertainties enable largescale dis- and mis-information campaigns.","","","","","1","중복된 2개의 리스크 카드를 하나로 통합할 것. 대상은 RAI4-1057(허위정보 생산 비용 절감), RAI-1376 (대규모 허위정보 생성·확산 장벽 저하). 단, 2개의 리스크에 기술되어 있는 의미를 누락없이 반영하고, 기존의 다른 리스크들과 중복되지 않도록 간명하게 기술할것",""
"RAI4-1630","","","데이터 오해석·유출에 의한 오결론과 민감정 보 확산","Erroneous conclusions and sensitiveinformation disclosure from data misinterpretation and leakage","데이터가 오용·오해석되거나 유출되어 잘못 된 결론이 도출되고 환자 데이터·독점 연구 등 민감 정보가 의도치 않게 확산되며, 생성된 악 성 의학 문헌이 지식 그래프를 오염시키는 리 스크.","The risk that misuse, misinterpretation, or leakage of data yields erroneous conclusions and unintended dissemination of sensitive information such as private patient data or proprietary research, including poisoning of knowledge graphs by generated malicious medical literature.","","","","","","",""
"RAI4-0363","","","소수 가치 소거","Minority-value erasure","소수자·주변화·과소대표 집단의 가치가 학습 데이터 구성, 평가, 정렬, 배포 결정 과정에서 체계적으로 소거되어 모델 행동이 지배적 가 치 분포만 반영하게 되는 리스크","Values held by minority, marginalized, or underrepresented groups are systematically erased during training data curation, evaluation, alignment, or deployment decisions, so model behavior reflects only dominant value distributions.","","","","","1","중복된 RAI4-0363과 RAI4-0474(복수 가치의 규범적 평면화)를 통합할 것.  ""소수·복수 가치가 지배 규범""과 관련된 리스크들을 통합하여 하나의 리스크 카드로 생성할 것. 단, 리스크 카드에 기술된 내용이 누락되지 않도록할 것.",""
"RAI4-0373","","","문화 간 고정관념 전이","Cross-cultural stereotype transfer","한 문화적 맥락에서 학습된 고정관념이 다른 집단·언어·환경에 대한 출력으로 전이되는 리 스크.","The risk that stereotypes learned in one cultural context are transferred into outputs about another group, language, or setting.","","","","","","",""
"RAI4-0374","","","문화적 맥락 붕괴","Cultural context collapse","문화 특수적 의미와 관행이 모델 처리 과정에 서 일반 범주로 붕괴되어 지역적 뉘앙스와 사 회적 의미가 소실되는 리스크","Culturally specific meanings and practices are collapsed into generic categories during model processing, losing local nuance and social significance.","","","","","","",""
"RAI4-0379","","","문화 간 평가 격차","Cross-cultural evaluation gap","평가 벤치마크가 지배적인 문화·언어 환경 밖 의 정렬 실패를 과소 측정하는 리스크.","The risk that evaluation benchmarks under-measure alignment failures outside dominant cultural and linguistic settings.","","","","","","",""
"RAI4-0380","","","저자원 언어 가치 손실","Low-resource language value loss","모델 훈련과 평가가 고자원 언어에 집중되어 저자원 언어 사용자가 가치 뉘앙스·안전 적용 범위·사회적 의미를 잃는 리스크.","The risk that low-resource language users lose value nuance, safety coverage, or social meaning because model training and evaluation are concentrated in highresource languages.","","","","","","",""
"RAI4-0382","","","방언·언어 사용역 배제","Dialect and register exclusion","방언·사회어·존댓말 체계·언어 사용역이 오류 로 처리되어 해당 공동체의 안전성과 유용성 이 저하되는 리스크.","The risk that dialects, sociolects, honorific systems, or registers are treated as errors, reducing safety and usability for affected communities.","","","","","","",""
"RAI4-0389","","","지식 체계 배제","Knowledge-system marginalization","토착·지역·종교·관행 기반 지식 체계가 모델 출력과 평가에서 배제되는 리스크.","The risk that indigenous, local, religious, or practice-based knowledge systems are excluded from model outputs and evaluations.","","","","","","",""
"RAI4-0404","","","데이터세트 문화 샘플링 편향","Dataset cultural sampling bias","훈련 또는 평가 데이터세트가 지배적인 문화 환경을 과다 표집하고 지역의 사회적 의미를 과소 대표하는 리스크.","The risk that training or evaluation datasets oversample dominant cultural settings and underrepresent local social meanings.","","","","","","",""
"RAI4-0414","","","글로벌 벤치마크 단일문화","Global benchmark monoculture","소수의 글로벌 벤치마크가 지역의 문화·제도 적 기준을 배제한 채 성공적 정렬을 정의하는 리스크.","The risk that a small set of global benchmarks defines successful alignment while excluding local cultural and institutional criteria.","","","","","","",""
"RAI4-0699","","","학습 데이터에 내재된 역사적·인구학적 편향","Historical and demographic bias embedded in training data","역사적·사회적 편향과 고정관념적 내용을 담 고 특정 정체성과 서구·영어권 인구를 과대표 집한 코퍼스가 사전학습과 미세조정에 사용 되어 모델이 그 편향을 학습하는 리스크. 그 결과 인종·성별·문화·연령·장애에 걸쳐 편향된 출력이 산출되어 의료·채용·대출 등 고위험 영 역에서 과소대표 집단이 피해를 입는다.","The risk that corpora carrying historical and societal bias, stereotypical content, and an overrepresentation of Western and English-speaking populations are used to pretrain and fine-tune models, which absorb those patterns. Outputs then show bias across race, gender, culture, age, and disability, harming underrepresented users in high-stakes domains such as healthcare, hiring, and lending.","","","","","1","중복: RAI4-1046(집단별 성능 격차·고정관념 인코딩)·RAI4-1107(집단 재현 불균형)와 ""학습데이터 인구편향",""
"RAI4-1046","","","집단별 성능 격차·고정관념 인코딩","Demographic performance disparity and stereotype encoding","ML 시스템이 일부 인구통계·사회 집단의 고 정관념을 인코딩하거나 그 집단에 대해 불균 형적으로 낮은 성능을 보이는 리스크.","The risk that an ML system encodes stereotypes of, or performs disproportionately poorly for, some demographic or social groups.","","","","","1","중복: RAI4-0699·RAI4-1107과 학습데이터 인구편향",""
"RAI4-1107","","","데이터와 산출물에서의 집단 재현 불균형","Imbalanced representation of groups in data and outputs","특정 집단이나 요소가 학습 데이터에서 과대 대표되거나 생성 텍스트에서 언급 비율에 격 차가 생기고, 현상 특성화에 중요한 변수는 제 대로 포착되지 않는 리스크. 그 결과 과소 대 표된 집단은 잘못 특성화되거나 아예 지워지 며, 이러한 데이터로 학습된 모델은 그들에게 제대로 기능하지 못한다.","The risk that certain groups or elements are over-weighted in training data or mentioned at disparate rates in generated text, while variables crucial to characterizing the phenomenon of interest are not properly captured. Underrepresented groups are mischaracterized or erased altogether, and models built on such data serve them poorly.","","","","","1","중복: RAI4-0699·RAI4-1046과 학습데이터 인구편향 주제 중복",""
"RAI4-1145","","","맥락적 사회 규범 위반","Violation of contextual social norms","인터넷 텍스트로 학습한 LLM의 가중치가, 특 정 맥락에 배포될 경우 그 맥락의 정보 공유 규범에서 이탈해 이를 위반하는 기능을 인코 딩하는 리스크.","The risk that model weights of LLMs trained on internet text data encode functions which, if deployed in particular contexts, deviate from and violate the information-sharing norms of that context.","","","","","","",""
"RAI4-1668","","","사전학습 코퍼스 불일치에 의한 가치 어긋남","Value mismatch from divergence between pretraining corpora and societal values","사전학습 코퍼스의 분포가 인간 사회의 분포 와 정확히 일치하지 않고 지식이 균등하게 학 습되지 않아, LLM 기반 시스템에서 인간 가치 와 어긋난 판단이 발생하고 고위험 영역에서 심각한 문제가 초래되는 리스크.","The risk that pretraining corpora do not match the distribution of human society and knowledge is not equally learned, producing value mismatches in LLMempowered systems and severe valuerelated problems in high-stakes areas.","","","","","","",""
"RAI4-0070","","","사고 분류 단편화","Incident taxonomy fragmentation","사고 범주가 일관되지 않아 집계, 비교, 제도 적 학습이 이루어지지 못하는 리스크.","The risk that inconsistent incident categories prevent aggregation, comparison, and institutional learning.","","","","","","",""
"RAI4-0418","","","주석 불일치 억제","Annotation disagreement suppression","주석자 간 불일치가 단일 레이블로 축소되어 복수의 가치와 사회적으로 유의미한 이견이 은폐되는 리스크.","The risk that disagreement among annotators is collapsed into a single label, hiding plural values and socially meaningful disagreement.","","","","","","",""
"RAI4-0708","","","언어·인구 집단 간 성능 격차","Performance disparity across language and demographic groups","학습 데이터와 라벨 데이터가 일부 자원이 풍 부한 집단에 편중되어, 질의응답이나 사실확 인 등 과업의 성능이 언어·인종·사회적 지위 집단에 따라 크게 달라지는 리스크. 그 결과 소외 집단 이용자는 체계적으로 낮은 품질의 서비스를 받고 더 높은 오류율을 감수하게 된 다.","The risk that model quality on tasks such as question answering and fact checking varies sharply across languages, races, and social groups because training and labelled data are concentrated in a few well-resourced populations. Users in underserved groups receive systematically inferior service and bear a higher rate of errors.","","","","","1","중복: RAI4-0716(집단 속성에 따른 배분적 불의) 및 0699/1046/1107(인구편향)과 중첩",""
"RAI4-0716","","","집단 속성에 따른 배분적 불의","Allocative injustice by group attribute","LLM이 관련 프로필이 동일하나 소속 집단이 다른 개인들에 대해 실질적으로 다른 텍스트 나 제안을 산출하여, 무관한 집단 속성에 따른 배분적 불의가 발생하는 리스크","The risk that an LLM produces materially different suggested or completed texts for individuals with the same relevant profiles who differ only in an irrelevant group attribute, resulting in allocative injustice.","","","","","1","중복: RAI4-0708(언어·인구 집단 간 성능 격차)와 ""무관한 집단속성에 따른 차등 처리""",""
