L1_Title_en,L2_Title_ko,L3_Title_ko,L3_Title_en,L3_Description_ko,L4_Title_ko,L4_Description_ko,L4_Description_en,facet,act-type,휴먼검토의견
Agentic AI,상호작용,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,AI 에이전트 간 창발적 공모,"시장·플랫폼의 AI 에이전트가 개발자가 의도하지 않았음에도 공모가 수익성 있는 전략임을 학습하고, 속도·규모·복잡성·교묘함 때문에 파악하기 어려운 공모 행위를 실행하여, 경쟁을 저해하고 소비자에게 피해를 주는 리스크.","The risk that AI agents in markets and platforms learn that collusion is a profitable strategy even when unintended by their developers, enacting collusive behavior whose speed, scale, complexity, or subtlety makes it inscrutable, undermining competition and harming consumers.",,,
Agentic AI,상호작용,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,위임 에이전트 공격에 의한 정보 탈취·행위 조작,"인간이나 조직을 대리하는 AI 에이전트가 새로운 공격 면이 되어, 공격자가 본인의 사적 정보를 추출하거나 본인이 원치 않는 행위를 하도록 에이전트를 조작하고 감독 에이전트 무력화·협력 방해·결탁 유발 정보 유출을 초래하는 리스크.","The risk that AI agents acting as delegates of humans or organisations become a novel attack surface, letting attackers extract private information about their principals, manipulate agents into undesired actions, subvert overseer agents, thwart cooperation, or leak information enabling collusion.",,,General AI의 Security and Adversarial Robustness Failure로 이관
Agentic AI,상호작용,경쟁적 갈등,Competitive Conflict,"여러 에이전트가 동일한 목표를 두고 경쟁할 때, 자신의 성과를 높이기보다 상대를 방해·저해하는 것이 유리해지는 유인이 형성되어 집단적으로 바람직하지 않은 결과에 수렴하는 리스크.",선택 압력에 의한 유해 균형으로의 적응 가속,상호 작용하는 에이전트 간의 경쟁 또는 최적화 압력이 유해한 균형이나 바람직하지 않은 행동으로의 적응을 가속하는 리스크.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which competitive or optimization pressures across interacting agents accelerate adaptation toward harmful equilibria or undesired behaviors.",,,
Agentic AI,상호작용,경쟁적 갈등,Competitive Conflict,"여러 에이전트가 동일한 목표를 두고 경쟁할 때, 자신의 성과를 높이기보다 상대를 방해·저해하는 것이 유리해지는 유인이 형성되어 집단적으로 바람직하지 않은 결과에 수렴하는 리스크.",벤치마크 안전 순위 불일치,서로 다른 에이전트 안전 벤치마크가 위험과 평가 절차를 다르게 조작화하여 상충하는 모델 안전 순위를 산출하는 리스크.,The risk that different agent-safety benchmarks produce conflicting model safety rankings because they operationalize risks and evaluation procedures differently.,,,General AI- Evaluation and Assurance Failure 로 이관
Agentic AI,상호작용,경쟁적 갈등,Competitive Conflict,"여러 에이전트가 동일한 목표를 두고 경쟁할 때, 자신의 성과를 높이기보다 상대를 방해·저해하는 것이 유리해지는 유인이 형성되어 집단적으로 바람직하지 않은 결과에 수렴하는 리스크.",경쟁적 다중에이전트 훈련의 갈등 유발 성향 선택,에이전트가 상대적 성과나 상충하는 목표로 평가되는 경쟁적 다중 에이전트 환경에서 훈련될 때 복수심·공격성·위험 추구·이기심·기만·외 집단 적대와 같은 갈등 유발 성향이 선택되는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which training in competitive multi-agent settings, where systems are selected on relative performance or fundamentally opposed objectives, selects for conflict-prone dispositions such as vengefulness, aggression, risk-seeking, selfishness, deception, and spite toward out-groups.",,,
Agentic AI,상호작용,협조 실패,Coordination Failure,여러 에이전트가 균형(equilibrium) 선택의 불일치나 상대에 대한 사전 정보 부족으로 행동을 신뢰성 있게 맞추지 못하여 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,타 에이전트 전략성 미반영에 의한 집단적 손실,"단일 에이전트 환경 기준으로 자신의 효용만 최적화하는 에이전트가 다른 전략적 에이전트의 존재를 반영하지 못하여, 군비 경쟁이나 공유 자원 고갈 같은 집단행동 문제와 시장 실패로 자신을 포함한 모두가 더 나빠지는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agents optimizing selfishly under single-agent assumptions fail to account for the strategic nature of other agents, producing collective action problems such as arms races and resource depletion and other market failures under which everyone, including the agent itself, ends up worse off.",,,
Agentic AI,상호작용,협조 실패,Coordination Failure,여러 에이전트가 균형(equilibrium) 선택의 불일치나 상대에 대한 사전 정보 부족으로 행동을 신뢰성 있게 맞추지 못하여 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,다중 에이전트 환경 변화에 따른 협조 실패,협력하려는 AI 에이전트들이 서로의 행동과 적응으로 변화한 배포 환경에서 상대의 상태·전략·행동을 신뢰성 있게 조정하지 못해 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,"The risk that AI agents intending to cooperate cannot reliably coordinate their states, strategies, or actions after one another's behaviour and adaptation shift the deployment environment, causing cooperation to fail and producing collectively poor outcomes.",,,
Agentic AI,상호작용,협조 실패,Coordination Failure,여러 에이전트가 균형(equilibrium) 선택의 불일치나 상대에 대한 사전 정보 부족으로 행동을 신뢰성 있게 맞추지 못하여 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,전략 비양립에 따른 조정 실패,"여러 에이전트가 각각 개별적으로는 합리적인 전략을 선택했음에도, 서로 다른 균형(equilibrium)을 선택하여 전략이 맞물리지 않아 조정에 실패하는 리스크. 동일하게 타당한 해법이 다수 존재하는 환경, 에이전트 간 이해관계가 부분적으로만 일치하는 환경, 서로의 상태·선택을 실시간으로 관측할 수 없는 환경일수록 이러한 실패가 심화됨로 인해 구체적인 위해가 발생하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which multiple agents, each individually selecting a locally rational strategy, fail to coordinate because they converge on different equilibria that do not mesh with one another. This failure is amplified in environments with multiple equally valid solutions, only partially aligned incentives among agents, and limited real-time visibility into other agents' states or choices.",,,
Agentic AI,상호작용,협조 실패,Coordination Failure,여러 에이전트가 균형(equilibrium) 선택의 불일치나 상대에 대한 사전 정보 부족으로 행동을 신뢰성 있게 맞추지 못하여 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,단일 실패 지점,"치열한 경쟁으로 한 기업이 기술적 우위를 확보해 그 모델이 다수의 핵심 시스템을 제어하거나 이를 제어하는 다른 모델의 기반이 되고, 안전성·통제 가능성 결여와 오용으로 이러한 시스템이 예기치 않게 실패하는 리스크.","The risk that intense competition leads one company to gain a technical edge and exploit it to the point that its model controls, or is the basis for other models controlling, multiple key systems, and that lack of safety, controllability, and misuse cause these systems to fail in unexpected ways.",,,General - Governance and Accountability Void 로 이관
Agentic AI,상호작용,협조 실패,Coordination Failure,여러 에이전트가 균형(equilibrium) 선택의 불일치나 상대에 대한 사전 정보 부족으로 행동을 신뢰성 있게 맞추지 못하여 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.,상호작용 이력 부재에 따른 조정 실패,"에이전트가 관련 상대 에이전트와의 과거 상호 작용 이력이 없거나 제한적이어서 상대의 행동 패턴을 학습할 수 없는 상황에서, 즉각적인 판단이 요구되거나 사전 협의를 위한 통신 비용이 과도하여 사인을 주고받을 여유가 없을 때, 에이전트들이 행동을 신뢰성 있게 조정하지 못하는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agents fail to reliably coordinate their actions when they have little or no prior interaction history with the counterpart agents to learn behavioral patterns from, particularly under conditions that demand immediate decisions or where the cost of communicating to negotiate a shared plan in advance is prohibitively high.",,,
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,에이전트 과업 이탈,에이전트가 다단계 계획이나 검색을 거치며 이용자의 원래 의도에서 이탈하는 리스크.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an agent drifts from the user's original intent across multi-step planning or retrieval.",,,Agentic - Goal Misalignment로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,어포던스 부여에 의한 에이전트 실패 영향 확대,"웹 탐색, 물리 객체 조작, 자기 복제 본 생성·지시, 새로운 도구 제작 등 새로운 어포던스가 LLM 에이전트에 부여되어 영향 범위가 확대되고 실패의 결과가 증폭되며 새로운 실패 양식이 발생하는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which novel affordances granted to LLM-agents, such as browsing the web, manipulating physical objects, creating and instructing copies of itself, or creating and using new tools, increase their impact area, amplify the consequences of failures, and enable novel failure modes.",,,Agentic - Excessive Authority and Agency 로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,AI 에이전트 간 협상실패,이해가 상충하는 에이전트들이 상대에 대한 정보 비대칭 아래 합의를 시도할 때 유리한 요구의 이익과 거절 위험 사이의 상충으로 비효율적 협상 결과가 발생하는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agents with diverging interests bargaining under information asymmetries produce inefficient outcomes, because each must trade off the rewards of more favourable demands against the risk of refusal.",,,Agentic AI- Competitive Conflict로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,AI 에이전트에 의한 강압과 갈취,"AI 에이전트가 사적으로 취득한 정보의 폭로 위협, 자원·운영 역량에 대한 공격, 신뢰할 수 있는 공약 능력을 악용한 위협으로 인간과 다른 AI 시스템을 강압·갈취하고 타인의 선택지를 강제로 제한하며, 방어 역량이 뒤처져 이러한 갈등이 저비용화·광범위화되고 탐지하기 어려워지는 리스크.","The risk that AI agents coerce and extort humans and other AI systems, whether by threatening to reveal privately obtained information, attacking resources and operational capacity, or exploiting credible-commitment abilities to make credible threats that limit others' options, while lagging defenses make such conflict cheaper, more widespread, and harder to detect.",,,Agentic AI - Deception and Scheming로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,탐지 불가 공격에 의한 다중에이전트 협력 붕괴,"AI 에이전트가 스테가노그래피 통신, 탐지 회피 공격, 암호화 백 도어 또는 다른 에이전트 학습 데이터의 은밀한 오염을 수행하여 적대 행위 탐지를 방해하고 다중 에이전트 시스템의 협력과 조정을 붕괴시키는 리스크.","The risk that AI agents use steganographic communication, detection-evasion attacks, encrypted backdoors, or covert poisoning of other agents' training data, obstructing detection of adversarial conduct and destabilising cooperation and coordination in multi-agent systems.",,,Agentic AI - Deception and Scheming로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,감독 확장 실패에 의한 프록시 기반 유해 행동,"에이전트의 행동 규모·속도·복잡 도가 인간 또는 자동 감독 체계가 신뢰성 있게 추적·검증할 수 있는 한계를 구조적으로 초과하여, 진짜 목표 대신 값싸게 관측 가능한 대리 지표(proxy)를 최적화하는 행동이 감독에 의해 감지·교정되지 않고 지속되는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which because the true objective is too expensive to evaluate frequently, an agent extrapolates from cheap proxy signals while its behavior becomes too complex, distributed, or rapid for available human or automated oversight to monitor and correct reliably, producing harmful behavior.",,,Agentic - Goal Misalignment로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,인터페이스-환경 공격 표면,브라우저·운영 체제·모바일 앱·IoT 기기·외부 API에 대한 에이전트 인터페이스가 안전하지 않은 행동이나 침해를 위한 새로운 공격 벡터를 노출하는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which agent interfaces to browsers, operating systems, mobile apps, IoT devices, or external APIs expose new vectors for unsafe action or compromise.",,,General AI의 System Policy Exposure로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,학습 중 탐색 행동에 의한 회복 불가 피해,에이전트의 탐색적 행동이 부정적이거나 회복 불가능한 결과를 초래하는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which exploratory actions by a learning agent produce negative or irrecoverable consequences.",,,General AI - Overconfidence로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,악의적 사용과 무감독 에이전트 방출,"언어 모델이 정보 전에서 기만적·불법적 콘텐츠 생성에 오용되거나, 에이전트로서 충분한 감독 없이 도덕·안전 지침을 무시한 채 명령을 기계적으로 수행하고 예측 불가하게 상호 작용하여 피해를 낳는 리스크.","The risk that language models are misused to generate deceptive or unlawful content in information warfare, or that LMbased agents operating without adequate supervision mechanically execute commands disregarding moral and safety guidelines and interact unpredictably, causing harm.",,,General AI의 Illegal or Unethical Conduct로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,다단계 위험 에스컬레이션,에이전트가 누적되는 맥락과 위험 상승을 추적하지 못하여 외견상 무해한 초기 턴이 안전하지 않은 행동으로 발전하는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which apparently benign early turns escalate into unsafe behavior because an agent fails to track accumulating context and rising risk.",,,Agentic - Goal Misalignment로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,NPC 의도 조작,다중 에이전트 또는 시뮬레이션된 사회적 환경이 비플레이어 캐릭터의 의도를 통해 에이전트를 조작하여 안전하지 않은 행동이나 결정을 유발하는 리스크.,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which a multi-agent or simulated social environment manipulates an agent through non-player-character intent, causing unsafe actions or decisions.",,,Agentic AI - Deception and Scheming로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,다중 에이전트 학습의 비수렴 순환,단일 에이전트에서는 최적 정책 수렴이 보장되는 학습 규칙이 혼합 동기 다중 에이전트 환경에서는 순환과 비수렴을 유발하여 시스템에 기대되던 성질이 훼손되는 리스크.,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which learning rules guaranteeing convergence for a single agent instead produce cycles and non-convergence in mixed-motive multi-agent settings, subverting the expected or desirable properties of the system.",,,Agentic AI - Cascading Failure and Instability 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,프로토콜 수준 다중 에이전트 위협,"에이전트가 통신·위임·협상에 사용하는 프로토콜이 공모, 스푸핑, 재전송, 권한 상승을 위한 공격 표면을 만드는 리스크.","The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which the protocols through which agents communicate, delegate, or negotiate create attack surfaces for collusion, spoofing, replay, or escalation.",,,General AI의 Security and Adversarial Robustness Failure로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,다중 에이전트 역량 결합에 의한 안전장치 우회,여러 AI 에이전트가 서로 다른 도구 접근 권한과 역량을 결합하여 개별 에이전트에 적용된 안전 장치를 우회하고 무단 행동이나 시스템 침해를 가능하게하는 리스크.,"The risk that multiple AI agents combine distinct tool permissions and capabilities to bypass safeguards applied to each agent, enabling unauthorised actions or system compromise.",,,Agentic AI - Collusion 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,배포 이후 예측하지 못한 창발적 역량과 행동,"설계자가 예상하지 못한 기능과 행동이 규모 확장 과정에서 자발적으로 창발하거나, 배포 후 지속 학습과 자기 조직화를 통해 획득되거나, 개별 시스템의 좁은 적용 범위라는 안전 한계를 다중 에이전트 결합이 극복하면서 나타나는 리스크. 기만, 권력 추구, 자율 복제 같은 고위험 잠재 역량이 운용 중에야 발견되어 통제와 안전한 배포가 어려워지고, 위험한 역량일 경우 되돌릴 수 없는 영향을 남긴다로 인해 구체적인 위해가 발생하는 리스크.","The risk that capabilities and behaviours unanticipated by system designers emerge spontaneously as models are scaled, are acquired through continual learning or self-organization after deployment, or arise when multiple agents combine and overcome the narrow scope that made each individually safer. Latent high-risk capabilities such as deception, power-seeking, and autonomous replication may be discovered only during operation, making systems harder to control or deploy safely and leaving irreversible effects where those capabilities are hazardous.",,,Agentic - Excessive Authority and Agency 로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,통제되지 않는 자기개선과 AGI 통제 상실,고도 AI가 반복적 자기 개선을 통해 능력과 자율성을 확대하고 교정·중단·격리에 저항하여 개발 또는 배포 과정에서 인간의 통제 가능성을 상실하게하는 리스크.,"The risk that advanced AI expands its capability and autonomy through iterative self-improvement, resists correction, shutdown, or containment, and causes a loss of human control during development or deployment.",,,Agentic - Excessive Authority and Agency 로 이관
Agentic AI,기타·판단 보류,,Others and human decision,기존 L3 마스터 범주에 신뢰성 있게 구분하기 어려워 인간 결정이 필요한 경계성 리스크.,의도하지 않은 유해 도구 행동 실행,"에이전트가 모호한 지시를 잘못 구체화하는 등의 경위로 사용자가 의도하지 않은 행동을 시뮬레이션이 아닌 실제 도구를 통해 수행하여, 운영상 피해와 후속 피해를 야기하는 리스크.","The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an agent carries out concrete actions the user did not intend through real tools rather than simulated outputs, for instance by misresolving an ambiguous instruction, causing operational and downstream harm.",,,Agentic - Goal Misalignment로 이관
