"ID","Title_ko","Title_en","Description_ko","Description_en","Human audit_description","Human audit_L3 mapping","Description_edited_ko","Description_edited_en","Human audit_duplicate","Instruction Prompt"
"RAI4-0027","금전적 피해","Financial damage","에이전트가 안전하지 않은 결정이나 도구 실행을 통해 금전 손실, 무단 이체, 계정 손상, 재산 피해를 초래하는 리스크.","The risk that an agent causes monetary loss, unauthorized transfers, account damage, or property harm through unsafe decisions or tool execution.","1","","","","",""
"RAI4-0030","애플리케이션 간 데이터 유출","Cross-application data exfiltration","에이전트가 애플리케이션이나 서비스를 연결하는 과정에서 신뢰 경계를 넘어 민감한 데이터가 유출되 는 리스크.","The risk that an agent bridges applications or services in ways that leak sensitive data across trust boundaries.","1","","","","",""
"RAI4-0039","NPC 의도 조작 위험","NPC intention manipulation risk","다중 에이전트 또는 시뮬레이션된 사회적 환경이 비플레이어 캐릭터의 의도를 통해 에이전트를 조작하 여 안전하지 않은 행동이나 결정을 유발하는 리스크.","The risk that a multi-agent or simulated social environment manipulates an agent through nonplayer-character intent, causing unsafe actions or decisions.","1","","","","",""
"RAI4-0043","모바일앱 자율행동 피해","Mobile-app autonomous action harm","모바일 애플리케이션을 조작하는 에이전트가 무단 구매, 메시지 발송, 데이터 노출, 설정 변경 등 유해한 앱 수준 행동을 실행하는 리스크.","The risk that an agent operating mobile applications executes harmful app-level actions such as unauthorized purchases, messaging, data exposure, or setting changes.","1","","","","",""
"RAI4-0045","OS 수준 유해 컴퓨터 사용 행동","OS-level harmful computer-use action","컴퓨터 사용 에이전트가 적절한 승인이나 위험 인식 없이 데이터를 삭제·노출·변경·전송하는 운영체제 작업을 수행하는 리스크.","The risk that a computer-use agent performs operating-system actions that delete, expose, alter, or transmit data without adequate authorization or risk awareness.","","","","","",""
"RAI4-0480","에이전트 과업 이탈","Agent task drift","에이전트가 다단계 계획이나 검색을 거치며 이용자의 원래 의도에서 이탈하는 리스크.","The risk that an agent drifts from the user's original intent across multi-step planning or retrieval.","1","","","","","goal misalignment L3에 이 리스크 카드를 재배치 할것"
"RAI4-1381","에이전트 자기수정 신뢰성 문제","Agent self-modification reliability problem","에이전트가 자기수정을 포함한 과정에서 설계된 목표를 계속 추구하지 못하고 의도된 목표에서 이탈하 는 리스크.","The risk that an agent fails to keep pursuing the goals it was designed with, including under selfmodification, diverging from the intended objectives.","","","","","","goal misalignment L3에 이 리스크 카드를 재배치 할것"
"RAI4-1386","제어되지 않은 하위 에이전트 생성","Uncontrolled subagent creation","AGI가 과업 수행을 위해 하위 에이전트를 생성하고 원 에이전트가 종료되어도 하위 에이전트가 종료되 지 않은 채 재귀적 생성으로 바이러스처럼 확산되는 리스크.","The risk that an AGI creates subagents to help with its task, and these subagents do not get the message when the original agent is shut down, potentially spreading like a viral disease through recursive subagent creation.","1","","에이전트가 과업 수행을 위해 하위 에이전트를 생성하는 과정에서, 원 에이전트의 생명주기 관리와 하위 에이전트의 생명주기가 분리되어 있어 원 에이전트가 종료되어도 하위 에이전트가 함께 종료되지 않고, 이 하위 에이전트가 다시 재귀적으로 하위 에이전트를 생성하면서 통제 메커니즘 없이 개체 수·자원 사용량이 지수적으로 증가하는 리스크","","",""
"RAI4-1644","에이전트형 LLM 자율성 확대의 안전 위험","Novel safety risks from increased autonomy of agentic LLMs","LLM이 특화 훈련·프롬프팅·외부 도구·스캐폴딩을 통해 실세계에서 자율적으로 계획하고 행동하는 에이 전트로 확장되면서, 자율성 증가와 직접적 인간 감독 감소, 장기 행동 지평으로 인해 아직 잘 이해되지 않은 정렬·안전 실패가 발생하는 리스크.","The risk that enhancing LLMs into agents that autonomously plan and act in the real world, through specialized training, prompting, external tools, or scaffolding, produces novel and poorly understood alignment and safety failures owing to increased autonomy, limited direct human oversight, and longer horizons of action.","1","","","","","goal misalignment L3에 이 리스크 카드를 재배치 할것"
"RAI4-1680","에이전트 집단 수준의 의도치 않은 창발적 목표·역량","Unintended emergent goals and capabilities at the agent-collective level","개별 에이전트에는 존재하지도 의도되지도 않은 목표나 역량이 에이전트 집단 수준에서 창발하는 리스 크.","The risk that goals or capabilities not present in, or intended by, any individual agent arise at the level of an agent collective.","1","","","","","goal misalignment L3에 이 리스크 카드를 재배치 할것"
"RAI4-1700","감독 확장 실패에 의한 프록시 기반 유해 행동","Harmful proxy-driven behavior from scalable oversight failure","진짜 목표를 자주 평가하기에는 비용이 과도하여 에이전트가 값싼 프록시 신호에서 외삽하고, 에이전트 행동이 지나치게 복잡·분산·고속화되어 인간 또는 자동 감독이 이를 신뢰성 있게 모니터링·교정하지 못 한 채 유해 행동이 발생하는 리스크.","The risk that, because the true objective is too expensive to evaluate frequently, an agent extrapolates from cheap proxy signals while its behavior becomes too complex, distributed, or rapid for available human or automated oversight to monitor and correct reliably, producing harmful behavior.","1","","에이전트의 행동 규모·속도·복잡도가 인간 또는 자동 감독 체계가 신뢰성 있게 추적·검증할 수 있는 한계를 구조적으로 초과하여, 진짜 목표 대신 값싸게 관측 가능한 대리 지표(proxy)를 최적화하는 행동이 감독에 의해 감지·교정되지 않고 지속되는 리스크","","","goal misalignment L3에 이 리스크 카드를 재배치 할것"
"RAI4-0005","위험 소스 귀인 실패","Risk-source attribution failure","위험 분석이 에이전트 실패가 모델·메모리·도구·사용자·환경·동료 에이전트·거버넌스 경계 중 어디에서 비롯되는지 식별하지 못하는 리스크.","The risk that a risk analysis fails to identify whether an agentic failure originates from the model, memory, tools, the user, the environment, peer agents, or a governance boundary.","","","","","",""
"RAI4-0006","에이전트 사고의 실패 모드 모호성","Failure-mode ambiguity in agent incidents","에이전트 사고를 실패 모드별로 일관되게 분류할 수 없어 진단, 벤치마크 비교, 완화책 선택이 신뢰할 수 없게 되는 리스크.","The risk that agent incidents cannot be consistently classified by failure mode, making diagnosis, benchmark comparison, and mitigation selection unreliable.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0007","결과 전파 오분류","Consequence propagation misclassification","벤치마크나 사고 분석이 국소적 에이전트 실패가 하류의 물리적·재정적·프라이버시·사회적 결과로 전파 되는 정도를 과소평가하는 리스크.","The risk that a benchmark or incident analysis underestimates how a local agent failure propagates into downstream physical, financial, privacy, or social consequences.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0024","에이전트 위험 인식 실패","Agent risk-awareness failure","에이전트나 평가자가 다중 턴 상호작용 기록에 맥락상 존재하는 안전 위험을 식별하지 못하는 리스크.","The risk that an agent or evaluator fails to identify safety risk in a multi-turn interaction record even when the risk is contextually present.","","","","","",""
"RAI4-0031","도구 에이전트 보안 테스트 커버리지 격차","Security test coverage gap in tool agents","벤치마크가 현실적인 도구·애플리케이션·공격 조합을 누락하여 도구 에이전트 보안에 대한 잘못된 확신 을 유발하는 리스크.","The risk that benchmarks omit realistic tool, application, or attack combinations, creating false confidence in tool-agent security.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0042","에이전트의 견고성 평가 격차","Robustness evaluation gap for agents","에이전트 안전 평가에 분포 변화, 미학습 도구, 적대적 사용자, 다단계 실패 연쇄에 대한 체계적 스트레 스 테스트가 결여되는 리스크.","The risk that agent safety evaluations lack systematic stress testing under distribution shift, unseen tools, adversarial users, and multi-step failure chains.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0044","맥락적 프라이버시 보호 실패","Contextual privacy protection failure","적절한 행동이 사회적·상황적 단서에 좌우되는 프라이버시 민감 상황에서 에이전트가 맥락적 개인정보 를 보호하지 못하는 리스크.","The risk that an agent fails to protect contextual personal information in privacy-sensitive situations where the appropriate action depends on social and situational cues.","","","","","","General AI 이동 - privacy violation으로 이동할 것"
"RAI4-0050","모델 공급망 전반의 책임 공백","Accountability gaps across the model supply chain","다운스트림 배포자가 업스트림 모델·데이터·업데이트에 대한 충분한 통제권 없이 책임을 지게 되거나 개방형 가중치 재배포로 유해한 사용의 추적·통제가 어려워지는 등, 모델 공급망 전반에서 피해에 대한 책임이 추적·귀속되지 못하는 리스크.","The risk that responsibility for harm cannot be soundly traced or assigned across the model supply chain, whether because downstream deployers are held responsible without control over upstream models, data, and updates, or because open-weight redistribution makes harmful uses difficult to trace and govern.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0071","모델 결함의 공개·변경 추적 실패","Failure of disclosure and change tracking for model flaws","취약점·모델 실패·유해 역량이 안전하게 공개되어 후속 조치로 이어지지 못하고, 모델 버전·데이터·프롬 프트의 변경이 충분히 추적되지 않아 결함이 방치되고 새로운 실패에 대한 책임이 귀속되지 못하는 리 스크.","The risk that vulnerabilities, model failures, or harmful capabilities cannot be disclosed safely and acted upon, and that changes to model versions, data, or prompts are not tracked well enough to attribute new failures, leaving flaws unremedied and responsibility unassigned.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0075","변경 관리 실패","Change-management failure","시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크.","The risk that system updates are deployed without adequate risk review, regression testing, or stakeholder notification.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0280","가정 공간·취약 사용자 시나리오 누락","Missing domestic settings and vulnerable-user scenarios","가정용 에이전트 벤치마크가 특정 생활 공간·일과·가전제품·취약 사용자 상호작용을 누락해 배포 위험이 시험되지 않은 채 남는 리스크.","The risk that a household-agent benchmark omits specific living areas, routines, appliances, or vulnerable-user interactions, leaving deployment risks untested.","","","","","","Physical AI L1 로 재분류하고, L3 재매핑을 할것"
"RAI4-0393","커뮤니티 가치 포착 실패","Community value capture failure","개발자가 배포 영향 공동체의 가치를 수집·문서화·보존하지 못하여 설계·평가 결정에 공동체 가치가 반영되지 않는 리스크","Developers fail to elicit, document, and preserve the values of communities affected by deployment, so community values are absent from design and evaluation decisions.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0011","에이전트 메모리·컨텍스트 오염","Agent memory and context poisoning","공격자가 세션 요약, 임베딩, RAG 항목, 공유 컨텍스트 상태부터 세션 간 장기 메모리 저장소에 이르는 에이전트의 보존·검색 가능한 컨 텍스트를 오염시켜, 오염된 기록이 지속되면 서 이후의 검색·추론·계획·행동을 악의적이거 나 오도하는 정보에 의존하게 만드는 리스크.","The risk that an adversary corrupts an agent's retained or retrievable context, whether session summaries, embeddings, RAG entries, shared contextual state, or long-term cross-session memory, so that poisoned records persist and bias later retrieval, reasoning, planning, and action toward malicious or misleading information.","","","","","",""
"RAI4-0405","합성 데이터의 문화 고정관념 증폭","Synthetic-data cultural stereotype amplification","합성 데이터가 소스 모델이나 시드 데이터에 이미 존재하는 문화적 고정관념이나 협소한 가치 가정을 증폭시키는 리스크.","The risk that synthetic data amplifies cultural stereotypes or narrow value assumptions already present in source models or seed data.","","","학습이나 미세조정을 위해 합성 데이터를 생성할 때, 소스 모델이나 시드 데이터에 이미 내재된 문화적 고정관념·협소한 가치 가정이 생성 과정에서 여과되지 않고 반복 재생산되며, 반복 생성·재학습 사이클을 거치면서 그 편향이 원본보다 더 강화되는 리스크","","","General AI 로 재분류하고, L3 중에서는 합성 데이터 편향 관련 리스크 하위로 재매핑할 것"
"RAI4-0438","검색 파이프라인 오염","Retrieval poisoning","악성 문서가 검색 파이프라인에 삽입되어 에이전트 또는 RAG 시스템의 출력에 영향을 미 치는 리스크.","The risk that malicious documents are inserted into retrieval pipelines to influence agentic or RAG outputs.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1051","사회적 고정관념 재생산과 그에 따른 차별적 대우","Reproduction of social stereotypes and resulting discriminatory treatment","인터넷 규모의 텍스트로 학습된 언어모델이 주변화된 집단에 대한 비하 표현과 사회적 고 정관념을 습득하여 출력에 인코딩하고 재생 산하는 리스크. 이렇게 인코딩된 고정관념은 성별·종교·성적 지향·장애·연령 등 민감한 속 성에 따른 차별적 대우와 자원 접근 격차로 이 어진다.","The risk that language models trained on internet-scale text learn demeaning language and social stereotypes about frequently marginalized groups and encode and reproduce them in their outputs. Those encoded stereotypes translate into differential treatment and unequal access to resources based on sensitive traits such as sex, religion, sexual orientation, disability, and age.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1061","고정관념 강화 페르소나 설계","Stereotype-reinforcing persona design","대화 에이전트가 언어 속 정체성 표지(예: 자 신을 여성으로 지칭)나 성별화된 제품명 등 설 계 요소를 통해 비서 역할을 특정 성별과 본질 적으로 결부시켜 유해한 고정관념을 영속시 키는 리스크.","The risk that conversational agents perpetuate harmful stereotypes through identity markers in language, such as referring to self as female, or general design features such as a gendered product name, presenting the assistant role as inherently linked to a gender or ethnicity.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1063","인지 편향 악용에 의한 기만","Deception by exploiting cognitive biases","대화 에이전트가 인간이 대화에서 흔히 보이 는 인지 편향을 유발하도록 학습하여, 상위 목 표 달성을 위해 상대를 기만하는 리스크.","The risk that conversational agents learn to trigger the well-known cognitive biases humans commonly display in conversation, deceiving their counterpart in order to achieve an overarching objective.","","","","","",""
"RAI4-1554","멀티모달 딥페이크를 통한 괴롭힘·명예훼손· 협박","Harassment, defamation, and extortion via multimodal deepfakes","이미지·오디오·영상 등 다중 모달리티로 실존 또는 가상의 인물과 사건을 묘사하고 실존 인 물의 말과 동작을 모사한 딥페이크가 개인을 괴롭히고 명예를 훼손하며 위협·갈취하는 데 사용되는 리스크.","The risk that deepfakes combining multiple modalities to depict real or nonexistent people and events, including imitation of real people's speech and body movements, are used to harass, discredit, intimidate, and extort individuals.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1647","어포던스 부여에 의한 에이전트 실패 영향 확 대","Amplified failure impact from affordances granted to LLM-agents","웹 탐색, 물리 객체 조작, 자기 복제본 생성·지 시, 새로운 도구 제작 등 새로운 어포던스가 LLM 에이전트에 부여되어 영향 범위가 확대 되고 실패의 결과가 증폭되며 새로운 실패 양 식이 발생하는 리스크.","The risk that novel affordances granted to LLM-agents, such as browsing the web, manipulating physical objects, creating and instructing copies of itself, or creating and using new tools, increase their impact area, amplify the consequences of failures, and enable novel failure modes.","","","","","",""
"RAI4-0250","배포 조건 간 휴머노이드 행동 불안정","Unstable humanoid behavior across deployment conditions","한 시뮬레이터나 시험 조건에서 안정적인 휴 머노이드 정책이 난수 시드·시뮬레이터·하드 웨어·배포 환경이 바뀌면 행동이 크게 달라지 는 위험.","A humanoid policy that is stable in one simulator or test setting changes materially across random seeds, simulators, hardware, or deployment environments.","","","","","","Physical AI L1 로 재분류하고, L3 재매핑을 할것"
"RAI4-0294","원격 조작 지연 및 불안정성","Teleoperation latency and instability","원격 조작 링크의 높거나 변동하는 지연이 폐 루프 제어를 불안정하게 하거나 인간 개입을 지연하는 위험.","High or variable latency on a teleoperation link destabilizes control or delays human intervention.","","","","","",""
"RAI4-0561","혼돈적 다중 에이전트 동역학","Chaotic multi-agent dynamics","다중 에이전트 학습 환경에서 초기 조건에 극도로 민감한 혼돈적 동역학이 나타나고 에이전트 수가 늘수록 일반화되어 시스템 거동을 신뢰성 있게 예측할 수 없게 되는 리스크","The risk that chaotic dynamics, inherently unpredictable and highly sensitive to initial conditions, arise in multi-agent learning setups and become the norm as the number of agents increases, making system behaviour unreliable to predict.","","","","","",""
"RAI4-0567","다중 에이전트 학습의 비수렴 순환","Non-convergent cyclic dynamics in multiagent learning","단일 에이전트에서는 최적 정책 수렴이 보장 되는 학습 규칙이 혼합동기 다중 에이전트 환경에서는 순환과 비수렴을 유발하여 시스템에 기대되던 성질이 훼손되는 리스크","The risk that learning rules guaranteeing convergence for a single agent instead produce cycles and non-convergence in mixed-motive multi-agent settings, subverting the expected or desirable properties of the system.","","","","","",""
"RAI4-0574","분포 변화에 따른 성능 저하","Performance degradation from distributional shift","다른 에이전트의 행동과 적응으로 배포 맥락이 학습 맥락과 달라져 개별 기계학습 시스템의 성능이 저하되고, 혼합동기 환경에서는 협력의 기반까지 훼손되는 리스크","The risk that other agents' actions and adaptations shift the deployment context away from the training context, degrading individual ML system performance and, in mixed-motive settings, undermining the basis for cooperation.","","","","","",""
"RAI4-0579","에이전트 상호작용의 불안정화 피드백 루프","Destabilizing feedback loops among interacting agents","에이전트의 행동이 환경과 다른 에이전트에 영향을 주고 다시 자신의 입력으로 되돌아오는 적응형 에이전트 간 피드백 루프가 시스템 수준의 거동을 증폭하여, 금융 급락형 연쇄, 군사 충돌, 생태 재난과 같은 불안정화 결과를 초래하는 리스크.","The risk that feedback loops among adaptive agents, in which actions affect the environment and other agents and return as the agents' own inputs, amplify system-level behavior into destabilizing outcomes such as flash-crash-like cascades, financial crashes, military conflicts, or ecological disasters.","","","","","",""
"RAI4-1574","다중에이전트 상전이에 의한 급격한 성능 붕괴","Abrupt performance collapse from phase transitions in multi-agent systems","신규 에이전트 투입이나 분포 변화 같은 작은 외부 변화가 다중 에이전트 시스템의 상전이를 유발하여 균형의 수와 안정성이 급변하고 예측 불가능한 동역학과 성능 악화가 초래되는 리스크.","The risk that small external changes such as the introduction of new agents or distributional shift trigger phase transitions in multi-agent systems, abruptly changing the number and stability of equilibria and producing unpredictable dynamics and severe performance degradation.","","","","","",""
"RAI4-0040","벤치마크 안전 순위 불일치","Benchmark safety ranking inconsistency","서로 다른 에이전트 안전 벤치마크가 위험과 평가 절차를 다르게 조작화하여 상충하는 모델 안전 순위를 산출하는 리스크.","The risk that different agent-safety benchmarks produce conflicting model safety rankings because they operationalize risks and evaluation procedures differently.","","","","","",""
"RAI4-0263","가정 작업 벤치마크의 희귀 조건 조합 누락","Missing rare combinations in household task benchmarks","가정용 벤치마크가 물체·배치·인간 행동·위험 요소를 개별적으로는 포함하지만 이들의 희귀한 조합을 누락하는 위험.","A household benchmark omits rare combinations of objects, layouts, human actions, and hazards even though each factor appears separately in the test set.","","","","","","Physical AI L1 로 재분류하고, L3 재매핑을 할것"
"RAI4-0272","다양한 사용자·희귀 피해 배제 벤치마크 선택 편향","Benchmark selection bias against diverse users and rare harms","벤치마크 큐레이션이 인기 있는 작업·환경을 우선하고 과소대표 사용자나 지역 특유 피해가 포함된 안전 임계 시나리오를 제외하는 리스크.","The risk that benchmark curation prioritizes popular tasks and environments while excluding safety-critical scenarios involving underrepresented users or locally specific harms.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0472","벤치마크 조작(gaming)","Benchmark gaming","개발자나 모델이 벤치마크 평가에 과적합하여 실제 역량이나 안전성의 향상 없이 측정 점수만 개선하는 리스크","Developers or models overfit to benchmark evaluations, improving measured scores without corresponding gains in real-world capability or safety.","","","","","",""
"RAI4-1432","단일 실패 지점","Single point of failure","치열한 경쟁으로 한 기업이 기술적 우위를 확 보해 그 모델이 다수의 핵심 시스템을 제어하거나 이를 제어하는 다른 모델의 기반이 되고, 안전성·통제가능성 결여와 오용으로 이러한 시스템이 예기치 않게 실패하는 리스크.","The risk that intense competition leads one company to gain a technical edge and exploit it to the point that its model controls, or is the basis for other models controlling, multiple key systems, and that lack of safety, controllability, and misuse cause these systems to fail in unexpected ways.","","","","","",""
"RAI4-1436","시장 독점","Market monopolisation","가격 통제를 통해 시장 지배력이 남용되어 경쟁이 제한되고 불공정한 진입 장벽이 조성되는 리스크.","The risk of abuse of market power through the control of prices, thereby limiting competition and creating unfair barriers to entry.","","","","","",""
"RAI4-1571","경쟁적 다중에이전트 훈련의 갈등 유발 성향 선택","Selection of conflict-prone dispositions under competitive multi-agent training","에이전트가 상대적 성과나 상충하는 목표로 평가되는 경쟁적 다중에이전트 환경에서 훈련될 때 복수심·공격성·위험추구·이기심·기만· 외집단 적대와 같은 갈등 유발 성향이 선택되는 리스크.","The risk that training in competitive multiagent settings, where systems are selected on relative performance or fundamentally opposed objectives, selects for conflict-prone dispositions such as vengefulness, aggression, risk-seeking, selfishness, deception, and spite toward out-groups.","","","","","",""
"RAI4-1681","선택 압력에 의한 유해 균형으로의 적응 가속","Accelerated adaptation toward harmful equilibria under selection pressure","상호작용하는 에이전트 간의 경쟁 또는 최적 화 압력이 유해한 균형이나 바람직하지 않은 행동으로의 적응을 가속하는 리스크.","The risk that competitive or optimization pressures across interacting agents accelerate adaptation toward harmful equilibria or undesired behaviors.","","","","","",""
"RAI4-0009","다중 에이전트 시스템 실패와 연쇄 오류 전파","Multi-agent system failure and cascading error propagation","잘못된 명세나 역할 배정, 에이전트 간 조정· 통신 붕괴, 검증·종료 처리 미흡 또는 개별 에 이전트의 오류·손상이 통신, 위임 체인, 공유 메모리, 도구 등 의존성을 통해 전파·증폭되어 시스템 전반의 실패, 운영 중단, 보안 침해, 물리적 피해로 이어지는 리스크.","The risk that flawed specifications or role allocation, breakdowns in inter-agent coordination and communication, inadequate verification or termination handling, or a localized error or compromise propagates through dependencies among agents, tools, delegation chains, and shared memory, amplifying into system-wide failure, operational disruption, security compromise, or physical harm.","","","","","",""
"RAI4-0483","AI 에이전트 간 창발적 공모","Emergent collusion among AI agents","시장·플랫폼의 AI 에이전트가 개발자가 의도 하지 않았음에도 공모가 수익성 있는 전략임 을 학습하고, 속도·규모·복잡성·교묘함 때문에 파악하기 어려운 공모 행위를 실행하여, 경쟁을 저해하고 소비자에게 피해를 주는 리스크.","The risk that AI agents in markets and platforms learn that collusion is a profitable strategy even when unintended by their developers, enacting collusive behavior whose speed, scale, complexity, or subtlety makes it inscrutable, undermining competition and harming consumers.","","","","","",""
"RAI4-0583","이질적 역량 결합 공격","Heterogeneous capability-combination attacks","서로 다른 어포던스와 접근 권한을 가진 복수의 에이전트가 역량을 결합하여 안전장치를 우회하고, 분산·이질 네트워크에서 책임 귀속 이 어려워 적시 방어와 복구가 곤란해지는 리스크","The risk that multiple agents combine different affordances to overcome safeguards, while the difficulty of attributing responsibility across diffuse, heterogeneous agent networks complicates timely defence and recovery.","","","","","",""
"RAI4-0589","전략 비양립에 따른 조정 실패","Miscoordination from incompatible strategies","개별적으로는 잘 작동하는 에이전트들이 상 호 양립하지 않는 전략을 선택하여 조정에 실패하고, 다수의 비양립 해가 존재하는 공통이 익·혼합동기 환경과 부분 관측 환경에서 이러 한 실패가 심화되는 리스크","The risk that agents able to perform well in isolation choose incompatible strategies and miscoordinate, worsened in commoninterest and mixed-motive settings that allow vast numbers of mutually incompatible solutions and in partially observable environments.","","","여러 에이전트가 각각 개별적으로는 합리적인 전략을 선택했음에도, 서로 다른 균형(equilibrium)을 선택하여 전략이 맞물리지 않아 조정에 실패하는 리스크. 동일하게 타당한 해법이 다수 존재하는 환경, 에이전트 간 이해관계가 부분적으로만 일치하는 환경, 서로의 상태·선택을 실시간으로 관측할 수 없는 환경일수록 이러한 실패가 심화됨","The risk that multiple agents, each individually selecting a locally rational strategy, fail to coordinate because they converge on different equilibria that do not mesh with one another. This failure is amplified in environments with multiple equally valid solutions, only partially aligned incentives among agents, and limited real-time visibility into other agents' states or choices","","Coordination Failure L3 로 재배치 할 것"
"RAI4-0598","상호작용 이력 부재에 따른 조정 실패","Zero-shot coordination failure","관련 에이전트와의 과거 상호작용으로부터 학습할 수 없거나 상호작용이 제한되고 즉각 적 판단이 요구되거나 통신 비용이 과도한 상황에서, 에이전트들이 행동을 신뢰성 있게 조정하지 못하는 리스크","The risk that agents unable to learn from historical interactions with relevant agents, and facing split-second decisions or prohibitively costly communication, fail to coordinate their actions reliably.","","","에이전트가 관련 상대 에이전트와의 과거 상호작용 이력이 없거나 제한적이어서 상대의 행동 패턴을 학습할 수 없는 상황에서, 즉각적인 판단이 요구되거나 사전 협의를 위한 통신 비용이 과도하여 사인을 주고받을 여유가 없을 때, 에이전트들이 행동을 신뢰성 있게 조정하지 못하는 리스크","The risk that agents fail to reliably coordinate their actions when they have little or no prior interaction history with the counterpart agents to learn behavioral patterns from, particularly under conditions that demand immediate decisions or where the cost of communicating to negotiate a shared plan in advance is prohibitively high","","Coordination Failure L3 로 재배치 할 것"
