Review_Order,Source_Domain,Source_Row_Number,L4_ID_Before,L4_Title_ko_Before,L3_ID_Before,Original_Review_Comment,Expert_Decision,Target_L3_IDs,Representative_or_Split_Result,Expert_Rationale,Source_Status_At_Review
11,General,54,G_INT_PRIV_002,비서 유도 개인정보 노출,G_INT_PRIV,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),MERGE,G_INT_PRIV,대표 카드 G_INT_PRIV_006: 챗봇에 의한 사적 정보 유도와 유출,재식별보다 대화 유도를 통한 민감정보 노출 기제가 동일하므로 G_INT_PRIV_006과 통합한다.,PENDING_NOT_APPLIED
12,General,57,G_INT_PRIV_005,존엄 침해적 프라이버시 피해,G_INT_PRIV,yj_사생활·개인정보 부당 노출_흡수가능,MERGE,G_INT_PRIV,대표 카드 G_INT_PRIV_025: 사생활·개인정보 부당 노출,부당한 개인정보 노출이라는 동일 핵심 피해를 중복 기술한다.,PENDING_NOT_APPLIED
13,General,58,G_INT_PRIV_006,챗봇에 의한 사적 정보 유도와 유출,G_INT_PRIV,yj_동일 L3내 다른 L4로 편입(재식별 및 정보 추론),MERGE,G_INT_PRIV,대표 카드 G_INT_PRIV_006: 챗봇에 의한 사적 정보 유도와 유출,G_INT_PRIV_002를 흡수하는 대표 카드로 유지한다.,PENDING_NOT_APPLIED
14,General,64,G_INT_PRIV_012,학습 데이터 암기에 의한 민감정보 유출,G_INT_PRIV,yj_통합_학습데이터 privacy이슈,MERGE,G_INT_PRIV,대표 카드: 학습 데이터 암기·프롬프트 유도 개인정보 유출,G_INT_PRIV_015와 학습 데이터 암기 및 유도 추출 기제가 겹친다.,PENDING_NOT_APPLIED
15,General,67,G_INT_PRIV_015,프롬프트 및 학습 데이터에 기인한 개인정보 노출,G_INT_PRIV,yj_통합_학습데이터 privacy이슈,MERGE,G_INT_PRIV,대표 카드: 학습 데이터 암기·프롬프트 유도 개인정보 유출,G_INT_PRIV_012와 통합해 암기와 추출 경로를 한 카드에 명시한다.,PENDING_NOT_APPLIED
16,General,71,G_INT_PRIV_019,프라이버시·재산 정보 오처리,G_INT_PRIV,yj_분할_over-extension과 privacy violation 혼재,SPLIT,G_INT_PRIV|G_SYS_OEXT,① 재산·개인정보 노출 ② 검증범위 밖 고영향 조언,정보 노출과 결혼·투자 등 고영향 조언의 역량 초과는 별도 기제다.,PENDING_NOT_APPLIED
17,General,73,G_INT_PRIV_021,학습 코퍼스 내 개인정보 혼입,G_INT_PRIV,yj_통합_학습데이터 privacy이슈,KEEP,G_INT_PRIV,현 카드 유지,안전장치 없는 학습 말뭉치 수집은 출력 단계 유출과 다른 수집·처리 단계 프라이버시 침해다.,PENDING_NOT_APPLIED
18,General,76,G_INT_PRIV_024,LLM 기반 정교한 감시·검열에 의한 자유 억압,G_INT_PRIV,yj_동일 L3내 다른 L4로 편입(대랑감시),MERGE,G_INT_PRIV,대표 카드 G_INT_PRIV_013: 대량 감시,대규모 추적·감시라는 동일 기제와 피해를 반복한다.,PENDING_NOT_APPLIED
19,General,83,G_INT_REPR_001,집단별 성능 격차·고정관념 인코딩,G_INT_REPR,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,SPLIT,G_INT_REPR,① 집단 고정관념·표현 왜곡 ② 집단 성능 격차 부분은 보류,고정관념은 표현 L3에 적격하나 집단 성능 격차만으로는 현행 L3 경계를 충족하지 않는다.,PENDING_NOT_APPLIED
20,General,85,G_INT_REPR_003,사회 집단에 대한 모델의 차별적 결정과 산출,G_INT_REPR,(jay) [재검토] 피해가 무엇인지 표기되지 않아 불분명함. Representational harm 또는 Allocative Discrimination,SPLIT,G_INT_REPR|G_INT_ALLOC,① 고정관념·배제 표현 ② 자원·서비스의 불평등 대우,표현상 피해와 물질적 배분 결과를 분리한다.,PENDING_NOT_APPLIED
21,General,118,G_INT_SELF_010,자살 행동 및 자살 지원,G_INT_SELF,"yj_""자살 준비행위""와 L4구분 필요",REWRITE,G_INT_SELF,자살 실행 지원과 자살 준비행위 지원을 구분한 카드,동일 L3 안에서도 실행과 준비행위의 위험기제를 구별하도록 정의를 정밀화한다.,PENDING_NOT_APPLIED
22,General,144,G_INT_UNETH_017,비전문가 데이터 조작,G_INT_UNETH,(jay) [이관] Performance and Reliability Failure,DELETE,,삭제,비전문가 데이터 처리와 데이터 품질 문제는 검토된 L3에 적격하지 않으며 존재하지 않는 성능 L3를 만들 수 없다.,PENDING_NOT_APPLIED
23,General,145,G_INT_UNETH_018,심리적 조작·비인간화·대규모 착취,G_INT_UNETH,(jay) [분할] 복합적. Unethical Conduct and Manipulation + Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_UNETH|G_INT_REPR,① 심리적 조작·취약성 착취 ② 비인간화·모욕적 표현,행동 조작과 표현적 존엄 훼손은 다른 상호작용 피해다.,PENDING_NOT_APPLIED
24,General,146,G_INT_UNETH_019,마음이론(Theory of Mind) 능력,G_INT_UNETH,(jay) [재검토] 명확한 피해 사례가 없어 판단 불가,REWRITE,G_INT_UNETH,마음이론 기반 행동 조작,기술 설명이 아니라 추론된 심리상태를 악용한 행동 조작이라는 피해기제를 제목과 정의에 명시한다.,PENDING_NOT_APPLIED
25,General,152,G_INT_VALUE_003,콘텐츠 조정 알고리즘의 편향적 억압,G_INT_VALUE,"(jay) [분할] 복합적. Allocative Discrimination, representational harm and manipulation 혼재되어 해당 L4를 분해 필요",SPLIT,G_INT_ALLOC|G_INT_REPR,① 노출·접근 기회의 불평등 ② 집단 과소대표·고정관념,가치 부과보다 배분 결과와 표현 피해가 직접적이다.,PENDING_NOT_APPLIED
26,General,193,G_INT_WEAP_013,모델 확산에 의한 이중용도 역량의 저비용 확 산,G_INT_WEAP,yj_네이밍 재검토_무기화성격이 안보임,REWRITE,G_INT_WEAP,독소 합성 등 이중용도 역량의 저비용 확산,무기화 가능성과 실행 장벽 하락을 제목에 명시해 L3 적격성을 분명히 한다.,PENDING_NOT_APPLIED
27,General,226,G_Others_026,학습-운용 데이터 간 데이터셋 시프트,G_Others,(jay) [이관] Performance and Reliability Failure,REWRITE,G_SYS_EVAL,분포 이동을 탐지하지 못한 평가로 인한 허위 안전확신,운영 성능 저하 자체가 아니라 평가가 학습·운영 분포 차이를 놓치는 실패로 한정한다.,PENDING_NOT_APPLIED
28,General,230,G_Others_030,센서 드리프트에 의한 배포 시스템 성능 저하,G_Others,(jay) [이관] Performance and Reliability Failure,APPLY_TRANSFER,P_SYS_STATE,물리 센서 드리프트로 인한 상태추정 오류,물리 센서 변화가 실제 환경 상태 인식을 훼손하므로 Physical 상태추정 L3에 직접 적격하다.,PENDING_NOT_APPLIED
29,General,274,G_Others_074,잘못된 데이터 라벨,G_Others,(jay) [이관] Performance and Reliability Failure,DELETE,,삭제,잘못된 학습 라벨은 일반 데이터 품질·성능 문제이며 현행 검토 L3에 정확한 수용 범위가 없다.,PENDING_NOT_APPLIED
30,General,284,G_Others_084,개발 과정 문서화와 데이터 이해의 부족,G_Others,(jay) [이관] Performance and Reliability Failure,DELETE,,삭제,문서화·데이터 이해 부족은 관리 활동 또는 성능 조건으로서 현행 위험 L3에 직접 적격하지 않다.,PENDING_NOT_APPLIED
31,General,285,G_Others_085,학습 데이터의 대표성 부족,G_Others,(jay) [이관] Performance and Reliability Failure,DELETE,,삭제,대표성 부족과 일반 성능 격차만 기술하며 보호집단에 대한 표현 또는 물질적 차별 결과가 특정되지 않는다.,PENDING_NOT_APPLIED
32,General,286,G_Others_086,복잡한 신경망 모델의 내재적 견고성 취약성,G_Others,(jay) [이관] Performance and Reliability Failure,REWRITE,G_SYS_SECADV,모델 취약성을 악용한 적대적 교란,악의적 공격 기제만 보존하고 비악의적 일반 성능 실패는 제거한다.,PENDING_NOT_APPLIED
33,General,318,G_Others_118,학습·검증 데이터의 품질 결함과 부적절한 선 택,G_Others,(jay) [이관] Performance and Reliability Failure,SPLIT,G_INT_REPR|G_INT_ALLOC,① 편향·고정관념 재생산 ② 차별적 의사결정,일반 정확도·데이터 품질 부분은 제외하고 표현과 배분 피해만 분리한다.,PENDING_NOT_APPLIED
34,General,341,G_Others_141,배포 후 잔존 결함으로 인한 오작동,G_Others,(jay) [이관] Performance and Reliability Failure,DELETE,,삭제,"잔여 버그, 목표 불일치, 모호성을 한데 묶은 포괄적 성능 카드로 원자성과 L3 적격성이 모두 부족하다.",PENDING_NOT_APPLIED
35,General,356,G_SOC_CULT_008,AI 의사결정에 의한 인간 행위주체성·감독·공정 대우의 침식,G_SOC_CULT,"(jay) [분할] 복합적. Non-Contestability, Governance and Accountability Void 혼재되어 해당 L4를 분해 필요",SPLIT,G_SYS_CONTEST|G_SOC_GOV,① 검토·이의제기·중단 불가능 ② 사회적 책임·거버넌스 공백,시스템 수준 통제 가능성과 사회 수준 책임구조를 분리한다.,PENDING_NOT_APPLIED
36,General,358,G_SOC_CULT_010,인간 존엄성 침식,G_SOC_CULT,(jay) [분할] 복합적. Cultural and Epistemic Erosion + Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요,SPLIT,G_SOC_CULT|G_INT_REPR,① 문화·인간 지위 침식 ② 비하·프로파일링 표현,사회문화적 침식과 개별 표현 피해의 분석 수준이 다르다.,PENDING_NOT_APPLIED
37,General,362,G_SOC_DEMOC_001,시민 심사와 맞춤형 선전을 통한 편향적 영향 력,G_SOC_DEMOC,(jay) [분할] 복합적. Erosion of Democracy and Civic Order + Political Bias and Manipulation 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_POL|G_SOC_DEMOC,① 개인화 정치 설득 ② 민주적 공론·시민 신뢰 침식,정치적 상호작용 기제와 사회적 민주주의 결과를 구분한다.,PENDING_NOT_APPLIED
38,General,440,G_SYS_CONTEXT_002,맥락적 프라이버시 보호 실패,G_SYS_CONTEXT,(jay) [분할] 복합적. 맥락 인식 실패 + Privacy violation 혼재되어 해당 L4를 분해 필요,APPLY_TRANSFER,G_INT_PRIV,맥락 오인으로 인한 개인정보 침해,맥락 실패는 원인이며 서술된 직접 피해는 프라이버시 침해이므로 결과 L3로 이관한다.,PENDING_NOT_APPLIED
39,General,444,G_SYS_CONTEXT_006,저자원 언어 가치 손실,G_SYS_CONTEXT,"(jay) [분할] 복합적. Cultural and Epistemic Erosion, Evaluation and Assurance Failure + 부족한 성능 및 역량에 대한 부분이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",APPLY_TRANSFER,G_SOC_CULT,저자원 언어의 가치·의미 소실,저자원 언어의 문화적·인식론적 소실이 직접 피해이며 별도 성능 L3는 없다.,PENDING_NOT_APPLIED
40,General,460,G_SYS_EVAL_014,학습 데이터 어노테이션 결함,G_SYS_EVAL,(jay) [이관] Performance and Reliability Failure,DELETE,,삭제,학습 주석 결함은 데이터 품질 문제이며 평가·감사 실패로 기술되지 않아 G_SYS_EVAL에 부적격하다.,PENDING_NOT_APPLIED
41,General,484,G_SYS_INCONS_001,인간 피드백 데이터의 편향·비일관성,G_SYS_INCONS,"(jay) [분할] 복합적. Value Imposition and Normative Homogenization, inconsistency, Allocative Discrimination, Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요 | 편향이 발생하는 과정을 기술. 어떤 편향인지 그 실질적인 피해 형태는 기재되어 있지 않음",SPLIT,G_SYS_INCONS|G_INT_VALUE,① 주석 기준 불일치 ② 지배적 주석자 가치의 중립화,출력 일관성 문제와 가치 부과를 구별하되 근거 없는 차별 범주는 추가하지 않는다.,PENDING_NOT_APPLIED
42,General,486,G_SYS_INCONS_003,모델 오설정과 정량화되지 않은 예측 불확실 성,G_SYS_INCONS,(jay) [이관] Performance and Reliability Failure,REWRITE,G_SYS_OVERCONF,모형 불일치와 불확실성 미표시로 인한 부당한 확신,일반 모형 명세 실패가 아니라 불확실성을 숨겨 신뢰할 수 없는 출력을 확신하게 하는 위험으로 한정한다.,PENDING_NOT_APPLIED
43,General,490,G_SYS_INCONS_007,체계적 학습 오류 편향,G_SYS_INCONS,(jay) [이관] Performance and Reliability Failure,REWRITE,G_INT_REPR,보호집단에 대한 고정관념·차별적 출력,"집단 표현 피해를 명시하면 적격하며, 이를 특정하지 못하면 삭제해야 한다.",PENDING_NOT_APPLIED
44,General,491,G_SYS_INPUT_001,지속 튜닝의 파국적 망각,G_SYS_INPUT,(jay) [이관] Performance and Reliability Failure,DELETE,,삭제,파국적 망각은 일반 성능 저하로서 현행 검토 L3에 정확한 범주가 없다.,PENDING_NOT_APPLIED
45,General,492,G_SYS_INPUT_002,물리적 상식 위반,G_SYS_INPUT,(jay) [분할] 복합적. 입력 이해 실패 + unsafe physical control 혼재되어 해당 L4를 분해 필요,SPLIT,G_SYS_INPUT|P_SYS_CONTROL,① 물리 상식·상황 입력 오해 ② 실행된 위험한 물리 행동,입력 이해 실패와 물리 제어 실행 실패를 분리한다.,PENDING_NOT_APPLIED
46,General,494,G_SYS_INPUT_004,물체 어포던스 입력 이해 실패,G_SYS_INPUT,(jay) [분할] 복합적. 입력 이해 실패 + unsafe physical control 혼재되어 해당 L4를 분해 필요,SPLIT,G_SYS_INPUT|P_SYS_CONTROL,① 어포던스·장면 오해 ② 위험한 조작 행동,인식·입력 해석과 물리 조작 실행은 다른 실패 단계다.,PENDING_NOT_APPLIED
47,General,495,G_SYS_INPUT_005,분포 외 입력에 대한 고신뢰 오작동,G_SYS_INPUT,(jay) [이관] Performance and Reliability Failure,SPLIT,G_SYS_INPUT|G_SYS_OVERCONF,① 분포 밖·손상 입력 오해 ② 불확실 상황의 고확신 응답,입력 강건성 실패와 확신 보정 실패를 분리한다.,PENDING_NOT_APPLIED
48,General,497,G_SYS_INPUT_007,안전 필수 인프라 AI 운영 사고,G_SYS_INPUT,(jay) [재검토] 다양한 원인 기재 및 불명확한 피해 기재. 명확한 리스크 분류 불가,DELETE,,삭제,"안전중요 기반시설 사고가 운영 실패, 모델 오류, 인간 오용을 한 카드에 묶어 원인과 L3 경계가 불명확하다.",PENDING_NOT_APPLIED
49,General,498,G_SYS_INPUT_008,코너 케이스에서의 신뢰성 저하,G_SYS_INPUT,(jay) [이관] Performance and Reliability Failure,REWRITE,G_SYS_INPUT,희귀·모호한 입력의 오해,코너케이스를 일반 신뢰성 문제가 아니라 비정상 입력 해석 실패로 한정한다.,PENDING_NOT_APPLIED
50,General,499,G_SYS_INPUT_009,사용자 능력 불일치,G_SYS_INPUT,(jay) [이관] Allocative Discrimination,REWRITE,G_INT_ALLOC,장애·역량 차이 집단에 대한 서비스 접근 배제,일반 사용자 능력 불일치는 배분차별이 아니다. 보호집단의 자원·서비스 접근 거부 결과를 명시할 때만 이관이 타당하다.,APPLIED_DURING_EXPERT_REVIEW
51,General,501,G_SYS_MISINFO_002,자동화된 선전과 대규모 영향 공작,G_SYS_MISINFO,(jay) [분할] 복합적. 민주주의·시민 질서 약화 + 불법 행위 혼재되어 해당 L4를 분해 필요,SPLIT,G_SYS_MISINFO|G_INT_POL|G_SOC_DEMOC,① 허위 서사 생성 ② 정치 영향 조작 ③ 민주주의 침식,"허위정보 생성, 정치적 사용, 사회적 결과를 분리하며 위법성은 본문 근거가 없어 추가하지 않는다.",PENDING_NOT_APPLIED
52,General,510,G_SYS_MISINFO_011,개인 대상 허위정보,G_SYS_MISINFO,(jay) [분할] 복합적. Misinformation + illegal conduct 혼재되어 해당 L4를 분해 필요,KEEP,G_SYS_MISINFO,현 카드 유지,표적형 허위정보와 평판 피해는 허위정보 범위에 적격하며 위법성은 필수 속성이 아니다.,PENDING_NOT_APPLIED
53,General,511,G_SYS_MISINFO_012,선거 제도와 절차에 관한 허위정보,G_SYS_MISINFO,(jay) [분할] 복합적. Misinformation + Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,SPLIT,G_SYS_MISINFO|G_INT_POL|G_SOC_DEMOC,① 선거절차 허위정보 ② 선거 영향 조작 ③ 시민 신뢰 침식,"콘텐츠, 조작행위, 사회적 민주주의 피해를 분리한다.",PENDING_NOT_APPLIED
54,General,533,G_SYS_OEXT_009,샌드박스 우회에 의한 격리 통제 상실,G_SYS_OEXT,(jay) [분할] 복합적. Security and Adversarial Robustness Failure + Deception and Scheming이 혼재되어 해당 L4를 분해 필요,APPLY_TRANSFER,G_SYS_SECADV,샌드박스 탈출·안전장치 우회,서술된 핵심은 기만이 아니라 보호장치 우회와 보안 침해다.,PENDING_NOT_APPLIED
55,General,534,G_SYS_OEXT_010,과적합 및 과소적합,G_SYS_OEXT,(jay) [이관] Performance and Reliability Failure,REWRITE,G_SYS_EVAL,과적합·과소적합을 탐지하지 못한 평가의 허위 안전확신,일반 성능 문제가 아니라 평가 절차가 결함을 놓친 실패로 한정한다.,PENDING_NOT_APPLIED
56,General,536,G_SYS_OEXT_012,해석가능성 결과에 대한 과대평가와 거짓 확 신,G_SYS_OEXT,"yj_""거짓 확신"" 오타 정정",REWRITE,G_SYS_OEXT,설명가능성 기법의 검증범위를 넘어선 과신,어색한 거짓 확신 표현을 잘못된 확신으로 고치고 설명기법의 역량 초과에 집중한다.,PENDING_NOT_APPLIED
57,General,537,G_SYS_OEXT_013,광범위 배포 AI 어시스턴트를 통한 대규모 영 향력 행사,G_SYS_OEXT,(jay) [분할] 복합적. Unethical Conduct and Manipulation + Erosion of Democracy and Civic Order + Inequality and Power Concentration이 혼재되어 해당 L4를 분해 필요,SPLIT,G_INT_UNETH|G_SOC_DEMOC|G_SOC_POWER,① 개인화 행동 조작 ② 시민·민주주의 피해 ③ 인구규모 영향력 집중,"개인 조작, 사회적 민주주의, 권력 집중의 수준이 다르다.",PENDING_NOT_APPLIED
58,General,572,G_SYS_SECADV_017,이상 조건에서의 성능·견고성·복원력 실패,G_SYS_SECADV,(jay) [이관] Performance and Reliability Failure,REWRITE,G_SYS_SECADV,데이터 중독·적대적 입력에 의한 보안 교란,공격과 적대적 입력만 보존하고 일반 성능·복구 실패는 제거한다.,PENDING_NOT_APPLIED
59,Agentic,2,A_INT_CASCADE_001,다중에이전트 상전이에 의한 급격한 성능 붕괴,A_INT_CASCADE,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",KEEP,A_INT_CASCADE,현 카드 유지: 상전이형 급격한 집단행동 변화,상전이는 임계점에서 나타나는 급변 기제로 다른 연쇄실패 카드와 구별된다.,PENDING_NOT_APPLIED
60,Agentic,3,A_INT_CASCADE_002,혼돈적 다중 에이전트 동역학,A_INT_CASCADE,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",KEEP,A_INT_CASCADE,현 카드 유지: 초기조건 민감성에 따른 혼돈적 확산,초기조건 민감성과 예측불가능성이 독립 기제다.,PENDING_NOT_APPLIED
61,Agentic,4,A_INT_CASCADE_003,에이전트 상호작용의 불안정화 피드백 루프,A_INT_CASCADE,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",KEEP,A_INT_CASCADE,현 카드 유지: 피드백 고리의 오류 증폭,되먹임에 의한 오류 증폭은 상전이·혼돈과 구별되는 연쇄 메커니즘이다.,PENDING_NOT_APPLIED
62,Agentic,10,A_INT_COLLUSION_001,은닉 통신 채널을 통한 에이전트 간 결탁,A_INT_COLLUSION,"A_INT_COLLUSION_001, A_INT_COLLUSION_002 정의가 유사함 - merge 할지 검토 필요",MERGE,A_INT_COLLUSION,대표 카드: 감시 회피형 은밀 통신에 의한 다중 에이전트 공모,A_INT_COLLUSION_002와 은밀 통신 및 감시 회피 기제가 동일하다.,PENDING_NOT_APPLIED
63,Agentic,11,A_INT_COLLUSION_002,다중 에이전트 은밀 공모,A_INT_COLLUSION,"A_INT_COLLUSION_001, A_INT_COLLUSION_002 정의가 유사함 - merge 할지 검토 필요",MERGE,A_INT_COLLUSION,대표 카드: 감시 회피형 은밀 통신에 의한 다중 에이전트 공모,A_INT_COLLUSION_001을 흡수해 공모 목적과 은폐 수단을 함께 정의한다.,PENDING_NOT_APPLIED
64,Agentic,72,A_SYS_GOAL_010,분포 이동에서의 목표 오일반화와 기만적 정 렬,A_SYS_GOAL,Agentic AI - Deception and Scheming로 이관,SPLIT,A_SYS_GOAL|A_SYS_DECEPT,① 분포 이동에서의 목표 오일반화 ② 기만적 정렬·책략,목표 일반화 실패와 의도적 기만은 별도 기제이므로 카드 전체를 Deception으로 옮기면 목표 실패 의미가 소실된다.,APPLIED_DURING_EXPERT_REVIEW
65,Physical,7,P_INT_SAFETY_006,희귀 가정 상해의 전조 감지 실패,P_INT_SAFETY,가정용 에이전트 용어를 일반적인 용어로 변경. 예를 들면 '로봇' 또는 '체화형 AI 에이전트' 또는 '체화형 에이전트',REWRITE,P_INT_SAFETY,가정용 로봇·체화형 AI와의 상호작용 안전 실패,가정용 에이전트라는 모호한 대상을 물리적 상호작용 주체로 명확히 한다.,PENDING_NOT_APPLIED
66,Physical,11,P_INT_SAFETY_010,안전 규칙의 행동 변환 실패,P_INT_SAFETY,한국어 리스크 정의 용어의 일관성 유지. 체화형 에이전트 또는 embodied 에이전트,REWRITE,P_INT_SAFETY,체화형 AI 에이전트의 상호작용 안전 실패,embodied 혼용어를 체화형 AI로 표준화한다.,PENDING_NOT_APPLIED
67,Physical,12,P_INT_SAFETY_011,장면 변화 시 인간 행동 모방 실패,P_INT_SAFETY,"(유지) (jw) 너무 지엽적인 리스크로, 삭제 제안",KEEP,P_INT_SAFETY,현 카드 유지: 맥락 변화에서의 모방행동 안전 실패,맥락 변화 후 시연 모방이 위험 행동으로 전환되는 독립적 상호작용 기제다.,PENDING_NOT_APPLIED
68,Physical,14,P_INT_SAFETY_013,배포 전 물리적 안전 시험 미흡,P_INT_SAFETY,"(유지) (jw) 너무 지엽적인 리스크로, 삭제 제안",REMAIN_PENDING,P_Others,Physical Others에서 인간 검토 대기,배포 전 안전평가 실패는 유효한 위험이나 Physical 도메인에 대응 L3가 없고 General로의 기계적 이동은 L1 경계를 위반한다.,PENDING_NOT_APPLIED
69,Physical,17,P_INT_SAFETY_016,안전-성능 균형 실패,P_INT_SAFETY,"(유지) (jw) l3와 무관하며, general에 해당해보임",APPLY_TRANSFER,P_SYS_CONTROL,성능 최적화가 충돌회피·안전제약을 희생하는 제어정책 실패,인간 상호작용보다 물리 제어정책의 안전제약 위반이 직접 기제다.,PENDING_NOT_APPLIED
